# Cipher no.60, the Court symbol cipher ("Chiffre baille a Monsieur de Nevers, Montereau, aoust 1593"),
# BnF fr.3995 ff.108-111 (Gallica btv1b525085665 canvases 208-213). Reconstruction and numbering: Satoshi
# Tomokiyo, Cryptiana (cryptiana.web.fc2.com, nevers.htm and henryiv2.htm). Transcription of the tables and
# glyph tags: Daniel Bourdeau, github.com/dbourdeau/cyphersolver nevers1593/key60.txt + decode60.py
# (commit a0d5a07349e98cfc47d41608cd88722a219c44a3; code MIT, text CC BY 4.0). Converted by tools/keys/key60_from_bourdeau.py, 24 Sept 2026.
# Tags are Bourdeau's descriptive stand-ins (see his key60.txt for the shapes). grade M = crib-read cursive
# form or value marked uncertain by him; Tomokiyo's own table is an image on henryiv2.htm, not compared here.
sign	value	grade	source	note
+w'	les	H	table	
4++	asseurance	H	table	
p-o	Iceux	H	table	
p-o'	Icelluy	H	table	
F	Armes	H	table	
ↄ	neantmoins	H	table	
V(inv)	deffaute	H	table	
V'	tresve	H	table	
Vre	non	H	table	
T'	autorite	H	table	
δ	rencontre	H	table	
w''	avec	H	table	
w'''	aiant	H	table	
8~	Riviere	H	table	
8~'	Religion	H	table	
8~~	par	H	table	
8~~~	Province	H	table	
k	ont	H	table	
&t	f	H	table	
G	vitoire	H	table	
8'	ainsi	H	table	
++O	d'autant	H	table	
q+	village	H	table	
oo+	le Roy	H	table	
O++	le Pape	H	table	
3+	le grand Seigneur	H	table	
#'	l'Empereur	H	table	
8+'	Roy d'Espaigne	H	table	
+C	la Seigneurie de Venise	H	table	
+phi	le grand Duc de Toscane	H	table	
R	Duc de Mantoue	H	table	
phi	Duc de Ferrare	H	table	
alpha'	Duc de Savoye	H	table	
oo b	Duc de Lorraine	H	table	
II	Cardinal de Bourbon	H	table	
X.	Mr de Chomberg	H	table	
ooo	Conte de Soissons	H	table	
oo~	Mr de Montpensier	H	table	
8++	Mr de Longueville	H	table	
otto	Conte de St Paul	H	table	
###	Mr de Montmorency	H	table	
O	Cardinal Gondy	H	table	
Psi+	Mareschal de Retz	H	table	
phi-o	Mareschal d'Aumont	H	table	
#~	Mareschal de Bouillon	H	table	
4+'	Mr d'Espernon	H	table	
X~~	Mr de Schomberg	H	table	
ʊ	Alphonse d'Ornano	H	table	
G'	Mr Desdiguieres	H	table	
4+''	Marquis de Pisany	H	table	
+oo	Mr de Sancy	H	table	
R'	Mr Gondy	H	table	
++C	Mr de Maisse	H	table	
obo	Mr de Sillery	H	table	
Δ+	Mr de Fresne	H	table	
A'	Mr de la Chastre	H	table	
77	Duc de Mayenne	H	table	
E''	Duc de Guise	H	table	
L7	Mr de Nemours	H	table	
*	Mr d'Aumale	H	table	
Q+	Mr de Mercure	H	table	
Q''	Mr d'Elbeuf	H	table	
H''	Mr de Rosne	H	table	
H	St Pol	H	table	
A:	Mr de Belin	H	table	
Φ	Mr de Bellievre	H	table	
Φ'	Mr de Villeroy	H	table	
7~	President Jeannin	H	table	
H'	Chevalier de Diou	H	table	
S	Mr Zamet	H	table	
t5	Bassompierre	H	table	
P	Monsieur	H	table	
P'	Madame	H	table	
m'	Royne d'Angleterre	H	table	
M	prelatz	H	table	
J	consistoire	H	table	
Cg	?Cg	M	table	
ij	a	H	table	roman numeral, col.1
iij	d	H	table	roman numeral, col.1
xxij	le Legat	H	table	roman numeral, col.1
xxiij	Ambassadeur d'Espagne	H	table	roman numeral, col.1
xxiiij	Duc de Feria	H	table	roman numeral, col.1
xxv	Ambassadeur de Venise	H	table	roman numeral, col.1
xxvj	princes protestans	H	table	roman numeral, col.1
xxvij	estatz des Pays Bas	H	table	roman numeral, col.1
xxviij	Conte de Nassau	H	table	roman numeral, col.1
xxix	Francois	H	table	roman numeral, col.1
xxx	Italiens	H	table	roman numeral, col.1
xxxj	Espagnolz	H	table	roman numeral, col.1
xxxij	Reistres	H	table	roman numeral, col.1
xxxiij	Lansquenetz	H	table	roman numeral, col.1
xxxiiij	Anglois	H	table	roman numeral, col.1
xxxv	Wallons	H	table	roman numeral, col.1
xxxvj	Neapolitains	H	table	roman numeral, col.1
xxxvij	Suisses	H	table	roman numeral, col.1
xxxviij	France	H	table	roman numeral, col.1
xxxix	Espagne	H	table	roman numeral, col.1
xl	Italie	H	table	roman numeral, col.1
xlj	la Suisse	H	table	roman numeral, col.1
xlij	Angleterre	H	table	roman numeral, col.1
xliij	la Savoye	H	table	roman numeral, col.1
xliiij	l'Allemagne	H	table	roman numeral, col.1
xlv	le Piemont	H	table	roman numeral, col.1
xlvj	le Milanois	H	table	roman numeral, col.1
xlvij	la Lorraine	H	table	roman numeral, col.1
xlviij	Cardinaux	H	table	roman numeral, col.1
xlix	Evesques	H	table	roman numeral, col.1
lxj	Lion	H	table	roman numeral, col.1
lxij	Tours	H	table	roman numeral, col.1
lxiij	St Denys	H	table	roman numeral, col.1
lxiiij	Mante	H	table	roman numeral, col.1
lxv	Chartres	H	table	roman numeral, col.1
lxvj	Bordeaux	H	table	roman numeral, col.1
lxvij	Blois	H	table	roman numeral, col.1
lxviij	Melun	H	table	roman numeral, col.1
lxix	Corbeil	H	table	roman numeral, col.1
lxx	Vernon	H	table	roman numeral, col.1
lxxj	Senlis	H	table	roman numeral, col.1
lxxij	Compiegne	H	table	roman numeral, col.1
lxxiij	Chaalons	H	table	roman numeral, col.1
lxxiiij	Meaux	H	table	roman numeral, col.1
lxxv	Pontoise	H	table	roman numeral, col.1
lxxvj	Caen	H	table	roman numeral, col.1
lxxvij	Dreux	H	table	roman numeral, col.1
lxxviij	Verneuil	H	table	roman numeral, col.1
lxxix	Rome	H	table	roman numeral, col.1
lxxx	Venise	H	table	roman numeral, col.1
iiijxx	Florence	H	table	roman numeral, col.1
iiijxxj	Mantoue	H	table	roman numeral, col.1
iiijxxij	Marseille	H	table	roman numeral, col.1
iiijxxiij	Ferrare	H	table	roman numeral, col.1
iiijxxv	Verone	H	table	roman numeral, col.1
***	NULL	H	table	null (enciphering sheet)
-oo	NULL	H	table	null (enciphering sheet)
4‡	NULL	H	table	null (enciphering sheet)
g#	NULL	H	table	null (enciphering sheet)
ſo	NULL	H	table	null (enciphering sheet)
