leaf	entry_label	position	token	token_type	grade
m0282	Carta 58	60	3	num	H
m0282	Carta 58	61	19	num	H
m0282	Carta 58	62	4	num	H
m0282	Carta 61	1	4	num	H
m0282	Carta 61	2	7	num	H
m0282	Carta 61	3	15	num	H
m0282	Carta 61	4	2	num	H
m0282	Carta 61	5	8	num	H
m0282	Carta 61	6	17	num	H
m0282	Carta 61	7	21	num	H
m0282	Carta 61	8	15	num	H
m0282	Carta 61	9	4	num	H
m0282	Carta 61	10	7	num	H
m0282	Carta 61	11	26	num	H
m0282	Carta 61	12	19	num	H
m0282	Carta 61	13	12	num	H
m0282	Carta 61	14	23	num	H
m0282	Carta 61	15	15	num	H
m0282	Carta 61	16	3	num	H
m0282	Carta 61	17	7	num	H
m0282	Carta 61	18	4	num	H
m0282	Carta 61	19	15	num	H
m0282	Carta 61	20	26	num	H
m0282	Carta 61	21	12	num	H
m0282	Carta 61	22	7	num	H
m0282	Carta 61	23	8	num	H
m0282	Carta 61	24	12	num	H
m0282	Carta 61	25	15	num	H
m0282	Carta 61	26	26	num	H
m0282	Carta 61	27	7	num	H
m0282	Carta 61	28	20	num	H
m0282	Carta 61	29	10	num	H
m0282	Carta 61	30	17	num	H
m0282	Carta 61	31	5	num	H
m0282	Carta 61	32	15	num	H
m0282	Carta 61	33	17	num	H
m0282	Carta 61	34	3	num	H
m0282	Carta 61	35	17	num	H
m0282	Carta 61	36	5	num	H
m0282	Carta 61	37	23	num	H
m0282	Carta 61	38	2	num	H
m0282	Carta 61	39	25	num	H
m0282	Carta 61	40	4	num	H
m0282	Carta 61	41	2	num	M
m0282	Carta 61	42	8	num	H
m0282	Carta 61	43	26	num	H
m0282	Carta 61	44	14	num	H
m0282	Carta 61	45	3	num	H
m0282	Carta 61	46	17	num	H
m0282	Carta 61	47	12	num	H
m0282	Carta 61	48	15	num	H
m0282	Carta 61	49	55	num	H
m0282	Carta 61	50	17	num	H
m0282	Carta 61	51	52	num	H
m0282	Carta 61	52	20	num	H
m0282	Carta 61	53	17	num	H
m0282	Carta 61	54	18	num	H
m0282	Carta 61	55	2	num	H
m0282	Carta 61	56	14	num	H
m0282	Carta 61	57	3	num	H
m0282	Carta 61	58	15	num	H
m0283	Carta 70	1	11	num	M
m0283	Carta 70	2	17	num	H
m0283	Carta 70	3	12	num	H
m0283	Carta 70	4	17	num	H
m0283	Carta 70	5	14	num	H
m0283	Carta 70	6	15	num	H
m0283	Carta 70	7	4	num	H
m0283	Carta 70	8	55	num	H
m0283	Carta 70	9	12	num	H
m0283	Carta 70	10	7	num	M
m0283	Carta 70	11	8	num	H
m0283	Carta 70	12	26	num	H
m0283	Carta 70	13	2	num	H
m0283	Carta 70	14	8	num	H
m0283	Carta 70	15	5	num	H
m0283	Carta 70	16	17	num	H
m0283	Carta 70	17	12	num	H
m0283	Carta 70	18	7	num	H
m0283	Carta 70	19	19	num	H
m0283	Carta 70	20	4	num	H
m0283	Carta 70	21	3	num	H
m0283	Carta 70	22	19	num	H
m0283	Carta 70	23	4	num	H
m0283	Carta 70	24	18	num	H
m0283	Carta 70	25	8	num	H
m0283	Carta 70	26	14	num	H
m0283	Carta 70	27	8	num	H
m0283	Carta 70	28	4	num	H
m0283	Carta 70	29	3	num	H
m0283	Carta 70	30	12	num	H
m0283	Carta 70	31	15	num	H
m0283	Carta 70	32	4	num	H
m0283	Carta 70	33	26	num	H
m0283	Carta 70	34	17	num	H
m0283	Carta 70	35	20	num	H
m0283	Carta 70	36	15	num	H
m0283	Carta 70	37	18	num	H
m0283	Carta 70	38	19	num	H
m0283	Carta 70	39	4	num	H
m0283	Carta 70	40	18	num	H
m0283	Carta 70	41	15	num	H
m0283	Carta 70	42	55	num	H
m0283	Carta 70	43	19	num	H
m0283	Carta 70	44	12	num	H
m0283	Carta 70	45	19	num	H
m0283	Carta 70	46	2	num	H
m0283	Carta 70	47	19	num	H
m0283	Carta 70	48	12	num	H
m0283	Carta 70	49	12	num	H
m0283	Carta 70	50	19	num	H
m0283	Carta 70	51	4	num	H
m0283	Carta 70	52	8	num	H
m0283	Carta 70	53	b±	ltr	M
m0283	Carta 70	54	14	num	H
m0283	Carta 70	55	17	num	H
m0283	Carta 70	56	12	num	H
m0283	Carta 70	57	4	num	H
m0283	Carta 70	58	19	num	H
m0283	Carta 70	59	2	num	H
m0283	Carta 70	60	17	num	H
m0283	Carta 70	61	12	num	H
m0283	Carta 70	62	17	num	H
m0283	Carta 70	63	310±	num	M
m0283	Carta 70	64	400±	num	M
m0283	Carta 70	65	5	num	H
m0283	Carta 70	66	14	num	H
m0284	Carta 71	1	19	num	H
m0284	Carta 71	2	4	num	H
m0284	Carta 71	3	3	num	H
m0284	Carta 71	4	17	num	H
m0284	Carta 71	5	12	num	H
m0284	Carta 71	6	19	num	H
m0284	Carta 71	7	4	num	H
m0284	Carta 71	8	55	num	H
m0284	Carta 71	9	15	num	H
m0284	Carta 71	10	4	num	H
m0284	Carta 71	11	3	num	H
m0284	Carta 71	12	17	num	H
m0284	Carta 71	13	10	num	H
m0284	Carta 71	14	19	num	H
m0284	Carta 71	15	10	num	H
m0284	Carta 71	16	c	ltr	H
m0284	Carta 71	17	18	num	H
m0284	Carta 71	18	y	ltr	H
m0284	Carta 71	19	2	num	H
m0284	Carta 71	20	12	num	H
m0284	Carta 71	21	23	num	H
m0284	Carta 71	22	14	num	H
m0284	Carta 71	23	2	num	H
m0284	Carta 71	24	24	num	H
m0284	Carta 71	25	55	num	H
m0284	Carta 71	26	17	num	H
m0284	Carta 71	27	12	num	H
m0284	Carta 71	28	26	num	H
m0284	Carta 71	29	15	num	H
m0284	Carta 71	30	8	num	H
m0284	Carta 71	31	4	num	H
m0284	Carta 71	32	19	num	H
m0284	Carta 71	33	2	num	H
m0284	Carta 71	34	19	num	H
m0284	Carta 71	35	10	num	H
m0284	Carta 71	36	26	num	H
m0284	Carta 71	37	18	num	H
m0284	Carta 71	38	16	num	H
m0284	Carta 71	39	8	num	H
m0284	Carta 71	40	14	num	H
m0284	Carta 71	41	15	num	H
m0284	Carta 71	42	26	num	H
m0284	Carta 71	43	19	num	H
m0284	Carta 71	44	20	num	H
m0284	Carta 71	45	10	num	H
m0284	Carta 71	46	y	ltr	H
m0284	Carta 71	47	5	num	H
m0284	Carta 71	48	15	num	H
m0284	Passage 2a	1	4	num	H
m0284	Passage 2a	2	19	num	H
m0284	Passage 2a	3	2	num	H
m0284	Passage 2a	4	24	num	H
m0284	Passage 2a	5	4	num	H
m0284	Passage 2a	6	15	num	H
m0284	Passage 2a	7	19	num	H
m0284	Passage 2a	8	4	num	H
m0284	Passage 2a	9	2	num	H
m0284	Passage 2a	10	19	num	H
m0284	Passage 2a	11	18	num	H
m0284	Passage 2a	12	8	num	H
m0284	Passage 2a	13	18	num	H
m0284	Passage 3a	1	14	num	H
m0284	Passage 3a	2	17	num	H
m0284	Passage 3a	3	18	num	H
m0284	Passage 3a	4	21	num	H
m0284	Passage 3a	5	17	num	H
m0284	Passage 3a	6	4	num	H
m0284	Passage 3a	7	3	num	H
m0284	Passage 3a	8	23	num	H
m0284	Passage 3a	9	19	num	H
m0284	Passage 3a	10	4	num	H
m0284	Passage 3a	11	3	num	H
m0284	Passage 3a	12	24	num	H
m0284	Passage 3a	13	26	num	H
m0284	Passage 3a	14	19	num	H
m0284	Passage 3a	15	20	num	H
m0284	Passage 3a	16	10	num	H
m0284	Passage 3a	17	y	ltr	H
m0284	Passage 3a	18	5	num	H
m0284	Passage 3a	19	15	num	H
m0285	Passage 4a	1	8	num	H
m0285	Passage 4a	2	14	num	H
m0285	Passage 4a	3	c	ltr	M
m0285	Passage 4a	4	20	num	H
m0285	Passage 4a	5	19	num	H
m0285	Passage 4a	6	24	num	H
m0285	Passage 4a	7	4	num	H
m0285	Passage 4a	8	4	num	H
m0285	Passage 4a	9	15	num	H
m0285	Passage 4a	10	20	num	H
m0285	Passage 4a	11	8	num	H
m0285	Passage 4a	12	18	num	H
m0285	Passage 4a	13	19	num	H
m0285	Passage 4a	14	4	num	H
m0285	Passage 4a	15	3	num	H
m0285	Passage 4a	16	17	num	H
m0285	Passage 4a	17	12	num	H
m0285	Passage 4a	18	19	num	H
m0285	Passage 4a	19	4	num	H
m0285	Passage 4a	20	3	num	H
m0285	Passage 4a	21	8	num	H
m0285	Passage 4a	22	3	num	H
m0285	Passage 4a	23	26	num	H
m0285	Passage 4a	24	8	num	H
m0285	Passage 4a	25	5	num	H
m0285	Passage 4a	26	y	ltr	H
m0285	Passage 4a	27	18	num	H
m0285	Carta 72	1	19	num	H
m0285	Carta 72	2	26	num	H
m0285	Carta 72	3	8	num	H
m0285	Carta 72	4	3	num	H
m0285	Carta 72	5	17	num	H
m0285	Carta 72	6	12	num	H
m0285	Carta 72	7	y	ltr	H
m0285	Carta 72	8	18	num	H
m0285	Carta 72	9	7	num	H
m0285	Carta 72	10	14	num	H
m0285	Carta 72	11	3	num	H
m0285	Carta 72	12	12	num	H
m0285	Carta 72	13	17	num	H
m0285	Carta 72	14	12	num	H
m0285	Carta 72	15	5	num	H
m0285	Carta 72	16	15	num	H
m0285	Carta 72	17	18	num	H
m0285	Carta 72	18	8	num	H
m0285	Carta 72	19	c	ltr	M
m0285	Carta 72	20	15	num	H
m0285	Carta 72	21	7	num	H
m0285	Carta 72	22	18	num	H
m0285	Carta 72	23	8	num	H
m0285	Carta 72	24	26	num	H
m0285	Carta 72	25	c	ltr	M
m0285	Carta 72	26	y	ltr	H
m0285	Carta 72	27	14	num	H
m0285	Carta 72	28	2	num	H
m0285	Carta 72	29	15	num	H
m0285	Carta 72	30	17	num	H
m0285	Carta 72	31	4	num	H
m0285	Carta 72	32	19	num	H
m0285	Carta 72	33	4	num	H
m0285	Carta 72	34	5	num	H
m0285	Carta 72	35	15	num	H
m0285	Carta 72	36	14	num	H
m0285	Carta 72	37	2	num	H
m0285	Carta 72	38	8	num	H
m0285	Carta 72	39	x	ltr	M
m0285	Carta 72	40	y	ltr	H
m0285	Carta 72	41	4	num	H
m0285	Carta 72	42	3	num	H
m0285	Carta 72	43	19	num	H
m0285	Carta 72	44	12	num	H
m0285	Carta 72	45	c	ltr	M
m0285	Carta 72	46	8	num	H
m0285	Carta 72	47	26	num	H
m0285	Carta 72	48	19	num	H
m0285	Carta 72	49	12	num	H
m0285	Carta 72	50	4	num	H
m0285	Carta 72	51	y	ltr	H
m0285	Carta 72	52	5	num	H
m0285	Carta 72	53	17	num	H
m0285	Carta 72	54	12±	num	M
m0285	Passage 5a	1	17	num	H
m0285	Passage 5a	2	18	num	H
m0285	Passage 5a	3	10	num	H
m0285	Passage 5a	4	7	num	H
m0285	Passage 5a	5	12	num	H
m0285	Passage 5a	6	19	num	H
m0285	Passage 5a	7	4	num	H
m0285	Passage 5a	8	55	num	H
m0285	Passage 5a	9	15	num	H
m0285	Passage 5a	10	4	num	H
m0285	Passage 5a	11	3	num	H
m0285	Passage 5a	12	17	num	H
m0286	Passage 3a	1	17	num	H
m0286	Passage 3a	2	14	num	H
m0286	Passage 3a	3	8	num	H
m0286	Passage 3a	4	18	num	H
m0286	Passage 3a	5	c	ltr	H
m0286	Passage 3a	6	26	num	H
m0286	Passage 3a	7	7	num	M
m0286	Passage 3a	8	18	num	H
m0286	Passage 3a	9	5	num	H
m0286	Passage 3a	10	20	num	H
m0286	Passage 3a	11	17	num	H
m0286	Passage 3a	12	12	num	H
m0286	Passage 3a	13	23	num	H
m0286	Passage 3a	14	14	num	H
m0286	Passage 3a	15	15	num	H
m0286	Passage 3a	16	5	num	H
m0286	Passage 3a	17	26	num	H
m0286	Passage 3a	18	12	num	H
m0286	Passage 3a	19	4	num	H
m0286	Passage 3a	20	15	num	H
m0286	Passage 3a	21	2	num	H
m0286	Passage 3a	22	7	num	M
m0286	Passage 3a	23	4	num	H
m0286	Passage 3a	24	3	num	H
m0286	Passage 3a	25	y	ltr	H
m0286	Carta 73	1	4	num	H
m0286	Carta 73	2	19	num	H
m0286	Carta 73	3	18	num	H
m0286	Carta 73	4	15	num	H
m0286	Carta 73	5	12	num	H
m0286	Carta 73	6	2	num	H
m0286	Carta 73	7	12	num	H
m0286	Carta 73	8	7	num	M
m0286	Carta 73	9	8	num	H
m0286	Carta 73	10	14	num	H
m0286	Carta 73	11	17	num	H
m0286	Carta 73	12	12	num	H
m0286	Carta 73	13	y	ltr	H
m0286	Carta 73	14	15	num	H
m0286	Carta 73	15	23	num	M
m0286	Carta 73	16	13	num	H
m0286	Carta 73	17	26	num	H
m0286	Carta 73	18	8	num	H
m0286	Carta 73	19	19	num	H
m0286	Carta 73	20	4	num	H
m0286	Carta 73	21	3	num	H
m0286	Carta 73	22	19	num	H
m0286	Carta 73	23	4	num	H
m0286	Carta 73	24	26	num	H
m0286	Carta 73	25	19	num	H
m0286	Carta 73	26	20	num	H
m0286	Carta 73	27	10	num	H
m0286	Carta 73	28	17	num	H
m0286	Carta 73	29	5	num	H
m0286	Carta 73	30	15	num	H
m0286	Carta 73	31	4	num	H
m0286	Carta 74	1	7	num	M
m0286	Carta 74	2	f	ltr	H
m0286	Carta 74	3	6	num	M
m0286	Carta 74	4	24	num	H
m0286	Carta 74	5	12	num	H
m0286	Carta 74	6	d	ltr	H
m0286	Carta 74	7	4±	num	M
m0286	Carta 74	8	26	num	H
m0286	Carta 74	9	19	num	H
m0286	Carta 74	10	15	num	H
m0286	Carta 74	11	y	ltr	H
m0286	Carta 74	12	12	num	H
m0286	Carta 74	13	a	ltr	H
m0286	Carta 74	14	23	num	H
m0286	Carta 74	15	h	ltr	H
m0286	Carta 74	16	d	ltr	H
m0286	Carta 74	17	m	ltr	H
m0286	Carta 74	18	a	ltr	H
m0286	Carta 74	19	20	num	H
m0286	Carta 74	20	19	num	H
m0286	Carta 74	21	17	num	H
m0286	Carta 74	22	18	num	H
m0286	Carta 74	23	55	num	H
m0286	Carta 74	24	15	num	H
m0286	Carta 74	25	12	num	H
m0286	Carta 74	26	3	num	H
m0286	Carta 74	27	g	ltr	H
m0286	Carta 74	28	12	num	H
m0286	Carta 74	29	y	ltr	H
m0286	Carta 74	30	22	num	H
m0286	Carta 74	31	15	num	H
m0286	Carta 74	32	5	num	H
m0286	Carta 74	33	17	num	H
m0286	Carta 74	34	f	ltr	H
m0286	Carta 74	35	8	num	H
m0286	Carta 74	36	g	ltr	H
m0286	Carta 74	37	18	num	H
m0286	Carta 74	38	18	num	H
m0286	Carta 74	39	23	num	H
m0286	Carta 74	40	24	num	H
m0286	Carta 74	41	4	num	H
m0286	Carta 74	42	a	ltr	H
m0286	Carta 74	43	7	num	M
m0286	Carta 74	44	f	ltr	H
m0286	Carta 74	45	a	ltr	H
m0286	Carta 74	46	y	ltr	H
m0286	Carta 74	47	12	num	H
m0286	Carta 74	48	7	num	M
m0286	Carta 74	49	18	num	H
m0286	Carta 74	50	17	num	H
m0286	Carta 74	51	12	num	H
m0286	Carta 74	52	24	num	H
m0286	Carta 74	53	f	ltr	H
m0286	Carta 74	54	15	num	H
m0286	Carta 74	55	15	num	H
m0286	Carta 74	56	4	num	H
m0286	Carta 74	57	3	num	H
m0286	Carta 74	58	y	ltr	H
m0286	Carta 74	59	5	num	H
m0286	Carta 74	60	d	ltr	H
m0286	Carta 74	61	h	ltr	H
m0286	Carta 74	62	25	num	H
m0286	Carta 74	63	5	num	H
m0286	Carta 74	64	23	num	H
m0286	Carta 74	65	f	ltr	H
