code	value	n_occurrences	grade	entries	all_observed_letters
16	f	1	M	m0287/Carta 80	"{""f"": 1}"
17	a	23	C	m0282/Carta 58;m0282/Carta 61;m0283/Carta 70;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0286/Passage 3a;m0287/Carta 79;m0289/Carta 91	"{""a"": 21, ""s"": 1, ""o"": 1}"
18	m	18	C	m0280/Carta 13;m0281/Carta 15;m0281/Carta 23;m0282/Carta 61;m0284/Passage 2a;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0286/Passage 3a;m0287/Carta 80;m0289/Carta 91;m0292/Passage 2a;m0294/Passage 2a	"{""s"": 1, ""m"": 13, ""o"": 2, ""n"": 1, ""r"": 1}"
19	e	20	C	m0282/Carta 58;m0283/Carta 70;m0284/Passage 2a;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0287/Carta 79;m0289/Carta 91;m0292/Carta 101;m0292/Passage 2a;m0294/Passage 2a	"{""e"": 18, ""o"": 1, ""x"": 1}"
20	l	6	C	m0282/Carta 61;m0284/Passage 3a;m0286/Carta 73;m0291/Carta 96;m0292/Carta 105	"{""l"": 6}"
21	b	5	C	m0284/Passage 3a;m0287/Carta 79;m0291/Carta 96;m0292/Carta 105	"{""b"": 4, ""o"": 1}"
22	i	2	C	m0281/Carta 23;m0289/Carta 91	"{""i"": 2}"
23	a	4	C	m0282/Carta 61;m0284/Passage 3a;m0286/Carta 73;m0289/Carta 91	"{""a"": 4}"
24	h	3	M	m0284/Passage 2a;m0284/Passage 3a;m0287/Carta 79	"{""h"": 1, ""e"": 1, ""r"": 1}"
25	o	4	C	m0281/Carta 23;m0282/Carta 61;m0291/Carta 96	"{""o"": 4}"
26	u	17	M	m0282/Carta 58;m0282/Carta 61;m0283/Carta 70;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0286/Passage 3a;m0287/Carta 79;m0287/Carta 80;m0289/Carta 91;m0292/Carta 105;m0292/Passage 2a	"{""u"": 11, ""v"": 5, ""o"": 1}"
52	r	2	C	m0282/Carta 61;m0292/Carta 101	"{""r"": 2}"
55	p	11	C	m0282/Carta 61;m0283/Carta 70;m0287/Carta 79;m0287/Carta 80;m0289/Carta 91;m0292/Carta 105;m0292/Passage 2a	"{""p"": 10, ""o"": 1}"
58	m	1	M	m0292/Carta 105	"{""m"": 1}"
310±	i	1	M	m0283/Carta 70	"{""i"": 1}"
400±	n	1	M	m0283/Carta 70	"{""n"": 1}"
a	t	2	C	m0280/Carta 13;m0281/Carta 15	"{""t"": 2}"
b±	g	1	M	m0283/Carta 70	"{""g"": 1}"
c	u	8	M	m0280/Carta 13;m0285/Carta 72;m0286/Passage 3a;m0289/Carta 91;m0291/Carta 96	"{""m"": 1, ""u"": 3, ""g"": 3, ""v"": 1}"
d	o	1	M	m0289/Carta 91	"{""o"": 1}"
e	g	6	M	m0280/Carta 13;m0281/Carta 15;m0281/Carta 23;m0289/Carta 91	"{""u"": 2, ""v"": 1, ""g"": 3}"
f	s	3	C	m0287/Carta 80;m0291/Carta 96	"{""s"": 2, ""e"": 1}"
m	n	5	C	m0280/Carta 13;m0281/Carta 23;m0292/Carta 105;m0292/Passage 2a	"{""n"": 5}"
x	d	2	C	m0289/Carta 91	"{""d"": 2}"
y	a	17	C	m0280/Carta 13;m0281/Carta 15;m0284/Passage 3a;m0285/Carta 72;m0286/Carta 73;m0287/Carta 79;m0289/Carta 91;m0291/Carta 96;m0292/Carta 105	"{""a"": 16, ""i"": 1}"
z	r	2	C	m0280/Carta 13	"{""r"": 2}"
