leaf	entry_label	cipher_line	deciffrada_line
m0285	Passage 4a	8.14.e.20.19.5.24.4. que 4.15.20.8.5.22.3.17.18.19.4.3.17.12.19.4.3.8.3.26.8.5.y.18.	Inglezes que solicitaó esta restituição
m0285	Passage 5a	14.17.18.10.7.12.19.4.55.15.4.3.17.	Não hé resposta
m0286	Carta 73	4.19.18.15.12.2.12.z.8.14.17.12.y.15.28.13.26.8.19.4.3.19.4. dois 26.19.20.10.17.5.15.4	Sempre ruinarás aqui este dois velhacos V.
m0286	Carta 74	z.f.b.24.12.d.L.26.19.15.y.12.a.23.h.d.m.a.z.20.19.17.18.55.15.12.3.g.12.y.12.22.15.5.17.f.8.g.18.18.23.24.4.a.z.f.c.g.4.p.y.5.d.4.x.19.6.15.m.f.26.20.a.y.12.z.18.17.12.24.f.15.15.4.3.y.5.d.h.25.5.23.f.a.z.20.10.17.m.15.	Espero que parta Monteleão por tirár ao ccariáo destes velhacos de consultarem a resposta como os Castelhanos V.
m0286	Passage 3a	17.14.8.18.c.26.z.18. adiraó 5.20.17.12.23.14.15.5.26.12.4.15.2.z.4.3.y.	A ninguem adiraó fára no curso deste V.
m0287	Carta 78	19.18.28.f.x.52.x.z.4.3.19.4.26.19.20.10.17.5.15.4.	Em dizer destes velhacos V.
m0287	Carta 79	17.13.26.8.14.17.18.4.19.17.3.19.4.2.19.17.12.23.f.17.18.y.10.e.26.18.17.z.19.4.3.24.26.24.20.10.17.5.15.20.15.3.19.f.15.26.52.19.8.12.15. vai 4.19.26. Caminho 55.24.12.17.3.y.8.21.15.12.14.19.	Aqui não se atende a Rasão algum, este velhaco do Thezoureiro vai seu Caminho para Baibona V.
m0287	Carta 80	10.26.18.16.8.14.15.2.z.4.55.12.15.f.8.3.15.	Huum fino de proposito V.
m0288	Carta 81	15.25.16.8.5.8.17.20.4.26.8.4.20.10.z.5.15.18.26.14.8.5.17.	O Coal Luis the Comunicá V.
m0288	Carta 85	17.3.12.15.5.2.z.17.20.5.17.14.4.23.12.19.18. qual q. bagatella avantajoza 14.15.3.12.17.3.23.2.15.2.19.8.4.26.19.14.2.z.12.17.18.3.15.2.15.18.26.14.2.25.	A troco de alcançarem q.q. bagatella avantajoza no Tractado da Rainha venderáo todo o Mundo V.
m0288	Passage 2a	19.4.3.19.4.10.15.18.17.4. tem 16.z.5.10.17.2.15. a porta 17.3.15.2.17. audiencia, e não cabe 14.15.55.17.55.19.20.15.2.z.g.17.16.15.12.15. com que 3.12.17.3.23.18.y.3.15.2.25.4.	Estes homens tem fechado a porta abra a Audiencia, e não cabe no papel do rastro com que tratáo os seus.
m0289	Carta 89	17.3.14.2.17.13.26.7.34.3.15.10.7.18.19.14.33.12.17.21.15.13.4.7.12.17. que 20.10.2.18.7.3.17.18.58.19.2.15.	Ainda que isto hé mentira bom será que lhe metaõ modo. Hª?
m0289	Carta 91	4.19.e.26.14.x.15.11.12.15.18.19.3.7.y.11.d.c.5.17.26.22.x.23.2.17.11.8.	Segundo promete a pouca vida do Rei.
m0289	Carta 92	19.4.3.7.26.8.20.10.y.5.15.24.f.8.17.x.7.5.20.23.12.y.x.25.15.12.17.m.5.7.4.19.p.26.18.x.24.f.a.19.4.x.22.y.f.g.17.14.3.23.m.x.d.z.h.5.y.ff.17.x.15.55.6.x.25.52.1.a.g.4.f.z.10.c.18.h.22.20.11.y.18.12.7.11.12.17.26.15.8.f.4.19.f.5.15.18.10.c.h.11.15.26.5.25.x.7.c.g.m.p.d.14.y.5.17.21.19.5.23.	Este velhaco está declarado Francez, e hum destes dias jantando em casa do Enviado da Hollanda disse hum Milhão de parvoíces com hum pouco de vinho na Cabeça. Hª?
m0290	Carta 93	19.14.17.18.24.f.3.y.z.h.21.15.23.g.m.a.z.h.g.e.19.14.5.22.y.5.25.18.15.y.16.d.12.a.z.h.26.20.g.m.e.21.12.15.5.rr.	Cá não há huma boa intelligencia entre? Oxfort. e Bullingbrook.
m0290	Passage 2a	13.26.19.5.c.7.20.t.y.25.c.d.f.24.26.11.7.11.15.x.7.12.8.y.18.19.4.3.17.12.14.24.f.7.a.19.4.11.d.16.15.12.y.7.25.4.26.m.x.7.15.c.7.25.19.8.14.g.f.a.7.12.22.25.14.19.e.26.m.x.d.y.f.8.14.7.22.4.11.15.ff.g.5.d.7.f.x.17.10.8.24.23.4.26.22.15.20.7.m.5.8.y.f.x.d.4.h.g.m.22.4.a.12.25.4.	Elle ou Ella, ou o seu Thesoureiro poderão estar neste serviço fora do Mundo ou do ministerio segdo as indisposiçoens da Rainha, e da Excellencia dos Ministros.
m0291	Passage 3a	55.19.20.7.15.f.m.10.b.c.6.4.y.7.m.a.18.17.x.23.2.15.55.12.22.14.5.2.55.24.x.7.10.y.14.25.26.19.12.11.d.12.7.f.5.15.5.8.y.11.17.12.23.55.12.19.26.22.m.8.12.y.x.d.11.5.	Pelos Nights? admirados do Principe de Hanover, por Escocia p.ª prevenir ao Principe de H.ª
m0291	Carta 94	55.26.2.7.4.f.19.7.14.26.7.12.c.15.14.10.17.12.7.4.3.17.12.y.8.14.10.17.	Poderá envergonhar esta Rainha. Hª
m0291	Carta 96	5.12.7.12.15.e.15.4.3.25.5.15.18.13.26.7.16.8.5.15. hé certo que 15.7.8.y.21.25.20.7.c.y.15.3.7.ff.15.c.22.7.8.12.25.	Querer agosto com o fico. Hé certo que o diabo leva o Thesoureiro. Hª
m0292	Carta 101	18.17.4.15.15. hé nº que 26.7.14.10.17.55.55.12.14.2. por que não há aparencia gº 7.14.3.52.19. pela 55.15.12.3.17.7.23.10.9.	Mas o Pe hé nº que vinha por Banca por que não há a parencia que entrá pela porta de Londres.
m0292	Carta 105	4.7.55.15.12.7.7.21.15.6.10.7. Elle está 6.15.14.10.7.6.8.7.15.55.15.12.10.26.58.55.15.21.12.7.3.y.20.7.m.3.15.	Se por deboche elle está conhecido por hum pobre talento.
m0292	Passage 2a	19.18.13.26.7.4.15.7.m.3.12.15.26.15.55.12.8.14.6.8.55.7.	Em que só entrou o Principe. Hª
m0293	Carta 106	19.4.3.y.10.g.26.22.26.7.12. em companhia 7.15.55.7.7.19.21.15.20.8.14.e.21.12.15.26.55.4.7.52.18.15.4.26.7.14.7.8.7.15.4.	Esta Rainha vive em companhia do Thesoureiro, e do Bullingbrook seremos vendidos. Hª
m0293	Carta 107	21.19.18.20.8.26.12.17.7.15.4.13.26.19.7.26.	Bem livrados que Dsº. Hª
m0293	Passage 2a	19.4.3.19.26.7.20.10.17.5.15.21.c.20.8.14.21.12.c.rr.10.7.m.15.4.f.25.8.14.8.18.22.e.25.	Este velhaco de Bullingbrook hé nosso inimigo. Hª
m0294	Carta 110	19.4.3.19.26.24.20.10.17.5.15.54.17.18.12.19.4.55.15.54.x.7.12.18.7.16.15.e.7.7.7.19.8.18 de muita vergonha 17.4.26.y.18.7.14.3.8.12.y.	Este velhaco não responder-me foge de mim devo estar vergonha à sua mentira? Hª
m0294	Passage 2a	7.19.14.15.4.18.7.3.7.12. tanto adiante 55.y.7.7.55.54.7.19.14.5.8.17.7.19.10.7.	De nos meter tanto adiante nas dependencias da Rainha. Hª
m0294	Carta 123		A Corte desconfiando de poder guardar o Tractado do Commercio com a Rainha, e que quando o faço passar nunca ficará bem aceito no Parlamento. Que o Tractado com Castella não hé de grande utilidade determina fazer com nosco hum novo Tractado de Commercio para se segurar contra a defensa dos seus generos, e p.ª tractar de colher alguma entrada no Parlamento com qualquer pratexto ou procurando algum Estabelecimento entre o Rio de Janeiro, e o da Prata. Esta hé a p.ª instrução q.ª leva o novo Enviado, e o Principe pertende que esta Negociação se faça de consigo assy do direcção do Thesoureiro p.ª que a Rainha se possa comonicar as duas Coroas como hum grande arbitro p.ª recompensa do que perderão com Hespanha, e com Castella. Eu soube isto por huma pessoa, e por algumas palavras q.e ouvi ao Thesoureiro sobre a diligencia com q.e queriaõ mandar o novo Ministro. Nestes termos hé para entender que desejaõ que a nossa Paz se dilate p.ª no interim mais nada de prudencia. Também tempo de ser se ajustaõ para nos alijarem e obrigarem. Este Velhaco não sabe aonde dará com a cabeça. Todos o aborrecem, e tem tantos inimigos no seu partido como no contrario. A grande impreza que agora medita hé fazer-se Reino Republico depois da morte da Rainha. D.s Gd.e a V. Ex.ª. 7 de 9bro de 1713.
