leaf	letter_no	run_id	position	token	token_type	context_before	context_after
m0179	80	m0179-r1	18	3	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0179	80	m0179-r1	19	15	digit	sobre a Politica desta reposta que naõ hé mais q.e	e algua coisa mais á manhaã lhe darei
m0180	81	m0180-r1	1	15	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	2	25	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	3	16	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	4	85	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	5	8	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	6	57	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	7	20	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	8	7	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	9	26	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	10	8	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	11	4	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	12	20	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	13	10	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	14	2	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	15	5	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	16	55	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	17	18	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	18	26	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	19	54	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	20	8?	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	21	5	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0180	81	m0180-r1	22	57	digit	que vem, e entaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento
m0276	none	m0276-r1	1	55	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	2	47	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	3	12	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	4	23	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	5	14	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	6	d	letter	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	7	f	letter	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	8	16	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	9	17	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	10	ff?	letter	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	11	7	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	12	12	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	13	5	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	14	z	letter	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	15	x	letter	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	16	d	letter	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r1	17	12	digit	(none -- cipher run begins at the very top of this leaf's visible text, apparently continuing from the previous page)	mas isto hé imposivel, nem o tempo o permite
m0276	none	m0276-r2	1	x	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	2	7	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	3	55	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	4	52	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	5	15	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	6	26	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	7	y	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	8	20	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	9	25	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	10	f	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	11	24	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	12	e	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	13	3	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	14	17	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	15	20	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	16	t	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	17	19	digit	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	18	m	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	19	a	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
m0276	none	m0276-r2	20	d	letter	nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo
