leaf	entry_label	position	token	token_type
m0290	Passage 2a	53	7	num
m0290	Passage 2a	54	25	num
m0290	Passage 2a	55	19	num
m0290	Passage 2a	56	8	num
m0290	Passage 2a	57	14	num
m0290	Passage 2a	58	g	ltr
m0290	Passage 2a	59	f	ltr
m0290	Passage 2a	60	a	ltr
m0290	Passage 2a	61	7	num
m0290	Passage 2a	62	12	num
m0290	Passage 2a	63	22	num
m0290	Passage 2a	64	25	num
m0290	Passage 2a	65	14	num
m0290	Passage 2a	66	19	num
m0290	Passage 2a	67	e	ltr
m0290	Passage 2a	68	26	num
m0290	Passage 2a	69	m	ltr
m0290	Passage 2a	70	x	ltr
m0290	Passage 2a	71	d	ltr
m0290	Passage 2a	72	y	ltr
m0290	Passage 2a	73	f	ltr
m0290	Passage 2a	74	8	num
m0290	Passage 2a	75	14	num
m0290	Passage 2a	76	7	num
m0290	Passage 2a	77	22	num
m0290	Passage 2a	78	4	num
m0290	Passage 2a	79	11	num
m0290	Passage 2a	80	15	num
m0290	Passage 2a	81	ff	ltr
m0290	Passage 2a	82	g	ltr
m0290	Passage 2a	83	5	num
m0290	Passage 2a	84	d	ltr
m0290	Passage 2a	85	7	num
m0290	Passage 2a	86	f	ltr
m0290	Passage 2a	87	x	ltr
m0290	Passage 2a	88	17	num
m0290	Passage 2a	89	10	num
m0290	Passage 2a	90	8	num
m0290	Passage 2a	91	24	num
m0290	Passage 2a	92	23	num
m0290	Passage 2a	93	4	num
m0290	Passage 2a	94	26	num
m0290	Passage 2a	95	22	num
m0290	Passage 2a	96	15	num
m0290	Passage 2a	97	20	num
m0290	Passage 2a	98	7	num
m0290	Passage 2a	99	m	ltr
m0290	Passage 2a	100	5	num
m0290	Passage 2a	101	8	num
m0290	Passage 2a	102	y	ltr
m0290	Passage 2a	103	f	ltr
m0290	Passage 2a	104	x	ltr
m0290	Passage 2a	105	d	ltr
m0290	Passage 2a	106	4	num
m0290	Passage 2a	107	h	ltr
m0290	Passage 2a	108	g	ltr
m0290	Passage 2a	109	m	ltr
m0290	Passage 2a	110	22	num
m0290	Passage 2a	111	4	num
m0290	Passage 2a	112	a	ltr
m0290	Passage 2a	113	12	num
m0290	Passage 2a	114	25	num
m0290	Passage 2a	115	4	num
m0291	Passage 3a	1	55	num
m0291	Passage 3a	2	19	num
m0291	Passage 3a	3	20	num
m0291	Passage 3a	4	7	num
m0291	Passage 3a	5	15	num
m0291	Passage 3a	6	f	ltr
m0291	Passage 3a	7	m	ltr
m0291	Passage 3a	8	10	num
m0291	Passage 3a	9	b?	ltr
m0291	Passage 3a	10	c	ltr
m0291	Passage 3a	11	6	num
m0291	Passage 3a	12	4	num
m0291	Passage 3a	13	y	ltr
m0291	Passage 3a	14	7	num
m0291	Passage 3a	15	m	ltr
m0291	Passage 3a	16	a	ltr
m0291	Passage 3a	17	18	num
m0291	Passage 3a	18	17	num
m0291	Passage 3a	19	x	ltr
m0291	Passage 3a	20	23	num
m0291	Passage 3a	21	2	num
m0291	Passage 3a	22	15	num
m0291	Passage 3a	23	55	num
m0291	Passage 3a	24	12	num
m0291	Passage 3a	25	22	num
m0291	Passage 3a	26	14	num
m0291	Passage 3a	27	5	num
m0291	Passage 3a	28	2	num
m0291	Passage 3a	29	55	num
m0291	Passage 3a	30	24	num
m0291	Passage 3a	31	x	ltr
m0291	Passage 3a	32	7	num
m0291	Passage 3a	33	10	num
m0291	Passage 3a	34	y	ltr
m0291	Passage 3a	35	14	num
m0291	Passage 3a	36	25	num
m0291	Passage 3a	37	26	num
m0291	Passage 3a	38	19	num
m0291	Passage 3a	39	12	num
m0291	Passage 3a	40	11	num
m0291	Passage 3a	41	d	ltr
m0291	Passage 3a	42	12	num
m0291	Passage 3a	43	7	num
m0291	Passage 3a	44	f	ltr
m0291	Passage 3a	45	5	num
m0291	Passage 3a	46	15	num
m0291	Passage 3a	47	5	num
m0291	Passage 3a	48	8	num
m0291	Passage 3a	49	y	ltr
m0291	Passage 3a	50	11	num
m0291	Passage 3a	51	17	num
m0291	Passage 3a	52	12	num
m0291	Passage 3a	53	23	num
m0291	Passage 3a	54	55	num
m0291	Passage 3a	55	12	num
m0291	Passage 3a	56	19	num
m0291	Passage 3a	57	26	num
m0291	Passage 3a	58	22	num
m0291	Passage 3a	59	m	ltr
m0291	Passage 3a	60	8	num
m0291	Passage 3a	61	12	num
m0291	Passage 3a	62	y	ltr
m0291	Passage 3a	63	x	ltr
m0291	Passage 3a	64	d	ltr
m0291	Passage 3a	65	11	num
m0291	Passage 3a	66	5	num
m0291	Carta 94	1	55	num
m0291	Carta 94	2	26	num
m0291	Carta 94	3	2	num
m0291	Carta 94	4	7	num
m0291	Carta 94	5	4	num
m0291	Carta 94	6	f	ltr
m0291	Carta 94	7	19	num
m0291	Carta 94	8	7	num
m0291	Carta 94	9	14	num
m0291	Carta 94	10	26	num
m0291	Carta 94	11	7	num
m0291	Carta 94	12	12	num
m0291	Carta 94	13	c	ltr
m0291	Carta 94	14	15	num
m0291	Carta 94	15	14	num
m0291	Carta 94	16	10	num
m0291	Carta 94	17	17	num
m0291	Carta 94	18	12	num
m0291	Carta 94	19	7	num
m0291	Carta 94	20	4	num
m0291	Carta 94	21	3	num
m0291	Carta 94	22	17	num
m0291	Carta 94	23	12	num
m0291	Carta 94	24	y	ltr
m0291	Carta 94	25	8	num
m0291	Carta 94	26	14	num
m0291	Carta 94	27	10	num
m0291	Carta 94	28	17	num
m0291	Carta 96	1	5	num
m0291	Carta 96	2	12	num
m0291	Carta 96	3	7	num
m0291	Carta 96	4	12	num
m0291	Carta 96	5	15	num
m0291	Carta 96	6	e	ltr
m0291	Carta 96	7	15	num
m0291	Carta 96	8	4	num
m0291	Carta 96	9	3	num
m0291	Carta 96	10	25	num
m0291	Carta 96	11	5	num
m0291	Carta 96	12	15	num
m0291	Carta 96	13	18	num
m0291	Carta 96	14	13	num
m0291	Carta 96	15	26	num
m0291	Carta 96	16	7	num
m0291	Carta 96	17	16	num
m0291	Carta 96	18	8	num
m0291	Carta 96	19	5	num
m0291	Carta 96	20	15	num
m0291	Carta 96	21	15	num
m0291	Carta 96	22	7	num
m0291	Carta 96	23	8	num
m0291	Carta 96	24	y	ltr
m0291	Carta 96	25	21	num
m0291	Carta 96	26	25	num
m0291	Carta 96	27	20	num
m0291	Carta 96	28	7	num
m0291	Carta 96	29	c	ltr
m0291	Carta 96	30	y	ltr
m0291	Carta 96	31	15	num
m0291	Carta 96	32	3	num
m0291	Carta 96	33	7	num
m0291	Carta 96	34	ff	ltr
m0291	Carta 96	35	15	num
m0291	Carta 96	36	c	ltr
m0291	Carta 96	37	22	num
m0291	Carta 96	38	7	num
m0291	Carta 96	39	8	num
m0291	Carta 96	40	12	num
m0291	Carta 96	41	25	num
m0292	Carta 101	1	18	num
m0292	Carta 101	2	17	num
m0292	Carta 101	3	4	num
m0292	Carta 101	4	15	num
m0292	Carta 101	5	15	num
m0292	Carta 101	6	26	num
m0292	Carta 101	7	7	num
m0292	Carta 101	8	14	num
m0292	Carta 101	9	10	num
m0292	Carta 101	10	17	num
m0292	Carta 101	11	55	num
m0292	Carta 101	12	55	num
m0292	Carta 101	13	12	num
m0292	Carta 101	14	14	num
m0292	Carta 101	15	2	num
m0292	Carta 101	16	7	num
m0292	Carta 101	17	14	num
m0292	Carta 101	18	3	num
m0292	Carta 101	19	52	num
m0292	Carta 101	20	19	num
m0292	Carta 101	21	55	num
m0292	Carta 101	22	15	num
m0292	Carta 101	23	12	num
m0292	Carta 101	24	3	num
m0292	Carta 101	25	17	num
m0292	Carta 101	26	7	num
m0292	Carta 101	27	23	num
m0292	Carta 101	28	10	num
m0292	Carta 101	29	9	num
m0292	Carta 105	1	4	num
m0292	Carta 105	2	7	num
m0292	Carta 105	3	55	num
m0292	Carta 105	4	15	num
m0292	Carta 105	5	12	num
m0292	Carta 105	6	7	num
m0292	Carta 105	7	7	num
m0292	Carta 105	8	21	num
m0292	Carta 105	9	15	num
m0292	Carta 105	10	6	num
m0292	Carta 105	11	10	num
m0292	Carta 105	12	7	num
m0292	Carta 105	13	6	num
m0292	Carta 105	14	15	num
m0292	Carta 105	15	14	num
m0292	Carta 105	16	10	num
m0292	Carta 105	17	7	num
m0292	Carta 105	18	6	num
m0292	Carta 105	19	8	num
m0292	Carta 105	20	7	num
m0292	Carta 105	21	15	num
m0292	Carta 105	22	55	num
m0292	Carta 105	23	15	num
m0292	Carta 105	24	12	num
m0292	Carta 105	25	10	num
m0292	Carta 105	26	26	num
m0292	Carta 105	27	58	num
m0292	Carta 105	28	55	num
m0292	Carta 105	29	15	num
m0292	Carta 105	30	21	num
m0292	Carta 105	31	12	num
m0292	Carta 105	32	7	num
m0292	Carta 105	33	3	num
m0292	Carta 105	34	y	ltr
m0292	Carta 105	35	20	num
m0292	Carta 105	36	7	num
m0292	Carta 105	37	m	ltr
m0292	Carta 105	38	3	num
m0292	Carta 105	39	15	num
m0292	Passage 2a	1	19	num
m0292	Passage 2a	2	18	num
m0292	Passage 2a	3	13	num
m0292	Passage 2a	4	26	num
m0292	Passage 2a	5	7	num
m0292	Passage 2a	6	4	num
m0292	Passage 2a	7	15	num
m0292	Passage 2a	8	7	num
m0292	Passage 2a	9	m	ltr
m0292	Passage 2a	10	3	num
m0292	Passage 2a	11	12	num
m0292	Passage 2a	12	15	num
m0292	Passage 2a	13	26	num
m0292	Passage 2a	14	15	num
m0292	Passage 2a	15	55	num
m0292	Passage 2a	16	12	num
m0292	Passage 2a	17	8	num
m0292	Passage 2a	18	14	num
m0292	Passage 2a	19	6	num
m0292	Passage 2a	20	8	num
m0292	Passage 2a	21	55	num
m0292	Passage 2a	22	7	num
m0293	Carta 106	1	19	num
m0293	Carta 106	2	4	num
m0293	Carta 106	3	3	num
m0293	Carta 106	4	y	ltr
m0293	Carta 106	5	10	num
m0293	Carta 106	6	g	ltr
m0293	Carta 106	7	26	num
m0293	Carta 106	8	22	num
m0293	Carta 106	9	26	num
m0293	Carta 106	10	7	num
m0293	Carta 106	11	12	num
m0293	Carta 106	12	7	num
m0293	Carta 106	13	15	num
m0293	Carta 106	14	55	num
m0293	Carta 106	15	7	num
m0293	Carta 106	16	7	num
m0293	Carta 106	17	19	num
m0293	Carta 106	18	21	num
m0293	Carta 106	19	15	num
m0293	Carta 106	20	20	num
m0293	Carta 106	21	8	num
m0293	Carta 106	22	14	num
m0293	Carta 106	23	e	ltr
m0293	Carta 106	24	21	num
m0293	Carta 106	25	12	num
m0293	Carta 106	26	15	num
m0293	Carta 106	27	26	num
m0293	Carta 106	28	55	num
m0293	Carta 106	29	4	num
m0293	Carta 106	30	7	num
m0293	Carta 106	31	52	num
m0293	Carta 106	32	18	num
m0293	Carta 106	33	15	num
m0293	Carta 106	34	4	num
m0293	Carta 106	35	26	num
m0293	Carta 106	36	7	num
m0293	Carta 106	37	14	num
m0293	Carta 106	38	7	num
m0293	Carta 106	39	8	num
m0293	Carta 106	40	7	num
m0293	Carta 106	41	15	num
m0293	Carta 106	42	4	num
m0293	Carta 107	1	21	num
m0293	Carta 107	2	19	num
m0293	Carta 107	3	18	num
m0293	Carta 107	4	20	num
m0293	Carta 107	5	8	num
m0293	Carta 107	6	26	num
m0293	Carta 107	7	12	num
m0293	Carta 107	8	17	num
m0293	Carta 107	9	7	num
m0293	Carta 107	10	15	num
m0293	Carta 107	11	4	num
m0293	Carta 107	12	13	num
m0293	Carta 107	13	26	num
m0293	Carta 107	14	19	num
m0293	Carta 107	15	7	num
m0293	Carta 107	16	26	num
m0293	Passage 2a	1	19	num
m0293	Passage 2a	2	4	num
m0293	Passage 2a	3	3	num
m0293	Passage 2a	4	19	num
m0293	Passage 2a	5	26	num
m0293	Passage 2a	6	7	num
m0293	Passage 2a	7	20	num
m0293	Passage 2a	8	10	num
m0293	Passage 2a	9	17	num
m0293	Passage 2a	10	5	num
m0293	Passage 2a	11	15	num
m0293	Passage 2a	12	21	num
m0293	Passage 2a	13	c	ltr
m0293	Passage 2a	14	20	num
m0293	Passage 2a	15	8	num
m0293	Passage 2a	16	14	num
m0293	Passage 2a	17	21	num
m0293	Passage 2a	18	12	num
m0293	Passage 2a	19	c	ltr
m0293	Passage 2a	20	rr	ltr
m0293	Passage 2a	21	10	num
m0293	Passage 2a	22	7	num
m0293	Passage 2a	23	m	ltr
m0293	Passage 2a	24	15	num
m0293	Passage 2a	25	4	num
m0293	Passage 2a	26	f	ltr
m0293	Passage 2a	27	25	num
m0293	Passage 2a	28	8	num
m0293	Passage 2a	29	14	num
m0293	Passage 2a	30	8	num
m0293	Passage 2a	31	18	num
m0293	Passage 2a	32	22	num
m0293	Passage 2a	33	e	ltr
m0293	Passage 2a	34	25	num
m0294	Carta 110	1	19	num
m0294	Carta 110	2	4	num
m0294	Carta 110	3	3	num
m0294	Carta 110	4	19	num
m0294	Carta 110	5	26	num
m0294	Carta 110	6	24	num
m0294	Carta 110	7	20	num
m0294	Carta 110	8	10	num
m0294	Carta 110	9	17	num
m0294	Carta 110	10	5	num
m0294	Carta 110	11	15	num
m0294	Carta 110	12	54	num
m0294	Carta 110	13	17	num
m0294	Carta 110	14	18	num
m0294	Carta 110	15	12	num
m0294	Carta 110	16	19	num
m0294	Carta 110	17	4	num
m0294	Carta 110	18	55	num
m0294	Carta 110	19	15	num
m0294	Carta 110	20	54	num
m0294	Carta 110	21	x	ltr
m0294	Carta 110	22	7	num
m0294	Carta 110	23	12	num
m0294	Carta 110	24	18	num
m0294	Carta 110	25	7	num
m0294	Carta 110	26	16	num
m0294	Carta 110	27	15	num
m0294	Carta 110	28	e	ltr
m0294	Carta 110	29	7	num
m0294	Carta 110	30	7	num
m0294	Carta 110	31	7	num
m0294	Carta 110	32	19	num
m0294	Carta 110	33	8	num
m0294	Carta 110	34	18	num
m0294	Carta 110	35	17	num
m0294	Carta 110	36	4	num
m0294	Carta 110	37	26	num
m0294	Carta 110	38	y	ltr
m0294	Carta 110	39	18	num
m0294	Carta 110	40	7	num
m0294	Carta 110	41	14	num
m0294	Carta 110	42	3	num
m0294	Carta 110	43	8	num
m0294	Carta 110	44	12	num
m0294	Carta 110	45	y	ltr
m0294	Passage 2a	1	7	num
m0294	Passage 2a	2	19	num
m0294	Passage 2a	3	14	num
m0294	Passage 2a	4	15	num
m0294	Passage 2a	5	4	num
m0294	Passage 2a	6	18	num
m0294	Passage 2a	7	7	num
m0294	Passage 2a	8	3	num
m0294	Passage 2a	9	7	num
m0294	Passage 2a	10	12	num
m0294	Passage 2a	11	55	num
m0294	Passage 2a	12	y	ltr
m0294	Passage 2a	13	7	num
m0294	Passage 2a	14	7	num
m0294	Passage 2a	15	55	num
m0294	Passage 2a	16	54	num
m0294	Passage 2a	17	7	num
m0294	Passage 2a	18	19	num
m0294	Passage 2a	19	14	num
m0294	Passage 2a	20	5	num
m0294	Passage 2a	21	8	num
m0294	Passage 2a	22	17	num
m0294	Passage 2a	23	7	num
m0294	Passage 2a	24	19	num
m0294	Passage 2a	25	10	num
m0294	Passage 2a	26	7	num
