leaf	letter_no	run_id	position	token	token_type	context_before	context_after
m0180	81	m0180-r1	5	8	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	6	57	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	7	20	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	8	+?	letter	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	9	26	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	10	8	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	11	4	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	12	20	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	13	10	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	14	2	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	15	5	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	16	15	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	17	18	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	18	26	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	19	54	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	20	8	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	21	5	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0180	81	m0180-r1	22	57	digit	vem, e antaõ darei a memoria por que	tudo. Naõ referi o Diario do Parlamento fes
m0276	none	m0276-r1	1	55	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	2	17	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	3	12	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	4	23	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	5	14	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	6	d	letter	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	7	f	letter	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	8	16	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	9	17	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	10	ff?	letter	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	11	z	letter	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	12	12	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	13	5	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	14	7	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	15	7	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	16	d	letter	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r1	17	12	digit	none (leaf begins here, no preceding text)	mas isto hé impossivel, nem o tempo o
m0276	none	m0276-r2	1	x	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	2	z	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	3	55	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	4	52	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	5	15	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	6	26	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	7	y	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	8	20	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	9	25	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	10	f	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	11	24	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	12	e	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	13	3	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	14	17	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	15	20	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	16	t	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	17	19	digit	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	18	m	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	19	a	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
m0276	none	m0276-r2	20	d	letter	impossivel, nem o tempo o permite, e só serve	Cá naõ cuido de dizer que o novo Enviado
