run	pos	token	kind	grade_transcription
11	20	4	num	both
11	21	76	num	both
11	22	70	num	both
11	23	78	num	both
11	24	73	num	both
11	25	127	num	both
11	26	137	num	both
11	27	uff	clear	both
11	28	53	num	both
11	29	54	num	both
11	30	92	num	both
11	31	9	num	both
11	32	111	num	both
11	33	54	num	both
11	34	ge	clear	both
11	35	98	num	both
11	36	55	num	both
11	37	7	num	both
11	38	er	clear	both
11	39	14	num	both
11	40	dem	clear	both
11	41	83	num	both
11	42	13	num	both
11	43	63	num	both
11	44	er	clear	both
11	45	91	num	both
11	46	65	num	both
11	47	93	num	both
11	48	34	num	both
12	1	14	num	both
12	2	24	num	both
12	3	335	num	both
13	1	105	num	both
13	2	18	num	both
13	3	64	num	both
13	4	42	num	both
13	5	12	num	both
13	6	100	num	both
13	7	83	num	both
13	8	d	clear	both
13	9	9	num	both
13	10	69	num	both
13	11	47	num	both
13	12	48	num	both
13	13	9	num	both
13	14	345	num	both
13	15	14	num	both
13	16	71	num	both
13	17	74	num	both
13	18	4	num	both
13	19	38	num	both
13	20	23	num	both
14	1	201	num	both
15	1	78	num	both
15	2	60	num	both
15	3	7	num	both
15	4	74	num	both
15	5	47	num	both
15	6	9	num	both
15	7	182	num	both
15	8	vert	clear	both
15	9	179	num	both
15	10	104	num	both
15	11	94	num	both
15	12	6	num	both
15	13	69	num	both
15	14	93	num	both
15	14b	iiij_cl	roman	both
16	1	138	num	both
16	2	129	num	both
16	3	344	num	both
16	4	14	num	both
16	5	24	num	both
16	6	60	num	both
16	7	88	num	both
16	8	27	num	both
16	9	eig	clear	both
16	10	39	num	both
16	11	44	num	both
17	1	8	num	both
17	2	7	num	both
17	3	64	num	both
17	4	39	num	both
18	1	73	num	both
18	2	74	num	both
18	3	98	num	both
18	4	14	num	both
18	5	65	num	both
18	6	93	num	both
18	7	11	num	both
18	8	27	num	both
18	9	18	num	both
18	10	5	num	both
19	1	62	num	both
19	2	42	num	both
19	3	132	num	both
19	4	ey	clear	both
19	5	9	num	both
20	1	137	num	both
20	2	frü	clear	both
20	3	9	num	both
20	4	32	num	both
21	1	63	num	both
21	2	105	num	both
21	3	37	num	both
21	4	ch	clear	both
21	5	14	num	both
21	6	16	num	both
21	7	42	num	both
21	8	69	num	both
21	9	126	num	both
21	10	in	clear	both
21	11	66	num	both
21	12	120	num	both
21	13	v	clear	both
21	14	127	num	both
21	15	gü	clear	both
21	16	14	num	both
21	17	88	num	both
21	18	68	num	both
21	19	128	num	both
21	20	2	num	both
21	21	e	clear	both
21	22	115	num	both
21	23	ogen	clear	both
21	24	19	num	both
22	1	336	num	both
22	2	zu	clear	both
22	3	295	num	both
23	1	28	num	both
23	2	29	num	both
23	3	59	num	both
23	4	63	num	both
23	5	n	clear	both
23	6	19	num	both
23	7	für	clear	both
23	8	14	num	both
23	9	3	num	both
23	10	50	num	both
23	11	98	num	both
23	12	58	num	both
23	13	59	num	both
23	14	n	clear	both
23	15	129	num	both
24	1	157	num	both
24	2	137	num	both
24	3	133	num	both
25	1	60	num	both
25	2	76	num	both
25	3	96	num	both
25	4	18	num	both
25	5	65	num	both
25	6	93	num	both
25	7	62	num	both
25	8	64	num	both
26	1	126	num	both
26	2	137	num	both
26	3	181	num	both
27	1	127	num	both
27	2	19	num	both
27	3	178	num	both
27	4	9	num	both
28	1	9	num	both
28	2	23	num	both
28	3	33	num	both
28	4	34	num	both
28	5	133	num	both
28	6	53	num	both
28	7	ür	clear	both
28	8	52	num	both
28	9	22	num	both
28	9b	126	num	both
29	1	19	num	both
29	2	290	num	both
30	1	43	num	both
30	2	44	num	both
30	3	64	num	both
30	4	d	clear	both
30	5	134	num	both
30	6	74	num	both
31	1	19	num	both
31	2	21	num	both
31	3	27	num	both
31	4	79	num	both
31	5	28	num	both
31	6	33	num	both
31	7	69	num	both
31	8	47	num	both
31	9	14	num	both
31	10	77	num	both
31	11	70	num	both
31	12	78	num	both
31	13	6	num	both
31	14	74	num	both
31	15	76	num	both
31	16	127	num	both
31	17	137	num	both
32	1	9	num	both
32	2	105	num	both
32	3	84	num	both
32	4	86	num	both
32	5	11	num	both
32	6	63	num	both
32	7	88	num	both
32	8	9	num	both
33	1	120	num	both
33	2	1	num	both
33	3	5	num	both
33	4	14	num	both
33	5	73	num	both
33	6	4	num	both
33	7	19	num	both
33	8	15	num	both
33	9	27	num	both
33	10	79	num	both
33	11	78	num	both
33	12	44	num	both
33	13	8	num	both
33	14	74	num	both
33	15	42	num	both
33	16	9	num	both
33	17	91	num	both
33	18	13	num	both
33	19	10	num	both
33	20	15	num	both
33	21	ern	clear	both
33	22	126	num	both
34	1	128	num	both
34	2	135	num	both
34	3	157	num	both
34	4	das	clear	both
34	5	142	num	both
35	1	18	num	both
35	2	88	num	both
35	3	128	num	both
35	4	311	num	both
35	5	14	num	both
35	6	38	num	both
35	7	35	num	both
35	8	50	num	both
35	9	93	num	both
35	10	13	num	both
36	1	74	num	both
36	2	4	num	both
36	3	54	num	both
36	4	78	num	both
36	5	14	num	both
36	6	15	num	both
36	7	47	num	both
36	8	23	num	both
36	9	53	num	both
36	10	69	num	both
36	11	137	num	both
36	12	128	num	both
37	1	140	num	both
37	2	und	clear	both
37	3	142	num	both
38	1	168	num	both
39	1	30	num	both
39	2	69	num	both
39	3	te	clear	both
39	4	14	num	both
39	5	r	clear	both
39	6	19	num	both
39	7	79	num	both
39	8	67	num	both
39	9	7	num	both
39	10	28	num	both
39	11	74	num	both
39	12	n	clear	both
39	13	127	num	both
40	1	129	num	both
40	2	146	num	both
41	1	66	num	both
41	2	99	num	both
41	3	49	num	both
41	4	104	num	both
41	5	90	num	both
41	6	93	num	both
41	7	69	num	both
41	8	cht	clear	both
41	9	128	num	both
42	1	19	num	both
42	2	9	num	both
42	3	48	num	both
42	4	ch	clear	both
42	5	138	num	both
42	6	8	num	both
42	7	10	num	both
42	8	15	num	both
42	9	120	num	both
42	10	88	num	both
42	11	6	num	both
42	12	138	num	both
43	1	2	num	both
43	2	120	num	both
43	3	61	num	both
43	4	er	clear	both
43	5	14	num	both
43	6	9	num	both
43	7	98	num	both
43	8	70	num	both
43	9	39	num	both
43	10	84	num	both
43	11	42	num	both
44	1	73	num	both
44	2	14	num	both
44	3	126	num	both
44	4	en	clear	both
44	5	9	num	both
44	6	5	num	both
44	7	27	num	both
44	8	4	num	both
44	9	68	num	both
44	10	en	clear	both
44	11	135	num	both
45	1	77	num	both
45	2	70	num	both
45	3	72	num	both
45	4	7	num	both
45	5	29	num	both
45	6	129	num	both
45	7	14	num	both
45	8	9	num	both
45	9	104	num	both
45	10	100	num	both
45	11	19	num	both
45	12	v	clear	both
45	13	43	num	both
45	14	54	num	both
45	15	3	num	both
45	16	64	num	both
45	17	14	num	both
45	18	134	num	both
45	19	105	num	both
45	20	54	num	both
45	21	37	num	both
45	22	48	num	both
45	23	115	num	both
45	24	52	num	both
45	25	12	num	both
45	26	59	num	both
45	27	88	num	both
45	28	9	num	both
46	1	137	num	both
46	2	178	num	both
46	3	und	clear	both
46	4	14	num	both
46	5	19	num	both
46	6	183	num	both
47	1	129	num	both
47	2	135	num	both
47	3	14	num	both
47	4	9	num	both
47	5	316	num	both
47	6	dasz	clear	both
47	7	28	num	both
47	8	29	num	both
47	9	27	num	both
47	10	79	num	both
47	11	33	num	both
47	12	38	num	both
47	13	108	num	both
47	14	14	num	both
47	15	19	num	both
48	1	34	num	both
48	2	54	num	both
48	3	17	num	both
48	4	64	num	both
48	5	wa	clear	both
48	6	9	num	both
48	7	43	num	both
48	8	44	num	both
48	9	43	num	both
49	1	14	num	both
49	2	91	num	both
49	3	70	num	both
49	4	9	num	both
49	5	88	num	both
49	6	99	num	both
49	7	100	num	both
50	1	24	num	both
50	2	201	num	both
51	1	24	num	both
51	2	105	num	both
51	3	83	num	both
51	4	90	num	both
51	5	94	num	both
51	6	14	num	both
52	1	9	num	both
52	2	11	num	both
52	3	69	num	M
52	4	10	num	both
52	5	70	num	both
52	6	32	num	both
53	1	342	num	both
53	2	und	clear	both
53	3	343	num	both
53	4	128	num	both
54	1	119	num	both
54	2	118	num	both
54	3	115	num	both
54	4	137	num	both
54	5	111	num	both
54	6	a	clear	both
54	7	43	num	both
54	8	48	num	both
55	1	19	num	both
55	2	24	num	both
55	3	201	num	both
56	1	91	num	both
56	2	69	num	both
56	3	110	num	both
56	4	39	num	both
56	5	44	num	both
56	6	14	num	both
56	7	en	clear	both
56	8	9	num	both
56	9	gahr	clear	both
56	10	71	num	both
56	11	96	num	both
56	12	99	num	both
56	13	43	num	both
56	14	134	num	both
56	15	136	num	both
57	1	33	num	both
57	2	64	num	both
57	3	8	num	both
57	4	88	num	both
57	5	er	clear	both
57	6	14	num	both
57	7	19	num	both
58	1	104	num	both
58	2	120	num	both
58	3	59	num	both
58	4	83	num	both
58	5	29	num	both
58	6	va	clear	both
58	7	14	num	both
58	8	49	num	both
58	9	19	num	both
59	1	201	num	both
59	2	19	num	both
59	3	24	num	both
59	4	66	num	both
59	5	69	num	both
59	6	23	num	both
59	7	43	num	both
59	8	70	num	both
59	9	77	num	both
59	10	74	num	both
59	11	78	num	both
59	12	127	num	both
60	1	12	num	both
60	2	65	num	both
60	3	42	num	both
60	4	44	num	both
60	5	59	num	both
60	6	47	num	both
60	7	14	num	both
60	8	124	num	both
60	9	115	num	both
60	10	ge	clear	both
60	11	48	num	both
60	12	54	num	both
60	13	39	num	both
60	14	118	num	both
60	15	t	clear	both
60	16	19	num	both
61	1	121	num	both
61	2	133	num	both
61	3	192	num	both
PS1	1	127	num	image
PS1	2	133	num	image
PS2	1	1	num	image
PS2	2	101	num	image
PS2	3	31	num	image
PS2	4	121	num	image
PS2	5	131	num	image
PS2	6	41	num	image
PS2	7	102	num	image
PS2	8	30	num	image
PS2	9	29	num	image
PS2	10	81	num	image
PS2	11	2	num	image
PS2	12	136	num	image
PS2	13	14	num	image
PS2	14	61	num	image
PS2	15	26	num	image
PS2	16	191	num	image
PS2	17	56	num	image
PS2	18	10	num	image
PS2	19	91	num	image
PS2	20	82	num	image
PS2	21	33	num	image
PS2	22	23	num	image
PS2	23	63	num	image
PS2	24	79	num	image
PS2	25	en	clear	image
PS2	26	195	num	image
PS3	1	92	num	image
PS3	2	24	num	image
PS3	3	6	num	image
PS3	4	26	num	image
PS3	5	27	num	image
PS3	6	83	num	image
PS3	7	23	num	image
PS3	8	133	num	image
PS3	9	76	num	image
PS3	10	103	num	image
PS3	11	84	num	image
PS3	12	127	num	image
PS3	13	29	num	image
PS3	14	84	num	image
PS3	15	88	num	image
PS3	16	64	num	image
PS3	17	29	num	image
PS4	1	29	num	image
PS4	2	35	num	image
PS4	3	193	num	image
PS4	4	136	num	image
PS5	1	126	num	image
PS5	2	77	num	image
PS5	3	85	num	image
PS5	4	5	num	image
PS5	5	139	num	image
PS5	6	25	num	image
PS5	7	84	num	image
PS5	8	120	num	image
PS5	9	83	num	image
PS5	10	78	num	image
PS5	11	104	num	image
PS5	12	105	num	image
PS5	13	30	num	image
PS6	1	99	num	image
PS6	2	40	num	image
PS6	3	112	num	image
PS6	4	89	num	image
PS6	5	144	num	image
PS7	1	116	num	image
PS7	2	9	num	image
PS7	3	3	num	image
PS7	4	30	num	image
PS7	5	101	num	image
PS7	6	81	num	image
PS7	7	38	num	image
PS7	8	21	num	image
PS7	9	80	num	image
PS7	10	81	num	image
PS7	11	111	num	image
PS7	12	61	num	image
PS7	13	121	num	image
PS7	14	5	num	image
PS7	15	10	num	image
PS7	16	37	num	image
PS7	17	82	num	image
PS8	1	26	num	image
PS8	2	32	num	image
PS8	3	22	num	image
PS8	4	6	num	image
PS8	5	26	num	image
PS8	6	28	num	image
PS8	7	102	num	image
PS8	8	127	num	image
PS8	9	291	num	image
PS9	1	38	num	image
PS9	2	87	num	image
PS9	3	148	num	image
PS9	4	79	num	image
PS9	5	82	num	image
PS9	6	115	num	image
PS9	7	136	num	image
PS9	8	41	num	image
PS9	9	61	num	image
PS9	10	29	num	image
PS9	11	28	num	image
PS9	12	83	num	image
PS9	13	23	num	image
PS10	1	vii	roman	image
PS10	2	oder	clear	image
PS10	3	viii	roman	image
PS11	1	95	num	image
PS11	2	36	num	image
PS11	3	31	num	image
PS11	4	34	num	image
PS11	5	85	num	image
PS11	6	21	num	image
PS12	1	122	num	image
PS12	2	137	num	image
PS12	3	144	num	image
PS12	4	339	num	image
PS12	5	80	num	image
PS12	6	82	num	image
PS12	7	130	num	image
PS12	8	202	num	image
PS13	1	61	num	image
PS13	2	96	num	image
PS13	3	3	num	image
PS13	4	136	num	image
PS13	5	79	num	image
PS13	6	83	num	image
PS13	7	22	num	image
PS13	8	129	num	image
PS13	9	100	num	image
PS13	10	65	num	image
PS13	11	9	num	image
PS13	12	31	num	image
PS14	1	94	num	image
PS14	2	24	num	image
PS14	3	en	clear	image
PS14	4	35	num	image
PS14	5	60	num	image
PS14	6	82	num	image
PS14	7	5	num	image
PS14	8	197	num	image
PS14	9	37	num	image
PS14	10	10	num	image
PS14	11	9	num	image
PS14	12	134	num	image
PS14	13	271	num	image
PS15	1	336	num	image
PS16	1	336	num	image
PS16	2	136	num	image
PS16	3	80	num	image
PS16	4	81	num	image
PS16	5	28	num	image
PS16	6	128	num	image
PS16	7	157	num	image
PS17	1	137	num	image
PS17	2	91	num	image
PS17	3	81	num	image
PS17	4	76	num	image
PS17	5	61	num	image
PS17	6	1	num	image
PS17	7	71	num	image
PS17	8	110	num	image
PS17	9	31	num	image
PS18	1	59	num	image
PS18	2	39	num	image
PS18	3	79	num	image
PS18	4	9	num	image
PS18	5	25	num	image
PS18	6	136	num	image
PS18	7	92	num	image
PS18	8	127	num	image
PS18	9	102	num	image
PS18	10	2	num	image
PS18	11	8	num	image
PS19	1	112	num	image
PS19	2	102	num	image
PS19	3	92	num	image
PS19	4	82	num	image
PS19	5	2	num	image
PS19	6	122	num	image
PS19	7	132	num	image
PS20	1	56	num	image
PS20	2	36	num	image
PS20	3	336	num	image
PS21	1	105	num	image
PS21	2	5	num	image
PS21	3	195	num	image
PS21	4	221	num	image
PS21	5	191	num	image
PS21	6	57	num	image
PS21	7	104	num	image
PS21	8	99	num	image
PS21	9	81	num	image
PS22	1	39	num	image
PS22	2	9	num	image
PS22	3	113	num	image
PS22	4	73	num	image
PS22	5	109	num	image
PS22	6	129	num	image
PS23	1	138	num	image
PS23	2	127	num	image
PS23	3	78	num	image
PS23	4	82	num	image
PS23	5	128	num	image
PS23	6	114	num	image
PS23	7	36	num	image
PS23	8	119	num	image
PS23	9	66	num	image
PS23	10	21	num	image
PS23	11	81	num	image
PS23	12	26	num	image
PS23	13	129	num	image
PS23	14	137	num	image
PS24	1	67	num	image
PS24	2	84	num	image
PS24	3	51	num	image
PS24	4	142	num	image
PS24	5	153	num	image
PS24	6	143	num	image
PS25	1	57	num	image
PS25	2	39	num	image
PS25	3	113	num	image
PS25	4	83	num	image
PS25	5	93	num	image
PS25	6	83	num	image
PS25	7	21	num	image
PS26	1	135	num	image
PS26	2	129	num	image
PS26	3	148	num	image
