printed_page	image_line	kind	text	doubt
101	65	plain	the	catchword at foot of p.101, continues as p.102 line 2's first word
102	1	interlinear	407 39 30 21 52 18 90          409 404 219          76 74 50 77 91 93 436 437 343 411 31 54 73 8 26 55 69
102	2	plain	the Downs, requireing them to give ymediate notice unto us of their arrivall. We leave	(italics: "them to give", "notice unto us of their arrivall")
102	3	interlinear	72 458 343 407 494 478 460 59 18 27 71                                        131 142 112	two groups, wide gap
102	4	plain	it wholly unto you, which of the fhipps you will fend, conceiveinge you to be beft able to	(italics: "which of the fhipps you will fend", "beft able to")
102	5	interlinear	404 260 458 343 409 460 36 18 205 18 25 6 196 412                    4 18 142 25 78 7 18 11 136 478	two groups
102	6	plain	judge, which of them will be fitteft for this fervice, and may be beft fpared by you. Some	(italics: "which of them will be fitteft for this", "be beft fpared by you")
102	7	interlinear	82 33 18 23 25 42 103 90 30 54 50 343 494          211 23 169 46 142	two groups
102	8	plain	thoughts we have had, that the leffer fort of fhips, and efpetially frigotts, will beft anfwer	(italics: "the leffer fort of fhips", "frigotts", "will beft")
102	9	interlinear	236 51 99                    394 39 10 320 264 253               343 480	three groups
102	10	plain	the aforefaid ends here. This wee have refolved, not knowing any thing of your pofture	(italics: "here", "refolved, not knowing", "of your")
102	11	interlinear	298 414 104 480              268 61 8 54                36 45 50 32 251 28 31 90 18 478      114	four groups
102	12	plain	or counfells more then your aforefayd letter reprefents. But in cafe you are upon any de-	(italics: "more then your", "letter reprefents", "But in cafe you are")
102	13	interlinear	164 344 254                233 42 16 93 73 20 42 11 74 45 73 278 50 18 54 105 251 59 50 12 269 50 96 345 23	two groups
102	14	plain	figne, or if ought elfe hath emerged either upon our letter and inftruction fent by cap-	(italics: "hath emerged", "our letter and inftruction")
102	15	interlinear	136 66 31 47 50 55 8 52 18 69 69 30 58 11                    458 420 344 80 93 103 90 460 320 459	two groups
102	16	plain	taine Lloyd, or from your own thoughts, with which thefe orders will not well con-	(italics: "Lloyd", "which thefe orders will not well")
102	17	interlinear	452 33 18 31 94 18 96 50 404 478                    452 234 356 251 86 73 49 50   462   478 460	three groups
102	18	plain	fift, wee leave it to you, notwithftanding what wee have herein writt, wheither you will	(italics: "wee leave it to you", "wee have herein writt, wheither you will")
102	19	interlinear	90 56 27 39 420 494 344 320                99 320 72       11 8 23 7 1 47 19 8 27 6      415 458 309	four groups
102	20	plain	fend thefe fhips or not; our intentions not being to difappoint any things, which may be	(italics: "not", "difappoint", "which may")
102	21	interlinear	251 480 186 344 164 404 4 93 168 413 135 407 495 102 82 104
102	22	plain	in your eye or defigne to be done there by the fleet.	(italics: "in your eye"; extent ends here, per NOTES.md s.11)
