block	line	token_index	raw_token	confidence
B	1	74	n7	high
B	1	75	43	high
B	1	76	s3n7	medium
B	1	77	p4	high
B	1	78	c38nc34	low
B	1	79	q28	medium
B	1	80	p2d38r8m7s	medium
B	1	81	g28	low
B	1	82	pvd38v8m7s	low
B	1	83	c7mf7rm8	low
B	1	84	4	low
B	1	85	g7s	low
B	1	86	c38mp7s	low
C1	1	1	d8c3d7	high
C1	1	2	d8ll7	medium
C1	1	3	qv8	low
C1	1	4	l8688424	low
C1	1	5	l4sm4n7s,	high
C1	1	6	8st4sd7s	low
C1	1	7	c7ss4s	high
C1	1	8	h8	high
C1	1	9	h8ch7	medium
C1	1	10	p7r	high
C1	1	11	s8r	high
C1	1	12	t4n	medium
C1	1	13	c7nc23n88nt8s	low
C1	1	14	8nb3t4	low
C1	1	15	7cc4ss37n	high
C1	1	16	3	high
C1	1	17	p4rd8crmb	low
C1	1	18	q28	medium
C1	1	19	25.	low
C1	1	20	g7	low
C1	1	21	c8ndr34	low
C1	1	22	p7r	high
C1	1	23	63dn,	low
C1	1	24	s3n7	low
C1	1	25	n7	medium
C1	1	26	s2ff3c7	low
C1	1	27	425a	low
C1	1	28	p2d3dnd7g	low
C1	1	29	28mb	low
C1	1	30	q28nd7l7	low
C1	1	31	c4ll4r	high
C1	1	32	28v4	high
C1	1	33	25a	low
C1	1	34	qm4	low
C1	1	35	v8rd4d	low
C1	1	36	qv8	low
C1	1	37	pr7c8d7	low
C1	1	38	d8sn7	low
C1	1	39	3	high
C1	1	40	c7n	high
C1	1	41	grant7s	low
C1	1	42	d888975	low
C1	1	43	d8	medium
C1	1	44	4c8rt4r	medium
C1	1	45	q28	medium
C1	1	46	425a	low
C1	1	47	3	high
C1	1	48	c7n	medium
C1	1	49	grsty	low
C1	1	50	dnt7d7-	low
C1	1	51	3d4rl8	low
C1	1	52	g28l7	low
C1	1	53	8nt7dr	low
C2	1	1	742n9/g8	low
C2	1	2	37	medium
C2	1	3	n7	medium
C2	1	4	cv87	medium
C2	1	5	n7ds	medium
C2	1	6	d8cv8r	medium
C2	1	7	c7m7	medium
C2	1	8	2s	medium
C2	1	9	a93c8	low
C2	1	10	d8gv8	medium
C2	1	11	46r4n	medium
C2	1	12	2ss4d7	medium
C2	1	13	d8mgl7s	low
C2	1	14	m8d375	medium
C2	1	15	c7m7	medium
C2	1	16	675g98	medium
C2	1	17	s8d3c8n,	medium
C2	1	18	p8r7	medium
C2	1	19	mnch7	medium
C2	1	20	t8m7	medium
C2	1	21	gv8	medium
C2	1	22	s8	medium
C2	1	23	d7	medium
C2	1	24	4lgvn4	medium
C2	1	25	7ccass37n	medium
C2	1	26	l4279	medium
C2	1	27	l824nt4d4,	medium
C2	1	28	3,	medium
C2	1	29	4lgrn7s	medium
C2	1	30	cv87	medium
C2	1	31	gr8	medium
C2	1	32	64n	medium
C2	1	33	c7n	medium
C2	1	34	d3clam8n	medium
C2	1	35	gr8	medium
C2	1	36	p7r	medium
C2	1	37	8ct4	medium
C2	1	38	64l7	medium
C2	1	39	3	medium
C2	1	40	62v8n4	medium
C2	1	41	d3l3g8nc34	medium
C2	1	42	d8l	medium
C2	1	43	m3n8st87	medium
C2	1	44	s8l8	medium
C2	1	45	p2833	medium
C2	1	46	d4r	medium
C2	1	47	l7	medium
C2	1	48	gr8	medium
C2	1	49	p4rdc38r8	medium
C2	1	50	J2sh,	medium
C2	1	51	3	medium
C2	1	52	8sl8	medium
C2	1	53	l4m3n7	medium
C2	1	54	11	low
C2	1	55	tam4nch7	medium
C2	1	56	675gr8n7.	medium
C2	1	57	n7s428n	medium
C2	1	58	mnch7	medium
C2	1	59	gr8	medium
C2	1	60	s8	medium
C2	1	61	d8s	medium
C2	1	62	p8n4n	low
