order	djvu_line	raw	cleaned	doubtful	clear_words_around
49	46975	36.	36	no	42. & 6. [[36.]] 37. 6y. 4. 60.
50	46975	37.	37	no	42. & 6. 36. [[37.]] 6y. 4. 60. entierement
51	46975	6y.	6y?	yes	& 6. 36. 37. [[6y.]] 4. 60. entierement 48.
52	46975	4.	4	no	6. 36. 37. 6y. [[4.]] 60. entierement 48. 21.
53	46975	60.	60	no	36. 37. 6y. 4. [[60.]] entierement 48. 21. 14.
54	46975	48.	48	no	6y. 4. 60. entierement [[48.]] 21. 14. mais peut-eftre
55	46975	21.	21	no	4. 60. entierement 48. [[21.]] 14. mais peut-eftre que
56	46975	14.	14	no	60. entierement 48. 21. [[14.]] mais peut-eftre que ce
57	46977	8.	8	no	accident le [[8.]] 45. 46. 91. 66.
58	46977	45.	45	no	accident le 8. [[45.]] 46. 91. 66. 36.
59	46977	46.	46	no	accident le 8. 45. [[46.]] 91. 66. 36. 92.
60	46977	91.	91	no	le 8. 45. 46. [[91.]] 66. 36. 92. l'obligera
61	46977	66.	66	no	8. 45. 46. 91. [[66.]] 36. 92. l'obligera a
62	46977	36.	36	no	45. 46. 91. 66. [[36.]] 92. l'obligera a 70.
63	46977	92.	92	no	46. 91. 66. 36. [[92.]] l'obligera a 70. 12.
64	46977	70.	70	no	36. 92. l'obligera a [[70.]] 12. 61. 63. $y.
65	46977	12.	12	no	92. l'obligera a 70. [[12.]] 61. 63. $y. 83.
66	46977	61.	61	no	l'obligera a 70. 12. [[61.]] 63. $y. 83. 32.
67	46977	63.	63	no	a 70. 12. 61. [[63.]] $y. 83. 32. dont
68	46977	83.	83	no	12. 61. 63. $y. [[83.]] 32. dont
69	46977	32.	32	no	61. 63. $y. 83. [[32.]] dont
70	46979	10.	10	no	on a parle pour [[10.]] 3y. 40. 6y. 93.
71	46979	3y.	3y?	yes	a parle pour 10. [[3y.]] 40. 6y. 93. 32.
72	46979	40.	40	no	parle pour 10. 3y. [[40.]] 6y. 93. 32. 32.
73	46979	6y.	6y?	yes	pour 10. 3y. 40. [[6y.]] 93. 32. 32. 38.
74	46979	93.	93	no	10. 3y. 40. 6y. [[93.]] 32. 32. 38. 61.
75	46979	32.	32	no	3y. 40. 6y. 93. [[32.]] 32. 38. 61. 5j.
76	46979	32.	32	no	40. 6y. 93. 32. [[32.]] 38. 61. 5j. 44.
77	46979	38.	38	no	6y. 93. 32. 32. [[38.]] 61. 5j. 44. 92.
78	46979	61.	61	no	93. 32. 32. 38. [[61.]] 5j. 44. 92. 91.
79	46979	5j.	5j?	yes	32. 32. 38. 61. [[5j.]] 44. 92. 91. puiffance
80	46979	44.	44	no	32. 38. 61. 5j. [[44.]] 92. 91. puiffance 70.
81	46979	92.	92	no	38. 61. 5j. 44. [[92.]] 91. puiffance 70.
82	46979	91.	91	no	61. 5j. 44. 92. [[91.]] puiffance 70.
83	46979	70.	70	no	44. 92. 91. puiffance [[70.]]
84	46981	41.	41	no	[[41.]] ce qui me confirme
85	46981	61.	61	no	que je fcay que [[61.]] 61. s'eftoit 73. 3y.
86	46981	61.	61	no	je fcay que 61. [[61.]] s'eftoit 73. 3y.
87	46981	73.	73	no	que 61. 61. s'eftoit [[73.]] 3y.
88	46981	3y.	3y?	yes	61. 61. s'eftoit 73. [[3y.]]
89	46983	60.	60	no	des [[60.]] 92. 37. 4. 71.
90	46983	92.	92	no	des 60. [[92.]] 37. 4. 71. 22.
91	46983	37.	37	no	des 60. 92. [[37.]] 4. 71. 22. 8y.
92	46983	4.	4	no	des 60. 92. 37. [[4.]] 71. 22. 8y. 82.
93	46983	71.	71	no	60. 92. 37. 4. [[71.]] 22. 8y. 82. 10.
94	46983	22.	22	no	92. 37. 4. 71. [[22.]] 8y. 82. 10. 1.
95	46983	8y.	8y?	yes	37. 4. 71. 22. [[8y.]] 82. 10. 1. 36.
96	46983	82.	82	no	4. 71. 22. 8y. [[82.]] 10. 1. 36. 74.
97	46983	10.	10	no	71. 22. 8y. 82. [[10.]] 1. 36. 74. que
98	46983	1.	1	no	22. 8y. 82. 10. [[1.]] 36. 74. que 44.
99	46983	36.	36	no	8y. 82. 10. 1. [[36.]] 74. que 44. demandoit
100	46983	74.	74	no	82. 10. 1. 36. [[74.]] que 44. demandoit a
101	46983	44.	44	no	1. 36. 74. que [[44.]] demandoit a fcavoir 70.
102	46983	70.	70	no	44. demandoit a fcavoir [[70.]]
103	46985	66.	66	no	[[66.]] 37. 4-o. 10. 94.
104	46985	37.	37	no	66. [[37.]] 4-o. 10. 94. 50.
105	46985	10.	10	no	66. 37. 4-o. [[10.]] 94. 50. 60. On
106	46985	94.	94	no	66. 37. 4-o. 10. [[94.]] 50. 60. On donnat
107	46985	50.	50	no	37. 4-o. 10. 94. [[50.]] 60. On donnat 48.
108	46985	60.	60	no	4-o. 10. 94. 50. [[60.]] On donnat 48. 66.
109	46985	48.	48	no	50. 60. On donnat [[48.]] 66. 6y. 4. 37.
110	46985	66.	66	no	60. On donnat 48. [[66.]] 6y. 4. 37. 40.
111	46985	6y.	6y?	yes	On donnat 48. 66. [[6y.]] 4. 37. 40. a
112	46985	4.	4	no	donnat 48. 66. 6y. [[4.]] 37. 40. a 63.
113	46985	37.	37	no	48. 66. 6y. 4. [[37.]] 40. a 63. de
114	46985	40.	40	no	66. 6y. 4. 37. [[40.]] a 63. de tout
115	46985	63.	63	no	4. 37. 40. a [[63.]] de tout ce
116	46987	33.	33	no	qu'on [[33.]] 42. 93. 7. 84
117	46987	42.	42	no	qu'on 33. [[42.]] 93. 7. 84 aura
118	46987	93.	93	no	qu'on 33. 42. [[93.]] 7. 84 aura 70.
119	46987	7.	7	no	qu'on 33. 42. 93. [[7.]] 84 aura 70. 93.
120	46987	84	84	no	33. 42. 93. 7. [[84]] aura 70. 93. 13.
121	46987	70.	70	no	93. 7. 84 aura [[70.]] 93. 13. 29. 33.
122	46987	93.	93	no	7. 84 aura 70. [[93.]] 13. 29. 33. 59.
123	46987	13.	13	no	84 aura 70. 93. [[13.]] 29. 33. 59. ly.
124	46987	29.	29	no	aura 70. 93. 13. [[29.]] 33. 59. ly. 84.
125	46987	33.	33	no	70. 93. 13. 29. [[33.]] 59. ly. 84. 70.
126	46987	59.	59	no	93. 13. 29. 33. [[59.]] ly. 84. 70. 93.
127	46987	84.	84	no	29. 33. 59. ly. [[84.]] 70. 93. 3. 29.
128	46987	70.	70	no	33. 59. ly. 84. [[70.]] 93. 3. 29. 33.
129	46987	93.	93	no	59. ly. 84. 70. [[93.]] 3. 29. 33.
130	46987	3.	3	no	ly. 84. 70. 93. [[3.]] 29. 33.
131	46987	29.	29	no	84. 70. 93. 3. [[29.]] 33.
132	46987	33.	33	no	70. 93. 3. 29. [[33.]]
133	46989	59.	59	no	[[59.]] ly. 84. 70. 44.
134	46989	84.	84	no	59. ly. [[84.]] 70. 44. journe aufli
135	46989	70.	70	no	59. ly. 84. [[70.]] 44. journe aufli qui
136	46989	44.	44	no	59. ly. 84. 70. [[44.]] journe aufli qui on
137	46989	62.	62	no	journe aufli qui on [[62.]] 83. 61. 46. 20.
138	46989	83.	83	no	aufli qui on 62. [[83.]] 61. 46. 20. 41.
139	46989	61.	61	no	qui on 62. 83. [[61.]] 46. 20. 41. 83.
140	46989	46.	46	no	on 62. 83. 61. [[46.]] 20. 41. 83. 61.
141	46989	20.	20	no	62. 83. 61. 46. [[20.]] 41. 83. 61. 63.
142	46989	41.	41	no	83. 61. 46. 20. [[41.]] 83. 61. 63. 62.
143	46989	83.	83	no	61. 46. 20. 41. [[83.]] 61. 63. 62.
144	46989	61.	61	no	46. 20. 41. 83. [[61.]] 63. 62.
145	46989	63.	63	no	20. 41. 83. 61. [[63.]] 62.
146	46989	62.	62	no	41. 83. 61. 63. [[62.]]
147	46991	53.	53	no	-tousles [[53.]] 61. 22. 9. 84.
148	46991	61.	61	no	-tousles 53. [[61.]] 22. 9. 84. qu'ils
149	46991	22.	22	no	-tousles 53. 61. [[22.]] 9. 84. qu'ils ont
150	46991	9.	9	no	-tousles 53. 61. 22. [[9.]] 84. qu'ils ont fait
151	46991	84.	84	no	53. 61. 22. 9. [[84.]] qu'ils ont fait pour
152	46991	32.	32	no	qu'ils ont fait pour [[32.]] 38. 11. 87. plufieurs
153	46991	38.	38	no	ont fait pour 32. [[38.]] 11. 87. plufieurs gy
154	46991	11.	11	no	fait pour 32. 38. [[11.]] 87. plufieurs gy dont
155	46991	87.	87	no	pour 32. 38. 11. [[87.]] plufieurs gy dont ils
156	46993	51.	51	no	ont eu beibin pour [[51.]] 40. 65. 3y. 44.
157	46993	40.	40	no	eu beibin pour 51. [[40.]] 65. 3y. 44. 39.
158	46993	65.	65	no	beibin pour 51. 40. [[65.]] 3y. 44. 39. 93.
159	46993	3y.	3y?	yes	pour 51. 40. 65. [[3y.]] 44. 39. 93. leurs
160	46993	44.	44	no	51. 40. 65. 3y. [[44.]] 39. 93. leurs 9y.
161	46993	39.	39	no	40. 65. 3y. 44. [[39.]] 93. leurs 9y. 70.
162	46993	93.	93	no	65. 3y. 44. 39. [[93.]] leurs 9y. 70. 93.
163	46993	9y.	9y?	yes	44. 39. 93. leurs [[9y.]] 70. 93. 10. 27.
164	46993	70.	70	no	39. 93. leurs 9y. [[70.]] 93. 10. 27. 33.
165	46993	93.	93	no	93. leurs 9y. 70. [[93.]] 10. 27. 33. 40.
166	46993	10.	10	no	leurs 9y. 70. 93. [[10.]] 27. 33. 40.
167	46993	27.	27	no	9y. 70. 93. 10. [[27.]] 33. 40.
168	46993	33.	33	no	70. 93. 10. 27. [[33.]] 40.
169	46993	40.	40	no	93. 10. 27. 33. [[40.]]
170	46995	34.	34	no	[[34.]] 74. & puis qui
171	46995	74.	74	no	34. [[74.]] & puis qui ont
172	46995	10.	10	no	& puis qui ont [[10.]] 27. 22. 74. 74.
173	46995	27.	27	no	puis qui ont 10. [[27.]] 22. 74. 74. 33.
174	46995	22.	22	no	qui ont 10. 27. [[22.]] 74. 74. 33. 6y.
175	46995	74.	74	no	ont 10. 27. 22. [[74.]] 74. 33. 6y. 70.
176	46995	74.	74	no	10. 27. 22. 74. [[74.]] 33. 6y. 70. 41.
177	46995	33.	33	no	27. 22. 74. 74. [[33.]] 6y. 70. 41. tous
178	46995	6y.	6y?	yes	22. 74. 74. 33. [[6y.]] 70. 41. tous ceux
179	46995	70.	70	no	74. 74. 33. 6y. [[70.]] 41. tous ceux 70.
180	46995	41.	41	no	74. 33. 6y. 70. [[41.]] tous ceux 70. 61.
181	46995	70.	70	no	70. 41. tous ceux [[70.]] 61. 70.
182	46995	61.	61	no	41. tous ceux 70. [[61.]] 70.
183	46995	70.	70	no	tous ceux 70. 61. [[70.]]
184	46997	9.	9	no	[[9.]] 66. 59. des 74.
185	46997	66.	66	no	9. [[66.]] 59. des 74. 60.
186	46997	59.	59	no	9. 66. [[59.]] des 74. 60. 65.
187	46997	74.	74	no	9. 66. 59. des [[74.]] 60. 65. 33. 93.
188	46997	60.	60	no	66. 59. des 74. [[60.]] 65. 33. 93. 60.
189	46997	65.	65	no	59. des 74. 60. [[65.]] 33. 93. 60. 71.
190	46997	33.	33	no	des 74. 60. 65. [[33.]] 93. 60. 71. &
191	46997	93.	93	no	74. 60. 65. 33. [[93.]] 60. 71. & enfin
192	46997	60.	60	no	60. 65. 33. 93. [[60.]] 71. & enfin qu'on
193	46997	71.	71	no	65. 33. 93. 60. [[71.]] & enfin qu'on 46.
194	46997	46.	46	no	71. & enfin qu'on [[46.]] 72. 6y. 71. 74.
195	46997	72.	72	no	& enfin qu'on 46. [[72.]] 6y. 71. 74. 62.
196	46997	6y.	6y?	yes	enfin qu'on 46. 72. [[6y.]] 71. 74. 62.
197	46997	71.	71	no	qu'on 46. 72. 6y. [[71.]] 74. 62.
198	46997	74.	74	no	46. 72. 6y. 71. [[74.]] 62.
199	46997	62.	62	no	72. 6y. 71. 74. [[62.]]
200	46999	71.	71	no	[[71.]] 30. 93. 7. 98.
201	46999	30.	30	no	71. [[30.]] 93. 7. 98. 62.
202	46999	93.	93	no	71. 30. [[93.]] 7. 98. 62. 22.
203	46999	7.	7	no	71. 30. 93. [[7.]] 98. 62. 22. 74.
204	46999	98.	98	no	71. 30. 93. 7. [[98.]] 62. 22. 74. qu'ils
205	46999	62.	62	no	30. 93. 7. 98. [[62.]] 22. 74. qu'ils avoient
206	46999	22.	22	no	93. 7. 98. 62. [[22.]] 74. qu'ils avoient autrefois.
207	46999	74.	74	no	7. 98. 62. 22. [[74.]] qu'ils avoient autrefois. II
208	47002	6000	6000	no	Ton y envoye encore [[6000]] hommes : on ne
209	47003	28	28	no	route elle prendra. [[28]] eft toujours en grand
210	47003	40	40	no	en grand foubcon de [[40]] depuis le dernier voyage
211	47005	100.	100	no	fon retour il avoit [[100.]] 30. 10. 4. 84.
212	47005	30.	30	no	retour il avoit 100. [[30.]] 10. 4. 84. 2.
213	47005	10.	10	no	il avoit 100. 30. [[10.]] 4. 84. 2.
214	47005	4.	4	no	avoit 100. 30. 10. [[4.]] 84. 2.
215	47005	84.	84	no	100. 30. 10. 4. [[84.]] 2.
216	47005	2.	2	no	30. 10. 4. 84. [[2.]]
217	47007	22.	22	no	e'eft pourquoy il [[22.]] 36. 10. 87. 4.
218	47007	36.	36	no	e'eft pourquoy il 22. [[36.]] 10. 87. 4. 60.
219	47007	10.	10	no	pourquoy il 22. 36. [[10.]] 87. 4. 60. 100.
220	47007	87.	87	no	il 22. 36. 10. [[87.]] 4. 60. 100. 41.
221	47007	4.	4	no	22. 36. 10. 87. [[4.]] 60. 100. 41. qu'on
222	47007	60.	60	no	36. 10. 87. 4. [[60.]] 100. 41. qu'on 46.
223	47007	100.	100	no	10. 87. 4. 60. [[100.]] 41. qu'on 46. 82.
224	47007	41.	41	no	87. 4. 60. 100. [[41.]] qu'on 46. 82. 40.
225	47007	46.	46	no	60. 100. 41. qu'on [[46.]] 82. 40. 60. 88.
226	47007	82.	82	no	100. 41. qu'on 46. [[82.]] 40. 60. 88. 36.
227	47007	40.	40	no	41. qu'on 46. 82. [[40.]] 60. 88. 36. 84.
228	47007	60.	60	no	qu'on 46. 82. 40. [[60.]] 88. 36. 84.
229	47007	88.	88	no	46. 82. 40. 60. [[88.]] 36. 84.
230	47007	36.	36	no	82. 40. 60. 88. [[36.]] 84.
231	47007	84.	84	no	40. 60. 88. 36. [[84.]]
232	47009	62.	62	no	[[62.]] 64. 68. 70. H
233	47009	64.	64	no	62. [[64.]] 68. 70. H a
234	47009	68.	68	no	62. 64. [[68.]] 70. H a fin
235	47009	70.	70	no	62. 64. 68. [[70.]] H a fin de
236	47009	70.	70	no	H a fin de [[70.]] 51. 83. 65. 92.
237	47009	51.	51	no	a fin de 70. [[51.]] 83. 65. 92. la
238	47009	83.	83	no	fin de 70. 51. [[83.]] 65. 92. la correfpondence
239	47009	65.	65	no	de 70. 51. 83. [[65.]] 92. la correfpondence qu'il
240	47009	92.	92	no	70. 51. 83. 65. [[92.]] la correfpondence qu'il a
241	47009	61.	61	no	correfpondence qu'il a avec [[61.]]
242	47011	69.	69	no	receu, on luy mande [[69.]] 65.
243	47011	65.	65	no	on luy mande 69. [[65.]]
244	47013	■33-	■33?	yes	[[■33-]] 59- devoit 12. 66.
245	47013	59-	59	no	■33- [[59-]] devoit 12. 66. 89.
246	47013	12.	12	no	■33- 59- devoit [[12.]] 66. 89. 22. 74.
247	47013	66.	66	no	■33- 59- devoit 12. [[66.]] 89. 22. 74. 84.
248	47013	89.	89	no	59- devoit 12. 66. [[89.]] 22. 74. 84. 39.
249	47013	22.	22	no	devoit 12. 66. 89. [[22.]] 74. 84. 39. 20.
250	47013	74.	74	no	12. 66. 89. 22. [[74.]] 84. 39. 20. 13.
251	47013	84.	84	no	66. 89. 22. 74. [[84.]] 39. 20. 13. 1.
252	47013	39.	39	no	89. 22. 74. 84. [[39.]] 20. 13. 1. 36.
253	47013	20.	20	no	22. 74. 84. 39. [[20.]] 13. 1. 36. 32.
254	47013	13.	13	no	74. 84. 39. 20. [[13.]] 1. 36. 32. 50,
255	47013	1.	1	no	84. 39. 20. 13. [[1.]] 36. 32. 50, 53.
256	47013	36.	36	no	39. 20. 13. 1. [[36.]] 32. 50, 53. 2.
257	47013	32.	32	no	20. 13. 1. 36. [[32.]] 50, 53. 2. 38.
258	47013	50,	50	no	13. 1. 36. 32. [[50,]] 53. 2. 38. 4.
259	47013	53.	53	no	1. 36. 32. 50, [[53.]] 2. 38. 4.
260	47013	2.	2	no	36. 32. 50, 53. [[2.]] 38. 4.
261	47013	38.	38	no	32. 50, 53. 2. [[38.]] 4.
262	47013	4.	4	no	50, 53. 2. 38. [[4.]]
263	47015	7	7	no	Vol. II. [[7]] E 84. Si
264	47015	84.	84	no	Vol. II. 7 E [[84.]] Si
265	47018	566	566	no	[[566]] STATE PAPERS OF
266	47020	A.D.1654.	A.D.1654?	yes	[[A.D.1654.]] —
267	47022	84.	84	no	y^^^-^j [[84.]] Si voftre A. apprend
