sid	page	line	pos	x	y	w	h	rh	rw	dy	marks
f75L_01_015	f75L	1	15	2524	2	25	30	1.765	1.471	-19.824	f75L_01_m0001|f75L_01_m0002|f75L_01_m0003|f75L_01_m0004|f75L_01_m0012|f75L_01_m0014|f75L_01_m0021|f75L_01_m0024|f75L_01_m0029|f75L_01_m0034|f75L_01_m0040|f75L_01_m0041|f75L_01_m0045|f75L_01_m0050|f75L_01_m0053|f75L_01_m0055
f75L_01_016	f75L	1	16	2552	6	5	17	1.000	0.294	-19.971	f75L_01_m0018|f75L_01_m0025|f75L_01_m0031|f75L_01_m0051
f75L_01_017	f75L	1	17	2576	0	27	27	1.588	1.588	-20.029	f75L_01_m0005|f75L_01_m0013|f75L_01_m0017|f75L_01_m0019|f75L_01_m0022|f75L_01_m0030|f75L_01_m0046|f75L_01_m0073
f75L_01_018	f75L	1	18	2612	0	41	385	22.647	2.412	-9.500	f75L_01_m0006|f75L_01_m0007|f75L_01_m0015|f75L_01_m0020|f75L_01_m0032|f75L_01_m0035|f75L_01_m0036|f75L_01_m0047|f75L_01_m0048|f75L_01_m0049
f75L_01_019	f75L	1	19	2671	10	7	12	0.706	0.412	-19.882	f75L_01_m0016|f75L_01_m0023|f75L_01_m0033|f75L_01_m0037|f75L_01_m0038|f75L_01_m0042|f75L_01_m0071
f75L_01_020	f75L	1	20	2681	9	13	12	0.706	0.765	-19.941	f75L_01_m0008|f75L_01_m0009|f75L_01_m0043
f75L_01_021	f75L	1	21	2696	335	39	34	2.000	2.294	-0.118	f75L_01_m0010|f75L_01_m0026|f75L_01_m0027|f75L_01_m0039|f75L_01_m0054|f75L_01_m0072
f75L_01_022	f75L	1	22	2776	344	26	41	2.412	1.529	0.618	f75L_01_m0011|f75L_01_m0056|f75L_01_m0057
f75L_01_023	f75L	1	23	2859	340	31	50	2.941	1.824	0.647	
f75L_01_024	f75L	1	24	2927	338	48	48	2.824	2.824	0.471	
f75L_01_025	f75L	1	25	3028	347	70	35	2.059	4.118	0.618	
f75L_01_026	f75L	1	26	3452	343	24	55	3.235	1.412	0.971	f75L_01_m0070|f75L_01_m0099|f75L_01_m0101|f75L_01_m0102|f75L_01_m0111
f75L_01_027	f75L	1	27	3543	329	78	56	3.294	4.588	0.176	
f75L_01_028	f75L	1	28	3759	356	41	30	1.765	2.412	1.000	f75L_01_m0089|f75L_01_m0090
f75L_02_001	f75L	2	1	304	477	9	9	0.529	0.529	2.088	f75L_02_m0112|f75L_02_m0121|f75L_02_m0123
f75L_02_002	f75L	2	2	905	393	9	16	0.941	0.529	-2.647	f75L_02_m0113|f75L_02_m0114|f75L_02_m0115|f75L_02_m0116|f75L_02_m0117|f75L_02_m0118
f75L_02_003	f75L	2	3	1261	403	8	13	0.765	0.471	-2.147	f75L_02_m0119|f75L_02_m0120
f75L_02_004	f75L	2	4	1272	402	15	11	0.647	0.882	-2.265	
f75L_02_005	f75L	2	5	1283	389	29	20	1.176	1.706	-2.765	f75L_02_m0122
f75L_02_006	f75L	2	6	2078	427	10	10	0.588	0.588	-0.824	
f75L_02_007	f75L	2	7	2087	463	11	21	1.235	0.647	1.618	
f75L_02_008	f75L	2	8	2129	421	55	73	4.294	3.235	0.676	
f75L_02_009	f75L	2	9	2284	405	77	50	2.941	4.529	-0.941	
f75L_02_010	f75L	2	10	2427	421	34	31	1.824	2.000	-0.559	
f75L_02_011	f75L	2	11	2475	448	17	11	0.647	1.000	0.441	
f75L_02_012	f75L	2	12	2810	422	58	45	2.647	3.412	-0.088	
f75L_02_013	f75L	2	13	2902	447	5	22	1.294	0.294	0.706	
f75L_02_014	f75L	2	14	2906	437	6	40	2.353	0.353	0.647	
f75L_02_015	f75L	2	15	2914	479	6	6	0.353	0.353	2.118	
f75L_02_016	f75L	2	16	2922	487	3	6	0.353	0.176	2.588	
f75L_02_017	f75L	2	17	3386	432	67	29	1.706	3.941	0.029	
f75L_02_018	f75L	2	18	3763	427	37	55	3.235	2.176	0.500	
f75L_03_001	f75L	3	1	297	553	3	6	0.353	0.176	1.235	f75L_03_m0126
f75L_03_002	f75L	3	2	921	538	22	10	0.588	1.294	0.471	
f75L_03_003	f75L	3	3	1126	576	3	6	0.353	0.176	2.588	
f75L_03_004	f75L	3	4	1406	481	10	22	1.294	0.588	-2.529	
f75L_03_005	f75L	3	5	1481	486	26	19	1.118	1.529	-2.324	
f75L_03_006	f75L	3	6	1530	508	47	39	2.294	2.765	-0.441	
f75L_03_007	f75L	3	7	1727	539	6	11	0.647	0.353	0.559	
f75L_03_008	f75L	3	8	1742	495	32	47	2.765	1.882	-0.971	
f75L_03_009	f75L	3	9	1770	485	19	17	1.000	1.118	-2.441	
f75L_03_010	f75L	3	10	1834	496	52	41	2.412	3.059	-1.088	
f75L_03_011	f75L	3	11	1934	508	53	60	3.529	3.118	0.176	
f75L_03_012	f75L	3	12	2301	505	25	22	1.294	1.471	-1.118	f75L_03_m0125
f75L_03_013	f75L	3	13	2775	525	74	29	1.706	4.353	0.265	
f75L_03_014	f75L	3	14	2913	522	37	51	3.000	2.176	0.735	f75L_03_m0124
f75L_03_015	f75L	3	15	2985	509	43	45	2.647	2.529	-0.206	
f75L_03_016	f75L	3	16	3043	543	14	10	0.588	0.824	0.765	
f75L_03_017	f75L	3	17	3538	518	68	45	2.647	4.000	0.324	
f75L_03_018	f75L	3	18	3630	519	55	41	2.412	3.235	0.265	
f75L_03_019	f75L	3	19	3742	533	9	13	0.765	0.529	0.265	
f75L_03_020	f75L	3	20	3786	520	14	33	1.941	0.824	0.088	
f75L_04_001	f75L	4	1	46	647	4	14	0.824	0.235	1.765	
f75L_04_002	f75L	4	2	900	619	5	7	0.412	0.294	-0.088	f75L_04_m0127
f75L_04_003	f75L	4	3	1686	614	8	12	0.706	0.471	-0.235	
f75L_04_004	f75L	4	4	2133	595	36	35	2.059	2.118	-0.676	f75L_04_m0128
f75L_04_005	f75L	4	5	2317	598	44	62	3.647	2.588	0.294	
f75L_04_006	f75L	4	6	2741	595	33	42	2.471	1.941	-0.471	
f75L_04_007	f75L	4	7	2819	608	47	30	1.765	2.765	-0.059	
f75L_04_008	f75L	4	8	3016	620	28	28	1.647	1.647	0.588	
f75L_04_009	f75L	4	9	3165	627	28	31	1.824	1.647	1.088	
f75L_04_010	f75L	4	10	3453	618	59	54	3.176	3.471	1.235	
f75L_04_011	f75L	4	11	3692	606	15	12	0.706	0.882	-0.706	
f75L_05_001	f75L	5	1	1331	731	5	6	0.353	0.294	1.588	f75L_05_m0129
f75L_05_002	f75L	5	2	1452	681	70	34	2.000	4.118	-0.529	
f75L_05_003	f75L	5	3	1857	683	19	15	0.882	1.118	-0.971	
f75L_05_004	f75L	5	4	1932	688	35	31	1.824	2.059	-0.206	
f75L_05_005	f75L	5	5	2088	673	34	55	3.235	2.000	-0.382	
f75L_05_006	f75L	5	6	2174	700	21	24	1.412	1.235	0.294	
f75L_05_007	f75L	5	7	2209	702	3	8	0.471	0.176	-0.059	
f75L_05_008	f75L	5	8	2251	653	63	94	5.529	3.706	-0.412	
f75L_05_009	f75L	5	9	2317	663	28	12	0.706	1.647	-2.235	
f75L_05_010	f75L	5	10	2352	687	45	51	3.000	2.647	0.324	
f75L_05_011	f75L	5	11	2435	697	30	54	3.176	1.765	1.000	f75L_05_m0130
f75L_05_012	f75L	5	12	2460	685	16	11	0.647	0.941	-0.971	
f75L_05_013	f75L	5	13	2735	698	82	52	3.059	4.824	1.000	
f75L_05_014	f75L	5	14	3255	699	63	56	3.294	3.706	1.176	
f75L_05_015	f75L	5	15	3457	692	36	44	2.588	2.118	0.412	
f75L_05_016	f75L	5	16	3664	714	10	12	0.706	0.588	0.765	
f75L_05_017	f75L	5	17	3675	698	16	13	0.765	0.941	-0.147	
f75L_05_018	f75L	5	18	3714	700	82	37	2.176	4.824	0.676	f75L_05_m0131
f75L_06_001	f75L	6	1	883	770	24	13	0.765	1.412	-1.382	f75L_06_m0135
f75L_06_002	f75L	6	2	1759	778	23	59	3.471	1.353	0.441	
f75L_06_003	f75L	6	3	1839	778	81	29	1.706	4.765	-0.441	f75L_06_m0132
f75L_06_004	f75L	6	4	2064	768	32	40	2.353	1.882	-0.706	
f75L_06_005	f75L	6	5	2099	829	7	20	1.176	0.412	2.294	
f75L_06_006	f75L	6	6	2139	810	4	14	0.824	0.235	1.000	
f75L_06_007	f75L	6	7	2147	782	33	26	1.529	1.941	-0.294	
f75L_06_008	f75L	6	8	2311	767	55	48	2.824	3.235	-0.529	
f75L_06_009	f75L	6	9	2384	787	5	10	0.588	0.294	-0.471	
f75L_06_010	f75L	6	10	2408	782	23	58	3.412	1.353	0.647	
f75L_06_011	f75L	6	11	2496	762	36	47	2.765	2.118	-0.853	
f75L_06_012	f75L	6	12	2581	772	31	43	2.529	1.824	-0.382	
f75L_06_013	f75L	6	13	2651	782	53	38	2.235	3.118	0.059	f75L_06_m0133
f75L_06_014	f75L	6	14	2857	760	11	12	0.706	0.647	-2.000	
f75L_06_015	f75L	6	15	2904	791	69	31	1.824	4.059	0.382	
f75L_06_016	f75L	6	16	3020	780	9	17	1.000	0.529	-0.676	
f75L_06_017	f75L	6	17	3085	790	84	50	2.941	4.941	0.882	f75L_06_m0134
f75L_06_018	f75L	6	18	3208	779	50	51	3.000	2.941	0.265	f75L_06_m0136
f75L_06_019	f75L	6	19	3315	800	19	25	1.471	1.118	0.735	
f75L_06_020	f75L	6	20	3327	790	41	36	2.118	2.412	0.471	
f75L_06_021	f75L	6	21	3693	797	75	32	1.882	4.412	0.765	
f75L_07_001	f75L	7	1	132	875	10	51	3.000	0.588	1.029	f75L_07_m0146|f75L_07_m0149
f75L_07_002	f75L	7	2	142	866	17	63	3.706	1.000	0.853	f75L_07_m0145
f75L_07_003	f75L	7	3	162	923	11	16	0.941	0.647	2.824	
f75L_07_004	f75L	7	4	219	897	2	9	0.529	0.118	1.088	
f75L_07_005	f75L	7	5	220	908	7	14	0.824	0.412	1.882	f75L_07_m0138|f75L_07_m0148|f75L_07_m0151
f75L_07_006	f75L	7	6	879	850	24	13	0.765	1.412	-1.559	f75L_07_m0141|f75L_07_m0143
f75L_07_007	f75L	7	7	1291	876	7	8	0.471	0.412	-0.176	f75L_07_m0139
f75L_07_008	f75L	7	8	1298	881	11	26	1.529	0.647	0.647	f75L_07_m0147|f75L_07_m0150
f75L_07_009	f75L	7	9	1561	875	6	36	2.118	0.353	0.588	
f75L_07_010	f75L	7	10	1564	854	8	17	1.000	0.471	-1.206	
f75L_07_011	f75L	7	11	1573	864	46	48	2.824	2.706	0.294	
f75L_07_012	f75L	7	12	1638	892	6	6	0.353	0.353	0.706	f75L_07_m0142|f75L_07_m0144
f75L_07_013	f75L	7	13	1886	862	41	67	3.941	2.412	0.735	
f75L_07_014	f75L	7	14	1984	865	51	52	3.059	3.000	0.471	
f75L_07_015	f75L	7	15	2385	879	18	19	1.118	1.059	0.324	
f75L_07_016	f75L	7	16	2396	854	69	33	1.941	4.059	-0.735	f75L_07_m0137|f75L_07_m0140
f75L_07_017	f75L	7	17	2463	839	4	11	0.647	0.235	-2.265	
f75L_07_018	f75L	7	18	2484	864	80	30	1.765	4.706	-0.235	
f75L_07_019	f75L	7	19	2673	853	16	12	0.706	0.941	-1.412	
f75L_07_020	f75L	7	20	3031	879	49	42	2.471	2.882	1.000	
f75L_07_021	f75L	7	21	3146	855	35	17	1.000	2.059	-1.147	
f75L_07_022	f75L	7	22	3489	888	24	27	1.588	1.412	1.088	
f75L_07_023	f75L	7	23	3668	884	69	27	1.588	4.059	0.853	
f75L_08_001	f75L	8	1	70	972	19	40	2.353	1.118	0.706	f75L_08_m0163|f75L_08_m0169|f75L_08_m0175|f75L_08_m0178|f75L_08_m0179
f75L_08_002	f75L	8	2	135	970	8	45	2.647	0.471	0.735	f75L_08_m0153|f75L_08_m0155|f75L_08_m0161|f75L_08_m0164|f75L_08_m0170|f75L_08_m0181
f75L_08_003	f75L	8	3	145	948	11	63	3.706	0.647	-0.029	f75L_08_m0152|f75L_08_m0154|f75L_08_m0174|f75L_08_m0176|f75L_08_m0180
f75L_08_004	f75L	8	4	169	992	3	7	0.412	0.176	0.912	f75L_08_m0156|f75L_08_m0157|f75L_08_m0159|f75L_08_m0162|f75L_08_m0166|f75L_08_m0173|f75L_08_m0177
f75L_08_005	f75L	8	5	321	986	4	10	0.588	0.235	0.647	
f75L_08_006	f75L	8	6	713	961	7	10	0.588	0.412	-0.824	
f75L_08_007	f75L	8	7	888	941	21	14	0.824	1.235	-1.882	f75L_08_m0160|f75L_08_m0165|f75L_08_m0167
f75L_08_008	f75L	8	8	1319	973	12	23	1.353	0.706	0.265	
f75L_08_009	f75L	8	9	1500	978	9	15	0.882	0.529	0.324	
f75L_08_010	f75L	8	10	1520	959	13	25	1.471	0.765	-0.500	f75L_08_m0171
f75L_08_011	f75L	8	11	1556	987	20	25	1.471	1.176	1.147	
f75L_08_012	f75L	8	12	1857	927	50	50	2.941	2.941	-1.647	f75L_08_m0172
f75L_08_013	f75L	8	13	1945	951	44	72	4.235	2.588	0.412	
f75L_08_014	f75L	8	14	2085	947	15	19	1.118	0.882	-1.382	f75L_08_m0158
f75L_08_015	f75L	8	15	2223	954	38	34	2.000	2.235	-0.529	
f75L_08_016	f75L	8	16	2416	951	32	35	2.059	1.882	-0.676	
f75L_08_017	f75L	8	17	2439	949	29	37	2.176	1.706	-0.735	
f75L_08_018	f75L	8	18	2514	951	57	47	2.765	3.353	-0.324	
f75L_08_019	f75L	8	19	2607	974	5	6	0.353	0.294	-0.176	
f75L_08_020	f75L	8	20	2697	960	25	41	2.412	1.471	0.029	
f75L_08_021	f75L	8	21	2776	956	25	33	1.941	1.471	-0.441	
f75L_08_022	f75L	8	22	2792	941	43	18	1.059	2.529	-1.765	
f75L_08_023	f75L	8	23	2863	956	52	56	3.294	3.059	0.235	f75L_08_m0168
f75L_08_024	f75L	8	24	3171	971	32	30	1.765	1.882	0.353	
f75L_08_025	f75L	8	25	3239	970	56	39	2.294	3.294	0.559	
f75L_08_026	f75L	8	26	3316	966	60	43	2.529	3.529	0.441	
f75L_08_027	f75L	8	27	3419	972	28	57	3.353	1.647	1.206	
f75L_09_001	f75L	9	1	65	1050	4	6	0.353	0.235	-0.118	f75L_09_m0195|f75L_09_m0199|f75L_09_m0204
f75L_09_002	f75L	9	2	138	1050	8	53	3.118	0.471	1.265	f75L_09_m0182|f75L_09_m0185|f75L_09_m0188|f75L_09_m0190|f75L_09_m0196|f75L_09_m0200|f75L_09_m0205
f75L_09_003	f75L	9	3	148	1012	14	99	5.824	0.824	0.382	
f75L_09_004	f75L	9	4	160	1010	22	95	5.588	1.294	0.147	f75L_09_m0183|f75L_09_m0186|f75L_09_m0197|f75L_09_m0203
f75L_09_005	f75L	9	5	233	1050	4	7	0.412	0.235	-0.088	
f75L_09_006	f75L	9	6	354	1047	2	14	0.824	0.118	-0.059	
f75L_09_007	f75L	9	7	878	1027	20	13	0.765	1.176	-1.265	f75L_09_m0187|f75L_09_m0191
f75L_09_008	f75L	9	8	922	1097	6	6	0.353	0.353	2.647	f75L_09_m0192|f75L_09_m0201
f75L_09_009	f75L	9	9	1447	1041	31	31	1.824	1.824	0.088	f75L_09_m0193
f75L_09_010	f75L	9	10	1520	1025	8	11	0.647	0.471	-1.441	
f75L_09_011	f75L	9	11	1697	1030	72	38	2.235	4.235	-0.353	
f75L_09_012	f75L	9	12	1798	1031	72	45	2.647	4.235	-0.088	
f75L_09_013	f75L	9	13	1909	1028	66	59	3.471	3.882	0.147	
f75L_09_014	f75L	9	14	1982	1050	7	8	0.471	0.412	-0.059	
f75L_09_015	f75L	9	15	2011	1029	51	48	2.824	3.000	-0.118	
f75L_09_016	f75L	9	16	2103	1038	47	37	2.176	2.765	0.088	
f75L_09_017	f75L	9	17	2214	1060	22	15	0.882	1.294	0.735	
f75L_09_018	f75L	9	18	2440	1026	76	55	3.235	4.471	-0.088	f75L_09_m0184
f75L_09_019	f75L	9	19	2563	1045	28	36	2.118	1.647	0.471	
f75L_09_020	f75L	9	20	2654	1048	25	37	2.176	1.471	0.676	f75L_09_m0189|f75L_09_m0194
f75L_09_021	f75L	9	21	2970	1047	23	56	3.294	1.353	1.176	
f75L_09_022	f75L	9	22	2986	1037	15	15	0.882	0.882	-0.618	
f75L_09_023	f75L	9	23	2999	1014	4	11	0.647	0.235	-2.088	
f75L_09_024	f75L	9	24	3002	1040	84	53	3.118	4.941	0.676	
f75L_09_025	f75L	9	25	3110	1043	45	21	1.235	2.647	-0.088	
f75L_09_026	f75L	9	26	3142	1022	82	75	4.412	4.824	0.265	f75L_09_m0202
f75L_09_027	f75L	9	27	3480	1048	85	42	2.471	5.000	0.824	f75L_09_m0198
f75L_09_028	f75L	9	28	3796	1016	4	13	0.765	0.235	-1.912	
f75L_10_001	f75L	10	1	66	1147	19	49	2.882	1.118	1.088	f75L_10_m0226
f75L_10_002	f75L	10	2	84	1160	7	17	1.000	0.412	0.912	
f75L_10_003	f75L	10	3	139	1157	5	9	0.529	0.294	0.500	f75L_10_m0219|f75L_10_m0227
f75L_10_004	f75L	10	4	143	1173	6	23	1.353	0.353	1.853	f75L_10_m0215|f75L_10_m0233
f75L_10_005	f75L	10	5	150	1163	4	6	0.353	0.235	0.765	f75L_10_m0231
f75L_10_006	f75L	10	6	152	1113	17	103	6.059	1.000	0.676	f75L_10_m0224|f75L_10_m0235
f75L_10_007	f75L	10	7	168	1130	9	56	3.294	0.529	0.294	f75L_10_m0220|f75L_10_m0229
f75L_10_008	f75L	10	8	178	1110	16	87	5.118	0.941	0.029	f75L_10_m0206|f75L_10_m0208|f75L_10_m0213|f75L_10_m0216|f75L_10_m0228|f75L_10_m0234
f75L_10_009	f75L	10	9	201	1119	6	15	0.882	0.353	-1.559	f75L_10_m0207|f75L_10_m0221
f75L_10_010	f75L	10	10	223	1123	7	11	0.647	0.412	-1.441	f75L_10_m0209|f75L_10_m0217|f75L_10_m0222|f75L_10_m0230|f75L_10_m0232|f75L_10_m0236
f75L_10_011	f75L	10	11	1003	1188	16	12	0.706	0.941	2.412	f75L_10_m0210|f75L_10_m0214|f75L_10_m0218|f75L_10_m0223|f75L_10_m0225
f75L_10_012	f75L	10	12	1432	1118	47	57	3.353	2.765	-0.382	
f75L_10_013	f75L	10	13	1524	1128	28	24	1.412	1.647	-0.765	
f75L_10_014	f75L	10	14	1731	1111	21	15	0.882	1.235	-2.029	f75L_10_m0211
f75L_10_015	f75L	10	15	1855	1111	85	46	2.706	5.000	-1.118	f75L_10_m0212
f75L_10_016	f75L	10	16	1947	1118	9	24	1.412	0.529	-1.353	
f75L_10_017	f75L	10	17	2047	1131	12	31	1.824	0.706	-0.382	
f75L_10_018	f75L	10	18	2067	1130	31	30	1.765	1.824	-0.471	
f75L_10_019	f75L	10	19	2131	1126	59	42	2.471	3.471	-0.353	
f75L_10_020	f75L	10	20	2255	1132	41	33	1.941	2.412	-0.265	
f75L_10_021	f75L	10	21	2367	1123	35	49	2.882	2.059	-0.324	
f75L_10_022	f75L	10	22	2449	1138	62	34	2.000	3.647	0.118	
f75L_10_023	f75L	10	23	2695	1178	9	9	0.529	0.529	1.735	
f75L_10_024	f75L	10	24	2916	1100	70	67	3.941	4.118	-1.147	
f75L_10_025	f75L	10	25	3043	1139	29	39	2.294	1.706	0.324	
f75L_10_026	f75L	10	26	3105	1142	6	7	0.412	0.353	-0.441	
f75L_10_027	f75L	10	27	3554	1141	39	40	2.353	2.294	0.471	
f75L_11_001	f75L	11	1	140	1200	10	65	3.824	0.588	-0.265	f75L_11_m0238
f75L_11_002	f75L	11	2	150	1208	7	10	0.588	0.412	-1.412	f75L_11_m0245
f75L_11_003	f75L	11	3	164	1202	30	80	4.706	1.765	0.294	f75L_11_m0242|f75L_11_m0246|f75L_11_m0248|f75L_11_m0250
f75L_11_004	f75L	11	4	231	1237	8	32	1.882	0.471	0.941	f75L_11_m0243
f75L_11_005	f75L	11	5	324	1233	8	20	1.176	0.471	0.353	f75L_11_m0251
f75L_11_006	f75L	11	6	726	1256	7	10	0.588	0.412	1.412	f75L_11_m0237
f75L_11_007	f75L	11	7	1346	1269	5	7	0.412	0.294	2.088	f75L_11_m0239|f75L_11_m0241
f75L_11_008	f75L	11	8	1431	1258	10	9	0.529	0.588	1.500	
f75L_11_009	f75L	11	9	1441	1210	28	70	4.118	1.647	0.471	
f75L_11_010	f75L	11	10	1493	1264	17	11	0.647	1.000	1.912	
f75L_11_011	f75L	11	11	1612	1207	70	52	3.059	4.118	-0.235	
f75L_11_012	f75L	11	12	1759	1268	5	8	0.471	0.294	2.059	
f75L_11_013	f75L	11	13	1880	1196	80	56	3.294	4.706	-0.765	
f75L_11_014	f75L	11	14	1971	1251	3	6	0.353	0.176	1.000	
f75L_11_015	f75L	11	15	2337	1221	44	50	2.941	2.588	0.529	f75L_11_m0247
f75L_11_016	f75L	11	16	2437	1216	58	37	2.176	3.412	-0.147	f75L_11_m0240
f75L_11_017	f75L	11	17	2894	1218	33	30	1.765	1.941	-0.235	
f75L_11_018	f75L	11	18	2954	1214	25	30	1.765	1.471	-0.471	
f75L_11_019	f75L	11	19	3015	1208	72	49	2.882	4.235	-0.265	
f75L_11_020	f75L	11	20	3241	1229	6	8	0.471	0.353	-0.235	f75L_11_m0244|f75L_11_m0249|f75L_11_m0252
f75L_11_021	f75L	11	21	3384	1229	34	32	1.882	2.000	0.471	
f75L_11_022	f75L	11	22	3484	1209	34	48	2.824	2.000	-0.235	
f75L_11_023	f75L	11	23	3599	1198	18	10	0.588	1.059	-2.000	
f75L_11_024	f75L	11	24	3655	1233	15	43	2.529	0.882	1.029	
f75L_11_025	f75L	11	25	3665	1219	11	16	0.941	0.647	-0.588	
f75L_11_026	f75L	11	26	3735	1219	25	27	1.588	1.471	-0.265	
f75L_12_001	f75L	12	1	65	1313	5	6	0.353	0.294	-0.059	f75L_12_m0263
f75L_12_002	f75L	12	2	91	1350	4	11	0.647	0.235	2.265	f75L_12_m0265
f75L_12_003	f75L	12	3	150	1292	30	80	4.706	1.765	0.882	f75L_12_m0258|f75L_12_m0259
f75L_12_004	f75L	12	4	184	1282	12	85	5.000	0.706	0.441	
f75L_12_005	f75L	12	5	195	1347	6	16	0.941	0.353	2.235	
f75L_12_006	f75L	12	6	205	1351	4	7	0.412	0.235	2.206	f75L_12_m0253|f75L_12_m0267|f75L_12_m0269
f75L_12_007	f75L	12	7	847	1319	11	10	0.588	0.647	0.412	f75L_12_m0255
f75L_12_008	f75L	12	8	1255	1356	9	6	0.353	0.529	2.471	
f75L_12_009	f75L	12	9	1307	1358	8	11	0.647	0.471	2.735	
f75L_12_010	f75L	12	10	1735	1283	79	69	4.059	4.647	0.029	f75L_12_m0254|f75L_12_m0257
f75L_12_011	f75L	12	11	2078	1290	59	45	2.647	3.471	-0.265	f75L_12_m0268|f75L_12_m0270|f75L_12_m0271
f75L_12_012	f75L	12	12	2196	1308	28	37	2.176	1.647	0.559	f75L_12_m0261|f75L_12_m0262|f75L_12_m0264
f75L_12_013	f75L	12	13	2342	1331	12	9	0.529	0.706	1.088	
f75L_12_014	f75L	12	14	2391	1296	84	54	3.176	4.941	0.353	
f75L_12_015	f75L	12	15	2510	1306	49	47	2.765	2.882	0.735	
f75L_12_016	f75L	12	16	2545	1269	50	83	4.882	2.941	-0.382	
f75L_12_017	f75L	12	17	2645	1301	44	51	3.000	2.588	0.559	
f75L_12_018	f75L	12	18	2715	1305	7	12	0.706	0.412	-0.353	
f75L_12_019	f75L	12	19	2874	1301	48	52	3.059	2.824	0.588	
f75L_12_020	f75L	12	20	2930	1358	4	12	0.706	0.235	2.765	f75L_12_m0266
f75L_12_021	f75L	12	21	3065	1303	42	45	2.647	2.471	0.500	
f75L_12_022	f75L	12	22	3319	1294	84	54	3.176	4.941	0.235	f75L_12_m0256
f75L_12_023	f75L	12	23	3389	1283	52	31	1.824	3.059	-1.088	
f75L_12_024	f75L	12	24	3433	1297	45	44	2.588	2.647	0.118	f75L_12_m0260
f75L_13_001	f75L	13	1	73	1411	5	50	2.941	0.294	1.294	f75L_13_m0291|f75L_13_m0300|f75L_13_m0303
f75L_13_002	f75L	13	2	82	1404	10	10	0.588	0.588	-0.294	f75L_13_m0294|f75L_13_m0296|f75L_13_m0304|f75L_13_m0307|f75L_13_m0308
f75L_13_003	f75L	13	3	147	1417	10	32	1.882	0.588	1.118	f75L_13_m0272|f75L_13_m0274|f75L_13_m0276|f75L_13_m0287|f75L_13_m0297|f75L_13_m0309|f75L_13_m0310
f75L_13_004	f75L	13	4	160	1379	6	11	0.647	0.353	-1.735	
f75L_13_005	f75L	13	5	168	1417	15	42	2.471	0.882	1.412	f75L_13_m0277|f75L_13_m0290|f75L_13_m0298
f75L_13_006	f75L	13	6	188	1417	7	30	1.765	0.412	1.059	f75L_13_m0301|f75L_13_m0311
f75L_13_007	f75L	13	7	323	1445	3	13	0.765	0.176	2.206	f75L_13_m0281|f75L_13_m0299
f75L_13_008	f75L	13	8	325	1425	4	10	0.588	0.235	0.941	
f75L_13_009	f75L	13	9	866	1439	9	10	0.588	0.529	1.765	
f75L_13_010	f75L	13	10	1258	1369	11	88	5.176	0.647	-0.059	f75L_13_m0295
f75L_13_011	f75L	13	11	1441	1360	54	91	5.353	3.176	-0.500	f75L_13_m0275|f75L_13_m0278|f75L_13_m0282|f75L_13_m0288|f75L_13_m0292|f75L_13_m0305
f75L_13_012	f75L	13	12	1496	1411	13	10	0.588	0.765	0.118	
f75L_13_013	f75L	13	13	1516	1442	7	10	0.588	0.412	1.941	
f75L_13_014	f75L	13	14	1536	1394	45	52	3.059	2.647	0.353	
