reference	covering_date	discovery_id	parties	dateline	cipher_sentences	description
SP 91/5/77	1707 Apr 27	C6719604	Whitworth to Harley	Dated Moscow, 16/27 Apr 1707.	Partly in cipher.	Folio 77: Whitworth to Harley. Reports from Shapfiroff of attempts, largely Prussian, to bring about a peace between Sweden and Russia. Czar's attitude to a peace. Danish and Prussian envoys to join the Czar on campaign. Bad roads blamed for the post from Lithuania bringing no news from Germany. Dated Moscow, 16/27 Apr 1707. Partly in cipher.
SP 91/5/83	1707 May 18	C6719607	Whitworth to Harley	Dated Moscow, 7/18 May 1707.	Partly in cipher.	Folio 83: Whitworth to Harley. Letters arrived from the army, but none from Shapfiroff: his brother says he awaits a resolution on the merchants' affairs, General Assembly resumed at Lublin for the election of new Polish king. Czar moves certain troops. Emperor notifies the Czar of his recognition of Stanislas, with some reasons; possibility that this news may prevent the intended sending of an envoy to Vienna. Report of successful Polish raid, and conjecture as to which general ordered it. Bad roads have prevented the Danish envoy from joining the Czar. No news from Germany or Lithuania. Dated Moscow, 7/18 May 1707. Partly in cipher.
SP 91/5/85	1707 May 25	C6719608	Whitworth to Harley	Dated Moscow, 14/25 May 1707.	Partly in cipher.	Folio 85: Whitworth to Harley. Letters not received from Germany, but reports arrived from the army in Poland. Czar's and nobles' intentions to return to the Council at Lublin. Reports from Shapfiroff of negotiations with Sweden and the Empire; king of Sweden's resulting withdrawal of his envoys from Vienna. Shapfiroff awaits a resolution on the merchants' affairs. Description of the trade in hides and the Czar's manipulation of it. Request for appeal to be made to the Russian envoy in England for intervention on behalf of the merchants. Dated Moscow, 14/25 May 1707. Partly in cipher.
SP 91/5/89	1707 June 8	C6719610	Whitworth to Harley	Dated Moscow, 28 May/8 June 1707.	Partly in cipher.	Folio 89: Whitworth to Harley. Letters from Germany and money intended for Prince Wiesnowieski's army seized by Lithuanian troops. Letters received from Lieutenant-General Hallart with reports of the campaign against the Swedes. State of the Russian forces. Russian strategy. Arrival of Puschkin, one of the Czar's chief ministers, from the camp with orders to raise more soldiers, fortify the chief towns, and cause the nobility to be prepared for military service. Those in the Czar's service unable to leave Moscow without the Czar's permission. Tartars mustering on the Volga. Possibility of revolution should the military plan fail. Continuing negotiations for the exchange of Swedish and Russian prisoners. Attempts to use the captive Swedish resident in Moscow to bring about an early settlement. Danish envoy has arrived at Kiev. Prussian envoy still on the journey. Dated Moscow, 28 May/8 June 1707. Partly in cipher.
SP 91/5/93	1707 June 15	C6719612	Whitworth to Harley	Dated Moscow, 4/15 June 1707.	Partly in cipher.	Folio 93: Whitworth to Harley. Reports from the army in Poland. Shapfiroff has obtained a resolution for the free trade in Russian hides. New taxes demanded for buoys and lighthouses from ships at Archangel. The issue awaits the attention of the High Admiral. Shapfiroff has not obtained a reply regarding customs for the Tobacco Company. Whitworth asks for instructions about accompanying the Czar on campaign, Shapfiroff having voiced this possibility. Progress of the Danish and Prussian envoys. Army marching to rendezvous near Warsaw. Council at Lublin postponed for some days. Russians still hope for the election of a new king. No news of the king of Sweden's intention to march out of Saxony. The general who seized the Russian consignment of money has been surrounded himself. Dated Moscow, 4/15 June 1707. Partly in cipher.
SP 91/5/106	1707 Aug 3	C6719620	Whitworth to Harley	Dated Moscow, 23 July/3 Aug 1707.	Partly in cipher.	Folio 106: Whitworth to Harley. Letters received from the army in Poland: movements of the Swedish army out of Saxony, and Russian plans. Diet has published Interregnum and is to go to Warsaw to make a new election. Rumours of movements towards making a peace with Sweden. A thousand Cossacks have arrived at Moscow before travelling to Smolensk. Report from a galley pursued by a French man-of-war and just arrived in Archangel. Fears for the safety of the Company fleet. Dated Moscow, 23 July/3 Aug 1707. Partly in cipher.
SP 91/5/108	1707 Aug 10	C6719621	Whitworth to Harley	Dated Moscow, 30 July/10 Aug 1707.	Partly undeciphered.	Folio 108: Whitworth to Harley. Receipt of explanation from Shapiroff in Lublin of the orders to take caution from foreigners in Moscow. Discussion with Prince Menschikoff about the trade in hides: Whitworth's opinion that the prohibition has been lifted. Shapfiroff informs him that the consul's business cannot be finished, as the Czar is occupied with the war. Little military news. Publication of the Interregnum and fixing of the date for the election. Prospect of peace in the north seems to decrease. Prussian envoy's quarrel with Menschikoff and his being forbidden to attend court. Reaction awaited from Berlin. Significance of the quarrel for other foreign ministers. Most of the English fleet arrives safely at Archangel. Dated Moscow, 30 July/10 Aug 1707. Partly undeciphered.
SP 91/5/121	1707 Sept 21	C6719626	Whitworth to Harley	Dated Moscow, 16/21 Sept 1707.	Partly in cipher.	Folio 121: Whitworth to Harley. News from Warsaw of the Swedish army being on the march, and the avant-garde having arrived at the frontier with Silesia. Report that the dispute between Sweden and the Holy Roman Emperor ended to the Czar's dissatisfaction. Intrigues of the Palatine of Beltz: expectation of the French envoy. Swedes approach the Oder. Russian military movements and plans. Settlement of the dispute between Menschikoff and the Prussian envoy. Progress of the fortification of Moscow. Publication of a proclamation requiring an exact account of all Swedish prisoners, and the numbers rebaptised into the Russian faith. Carrying off of families by the Tartars in their invasion of Livonia and Ingria. Speculation that the Survey on Swedish prisoners may be a preliminary to a treaty of peace. Serious fires in Moscow. Dated Moscow, 16/21 Sept 1707. Partly in cipher.
SP 91/5/133	1707 Nov 9	C6719632	Whiteworth to Harley	Dated Moscow, 29 Oct/9 Nov 1707.	Partly in cipher.	Folio 133: Whiteworth to Harley. Czarevitch arrives in Moscow for the winter. Czar goes to St Petersburg. Imperfect accounts of military movements from Bresce. Russian naval success on Lake Ladoga. Rebellion of Cossacks on the Don. Work still progressing on fortification of Moscow. Dated Moscow, 29 Oct/9 Nov 1707. Partly in cipher.
SP 91/5/141	1707 Dec 14	C6719636	Whitworth to Harley	Dated Moscow, 3/14 Dec 1707.	Partly in cipher.	Folio 141: Whitworth to Harley. Letters from Minsk give little information concerning the armies. Other reports that the Swedes have occupied Warsaw and that Menschikoff is moving his headquarters to Novogrodek. Disorder of the Russian military. Lack of capable officers. Republic of Poland accuses Russia of not adhering to the treaty: Czar's ministers' offer. Polish deputies come to Bresce and insist on payment of subsidies to their army: eventually accept a low settlement. Wife of General Leniafsky taken prisoner by the Swedes in Warsaw. Danish envoy returning to Moscow; Prussian envoy to remain at Minsk. Czar expected in Moscow. Order for new recruits to be raised for the dragoons in Poland: details of the levy. Dated Moscow, 3/14 Dec 1707. Partly in cipher.
SP 91/5/143	1707 Dec 28	C6719637	Whitworth to Harley	Dated Moscow, 17/28 Dec 1707.	Partly in cipher.	Folio 143: Whitworth to Harley. Conversation with the Czar during an entertainment: the Czar's compliments regarding the Queen and Sir Cloudesley Shovell. Czar's lengthy absence from Moscow. Rebels from Astrakhan and the Don examined by the Czar. Captured rebels' explanation of the Don rebellion. Reports that the Cossacks' rebellion is not yet contained. Representative of the Czar sent to a general of the Cossacks who formerly revolted from Poland. Late governor of Bychow, Seniecki, kept under close arrest, he his brother and another officer subjected to great intimidation before their examination by the Czar: their explanation of their revolt. Archbishop of Lemberg to be exchanged for Prince Dolenuki; Czar's treatment of the Archbishop and its possible consequences. Letters from Minsk report Crown General Leniaufski's withdrawal of his troops for want of subsistence. Expression of loyalty to the Czar by Leniaufski and other eminent Poles. Dated Moscow, 17/28 Dec 1707. Partly in cipher.
SP 91/5/147	1708 Jan 4	C6719638	Whitworth to Harley	Dated Moscow, Dec 24/Jan 4 1707/8.	Partly in cipher.	Folio 147: Whitworth to Harley. Czar has completed the next military establishment. Frequency of desertions. Lack of competent officers and inadequate subsistence. Czar has provided funds for his forces and has been led to examine his revenues. Committee created toexamine decrease of customs revenue. Whitworth hopes for alterations in trade agreements. Master workers in cloth brought to Moscow to start an industry there, their town being burnt with other estates of King Stanislas; the craftsmen ask leave to depart, because they cannot obtain proper materials. Further detachments sent to suppress the revolt of the Don Cossacks. Young Russian nobles chosen to travel abroad. English mathematician ordered to lay a road from Moscow to Petersburg. Reports of Swedish and Russian troop movements from Minsk. Reports that the Ottoman Porte wishes to break relations with the Czar supported by the Turkish envoy's having been some time with King Stanislas. Dated Moscow, Dec 24/Jan 4 1707/8. Partly in cipher.
SP 91/5/150	1708 Jan 4	C6719639	Whitworth to Harley	Dated Moscow, 4 Jan 1707- 31 Dec 1708.	Partly in cipher.	Folio 150: Whitworth to Harley. News from Minsk of both armies' situations and plans. Conference of Russians at Minsk to decide the partition of winter quarters exacerbated personal dispute between two of its members, Menschikoff and Sheremetov. Winter plans of Prussian and Danish envoys. Further indications by Mazeppa that the Turks intend to break with Russia Stanislas trying to win support of Cossacks. Rumours that Major-General Meroy has left the Emperor's service to enter the Czar's. Dated Moscow, 4 Jan 1707- 31 Dec 1708. Partly in cipher.
SP 91/5/152	1708 Jan 25	C6719640	Whitworth to Harley	Dated Moscow, 14/25 Jan 1708.	Partly in cipher.	Folio 152: Whitworth to Harley. Czar receives advice that movements made by the Swedes were to enter winter quarters. Vice-Admiral and other officers ordered to assume their posts in Petersburg. High Admiral Apraxin ordered to Lithuania. Rumours of Russian militaryoffensive. Report of Major-General Schaumberg's inroad into Livonia. Quiet situation at Minsk. More money paid to Polish troops by the Russians. Ottoman Turks not expected by the Russians to break with them unless they are beaten by Sweden. Presents sent by Russia to Turkey. Rebellion of Baskirsky Tartars. Whitworth's cold and abrupt audience with the Czar. Apraxin's behaviour towards Whitworth. Whitworth requests release from his post. Possibility of Apraxin's having wished to discuss the young noblemen the Czar intends to send to England. Dated Moscow, 14/25 Jan 1708. Partly in cipher.
SP 91/5/155	1708 Jan 18	C6719641	Whitworth to Harley	Dated Moscow, 7/18 Jan 1708.	Partly in cipher.	Folio 155: Whitworth to Harley. Czar's celebration of the season and his visit to the Foreign Suburb. Courier arrives during festivities with news of the Swedes' being on the march; Czar cuts festivities short to rejoin army. Whitworth's audience with the Czar: he raises a discussion of the merchants' grievances, but the Czar is unco-operative. Czar leaves for Lithuania. Whitworth has no news of either army: his speculation. Possible evidence that King Augustus trying to ingratiate himself with the Czar. Likelihood of the court's removing to Petersburg. Arrival of the Danish envoy. Dated Moscow, 7/18 Jan 1708. Partly in cipher.
SP 91/5/160	1708 Feb 29	C6719643	Whitworth to Harley	Dated Moscow, 18/29 Feb 1708.	Partly in cipher.	Folio 160: Whitworth to Harley. Unreliability of the post. Contradictory reports of the armies' activities cause the Czar to travel to Grodno and elsewhere to ascertain the true situation. Czar's report of the armies' movements. Whitworth has received reports of the Russians' fixing their headquarters at Czassniki. Swedes forced to abandon their march. Discussion of Russian military disorder and lack of good leadership. Russian practice of intercepting information casting a bad light upon them. Dated Moscow, 18/29 Feb 1708. Partly in cipher.
SP 91/5/163	1708 Mar 21	C6719644	Whitworth to Harley	Dated Moscow, 16/21 Mar 1708.	Partly undeciphered. / for deciphered version, see folio 180.	Folio 163: Whitworth to Harley. Regrets death of Mr. Stepney. Extreme change in Czar's attitude towards Whitworth. Discussion with Gagarin of the Czar's changed attitude. Whitworth approached with mysterious information which proves of little value. Speculation on reasons for Czar's coldness including the affairs of one Captain Petry and the machinations of Mr. Stiles. Relations with Mr. Stiles. Instability of Whitworth's reputation. Why he wishes to leave Russia. Extraordinary expenses incurred: requests payment of certain bills. Pessimistic view of the usefulness of his mission. Has not succeeded in obtaining a catalogue of certain manuscripts. Dated Moscow, 16/21 Mar 1708. Private. Partly undeciphered. for deciphered version, see folio 180.
SP 91/5/167	1708 Mar 21	C6719645	Whitworth to Harley	Dated Moscow, 10/21 Mar 1708.	Partly in cipher.	Folio 167: Whitworth to Harley. Difficulties with the post and various expedients to remedy it. Goodfellow's desire to return to England and the opinion of the Russia Company on his return. Goodfellow's difficulties: necessity for his successor to be appointed. Whitworth's cold reception by the Czar when he wished to discuss the merchants' grievances. Whitworth feels the Czar and his `Favourite' are hostile to the Russia Company's aims. Possibility of the Czar's entering the Grand Alliance, and the wisdom of the creation of a treaty of commerce with Russia. Whitworth feels the Czar's advisers intend to use a treaty for self-interested purposes, or have no intention of bringing the negotiation to fruition. Encloses copy of his letter to Shapfiroff (f. 176). Confused reports from Lithuania. Merchants on their way to England met Prince Menschikoff in disorderly retreat. Arrival of the Prussian envoy with confirmation of confusion amongst the Russians. Czar's movements. Crown army still supports Czar, but widespread rumours of Augustus' claims to crown of Poland seem to have been unfounded. Details of these rumours and their sources. Information deduced from the Russians' movements about General Loewenhaupt and his army. Removal of Swedish inhabitants from Dorpt. Arrival of eminent Swedish prisoners sent to Stockholm on parole. Archbishop of Lemberg forced to return to Moscow because of military activities. Progress of the fortifications of Moscow; doubt whether they will stand firm when the weather breaks. Arms which will be mounted on the fortifications. Histories of le Mestre de Sault, a Walloon and inventor of artillery, and of Fox, an Englishman engaged in work for the Czar. Birthday of the hereditary prince. Troops ordered to Viasma. Rebellion of the Baskirsky Tartars, and their previous harsh treatment by the Prebolskiks. Restoration of their previous governor, with promises to examine their grievances. Presence of large numbers of Muscovite troops. Dated Moscow, 10/21 Mar 1708. Partly in cipher.
SP 91/5/185	1708 Apr 7	C6719649	Whitworth to Harley	Dated Moscow, 24 Mar/7 Apr 1708.	A route for post seems opened from Warsaw; Whitworth will send duplicate of his previous letters by this route. / Partly in cipher.	Folio 185: Whitworth to Harley. A route for post seems opened from Warsaw; Whitworth will send duplicate of his previous letters by this route. Czar sends orders to his family and other nobles to meet him at Petersburg. Nomination of those who will remain in Moscow. Speculation about reason for the court's removal. Circumstances of the removal of the Swedish inhabitants from Dorpt and Narva. News from the frontiers of the military movements of the Czar, the Swedes and the Crown army. Reports reach Shapfiroff of Augustus' preparations. Progress of the Tartar rebellion. Lack of letters from Germany. Dated Moscow, 24 Mar/7 Apr 1708. Partly in cipher.
SP 91/5/188	1708 Apr 18	C6719650	Whitworth to Harley	Dated Moscow, 7/18 Apr 1708.	Partly in cipher.	Folio 188: Whitworth to Harley. No letters received from Germany. Armies continue in winter quarters in Lithuania. Communication between the envoy from the rebels of Hungary and the Archbishop of Lemberg. Russians have been privately enquiring among merchants for advice on how they may remit money into Germany; method likely to be chosen. Czar seems to be hoping for success in the peace negotiations with King Augustus. Movement of the Czar. Progress of the Moscow-Petersburg road being engineered by Mr Gwyn, an English mathematician. Summons by the Czar to various Ministers to join him. Dutch seamen going to Archangel to fit out three frigates to sail in the summer to the mouth of the White Sea. Dated Moscow, 7/18 Apr 1708. Partly in cipher.
SP 91/5/190	1708 Apr 25	C6719651	Whitworth to Harley	Dated Moscow, 14/25 Apr 1708.	Partly in cipher.	Folio 190: Whitworth to Harley. Despatch of an officer to bring to Moscow all Swedish prisoners from the Volga in preparation for an exchange. Czar at Petersburg, where he has built a large aviary. Progress of the Princess and the Empress. No further news received about the Tartar rebellion; resurgence of rebellious Cossacks in the Ukraine, demanding the removal of the Prebolsheks Cossacks have plundered Oranienburg. Preparation for military action against the Cossacks. Armies in Lithuania continue in winter quarters. Fair copy of the treaty between the Muscovites and the last king of Poland, John Sobieski, sent to Prince Menschikoff. Dated Moscow, 14/25 Apr 1708. Partly in cipher.
SP 91/5/192	1708 May 2	C6719652	Whitworth to Harley	Dated Moscow, 21 April/2 May 1708.	Partly in cipher.	Folio 192: Whitworth to Harley. Continuing standstill of the German post. Movement of the Swedish army in Lithuania; Muscovites remain in their previous positions. Loewenhaupt building a large magazine at Illiusen on the River Duina: Bauer ordered to observe him. Further details of the rebellion of the Cossacks of the Ukraine. Dated Moscow, 21 April/2 May 1708. Partly in cipher.
SP 91/5/194	1708 May 16	C6719653	Whitworth to Harley	Dated Moscow, 5/16 May 1708.	Partly in cipher.	Folio 194: Whitworth to Harley. Details of the post, and various expedients to remedy its inefficienc. Return of a courier attempting to take mails via Kiev and Breslau, with a description of his journey. Golofkin and Shapfiroff have asked Whitworth and others to seek the help of their principals in opening free passage for the mails. Whitworth's opinion that his commission cannot be achieved, and renewal of his request to return home. Quiet situation in Lithuania. Progress of the rebellion of the Baskirski Tartars. Rebellion of the Cirkasses Tartars, who have burnt the suburbs of Terki. Strengthening of the rebellion of the Cossacks in the Ukraine, now led by Bolavin, a veteran of Astrakhan. Rumours that the Ukraine Cossacks will oblige the Don Cossacks to join their rebellion. Military preparations by the Muscovites against the rebels. Return of the Walloon officer from Petersburg, where his various inventions were tried. A party of the rebels has been beaten. Dated Moscow, 5/16 May 1708. Partly in cipher.
SP 91/5/197	1708 May 23	C6719654	Whitworth to Harley	Dated Moscow, 12/23 May 1708.	Partly in cipher.	Folio 197: Whitworth to Harley. No post from Germany. News that Menschikoff is preparing for a march: decision to dispute the passage of the River Berisena. Description of the Muscovite troops. Army still expects the return of King Augustus. Court's arrival at Petersburg. Defeat sustained by a party of the Cossacks in rebellion. Suppression of the rebellion at Terki, the leader being taken. Dated Moscow, 12/23 May 1708. Partly in cipher.
SP 91/5/199	1708 June 6	C6719655	Whitworth to Harley	Dated Moscow, 26 May/6 June 1708.	Partly in cipher.	Folio 199: Whitworth to Harley. Grounds for hope that the posts may improve. Receipt of reports of preparations made by the French to invade Scotland Requests letters from England. Reports of activities in Lithuania. Continuing rumours of the return of King Augustus, Major-General Golts having gone from Saxony to the Crown General with news that the king was ready to march and had received aid from the Pope and support from the Emperor. Czar has no new treaty with him. Progress of the rebellion of the Cossacks in the Ukraine; the occupation of Girky. Attempts to negotiate exchanges of prisoners with the Swedes. Letters from Petersburg that the Princess and others would be dismissed from there by the end of the month, when the Czar would set out for the army. Dated Moscow, 26 May/6 June 1708. Partly in cipher.
SP 91/5/201	1708 June 13	C6719656	Whitworth to Harley	Dated Moscow, 2/13 June 1708.	Partly in cipher.	Folio 201: Whitworth to Harley. Continuing difficulties with the post. Hopes for confirmation of rumours of the defeat of the French fleet. Celebration of the Czar's birthday by the hereditary prince. Public thanks for the success of the enterprise on the coasts ofFinland: encloses translation of the printed account of the affair (f. 203). Movements of the Czar; his consecration of the Lutheran church at Narva to the Russian religion. Situation in Lithuania. Lack of definite news of King Augustus. Growth of the rebellion in the Ukraine. Bollavin has had the Cossacks' general and others executed and had himself elected to the title; has sent notification of this to the Czar, with explanation and justification of his action, indication of his strength, and his intention, should he not achieve the recognition of the Czar, to remove with all his people; Speculation that he intends to go to the Cuban Tartars who live under protection of the Ottoman Porte. Opinions on the policy the Czar will adopt. Dated Moscow, 2/13 June 1708. Partly in cipher.
SP 91/5/205	1708 June 27	C6719658	Whitworth to Harley	Dated Moscow, 16/27 June 1708.	Partly in cipher.	Folio 205: Whitworth to Harley. Arrival of letters from Breslau: discussion of the post. News from Lithuania of Swedish and Russian movements. No positive news of King Augustus. Neither confirmation nor denial available of General Bauer's rumoured incursion into the suburbs of Riga. Court news from Petersburg: court shortly to move to Moscow. Reports that the Czar may come to Moscow to supervise the securing of Veronitz and his fleet against the strengthening Cossacks. Dated Moscow, 16/27 June 1708. Partly in cipher.
SP 91/5/207	1708 July 11	C6719659	Whitworth to Boyle	Dated Moscow, 30 June/11 july 1708.	Partly in cipher.	Folio 207: Whitworth to Boyle. Improvement in the post still inadequate: reasons for the postal inefficiency, and attempts made to remedy it. Whitworth has not received orders for some months. Learns from the gazettes of Boyle's succeeding Harley and other news. News from Lithuania of the Swedish and Russian armies. No news of King Augustus' expedition, although money greater than the normal subsidy of the Crown Army was sent from Moscow. News of the Czar, still at Petersburg. Regiments marching from Veronitz. Rebels on the Don strengthening: Kamashinska taken. Failure of attempts to open communication between the Cossacks and the Baskir Tartars. Several ships entered Archangel. Unmolested on their journey. Dated Moscow, 30 June/11 july 1708. Partly in cipher.
SP 91/5/210	1708 July 18	C6719660	Whitworth to Boyle	Dated Moscow, 7/18 July 1708.	Partly in cipher.	Folio 210: Whitworth to Boyle. Progress of the post: receipt of newspapers but no letters. Letters from Sklove giving news of General Goltz and Prince Menschikoff installing themselves in an advantageous pass. Movements of the Swedes and of other Russians. Rumours of an impending battle. Czar on his way to the army. Further troops being sent to Verovitz; most of the Don Cossacks up in arms. Desertion of the Czar's troops to the rebels. Bollavin pursues his policy of ruling as a deputy of the Czar. Baskir Tartars have been appeased by the concessions of the government. Extra money sent to Kiev, rumoured to be for King Augustus, has been recalled. Crown army remains loyal to Czar: temper of General Leniawski and King Stanislaus. Dated Moscow, 7/18 July 1708. Partly in cipher.
SP 91/5/219	1708 Aug 22	C6719664	Whitworth to Boyle	Dated Moscow, 11/22 Aug 1708.	Partly in cipher.	Folio 219: Whitworth to Boyle. Letters from Horthi that the Swedish and Russian armies remain in their former stations. Preparation by the armies. Czar investigates certain mistakes in the recent action. An officer present at the engagement informs Whitworth that the official report was largely false. An engineer sent to survey the passes on the frontier of Muscovy: he suggests the Swedes will turn towards the province of Czermkoff and the Ukraine. Dated Moscow, 11/22 Aug 1708. Partly in cipher.
SP 91/5/221	1708 Aug 29	C6719665	Whitworth to Boyle	Dated Moscow, 18/29 Aug 1708.	Partly in cipher.	Folio 221: Whitworth to Boyle. Some back post received from Königsberg, and some new letters containing news of the victory over the French near Andenarde. Letters received and lost, and expedients to prevent loss. Letters from Horthi with news of the Swedish and Russian armies. Council of War held to examine officers accused of not doing their duty in the recent engagement: judgements and punishments. Criticism of Russian leadership. Swedes pass the Dnieper: Czar orders the hereditary prince to have fortifications erected at Viasma and elsewhere. Letters from Petersburg indicate that the Swedes were gathering at Wyburg with intent to attack Petersburg. Rebellion of Cossacks not entirely appeased: a comrade of Bollavin's achieves some success. Young Russian noblemen have gone abroad. Arrival of letters from Archangel. Dated Moscow, 18/29 Aug 1708. Partly in cipher.
