pos	code_idx	kind	token	before	after	line_role
80	63	CODE	300	55	401	BODY_CODE_A
81	64	CODE	401	300	450	BODY_CODE_A
82	65	CODE	450	401	109	BODY_CODE_A
83	66	CODE	109	450	471	BODY_CODE_A
84	67	CODE	471	109	55	BODY_CODE_A
85	68	CODE	55	471	301	BODY_CODE_A
86	69	CODE	301	55	283	BODY_CODE_A
87	70	CODE	283	301	455	BODY_CODE_A
88	71	CODE	455	283	284	BODY_CODE_A
89	72	CODE	284	455	152	BODY_CODE_A
90	73	CODE	152	284	113	BODY_CODE_A
91	74	CODE	113	152	235	BODY_CODE_A
92	75	CODE	235	113	21	BODY_CODE_A
93	76	CODE	21	235	240	BODY_CODE_A
94	77	CODE	240	21	486	BODY_CODE_A
95	78	CODE	486	240	410	BODY_CODE_A
96	79	CODE	410	486	400	BODY_CODE_A
97	80	CODE	400	410	340	BODY_CODE_A
98	81	CODE	340	400	176	BODY_CODE_A
99	82	CODE	176	340	401	BODY_CODE_A
100	83	CODE	401	176	2	BODY_CODE_A
101	84	CODE	2	401	378	BODY_CODE_A
102	85	CODE	378	2	32	BODY_CODE_A
103	86	CODE	32	378	378	BODY_CODE_A
104	87	CODE	378	32	3	BODY_CODE_A
105	88	CODE	3	378	320	BODY_CODE_A
106	89	CODE	320	3	382	BODY_CODE_A
107	90	CODE	382	320	401	BODY_CODE_A
108	91	CODE	401	382	237	BODY_CODE_A
109	92	CODE	237	401	382	BODY_CODE_A
110	93	CODE	382	237	56	BODY_CODE_A
111	94	CODE	56	382	301	BODY_CODE_A
112	95	CODE	301	56	235	BODY_CODE_A
113	96	CODE	235	301	450	BODY_CODE_A
114	97	CODE	450	235	507	BODY_CODE_A
115	98	CODE	507	450	72	BODY_CODE_A
116	99	CODE	72	507	367	BODY_CODE_A
117	100	CODE	367	72	492	BODY_CODE_A
118	101	CODE	492	367	346	BODY_CODE_A
119	102	CODE	346	492	382	BODY_CODE_A
120	103	CODE	382	346	401	BODY_CODE_A
121	104	CODE	401	382	41	BODY_CODE_A
122	105	CODE	41	401	410	BODY_CODE_A
123	106	CODE	410	41	400	BODY_CODE_A
124	107	CODE	400	410	112	BODY_CODE_A
125	108	CODE	112	400	461	BODY_CODE_A
126	109	CODE	461	112	402	BODY_CODE_A
127	110	CODE	402	461	240	BODY_CODE_A
128	111	CODE	240	402	57	BODY_CODE_A
129	112	CODE	57	240	49	BODY_CODE_A
130	113	CODE	49	57	288	BODY_CODE_A
131	114	CODE	288	49	403	BODY_CODE_A
132	115	CODE	403	288	346	BODY_CODE_A
133	116	CODE	346	403	295	BODY_CODE_A
134	117	CODE	295	346	79	BODY_CODE_A
135	118	CODE	79	295	213	BODY_CODE_A
136	119	CODE	213	79	401	BODY_CODE_A
137	120	CODE	401	213	146	BODY_CODE_A
138	121	CODE	146	401	402	BODY_CODE_A
139	122	CODE	402	146	429	BODY_CODE_A
140	123	CODE	429	402	262	BODY_CODE_A
141	124	CODE	262	429	285	BODY_CODE_A
142	125	CODE	285	262	65	BODY_CODE_A
143	126	CODE	65	285	138	BODY_CODE_A
144	127	CODE	138	65	403	BODY_CODE_A
145	128	CODE	403	138	109	BODY_CODE_A
146	129	CODE	109	403	487	BODY_CODE_A
147	130	CODE	487	109	175	BODY_CODE_A
148	131	CODE	175	487	271	BODY_CODE_A
149	132	CODE	271	175	287	BODY_CODE_A
150	133	CODE	287	271	320	BODY_CODE_A
151	134	CODE	320	287	395	BODY_CODE_A
152	135	CODE	395	320	55	BODY_CODE_A
153	136	CODE	55	395	201	BODY_CODE_A
154	137	CODE	201	55	14	BODY_CODE_A
155	138	CODE	14	201	287	BODY_CODE_A
156	139	CODE	287	14	Je	BODY_CODE_A
157		CLEAR	Je	287	me	BODY_CLEAR_CLAUSE
158		CLEAR	me	Je	flatte	BODY_CLEAR_CLAUSE
159		CLEAR	flatte	me	que	BODY_CLEAR_CLAUSE
160		CLEAR	que	flatte	j'aurai	BODY_CLEAR_CLAUSE
161		CLEAR	j'aurai	que	l'ordre	BODY_CLEAR_CLAUSE
162		CLEAR	l'ordre	j'aurai	ou	BODY_CLEAR_CLAUSE
163		CLEAR	ou	l'ordre	la	BODY_CLEAR_CLAUSE
164		CLEAR	la	ou	permission	BODY_CLEAR_CLAUSE
165		CLEAR	permission	la	de	BODY_CLEAR_CLAUSE
166		CLEAR	de	permission	suivre	BODY_CLEAR_CLAUSE
167		CLEAR	suivre	de	quoique	BODY_CLEAR_CLAUSE
168		CLEAR	quoique	suivre	plus	BODY_CLEAR_CLAUSE
169		CLEAR	plus	quoique	tard	BODY_CLEAR_CLAUSE
170		CLEAR	tard	plus	le	BODY_CLEAR_CLAUSE
171		CLEAR	le	tard	plan	BODY_CLEAR_CLAUSE
172		CLEAR	plan	le	envoyée	BODY_CLEAR_CLAUSE
173		CLEAR	envoyée	plan	dans	BODY_CLEAR_CLAUSE
174		CLEAR	dans	envoyée	les	BODY_CLEAR_CLAUSE
175		CLEAR	les	dans	chiffres	BODY_CLEAR_CLAUSE
176		CLEAR	chiffres	les	de	BODY_CLEAR_CLAUSE
177		CLEAR	de	chiffres	la	BODY_CLEAR_CLAUSE
178		CLEAR	la	de	lettre	BODY_CLEAR_CLAUSE
179		CLEAR	lettre	la	que	BODY_CLEAR_CLAUSE
180		CLEAR	que	lettre	j'ai	BODY_CLEAR_CLAUSE
181		CLEAR	j'ai	que	eu	BODY_CLEAR_CLAUSE
182		CLEAR	eu	j'ai	l'honneur	BODY_CLEAR_CLAUSE
183		CLEAR	l'honneur	eu	de	BODY_CLEAR_CLAUSE
184		CLEAR	de	l'honneur	vous	BODY_CLEAR_CLAUSE
185		CLEAR	vous	de	ecrire	BODY_CLEAR_CLAUSE
186		CLEAR	ecrire	vous	le	BODY_CLEAR_CLAUSE
187		CLEAR	le	ecrire	9	BODY_CLEAR_CLAUSE
188		CLEAR	9	le	de	BODY_CLEAR_CLAUSE
189		CLEAR	de	9	mars	BODY_CLEAR_CLAUSE
190		CLEAR	mars	de	dernier,	BODY_CLEAR_CLAUSE
191		CLEAR	dernier,	mars	si	BODY_CLEAR_CLAUSE
192		CLEAR	si	dernier,	ce	BODY_CLEAR_CLAUSE
193		CLEAR	ce	si	la	BODY_CLEAR_CLAUSE
194		CLEAR	la	ce	est	BODY_CLEAR_CLAUSE
195		CLEAR	est	la	65	BODY_CLEAR_CLAUSE
196	140	CODE	65	est	367	BODY_CODE_B
197	141	CODE	367	65	492	BODY_CODE_B
198	142	CODE	492	367	37	BODY_CODE_B
199	143	CODE	37	492	382	BODY_CODE_B
200	144	CODE	382	37	401	BODY_CODE_B
201	145	CODE	401	382	237	BODY_CODE_B
202	146	CODE	237	401	53	BODY_CODE_B
203	147	CODE	53	237	450	BODY_CODE_B
204	148	CODE	450	53	114	BODY_CODE_B
205	149	CODE	114	450	320	BODY_CODE_B
206	150	CODE	320	114	382	BODY_CODE_B
207	151	CODE	382	320	322	BODY_CODE_B
208	152	CODE	322	382	382	BODY_CODE_B
209	153	CODE	382	322	378	BODY_CODE_B
210	154	CODE	378	382	426	BODY_CODE_B
211	155	CODE	426	378	152	BODY_CODE_B
212	156	CODE	152	426	486	BODY_CODE_B
213	157	CODE	486	152	426	BODY_CODE_B
214	158	CODE	426	486	152	BODY_CODE_B
215	159	CODE	152	426	94	BODY_CODE_B
216	160	CODE	94	152	401	BODY_CODE_B
217	161	CODE	401	94	404	BODY_CODE_B
218	162	CODE	404	401	284	BODY_CODE_B
219	163	CODE	284	404	70	BODY_CODE_B
220	164	CODE	70	284	443	BODY_CODE_B
221	165	CODE	443	70	575	BODY_CODE_B
222	166	CODE	575	443	112	BODY_CODE_B
223	167	CODE	112	575	230	BODY_CODE_B
224	168	CODE	230	112	57	BODY_CODE_B
225	169	CODE	57	230	319	BODY_CODE_B
226	170	CODE	319	57	235	BODY_CODE_B
227	171	CODE	235	319	36	BODY_CODE_B
228	172	CODE	36	235	208	BODY_CODE_B
229	173	CODE	208	36	300	BODY_CODE_B
230	174	CODE	300	208	284	BODY_CODE_B
231	175	CODE	284	300	401	BODY_CODE_B
232	176	CODE	401	284	426	BODY_CODE_B
233	177	CODE	426	401	152	BODY_CODE_B
234	178	CODE	152	426	219	BODY_CODE_B
235	179	CODE	219	152	450	BODY_CODE_B
236	180	CODE	450	219	235	BODY_CODE_B
237	181	CODE	235	450	247	BODY_CODE_B
238	182	CODE	247	235	190	BODY_CODE_B
239	183	CODE	190	247	152	BODY_CODE_B
240	184	CODE	152	190	70	BODY_CODE_B
241	185	CODE	70	152	346	BODY_CODE_B
242	186	CODE	346	70	593	BODY_CODE_B
243	187	CODE	593	346	507	BODY_CODE_B
244	188	CODE	507	593	346	BODY_CODE_B
245	189	CODE	346	507	597	BODY_CODE_B
246	190	CODE	597	346	410	BODY_CODE_B
247	191	CODE	410	597	380	BODY_CODE_B
248	192	CODE	380	410	109	BODY_CODE_B
249	193	CODE	109	380	471	BODY_CODE_B
250	194	CODE	471	109	340	BODY_CODE_B
251	195	CODE	340	471	190	BODY_CODE_B
252	196	CODE	190	340	380	BODY_CODE_B
253	197	CODE	380	190	283	BODY_CODE_B
254	198	CODE	283	380	110	BODY_CODE_B
255	199	CODE	110	283	410	BODY_CODE_B
256	200	CODE	410	110	104	BODY_CODE_B
257	201	CODE	104	410	240	BODY_CODE_B
258	202	CODE	240	104	523	BODY_CODE_B
259	203	CODE	523	240	173	BODY_CODE_B
260	204	CODE	173	523	235	BODY_CODE_B
261	205	CODE	235	173	471	BODY_CODE_B
262	206	CODE	471	235	446	BODY_CODE_B
263	207	CODE	446	471	450	BODY_CODE_B
264	208	CODE	450	446	401	BODY_CODE_B
265	209	CODE	401	450	287	BODY_CODE_B
266	210	CODE	287	401	429	BODY_CODE_B
267	211	CODE	429	287	341	BODY_CODE_B
268	212	CODE	341	429	327	BODY_CODE_B
269	213	CODE	327	341	137	BODY_CODE_B
270	214	CODE	137	327	401	BODY_CODE_B
271	215	CODE	401	137	Monsieur	BODY_CODE_B
272		CLEAR	Monsieur	401	de	CLOSING
273		CLEAR	de	Monsieur	le	CLOSING
274		CLEAR	le	de	Marquis	CLOSING
275		CLEAR	Marquis	le	de	CLOSING
276		CLEAR	de	Marquis	Bretigni	CLOSING
277		CLEAR	Bretigni	de	que	CLOSING
278		CLEAR	que	Bretigni	vous	CLOSING
279		CLEAR	vous	que	aviéz	CLOSING
280		CLEAR	aviéz	vous	eu	CLOSING
281		CLEAR	eu	aviéz	la	CLOSING
282		CLEAR	la	eu	bonté	CLOSING
283		CLEAR	bonté	la	de	CLOSING
284		CLEAR	de	bonté	m'annoncer	CLOSING
285		CLEAR	m'annoncer	de	n'est	CLOSING
286		CLEAR	n'est	m'annoncer	point	CLOSING
287		CLEAR	point	n'est	arrivé,	CLOSING
288		CLEAR	arrivé,	point	il	CLOSING
289		CLEAR	il	arrivé,	paroit	CLOSING
290		CLEAR	paroit	il	que	CLOSING
291		CLEAR	que	paroit	les	CLOSING
292		CLEAR	les	que	Americains	CLOSING
293		CLEAR	Americains	les	se	CLOSING
294		CLEAR	se	Americains	suffiront	CLOSING
295		CLEAR	suffiront	se	à	CLOSING
296		CLEAR	à	suffiront	eux	CLOSING
297		CLEAR	eux	à	mémes,	CLOSING
298		CLEAR	mémes,	eux	pour	CLOSING
299		CLEAR	pour	mémes,	repousser	CLOSING
300		CLEAR	repousser	pour	les	CLOSING
301		CLEAR	les	repousser	Anglois	CLOSING
302		CLEAR	Anglois	les	de	CLOSING
303		CLEAR	de	Anglois	la	CLOSING
304		CLEAR	la	de	Georgie,	CLOSING
305		CLEAR	Georgie,	la	et	CLOSING
306		CLEAR	et	Georgie,	qu'ils	CLOSING
307		CLEAR	qu'ils	et	ne	CLOSING
308		CLEAR	ne	qu'ils	donneront	CLOSING
309		CLEAR	donneront	ne	pas	CLOSING
310		CLEAR	pas	donneront	le	CLOSING
311		CLEAR	le	pas	tems	CLOSING
312		CLEAR	tems	le	au	CLOSING
313		CLEAR	au	tems	zêle	CLOSING
314		CLEAR	zêle	au	de	CLOSING
315		CLEAR	de	zêle	leurs	CLOSING
316		CLEAR	leurs	de	alliés	CLOSING
317		CLEAR	alliés	leurs	de	CLOSING
318		CLEAR	de	alliés	les	CLOSING
319		CLEAR	les	de	y	CLOSING
320		CLEAR	y	les	secourir.	CLOSING
321		CLEAR	secourir.	y	Cette	CLOSING
322		CLEAR	Cette	secourir.	partie	CLOSING
323		CLEAR	partie	Cette	est	CLOSING
324		CLEAR	est	partie	trop	CLOSING
325		CLEAR	trop	est	voisine	CLOSING
326		CLEAR	voisine	trop	des	CLOSING
327		CLEAR	des	voisine	Espagnols	CLOSING
328		CLEAR	Espagnols	des	pour	CLOSING
329		CLEAR	pour	Espagnols	qu'ils	CLOSING
330		CLEAR	qu'ils	pour	puissent	CLOSING
331		CLEAR	puissent	qu'ils	voir	CLOSING
332		CLEAR	voir	puissent	avec	CLOSING
333		CLEAR	avec	voir	Indifference	CLOSING
334		CLEAR	Indifference	avec	ce	CLOSING
335		CLEAR	ce	Indifference	que	CLOSING
336		CLEAR	que	ce	s'y	CLOSING
337		CLEAR	s'y	que	passera.	CLOSING
338		CLEAR	passera.	s'y	J'ay	CLOSING
339		CLEAR	J'ay	passera.	l'honneur	CLOSING
340		CLEAR	l'honneur	J'ay	d'etre	CLOSING
341		CLEAR	d'etre	l'honneur	avec	CLOSING
342		CLEAR	avec	d'etre	Respect	CLOSING
343		CLEAR	Respect	avec	Monsieur	CLOSING
344		CLEAR	Monsieur	Respect	Votre	CLOSING
345		CLEAR	Votre	Monsieur	trés	CLOSING
346		CLEAR	trés	Votre	humble	CLOSING
347		CLEAR	humble	trés	et	CLOSING
348		CLEAR	et	humble	trés	CLOSING
349		CLEAR	trés	et	obeissant	CLOSING
350		CLEAR	obeissant	trés	serviteur	CLOSING
351		CLEAR	serviteur	obeissant	Signed	CLOSING
352		CLEAR	Signed	serviteur	Estaing,	CLOSING
353		CLEAR	Estaing,	Signed		CLOSING
