canvas_index_0based	f_url	folio_ink_number_read	content
166	f167	~144	LEFT: unrelated verse fragment headed "1710" ("Une fille du Prince de Ligne...") + a note re: "le fils du Mal. Villeroy age de 19 ans"; RIGHT: start of a NEW portrait plate, mirrored/partial caption "...DUC DE NOAILLES PAIR DE FRANCE MARECHAL DES CAMPS..."
167	f168	(not read, portrait plate)	full engraved portrait of Anne-Jules duc de Noailles (FIRST of two copies in this volume), captioned "...MARECHAL DES CAMPS ET ARMEES DU ROY ET CHEVALIER DE L'ORDRE DE LA TOISON D'OR..."
168	f169	149	manuscript letter "AU ROY / Sire / Le Marechal de Noailles n'avoit pas appréhendé d'importuner Votre Majesté..." -- start of finding-aid item 4 narrative (Memoire au Roi avec pieces, 1704-1708), M. de Bouillon dispute
169	f170	146 (non-monotonic vs c168 -- reading uncertainty, not re-verified)	Memoire narrative continues (M. de Bouillon arrerages dispute)
171	f172	163	title "Pieces Justificatives du memoire presente au Roy par M. le mareschal de Noailles..." + "Lettre de Mons. le duc de Cheureuse a M. l'abbe de Polignac, Juillet 1704" -- pieces-justificatives section of item 4
174	f175	164	Memoire pieces continue: parish/tax certificates (Meyssac area)
177	f178	178 (crop label uncertain)	certificate testimony re: troops at Meyssac/Curenne, "mal des logis" (billeting NCO)
180	f181	157 (corner crop only, 25 Sept prior pass)	manuscript letter re: "soumissions...Gouverneur...Son Altesse" -- part of item 4 narrative
190	f191	167	"Extrait de la lettre de M. de Montreuil a Made la mareschalle, du 6bre 1707" + "Certificat du cure...Meyssac"
195	f196	172	Memoire pieces certificates continue (Meyssac, 4 Janvier 1708)
200	f201	177	"Observations sur le Certificat cy dessus" (numbered points 1-9)
201	f202	178	certificat du mal des logis de la compagnie de Cambon
202	f203	179	continuing observations "gens de M. de Bouillon"; "Information faite a Turenne" -- appears to be the END of item 4's narrative/pieces section
203	f204	180	engraved portrait, unnamed standing figure, Spanish/1630s costume, plain frame -- NOT captioned in this crop, unrelated to Noailles bundle by costume/date
204	f205	181	engraved portrait of Anne-Jules duc de Noailles (SECOND copy in this volume), full caption "ANNE JULE DUC DE NOAILLES PAIR ET MAL. DE FRANCE...VICEROY DE CATALOGNE..." with a dedicatory verse below
205	f206	182	title page "DECLARATION DE MONSEIGNEUR LE DUC DE NOAILLES EN FAVEUR DES CATALANS; Traduite fidelement de l'Espagnol en Francois. A Toulouse...M.DCC.X" (1710) -- NOT listed in the finding-aid item note at all
206	f207	183	Catalans declaration continues, bilingual French/Spanish parallel text
207	f208	184	Catalans declaration continues
209	f210	186	Catalans declaration continues (Philippe V / Duc de Noailles plenipotentiary correspondence)
210	f211	187	Catalans declaration ENDS, signed "A Valladolid le vingt-cinquiesme Septembre de mil sept cens dix. MOI LE ROI" + "Don Pedro Caitano Fernandes del Campo"
211	f212	188	LEFT: tail end of Catalans declaration (Spanish, Don Francisco Antonio de la Concha); RIGHT: NEW section title "Promotion du 31 Decembre 1688 & jours suivans" -- "ARMAND SEIGNEUR DU CAMBOUT Duc de Coislin..." portrait -- this is the volume's OWN titular content (Ordre du Saint-Esprit, 1688 promotion), i.e. the Noailles-family miscellany bundle ENDS at folio188 with no room found for "Avis de Flandre, chiffres" or the 1570 letter
212	f213	189	heraldry armorial plate, 16 coats of arms, "Cambout Duc de Coislin" -- Order of Saint-Esprit promotion gallery continues, unrelated to the Noailles bundle
214	f215	~191	engraved portrait, oval frame, partial caption "DUX ET..." -- promotion gallery continues
216	f217	192	LEFT: numeric memorandum (sums in livres/sols/deniers style: "600/[500]/700/1100/300/1600/500/3300" etc) -- NOT cipher-shaped, looks like an accounts total; RIGHT: heading "[?]amont -a Villeguiers", blank oval ghost-impression from facing plate
