id	shelfmark	date_range	record_type	status	number_of_pages	search_page
8713	London ,British Library, Add MS 72438 f 84. BL_Add_MS_72438_084	1625 - 1647	Key	N/A	1	2
8711	London ,British Library, Add MS 72438 f 83. BL_Add_MS_72438_083	1625 - 1647	Key	N/A	1	2
8709	London ,British Library, Add MS 72438 f 82. BL_Add_MS_72438_082	1625 - 1647	Key	N/A	1	2
8706	London ,British Library, Add MS 72438 f 80-81. BL_Add_MS_72438_080	1625 - 1647	Key	N/A	2	2
8704	London ,British Library, Add MS 72438 f 78-79. BL_Add_MS_72438_078	1625 - 1647	Key	N/A	3	2
8701	London ,British Library, Add MS 72438 f 77. BL_Add_MS_72438_077	1625 - 1647	Key	N/A	1	2
8700	London ,British Library, Add MS 72438 f 76. BL_Add_MS_72438_076	1625 - 1647	Key	N/A	1	2
8697	London ,British Library, Add MS 72438 f 74-75. BL_Add_MS_72438_074	1625 - 1647	Key	N/A	2	2
8696	London ,British Library, Add MS 72438 f 72-73. BL_Add_MS_72438_072	1625 - 1647	Key	N/A	1	2
8694	London ,British Library, Add MS 72438 f 70-71. BL_Add_MS_72438_070	1625 - 1647	Key	N/A	2	2
8690	London ,British Library, Add MS 72438 f 69. BL_Add_MS_72438_069	1625 - 1647	Key	N/A	1	2
8687	London ,British Library, Add MS 72438 f 67-68. BL_Add_MS_72438_067	1625 - 1647	Key	N/A	2	2
8686	London ,British Library, Add MS 72438 f 66. BL_Add_MS_72438_066	1625 - 1647	Key	N/A	1	3
8658	London ,British Library, Add MS 72438 f 64-65. BL_Add_MS_72438_064	1625 - 1647	Key	N/A	2	3
8657	London ,British Library, Add MS 72438 f 63. BL_Add_MS_72438_063	1625 - 1647	Key	N/A	2	3
8656	London ,British Library, Add MS 72438 f 61-62. BL_Add_MS_72438_061	1625 - 1647	Key	N/A	2	3
8655	London ,British Library, Add MS 72438 f 59-60. BL_Add_MS_72438_059	1625 - 1647	Key	N/A	3	3
8654	London ,British Library, Add MS 72438 f 57-58. BL_Add_MS_72438_057	1625 - 1647	Key	N/A	3	3
8653	London ,British Library, Add MS 72438 f 56. BL_Add_MS_72438_056	1625 - 1647	Key	N/A	1	3
8652	London ,British Library, Add MS 72438 f 55. BL_Add_MS_72438_055	1625 - 1647	Key	N/A	1	3
8651	London ,British Library, Add MS 72438 f 53-54. BL_Add_MS_72438_053	1625 - 1647	Key	N/A	3	3
8650	London ,British Library, Add MS 72438 f 52. BL_Add_MS_72438_052	1625 - 1647	Key	N/A	1	3
8649	London ,British Library, Add MS 72438 f 51. BL_Add_MS_72438_051	1625 - 1647	Key	N/A	1	3
8648	London ,British Library, Add MS 72438 f 50. BL_Add_MS_72438_050	1625 - 1647	Key	N/A	1	3
8647	London ,British Library, Add MS 72438 f 49. BL_Add_MS_72438_049	1625 - 1647	Key	N/A	1	3
8646	London ,British Library, Add MS 72438 f 48. BL_Add_MS_72438_048	1625 - 1647	Key	N/A	1	3
8645	London ,British Library, Add MS 72438 f 47. BL_Add_MS_72438_047	1625 - 1647	Key	N/A	1	3
8644	London ,British Library, Add MS 72438 f 46. BL_Add_MS_72438_046	1625 - 1647	Key	N/A	1	3
8643	London ,British Library, Add MS 72438 f 44-45. BL_Add_MS_72438_044	1625 - 1647	Key	N/A	3	3
8642	London ,British Library, Add MS 72438 f 43. BL_Add_MS_72438_043	1625 - 1647	Key	N/A	1	3
8641	London ,British Library, Add MS 72438 f 41-42. BL_Add_MS_72438_041	1625 - 1647	Key	N/A	2	3
8640	London ,British Library, Add MS 72438 f 40. BL_Add_MS_72438_040	1625 - 1647	Key	N/A	1	3
8639	London ,British Library, Add MS 72438 f 39. BL_Add_MS_72438_039	1625 - 1647	Key	N/A	1	4
8638	London ,British Library, Add MS 72438 f 38. BL_Add_MS_72438_038	1625 - 1647	Key	N/A	1	4
8637	London ,British Library, Add MS 72438 f 37. BL_Add_MS_72438_037	1625 - 1647	Key	N/A	1	4
8636	London ,British Library, Add MS 72438 f 36. BL_Add_MS_72438_036	1625 - 1647	Key	N/A	1	4
8635	London ,British Library, Add MS 72438 f 35. BL_Add_MS_72438_035	1625 - 1647	Key	N/A	1	4
8634	London ,British Library, Add MS 72438 f 34. BL_Add_MS_72438_034	1625 - 1647	Key	N/A	2	4
8633	London ,British Library, Add MS 72438 f 33. BL_Add_MS_72438_033	1625 - 1647	Key	N/A	1	4
8632	London ,British Library, Add MS 72438 f 32. BL_Add_MS_72438_032	1625 - 1647	Key	N/A	1	4
8631	London ,British Library, Add MS 72438 f 31. BL_Add_MS_72438_031	1625 - 1647	Key	N/A	1	4
8630	London ,British Library, Add MS 72438 f 29-30. BL_Add_MS_72438_029	1625 - 1647	Key	N/A	2	4
8629	London ,British Library, Add MS 72438 f 28. BL_Add_MS_72438_028	1625 - 1647	Key	N/A	2	4
8628	London ,British Library, Add MS 72438 f 27. BL_Add_MS_72438_027	1625 - 1647	Key	N/A	1	4
8627	London ,British Library, Add MS 72438 f 25-26. BL_Add_MS_72438_025	1625 - 1647	Key	N/A	1	4
8626	London ,British Library, Add MS 72438 f 14-15. BL_Add_MS_72438_014	1647 -	Cipher	Decrypted	4	4
8625	London ,British Library, Add MS 72438 f 12-13. BL_Add_MS_72438_012	1647 -	Cipher	Decrypted	2	4
8624	London ,British Library, Add MS 72438 f 10. BL_Add_MS_72438_010	1646 -	Cipher	Non-decrypted	2	4
8623	London ,British Library, Add MS 72438 f 9. BL_Add_MS_72438_009	1646 -	Cipher	Non-decrypted	1	4
8622	London ,British Library, Add MS 72438 f 7. BL_Add_MS_72438_007	1625 - 1647	Cipher	Decrypted	2	4
8621	London ,British Library, Add MS 72438 f 5-6. BL_Add_MS_72438_005	1645 -	Cipher	Decrypted	4	4
8620	London ,British Library, Add MS 72438 f 3-4. BL_Add_MS_72438_003	1645 -	Cipher	Decrypted	4	4
8619	London ,British Library, Add MS 72438 f 1. BL_Add_MS_72438_001	1643 -	Cipher	Decrypted	1	5
