block	line	token_index	raw_token	confidence
B	5	7	v8r4s,	low
B	5	8	p7vg28	low
B	6	1	b7d7s	low
B	6	2	l38nbn	low
B	6	3	s3s	low
B	6	4	pv8t8ns37nb8s	low
B	6	5	3	low
B	6	6	4nd4n	low
B	6	7	4c43v8	low
B	7	1	d8s2g4sl7	low
B	7	2	3	low
B	7	3	s2s	low
B	7	4	m3sm7s	low
B	7	5	h3s7s	low
B	7	6	m2ch4s	low
B	7	7	28c8s	low
B	7	8	n7	high
B	8	1	s7	low
B	8	2	4tv8v8n	low
B	8	3	4	high
B	8	4	dv3vl8n4d4,	low
B	8	5	34553	low
B	8	6	n7	high
B	8	7	43	low
B	8	8	53n7	low
B	8	9	p4	low
B	9	1	c38nc34	low
B	9	2	3	low
B	9	3	h4c8v	low
B	9	4	g28	low
B	9	5	pvd38v8m7s	low
B	9	6	c7mf7rm8	low
B	10	1	4	high
B	10	2	g7s	low
B	10	3	c38mp7s	low
C1	1	1	d8c3d7	low
C1	1	2	dvv7	low
C1	1	3	qv8	high
C1	1	4	l8688424	low
C1	1	5	l4sm4n7s,	low
C1	1	6	8st4sd7s	low
C1	2	1	c7ss4s	low
C1	2	2	h8	high
C1	2	3	h8chy	low
C1	2	4	p7r	low
C1	2	5	s8r	low
C1	2	6	t4n	low
C1	2	7	c7nc23n88nt8s	low
C1	2	8	8nb3t4	low
C1	3	1	7cc4ss37n	low
C1	3	2	3	low
C1	3	3	p4rd8crmb	low
C1	3	4	qv8	high
C1	3	5	25.	low
C1	3	6	g7	low
C1	3	7	c8ndr34	low
C1	3	8	p7r	low
C1	4	1	63dn,	low
C1	4	2	s3n7	low
C1	4	3	pdvd4nb3	low
C1	4	4	s2ff3c7	low
C1	4	5	425a	low
C1	4	6	p2d3dnd7g	low
C1	4	7	c4ll4r	low
C1	4	8	28v4	low
C1	4	9	25a	low
C1	5	1	qm4	low
C1	5	2	v8rd4d	low
C1	5	3	qv8	high
C1	5	4	pr7c8d7	low
C1	5	5	3	low
C1	5	6	c7n	low
C1	5	7	grant7s	low
C1	5	8	d888975	low
C1	6	1	d8	high
C1	6	2	4c8rt4r	low
C1	6	3	48dr23r	low
C1	6	4	425a	low
C1	6	5	3	low
C1	6	6	d4vlg	low
C1	6	7	grsty	low
C1	6	8	dnt7d7-	low
C2	1	1	d7	low
C2	1	2	4lg1n4	low
C2	1	3	7cc4ss37n	low
C2	1	4	p4r4	high
C2	1	5	l427	low
C2	2	1	4lg2n7s	low
C2	2	2	cvd7	low
C2	2	3	qv8	high
C2	2	4	64n	low
C2	2	5	c7n	low
C2	2	6	d3ct4m8n	low
C2	2	7	qv8	high
C2	2	8	p7r	low
C2	2	9	8cc4	low
C2	3	1	64f7	low
C2	3	2	3	low
C2	3	3	628n4	low
C2	3	4	d3lg8nc34	low
C2	3	5	dd8	low
C2	3	6	m3nb3str7	low
C2	3	7	s8lg	low
C2	3	8	p28dd8	low
C2	3	9	d8869nb8	low
C2	4	1	d4r	low
C2	4	2	g7	low
C2	4	3	qv8	high
C2	4	4	p4rd8c34r3	low
C2	4	5	f2st7,	low
C2	4	6	3	low
C2	4	7	8sf8	low
C2	4	8	c4m3n7	low
C2	4	9	g8h4d8r	low
C2	5	1	t4m	low
C2	5	2	4nchy	low
C2	5	3	g7sqv8	low
C2	5	4	n7	high
C2	5	5	s4z8n	low
C2	5	6	mvch7	low
C2	5	7	qv8	high
C2	5	8	88	low
C2	5	9	dv8s	low
C2	6	1	p8n4n	low
