block	token_index	raw_token	confidence	note
B	36	pv8d8n	low	A-only
B	37	3	low	A-only
B	38	4tv4s	low	A-only
B	39	28c8s	low	A-only
B	40	n7s8	high	agree
B	41	4tv8v8n	low	unresolved(A='4tv8v8n' B='4v328n')
B	42	4	high	agree
B	43	4bl4v	low	unresolved(A='4bl4v' B='46l4v')
B	44	4l	medium	dict-pick-B(vs '4')
B	45	d2q28	medium	dict-pick-B(vs 'dvg28')
B	46	c7n	high	agree
B	47	v8r4s,	high	agree
B	48	p7rq28	medium	dict-pick-B(vs 'p7vg28')
B	49	t7d7s	medium	dict-pick-B(vs 'b7d7s')
B	50	l38nbn	low	unresolved(A='l38nbn' B='b38nb8n')
B	51	s3s	low	unresolved(A='s3s' B="s2'5")
B	52	pv8t8ns37nb8s	low	unresolved(A='pv8t8ns37nb8s' B='prdt8ns37nds')
B	53	3	low	unresolved(A='3' B='34nd4n')
B	54	4nd4n	medium	dict-pick-A(vs '4c43r8')
B	55	4c43v8	low	A-only
B	56	d8s2g4sl7	low	A-only
B	57	3	high	agree
B	58	s2s	high	agree
B	59	m3sm7s	high	agree
B	60	h3s7s	low	unresolved(A='h3s7s' B='h3s75')
B	61	m2ch4s	high	agree
B	62	v8c8s	medium	dict-pick-B(vs '28c8s')
B	63	n7	high	agree
B	64	s7	medium	dict-pick-A(vs 'd8s2g4st7')
B	65	4tv8v8n	low	unresolved(A='4tv8v8n' B='3')
B	66	s2s	low	B-only
B	67	s87	low	B-only
B	68	4hv88n	low	B-only
B	69	4	high	agree
B	70	d8c3rl8	medium	dict-pick-B(vs 'dv3vl8n4d4,')
B	71	n4d4,	medium	dict-pick-B(vs '34553')
B	72	3	low	B-only
B	73	4ss3	low	B-only
B	74	n7	high	agree
B	75	43	high	agree
B	76	s3n7	medium	dict-pick-B(vs '53n7')
B	77	p4	high	agree
B	78	c38nc34	low	unresolved(A='c38nc34' B='h4c8r')
B	79	q28	medium	dict-pick-B(vs '3')
B	80	p2d38r8m7s	medium	dict-pick-B(vs 'h4c8v')
B	81	g28	low	unresolved(A='g28' B='c7mf3rm8')
B	82	pvd38v8m7s	low	unresolved(A='pvd38v8m7s' B='4l75')
B	83	c7mf7rm8	low	unresolved(A='c7mf7rm8' B='t38mp75')
B	84	4	low	A-only
B	85	g7s	low	A-only
B	86	c38mp7s	low	A-only
C1	1	d8c3d7	high	agree
C1	2	d8ll7	medium	dict-pick-B(vs 'dvv7')
C1	3	qv8	low	unresolved(A='qv8' B='3')
C1	4	l8688424	low	unresolved(A='l8688424' B='l86d884z4')
C1	5	l4sm4n7s,	high	agree
C1	6	8st4sd7s	low	unresolved(A='8st4sd7s' B='8st4sd7')
C1	7	c7ss4s	high	agree
C1	8	h8	high	agree
C1	9	h8ch7	medium	dict-pick-B(vs 'h8chy')
C1	10	p7r	high	agree
C1	11	s8r	high	agree
C1	12	t4n	medium	dict-pick-A(vs 'l4n')
C1	13	c7nc23n88nt8s	low	unresolved(A='c7nc23n88nt8s' B='c7nc3nc8nt8s')
C1	14	8nb3t4	low	unresolved(A='8nb3t4' B='8ndbst4')
C1	15	7cc4ss37n	high	agree
C1	16	3	high	agree
C1	17	p4rd8crmb	low	unresolved(A='p4rd8crmb' B='p4rd8rmb')
C1	18	q28	medium	dict-pick-B(vs 'qv8')
C1	19	25.	low	unresolved(A='25.' B='28.')
C1	20	g7	low	unresolved(A='g7' B='g78nd734')
C1	21	c8ndr34	low	A-only
C1	22	p7r	high	agree
C1	23	63dn,	low	unresolved(A='63dn,' B='63n,')
C1	24	s3n7	low	unresolved(A='s3n7' B='s3')
C1	25	n7	medium	dict-pick-B(vs 'pdvd4nb3')
C1	26	s2ff3c7	low	unresolved(A='s2ff3c7' B='p8vd84ns83')
C1	27	425a	low	unresolved(A='425a' B='s2ppl3c7')
C1	28	p2d3dnd7g	low	unresolved(A='p2d3dnd7g' B='4')
C1	29	28mb	low	B-only
C1	30	q28nd7l7	low	B-only
C1	31	c4ll4r	high	agree
C1	32	28v4	high	agree
C1	33	25a	low	unresolved(A='25a' B='28.')
C1	34	qm4	low	unresolved(A='qm4' B='q28n')
C1	35	v8rd4d	low	unresolved(A='v8rd4d' B='d8c3rl7')
C1	36	qv8	low	unresolved(A='qv8' B='428')
C1	37	pr7c8d7	low	unresolved(A='pr7c8d7' B='p2d38n')
C1	38	d8sn7	low	B-only
C1	39	3	high	agree
C1	40	c7n	high	agree
C1	41	grant7s	low	unresolved(A='grant7s' B='gr4nt8s')
C1	42	d888975	low	unresolved(A='d888975' B='d88s87')
C1	43	d8	medium	dict-pick-A(vs 'g2nl4')
C1	44	4c8rt4r	medium	dict-pick-A(vs 'v8vd4d')
C1	45	q28	medium	dict-pick-B(vs '48dr23r')
C1	46	425a	low	unresolved(A='425a' B='p7rc88r')
C1	47	3	high	agree
C1	48	c7n	medium	dict-pick-B(vs 'd4vlg')
C1	49	grsty	low	unresolved(A='grsty' B='gr4nt8s')
C1	50	dnt7d7-	low	unresolved(A='dnt7d7-' B='4a25')
C1	51	3d4rl8	low	B-only
C1	52	g28l7	low	B-only
C1	53	8nt7dr	low	B-only
