date	run	files	settings	best_score	score_per_token	restarts_at_best	control_accuracy	time	best_reading_head
2026-09-23	C3-f70-alone	ctl3_f70.txt	--restarts 16 --iters 300000	-894.9	-2.295	5/16	tok=0.995 let=0.990	40s	ctl3_f70.txt: efioloetsottobonaobedientiaetgouernodesuasignoriaetdemadamaetdalcantosuostagnanoet {INBONA} amicitiachenoietcheconsequentementeperquestonepossanoessereesianoobs
2026-09-23	C3-joint-shuffled1	ctl3_f68.txt+ctl3_f70.txt	--restarts 16 --iters 300000 --shuffle 1	-3424.9	-4.314	1/16		43s	ctl3_f68.txt: ioaidemiaaalmoauammieunaiahioitiimnoodainaasaadncardauariuaiiamomertenualeetaideiaasuaerelimaaiuurietinnuiuesieeimaritanaatauineonuisarmistimuradictaleetaeadlet || ctl3_f70.txt: letueainruuuadadiinieuueneiiadisnaledianinadmiaioeaiareadmasdesdiidegliaitoettae {INBONA} dieeinisaromaarmtueseeiaariadinelmionriieusdeissimannuiurmaidemrelseti
2026-09-23	C1-joint-shuffled2	ctl1_f68.txt+ctl1_f70.txt	--restarts 16 --iters 300000 --shuffle 2	-3358.1	-4.229	1/16		44s	ctl1_f68.txt: neatouuueenoidiininidduieunnttictenetseeiieniiaueiieingaencrlincaudaledctosreogarneialtmetnoetetsneuisiemneieetaualeditedaronaleiinimaeseteduetieetlaueadineeilg || ctl1_f70.txt: dnontadonarnitigeimitsialaimaeaieltaiceinaliiattiieiiillanadauereauetteimiaagomeatea {COGNOSCIUTO} iiouateetniereaiealittantiottoiietgiusinimalaetmeminntaleuadi
2026-09-23	C1-joint-clearctx	ctl1_f68.txt+ctl1_f70.txt	--restarts 16 --iters 300000 --context clear	-1974.5	-2.487	4/16	tok=0.997 let=0.991	48s	ctl1_f68.txt: daltriperchenostrosegnorediocehapermessogoderecosidignoetopulentostatochenehalassatolabonamemoriadeloillustrissimosegnorenostropadrechemeritamenteneremanemointe || ctl1_f70.txt: inquestopaeserespondemocheloamorehauemosempreportatoadcasauostraperladeuotionehaue {COGNOSCIUTO} haueretersolapredictamadamaetloillustrissimoducaphilipertonostr
2026-09-23	CP-joint	ctlP_f68.txt+ctlP_f70.txt	--restarts 16 --iters 300000	-1630.2	-2.053	6/16	tok=0.997 let=0.993	50s	ctlP_f68.txt: hauemotirespostononhauereuolutonotificarelinealtroueladietaadunationedeamenteetandatadedonatoperfinchenonhabiapassatoconledietegentelasesiaperchepalesandolanonf || ctlP_f70.txt: leuaesserequellacheseinterponessefrasoamaperuiadeparentadietperognialtrauiaexpedie {COSIANCHE} pohauerecompresosoasantitaperlamandassemoaddireperdemmoalbricoall
2026-09-23	CP-f68-alone	ctlP_f68.txt	--restarts 16 --iters 300000	-870.7	-2.155	2/16	tok=0.998 let=0.998	45s	ctlP_f68.txt: hauemotirespostononhauereuolutonotificarelinealtroueladietaadunationedeamenteetandatadedonatoperfinchenonhabiapassatoconledietegentelasesiaperchepalesandolanonf
2026-09-23	CP-f70-alone	ctlP_f70.txt	--restarts 16 --iters 300000	-759.5	-1.947	1/16	tok=0.997 let=0.987	45s	ctlP_f70.txt: leuaesserequellacheseinterponessefrasoamaperuiadeparentadietperognialtrauiaexpedie {COSIANCHE} pohauerecompresosoasantitaperlamandassemoaddireperdemmoalbricoall
2026-09-23	CP-joint-shuffled1	ctlP_f68.txt+ctlP_f70.txt	--restarts 16 --iters 300000 --shuffle 1	-3291.2	-4.145	1/16		48s	ctlP_f68.txt: ttinaotidemolumaduetteanieicetstetilueamiantmumretiioreteildoluluietailtenntlitteintesitemdietdideetniiadextottaaloietmioditsaoriietuodideitiietietdedadecexiiio || ctlP_f70.txt: iuainitoretetuiieteeiotataettuiaetexdettetlealemaaotiesnltitstmietioatianieimiilat {COSIANCHE} doaduexdetetedaadoauarddrldaedaetoiaeaeuuoduoiuaetaiaperiidieiart
2026-09-23	T-joint-mapA	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000	-3175.7	-4.000	1/16		36s	ciphertext.txt: zrietinuanienteleuadnetmagemualauonenuntirdgieuatinrgalnuntitanemageiamguanienteneieutatiradeitibuiaddnadeuuanieitaeinuinnerdaitatmagiieutatarnnotreureneuoniaad || ciphertext_f70.txt: inusognsuanoeisudospetonaniderarnedscanetleuisueaduadsleaduatiltederenoeleuoetalisoei {FORNENDO} iatapoenadeiuosnisueropereetosuoitaliltauoiersueadoederlearanti
2026-09-23	T-joint-mapB	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000	-3029.8	-3.816	1/16		37s	ciphertext.txt: glamlaretatmafarctadedieetaalreferitatrtdelsetearemlaletelitrtinemetaedieetaeealetretatmataarmedelcaemenonrecstcarretaedealarlatalseemededieetearmedelttiinlarla || ciphertext_f70.txt: lartietittretiaetrsituadiitodelantastuoadfareitracrestnaicredendadelatianariadienetia {FORNENDO} edebiatcaritteitraliihaadiitriidefenderialtraciadelfaanodecresa
2026-09-23	T-f68-alone	ciphertext.txt	--restarts 16 --iters 300000	-1426.2	-3.530	1/16		46s	ciphertext.txt: cetdemilatadeschesiaredelituilchelinataiaeoecheiosildemeipereaiadodelasdelisoluiilatadetassideleoetodeogiocheatiilatoelsmimasechelodeledeliosideleleaandesietasi
2026-09-23	T-f70-alone	ciphertext_f70.txt	--map --restarts 16 --iters 300000	-1381.2	-3.542	1/16		41s	ciphertext_f70.txt: manticurtnoriaatnsitraduiramadprestedamedesanautnelnostraulnodardeadariareniaduoratie {FORNENDO} odomiarlenitrautnauimaediutnuidoesardonietnelieadesepamdalnoser
2026-09-23	T-joint-mapA-clearctx	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --context clear	-3279.9	-4.131	1/16		37s	ciphertext.txt: oliedinuetietdacautoradietedueceuitetutrantaauedinteritutanadetaadietaaedtuetietdetaiauderaeadaquanteuuetieareainuintaneaderadietaiauderettianauetauitietarieala || ciphertext_f70.txt: inusititsuetiaasunismariitmilantensgmorcauaisuouenslaiueralrelaatialeuiarielasioi {FORNENDO} ierediateiuistaisuaiicheaoriisuiiirecalreuiiesuoielaconmraueneloair
2026-09-23	T-joint-mapA-V=de	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --fix V=de	-3156.3	-3.975	1/16		36s	ciphertext.txt: maniiuatitapaurtorerealiasuapauetitutretnlletauainladetutinetataerealaetaasluatititaauaretnrieteteduetrltriuuatietraaiuitanlaetarerealetauarantteinnaunitauetart || ciphertext_f70.txt: iuseletsuateaetsulesdareetladenchetilsplaorpauetesuorualsmaeruaretmridenateamiueareametseo {FORNENDO} aradeatriuestetesuaneegaoreesueerapetmraueinsuoreidenpoche
2026-09-23	T-joint-mapA-V=de-clearctx	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --fix V=de --context clear	-3321.8	-4.184	1/16		37s	ciphertext.txt: quaetlaresuaseteperusitchemeperaoreperasasrstdperereetlaperalmsrsesetesechemepereeoperresuasetaseueretetuaetbrudsuarresuateelarlasedeetetchemeperueretetessaeser || ciphertext_f70.txt: lariapermsiresaeirdainetmascudensadincitpermiriuredilemuretltadeesaelaraetmeliaiu {FORNENDO} uetearaesuauraismiremaneitamirmauteplterauairiuaadepincturedalieata
2026-09-23	T-joint-mapA-V=che-clearctx	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --fix V=che --context clear	-3274.7	-4.124	1/16		37s	ciphertext.txt: hiomutariormesetetrorcaloadtasatirortrreuleetamularrtramemarecaleeaadltariormoreietmareetoemeconteeturetottarioeraeutureuaemarcaleietmararriametoretiriaetrerioa || ciphertext_f70.txt: utnilrntarieentuinperirlichederounplorsetentoettaundeettaredrocheeriedotieradenioi {FORNENDO} iarafieretoitinrenteigeorintiirasedratiiontoetiochesodelreettauodo
2026-09-23	T-joint-mapA-V=et-clearctx	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --fix V=et --context clear	-3294.9	-4.150	1/16		37s	ciphertext.txt: fuionteliloacatinliserecheiantecetaliltlssurchesateonuchedltlpersoelaerecheaseancheteliloilaatoessuinisoseptsinrlinittelisseantnlauresoeserechesatoeseullaperuat || ciphertext_f70.txt: ntiachelitelaasitraipasaledetumlirinonediscatsitiinterimaintessmsietualaamitaasemsiai {FORNENDO} esenonaalinitailsitauagaisaitasecsmsetaiuitiinaietucimedssinter
2026-09-23	T-joint-mapA-units	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --vocab --unit F p B H c d S p --unit 8 z B p r J F p --unit x J p g --unit F E p S --unit F p B H c	-3206.5	-4.038	1/16		39s	ciphertext.txt: olietcheuanienteceutnerdiadeisuacauonenunrinldineuatchedaninunmintanediadeinaisduanienteneieutarinteintinquintlnteuuanieinraecheuchenelaintardiadinieutarannomeu || ciphertext_f70.txt: cheusodinsuanoeinsulosderionpigpernelsetperceuinisuetualsmeituarinmregenoemeuoeriaminsoei {FORNENDO} iaramoenteiuosninisueioxeeroisuioiracinmrauoiesuetoegceperp
2026-09-23	T-joint-mapA-units-V=de-clearctx	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --vocab --unit F p B H c d S p --unit 8 z B p r J F p --unit x J p g --unit F E p S --unit F p B H c --fix V=de --context clear	-3347.6	-4.216	1/16		41s	ciphertext.txt: preichesatretieresettiugnaeessarasotetstuslsesaicheanntstersiategnaesaessatretieteresiausetesismassetltetessatresuaecheschetelasiaugnasresiauattoeresetesotraett || ciphertext_f70.txt: chesiontisatoesisloiadeunoteprdectelinonepiuressnisietsalidenetsausduedeetoedesoeunadsioir {FORNENDO} rauazoetetersoitsnisenoxeiuonisnoruarsduasoreisietoederice
2026-09-23	T-joint-mapA-shuffled1	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --shuffle 1	-3374.7	-4.250	1/16		36s	ciphertext.txt: eaastauenesenaettutiltienteinisuhaiitoniietuetdaconuiaruentiruraliartaialiiueseauertteenaeguaieletnnqnseconietetretfilrietiilesubsruntenretauescioconaaaoaasiche || ciphertext_f70.txt: ideitritaualsocesstatitittttchedtiuiseieeapoiiiaiutiteieesentesaetetmsosiimmruanon {FORNENDO} oadeiurenarausaafrsettiainmenenchelaaueereuelnoneaalcrifiealauttii
2026-09-23	T-joint-mapA-shuffled2	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --shuffle 2	-3338.5	-4.205	1/16		36s	ciphertext.txt: edepersalusioriepoitaeideeuuateconoainsmoseeraeniecsseterumasaiueretideealreetadrtsteaauisiastrietitineteeinusoialreiluarseotosroesseuerreuinnaeniaioimagerineen || ciphertext_f70.txt: inoideapialgeriessemeiettiaadaiadeaertealiooeditiaeconaconsiannnetsinodenaaieaeueraiii {FORNENDO} tinouaeaneruitieralationedetissoutesonainiiioniaaainsouinontoe
2026-09-23	T-joint-mapA-clearctx-shuffled1	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --context clear --shuffle 1	-3507.1	-4.417	1/16		37s	ciphertext.txt: iiaoroateneidrgeanuriuiootohaoretuiidtdaniartiimtsermtmperiamaiaeitnioatimraiiuoinpertaiioeodusufuoiaridisrmdeloemioodientemoomteaiumditnoalisetariaietaaochoils || ciphertext_f70.txt: sianiamiristaloetciooasoarirrroaalanrtoiionadeetaitaaoiiiioeanoaddeoetoiieemtac {FORNENDO} etiannotmeoimabiaelmodriaiueeelliitiimntonecnaspercomeliaslsitaaiicti
2026-09-23	T-f68-alone-shuffled1	ciphertext.txt	--restarts 16 --iters 300000 --shuffle 1	-1557.3	-3.855	1/16		46s	ciphertext.txt: osceliliiuunaelsetinoitotutsinstieleissmliadeliauialiconmasuaiiiageansutoeimaiinsastetuicontiisueainuulatisamaetsinismanimamaconteeconmaianaetoiacononmamamioomm
2026-09-23	T-f70-alone-shuffled1	ciphertext_f70.txt	--map --restarts 16 --iters 300000 --shuffle 1	-1471.2	-3.772	1/16		38s	ciphertext_f70.txt: nuilisetsriirmrtroestunotantentcriiontetraeirieosiditaiarieiiiuuaettarlerleti {FORNENDO} ienseanieteioieasetioneondereuoesortiosieioatttechericostuiutsuoentinui
2026-09-23	T-joint-mapB-shuffled1	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --shuffle 1	-3360.8	-4.233	1/16		36s	ciphertext.txt: aeiaaoadradcietteretmonitoniaeoafatatiioniicoculoisonaditsoseliasetaeritoraaosieonamesoaiaeraconnonhonelicniscuatersiaactierrogaesoueonscoradinilaiaaetperfarnes || ciphertext_f70.txt: niutesiinoareipereeenaaiiitiiaeepuitotetamagitttaioeteaieademeaccieieiiiisoacon {FORNENDO} iumtaosadasadauseciiaioniadadprosmoamerconmanelperastutanrnoeeiiconot
2026-09-23	T-joint-mapB-clearctx	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --context clear	-3225.9	-4.063	1/16		38s	ciphertext.txt: glieiianieniedeietnoradeaesiadaioneninrtldteiailfeninmatianeadeaetasianienieneieiiartletetitacitetdneteiianietraeineldatiaradeatieiiaralnnomaleileneioniaetnerlo || ciphertext_f70.txt: inoennianoetnidoncereonicidelunednpicordeitenioetiadnmeeetiartmredelenoemeioereamtnooi {FORNENDO} iaraxoeneteiionntenieleopeoroenieoiradtmraioielnioetoedeldouic
2026-09-23	T-joint-mapA-loose	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --syl both --max-syl 10 --max-null 4 --max-word 6	-3067.8	-3.864	1/16		37s	ciphertext.txt: pertealchedaltelalareadtalorcianoesedareadeleldlrumnouadaalchenoconildlasualalacianoauasenodaltelalelatadalarutaeualunondutamltaeddalteuraachedchelamaualarciano || ciphertext_f70.txt: chednenoilndaleaundmenharielftgetlemninforreaduindotadamnsaitadarusregaleasedeariasuneot {FORNENDO} tarabealtaetdenluindaieliaoreindietrareusradetendotaeegreoet
2026-09-23	T-joint-mapA-loose-shuffled1	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --syl both --max-syl 10 --max-null 4 --max-word 6 --shuffle 1	-3316.5	-4.177	1/16		38s	ciphertext.txt: initundesdeiotrapereasltaliuiuqnauatcliioodiariieidetaeegineeianperiasuneteluispercheniuperuolilegliarioiteopuapereiuuoaipersinuiereleoisubiicarinicnniaelqualip || ciphertext_f70.txt: iidaeeitiinaliceliieiuntitattueedadtaaiausnircaaanieaeuiideesinoomiciiimmensu {FORNENDO} cidsauedeuienaninpeiotinilmdededaaliiesuspersusnigelueapanialiieeiisuia
2026-09-23	T-joint-mapA-lettersonly	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --syl none --max-word 0 --max-null 2	-3275.4	-4.125	1/16		34s	ciphertext.txt: baretauaureretsuotrialaptaratiuaututesleetarelpiutumerauerialeeapltauauraueetratesaereztessusattauaetaeeteuesaeratrialeetratauuimetauetiuasuetiappmpsduoeuorpe { || ciphertext_f70.txt: etciliuctauieectsichetiiuldnuascblotreteictostascneistatentadeuienatietianecio {FORNENDO} atafieusaticueicteiixeotiictiitarentatiactosiadronltestasanoeitaianita
2026-09-23	T-joint-mapA-lettersonly-shuffled1	ciphertext.txt+ciphertext_f70.txt	--map --restarts 16 --iters 300000 --syl none --max-word 0 --max-null 2 --shuffle 1	-3468.0	-4.368	1/16		34s	ciphertext.txt: eaiiiaeuruenidinoiltiitiieihaiiiiotnenuedeetesuiitetmatoeianieriaetiotielceainintstctidnsitnciintiininregiitepottneerirsodeaeoaaiibhiusciadimilieiisidiii {CETER || ciphertext_f70.txt: suiotieseauiobiiosiaiiiiiiooduiieiiiilaroiiiaeoioiiuoliannoioiooteau {FORNENDO} oeuliietuietareactiniatouudueeetleilnulasmbiticiasuseeooueeiieuiceetiiilcuieeior
