line	signs_A	signs_B	agree	columns	share
BLA189_p3_L11	10	10	10	10	1.000
BLA189_p3_L12	3	3	3	3	1.000
BLA189_p3_L13	9	9	9	9	1.000
BLA189_p3_L14	11	11	11	11	1.000
BLA189_p3_L15	7	7	5	7	0.714
BLA189_p3_L16	2	2	2	2	1.000
BLA189_p3_L17	10	10	10	10	1.000
BLA189_p3_L18	10	10	10	10	1.000
BLA189_p3_L19	10	10	10	10	1.000
BLA190_p5_L01	4	4	3	4	0.750
BLA190_p5_L02	7	7	7	7	1.000
BLA190_p5_L03	7	7	7	7	1.000
BLA190_p5_L04	7	7	7	7	1.000
BLA190_p5_L05	5	5	5	5	1.000
BLA190_p5_L06	14	14	14	14	1.000
BLA190_p5_L07	3	3	2	3	0.667
BLA190_p5_L08	13	13	12	13	0.923
BLA190_p5_L09	5	5	5	5	1.000
BLA190_p5_L10	7	7	6	7	0.857
BLA190_p5_L11	4	4	4	4	1.000
BLA190_p5_L12	12	12	12	12	1.000
BLA190_p5_L13	7	7	7	7	1.000
BLA190_p5_L14	13	13	13	13	1.000
BLA190_p5_L15	12	12	12	12	1.000
BLA190_p5_L16	12	12	12	12	1.000
BLA190_p5_L17	14	14	14	14	1.000
BLA190_p5_L18	1	1	1	1	1.000
BLA190_p5_L19	5	5	5	5	1.000
BLA190_p5_L20	4	4	3	4	0.750
BLA190_p6_L01	12	12	11	12	0.917
BLA190_p6_L02	12	12	10	12	0.833
BLA190_p6_L03	1	1	1	1	1.000
BLA190_p6_L04	11	11	11	11	1.000
BLA190_p6_L05	11	11	11	11	1.000
BLA190_p6_L06	11	11	11	11	1.000
BLA190_p6_L07	6	6	6	6	1.000
BLA191_p5_L01	11	11	8	11	0.727
BLA191_p5_L02	11	11	11	11	1.000
BLA191_p5_L03	11	11	11	11	1.000
BLA191_p5_L04	10	10	10	10	1.000
BLA191_p5_L05	11	11	11	11	1.000
BLA191_p5_L06	11	11	10	11	0.909
BLA191_p5_L07	11	11	11	11	1.000
BLA191_p5_L08	11	11	11	11	1.000
BLA191_p5_L09	11	11	11	11	1.000
BLA191_p5_L10	11	11	11	11	1.000
BLA191_p5_L11	11	11	10	11	0.909
BLA191_p5_L12	12	12	12	12	1.000
BLA191_p5_L13	9	9	8	9	0.889
BLA194_p1_L01	7	7	6	7	0.857
BLA194_p1_L02	6	6	6	6	1.000
BLA194_p1_L03	6	7	4	7	0.571
BLA194_p1_L04	8	8	5	8	0.625
BLA194_p1_L05	9	9	8	9	0.889
BLA194_p1_L06	7	7	7	7	1.000
BLA194_p1_L07	8	8	6	8	0.750
BLA194_p1_L08	8	8	7	8	0.875
BLA194_p1_L09	7	7	5	7	0.714
BLA194_p1_L10	7	7	7	7	1.000
BLA194_p1_L11	8	8	7	8	0.875
BLA194_p1_L12	10	10	10	10	1.000
BLA194_p1_L13	10	10	9	10	0.900
BLA194_p1_L14	10	10	9	10	0.900
BLA194_p2_L01	7	7	6	7	0.857
BLA194_p2_L02	7	7	6	7	0.857
BLA194_p2_L03	6	6	5	6	0.833
