line	position	sign	base	confidence
c1_L04	23	DOTS-TILDE	DOTS-TILDE	H
c1_L05	1	Y-CURL	Y-CURL	M
c1_L05	2	BAR-THIN	BAR-THIN	H
c1_L05	3	BAR-SOLID	BLOB	M
c1_L05	4	C-DOT	C-DOT	L
c1_L05	5	A-LOOP	A-LOOP	H
c1_L05	6	X-BAR	X-BAR	L
c1_L05	7	X-CURL	X-CURL	M
c1_L05	8	CROSS-T	CROSS-T	H
c1_L05	9	Y-CURL	Y-CURL	H
c1_L05	10	O-BRACKET	O	M
c1_L05	11	DIAMOND	DIAMOND	M
c1_L05	12	O-SLASH	O	H
c1_L05	13	C-DOT	C-DOT	L
c1_L05	14	PCT-SLASH	PCT	M
c1_L05	15	PCT	PCT	L
c1_L05	16	T-LETTER	T-LETTER	H
c1_L05	17	DOLLAR	DOLLAR	H
c1_L05	18	PCT	PCT	L
c1_L05	19	ARCH-DASH	ARCH	M
c1_L05	20	O-DASH2	O	L
c1_L05	21	VEE	VEE	L
c1_L05	22	X	X	M
c1_L05	23	DAGGER-O	DAGGER	M
c1_L06	1	PCT-SLASH	PCT	M
c1_L06	2	O-SLASH	O	M
c1_L06	3	X	X	H
c1_L06	4	_	_	L
c1_L06	5	X-CURL	X-CURL	M
c1_L06	6	DAGGER-O	DAGGER	L
c1_L06	7	C-DOT	C-DOT	L
c1_L06	8	PCT-SLASH	PCT	L
c1_L06	9	BAR-SOLID	BLOB	L
c1_L06	10	Y-LOOPS	Y-LOOPS	H
c1_L06	11	X-BAR	X-BAR	M
c1_L06	12	DASH-H	DASH-H	L
c1_L06	13	PCT-SLASH	PCT	M
c1_L06	14	BAR-SOLID	BLOB	L
c1_L06	15	S-CURL	S-CURL	H
c1_L06	16	SLASH-BAR	SLASH-BAR	M
c1_L06	17	PHI	PHI	H
c1_L06	18	T-LETTER	T-LETTER	L
