line	position	sign	confidence	source
c1_L06	8	PCT	H	cluster-map
c1_L06	9	X	H	cluster-map
c1_L06	10	MISC-43	L	cluster-map
c1_L06	11	MISC-76	L	cluster-map
c1_L06	12	CIRC-TAIL	M	cluster-map
c1_L06	13	Y-CURL	M	cluster-map
c1_L06	14	CIRC-TAIL	M	cluster-map
c1_L06	15	MISC-13	L	cluster-map
c1_L06	16	MISC-17	L	cluster-map
c1_L06	17	PHI	H	cluster-map
c1_L06	18	MISC-17	L	cluster-map
c2a_L01	1	BAR-THIN	M	cluster-map
c2a_L01	2	MISC-21	L	cluster-map
c2a_L01	3	X	H	cluster-map
c2a_L01	4	MISC-82	L	cluster-map
c2a_L01	5	MISC-76	L	cluster-map
c2a_L01	6	Y-CURL	M	cluster-map
c2a_L01	7	MISC-21	L	cluster-map
c2a_L01	8	MISC-67	L	cluster-map
c2a_L01	9	CIRC-TAIL	M	cluster-map
c2a_L01	10	X	H	cluster-map
c2a_L01	11	MISC-13	L	cluster-map
c2a_L01	12	AMP	H	cluster-map
c2a_L01	13	MISC-75	L	cluster-map
c2a_L01	14	CIRC-O	H	cluster-map
c2a_L01	15	X	H	cluster-map
c2a_L01	16	MISC-54	L	cluster-map
c2a_L01	17	MISC-33	L	cluster-map
c2a_L01	18	MISC-05	L	cluster-map
c2a_L01	19	V-DOT	M	cluster-map
c2a_L01	20	MISC-17	L	cluster-map
c2a_L01	21	BAR-THIN	M	cluster-map
c2a_L01	22	CIRC-O	H	cluster-map
c2a_L01	23	DASH-H	H	cluster-map
c2a_L01	24	MISC-31	L	cluster-map
c2a_L01	25	PCT	H	cluster-map
c2a_L01	26	EYE-DOT	M	cluster-map
c2a_L01	27	DASH-H	H	cluster-map
c2a_L01	28	X	H	cluster-map
c2a_L01	29	MISC-75	L	cluster-map
c2a_L01	30	RHO	H	cluster-map
c2a_L01	31	MISC-03	L	cluster-map
c2a_L01	32	X	H	cluster-map
c2a_L01	33	MISC-55	L	cluster-map
c2a_L01	34	DASH-V	M	cluster-map
c2a_L02	1	SUN	M	cluster-map
c2a_L02	2	MISC-87	L	cluster-map
c2a_L02	3	MISC-33	L	cluster-map
c2a_L02	4	MISC-20	L	cluster-map
c2a_L02	5	TRIDENT	H	cluster-map
c2a_L02	6	MISC-05	L	cluster-map
c2a_L02	7	MISC-33	L	cluster-map
c2a_L02	8	TRIDENT	H	cluster-map
c2a_L02	9	MISC-76	L	cluster-map
c2a_L02	10	MISC-83	L	cluster-map
c2a_L02	11	SUN	M	cluster-map
c2a_L02	12	X	H	cluster-map
c2a_L02	13	DELTA-TAIL	M	cluster-map
c2a_L02	14	DELTA-TAIL	M	cluster-map
c2a_L02	15	BAR-THIN	M	cluster-map
c2a_L02	16	TRIDENT	H	cluster-map
c2a_L02	17	BAR-SERIF	H	cluster-map
c2a_L02	18	MISC-11	L	cluster-map
c2a_L02	19	PCT	H	cluster-map
c2a_L02	20	DELTA-TAIL	M	cluster-map
c2a_L02	21	X	H	cluster-map
c2a_L02	22	X	H	cluster-map
c2a_L02	23	MISC-46	L	cluster-map
c2a_L02	24	MISC-55	L	cluster-map
c2a_L02	25	PHI	H	cluster-map
c2a_L02	26	MISC-36	L	cluster-map
c2a_L02	27	MISC-64	L	cluster-map
c2a_L02	28	DASH-V	M	cluster-map
c2a_L03	1	MISC-60	L	cluster-map
c2a_L03	2	MISC-43	L	cluster-map
c2a_L03	3	VENUS	H	cluster-map
c2a_L03	4	MISC-00	L	cluster-map
c2a_L03	5	X	H	cluster-map
c2a_L03	6	X	H	cluster-map
c2a_L03	7	PHI	H	cluster-map
c2a_L03	8	MISC-37	L	cluster-map
c2a_L03	9	VENUS	H	cluster-map
c2a_L03	10	MISC-30	L	cluster-map
c2a_L03	11	X	H	cluster-map
c2a_L03	12	MISC-33	L	cluster-map
c2a_L03	13	MISC-82	L	cluster-map
c2a_L03	14	MISC-30	L	cluster-map
c2a_L03	15	PCT	H	cluster-map
c2a_L03	16	X	H	cluster-map
c2a_L03	17	WAVE	M	cluster-map
c2a_L03	18	MISC-05	L	cluster-map
c2a_L03	19	BAR-SOLID	M	cluster-map
c2a_L03	20	X	H	cluster-map
c2a_L03	21	TRIDENT	H	cluster-map
c2a_L03	22	BAR-SOLID	M	cluster-map
c2a_L03	23	Y-CURL	M	cluster-map
c2a_L03	24	MISC-33	L	cluster-map
c2a_L03	25	X	H	cluster-map
c2a_L03	26	MISC-35	L	cluster-map
c2a_L04	1	BAR-THIN	M	cluster-map
c2a_L04	2	BAR-THIN	M	cluster-map
c2a_L04	3	BAR-THIN	M	cluster-map
c2a_L04	4	BAR-SOLID	M	cluster-map
c2a_L04	5	MISC-75	L	cluster-map
c2a_L04	6	X	H	cluster-map
c2a_L04	7	X	H	cluster-map
c2a_L04	8	MISC-24	L	cluster-map
c2a_L04	9	MISC-30	L	cluster-map
c2a_L04	10	AMP	H	cluster-map
c2a_L04	11	MISC-21	L	cluster-map
c2a_L04	12	MISC-30	L	cluster-map
c2a_L04	13	MISC-41	L	cluster-map
c2a_L04	14	V-DOT	M	cluster-map
c2a_L04	15	HOOK-L	H	cluster-map
c2a_L04	16	MISC-32	L	cluster-map
c2a_L04	17	MISC-20	L	cluster-map
c2a_L04	18	DELTA-TAIL	M	cluster-map
c2a_L04	19	X	H	cluster-map
c2a_L04	20	X	H	cluster-map
c2a_L04	21	MISC-55	L	cluster-map
c2a_L04	22	MISC-37	L	cluster-map
c2a_L04	23	PCT	H	cluster-map
c2a_L04	24	WAVE	M	cluster-map
c2a_L04	25	BAR-THIN	M	cluster-map
c2a_L04	26	BAR-THIN	M	cluster-map
c2a_L04	27	DASH-V	M	cluster-map
c2a_L05	1	CIRC-TAIL	M	cluster-map
c2a_L05	2	MISC-76	L	cluster-map
c2a_L05	3	DASH-V	M	cluster-map
c2a_L05	4	BAR-SOLID	M	cluster-map
c2a_L05	5	SUN	M	cluster-map
c2a_L05	6	MISC-05	L	cluster-map
c2a_L05	7	X	H	cluster-map
c2a_L05	8	MISC-31	L	cluster-map
c2a_L05	9	RHO	H	cluster-map
c2a_L05	10	CRESCENT	H	cluster-map
c2a_L05	11	CRESCENT	H	cluster-map
c2a_L05	12	BAR-SOLID	M	cluster-map
c2a_L05	13	BAR-SERIF	H	cluster-map
c2a_L05	14	X	H	cluster-map
c2a_L05	15	CIRC-O	H	cluster-map
c2a_L05	16	MISC-55	L	cluster-map
c2a_L05	17	X	H	cluster-map
c2a_L05	18	X	H	cluster-map
c2a_L05	19	MISC-87	L	cluster-map
c2a_L05	20	X	H	cluster-map
c2a_L05	21	WAVE	M	cluster-map
c2a_L05	22	MISC-46	L	cluster-map
c2a_L05	23	MISC-67	L	cluster-map
c2a_L05	24	MISC-05	L	cluster-map
c2a_L05	25	MISC-74	L	cluster-map
c2a_L05	26	X	H	cluster-map
c2a_L05	27	PHI	H	cluster-map
c2a_L05	28	MISC-74	L	cluster-map
c2a_L05	29	HOOK-L	H	cluster-map
c2a_L05	30	HOOK-L	H	cluster-map
c2a_L05	31	BAR-SERIF	H	cluster-map
c2a_L05	32	DELTA-TAIL	M	cluster-map
c2a_L05	33	X	H	cluster-map
c2a_L05	34	BAR-THIN	M	cluster-map
c2a_L06	1	BAR-THIN	M	cluster-map
c2a_L06	2	X	H	cluster-map
c2a_L06	3	MISC-06	L	cluster-map
c2a_L06	4	BAR-THIN	M	cluster-map
c2a_L06	5	MISC-06	L	cluster-map
c2a_L06	6	X	H	cluster-map
c2a_L06	7	MISC-13	L	cluster-map
c2a_L06	8	X	H	cluster-map
c2a_L06	9	MISC-75	L	cluster-map
c2a_L06	10	MISC-06	L	cluster-map
c2a_L06	11	MISC-67	L	cluster-map
c2a_L06	12	MISC-13	L	cluster-map
c2a_L06	13	MISC-67	L	cluster-map
c2a_L06	14	CROSS-T	M	cluster-map
c2a_L06	15	MISC-05	L	cluster-map
c2a_L06	16	MISC-75	L	cluster-map
c2a_L06	17	PHI	H	cluster-map
c2a_L06	18	PCT	H	cluster-map
c2a_L06	19	X	H	cluster-map
c2a_L06	20	HOOK-L	H	cluster-map
c2a_L06	21	HOOK-L	H	cluster-map
c2a_L06	22	CIRC-O	H	cluster-map
c2a_L06	23	MISC-17	L	cluster-map
c2a_L06	24	MISC-87	L	cluster-map
c2a_L06	25	CIRC-O	H	cluster-map
c2a_L06	26	VEE	H	cluster-map
c2a_L06	27	MISC-79	L	cluster-map
c2a_L06	28	PCT	H	cluster-map
c2a_L06	29	X	H	cluster-map
c2a_L06	30	VENUS	H	cluster-map
c2a_L06	31	PCT	H	cluster-map
c2a_L07	1	MISC-81	L	cluster-map
c2a_L07	2	MISC-67	L	cluster-map
c2a_L07	3	MISC-82	L	cluster-map
c2a_L07	4	MISC-37	L	cluster-map
c2a_L07	5	BAR-SOLID	M	cluster-map
c2a_L07	6	DELTA-TAIL	M	cluster-map
c2a_L07	7	MISC-17	L	cluster-map
c2a_L07	8	MISC-36	L	cluster-map
c2a_L07	9	X	H	cluster-map
c2a_L07	10	MISC-31	L	cluster-map
c2a_L07	11	MISC-24	L	cluster-map
c2a_L07	12	VENUS	H	cluster-map
c2a_L07	13	MISC-31	L	cluster-map
c2a_L07	14	X	H	cluster-map
c2a_L07	15	MISC-24	L	cluster-map
c2a_L07	16	MISC-74	L	cluster-map
c2a_L07	17	MISC-35	L	cluster-map
c2a_L07	18	X	H	cluster-map
c2a_L07	19	MISC-33	L	cluster-map
c2a_L07	20	MISC-82	L	cluster-map
c2a_L07	21	X	H	cluster-map
c2a_L07	22	X	H	cluster-map
c2a_L07	23	MISC-05	L	cluster-map
c2a_L07	24	MISC-13	L	cluster-map
c2a_L07	25	MISC-05	L	cluster-map
c2a_L07	26	AMP	H	cluster-map
c2a_L07	27	PHI	H	cluster-map
c2a_L07	28	MISC-41	L	cluster-map
c2a_L07	29	MISC-17	L	cluster-map
c2a_L07	30	X	H	cluster-map
c2a_L07	31	MISC-31	L	cluster-map
c2a_L07	32	BAR-SERIF	H	cluster-map
c2a_L08	1	DASH-H	H	cluster-map
c2a_L08	2	BAR-THIN	M	cluster-map
c2a_L08	3	X	H	cluster-map
c2a_L08	4	X	H	cluster-map
c2a_L08	5	MISC-50	L	cluster-map
c2a_L08	6	PCT	H	cluster-map
c2a_L08	7	X	H	cluster-map
c2a_L08	8	Y-CURL	M	cluster-map
c2a_L08	9	MISC-80	L	cluster-map
c2a_L08	10	CIRC-O	H	cluster-map
c2a_L08	11	MISC-29	L	cluster-map
c2a_L08	12	MISC-76	L	cluster-map
c2a_L08	13	MISC-41	L	cluster-map
c2a_L08	14	TRIPOD	M	cluster-map
c2a_L08	15	GEAR-DOT	M	cluster-map
c2a_L08	16	MISC-29	L	cluster-map
c2a_L08	17	WAVE	M	cluster-map
c2a_L08	18	MISC-43	L	cluster-map
c2a_L08	19	MISC-29	L	cluster-map
c2a_L08	20	MISC-71	L	cluster-map
c2a_L08	21	MISC-29	L	cluster-map
c2a_L08	22	MISC-67	L	cluster-map
c2a_L08	23	MISC-29	L	cluster-map
c2a_L08	24	MISC-29	L	cluster-map
c2a_L08	25	MISC-31	L	cluster-map
c2a_L08	26	BAR-SERIF	H	cluster-map
c2a_L09	1	GEAR-DOT	M	cluster-map
c2a_L09	2	AMP	H	cluster-map
c2a_L09	3	MISC-64	L	cluster-map
c2a_L09	4	MISC-05	L	cluster-map
c2a_L09	5	X	H	cluster-map
c2a_L09	6	MISC-05	L	cluster-map
c2a_L09	7	MISC-76	L	cluster-map
c2a_L09	8	BAR-SOLID	M	cluster-map
c2a_L09	9	MISC-43	L	cluster-map
c2a_L09	10	MISC-67	L	cluster-map
c2a_L09	11	MISC-07	L	cluster-map
c2a_L09	12	MISC-67	L	cluster-map
c2a_L09	13	BAR-SOLID	M	cluster-map
c2a_L09	14	MISC-21	L	cluster-map
c2a_L09	15	MISC-55	L	cluster-map
c2a_L09	16	BAR-SOLID	M	cluster-map
c2a_L09	17	BAR-SOLID	M	cluster-map
c2a_L09	18	MISC-29	L	cluster-map
c2a_L09	19	DELTA-TAIL	M	cluster-map
c2a_L09	20	CROSS-T	M	cluster-map
c2a_L09	21	PHI	H	cluster-map
c2a_L09	22	MISC-46	L	cluster-map
c2a_L09	23	MISC-40	L	cluster-map
c2a_L09	24	MISC-40	L	cluster-map
c2a_L09	25	CIRC-TAIL	M	cluster-map
c2a_L09	26	MISC-32	L	cluster-map
c2a_L09	27	MISC-37	L	cluster-map
c2a_L09	28	CRESCENT	H	cluster-map
c2a_L09	29	BAR-SOLID	M	cluster-map
c2a_L09	30	MISC-74	L	cluster-map
c2a_L09	31	MISC-75	L	cluster-map
c2a_L09	32	MISC-54	L	cluster-map
c2a_L09	33	MISC-54	L	cluster-map
c2a_L09	34	Y-CURL	M	cluster-map
c2a_L09	35	MISC-32	L	cluster-map
c2a_L09	36	EYE-DOT	M	cluster-map
c2a_L09	37	MISC-17	L	cluster-map
c2a_L09	38	CIRC-TAIL	M	cluster-map
c2a_L09	39	MISC-20	L	cluster-map
c2a_L09	40	PCT	H	cluster-map
c2a_L09	41	DASH-V	M	cluster-map
c2a_L10	1	TRIPOD	M	cluster-map
c2a_L10	2	VENUS	H	cluster-map
c2a_L10	3	CIRC-TAIL	M	cluster-map
c2a_L10	4	MISC-13	L	cluster-map
c2a_L10	5	MISC-17	L	cluster-map
c2a_L10	6	MISC-11	L	cluster-map
c2a_L10	7	MISC-07	L	cluster-map
c2a_L10	8	MISC-05	L	cluster-map
c2a_L10	9	SUN	M	cluster-map
c2a_L10	10	MISC-20	L	cluster-map
c2a_L10	11	MISC-05	L	cluster-map
c2a_L10	12	NOTE	H	cluster-map
c2a_L10	13	MISC-05	L	cluster-map
c2a_L10	14	SUN	M	cluster-map
c2a_L10	15	DELTA-TAIL	M	cluster-map
c2a_L10	16	MISC-64	L	cluster-map
c2a_L10	17	MISC-87	L	cluster-map
c2a_L10	18	LOOP-TAIL	M	cluster-map
c2a_L10	19	MISC-31	L	cluster-map
c2a_L10	20	MISC-41	L	cluster-map
c2a_L10	21	MISC-24	L	cluster-map
c2a_L10	22	CRESCENT	H	cluster-map
c2a_L10	23	X	H	cluster-map
c2a_L10	24	X	H	cluster-map
c2a_L10	25	Y-CURL	M	cluster-map
c2a_L10	26	MISC-41	L	cluster-map
c2a_L10	27	Y-CURL	M	cluster-map
c2a_L10	28	WAVE	M	cluster-map
c2a_L10	29	PCT	H	cluster-map
c2a_L10	30	X	H	cluster-map
c2a_L10	31	X	H	cluster-map
c2a_L10	32	MISC-33	L	cluster-map
c2a_L10	33	BAR-THIN	M	cluster-map
c2a_L11	1	MISC-76	L	cluster-map
c2a_L11	2	VENUS	H	cluster-map
c2a_L11	3	EYE-DOT	M	cluster-map
c2a_L11	4	X	H	cluster-map
c2a_L11	5	MISC-05	L	cluster-map
c2a_L11	6	MISC-41	L	cluster-map
c2a_L11	7	CROSS-T	M	cluster-map
c2a_L11	8	MISC-05	L	cluster-map
c2a_L11	9	MISC-31	L	cluster-map
c2a_L11	10	MISC-24	L	cluster-map
c2a_L11	11	MISC-06	L	cluster-map
c2a_L11	12	MISC-03	L	cluster-map
c2a_L11	13	X	H	cluster-map
c2a_L11	14	WAVE	M	cluster-map
c2a_L11	15	PCT	H	cluster-map
c2a_L11	16	PCT	H	cluster-map
c2a_L11	17	AMP	H	cluster-map
c2a_L11	18	Y-CURL	M	cluster-map
c2a_L11	19	MISC-31	L	cluster-map
c2a_L11	20	MISC-11	L	cluster-map
c2a_L11	21	RHO	H	cluster-map
c2a_L11	22	BAR-THIN	M	cluster-map
c2a_L11	23	WAVE	M	cluster-map
c2a_L11	24	X	H	cluster-map
c2a_L11	25	MISC-24	L	cluster-map
c2a_L11	26	MISC-54	L	cluster-map
c2a_L11	27	Y-CURL	M	cluster-map
c2a_L11	28	X	H	cluster-map
c2a_L11	29	MISC-37	L	cluster-map
c2a_L11	30	X	H	cluster-map
c2a_L11	31	MISC-36	L	cluster-map
c2a_L11	32	DASH-V	M	cluster-map
c2a_L12	1	X	H	cluster-map
c2a_L12	2	VENUS	H	cluster-map
c2a_L12	3	PCT	H	cluster-map
c2a_L12	4	BAR-SERIF	H	cluster-map
c2a_L12	5	X	H	cluster-map
c2a_L12	6	MISC-41	L	cluster-map
c2a_L12	7	BAR-SOLID	M	cluster-map
c2a_L12	8	MISC-17	L	cluster-map
c2a_L12	9	BAR-SOLID	M	cluster-map
c2a_L12	10	X	H	cluster-map
c2a_L12	11	MISC-29	L	cluster-map
c2a_L12	12	X	H	cluster-map
c2a_L12	13	MISC-05	L	cluster-map
c2a_L12	14	AMP	H	cluster-map
c2a_L12	15	AMP	H	cluster-map
c2a_L12	16	MISC-36	L	cluster-map
c2a_L12	17	RHO	H	cluster-map
c2a_L12	18	MISC-60	L	cluster-map
c2a_L12	19	MISC-13	L	cluster-map
c2a_L12	20	MISC-21	L	cluster-map
c2a_L12	21	MISC-67	L	cluster-map
c2a_L12	22	DELTA-TAIL	M	cluster-map
c2a_L12	23	NOTE	H	cluster-map
c2a_L12	24	MISC-50	L	cluster-map
c2a_L12	25	MISC-50	L	cluster-map
c2a_L12	26	EYE-DOT	M	cluster-map
c2a_L12	27	X	H	cluster-map
c2a_L12	28	X	H	cluster-map
c2a_L12	29	MISC-82	L	cluster-map
c2a_L12	30	PCT	H	cluster-map
c2a_L12	31	BAR-SOLID	M	cluster-map
c2a_L12	32	CROSS-T	M	cluster-map
c2a_L12	33	PHI	H	cluster-map
c2a_L12	34	MISC-46	L	cluster-map
c2a_L12	35	MISC-64	L	cluster-map
c2a_L12	36	DASH-V	M	cluster-map
c2a_L13	1	MISC-55	L	cluster-map
c2a_L13	2	MISC-05	L	cluster-map
c2a_L13	3	VENUS	H	cluster-map
c2a_L13	4	BAR-SOLID	M	cluster-map
c2a_L13	5	BAR-THIN	M	cluster-map
c2a_L13	6	MISC-55	L	cluster-map
c2a_L13	7	MISC-71	L	cluster-map
c2a_L13	8	WAVE	M	cluster-map
c2a_L13	9	PCT	H	cluster-map
c2a_L13	10	HOOK-L	H	cluster-map
c2a_L13	11	EYE-DOT	M	cluster-map
c2a_L13	12	X	H	cluster-map
c2a_L13	13	V-DOT	M	cluster-map
c2a_L13	14	MISC-37	L	cluster-map
c2a_L13	15	MISC-67	L	cluster-map
c2a_L13	16	PCT	H	cluster-map
c2a_L13	17	MISC-83	L	cluster-map
c2a_L13	18	Y-CURL	M	cluster-map
c2a_L13	19	PHI	H	cluster-map
c2a_L13	20	RHO	H	cluster-map
c2a_L13	21	EYE-DOT	M	cluster-map
c2a_L13	22	SUN	M	cluster-map
c2a_L13	23	MISC-31	L	cluster-map
c2a_L13	24	BAR-SOLID	M	cluster-map
c2a_L13	25	BAR-SOLID	M	cluster-map
c2a_L13	26	X	H	cluster-map
c2a_L13	27	MISC-82	L	cluster-map
c2a_L13	28	BAR-SERIF	H	cluster-map
c2a_L13	29	BAR-SERIF	H	cluster-map
c2a_L13	30	X	H	cluster-map
c2a_L13	31	BAR-SOLID	M	cluster-map
c2a_L13	32	X	H	cluster-map
c2a_L13	33	MISC-21	L	cluster-map
c2a_L13	34	MISC-36	L	cluster-map
c2a_L13	35	X	H	cluster-map
c2a_L13	36	CROSS-T	M	cluster-map
c2a_L13	37	MISC-13	L	cluster-map
c2a_L13	38	MISC-43	L	cluster-map
c2a_L13	39	MISC-35	L	cluster-map
c2a_L14	1	PCT	H	cluster-map
c2a_L14	2	LOOP-TAIL	M	cluster-map
c2a_L14	3	RHO	H	cluster-map
c2a_L14	4	MISC-67	L	cluster-map
c2a_L14	5	MISC-11	L	cluster-map
c2a_L14	6	VENUS	H	cluster-map
c2a_L14	7	X	H	cluster-map
c2a_L14	8	MISC-36	L	cluster-map
c2a_L14	9	X	H	cluster-map
c2a_L14	10	MISC-30	L	cluster-map
c2a_L14	11	TRIPOD	M	cluster-map
c2a_L14	12	MISC-76	L	cluster-map
c2a_L14	13	PHI	H	cluster-map
c2a_L14	14	WAVE	M	cluster-map
c2a_L14	15	X	H	cluster-map
c2a_L14	16	X	H	cluster-map
c2a_L14	17	MISC-87	L	cluster-map
c2a_L14	18	EYE-DOT	M	cluster-map
c2a_L14	19	MISC-06	L	cluster-map
c2a_L14	20	PCT	H	cluster-map
c2a_L14	21	MISC-80	L	cluster-map
c2a_L14	22	X	H	cluster-map
c2a_L14	23	MISC-67	L	cluster-map
c2a_L14	24	Y-CURL	M	cluster-map
c2a_L14	25	X	H	cluster-map
c2a_L14	26	X	H	cluster-map
c2a_L14	27	EYE-DOT	M	cluster-map
c2a_L14	28	MISC-13	L	cluster-map
c2a_L14	29	PHI	H	cluster-map
c2a_L14	30	MISC-43	L	cluster-map
c2a_L14	31	BAR-SERIF	H	cluster-map
c2a_L15	1	SUN	M	cluster-map
c2a_L15	2	MISC-43	L	cluster-map
c2a_L15	3	NOTE	H	cluster-map
c2a_L15	4	MISC-55	L	cluster-map
c2a_L15	5	BAR-SOLID	M	cluster-map
c2a_L15	6	BAR-SOLID	M	cluster-map
c2a_L15	7	BAR-SOLID	M	cluster-map
c2a_L15	8	BAR-SERIF	H	cluster-map
c2a_L15	9	BAR-SOLID	M	cluster-map
c2a_L15	10	BAR-SOLID	M	cluster-map
c2a_L15	11	MISC-43	L	cluster-map
c2a_L15	12	MISC-30	L	cluster-map
c2a_L15	13	MISC-54	L	cluster-map
c2a_L15	14	X	H	cluster-map
c2a_L15	15	MISC-33	L	cluster-map
c2a_L15	16	MISC-05	L	cluster-map
c2a_L15	17	MISC-64	L	cluster-map
c2a_L15	18	PCT	H	cluster-map
c2a_L15	19	MISC-17	L	cluster-map
c2a_L15	20	EYE-DOT	M	cluster-map
c2a_L15	21	X	H	cluster-map
c2a_L15	22	MISC-55	L	cluster-map
c2a_L15	23	X	H	cluster-map
c2a_L15	24	MISC-41	L	cluster-map
c2a_L15	25	Y-CURL	M	cluster-map
c2a_L15	26	X	H	cluster-map
c2a_L15	27	WAVE	M	cluster-map
c2a_L15	28	NOTE	H	cluster-map
c2a_L15	29	MISC-11	L	cluster-map
c2a_L15	30	MISC-41	L	cluster-map
c2a_L15	31	X	H	cluster-map
c2a_L15	32	MISC-82	L	cluster-map
c2a_L15	33	PCT	H	cluster-map
c2a_L15	34	DELTA-TAIL	M	cluster-map
c2a_L15	35	MISC-46	L	cluster-map
