line	position	sign	family	confidence	note	mark
c1_L04	12	O	O-DASHBELOW	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASHBELOW
c1_L04	13	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	14	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L04	15	ARC-LOOPS	ARC-LOOPS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	16	X	X-BAR	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR
c1_L04	17	X-CURL	X-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	18	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	19	AMP	AMP	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	20	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	21	F-LETTER	F-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	22	A-LOOP	A-LOOP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L04	23	DOTS	DOTS-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L05	1	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	2	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	3	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	4	Y-CURL	Y-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	5	A-LOOP	A-LOOP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	6	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	7	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	8	CROSS-T	CROSS-T	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	9	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	10	O	O-BRACKET	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	BRACKET
c1_L05	11	DIAMOND	DIAMOND	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	12	O-SLASH	O-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	13	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	14	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	15	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	16	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	17	DOLLAR	DOLLAR	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	18	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	19	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	20	II-SLASH	II-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	21	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	22	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L05	23	DAGGER-O	DAGGER-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	1	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	2	O-SLASH	O-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	3	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	4	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c1_L06	5	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	6	A-LOOP	A-LOOP	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	7	O	O-DASH2	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c1_L06	8	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	9	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	10	Y-LOOPS	Y-LOOPS	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	11	X	X-BAR	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR
c1_L06	12	CIRC-O	CIRC-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	13	Y-CURL	Y-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	14	CIRC-O	CIRC-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	15	S-CURL	S-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	16	SLASH-BAR	SLASH-BAR	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	17	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c1_L06	18	T-LETTER	T-LETTER	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	1	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	2	BRACKET	BRACKET	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	3	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	4	CC	CC-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L01	5	EIGHT	EIGHT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	6	Y-CURL	Y-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	7	N-LETTER	N-LETTER	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	8	QQ	QQ-O	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	O
c2a_L01	9	C	C-DOT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L01	10	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	11	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	12	AMP	AMP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	13	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	14	CIRC-O	CIRC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	15	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	16	O-SLASH	O-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	17	O	O-DASH2	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c2a_L01	18	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	19	V-DOT	V-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	20	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	21	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	22	CIRC-O	CIRC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	23	DASH-H	DASH-H	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	24	IOI	IOI-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L01	25	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	26	CIRC-O	CIRC-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	27	DASH-H	DASH-H	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	28	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	29	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	30	LOOP-STEM	LOOP-STEM	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	31	DOT-LINE-O	DOT-LINE-O	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	32	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	33	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L01	34	DASH-V	DASH-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	1	PICT-LEAF	PICT-LEAF	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	2	BOX-GRID	BOX-GRID	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	3	O	O-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L02	4	LOOP-TAIL	LOOP-TAIL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	5	TRIDENT	TRIDENT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	6	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	7	II	II-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L02	8	TRIDENT	TRIDENT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	9	PICT-BOTTLE	PICT-BOTTLE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	10	PICT-TREE	PICT-TREE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	11	SUN	SUN	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	12	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	13	NINE	NINE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	14	FIVE	FIVE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	15	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	16	TRIDENT	TRIDENT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	17	BAR-THIN	BAR-THIN	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	18	PICT-FACE	PICT-FACE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	19	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	20	DAGGER-O	DAGGER-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	21	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	22	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	23	II	II-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L02	24	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	25	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	26	OX	OX-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L02	27	BUCKET	BUCKET	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L02	28	DASH-V	DASH-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	1	PICT-EAGLE	PICT-EAGLE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	2	V-LOOP	V-LOOP	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	3	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	4	CC	CC-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L03	5	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	6	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	7	PHI	PHI	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	8	X-CURL	X-CURL	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	9	VENUS	VENUS	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	10	EIGHT	EIGHT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	11	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	12	O	O-DASH2	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c2a_L03	13	CC	CC-DASH	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L03	14	LAMBDA	LAMBDA	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	15	PCT	PCT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	16	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	17	O-SLASH	O-SLASH	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	18	BOX-GRID	BOX-GRID	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	19	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	20	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	21	TRIDENT	TRIDENT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	22	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	23	Y-CURL	Y-CURL	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	24	O	O-DASH2	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH2
c2a_L03	25	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L03	26	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	1	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	2	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	3	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	4	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	5	VENUS	VENUS	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	6	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	7	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	8	ARCH	ARCH-DOTS	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOTS
c2a_L04	9	SMILE	SMILE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	10	AMP	AMP	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	11	II	II-DASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	DASH
c2a_L04	12	NINE	NINE	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	13	SCROLL-X	SCROLL-X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	14	V-DOT	V-DOT	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	15	DBL-SLASH	DBL-SLASH	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	16	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	17	WAVE	WAVE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	18	DAGGER-O	DAGGER-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	19	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	20	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	21	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	22	C	C-BAR-X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	BAR-X
c2a_L04	23	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	24	OX	OX-TILDE	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L04	25	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	26	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L04	27	DASH-V	DASH-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	1	_	_	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	2	_	_	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	3	DASH-V	DASH-V	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	4	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	5	PICT-HOUSE	PICT-HOUSE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	6	EIGHT	EIGHT	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	7	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	8	OX	OX-TILDE	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	TILDE
c2a_L05	9	LOOP-STEM	LOOP-STEM	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	10	C	C-DOT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L05	11	C	C-DOT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	DOT
c2a_L05	12	BAR-SOLID	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	13	BAR-THIN	BAR-THIN	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	14	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	15	CIRC-O	CIRC-O	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	16	BLOB	BLOB	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	17	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	18	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	19	X	X	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	20	X	X	M	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	21	MULTI	MULTI	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	22	T-LETTER	T-LETTER	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	23	S-CURL	S-CURL	L	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
c2a_L05	24	PCT	PCT	H	single pass A (box_labels.tsv); blind pass B on this inventory pending	none
