line	position	sign	family	confidence	source
c1_L05	14	Y-CURL	Y-CURL	H	cluster-map:19
c1_L05	15	X	X	H	cluster-map:56
c1_L05	16	PCT	PCT	M	cluster-map:57
c1_L05	17	DOLLAR	DOLLAR	M	eye-split:MISC-06
c1_L05	18	BLOB	BLOB	M	eye-resplit:BAR-SERIF
c1_L05	19	BAR-SOLID	BLOB	M	cluster-map:45
c1_L05	20	II-SLASH	II-SLASH	M	eye-split:MISC-07
c1_L05	21	Y-CURL	Y-CURL	H	cluster-map:19
c1_L05	22	X	X	M	cluster-map:22
c1_L05	23	DAGGER-O	DAGGER-O	H	eye-split:MISC-13
c1_L06	1	PCT	PCT	H	cluster-map:66
c1_L06	2	O-SLASH	O-SLASH	M	eye-resplit:LOOP-TAIL
c1_L06	3	X	X	H	cluster-map:84
c1_L06	4	O-TILDE	O-TILDE	M	eye-split:MISC-67
c1_L06	5	X	X	M	cluster-map:52
c1_L06	6	A-LOOP	A-LOOP	M	eye-split:MISC-05
c1_L06	7	O-DASH2	O-DASH2	M	eye-resplit:CRESCENT
c1_L06	8	PCT	PCT	M	cluster-map:57
c1_L06	9	X	X	M	cluster-map:28
c1_L06	10	Y-LOOPS	Y-LOOPS	M	eye-split:MISC-43
c1_L06	11	X-BAR	X-BAR	M	eye-split:MISC-76
c1_L06	12	CIRC-O	CIRC-O	M	eye-resplit:CIRC-TAIL
c1_L06	13	Y-CURL	Y-CURL	M	cluster-map:88
c1_L06	14	CIRC-O	CIRC-O	M	eye-resplit:CIRC-TAIL
c1_L06	15	S-CURL	S-CURL	M	eye-split:MISC-13
c1_L06	16	SLASH-BAR	SLASH-BAR	M	eye-split:MISC-17
c1_L06	17	PHI	PHI	H	eye-resplit:PHI
c1_L06	18	T-LETTER	T-LETTER	M	eye-split:MISC-17
