letter	line	position	token	kind	grade	alt	why
1	f61L	136	m'ont	clear	H		agree
1	f61L	137	fait	clear	H		agree
1	f61L	138	connoitre	clear	H		agree
1	f61L	139	qu'ils	clear	H		agree
1	f61L	140	estoient	clear	H		agree
1	f61L	141	informes	clear	M	A:informes(clear,H)/B:informés(clear,H)	differ
1	f61L	142	de	clear	H		agree
1	f61L	143	ma	clear	H		agree
1	f61L	144	negociation	clear	H		agree
1	f61L	145	avec	clear	H		agree
1	f61L	146	145	cipher	H		agree
1	f61L	147	65	cipher	H		agree
1	f61L	148	67	cipher	H		agree
1	f61L	149	et	clear	H		agree
1	f61L	150	qu'ils	clear	H		agree
1	f61L	151	me	clear	H		agree
1	f61L	152	Labbe	insertion-clear	M	A:Labbe(insertion-clear,H)/B:l'abbé(insertion-clear,M)	differ
1	f61L	153	prioient	clear	H		agree
1	f61L	154	de	clear	H		agree
1	f61L	155	faire	clear	H		agree
1	f61L	156	en	clear	H		agree
1	f61L	157	sorte	clear	H		agree
1	f61L	158	que	clear	H		agree
1	f61L	159	le	clear	H		agree
1	f61L	160	traitte	clear	M	A:traitte(clear,H)/B:traitté(clear,H)	differ
1	f61L	161	se	clear	H		agree
1	f61L	162	fit	clear	H		agree
1	f61L	163	pour	clear	H		agree
1	f61L	164	toutes	clear	H		agree
1	f61L	165	34	cipher	H		agree
1	f61L	166	147	cipher	H		agree
1	f61L	167	46	cipher	H		agree
1	f61L	168	146	cipher	H		agree
1	f61L	169	Je	clear	H		agree
1	f61L	170	leur	clear	H		agree
1	f61L	171	ay	clear	H		agree
1	f61L	172	repondu	clear	H		agree
1	f61L	173	Sile	insertion-clear	M	A:Sile(insertion-clear,M)/B:l'Isle(insertion-clear,M)	differ
1	f61L	174	qu'il	clear	H		agree
1	f61L	175	ne	clear	H		agree
1	f61L	176	tenoit	clear	H		agree
1	f61L	177	qu'a	clear	H		agree
1	f61L	178	eux	clear	H		agree
1	f61L	179	de	clear	H		agree
1	f61L	180	me	clear	H		agree
1	f61L	181	faire	clear	H		agree
1	f61L	182	leur	clear	H		agree
1	f61L	183	proposition	clear	H		agree
1	f61L	184	en	clear	H		agree
1	f61L	185	me	clear	H		agree
1	f61L	186	remettant	clear	H		agree
1	f61L	187	les	clear	H		agree
1	f61L	188	eclaircissemens	clear	H		agree
1	f61L	189	en	clear	H		agree
1	f61L	190	question	clear	H		agree
1	f61L	191	ils	clear	H		agree
1	f61L	192	m'ont	clear	H		agree
1	f61L	193	repondu	clear	H		agree
1	f61L	194	a	clear	H		agree
1	f61L	195	peu	clear	H		agree
1	f61L	196	pres	clear	M	A:pres(clear,H)/B:près(clear,H)	differ
1	f61L	197	comme	clear	H		agree
1	f61L	198	le	clear	H		agree
1	f61L	199	56	cipher	H		agree
1	f61L	200	31	cipher	H		agree
1	f61L	201	67	cipher	H		agree
1	f61L	202	qu'ils	clear	H		agree
1	f61L	203	donneront	clear	H		agree
1	f61L	204	tous	clear	H		agree
1	f61L	205	ces	clear	H		agree
1	f61L	206	Labbe	insertion-clear	M	A:Labbe(insertion-clear,H)/B:l'abbé(insertion-clear,M)	differ
1	f61R	1	mais	clear	H		agree
1	f61R	2	une	clear	H		agree
1	f61R	3	mort	clear	H		agree
1	f61R	4	subite	clear	H		agree
1	f61R	5	l'a	clear	H		agree
1	f61R	6	surpris	clear	H		agree
1	f61R	7	en	clear	M	A-only:en(clear,M)	gap-B
1	f61R	8	n'ayant	clear	H		agree
1	f61R	9	donner	clear	M	A:donner(clear,H)/B:donné(clear,H)	differ
1	f61R	10	ordre	clear	H		agree
1	f61R	11	a	clear	H		agree
1	f61R	12	sa	clear	H		agree
1	f61R	13	succession	clear	H		agree
1	f61R	14	de	clear	H		agree
1	f61R	15	maniere	clear	H		agree
1	f61R	16	eclaircissements	clear	H		agree
1	f61R	17	lors	clear	H		agree
1	f61R	18	qu'ils	clear	H		agree
1	f61R	19	verront	clear	H		agree
1	f61R	20	Excellence	clear	M	A:Excellence(clear,M)/B:V.Ex.ce(clear,M)	differ
1	f61R	21	J'ay	clear	H		agree
1	f61R	22	remarque	clear	M	A:remarque(clear,H)/B:remarqué(clear,H)	differ
1	f61R	23	qu'ils	clear	H		agree
1	f61R	24	concourent	clear	H		agree
1	f61R	25	tous	clear	H		agree
1	f61R	26	avec	clear	H		agree
1	f61R	27	empressement	clear	H		agree
1	f61R	28	a	clear	H		agree
1	f61R	29	145	cipher	H		agree
1	f61R	30	48	cipher	H		agree
1	f61R	31	97	cipher	H		agree
1	f61R	32	223	cipher	M	A:223(cipher,H)/B:220(cipher,M)	differ
1	f61R	33	87	cipher	H		agree
1	f61R	34	84	cipher	H		agree
1	f61R	35	38	cipher	H		agree
1	f61R	36	46	cipher	H		agree
1	f61R	37	146	cipher	H		agree
1	f61R	38	a	insertion-clear	H		agree
1	f61R	39	la	insertion-clear	H		agree
1	f61R	40	vente	insertion-clear	H		agree
1	f61R	41	de	insertion-clear	H		agree
1	f61R	42	cette	insertion-clear	H		agree
1	f61R	43	isle	insertion-clear	M	A:isle(insertion-clear,H)/B:Isle(insertion-clear,M)	differ
1	f61R	44	Vostre	clear	H		agree
1	f61R	45	Excellence	clear	M	A:Excellence(clear,H)/B:Excelence(clear,H)	differ
1	f61R	46	aura	clear	H		agree
1	f61R	47	la	clear	H		agree
1	f61R	48	bonte	clear	M	A:bonte(clear,H)/B:bonté(clear,H)	differ
1	f61R	49	de	clear	H		agree
1	f61R	50	me	clear	H		agree
1	f61R	51	marquer	clear	H		agree
1	f61R	52	ce	clear	H		agree
1	f61R	53	qu'Elle	clear	H		agree
1	f61R	54	souhaitte	clear	H		agree
1	f61R	55	que	clear	H		agree
1	f61R	56	je	clear	H		agree
1	f61R	57	leur	clear	H		agree
1	f61R	58	reponde	clear	H		agree
1	f61R	59	a	clear	H		agree
1	f61R	60	cet	clear	H		agree
1	f61R	61	egard	clear	H		agree
1	f61R	62	Chacun	clear	H		agree
1	f61R	63	parle	clear	H		agree
1	f61R	64	en	clear	H		agree
1	f61R	65	ce	clear	H		agree
1	f61R	66	pays-cy	clear	H		agree
1	f61R	67	fort	clear	H		agree
1	f61R	68	diversement	clear	M	A:diversement(clear,M)/B:diversem.t(clear,H)	differ
1	f61R	69	de	clear	H		agree
1	f61R	70	la	clear	H		agree
1	f61R	71	paix	clear	H		agree
1	f61R	72	qui	clear	H		agree
1	f61R	73	vient	clear	H		agree
1	f61R	74	de	clear	H		agree
1	f61R	75	se	clear	H		agree
1	f61R	76	conclurre	clear	H		agree
1	f61R	77	entre	clear	H		agree
1	f61R	78	la	clear	H		agree
1	f61R	79	France	clear	H		agree
1	f61R	80	et	clear	H		agree
1	f61R	81	l'Empire	clear	H		agree
1	f61R	82	Les	clear	H		agree
1	f61R	83	uns	clear	H		agree
1	f61R	84	veulent	clear	H		agree
1	f61R	85	que	clear	H		agree
1	f61R	86	le	clear	H		agree
1	f61R	87	Roy	clear	H		agree
1	f61R	88	de	clear	H		agree
1	f61R	89	Sicile	clear	H		agree
1	f61R	90	n'y	clear	H		agree
1	f61R	91	soit	clear	H		agree
1	f61R	92	pas	clear	H		agree
1	f61R	93	compris	clear	H		agree
1	f61R	94	et	clear	H		agree
1	f61R	95	que	clear	H		agree
1	f61R	96	l'Empereur	clear	H		agree
1	f61R	97	se	clear	H		agree
1	f61R	98	soit	clear	H		agree
1	f61R	99	meme	clear	H		agree
1	f61R	100	reserve	clear	M	A:reserve(clear,H)/B:reservé(clear,H)	differ
1	f61R	101	dans	clear	H		agree
1	f61R	102	le	clear	H		agree
1	f61R	103	traitte	clear	M	A:traitte(clear,H)/B:traitté(clear,H)	differ
1	f61R	104	de	clear	H		agree
1	f61R	105	pouvoir	clear	H		agree
1	f61R	106	luy	clear	H		agree
1	f61R	107	faire	clear	H		agree
1	f61R	108	la	clear	H		agree
1	f61R	109	guerre	clear	H		agree
1	f61R	110	pour	clear	H		agree
1	f61R	111	luy	clear	H		agree
1	f61R	112	reprendre	clear	H		agree
1	f61R	113	les	clear	H		agree
1	f61R	114	places	clear	H		agree
1	f61R	115	qui	clear	H		agree
1	f61R	116	luy	clear	H		agree
1	f61R	117	ont	clear	H		agree
1	f61R	118	este	clear	M	A:este(clear,H)/B:esté(clear,H)	differ
1	f61R	119	cedees	clear	M	A:cedees(clear,H)/B:cedées(clear,H)	differ
1	f61R	120	du	clear	H		agree
1	f61R	121	milanois	clear	H		agree
1	f61R	122	s'il	clear	H		agree
1	f61R	123	ne	clear	H		agree
1	f61R	124	se	clear	H		agree
1	f61R	125	met	clear	H		agree
1	f61R	126	en	clear	H		agree
1	f61R	127	devoir	clear	H		agree
1	f61R	128	de	clear	H		agree
1	f61R	129	les	clear	H		agree
1	f61R	130	rendre	clear	H		agree
1	f61R	131	a	clear	H		agree
1	f61R	132	l'amiable	clear	H		agree
1	f61R	133	sans	clear	H		agree
1	f61R	134	que	clear	H		agree
1	f61R	135	la	clear	H		agree
1	f61R	136	France	clear	H		agree
1	f61R	137	puisse	clear	H		agree
1	f61R	138	le	clear	H		agree
1	f61R	139	secourir	clear	H		agree
1	f61R	140	directement	clear	H		agree
1	f61R	141	ni	clear	H		agree
1	f61R	142	indirectement	clear	H		agree
1	f61R	143	D'autres	clear	H		agree
1	f61R	144	au	clear	H		agree
1	f61R	145	contraire	clear	H		agree
1	f61R	146	disent	clear	H		agree
1	f61R	147	que	clear	H		agree
1	f61R	148	le	clear	H		agree
1	f61R	149	Roy	clear	H		agree
1	f61R	150	de	clear	H		agree
1	f61R	151	Sicile	clear	H		agree
1	f61R	152	ne	clear	H		agree
1	f61R	153	sera	clear	H		agree
1	f61R	154	point	clear	H		agree
1	f61R	155	trouble	clear	M	A:trouble(clear,H)/B:troublé(clear,H)	differ
1	f61R	156	par	clear	H		agree
1	f61R	157	l'Empereur	clear	H		agree
1	f61R	158	dans	clear	H		agree
1	f61R	159	les	clear	H		agree
1	f61R	160	Estats	clear	H		agree
1	f61R	161	qu'il	clear	H		agree
1	f61R	162	possede	clear	H		agree
1	f61R	163	presentement	clear	H		agree
1	f61R	164	et	clear	H		agree
1	f61R	165	que	clear	H		agree
1	f61R	166	s'il	clear	H		agree
1	f61R	167	doit	clear	H		agree
1	f61R	168	restituer	clear	H		agree
1	f61R	169	ce	clear	H		agree
1	f61R	170	qu'il	clear	H		agree
1	f62L	1	tient	clear	H		agree
1	f62L	2	de	clear	H		agree
1	f62L	3	la	clear	H		agree
1	f62L	4	part	clear	H		agree
1	f62L	5	de	clear	H		agree
1	f62L	6	l'Empire	clear	H		agree
1	f62L	7	il	clear	H		agree
1	f62L	8	le	clear	H		agree
1	f62L	9	fera	clear	H		agree
1	f62L	10	a	clear	H		agree
1	f62L	11	l'amiable	clear	H		agree
1	f62L	12	Il	clear	H		agree
1	f62L	13	y	clear	H		agree
1	f62L	14	a	clear	H		agree
1	f62L	15	toutte	clear	H		agree
1	f62L	16	apparence	clear	M	A:apparence(clear,H)/B:aparence(clear,H)	differ
1	f62L	17	que	clear	H		agree
1	f62L	18	les	clear	H		agree
1	f62L	19	choses	clear	H		agree
1	f62L	20	se	clear	H		agree
1	f62L	21	passeront	clear	H		agree
1	f62L	22	ainsy	clear	H		agree
1	f62L	23	ne	clear	H		agree
1	f62L	24	paroissant	clear	H		agree
1	f62L	25	pas	clear	H		agree
1	f62L	26	qu'on	clear	H		agree
1	f62L	27	se	clear	H		agree
1	f62L	28	dispose	clear	H		agree
1	f62L	29	en	clear	H		agree
1	f62L	30	Lombardie	clear	H		agree
1	f62L	31	ni	clear	H		agree
1	f62L	32	en	clear	H		agree
1	f62L	33	Piemont	clear	H		agree
1	f62L	34	pour	clear	H		agree
1	f62L	35	commencer	clear	H		agree
1	f62L	36	une	clear	H		agree
1	f62L	37	nouvelle	clear	H		agree
1	f62L	38	guerre	clear	H		agree
1	f62L	39	quoy	clear	H		agree
1	f62L	40	qu'on	clear	H		agree
1	f62L	41	asseure	clear	M	A:asseure(clear,H)/B:asure(clear,H)	differ
1	f62L	42	que	clear	H		agree
1	f62L	43	l'Empereur	clear	H		agree
1	f62L	44	fait	clear	H		agree
1	f62L	45	filer	clear	H		agree
1	f62L	46	actuellement	clear	H		agree
1	f62L	47	quelques	clear	H		agree
1	f62L	48	trouppes	clear	H		agree
1	f62L	49	dans	clear	H		agree
1	f62L	50	le	clear	H		agree
1	f62L	51	milanois	clear	H		agree
1	f62L	52	Au	clear	H		agree
1	f62L	53	surplus	clear	H		agree
1	f62L	54	on	clear	H		agree
1	f62L	55	est	clear	M	A:est(clear,H)/B:en(clear,H)	differ
1	f62L	56	fort	clear	H		agree
1	f62L	57	impatient	clear	H		agree
1	f62L	58	en	clear	H		agree
1	f62L	59	ce	clear	H		agree
1	f62L	60	pays-cy	clear	H		agree
1	f62L	61	de	clear	H		agree
1	f62L	62	voir	clear	H		agree
1	f62L	63	ce	clear	H		agree
1	f62L	64	que	clear	H		agree
1	f62L	65	porteront	clear	H		agree
1	f62L	66	les	clear	H		agree
1	f62L	67	articles	clear	H		agree
1	f62L	68	de	clear	H		agree
1	f62L	69	cette	clear	H		agree
1	f62L	70	derniere	clear	H		agree
1	f62L	71	paix	clear	H		agree
1	f62L	72	qui	clear	H		agree
1	f62L	73	a	clear	H		agree
1	f62L	74	este	clear	M	A:este(clear,H)/B:esté(clear,H)	differ
1	f62L	75	traittee	clear	M	A:traittee(clear,H)/B:traittée(clear,H)	differ
1	f62L	76	si	clear	H		agree
1	f62L	77	secretement	clear	H		agree
1	f62L	78	par	clear	H		agree
1	f62L	79	les	clear	H		agree
1	f62L	80	deux	clear	H		agree
1	f62L	81	generaux	clear	H		agree
1	f62L	82	dont	clear	H		agree
1	f62L	83	on	clear	H		agree
1	f62L	84	ne	clear	H		agree
1	f62L	85	sçait	clear	M	A:sçait(clear,H)/B:scait(clear,H)	differ
1	f62L	86	rien	clear	H		agree
1	f62L	87	jusqu'a	clear	H		agree
1	f62L	88	cette	clear	H		agree
1	f62L	89	heure	clear	H		agree
1	f62L	90	et	clear	H		agree
1	f62L	91	ce	clear	H		agree
1	f62L	92	que	clear	H		agree
1	f62L	93	l'on	clear	H		agree
1	f62L	94	en	clear	H		agree
1	f62L	95	dit	clear	H		agree
1	f62L	96	n'est	clear	H		agree
1	f62L	97	que	clear	H		agree
1	f62L	98	par	clear	H		agree
1	f62L	99	conjecture	clear	H		agree
1	f62L	100	Il	clear	H		agree
1	f62L	101	est	clear	H		agree
1	f62L	102	mort	clear	H		agree
1	f62L	103	a	clear	H		agree
1	f62L	104	Rome	clear	H		agree
1	f62L	105	un	clear	H		agree
1	f62L	106	fameux	clear	H		agree
1	f62L	107	banquier	clear	H		agree
1	f62L	108	appelle	clear	M	A:appelle(clear,H)/B:appellé(clear,H)	differ
1	f62L	109	le	clear	H		agree
1	f62L	110	marquis	clear	H		agree
1	f62L	111	Pallavicin	clear	H		agree
1	f62L	112	genois	clear	H		agree
1	f62L	113	age	clear	M	A:age(clear,H)/B:agé(clear,H)	differ
1	f62L	114	d'environ	clear	H		agree
1	f62L	115	55	clear	H		agree
1	f62L	116	ans	clear	H		agree
1	f62L	117	qui	clear	H		agree
1	f62L	118	s'y	clear	M	A:s'y(clear,H)/B:sy(clear,H)	differ
1	f62L	119	estoit	clear	H		agree
1	f62L	120	establi	clear	M	A:establi(clear,H)/B:estably(clear,H)	differ
1	f62L	121	depuis	clear	H		agree
1	f62L	122	long	clear	M	B-only:long(clear,H)	gap-A
1	f62L	123	longtemps	clear	M	A:longtemps(clear,H)/B:temps(clear,H)	differ
1	f62L	124	Il	clear	H		agree
1	f62L	125	a	clear	H		agree
1	f62L	126	laisse	clear	M	A:laisse(clear,H)/B:laissé(clear,H)	differ
1	f62L	127	plus	clear	H		agree
1	f62L	128	de	clear	H		agree
1	f62L	129	six	clear	H		agree
1	f62L	130	cents	clear	H		agree
1	f62L	131	mille	clear	H		agree
1	f62L	132	ecus	clear	H		agree
1	f62L	133	romains	clear	H		agree
1	f62L	134	dont	clear	H		agree
1	f62L	135	la	clear	H		agree
1	f62L	136	maison	clear	H		agree
1	f62L	137	Rospillosi	clear	H		agree
1	f62L	138	de	clear	H		agree
1	f62L	139	Rome	clear	H		agree
1	f62L	140	auroit	clear	H		agree
1	f62L	141	herite	clear	M	A:herite(clear,H)/B:herité(clear,H)	differ
1	f62L	142	a	clear	H		agree
1	f62L	143	ce	clear	H		agree
1	f62L	144	qu'on	clear	H		agree
1	f62L	145	dit	clear	H		agree
1	f62L	146	si	clear	H		agree
1	f62L	147	le	clear	H		agree
1	f62L	148	deffunct	clear	H		agree
1	f62L	149	avoit	clear	M	A:avoit(clear,H)/B:n'avoit(clear,H)	differ
1	f62L	150	fait	clear	H		agree
1	f62L	151	son	clear	H		agree
1	f62L	152	testament	clear	H		agree
1	f62R	1	mais	clear	H		agree
1	f62R	2	une	clear	H		agree
1	f62R	3	mort	clear	H		agree
1	f62R	4	subite	clear	H		agree
1	f62R	5	l'a	clear	H		agree
1	f62R	6	surpris	clear	H		agree
1	f62R	7	en	clear	M	A-only:en(clear,M)	gap-B
1	f62R	8	n'ayant	clear	H		agree
1	f62R	9	donner	clear	M	A:donner(clear,H)/B:donné(clear,H)	differ
1	f62R	10	ordre	clear	H		agree
1	f62R	11	a	clear	H		agree
1	f62R	12	sa	clear	H		agree
1	f62R	13	succession	clear	H		agree
1	f62R	14	de	clear	H		agree
