edition	letter_no	date	sender	recipient	archive_ref	source_volume	printed_page	cipher_extent	solution_status	sibling_or_key_note	scan_online	queue_row
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	192	14 Aug 1697	Anna Elisabeth de Lorraine, prinses van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	218	none (plain text)	index p.812: asterisked	OPENED -- plain French, NOT cipher (papal-envoy letter, footnotes are person-ID notes only)	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	193	1 Sep 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	220	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	194	24 Sep 1697	Anna Elisabeth de Lorraine, prinses van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	220	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	209	9 Nov 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	231	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	210	12 Nov 1697	Anna Elisabeth de Lorraine, prinses van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	232	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	211	28 Nov 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	234	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	212	12 Dec 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	235	unknown -- not opened this pass	"index p.812: asterisked (note: ""ook een brief van de prinses van dezen datum"")"	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	213	12 Dec 1697	Anna Elisabeth de Lorraine, prinses van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	236	unknown -- not opened this pass	index p.812: implied by n.212's index note, not separately asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	214	15 Dec 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	237	none (plain text)	index p.812: asterisked	OPENED -- plain French, NOT cipher (ordinary courtesy letter)	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	215	24 Feb 1698	Charles Henri de Lorraine, prins van Vaudemont aan Willem III	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	237	none (plain text)	"index p.812: asterisked (""aan Willem III"")"	OPENED -- plain French, NOT cipher (ordinary courtesy letter to the king)	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	216	11 Apr 1698	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	238	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	217	13 Apr 1698	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	239	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	218	17 Apr 1698	Anna Elisabeth de Lorraine, prinses van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	240	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	219	18 Mar 1699	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	241	unknown -- not opened this pass	"index p.812: asterisked (""met bijlage"")"	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	220	25 Mar 1699	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	242	cipher, onopgelost	"index p.812: asterisked (""grootendeels in onopgelost cijferschrift; ook een ontcijferde brief is aanwezig"")"	= HU6, already promoted to ciphers/vaudemont-willemiii-1699/, open/recovery	unconfirmed	HU6
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	221	15 Apr 1699	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	244	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	222	24 Jun 1699	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	245	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	223	3 Aug 1700	Van Portland (Bentinck) aan Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	245	unknown -- not opened this pass	"index p.812: asterisked (""van Bentinck"")"	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
