letter	run_lines	n_tokens	context_before	context_after	expected_content	grade
P5_P6	22981-22987	6	30- / 37-	7- / 28.	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	22991-23007	13	40. / 7-	17- / 25.	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	23011-23021	97	,  28. / 17-	letters,  humbly  afking  your  pardon  for  fending  it  you  in  fo  blotted  a  Iheete  of  paper  j  all / I  fliall  bege  of  you  is,  that  you  will  be  pleafed  to  lett  me  knowe  your  friend's  anfwer  in	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	23026-23035	79	it,  as  foon  as  poffibly  you  can  ;  if  he  approves  of  this  I  propofe  to  him,  I  fhall  then  only / defire  thefe  two  things  of  him,  which  are  both  in  order  to  his  fervice,  the  firft,  that  no	fefs  I  am  not  able  to  imagine  a  reafon  why  this  propofition  fhould  be  refiifed.  However / I  hope  at  leaft  the  having  offerred  it  will  not  make  your  friend  the  leffe  kinde  to  me ;	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	23051-23051	1	oblige,  fir. / Your  moft  humble  and  faithfull  fervant.	W.  Stamford. / Middelburg       private	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P5_P6	23059-23059	12	W.  Stamford. / Middelburg       private	"I  writ  you  a  long  letter  in  cpiher,""  which  I  defired  mr.  Thomas  Whit  at  Dover  to  fend / to  you,  and  another  by  the  fame  addreffe,  as  I  remember.  Pray  be  pleafed  to  let  mic"	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P7	23232-23246	78	conclude. / A  letter  of  intelligence,	8  STATE     PAPERS     O  F / A.  D.  1 6 54. apprehends  6.  ^,  19.  31.  7.  30.  34.  12.  36.  40.  43.  25.  defigne  of  engaging  30.  22.  19,	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P7	23252-23262	143	27 / 8  STATE     PAPERS     O  F	over,  and  till  I  fhall  have  lett  him  fee  by  the  fervice  I  intende  to  do  him,  whether  I  be / worthy  of  his  favour  or  noe.     This  is  a  demande,  which  as  I  am  confident  was  never  yet	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P7	23278-23282	37	infifted  very  much  upon  the  havinge  fome  afTurance  from  your  friend,  that  my  fervice / Ihould  not  be  forgotten ;  but  the  tyme  now  prelTes  too  much  to  allow  of  any  delay ;  the	abfolutely  refolved  upon  it,  knowing  that  otherwife  the  fervice  that  I  fhould  doe  him, / would  be  but  lame,  and  unfatisfadlory  both  to  O  and  my  felfe  ;   and  being  as  certayne,  as	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P7	23286-23326	471	would  be  but  lame,  and  unfatisfadlory  both  to  O  and  my  felfe  ;   and  being  as  certayne,  as / it  is  pofTible  to  be  of  any  thinge  that  is  not  already  happened,  that  this  way  I  fhall  be  able	In  fine,  let  your  friend  refolve  which  is  the  beft  way,  and  I  fjiall  pundtualJy  obey  his  A.  D.  1654. / orders  ;  only  I  mufl:  conjure  you  to  be  fpeedy,  for  it  concerns  you  perhaps  more  than  you  ^yVSJ	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P7	23333-23333	1	are  aware  of,     I  am  moft  entirely, / Sir,  your  moft  humble  and  faithfull  fervant^	S. / If  there  be  any  28.  42.  35.  25.  12.  62.  parliament,  that  formerly  85.  7.  19,  29.  126.	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
P7	23337-23345	84	March  20,  1654. / S.	Pray  fir  be  pleafed  to  decypher  this  letter  yourfelfe. / 'The  f ami  letter  decypher  d.	(see decipherment_P5_P6.txt / decipherment_P7.txt)	"FOUND (Birch prints ""The fame letter decypherd"" for this whole letter; not a per-run alignment, the full paragraph is given once per letter)"
