sid	page	line	x	y	w	h	area	ncomp
308	f28r	17	6583	2498	42	59	781	1
309	f28r	17	6635	2513	32	29	370	1
310	f28r	17	6667	2500	49	56	702	1
311	f28r	17	6727	2510	47	47	695	1
312	f28r	17	6784	2509	28	24	342	1
313	f28r	17	6812	2503	46	43	783	1
314	f28r	17	6859	2476	44	55	819	1
315	f28r	17	6899	2492	46	55	711	1
316	f28r	17	6939	2499	41	41	595	1
317	f28r	17	6997	2500	39	36	816	1
318	f28r	17	7045	2509	24	26	385	1
319	f28r	17	7080	2507	25	32	449	1
320	f28r	17	7112	2509	38	62	840	1
321	f28r	17	7163	2508	40	23	437	1
322	f28r	17	7212	2502	40	30	404	1
323	f28r	17	7274	2487	42	41	667	1
324	f28r	17	7331	2470	105	79	1983	1
325	f28r	17	7452	2463	63	66	1294	1
326	f28r	17	7520	2495	44	47	682	1
327	f28r	17	7575	2485	22	39	536	1
328	f28r	17	7615	2499	64	30	850	1
329	f28r	17	7697	2462	70	71	1136	1
330	f28r	17	7770	2480	31	41	613	1
331	f28r	18	5020	2625	53	38	932	1
332	f28r	18	5074	2633	32	31	514	1
333	f28r	18	5100	2625	35	44	725	1
334	f28r	18	5144	2631	50	42	910	1
335	f28r	18	5194	2600	46	60	1001	1
336	f28r	18	5246	2634	41	22	514	1
337	f28r	18	5298	2631	46	26	473	1
338	f28r	18	5356	2629	42	35	885	1
339	f28r	18	5403	2617	39	63	844	1
340	f28r	18	5451	2631	44	26	635	1
341	f28r	18	5501	2632	45	22	550	1
342	f28r	18	5537	2617	46	49	774	1
343	f28r	18	5602	2627	32	28	547	1
344	f28r	18	5641	2627	30	28	420	1
345	f28r	18	5666	2597	53	55	978	1
346	f28r	18	5728	2622	33	35	503	2
347	f28r	18	5768	2627	26	24	403	1
348	f28r	18	5784	2626	45	46	798	1
349	f28r	18	5840	2628	32	56	737	1
350	f28r	18	5879	2626	40	23	461	1
351	f28r	18	5926	2624	34	28	398	1
352	f28r	18	5972	2626	47	39	662	1
353	f28r	18	6038	2627	33	27	427	1
354	f28r	18	6079	2612	33	39	576	1
355	f28r	18	6129	2624	41	28	852	1
356	f28r	18	6181	2624	46	39	792	1
357	f28r	18	6232	2598	46	52	892	1
358	f28r	18	6275	2627	28	27	379	1
359	f28r	18	6307	2627	49	40	815	1
360	f28r	18	6371	2624	45	48	691	1
361	f28r	18	6422	2609	50	59	803	2
362	f28r	18	6469	2614	35	41	620	1
363	f28r	18	6528	2614	24	36	583	1
364	f28r	18	6568	2621	50	42	847	1
365	f28r	18	6619	2598	48	51	824	1
366	f28r	18	6670	2620	37	31	470	1
367	f28r	18	6720	2620	31	31	619	1
368	f28r	18	6762	2623	39	23	517	1
369	f28r	18	6814	2621	47	42	620	1
370	f28r	18	6866	2604	53	55	734	1
371	f28r	18	6942	2619	38	29	762	1
372	f28r	18	6988	2627	31	26	312	1
373	f28r	18	7037	2625	35	26	476	1
374	f28r	18	7078	2624	25	27	328	1
375	f28r	18	7107	2620	44	32	809	1
376	f28r	18	7128	2624	63	49	713	1
377	f28r	18	7182	2621	59	49	721	1
378	f28r	18	7251	2623	38	52	655	1
379	f28r	18	7297	2618	29	31	332	1
380	f28r	18	7325	2617	47	47	770	1
381	f28r	18	7394	2621	42	45	563	1
382	f28r	18	7441	2610	27	48	413	1
383	f28r	18	7469	2602	12	9	62	1
384	f28r	18	7487	2606	41	38	681	1
385	f28r	18	7538	2619	29	26	350	1
386	f28r	18	7564	2609	38	44	558	1
387	f28r	18	7626	2620	27	58	636	1
388	f28r	18	7670	2619	38	24	436	1
389	f28r	18	7721	2617	42	27	771	1
390	f28r	18	7765	2607	36	41	509	1
391	f28r	19	5027	2731	48	51	1025	1
392	f28r	19	5087	2725	25	44	660	1
393	f28r	19	5128	2734	30	42	656	1
394	f28r	19	5168	2708	45	58	1008	1
395	f28r	19	5209	2740	32	28	417	1
396	f28r	19	5256	2740	28	36	583	1
397	f28r	19	5293	2740	43	43	779	1
398	f28r	19	5350	2738	27	38	545	1
399	f28r	19	5389	2743	38	29	445	1
400	f28r	19	5428	2729	50	59	981	1
401	f28r	19	5470	2730	45	47	794	1
402	f28r	19	5528	2740	39	26	618	1
403	f28r	19	5572	2704	50	62	1239	1
404	f28r	19	5627	2741	44	24	572	1
405	f28r	19	5671	2727	49	55	811	1
406	f28r	19	5714	2741	49	50	718	1
407	f28r	19	5782	2738	41	50	755	1
408	f28r	19	5839	2738	27	27	366	1
409	f28r	19	5865	2738	49	43	816	1
410	f28r	19	5927	2733	54	55	1007	1
411	f28r	19	5989	2739	45	44	726	1
412	f28r	19	6044	2734	31	36	520	1
413	f28r	19	6090	2739	42	26	636	1
414	f28r	19	6139	2740	43	25	791	1
415	f28r	19	6177	2736	42	40	620	1
416	f28r	19	6237	2743	34	30	499	1
417	f28r	19	6274	2726	54	58	853	1
418	f28r	19	6340	2740	33	35	450	1
419	f28r	19	6385	2744	43	44	721	1
420	f28r	19	6444	2737	29	39	535	1
421	f28r	19	6486	2731	40	37	691	1
422	f28r	19	6541	2741	42	24	473	1
423	f28r	19	6585	2740	57	42	839	1
424	f28r	19	6661	2737	50	45	791	1
425	f28r	19	6715	2738	49	51	621	1
426	f28r	19	6776	2732	41	50	737	1
427	f28r	19	6829	2726	33	40	588	1
428	f28r	19	6871	2738	34	20	400	1
429	f28r	19	6913	2737	30	24	344	1
430	f28r	19	6944	2733	45	39	664	1
431	f28r	19	7011	2735	32	52	595	1
432	f28r	19	7043	2704	45	53	809	1
433	f28r	19	7093	2732	42	24	380	1
434	f28r	19	7136	2730	51	39	763	1
435	f28r	19	7194	2733	34	21	454	1
436	f28r	19	7229	2731	41	29	426	1
437	f28r	19	7280	2733	48	24	412	1
438	f28r	19	7335	2730	47	39	596	1
439	f28r	19	7388	2727	49	40	657	1
440	f28r	19	7439	2722	42	26	492	1
441	f28r	19	7499	2730	38	25	579	2
442	f28r	19	7548	2734	27	17	269	1
443	f28r	19	7561	2732	59	46	614	1
444	f28r	19	7623	2719	42	36	619	1
445	f28r	19	7674	2711	37	43	733	1
446	f28r	19	7729	2726	54	40	781	1
447	f28r	20	5025	2847	42	28	645	1
448	f28r	20	5074	2848	27	27	406	1
449	f28r	20	5106	2840	43	39	977	1
450	f28r	20	5161	2845	33	31	518	1
451	f28r	20	5203	2848	43	48	804	1
452	f28r	20	5258	2838	40	36	727	1
453	f28r	20	5309	2853	45	40	740	1
454	f28r	20	5369	2853	44	25	588	1
455	f28r	20	5407	2845	43	37	748	1
456	f28r	20	5464	2833	73	44	972	1
457	f28r	20	5545	2845	53	49	1023	1
458	f28r	20	5609	2852	28	23	436	1
459	f28r	20	5634	2840	50	59	1003	1
460	f28r	20	5674	2846	43	36	679	1
461	f28r	20	5745	2827	45	52	969	1
462	f28r	20	5778	2846	41	42	742	1
463	f28r	20	5835	2852	39	32	542	1
464	f28r	20	5889	2855	43	29	860	2
465	f28r	20	5932	2824	54	55	961	1
466	f28r	20	5987	2853	31	29	400	1
467	f28r	20	6005	2847	41	40	661	1
468	f28r	20	6081	2850	33	32	679	1
469	f28r	20	6124	2856	39	24	507	1
470	f28r	20	6170	2857	48	42	700	1
471	f28r	20	6215	2849	57	55	831	1
472	f28r	20	6284	2845	37	36	703	1
473	f28r	20	6316	2852	53	57	968	1
474	f28r	20	6368	2852	38	25	500	1
475	f28r	20	6411	2852	54	36	792	1
476	f28r	20	6467	2818	45	59	890	1
477	f28r	20	6526	2848	33	32	437	1
478	f28r	20	6566	2851	45	23	570	1
479	f28r	20	6605	2839	53	55	790	1
480	f28r	20	6669	2847	48	28	518	1
481	f28r	20	6711	2839	54	44	965	1
482	f28r	20	6774	2848	39	21	478	1
483	f28r	20	6821	2846	31	25	362	1
484	f28r	20	6836	2845	66	44	767	1
485	f28r	20	6915	2838	47	35	866	1
486	f28r	20	6972	2843	44	28	856	1
487	f28r	20	7029	2831	25	39	601	1
488	f28r	20	7080	2845	32	52	693	1
489	f28r	20	7111	2805	56	61	1023	1
490	f28r	20	7159	2839	33	32	480	1
491	f28r	20	7203	2841	46	29	515	1
492	f28r	20	7247	2844	28	22	390	1
493	f28r	20	7277	2842	48	45	773	1
494	f28r	20	7329	2835	37	40	596	1
495	f28r	20	7374	2845	40	23	501	1
496	f28r	20	7427	2836	27	36	456	1
497	f28r	20	7467	2839	40	27	536	1
498	f28r	20	7519	2844	35	30	339	1
499	f28r	20	7563	2835	22	35	435	1
500	f28r	20	7597	2843	39	23	453	1
501	f28r	20	7630	2843	55	39	555	1
502	f28r	20	7691	2841	50	50	817	1
503	f28r	20	7739	2814	41	51	837	1
504	f28r	20	7776	2837	25	30	368	1
505	f28r	21	5022	2955	39	30	654	1
506	f28r	21	5065	2955	27	32	510	1
507	f28r	21	5099	2960	38	27	664	1
508	f28r	21	5100	2963	69	50	835	1
509	f28r	21	5190	2951	26	35	515	1
510	f28r	21	5226	2959	33	24	495	1
511	f28r	21	5266	2952	52	56	883	1
512	f28r	21	5323	2963	30	30	415	1
513	f28r	21	5355	2958	37	38	661	1
514	f28r	21	5400	2962	48	46	919	1
515	f28r	21	5460	2963	30	24	467	1
516	f28r	21	5464	2965	83	53	905	1
517	f28r	21	5555	2959	30	33	496	1
518	f28r	21	5589	2960	29	29	612	1
519	f28r	21	5630	2967	52	60	1078	1
520	f28r	21	5691	2965	27	26	395	1
521	f28r	21	5721	2953	50	41	805	1
522	f28r	21	5777	2964	44	26	636	1
523	f28r	21	5825	2967	63	50	1075	1
524	f28r	21	5910	2971	50	44	778	1
525	f28r	21	5968	2963	40	31	550	1
526	f28r	21	6000	2961	47	43	719	1
527	f28r	21	6058	2929	59	67	1156	1
528	f28r	21	6120	2961	37	33	682	1
529	f28r	21	6168	2968	30	27	524	1
530	f28r	21	6207	2969	47	27	649	1
531	f28r	21	6260	2969	47	30	943	1
532	f28r	21	6321	2959	33	41	676	1
533	f28r	21	6365	2967	44	47	704	1
534	f28r	21	6414	2968	31	29	431	1
535	f28r	21	6465	2971	32	58	740	1
536	f28r	21	6507	2963	45	47	804	1
537	f28r	21	6559	2943	64	44	956	1
538	f28r	21	6636	2955	96	33	2031	1
539	f28r	21	6747	2960	38	30	459	1
540	f28r	21	6775	2952	46	41	629	1
541	f28r	21	6814	2962	57	48	736	1
542	f28r	21	6881	2959	42	44	654	1
543	f28r	21	6939	2954	32	29	382	1
544	f28r	21	6968	2923	52	59	946	1
545	f28r	21	7024	2953	28	35	458	1
546	f28r	21	7067	2958	67	54	784	1
547	f28r	21	7071	2955	28	27	585	1
548	f28r	21	7142	2958	28	21	361	1
549	f28r	21	7179	2957	69	52	738	1
550	f28r	21	7182	2955	35	25	597	1
551	f28r	21	7262	2956	45	48	667	1
552	f28r	21	7327	2955	36	55	742	1
553	f28r	21	7375	2920	30	59	909	1
554	f28r	21	7412	2956	40	18	370	1
555	f28r	21	7453	2958	69	46	617	1
556	f28r	21	7456	2953	34	27	357	1
557	f28r	21	7534	2953	26	26	303	1
558	f28r	21	7575	2942	42	37	692	1
559	f28r	21	7629	2960	30	20	337	1
560	f28r	21	7668	2959	41	23	475	1
561	f28r	21	7711	2958	50	48	874	1
562	f28r	21	7771	2961	30	38	451	1
563	f28r	22	4984	3067	89	63	1130	1
564	f28r	22	5080	3065	42	43	849	1
565	f28r	22	5129	3071	29	47	662	1
566	f28r	22	5167	3063	50	40	1067	1
567	f28r	22	5225	3072	42	29	920	1
568	f28r	22	5260	3064	44	45	803	1
569	f28r	22	5316	3038	70	83	2199	1
570	f28r	22	5362	3077	70	38	1246	1
571	f28r	22	5443	3059	51	42	907	1
572	f28r	22	5499	3073	30	26	399	1
573	f28r	22	5545	3043	30	58	1079	1
574	f28r	22	5585	3070	49	44	983	1
575	f28r	22	5641	3075	24	25	417	1
576	f28r	22	5675	3075	26	24	496	1
577	f28r	22	5708	3078	47	44	802	1
578	f28r	22	5766	3077	29	32	525	1
579	f28r	22	5811	3076	46	49	804	1
580	f28r	22	5861	3062	54	53	827	1
581	f28r	22	5922	3065	35	39	755	1
582	f28r	22	5979	3064	38	33	823	1
583	f28r	22	6026	3071	25	28	491	1
584	f28r	22	6058	3076	29	24	439	1
585	f28r	22	6086	3061	52	58	739	1
586	f28r	22	6133	3066	38	45	724	1
587	f28r	22	6172	3076	61	49	1347	1
588	f28r	22	6241	3072	36	30	474	1
589	f28r	22	6290	3074	44	27	603	1
590	f28r	22	6347	3076	29	54	666	1
591	f28r	22	6388	3074	48	46	721	1
592	f28r	22	6443	3069	50	48	888	1
593	f28r	22	6508	3070	45	51	835	1
594	f28r	22	6573	3073	46	24	507	1
595	f28r	22	6623	3073	36	25	412	1
596	f28r	22	6670	3073	42	44	694	1
597	f28r	22	6724	3055	47	43	887	1
598	f28r	22	6784	3073	41	27	448	1
599	f28r	22	6835	3074	40	41	648	1
600	f28r	22	6885	3072	25	24	329	1
601	f28r	22	6909	3070	49	35	677	1
602	f28r	22	6981	3074	29	55	612	1
603	f28r	22	7027	3032	43	61	873	1
604	f28r	22	7069	3066	29	33	403	1
605	f28r	22	7110	3062	26	42	568	1
606	f28r	22	7149	3070	48	38	685	1
607	f28r	22	7199	3036	63	59	1146	1
608	f28r	22	7274	3069	28	55	680	1
609	f28r	22	7315	3065	42	50	648	1
610	f28r	22	7370	3063	27	31	360	1
611	f28r	22	7414	3064	40	30	690	2
612	f28r	22	7462	3067	38	21	401	1
613	f28r	22	7503	3067	39	39	613	1
614	f28r	22	7555	3065	43	46	653	1
615	f28r	22	7609	3063	48	45	773	1
616	f28r	22	7669	3056	28	37	609	1
617	f28r	22	7716	3032	32	65	1082	1
618	f28r	22	7753	3069	48	21	589	1
619	f28r	23	5036	3180	34	33	723	1
620	f28r	23	5074	3191	28	25	515	1
621	f28r	23	5091	3174	50	63	922	1
622	f28r	23	5133	3179	41	44	809	1
623	f28r	23	5168	3186	56	45	749	1
624	f28r	23	5236	3183	39	48	765	1
625	f28r	23	5285	3178	28	32	439	1
626	f28r	23	5332	3186	37	24	386	1
627	f28r	23	5371	3178	52	44	949	1
628	f28r	23	5429	3186	29	21	457	1
629	f28r	23	5451	3172	44	48	850	1
630	f28r	23	5501	3188	43	26	656	1
631	f28r	23	5556	3185	42	27	858	1
