sid	cluster	dist
224	2	4.344
225	55	4.898
226	1	4.477
227	11	3.377
228	8	3.139
229	61	4.302
230	56	4.573
231	18	4.311
232	3	3.396
233	32	4.705
234	19	4.264
235	53	4.747
236	7	3.503
237	15	3.895
238	10	3.724
239	3	3.586
240	35	5.767
241	8	3.589
242	7	4.858
243	15	5.234
244	4	3.843
245	32	5.911
246	8	3.372
247	43	5.181
248	35	5.659
249	63	5.029
250	55	5.178
251	4	2.962
252	6	5.100
253	63	5.112
254	3	4.421
255	25	3.683
256	11	7.194
257	70	4.395
258	35	3.467
259	60	4.211
260	31	10.164
261	41	7.189
262	25	3.937
263	41	8.279
264	45	5.989
265	28	5.627
266	41	7.360
267	33	7.073
268	38	6.267
269	25	5.823
270	2	5.287
271	22	6.275
272	56	4.386
273	54	6.455
274	1	6.316
275	66	3.575
276	50	5.848
277	17	5.332
278	3	4.351
279	20	3.494
280	56	6.828
281	12	2.608
282	6	3.851
283	15	4.107
284	62	3.677
285	32	4.894
286	11	6.158
287	55	3.960
288	15	3.182
289	8	4.905
290	55	3.212
291	7	4.015
292	18	5.764
293	60	3.589
294	67	4.037
295	10	3.648
296	71	5.564
297	32	3.745
298	19	3.870
299	35	3.814
300	2	4.245
301	55	3.383
302	25	4.091
303	23	6.019
304	4	4.140
305	71	3.773
306	17	4.056
307	19	6.473
308	43	5.496
309	32	4.645
310	43	4.567
311	18	6.212
312	62	4.215
313	7	4.109
314	17	4.140
315	2	3.983
316	55	3.099
317	26	4.385
318	6	5.047
319	23	6.245
320	1	5.038
321	58	3.988
322	71	6.238
323	61	6.386
324	59	6.604
325	34	8.926
326	5	3.016
327	65	4.126
328	40	5.820
329	38	8.012
330	61	8.590
331	40	7.452
332	67	6.585
333	55	4.322
334	7	6.436
335	17	4.925
336	15	3.884
337	4	2.460
338	26	5.383
339	43	5.194
340	10	3.291
341	15	3.118
342	2	5.032
343	69	5.108
344	50	4.447
345	17	6.038
346	23	5.214
347	6	5.063
348	23	7.265
349	66	6.226
350	10	5.866
351	11	5.654
352	25	4.527
353	32	4.514
354	19	5.816
355	53	4.208
356	7	4.047
357	35	4.388
358	50	4.883
359	3	3.885
360	8	3.609
361	43	4.164
362	70	4.265
363	19	5.333
364	7	3.606
365	17	3.879
366	71	3.219
367	21	4.241
368	10	3.395
369	25	4.757
370	38	3.723
371	53	4.746
372	32	4.639
373	60	3.244
374	50	3.405
375	44	5.153
376	12	2.511
377	12	2.976
378	18	4.200
379	50	4.403
380	7	5.553
381	18	4.670
382	8	6.699
383	41	5.861
384	61	4.189
385	67	4.229
386	55	3.965
387	39	3.157
388	58	4.207
389	14	3.752
390	54	5.333
391	25	5.843
392	13	3.830
393	23	4.841
394	17	4.852
395	11	4.911
396	23	4.349
397	25	3.959
398	23	4.903
399	32	4.394
400	2	4.380
401	20	3.444
402	60	5.843
403	38	8.429
404	15	3.487
405	43	5.872
406	47	4.987
407	18	4.294
408	50	4.651
409	3	3.965
410	3	4.314
411	18	3.919
412	23	5.342
413	10	4.914
414	53	5.006
415	47	5.179
416	32	6.592
417	2	3.705
418	23	4.750
419	18	2.803
420	23	3.815
421	42	6.896
422	10	4.476
423	3	4.013
424	18	5.949
425	12	5.275
426	18	3.589
427	70	4.539
428	28	4.366
429	62	4.873
430	7	4.397
431	66	4.724
432	17	4.613
433	4	2.964
434	7	4.570
435	28	4.821
436	61	6.135
437	4	4.021
438	25	4.612
439	7	4.867
440	42	7.523
441	14	3.876
442	28	6.292
443	12	3.455
444	42	4.913
445	36	6.102
446	25	4.883
447	4	5.949
448	50	5.322
449	26	4.785
450	63	6.118
451	8	3.374
452	61	3.941
453	25	5.013
454	15	5.702
455	55	4.901
456	52	3.956
457	7	2.879
458	6	5.409
459	2	3.470
460	47	6.034
461	17	5.498
462	55	4.165
463	11	3.322
464	53	2.932
465	17	5.113
466	62	4.525
467	55	4.159
468	21	5.269
469	10	2.924
470	8	3.664
471	43	4.300
472	61	5.807
473	1	4.053
474	10	3.614
475	7	5.503
476	35	3.574
477	11	4.449
478	15	3.602
479	43	4.216
480	4	3.577
481	7	4.795
482	28	3.064
483	62	6.093
484	51	6.079
485	44	4.506
486	14	3.386
487	19	4.419
488	39	5.228
489	35	4.397
490	29	4.888
491	4	3.363
492	6	3.469
493	8	3.165
494	55	3.718
495	10	3.991
496	19	5.572
497	48	4.187
498	32	3.131
499	65	4.650
500	28	3.593
501	51	7.591
502	3	4.113
503	17	6.504
504	36	9.444
505	60	3.983
506	50	4.473
507	10	5.612
508	68	2.975
509	23	7.227
510	28	6.738
511	43	5.986
512	11	5.265
513	55	4.067
514	8	3.416
515	6	3.471
516	68	3.022
517	50	5.586
518	56	5.445
519	1	5.464
520	50	6.054
521	42	5.203
522	10	3.651
523	3	4.954
524	18	3.734
525	71	3.242
526	20	4.914
527	35	5.585
528	61	6.871
529	30	4.940
530	15	5.155
531	53	4.195
532	13	5.575
533	25	3.191
534	29	5.922
535	66	3.865
536	25	5.113
537	51	6.077
538	40	6.078
539	32	3.507
540	47	4.132
541	12	2.488
542	18	4.219
543	71	5.063
544	17	4.187
545	23	4.379
546	12	2.895
547	6	6.119
548	6	5.342
549	12	2.763
550	21	7.203
551	8	2.737
552	66	6.255
553	37	4.727
554	28	5.261
555	68	3.793
556	67	4.339
557	62	5.006
558	61	4.047
559	30	6.229
560	10	4.891
561	3	3.906
562	32	4.141
563	68	4.035
564	25	6.320
565	66	4.621
566	26	4.485
567	53	5.676
568	20	4.059
569	59	8.375
570	40	6.173
571	42	4.453
572	67	5.221
573	37	4.453
574	7	5.074
575	6	3.591
576	56	7.255
577	18	3.765
578	23	6.718
579	18	3.798
580	38	4.447
581	70	6.360
582	48	5.909
583	56	4.849
584	6	5.462
585	43	3.551
586	55	5.098
587	51	7.728
588	11	3.739
589	10	3.010
590	66	2.890
591	8	3.062
592	7	3.044
593	18	4.458
594	15	3.823
595	67	5.639
596	18	5.628
597	54	6.891
598	4	3.686
599	18	4.269
600	50	6.232
601	7	4.990
602	39	4.088
603	35	4.961
604	29	5.241
605	19	4.355
606	8	4.007
607	17	4.311
608	39	3.167
609	5	4.473
610	63	4.341
611	14	4.425
612	28	4.752
613	23	6.638
614	5	3.524
615	8	2.994
616	19	6.342
617	37	5.315
618	15	4.740
619	56	7.414
620	6	4.988
621	43	4.328
622	55	4.040
623	12	3.493
624	8	3.660
625	29	5.529
626	4	5.152
627	7	3.988
628	6	5.009
629	8	3.263
630	10	4.203
631	53	4.287
632	69	5.755
633	62	3.573
634	17	3.938
635	11	2.807
636	6	4.536
637	5	7.062
638	32	3.740
639	7	3.792
640	25	5.894
641	2	5.249
642	12	4.662
643	15	4.780
644	2	4.639
645	52	4.980
646	32	3.954
647	55	6.021
648	35	4.207
649	29	3.853
650	70	4.650
651	7	3.643
652	25	3.708
653	32	4.387
654	2	3.796
655	4	2.807
656	6	6.300
657	7	4.958
658	55	4.845
659	10	5.422
660	18	7.013
661	64	6.891
662	39	4.007
663	5	4.533
664	63	4.514
665	53	4.640
666	42	5.735
667	23	6.673
668	5	4.295
669	3	4.571
670	55	5.477
671	35	4.445
672	11	3.582
673	6	3.627
674	62	4.168
675	3	5.084
676	13	7.726
677	38	7.349
678	15	3.604
679	9	8.953
680	67	6.365
681	47	4.493
682	37	3.611
683	61	5.728
684	6	3.041
685	40	6.170
686	18	4.790
687	39	3.635
688	67	6.028
689	21	4.262
690	15	4.140
691	43	5.205
692	37	5.022
693	30	5.364
694	68	7.019
695	18	3.421
696	55	5.114
697	15	6.087
698	8	3.449
699	71	3.529
700	25	3.062
701	26	5.712
702	50	5.301
703	63	5.067
704	19	4.140
705	10	4.258
706	61	4.445
707	10	4.643
708	18	3.309
709	7	3.996
710	51	7.572
711	23	6.623
712	17	5.608
713	54	7.338
714	15	4.288
715	50	5.298
716	71	3.216
717	51	5.828
718	40	5.186
719	4	3.245
720	6	5.662
721	8	3.853
722	54	7.509
723	15	4.939
724	61	5.015
725	19	5.532
726	7	4.934
727	35	5.120
728	52	3.414
729	7	4.416
730	13	7.270
731	59	5.380
732	55	4.431
733	4	5.383
734	7	4.508
735	62	4.278
736	39	4.201
737	18	3.514
738	43	3.634
739	53	4.181
740	32	4.079
741	29	4.844
742	53	3.655
743	6	6.336
744	50	5.200
745	3	4.821
746	25	5.845
747	48	4.470
748	20	4.189
749	3	4.206
750	35	6.285
751	11	4.096
752	21	7.838
753	10	4.093
754	25	4.476
755	43	5.562
756	40	7.351
757	11	3.797
758	10	4.041
759	66	3.460
760	18	4.245
761	51	6.606
762	40	5.241
763	3	3.764
764	17	3.741
765	59	5.741
766	7	3.455
767	64	5.623
768	37	7.422
769	40	6.847
770	51	7.295
771	53	6.817
772	25	4.716
773	26	5.319
774	15	4.927
775	50	5.536
776	7	5.540
777	66	6.351
778	56	6.265
779	50	4.727
780	19	7.348
781	23	6.251
782	6	5.398
783	70	3.461
784	26	6.470
785	43	5.609
786	32	3.927
787	61	5.758
788	55	3.307
789	1	4.549
790	2	4.549
791	70	3.574
792	6	6.218
793	5	6.997
794	25	4.573
795	39	2.785
796	25	4.090
797	50	5.525
798	32	5.413
799	3	4.582
800	29	4.085
801	9	2.802
802	43	8.305
803	40	5.141
804	51	6.948
805	4	3.751
806	42	6.041
807	62	4.685
808	7	5.993
809	12	3.632
810	1	5.123
811	51	6.018
812	6	4.477
813	10	3.479
814	8	3.125
815	25	3.968
816	66	4.002
817	25	3.753
818	23	3.924
819	42	9.138
820	2	6.756
821	29	3.418
822	18	4.140
823	10	5.447
824	52	5.618
825	43	4.823
826	18	4.200
827	62	4.128
828	3	7.271
829	12	5.126
830	18	4.313
831	53	3.638
832	56	5.393
833	6	5.843
834	43	5.473
835	53	4.628
836	17	5.878
837	7	7.699
838	10	5.664
839	25	4.051
840	3	4.438
841	55	4.370
842	15	5.535
843	67	5.505
844	53	3.574
845	56	7.514
846	6	4.528
847	43	3.815
848	70	5.980
849	29	4.015
850	6	4.121
851	10	4.086
852	2	3.183
853	53	4.345
854	70	5.735
855	21	3.334
856	25	3.817
857	43	4.863
858	28	4.146
859	10	4.038
860	11	4.018
861	13	4.574
862	32	3.885
863	47	4.158
864	17	5.998
865	2	4.275
866	54	4.206
867	7	3.611
868	6	6.873
869	2	5.966
870	70	5.766
871	11	4.851
872	30	5.771
873	11	4.770
874	1	4.499
875	26	4.461
876	43	3.378
877	18	6.453
878	2	7.740
879	25	3.710
880	13	4.312
881	34	4.868
882	32	3.994
883	38	3.799
884	4	3.100
885	8	3.635
886	28	3.254
887	4	4.418
888	42	5.232
889	48	5.612
890	66	3.319
891	18	3.908
892	29	4.275
893	23	5.158
894	6	8.664
895	19	5.914
896	10	4.200
897	8	3.272
898	8	3.140
899	17	4.355
900	71	5.041
901	32	6.030
902	8	4.107
903	4	5.028
904	3	5.333
905	6	5.808
906	13	5.160
907	10	4.436
908	53	3.822
909	69	4.998
910	67	4.211
911	17	4.448
912	71	4.583
913	60	4.399
914	67	3.317
915	44	5.992
916	71	4.083
917	17	4.737
918	70	5.038
919	7	3.314
920	6	5.053
921	21	6.301
922	53	3.903
923	41	7.512
924	65	4.216
925	25	3.227
926	43	3.707
927	19	4.894
928	39	3.706
929	25	3.508
930	11	6.633
931	58	3.879
932	3	4.086
933	59	5.955
934	65	6.437
935	37	7.669
936	40	7.573
937	54	3.045
938	7	4.648
939	17	4.277
940	61	5.782
941	4	3.217
942	36	4.308
943	59	5.219
944	11	3.915
945	18	4.879
946	39	3.603
947	25	3.995
948	37	4.321
949	15	4.443
950	50	4.350
951	11	3.591
952	11	5.346
953	67	5.452
954	7	3.342
955	12	3.509
956	30	4.216
957	39	2.774
958	10	3.038
959	53	4.132
960	55	3.525
961	35	2.878
962	66	4.392
963	18	4.820
964	4	2.832
965	17	5.060
966	63	3.688
967	53	4.605
968	56	4.811
969	25	4.654
970	32	4.795
971	2	4.298
972	67	4.748
973	28	5.965
974	56	5.415
975	25	3.214
976	17	4.898
977	4	3.473
978	6	5.882
979	3	5.812
980	37	5.107
981	18	4.394
982	2	2.838
983	10	3.094
984	61	5.009
985	18	5.487
986	58	4.804
987	12	2.433
988	23	5.724
989	6	3.666
990	66	3.631
991	26	4.918
992	14	3.129
993	65	3.631
994	69	4.304
995	0	4.424
996	49	6.701
997	9	5.644
998	45	5.436
999	18	5.645
1000	29	5.423
1001	18	4.017
1002	29	3.052
1003	4	5.258
1004	6	4.297
1005	10	3.908
1006	52	5.125
1007	43	4.507
1008	12	3.431
1009	48	4.630
1010	6	6.257
1011	50	5.383
1012	15	4.662
1013	56	6.196
1014	18	3.296
1015	2	3.376
1016	13	3.683
1017	39	4.100
1018	35	4.281
1019	23	4.171
1020	6	4.401
1021	38	4.978
1022	39	3.172
1023	18	2.818
1024	30	5.945
1025	62	4.388
1026	35	7.198
1027	71	6.735
1028	5	4.127
1029	63	5.011
1030	70	4.124
1031	3	4.590
1032	35	2.990
1033	63	4.004
1034	6	6.851
1035	10	3.831
1036	61	4.569
1037	56	4.728
1038	48	5.599
1039	39	3.630
1040	5	3.041
1041	12	3.216
1042	6	3.594
1043	37	3.974
1044	58	3.707
1045	5	8.089
1046	5	3.536
1047	4	4.558
1048	47	5.729
1049	14	4.089
1050	56	7.692
1051	1	5.809
1052	29	3.496
1053	55	5.447
1054	18	4.439
1055	6	5.307
1056	62	5.119
1057	66	4.609
1058	18	3.418
1059	53	3.781
1060	7	4.044
1061	17	5.286
1062	23	4.661
1063	15	4.602
1064	36	6.928
1065	25	3.971
1066	4	4.440
1067	15	3.885
1068	50	4.317
1069	7	4.039
1070	59	6.963
1071	40	6.198
1072	32	3.760
1073	8	3.623
1074	69	5.136
1075	50	3.786
1076	17	5.328
1077	68	2.512
1078	18	3.572
1079	39	3.368
1080	10	3.690
1081	14	2.978
1082	55	4.564
1083	38	6.132
1084	37	6.118
1085	45	3.657
1086	5	4.305
1087	0	5.387
1088	7	6.031
1089	6	4.622
1090	37	4.131
1091	42	5.815
1092	58	3.296
1093	20	5.113
1094	22	5.808
1095	14	4.027
1096	14	3.307
1097	28	3.226
1098	8	3.423
1099	49	5.418
1100	5	4.002
1101	60	4.433
1102	0	4.630
1103	1	5.390
1104	31	9.143
1105	47	6.543
1106	6	8.414
1107	68	4.695
1108	1	5.850
1109	37	4.518
1110	10	3.144
1111	3	7.533
1112	35	5.806
1113	32	4.754
1114	70	4.043
1115	23	6.628
1116	6	6.195
1117	43	3.579
1118	66	3.831
1119	18	3.770
1120	26	4.964
1121	53	3.657
1122	25	3.737
1123	3	8.361
1124	17	4.411
1125	12	2.527
1126	18	5.927
1127	50	4.382
1128	3	3.862
1129	18	3.550
1130	11	3.029
1131	55	3.279
1132	3	6.059
1133	35	4.721
1134	23	4.823
1135	10	3.559
1136	71	4.027
1137	25	3.897
1138	17	5.807
1139	71	4.309
1140	23	4.987
1141	6	6.581
1142	58	2.809
1143	38	4.568
1144	71	4.557
1145	32	4.496
1146	54	4.407
1147	60	4.925
1148	62	3.766
1149	8	4.981
1150	68	4.303
1151	48	5.092
1152	56	4.467
1153	5	2.233
1154	43	5.621
1155	41	7.203
1156	0	5.755
1157	28	3.386
1158	56	5.170
1159	42	5.922
1160	58	3.679
1161	56	9.920
1162	56	9.134
1163	43	5.760
1164	47	4.481
1165	32	5.786
1166	47	4.835
1167	24	4.589
1168	50	4.723
1169	17	4.510
1170	32	4.227
1171	43	5.267
1172	25	5.028
1173	51	6.813
1174	35	4.868
1175	53	4.640
1176	20	4.198
1177	10	3.482
1178	9	4.874
1179	45	5.903
1180	61	5.819
1181	6	5.753
1182	10	2.835
1183	29	4.329
1184	15	4.122
1185	10	4.680
1186	19	5.076
1187	53	4.722
1188	15	5.312
1189	23	5.688
1190	4	3.084
1191	70	4.885
1192	35	5.298
1193	60	3.484
1194	67	4.019
1195	25	4.164
1196	4	4.678
1197	18	4.764
1198	50	3.586
1199	30	4.477
1200	4	4.600
1201	17	4.429
1202	62	5.758
1203	8	4.363
1204	9	6.515
1205	45	3.452
1206	48	4.659
1207	37	4.413
1208	28	4.690
1209	9	5.762
1210	67	4.583
1211	8	3.715
1212	66	4.933
1213	3	5.171
1214	28	4.775
1215	56	5.061
1216	8	3.291
1217	2	5.526
1218	41	9.248
1219	65	4.610
1220	61	5.523
1221	6	8.759
1222	31	6.799
1223	3	3.982
1224	25	6.043
1225	30	6.029
1226	10	6.504
1227	43	5.228
1228	71	4.367
1229	26	4.803
1230	66	3.683
1231	18	3.551
1232	20	4.168
1233	15	3.309
1234	50	4.632
1235	20	3.435
1236	55	3.190
1237	15	3.671
1238	67	4.793
1239	47	6.178
1240	17	4.281
1241	11	5.230
1242	61	4.718
1243	15	4.605
1244	56	5.694
1245	71	4.622
1246	60	5.753
1247	67	5.499
1248	9	7.493
1249	26	5.243
1250	47	4.834
1251	6	3.945
1252	50	4.690
1253	28	3.421
1254	58	3.359
1255	54	3.771
1256	17	4.866
1257	43	4.354
1258	50	3.916
1259	28	4.361
1260	58	6.146
1261	5	4.145
1262	4	5.022
1263	22	7.001
1264	41	8.848
1265	67	5.377
1266	12	4.997
1267	5	2.760
1268	49	3.749
1269	5	3.625
1270	1	4.878
1271	33	5.592
1272	34	4.928
1273	65	4.763
1274	44	4.936
1275	28	5.589
1276	57	6.239
1277	42	7.330
1278	34	7.175
1279	41	7.314
1280	3	4.478
1281	35	4.617
1282	23	4.761
1283	10	4.096
1284	18	2.786
1285	7	4.305
1286	53	2.536
1287	56	6.182
1288	30	6.277
1289	23	5.605
1290	6	6.438
1291	3	3.507
1292	10	3.341
1293	18	4.130
1294	3	2.887
1295	6	6.835
1296	47	5.446
1297	15	4.083
1298	67	3.581
1299	47	4.508
1300	17	4.230
1301	39	3.065
1302	10	3.678
1303	7	6.696
1304	26	4.727
1305	52	3.508
1306	5	3.725
1307	2	4.892
1308	14	4.089
1309	33	5.199
1310	49	4.730
1311	5	3.684
1312	67	5.651
1313	34	5.205
1314	7	5.202
1315	71	7.702
1316	9	5.708
1317	45	6.409
1318	5	4.019
1319	49	4.652
1320	58	3.983
1321	14	4.779
1322	8	5.678
1323	33	5.615
1324	31	5.952
1325	57	7.400
1326	57	5.582
1327	28	5.775
1328	67	8.906
1329	33	5.077
1330	33	6.574
1331	0	5.320
1332	56	7.207
1333	49	5.501
1334	31	9.038
1335	8	7.136
1336	18	4.140
1337	7	4.688
1338	53	4.858
1339	67	4.358
1340	25	4.803
1341	37	5.456
1342	7	3.210
1343	32	3.521
1344	47	4.520
1345	46	5.777
1346	30	5.220
1347	39	4.227
1348	62	3.544
1349	26	4.465
1350	71	5.889
1351	25	4.189
1352	3	3.409
1353	39	3.656
1354	8	3.014
1355	8	3.302
1356	17	3.949
1357	43	3.766
1358	44	5.451
1359	3	3.293
1360	21	5.314
1361	28	4.549
1362	38	4.660
1363	32	5.286
1364	70	4.691
1365	21	5.264
1366	58	7.024
1367	25	4.759
1368	43	4.273
1369	8	3.116
1370	2	4.779
1371	55	4.772
1372	35	4.897
1373	38	7.204
1374	49	4.406
1375	7	5.564
1376	5	3.523
1377	22	6.643
1378	11	5.773
1379	33	5.866
1380	11	5.907
1381	1	5.700
1382	51	5.900
1383	22	8.290
1384	58	6.982
1385	33	5.447
1386	33	5.076
1387	31	7.863
1388	1	5.599
1389	59	6.511
1390	29	3.176
1391	10	2.552
1392	24	5.870
1393	50	4.914
1394	35	4.698
1395	9	6.306
1396	46	5.371
1397	50	6.272
1398	56	5.961
1399	30	3.440
1400	71	3.508
1401	18	3.523
1402	23	4.567
1403	21	6.674
1404	12	3.206
1405	18	5.612
1406	32	4.427
1407	71	4.903
1408	20	4.626
1409	3	2.916
1410	35	2.867
1411	3	3.679
1412	25	3.343
1413	69	6.767
1414	50	5.121
1415	26	5.281
1416	71	5.156
1417	32	4.327
1418	47	4.443
1419	43	4.336
1420	18	3.344
1421	53	4.512
1422	17	3.558
1423	36	3.655
1424	22	5.123
1425	58	5.320
1426	7	3.107
1427	5	3.857
1428	11	4.849
1429	67	7.561
1430	56	3.881
1431	37	4.636
1432	1	3.960
1433	2	4.859
1434	70	3.884
1435	5	4.255
1436	43	4.105
1437	14	4.552
1438	34	4.903
1439	45	5.190
1440	22	4.761
1441	49	4.888
1442	38	7.283
1443	0	7.762
1444	39	4.457
1445	25	5.248
1446	63	5.398
1447	49	4.444
1448	8	5.411
1449	14	3.902
1450	54	4.283
1451	48	5.998
1452	38	9.369
1453	25	3.181
1454	70	3.991
1455	8	4.659
1456	31	8.425
1457	26	7.327
1458	39	2.840
1459	17	5.497
1460	38	5.951
1461	30	5.226
1462	50	3.730
1463	36	5.845
1464	10	5.078
1465	69	6.335
1466	67	5.587
1467	26	5.677
1468	16	9.248
1469	12	4.174
1470	6	5.303
1471	37	4.026
1472	42	5.093
1473	10	4.122
1474	70	6.581
1475	21	5.802
1476	10	5.380
1477	18	5.905
1478	2	5.168
1479	66	5.237
1480	27	7.599
1481	27	6.408
1482	27	6.224
1483	16	7.012
1484	16	5.824
1485	27	5.627
1486	52	8.285
1487	46	5.450
1488	16	6.471
1489	16	6.355
1490	66	6.608
1491	27	6.901
1492	27	6.663
1493	16	7.638
1494	27	9.262
1495	27	5.985
1496	16	8.802
1497	27	7.448
1498	57	5.997
1499	27	6.219
1500	22	8.076
1501	0	6.210
1502	34	7.196
1503	33	6.116
1504	59	8.981
1505	33	6.220
1506	57	5.374
1507	22	6.836
1508	33	5.555
1509	33	5.848
1510	33	5.674
1511	33	5.410
1512	22	6.006
1513	0	5.186
1514	49	4.936
1515	44	7.548
1516	34	9.233
1517	51	6.805
1518	0	6.090
1519	56	9.901
1520	61	5.154
1521	22	4.737
1522	58	6.979
1523	11	5.296
1524	1	5.866
1525	2	6.119
1526	70	4.498
1527	5	4.273
1528	38	6.956
1529	54	4.301
1530	34	5.028
1531	43	4.179
1532	66	5.233
1533	3	4.057
1534	5	4.337
1535	38	3.641
1536	30	5.367
1537	50	3.835
1538	28	6.827
1539	10	3.851
1540	3	2.886
1541	4	3.631
1542	30	4.344
1543	71	4.035
1544	4	3.390
1545	7	4.662
1546	10	3.660
1547	43	5.728
1548	71	5.350
1549	12	2.740
1550	18	3.461
1551	62	4.659
1552	7	5.754
1553	23	6.243
1554	16	7.172
1555	57	8.691
1556	39	8.306
1557	33	7.718
1558	33	6.133
1559	49	4.545
1560	61	6.970
1561	22	5.545
1562	58	4.411
1563	33	4.221
1564	33	5.409
1565	57	5.081
1566	38	4.582
1567	23	5.800
1568	22	5.098
1569	23	6.705
1570	1	5.107
1571	44	4.998
1572	11	3.557
1573	29	4.798
1574	5	4.240
1575	38	4.028
1576	11	3.552
1577	32	4.140
1578	47	4.713
1579	55	6.131
1580	28	5.834
1581	67	4.416
1582	47	3.955
1583	4	3.351
1584	42	4.662
1585	67	5.410
1586	3	3.388
1587	12	4.198
1588	18	2.877
1589	23	6.480
1590	10	3.944
1591	25	7.007
1592	64	5.173
1593	67	4.737
1594	68	4.930
1595	48	5.292
1596	4	5.580
1597	42	6.715
1598	67	5.064
1599	3	4.891
1600	46	5.188
1601	18	4.372
1602	62	5.281
1603	16	7.467
1604	27	5.723
1605	46	5.808
1606	35	6.229
1607	29	5.810
1608	31	7.754
1609	64	8.077
1610	4	4.911
1611	34	5.435
1612	14	6.530
1613	42	4.968
1614	38	4.804
1615	69	5.810
1616	67	4.542
1617	44	5.663
1618	68	3.064
1619	5	2.996
1620	0	5.049
1621	71	4.852
1622	55	5.870
1623	4	3.550
1624	34	5.538
1625	50	4.904
1626	4	4.433
1627	3	3.091
1628	8	3.196
1629	2	4.238
1630	66	5.258
1631	3	3.218
1632	35	6.047
1633	39	3.771
1634	18	3.037
1635	53	4.553
1636	35	3.542
1637	24	5.651
1638	62	4.520
1639	32	3.948
1640	71	4.819
1641	30	4.558
1642	71	3.943
1643	1	6.341
1644	10	4.100
1645	46	6.265
1646	53	4.319
1647	47	6.284
1648	35	5.869
1649	13	5.705
1650	27	4.822
1651	32	5.571
1652	2	5.475
1653	16	5.545
1654	15	6.197
1655	16	8.280
1656	42	8.305
1657	10	6.248
1658	27	7.160
1659	66	6.958
1660	27	4.661
1661	16	6.125
1662	46	6.396
1663	27	5.090
