n	page	line	x	type	d1	passA	passB
83	f28r	13	7392	ankh	0.441	.	.
84	f28r	13	7452	S	0.664	.	.
85	f28r	13	7483	ankh	0.662	.	.
86	f28r	13	7527	I	0.547	.	.
87	f28r	13	7569	lam	0.599	.	.
88	f28r	13	7625	psi	0.625	.	.
89	f28r	13	7679	lam	0.659	.	.
90	f28r	13	7707	l	0.670	.	.
91	f28r	13	7751	db	0.677	.	.
92	f28r	14	5029	7	0.571	Rk	7
93	f28r	14	5056	l	0.584	rho	C04
94	f28r	14	5114	lam	0.234	v	C10
95	f28r	14	5154	I	0.577	dag	I
96	f28r	14	5172	rho	0.603	z	C01
97	f28r	14	5237	f	0.606	f	f
98	f28r	14	5300	psi	0.662	lam	C13
99	f28r	14	5355	T	0.063	rho	C11
100	f28r	14	5401	sq	0.160	v	?
101	f28r	14	5456	arr	0.768	phi	C06
102	f28r	14	5507	l	0.610	del	C04
103	f28r	14	5557	o	0.123	o	o
104	f28r	14	5592	lam	0.608	boxx	C10
105	f28r	14	5631	l	0.721	rho	C04
106	f28r	14	5684	T	0.101	T	C11
107	f28r	14	5727	arr	0.726	phi	C01
108	f28r	14	5777	db	0.647	lam	-
109	f28r	14	5827	X	0.682	boxx?	C08
110	f28r	14	5880	v	0.699	o	.
111	f28r	14	5916	q	0.048	o	.
112	f28r	14	5957	I	0.614	phi	.
113	f28r	14	6005	box	0.069	v	.
114	f28r	14	6058	psi	0.178	rho	C13
115	f28r	14	6121	o	0.634	6	o
116	f28r	14	6154	ankh	0.299	n	C06
117	f28r	14	6203	v	0.601	v	v
118	f28r	14	6228	l	0.669	star	C04
119	f28r	14	6271	arr	0.616	.	C01
120	f28r	14	6325	db	0.723	.	C11
121	f28r	14	6359	lam	0.067	.	C10
122	f28r	14	6418	n	0.688	.	n
123	f28r	14	6453	v	0.149	.	v
124	f28r	14	6488	psi	0.203	.	C06
125	f28r	14	6543	o	0.479	.	o
126	f28r	14	6576	db	0.165	.	C11
127	f28r	14	6626	rho	0.226	.	C01
128	f28r	14	6627	v	0.582	.	v
129	f28r	14	6700	w	0.153	.	-
130	f28r	14	6757	X	0.480	.	-
131	f28r	14	6799	rho	0.237	.	C09
132	f28r	14	6827	f	0.740	.	f
133	f28r	14	6895	E	0.305	.	C15
134	f28r	14	6945	o	0.820	.	o
135	f28r	14	6977	v	0.662	.	v
136	f28r	14	7004	arr	0.631	.	C07
137	f28r	14	7054	z	0.244	.	z
138	f28r	14	7102	I	0.688	.	I
139	f28r	14	7159	l	0.742	.	C04
140	f28r	14	7209	T	0.355	.	T
141	f28r	14	7251	o	0.327	.	o
142	f28r	14	7282	lam	0.461	.	-
143	f28r	14	7332	psi	0.623	.	-
144	f28r	14	7385	v	0.591	.	v
145	f28r	14	7423	dbar	0.404	.	C11
146	f28r	14	7502	arr	0.607	.	C01
147	f28r	14	7560	o	0.747	.	o
148	f28r	14	7583	f	0.589	.	f
149	f28r	14	7639	l	0.237	.	C04
150	f28r	14	7676	S	0.635	.	S
151	f28r	14	7722	o	0.271	.	o
152	f28r	14	7748	rho	0.817	.	C01
153	f28r	15	4989	rho	0.544	rho	C01
154	f28r	15	5075	psi	0.711	phi	C06
155	f28r	15	5120	box	0.680	boxx	C09
156	f28r	15	5169	o	0.602	o	o
157	f28r	15	5196	lam	0.676	lam	C10
158	f28r	15	5245	psi	0.535	phi	C13
159	f28r	15	5290	lam	0.568	lam	C10
160	f28r	15	5329	l	0.853	rho	C04
161	f28r	15	5376	arr	0.663	phi	C06
162	f28r	15	5432	db	0.601	dag	C11
163	f28r	15	5488	o	0.083	o	o
164	f28r	15	5525	I	0.571	I	I
165	f28r	15	5563	f	0.724	f	f
166	f28r	15	5616	lam	0.043	lam	C10
167	f28r	15	5660	I	0.000	I	I
168	f28r	15	5721	o	0.667	o	o
169	f28r	15	5756	q	0.579	rho	C01
170	f28r	15	5789	v	0.571	v	C02
171	f28r	15	5816	db	0.745	dag	C11
172	f28r	15	5854	f	0.083	f	f
173	f28r	15	5913	R	0.254	Rk	R
174	f28r	15	5963	T	0.000	T	T
175	f28r	15	6004	H	0.192	lam	C10
176	f28r	15	6050	v	0.149	v	v|v
177	f28r	15	6075	arr	0.000	phi	C06|C01
178	f28r	15	6124	rho	0.713	rho	C01
179	f28r	15	6184	psi	0.015	phi	C13|C06
180	f28r	15	6232	v	0.328	v	v|v
181	f28r	15	6261	arr	0.105	phi	C06|C01
182	f28r	15	6337	q	0.640	rho	C01|C01
183	f28r	15	6373	z	0.445	z	z|z
184	f28r	15	6422	A	0.173	A	A|A
185	f28r	15	6477	psi	0.619	phi	C06|C06
186	f28r	15	6524	arr	0.218	phi	C06|C06
187	f28r	15	6602	o	0.147	o	o|o
188	f28r	15	6623	L	0.151	x	C08|x
189	f28r	15	6701	dbar	0.192	dag	C11
190	f28r	15	6778	f	0.273	.	f
191	f28r	15	6830	z	0.241	.	z
192	f28r	15	6879	I	0.635	.	I
193	f28r	15	6926	lam	0.581	.	C10
194	f28r	15	6974	l	0.533	.	C04
195	f28r	15	7015	arr	0.430	.	-
196	f28r	15	7071	db	0.653	.	C11
197	f28r	15	7135	n	0.332	.	n
198	f28r	15	7170	v	0.655	.	v
199	f28r	15	7207	psi	0.256	.	C06
200	f28r	15	7267	th	0.296	.	C19
201	f28r	15	7302	I	0.581	.	I
202	f28r	15	7353	psi	0.691	.	C06
203	f28r	15	7398	f	0.631	.	f
204	f28r	15	7458	lam	0.577	.	C10
205	f28r	15	7498	z	0.435	.	z
206	f28r	15	7541	three	0.891	.	3
207	f28r	15	7587	psi	0.644	.	C13
208	f28r	15	7632	f	0.735	.	f
209	f28r	15	7689	l	0.688	.	C04
210	f28r	15	7721	rho	0.124	.	C01
211	f28r	15	7785	7	1.097	.	.
212	f28r	16	5027	lam	0.700	lam	C10
213	f28r	16	5076	dbar	0.629	dag	-
214	f28r	16	5154	db	0.715	phi	C11
215	f28r	16	5184	f	0.617	f	f
216	f28r	16	5240	lam	0.558	lam	-
217	f28r	16	5296	lam	0.590	lam	C10
218	f28r	16	5348	o	0.666	o	o
219	f28r	16	5383	o	0.762	o	C19
220	f28r	16	5417	v	0.000	v	C02
221	f28r	16	5453	lam	0.724	lam	C10
222	f28r	16	5493	psi	0.520	phi	C13
223	f28r	16	5535	f	0.432	f	f
224	f28r	16	5579	l	0.663	lam	C04
225	f28r	16	5632	ankh	0.000	-	-
226	f28r	16	5687	lam	0.182	-	-
227	f28r	16	5738	psi	0.602	phi	C06
228	f28r	16	5795	Del	0.107	del	C07
229	f28r	16	5847	E	0.154	eps	E
230	f28r	16	5884	psi	0.598	phi	C06
231	f28r	16	5933	arr	0.403	phi	C06
232	f28r	16	6004	7	0.720	z	7
233	f28r	16	6049	l	0.248	lam	C04|C04
234	f28r	16	6096	box	0.687	box	C09|C09
235	f28r	16	6143	arr	0.124	phi	C06|C08
236	f28r	16	6200	z	0.275	z	z|z
237	f28r	16	6244	I	0.180	I	I|I
238	f28r	16	6293	arr	0.260	phi	C06|C06
239	f28r	16	6353	db	0.709	dag	C11
240	f28r	16	6388	l	0.778	lam	C04|f
241	f28r	16	6440	arr	0.631	phi	C06|C10
242	f28r	16	6484	z	0.726	z	z|z
243	f28r	16	6536	T	0.596	T	T|3
244	f28r	16	6593	7	0.885	z	7|f
245	f28r	16	6628	l	0.714	lam	C04|C04
246	f28r	16	6681	f	0.682	f	f|?
247	f28r	16	6732	db	0.588	.	.
248	f28r	16	6778	lam	0.616	.	.
249	f28r	16	6813	l	0.542	.	.
250	f28r	16	6862	T	0.335	.	.
251	f28r	16	6911	o	0.301	.	.
252	f28r	16	6941	lam	0.580	.	.
253	f28r	16	6994	arr	0.605	.	.
254	f28r	16	7056	psi	0.230	.	.
255	f28r	16	7108	lam	0.704	.	.
256	f28r	16	7143	l	0.397	.	.
257	f28r	16	7183	db	0.125	.	.
258	f28r	16	7236	n	0.285	.	.
259	f28r	16	7321	psi	0.259	.	.
260	f28r	16	7385	rho	0.754	.	.
261	f28r	16	7425	z	0.585	.	.
262	f28r	16	7468	f	0.988	.	.
263	f28r	16	7508	f	0.849	.	.
264	f28r	16	7577	psi	0.746	.	.
265	f28r	16	7626	f	0.661	.	.
266	f28r	16	7685	o	0.657	.	.
267	f28r	16	7723	E	0.470	.	.
268	f28r	16	7755	l	0.726	.	.
269	f28r	17	5026	ankh	0.862	.	C06
270	f28r	17	5081	q	0.107	.	C01
271	f28r	17	5115	v	0.645	v	C02
272	f28r	17	5141	db	0.737	phi	C11
273	f28r	17	5193	arr	0.619	phi	C06
274	f28r	17	5245	l	0.100	v	C04
275	f28r	17	5299	E	0.840	phi	E
276	f28r	17	5321	rho	0.487	rho	C01
277	f28r	17	5391	o	0.122	A	o
278	f28r	17	5426	z	0.295	phi	z
279	f28r	17	5471	v	0.120	o	v
280	f28r	17	5513	7	0.749	x	7
281	f28r	17	5555	lam	0.637	dag	C10
282	f28r	17	5579	l	0.218	f	C04
283	f28r	17	5629	z	0.178	z	z
284	f28r	17	5678	X	0.856	v	x
285	f28r	17	5729	l	0.093	lam	C04
286	f28r	17	5787	arr	0.179	phi	C06
287	f28r	17	5853	psi	0.694	dag	C13
288	f28r	17	5909	n	0.304	n	n
289	f28r	17	5949	v	0.237	v	v
290	f28r	17	5989	I	0.194	I	I
291	f28r	17	6031	lam	0.611	v	C10
292	f28r	17	6083	7	0.103	z	7
293	f28r	17	6131	l	0.094	3	C04
294	f28r	17	6167	db	0.119	phi	C11
295	f28r	17	6206	f	0.233	f	f
296	f28r	17	6253	l	0.274	lam	C04
297	f28r	17	6307	psi	0.747	rho	C13
298	f28r	17	6364	S	0.689	z	s
299	f28r	17	6400	T	0.481	.	T
300	f28r	17	6445	lam	0.164	.	C10
301	f28r	17	6500	db	0.157	.	C11
302	f28r	17	6542	l	0.731	.	l
303	f28r	17	6583	f	0.742	.	f
304	f28r	17	6635	7	0.589	.	7
305	f28r	17	6667	f	0.265	.	f
306	f28r	17	6727	psi	0.789	.	C13
307	f28r	17	6784	v	0.272	.	v
308	f28r	17	6812	arr	0.617	.	C06
309	f28r	17	6859	db	0.201	.	C11
310	f28r	17	6899	f	0.309	.	f
311	f28r	17	6939	l	0.312	.	C04
312	f28r	17	6997	X	0.245	.	x
313	f28r	17	7045	o	0.234	.	o
314	f28r	17	7080	S	0.785	.	s
315	f28r	17	7112	ankh	0.197	.	C06
316	f28r	17	7163	I	0.225	.	I
317	f28r	17	7212	lam	0.753	.	C10
318	f28r	17	7273	lamL	0.792	.	C10
319	f28r	17	7331	cross4	0.161	.	o
320	f28r	17	7452	heart	0.131	.	C17
321	f28r	17	7520	psi	0.310	.	C13
322	f28r	17	7575	l	0.313	.	C04
323	f28r	17	7615	m	0.256	.	m
324	f28r	17	7697	zslash	0.119	.	C18
325	f28r	17	7770	lamL	0.865	.	C10
326	f28r	18	5020	X	1.007	box	X
327	f28r	18	5074	v	0.693	phi	v
328	f28r	18	5100	l	0.226	I	C04
329	f28r	18	5144	arr	0.816	phi	C06
330	f28r	18	5194	db	0.731	dag	C11
331	f28r	18	5246	z	0.438	z	z
332	f28r	18	5298	T	0.177	T	T
333	f28r	18	5356	X	0.732	-	x
334	f28r	18	5403	f	0.695	-	f
335	f28r	18	5451	I	0.000	-	I
336	f28r	18	5501	z	0.140	z	z
337	f28r	18	5537	f	0.697	f	f
338	f28r	18	5602	n	0.238	dag	n
339	f28r	18	5641	v	0.000	phi	v
340	f28r	18	5666	db	0.757	z	C11
341	f28r	18	5728	S	0.117	T	s
342	f28r	18	5768	o	0.134	o	o
343	f28r	18	5784	three	0.907	phi	3
344	f28r	18	5840	q	0.712	lam	C06
345	f28r	18	5879	I	0.588	I	I
346	f28r	18	5926	lam	0.516	o	C10
347	f28r	18	5972	psi	0.599	n	C13
348	f28r	18	6038	7	0.712	v	7
349	f28r	18	6070	l	0.582	phi	C04
350	f28r	18	6129	box	0.160	rho	C09
351	f28r	18	6181	arr	0.260	z	C06
352	f28r	18	6231	db	0.175	f	C11
353	f28r	18	6275	v	0.000	f	v
354	f28r	18	6307	arr	0.237	-	C06
355	f28r	18	6371	psi	0.796	phi	C13
356	f28r	18	6422	f	0.184	f	f
357	f28r	18	6469	l	0.233	eps	C04
358	f28r	18	6528	l	0.175	lam	C04
359	f28r	18	6568	arr	0.220	.	C06
360	f28r	18	6619	db	0.207	.	C11
361	f28r	18	6669	lam	0.427	.	C10
362	f28r	18	6720	th	0.558	.	C19
363	f28r	18	6762	I	0.185	.	I
364	f28r	18	6814	psi	0.853	.	C13
365	f28r	18	6866	f	0.281	.	f
366	f28r	18	6941	box	0.669	.	C09
367	f28r	18	6988	7	0.685	.	7
368	f28r	18	7037	n	0.284	.	n
369	f28r	18	7078	v	0.183	.	v
370	f28r	18	7107	X	0.164	.	x
371	f28r	18	7128	rho	0.244	.	C01
372	f28r	18	7182	rho	0.341	.	C01
373	f28r	18	7251	psi	0.495	.	C06
374	f28r	18	7297	v	0.286	.	v
375	f28r	18	7324	arr	0.786	.	C06
376	f28r	18	7393	psi	0.635	.	C13
377	f28r	18	7441	f	0.747	.	f
378	f28r	18	7487	Del	0.181	.	C07
379	f28r	18	7538	v	0.381	.	v
380	f28r	18	7564	l	0.218	.	C04
381	f28r	18	7626	q	0.202	.	C01
382	f28r	18	7670	I	0.628	.	I
383	f28r	18	7721	box	0.151	.	C09
384	f28r	18	7765	l	0.829	.	C04
385	f28r	19	5027	psi	0.813	phi	C13
386	f28r	19	5087	l	0.115	rho	C04
387	f28r	19	5128	S	0.103	v	s
388	f28r	19	5169	db	0.656	dag	C11
389	f28r	19	5209	lam	0.572	-	C10
390	f28r	19	5256	S	0.000	-	s
391	f28r	19	5293	psi	0.000	phi	C13
392	f28r	19	5350	S	0.000	-	s
393	f28r	19	5389	7	0.604	lam	7
394	f28r	19	5428	f	0.062	eps	f
395	f28r	19	5470	l	0.123	rho	C04
396	f28r	19	5528	n	0.771	o	h
397	f28r	19	5572	bz	0.074	-	z
398	f28r	19	5627	z	0.131	z	z
399	f28r	19	5671	f	0.698	v	f
400	f28r	19	5714	rho	0.732	lam	C01
401	f28r	19	5782	psi	0.583	z	C13
402	f28r	19	5839	v	0.180	x	v
403	f28r	19	5865	arr	0.277	lam	C06
404	f28r	19	5927	arr	0.638	phi	C06
405	f28r	19	5989	psi	0.538	psi	C13
406	f28r	19	6044	S	0.183	v	s
407	f28r	19	6090	I	0.610	I	I
408	f28r	19	6139	box	0.724	z	C09
409	f28r	19	6177	l	0.628	lam	C04
410	f28r	19	6237	7	0.150	dag	7
411	f28r	19	6274	f	0.386	f	f
412	f28r	19	6340	S	0.210	lam	s
413	f28r	19	6385	psi	0.157	psi	C13
414	f28r	19	6444	S	0.205	s	s
415	f28r	19	6486	sq	0.757	lam	C04
416	f28r	19	6541	I	0.588	dag	I
417	f28r	19	6585	arr	0.182	lam	C06
418	f28r	19	6661	psi	0.686	z	C13
419	f28r	19	6715	rho	0.827	?	C01
420	f28r	19	6776	psi	0.486	.	C06
421	f28r	19	6828	l	0.472	.	C04
422	f28r	19	6870	z	0.488	.	z
423	f28r	19	6913	v	0.559	.	v
424	f28r	19	6944	arr	0.612	.	C06
425	f28r	19	7011	q	0.699	.	C01
426	f28r	19	7043	db	0.113	.	C11
427	f28r	19	7093	T	0.188	.	T
428	f28r	19	7136	arr	0.644	.	C01
429	f28r	19	7193	pi	1.088	.	C10
430	f28r	19	7280	T	0.504	.	T
431	f28r	19	7335	psi	0.626	.	C13
432	f28r	19	7387	arr	0.628	.	C01
433	f28r	19	7439	sq	0.699	.	-
434	f28r	19	7499	box	0.372	.	C09
435	f28r	19	7545	z	0.589	.	z
436	f28r	19	7561	rho	0.216	.	C01
437	f28r	19	7623	sq	0.218	.	-
438	f28r	19	7674	A	0.591	.	A
439	f28r	19	7729	psi	0.676	.	C13
440	f28r	20	5025	n	0.933	.	n
441	f28r	20	5074	v	0.545	.	v
442	f28r	20	5106	X	0.348	x	x
443	f28r	20	5161	lam	0.528	lam	C10
444	f28r	20	5203	psi	0.575	phi	C13
445	f28r	20	5258	Del	0.000	x	C07
446	f28r	20	5309	psi	0.639	f	C13
447	f28r	20	5369	I	0.072	I	I
448	f28r	20	5407	l	0.724	n	C04
449	f28r	20	5464	dbar	0.020	dag	C11
450	f28r	20	5545	arr	0.141	s	C06
451	f28r	20	5609	o	0.687	o	o
452	f28r	20	5634	f	0.126	I	f
453	f28r	20	5674	l	0.663	lam	C04
454	f28r	20	5744	db	0.764	psi	C11
455	f28r	20	5778	l	0.106	z	C04
456	f28r	20	5835	lam	0.052	lam	C10
457	f28r	20	5889	box	0.054	box	o
458	f28r	20	5932	db	0.636	z	C11
459	f28r	20	5987	v	0.000	v	v
460	f28r	20	6005	l	0.180	phi	C04
461	f28r	20	6081	th	0.246	-	C19
462	f28r	20	6124	I	0.196	-	I
463	f28r	20	6169	psi	0.699	psi	C13
464	f28r	20	6215	f	0.255	f	f
465	f28r	20	6284	Del	0.671	-	C07
466	f28r	20	6316	ankh	0.257	lam	C01
467	f28r	20	6368	I	0.303	lam	I
468	f28r	20	6411	arr	0.710	phi	C06
469	f28r	20	6467	db	0.456	dag	C11
470	f28r	20	6526	lam	0.512	lam	C10
471	f28r	20	6566	z	0.061	theta	z
472	f28r	20	6605	f	0.255	f	f
473	f28r	20	6669	T	0.181	.	T
474	f28r	20	6711	arr	0.881	.	C06
475	f28r	20	6774	z	0.245	.	z
476	f28r	20	6820	v	0.685	.	v
477	f28r	20	6836	x	0.181	.	x
478	f28r	20	6915	X	0.320	.	C20
479	f28r	20	6972	box	0.216	.	C09
480	f28r	20	7029	l	0.335	.	C04
481	f28r	20	7080	q	0.662	.	C01
482	f28r	20	7111	db	0.632	.	C11
483	f28r	20	7159	lam	0.503	.	C10
484	f28r	20	7203	T	0.111	.	T
485	f28r	20	7247	o	0.338	.	o
486	f28r	20	7277	arr	0.726	.	C06
487	f28r	20	7329	l	0.537	.	C04
488	f28r	20	7374	I	0.514	.	I
489	f28r	20	7426	l	0.650	.	C04
490	f28r	20	7467	w	0.402	.	C14
491	f28r	20	7519	7	0.479	.	7
492	f28r	20	7563	l	0.647	.	C04
493	f28r	20	7597	z	0.231	.	z
494	f28r	20	7630	x	0.292	.	x
495	f28r	20	7691	arr	0.627	.	-
496	f28r	20	7739	db	0.726	.	C11
497	f28r	20	7776	lam	1.022	.	C10
498	f28r	21	5022	n	0.558	psi	n
499	f28r	21	5065	v	0.198	s	v
500	f28r	21	5099	I	0.665	dag	I
501	f28r	21	5100	rho	0.109	lam	C01
502	f28r	21	5190	S	0.855	s	s
503	f28r	21	5226	z	0.701	z	z
504	f28r	21	5266	f	0.730	f	f
505	f28r	21	5323	lam	0.555	lam	C10
506	f28r	21	5355	l	0.187	hz(?)	C04
507	f28r	21	5400	arr	0.705	z	C06
508	f28r	21	5460	o	0.083	f	o
509	f28r	21	5464	rho	0.036	rho	C01
510	f28r	21	5555	v	0.643	v	v
511	f28r	21	5589	E	0.000	phi	E
512	f28r	21	5630	ankh	0.572	phi	C06
513	f28r	21	5691	v	0.652	psi	v
514	f28r	21	5721	sq	0.054	-	C10
515	f28r	21	5777	I	0.143	I	I
516	f28r	21	5825	arr	0.688	lam	C06
517	f28r	21	5910	psi	0.395	z	C13
518	f28r	21	5968	lam	0.103	f	C10
519	f28r	21	6000	l	0.716	s	C04
520	f28r	21	6058	db	0.788	psi	C11|C11
521	f28r	21	6120	Del	0.769	s	C07|C07
522	f28r	21	6168	o	0.283	rho	o|o
523	f28r	21	6207	I	0.623	I	I|I
524	f28r	21	6260	box	0.188	-	C09|C09
525	f28r	21	6320	l	0.724	phi	C04|C04
526	f28r	21	6365	psi	0.186	psi	C13|C13
527	f28r	21	6414	lam	0.542	f	C10|C10
528	f28r	21	6465	q	0.221	.	C01|C01
529	f28r	21	6507	psi	0.758	.	C06|C06
530	f28r	21	6559	lamL	0.086	.	C10|C20
531	f28r	21	6636	box3	0.098	.	C20|C20
532	f28r	21	6747	7	0.320	.	7
533	f28r	21	6775	l	0.175	.	C04
534	f28r	21	6814	rho	0.182	.	C01
535	f28r	21	6881	psi	0.714	.	C13
536	f28r	21	6939	lam	0.552	.	C10
537	f28r	21	6968	db	0.133	.	C11
538	f28r	21	7024	S	0.200	.	s
539	f28r	21	7067	rho	0.156	.	C01
540	f28r	21	7071	o	0.896	.	o
541	f28r	21	7142	o	0.677	.	C19
542	f28r	21	7179	rho	0.252	.	C01
543	f28r	21	7182	o	0.802	.	-
544	f28r	21	7262	psi	0.648	.	C13
545	f28r	21	7327	q	0.778	.	-
546	f28r	21	7375	R	0.648	.	R
547	f28r	21	7412	z	0.703	.	z
548	f28r	21	7452	rho	0.374	.	-
549	f28r	21	7456	v	0.302	.	v
550	f28r	21	7534	v	0.613	.	v
551	f28r	21	7575	Del	0.276	.	C07
552	f28r	21	7629	o	0.617	.	o
553	f28r	21	7668	I	0.642	.	I
554	f28r	21	7711	arr	0.178	.	C01
555	f28r	21	7771	7	0.274	.	7
556	f28r	22	4984	rho	0.026	.	C01
557	f28r	22	5080	psi	0.890	.	C06
558	f28r	22	5129	q	0.639	.	C13
559	f28r	22	5167	X	0.056	.	x
560	f28r	22	5225	box	0.739	.	C09
561	f28r	22	5260	l	0.166	.	C04
562	f28r	22	5316	Tbox	0.072	.	C11
563	f28r	22	5362	m	0.148	.	m
564	f28r	22	5443	sq	0.140	.	C10
565	f28r	22	5499	v	0.632	.	v
566	f28r	22	5545	R	0.386	n	h
567	f28r	22	5585	arr	0.689	v	C06
568	f28r	22	5641	o	0.114	x	o
569	f28r	22	5675	E	0.972	lam	E
570	f28r	22	5708	psi	0.146	psi	C13
571	f28r	22	5766	S	0.723	del	s
572	f28r	22	5811	psi	0.222	psi	C13
573	f28r	22	5861	f	0.131	I	f
574	f28r	22	5922	l	0.778	lam	C04
575	f28r	22	5979	th	0.723	dag	C21
576	f28r	22	6026	E	0.346	phi	E
577	f28r	22	6058	o	0.644	o	o|o
578	f28r	22	6086	f	0.174	f	f|f
579	f28r	22	6133	l	0.698	lam	C04|C04
580	f28r	22	6172	L	0.146	dag	?|?
581	f28r	22	6241	lam	0.281	lam	C10|C10
582	f28r	22	6290	I	0.221	rho	I|I
583	f28r	22	6347	q	0.172	o	C01|C01
584	f28r	22	6388	psi	0.643	v	C13|C13
585	f28r	22	6443	arr	0.264	lam	C06
586	f28r	22	6508	psi	0.687	psi	C13|C13
587	f28r	22	6573	z	0.282	z	z|z
588	f28r	22	6623	v	0.528	f	v|v
589	f28r	22	6669	psi	0.735	phi	C06|C13
590	f28r	22	6724	zslash	0.234	.	C18
591	f28r	22	6784	T	0.295	.	T
592	f28r	22	6835	psi	0.621	.	-
593	f28r	22	6885	v	0.702	.	v
594	f28r	22	6908	arr	0.620	.	C01
595	f28r	22	6981	q	0.586	.	C01
596	f28r	22	7027	db	0.694	.	-
597	f28r	22	7069	lam	0.593	.	-
598	f28r	22	7110	l	0.153	.	C04
599	f28r	22	7149	arr	0.264	.	C01
600	f28r	22	7198	db	0.452	.	C11
601	f28r	22	7274	q	0.550	.	C01
602	f28r	22	7315	psi	0.688	.	C13
603	f28r	22	7370	lam	0.355	.	C10
604	f28r	22	7413	box	0.630	.	C09
605	f28r	22	7462	z	0.664	.	z
606	f28r	22	7503	three	0.677	.	3
607	f28r	22	7555	psi	0.486	.	C13
608	f28r	22	7608	arr	0.621	.	C01
609	f28r	22	7669	l	0.733	.	C04
610	f28r	22	7716	R	0.678	.	R
611	f28r	22	7753	z	0.591	.	z
612	f28r	23	5036	E	0.962	s	E
613	f28r	23	5074	o	0.238	I	o
614	f28r	23	5091	f	0.084	box	f
615	f28r	23	5133	l	0.190	lam	C04
616	f28r	23	5168	rho	0.138	rho	C01
617	f28r	23	5236	psi	0.738	psi	C13
618	f28r	23	5285	lam	0.656	lam	C10
619	f28r	23	5332	T	0.701	T	T
620	f28r	23	5371	arr	0.065	phi	C01
621	f28r	23	5429	o	0.130	o	o
622	f28r	23	5451	l	0.755	lam	C04
623	f28r	23	5501	I	0.616	I	I
