id	status	record_type	holder_raw	city	shelfmark_code	date_range	cleartext_lang	plaintext_lang	number_of_pages	source_page	ours_hit	bourdeau_hit	aymeloglu_hit	held_by
9905	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 383–388.	Madrid	BRAH_Signatura-9/34_10	-	Spanish		12	1	queue		catalogue/decode-ranked.md	ours:queue
9904	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 379–382.	Madrid	BRAH_Signatura-9/34_9	-			8	1	queue		catalogue/decode-ranked.md	ours:queue
9903	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 351–352.	Madrid	BRAH_Signatura-9/34_8	-			4	1	queue		catalogue/decode-ranked.md	ours:queue
9902	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 313–315.	Madrid	BRAH_Signatura-9/34_7	1525 -	Spanish		6	1	queue		catalogue/decode-ranked.md	ours:queue
9901	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 300–303.	Madrid	BRAH_Signatura-9/34_6	1525 -	Spanish		8	1	queue		catalogue/decode-ranked.md	ours:queue
9900	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 271–272.	Madrid	BRAH_Signatura-9/34_5	1525 -			3	1	queue		catalogue/decode-ranked.md	ours:queue
9899	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 194–195.	Madrid	BRAH_Signatura-9/34_4	1525 -	Spanish		4	1	queue		catalogue/decode-ranked.md	ours:queue
9896	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/34, f. 6–9.	Madrid	BRAH_Signatura-9/34_1	1525 -	Spanish		8	1	queue		catalogue/decode-ranked.md	ours:queue
9894	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 504–508.	Madrid	BRAH_Signatura-9/31_25	1524 -	Spanish		10	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9892	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 481–482	Madrid	BRAH_Signatura-9/31_23	1524 -	Spanish		4	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9891	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 361–364	Madrid	BRAH_Signatura-9/31_22	1524 -	Spanish		8	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9889	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 320–321.	Madrid	BRAH_Signatura-9/31_20	1524 -	Spanish		4	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9888	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 308–309.	Madrid	BRAH_Signatura-9/31_19	1524 -	Spanish		4	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9887	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 274–277.	Madrid	BRAH_Signatura-9/31_18	-	Spanish		8	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9886	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 201–203.	Madrid	BRAH_Signatura-9/31_17	-	Spanish		6	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9885	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 197–199.	Madrid	BRAH_Signatura-9/31_16	-	Spanish		6	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9883	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 168–169.	Madrid	BRAH_Signatura-9/31_14	1424 -	Spanish		4	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9882	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 144–147.	Madrid	BRAH_Signatura-9/31_13	1424 -	Spanish		8	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9880	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 137.	Madrid	BRAH_Signatura-9/31_11	1424 -	Spanish		2	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9879	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 135.	Madrid	BRAH_Signatura-9/31_10	1424 -	Spanish		2	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9878	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 130–131.	Madrid	BRAH_Signatura-9/31_9	1424 -	Spanish		4	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9877	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 128–129.	Madrid	BRAH_Signatura-9/31_8	1424 -	Spanish		4	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9876	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 96.	Madrid	BRAH_Signatura-9/31_7	-	Spanish		2	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9875	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 88–95.	Madrid	BRAH_Signatura-9/31_6	-	Spanish		16	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9874	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 86–87.	Madrid	BRAH_Signatura-9/31_5	-			4	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9873	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/31, f. 79–86.	Madrid	BRAH_Signatura-9/31_4	-	Spanish		16	1	queue	sessa1524[read in part]	catalogue/decode-ranked.md	ours:queue
9869	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 444–445.	Madrid	BRAH_Signatura-9/30_9	-	Spanish		4	1	queue	lopehurtado1523[read in part];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9868	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 430–431.	Madrid	BRAH_Signatura-9/30_8	-	Spanish		4	1	queue	lopehurtado1523[read in part];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9867	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 351.	Madrid	BRAH_Signatura-9/30_7	-			2	2	queue	lopehurtado1523[read in part];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9866	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 285–286.	Madrid	BRAH_Signatura-9/30_6	-	Spanish		4	2	queue	lopehurtado1523[read in part];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9846	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/30, f. 130–133.	Madrid	BRAH_Signatura-9/30_3	-	Spanish		4	2	queue	lopehurtado1523[read in part];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9843	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 490–493.	Madrid	BRAH_Signatura-9/29_11	1523 -	Spanish		8	2	queue		catalogue/decode-ranked.md	ours:queue
9842	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 484–489.	Madrid	BRAH_Signatura-9/29_10	1523 -	Spanish		12	2	queue		catalogue/decode-ranked.md	ours:queue
9840	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 279–284.	Madrid	BRAH_Signatura-9/29_8	1523 -	Spanish		6	2	queue		catalogue/decode-ranked.md	ours:queue
9839	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 88–89.	Madrid	BRAH_Signatura-9/29_7	1523 -	Spanish		4	2	queue		catalogue/decode-ranked.md	ours:queue
9838	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 86–87.	Madrid	BRAH_Signatura-9/29_6	1523 -	Spanish		4	2	queue		catalogue/decode-ranked.md	ours:queue
9837	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 70–71.	Madrid	BRAH_Signatura-9/29_5	1523 -	Spanish		4	2	queue		catalogue/decode-ranked.md	ours:queue
9835	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 55–56.	Madrid	BRAH_Signatura-9/29_3	-	Spanish		4	2	queue		catalogue/decode-ranked.md	ours:queue
9833	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/29, f. 29–33.	Madrid	BRAH_Signatura-9/29_1	-	Spanish		10	2	queue		catalogue/decode-ranked.md	ours:queue
9775	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 641–642.	Madrid	BRAH_Signatura-9/28_44	1523 -	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9771	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 622–629.	Madrid	BRAH_Signatura-9/28_42	1523 -	Spanish		16	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9770	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 572–574.	Madrid	BRAH_Signatura-9/28_41	1523 -	Spanish		6	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9769	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 569–571.	Madrid	BRAH_Signatura-9/28_40	1523 -	Spanish		6	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9767	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 563–564.	Madrid	BRAH_Signatura-9/28_38	1523 -	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9765	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 512–515.	Madrid	BRAH_Signatura-9/28_36	1523 -	Spanish		8	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9764	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 505–510.	Madrid	BRAH_Signatura-9/28_35	1523 -	Spanish		12	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9695	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 339–340.	Madrid	BRAH_Signatura-9/28_33	1523 -	Spanish		6	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9694	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 499–503.	Madrid	BRAH_Signatura-9/28_34	1523 -	Spanish		10	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9692	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 313–318.	Madrid	BRAH_Signatura-9/28_31	1523 -	Spanish		12	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9690	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 226–228.	Madrid	BRAH_Signatura-9/28_29	1523 -	Spanish		6	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9689	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 224–226.	Madrid	BRAH_Signatura-9/28_28	1523 -	Spanish		6	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9688	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 209–211.	Madrid	BRAH_Signatura-9/28_27	1523 -	Spanish		6	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9687	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 199–208.	Madrid	BRAH_Signatura-9/28_26	1523 -	Spanish		20	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9686	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 197–198.	Madrid	BRAH_Signatura-9/28_25	1523 -	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9685	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 194–195.	Madrid	BRAH_Signatura-9/28_24	1523 -	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9684	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 187–194.	Madrid	BRAH_Signatura-9/28_23	1523 -	Spanish		16	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9683	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 171.	Madrid	BRAH_Signatura-9/28_22	1523 -	Spanish		1	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9677	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 148–152.	Madrid	BRAH_Signatura-9/28_22	1523 -	Spanish		10	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9675	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 97–98.	Madrid	BRAH_Signatura-9/28_20	1523 -	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9674	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 81–82.	Madrid	BRAH_Signatura-9/28_19	-	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9672	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 78–79.	Madrid	BRAH_Signatura-9/28_17	-	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9671	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 40–43.	Madrid	BRAH_Signatura-9/28_16	-	Spanish		8	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9670	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 18–24.	Madrid	BRAH_Signatura-9/28_15	1523 -	Spanish		10	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9669	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 18–24.	Madrid	BRAH_Signatura-9/28_14	-	Spanish		14	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9668	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 12–18.	Madrid	BRAH_Signatura-9/28_13	-	Spanish		14	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9667	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/28, f. 6–8.	Madrid	BRAH_Signatura-9/28_12	-	Spanish		4	2	queue	lopehurtado1523[read in part];sanchez1523[already solved];soria1523[read in part]	catalogue/decode-ranked.md	ours:queue
9666	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/27, f. 439–441.	Madrid	BRAH_Signatura-9/27_7	1523 -	Spanish		4	2		sessa1523[read in part]	catalogue/decode-ranked.md	bourdeau:sessa1523
9665	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/27, f. 437–438.	Madrid	BRAH_Signatura-9/27_6	1523 -	Spanish		4	2		sessa1523[read in part]	catalogue/decode-ranked.md	bourdeau:sessa1523
9664	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/27, f. 418–422.	Madrid	BRAH_Signatura-9/27_5	1523 -	Spanish		10	2		sessa1523[read in part]	catalogue/decode-ranked.md	bourdeau:sessa1523
9663	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/27, f. 327–341.	Madrid	BRAH_Signatura-9/27_4	-	Spanish		32	2		sessa1523[read in part]	catalogue/decode-ranked.md	bourdeau:sessa1523
9662	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/27, f. 308–326.	Madrid	BRAH_Signatura-9/27_3	1523 -	Spanish		38	2		sessa1523[read in part]	catalogue/decode-ranked.md	bourdeau:sessa1523
9661	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/27, f. 149–152.	Madrid	BRAH_Signatura-9/27_2	1523 -	Spanish		8	2		sessa1523[read in part]	catalogue/decode-ranked.md	bourdeau:sessa1523
9660	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/27, f. 141–147.	Madrid	BRAH_Signatura-9/27_1	1523 -	Spanish		14	2		sessa1523[read in part];sessa1524[read in part]	catalogue/decode-ranked.md	bourdeau:sessa1523
9659	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 401–405.	Madrid	BRAH_Signatura-9/26_28	-	Spanish		10	2	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9658	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 371–376.	Madrid	BRAH_Signatura-9/26_27	-			11	2	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9657	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 354–355.	Madrid	BRAH_Signatura-9/26_26	-			3	2	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9656	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 334–335.	Madrid	BRAH_Signatura-9/26_25	1522 -	Spanish		4	2	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9655	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 303.	Madrid	BRAH_Signatura-9/26_24	1522 -	Spanish		2	2	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9654	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 301–302.	Madrid	BRAH_Signatura-9/26_23	1522 -	Spanish		4	3	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9653	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 299–300.	Madrid	BRAH_Signatura-9/26_22	1522 -	Spanish		4	3	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9651	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 276–279.	Madrid	BRAH_Signatura-9/26_20	-	Spanish		8	3	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
9649	Non-decrypted	Cipher	Madrid ,Biblioteca de la Real Academia de la Historia, Signatura 9/26, f. 266–268.	Madrid	BRAH_Signatura-9/26_18	1522 -	Spanish		6	3	queue	lopehurtado[read in part];r9658[already solved];sanchez1522[read in part]	catalogue/decode-ranked.md	ours:queue
