leaf	line	pos	sign	conf
65	19	7	w:Pater	high
65	19	8	w:si	high
65	19	9	17	high
65	19	10	12	high
65	19	11	43	high
65	19	12	46	high
65	20	1	w:20	low
65	20	2	w:et,	low
65	20	3	w:quanta	high
65	20	4	w:et	high
65	20	5	w:qualia,	high
65	20	6	w:ac	high
65	20	7	w:quibus	high
65	20	8	w:modis	high
66	1	1	w:impostor	high
66	1	2	w:et	high
66	1	3	43	high
66	1	4	14	high
66	1	5	20	high
66	1	6	23	high
66	1	7	17	high
66	1	8	42	high
66	1	9	20	high
66	1	10	13	high
66	1	11	23	high
66	1	12	w:ille	high
66	2	1	w:et	high
66	2	2	w:fine	high
66	2	3	w:confcientia	high
66	2	4	29	high
66	2	5	12	high
66	2	6	23	high
66	2	7	41	high
66	2	8	12	high
66	2	9	51	high
66	2	10	43	high
66	2	11	w:us,	high
66	3	1	17	high
66	3	2	51	high
66	3	3	20	high
66	3	4	46	high
66	3	5	42	high
66	3	6	46	high
66	3	7	12	high
66	3	8	21	high
66	3	9	43	high
66	3	10	12	high
66	3	11	51	high
66	3	12	13	high
66	3	13	43	high
66	3	14	w:im-	high
66	4	1	w:importunitate	high
66	4	2	w:et	high
66	4	3	w:garrulitate,	high
66	4	4	w:in	high
66	4	5	w:mundo	high
66	4	6	w:ne=	high
66	5	1	w:mini	high
66	5	2	w:fecundus,	high
66	5	3	w:cum	high
66	5	4	w:addicto	high
66	5	5	w:fuo	high
66	5	6	w:focio,	high
66	5	7	25	high
66	5	8	w:er=	high
66	6	1	40	high
66	6	2	46	high
66	6	3	43	high
66	6	4	13	high
66	6	5	w:ac	high
66	6	6	25	high
66	6	7	23	high
66	6	8	13	high
66	6	9	42	high
66	6	10	46	high
66	6	11	20	high
66	6	12	13	high
66	6	13	23	high
66	6	14	14	high
66	7	1	w:+	low
66	7	2	w:Datis	high
66	7	3	w:fub	high
66	7	4	w:202.	high
66	7	5	51	high
66	7	6	13	high
66	7	7	29	high
66	7	8	46	high
66	7	9	21	high
66	7	10	w:et	high
66	7	11	46	high
66	7	12	21	high
66	8	1	w:,,	low
66	8	2	20	high
66	8	3	46	high
66	8	4	w:afflicta	high
66	8	5	25	high
66	8	6	17	high
66	8	7	20	high
66	8	8	23	high
66	8	9	46	high
66	8	10	15	high
66	8	11	w:caufuit.	high
66	9	1	w:ac	high
66	9	2	w:illum	high
66	9	3	25	high
66	9	4	46	high
66	9	5	15	high
66	9	6	w:m	high
66	9	7	14	high
66	9	8	w:m	high
66	9	9	13	high
66	9	10	23	high
66	9	11	46	high
66	9	12	15	high
66	9	13	w:de=	high
66	10	1	40	high
66	10	2	12	high
66	10	3	51	high
66	10	4	42	high
66	10	5	20	high
66	10	6	21	high
66	10	7	w:m,	high
66	10	8	25	high
66	10	9	23	high
66	10	10	46	high
66	10	11	42	high
66	10	12	46	high
66	11	1	25	high
66	11	2	14	high
66	11	3	w:m,	high
66	11	4	21	high
66	11	5	14	high
66	11	6	23	high
66	11	7	29	high
66	11	8	17	high
66	11	9	51	high
66	11	10	12	high
66	11	11	w:m	high
66	11	12	21	high
66	11	13	14	high
66	12	1	43	high
66	12	2	12	high
66	12	3	19	high
66	12	4	46	high
66	12	5	20	high
66	12	6	w:quorum	high
66	12	7	w:mendacijs	high
66	12	8	w:et	high
66	12	9	43	high
66	12	10	14	high
66	13	1	42	high
66	13	2	14	high
66	13	3	25	high
66	13	4	20	high
66	13	5	46	high
66	13	6	13	high
66	13	7	51	high
66	13	8	46	high
66	13	9	29	high
66	13	10	w:us	high
66	13	11	w:pulchris	high
66	13	12	w:ver=	high
66	14	1	w:bis,	high
66	14	2	13	high
66	14	3	29	high
66	14	4	12	high
66	14	5	13	high
66	14	6	49	high
66	14	7	12	high
66	14	8	w:his	high
66	14	9	42	high
66	14	10	23	high
66	14	11	14	high
66	14	12	43	high
66	14	13	w:eas,	high
66	15	1	w:et	high
66	15	2	42	high
66	15	3	13	high
66	15	4	51	high
66	15	5	21	high
66	15	6	46	high
66	15	7	49	high
66	15	8	46	high
66	15	9	17	high
66	15	10	w:omnium	high
66	15	11	w:aliorum.	high
66	16	1	23	high
66	16	2	14	high
66	16	3	21	high
66	16	4	25	high
66	16	5	17	high
66	16	6	w:eas,	high
66	16	7	w:in	high
66	16	8	w:grandes	high
66	16	9	51	high
66	16	10	13	high
66	16	11	21	high
66	17	1	w:et	high
66	17	2	w:istam	high
66	17	3	50	high
66	17	4	46	high
66	17	5	21	high
66	17	6	14	high
66	17	7	23	high
66	17	8	17	high
66	17	9	50	high
66	17	10	25	high
66	17	11	17	high
66	17	12	20	high
66	17	13	23	high
66	17	14	46	high
66	18	1	w:,,	low
66	18	2	17	high
66	18	3	50	high
66	18	4	46	high
66	18	5	51	high
66	18	6	20	high
66	18	7	23	high
66	18	8	46	high
66	18	9	42	high
66	18	10	17	high
66	18	11	w:?it	high
66	18	12	43	high
66	18	13	46	high
66	18	14	w:4?:	low
66	19	1	40	high
66	19	2	46	high
66	19	3	42	high
66	19	4	12	high
66	19	5	49	high
66	19	6	20	high
66	19	7	17	high
66	19	8	w:tes.	high
66	19	9	w:O	high
66	19	10	w:si	high
66	19	11	46	high
66	19	12	51	high
66	19	13	20	high
66	19	14	w:e49.	high
66	20	1	w:,,	low
66	20	2	49	high
66	20	3	46	high
66	20	4	41	high
66	20	5	w:evehs?	high
67	1	1	49	high
67	1	2	46	high
67	1	3	41	high
67	1	4	w:ereti	low
67	1	5	25	high
67	1	6	23	high
67	1	7	13	high
67	1	8	50	high
67	1	9	46	high
67	1	10	21	high
67	1	11	21	high
67	1	12	46	high
67	1	13	13	high
67	1	14	w:nos,	high
67	2	1	w:quas	high
67	2	2	w:ab	high
67	2	3	w:illa	high
67	2	4	17	high
67	2	5	12	high
67	2	6	49	high
67	2	7	17	high
67	2	8	43	high
67	2	9	14	high
67	2	10	40	high
67	2	11	12	high
67	2	12	51	high
67	2	13	42	high
67	3	1	25	high
67	3	2	23	high
67	3	3	46	high
67	3	4	51	high
67	3	5	42	high
67	3	6	46	high
67	3	7	25	high
67	3	8	46	high
67	3	9	w:adducebant,	high
67	3	10	w:et	high
67	3	11	w:—	high
67	4	1	44	high
67	4	2	46	high
67	4	3	51	high
67	4	4	42	high
67	4	5	w:ducebant,	high
67	4	6	w:quod	medium
67	4	7	w:nunc	high
67	4	8	w:propter	high
67	5	1	w:illorum	high
67	5	2	w:iniquas	high
67	5	3	43	high
67	5	4	14	high
67	5	5	49	high
67	5	6	17	high
67	5	7	20	high
67	5	8	46	high
67	5	9	13	high
67	5	10	w:nos,	high
67	6	1	w:plura	high
67	6	2	40	high
67	6	3	17	high
67	6	4	49	high
67	6	5	21	high
67	6	6	17	high
67	6	7	w:sunt	high
67	6	8	42	high
67	6	9	13	high
67	6	10	50	high
67	6	11	25	high
67	6	12	w:er:	low
67	7	1	20	medium
67	7	2	17	medium
67	7	3	w:profecto	high
67	7	4	w:quddam	high
67	7	5	w:ad	high
67	7	6	w:risum	high
67	7	7	w:move=	high
67	8	1	w:vent,	medium
67	8	2	w:quddam	high
67	8	3	w:admirationem	high
67	8	4	w:causarent,	medium
67	9	1	w:quddam	high
67	9	2	w:vero,	high
67	9	3	w:pro	high
67	9	4	w:pudore,	high
67	9	5	w:silentio	high
67	9	6	w:obvol=	medium
67	10	1	w:vi	high
67	10	2	w:deberent.	high
67	10	3	w:Deus	high
67	10	4	w:instissimus	low
67	10	5	w:secun=	medium
67	11	1	w:dum	high
67	11	2	w:opera	high
67	11	3	w:et	high
67	11	4	w:conscientiam	medium
67	11	5	w:illorum,	high
67	11	6	w:de	high
67	12	1	12	high
67	12	2	46	high
67	12	3	51	high
67	12	4	43	high
67	12	5	46	high
67	12	6	42	high
67	12	7	20	medium
67	12	8	17	high
67	12	9	50	medium
67	12	10	21	high
67	12	11	12	medium
67	13	1	50	high
67	13	2	17	high
67	13	3	20	high
67	14	1	w:De	high
67	14	2	41	high
67	14	3	14	high
67	14	4	41	high
67	14	5	14	high
67	14	6	51	high
67	14	7	29	medium
67	14	8	46	high
67	14	9	13	high
67	14	10	w:fiat,	medium
67	14	11	w:quo	high
67	14	12	w:per	high
67	15	1	w:fraudes	high
67	15	2	w:unius	high
67	15	3	w:sui	high
67	15	4	w:falsi	high
67	15	5	w:Amici,	high
67	15	6	w:ab	high
67	15	7	w:ali=	medium
67	16	1	w:quo	high
67	16	2	w:iam	high
67	16	3	w:tempore	high
67	16	4	13	high
67	16	5	42	high
67	16	6	42	high
67	16	7	46	high
67	16	8	21	high
67	16	9	12	high
67	16	10	21	high
67	17	1	w:eiusq'	medium
67	17	2	42	high
67	17	3	17	high
67	17	4	25	high
67	17	5	12	high
67	17	6	20	high
67	17	7	w:in	high
67	17	8	w:rem	high
67	17	9	44	high
67	17	10	13	high
67	17	11	51	high
67	17	12	13	medium
67	18	1	20	medium
67	18	2	17	high
67	18	3	23	high
67	18	4	46	high
67	18	5	46	high
67	18	6	w:missum.	high
67	18	7	w:Sed	high
67	18	8	w:istius	high
67	18	9	41	high
67	18	10	14	medium
67	19	1	41	high
67	19	2	14	high
67	19	3	w:n?	low
67	19	4	29	medium
67	19	5	14	high
67	19	6	46	high
67	19	7	46	high
67	19	8	w:Socius,	high
67	19	9	w:nomine	high
67	19	10	41	high
67	19	11	46	medium
67	20	1	20	medium
67	20	2	w:y	low
67	20	3	48	medium
67	20	4	w:plus	high
67	20	5	w:quam	high
67	20	6	w:ille	high
67	20	7	w:de	high
67	20	8	w:facto,	high
67	20	9	w:in	high
67	20	10	13	high
67	20	11	23	high
67	20	12	46	medium
67	21	1	w:en	medium
67	21	2	20	medium
67	21	3	14	high
67	21	4	13	high
67	21	5	25	high
67	21	6	w:e?	low
67	21	7	23	high
67	21	8	w:a?	low
67	21	9	20	high
67	21	10	17	high
67	21	11	23	high
