leaf	line	pos	sign	value	grade
66	15	9	17	a	C
66	16	1	23	r	C
66	16	2	14	e	C
66	16	3	21	s	C
66	16	4	25	p	C
66	16	5	17	s	M
66	16	9	51	n	C
66	16	10	13	o	C
66	16	11	21	s	C
66	17	3	50	m	C
66	17	4	46	i	C
66	17	5	21	f	M
66	17	6	14	e	C
66	17	7	23	r	C
66	17	8	17	a	C
66	17	9	50	m	C
66	17	10	25	p	C
66	17	11	17	a	C
66	17	12	20	t	C
66	17	13	23	r	C
66	17	14	46	i	C
66	18	2	17	a	C
66	18	3	50	m	C
66	18	4	46	i	C
66	18	5	51	n	C
66	18	6	20	t	C
66	18	7	23	r	C
66	18	8	46	i	C
66	18	9	42	c	C
66	18	10	17	a	C
66	18	12	43	u	M
66	18	13	46	i	C
66	19	1	40	t	M
66	19	2	46	a	M
66	19	3	42	t	M
66	19	4	12	e	M
66	19	5	49	s	M
66	19	6	20	i	M
66	19	7	17	n	M
66	19	11	46	e	M
66	19	12	51	l	M
66	19	13	20	l	M
66	20	2	49	l	C
66	20	3	46	i	C
66	20	4	41	g	C
67	1	1	49	l	C
67	1	2	46	i	C
67	1	3	41	g	C
67	1	5	25	p	C
67	1	6	23	r	C
67	1	7	13	o	C
67	1	8	50	m	C
67	1	9	46	i	C
67	1	10	21	s	C
67	1	11	21	s	C
67	1	12	46	i	C
67	1	13	13	o	C
67	2	4	17	a	C
67	2	5	12	u	C
67	2	6	49	l	C
67	2	7	17	a	C
67	2	8	43	d	C
67	2	9	14	e	C
67	2	10	40	f	C
67	2	11	12	u	C
67	2	12	51	n	C
67	2	13	42	c	C
67	3	1	25	p	C
67	3	2	23	r	C
67	3	3	46	i	C
67	3	4	51	n	C
67	3	5	42	c	C
67	3	6	46	i	C
67	3	7	25	p	C
67	3	8	46	i	C
67	4	1	44	h	C
67	4	2	46	i	C
67	4	3	51	n	C
67	4	4	42	c	C
67	5	3	43	d	C
67	5	4	14	e	C
67	5	5	49	l	C
67	5	6	17	a	C
67	5	7	20	t	C
67	5	8	46	i	C
67	5	9	13	o	C
67	6	2	40	f	C
67	6	3	17	a	C
67	6	4	49	l	C
67	6	5	21	s	C
67	6	6	17	a	C
67	6	8	42	c	C
67	6	9	13	o	C
67	6	10	50	m	C
67	6	11	25	p	C
67	7	1	20	t	C
67	7	2	17	a	C
67	12	1	12	v	M
67	12	2	46	i	C
67	12	3	51	n	C
67	12	4	43	d	C
67	12	5	46	i	C
67	12	6	42	c	C
67	12	7	20	t	C
67	12	8	17	a	C
67	12	9	50	m	C
67	12	10	21	s	C
67	12	11	12	u	C
67	13	1	50	m	C
67	13	2	17	a	C
67	13	3	20	t	C
67	14	2	41	p	M
67	14	3	14	e	C
67	14	4	41	g	C
67	14	5	14	e	C
67	14	6	51	n	C
67	14	7	29	b	C
67	14	8	46	i	C
67	14	9	13	o	C
67	16	4	13	o	C
67	16	5	42	c	C
67	16	6	42	c	C
67	16	7	46	i	C
67	16	8	21	s	C
67	16	9	12	u	C
67	16	10	21	s	C
67	17	2	42	c	C
67	17	3	17	a	C
67	17	4	25	p	C
67	17	5	12	u	C
67	17	6	20	t	C
67	17	9	44	h	C
67	17	10	13	o	C
67	17	11	51	n	C
67	17	12	13	o	C
67	18	1	20	t	C
67	18	2	17	a	C
67	18	3	23	r	C
67	18	4	46	i	C
67	18	5	46	i	C
67	18	9	41	g	C
67	18	10	14	e	C
67	19	1	41	g	C
67	19	2	14	e	C
67	19	4	29	b	C
67	19	5	14	e	C
67	19	6	46	i	C
67	19	7	46	i	C
67	19	10	41	s	M
67	19	11	46	i	C
67	20	1	20	o	M
67	20	3	48	r	C
67	20	10	13	i	M
67	20	11	23	e	M
67	20	12	46	i	C
67	21	2	20	o	M
67	21	3	14	p	M
67	21	4	13	e	M
67	21	5	25	r	M
67	21	7	23	a	M
67	21	9	20	t	C
67	21	10	17	u	M
67	21	11	23	r	C
