htid	series	oclc	enumcron	title	publishDates
uva.x030526653	Calendar of State Papers Spanish	2567428	v.12	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
osu.32435028427318	Calendar of State Papers Spanish	2567428	V13	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
uva.x000866090	Calendar of State Papers Spanish	2567428	v.13	Calendar of letters, despatches, and state papers relating to the negotiations b	1862
mdp.39015028699687	Calendar of State Papers Milan	2117519	v.1	Calendar of state papers and manuscripts, existing in the archives and collectio	1912
uc1.31175012358902	CODOIN	4722745	v.1	Colección de documentos inéditos para la historia de España	1842
inu.30000011818436	CODOIN	4722745	Index,v.2 1931	Colección de documentos inéditos para la historia de España	1842
uva.x030531338	CODOIN	4722745	v.5 1844	Colección de documentos inéditos para la historia de España	1842
pst.000055564717	CODOIN	4722745	t.9-10 1846-47	Colección de documentos inéditos para la historia de España	1842
hvd.tz1qe6	CODOIN	4722745	t. 11 (1847)	Colección de documentos inéditos para la historia de España	1842
uva.x000490071	CODOIN	4722745	v.14 1849	Colección de documentos inéditos para la historia de España	1842
uva.x030531344	CODOIN	4722745	v.17 1850	Colección de documentos inéditos para la historia de España	1842
pst.000055564779	CODOIN	4722745	t.21-22 1852-53	Colección de documentos inéditos para la historia de España	1842
hvd.tz1rsm	CODOIN	4722745	t. 24 (1854)	Colección de documentos inéditos para la historia de España	1842
hvd.32044083761445	CODOIN	4722745	t.27 (1855)	Colección de documentos inéditos para la historia de España	1842
uva.x030531354	CODOIN	4722745	v.29 1856	Colección de documentos inéditos para la historia de España	1842
uc1.31175012359199	CODOIN	4722745	v.33	Colección de documentos inéditos para la historia de España	1842
hvd.tz1rsz	CODOIN	4722745	t. 35 (1859)	Colección de documentos inéditos para la historia de España	1842
hvd.32044083761551	CODOIN	4722745	t.38 (1861)	Colección de documentos inéditos para la historia de España	1842
uva.x030531365	CODOIN	4722745	v.40 1862	Colección de documentos inéditos para la historia de España	1842
hvd.tz1rtp	CODOIN	4722745	t. 43 (1863)	Colección de documentos inéditos para la historia de España	1842
pst.000055565714	CODOIN	4722745	t.47-48 1865-66	Colección de documentos inéditos para la historia de España	1842
uva.x030531374	CODOIN	4722745	v.49 1866	Colección de documentos inéditos para la historia de España	1842
uva.x030531377	CODOIN	4722745	v.52 1868	Colección de documentos inéditos para la historia de España	1842
uva.x030531380	CODOIN	4722745	v.55 1870	Colección de documentos inéditos para la historia de España	1842
hvd.tz1rtd	CODOIN	4722745	t. 58 (1872)	Colección de documentos inéditos para la historia de España	1842
uva.x030531383	CODOIN	4722745	v.60 1875	Colección de documentos inéditos para la historia de España	1842
uva.x030531386	CODOIN	4722745	v.63 1875	Colección de documentos inéditos para la historia de España	1842
hvd.tz1rtl	CODOIN	4722745	t. 66 (1876)	Colección de documentos inéditos para la historia de España	1842
hvd.32044083761825	CODOIN	4722745	t.70 (1879)	Colección de documentos inéditos para la historia de España	1842
hvd.32044083761866	CODOIN	4722745	t.74 (1880)	Colección de documentos inéditos para la historia de España	1842
uva.x030531401	CODOIN	4722745	v.78 1882	Colección de documentos inéditos para la historia de España	1842
hvd.32044083761932	CODOIN	4722745	t.83 (1885)	Colección de documentos inéditos para la historia de España	1842
hvd.32044083761981	CODOIN	4722745	t.89 (1887)	Colección de documentos inéditos para la historia de España	1842
hvd.32044083762021	CODOIN	4722745	t.93 (1889)	Colección de documentos inéditos para la historia de España	1842
uva.x000856773	CODOIN	4722745	v.98 1891	Colección de documentos inéditos para la historia de España	1842
uva.x030531422	CODOIN	4722745	v.102 1892	Colección de documentos inéditos para la historia de España	1842
hvd.32044083762146	CODOIN	4722745	t.108 (1893)	Colección de documentos inéditos para la historia de España	1842
uva.x030531433	CODOIN	4722745	v.113 1895	Colección de documentos inéditos para la historia de España	1842
mdp.39015050989204	CODOIN	39988597	v.43 1863	Colección de documentos inéditos para la historia de España	1842
wu.89108629296	Recueil des instructions aux ambassadeurs de France	2273751	v.1	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.hl237y	Recueil des instructions aux ambassadeurs de France	2273751	1 (autriche)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.hl237b	Recueil des instructions aux ambassadeurs de France	2273751	2 (suede)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
njp.32101076191640	Recueil des instructions aux ambassadeurs de France	2273751	v.2	Recueil des instructions données aux ambassadeurs et ministres de France depuis 	1884
hvd.hl237c	Recueil des instructions aux ambassadeurs de France	2273751	3 (portugal)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
njp.32101076191665	Recueil des instructions aux ambassadeurs de France	2273751	v.4	Recueil des instructions données aux ambassadeurs et ministres de France depuis 	1884
hvd.32044100895176	Recueil des instructions aux ambassadeurs de France	2273751	v.7 (1889)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.hl237d	Recueil des instructions aux ambassadeurs de France	2273751	8:1 (russie)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.hl237e	Recueil des instructions aux ambassadeurs de France	2273751	9:2 (russie)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.32044100895127	Recueil des instructions aux ambassadeurs de France	2273751	v.9 (1890)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.32044100895119	Recueil des instructions aux ambassadeurs de France	2273751	v.10 (1893)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
wu.89098269632	Recueil des instructions aux ambassadeurs de France	2273751	v.11	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.32044005008701	Recueil des instructions aux ambassadeurs de France	2273751	v.11:pt.1 (1894)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.hl236p	Recueil des instructions aux ambassadeurs de France	2273751	12:3 (espagne)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
njp.32101076191723	Recueil des instructions aux ambassadeurs de France	2273751	v.12, pt.1	Recueil des instructions données aux ambassadeurs et ministres de France depuis 	1884
hvd.32044100895101	Recueil des instructions aux ambassadeurs de France	2273751	v.13 (1895)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
hvd.hl236s	Recueil des instructions aux ambassadeurs de France	2273751	15:2 (savoie-sardaigne et mantoue)	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
wu.89098269657	Recueil des instructions aux ambassadeurs de France	2273751	v.17	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
njp.32101076191780	Recueil des instructions aux ambassadeurs de France	2273751	v.19	Recueil des instructions données aux ambassadeurs et ministres de France depuis 	1884
njp.32101076191798	Recueil des instructions aux ambassadeurs de France	2273751	v.20	Recueil des instructions données aux ambassadeurs et ministres de France depuis 	1884
njp.32101076191806	Recueil des instructions aux ambassadeurs de France	2273751	v.21	Recueil des instructions données aux ambassadeurs et ministres de France depuis 	1884
osu.32435029745031	Recueil des instructions aux ambassadeurs de France	2273751	V25PT2	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
pst.000057460871	Recueil des instructions aux ambassadeurs de France	2273751	t.26	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
uga1.32108010046582	Recueil des instructions aux ambassadeurs de France	2273751	v. 27 pt. 4	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
pur1.32754063470078	Recueil des instructions aux ambassadeurs de France	2273751	v. 28, t. 1	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
pur1.32754063470060	Recueil des instructions aux ambassadeurs de France	2273751	v. 28, t. 3	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
osu.32435029744976	Recueil des instructions aux ambassadeurs de France	2273751	V29	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
oxu1.601630418	Recueil des instructions aux ambassadeurs de France	12057531	t.2	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
oxu1.601630420	Recueil des instructions aux ambassadeurs de France	12057531	t.4	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
oxu1.601630438	Recueil des instructions aux ambassadeurs de France	12057531	t.6	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
oxu1.601630423	Recueil des instructions aux ambassadeurs de France	12057531	t.8	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
oxu1.601630426	Recueil des instructions aux ambassadeurs de France	12057531	t.11	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
oxu1.601630430	Recueil des instructions aux ambassadeurs de France	12057531	t.14	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
oxu1.601630433	Recueil des instructions aux ambassadeurs de France	12057531	t.17	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
chi.42848508	Recueil des instructions aux ambassadeurs de France	12057531	v.27 pt.4	Recueil des instructions données aux ambassadeurs et ministres de France depuis	1884
umn.319510022135947	Documenti di storia italiana	1566840	v.1	Documenti di storia italiana	1867
chi.37240383	Documenti di storia italiana	1566840	c.1 v.1	Documenti di storia italiana	1867
chi.37614218	Documenti di storia italiana	1566840	c.1 v.2	Documenti di storia italiana	1867
chi.68710367	Documenti di storia italiana	1566840	c.1 ser.2 v.11 pt.1	Documenti di storia italiana	1867
chi.68710374	Documenti di storia italiana	1566840	c.1 ser.2 v.11 pt.2	Documenti di storia italiana	1867
chi.82012284	Documenti di storia italiana	1566840	c.1 ser.2 v.14	Documenti di storia italiana	1867
chi.092144696	Documenti di storia italiana	1566840	c.1 ser.2 v.15	Documenti di storia italiana	1867
chi.42282962	Documenti di storia italiana	1566840	c.1 v.3	Documenti di storia italiana	1867
chi.70069544	Documenti di storia italiana	1566840	c.1 v.4	Documenti di storia italiana	1867
chi.19436483	Documenti di storia italiana	1566840	c.1 v.6	Documenti di storia italiana	1867
chi.48320754	Documenti di storia italiana	1566840	c.1 v.7	Documenti di storia italiana	1867
chi.21525982	Documenti di storia italiana	1566840	c.1 v.10	Documenti di storia italiana	1867
chi.47425503	Documenti di storia italiana	1566840	c.1 v.11	Documenti di storia italiana	1867
chi.70069366	Documenti di storia italiana	1566840	c.1 v.14	Documenti di storia italiana	1867
chi.20055641	Documenti di storia italiana	1566840	c.1 v.15	Documenti di storia italiana	1867
umn.31951d00545241l	Documenti di storia italiana	1566840	v.2	Documenti di storia italiana	1867
umn.31951002213599x	Documenti di storia italiana	1566840	ser.2:v.1	Documenti di storia italiana	1867
mdp.39015035929226	Documenti di storia italiana	1566840	v.3 1873	Documenti di storia italiana	1867
mdp.39015035929234	Documenti di storia italiana	1566840	v.4	Documenti di storia italiana	1867
msu.31293027956428	Documenti di storia italiana	1566840	t.5 1872	Documenti di storia italiana	1867
mdp.39015035929242	Documenti di storia italiana	1566840	v.6	Documenti di storia italiana	1867
umn.31951d00585053y	Documenti di storia italiana	1566840	v.8	Documenti di storia italiana	1867
mdp.39015035929259	Documenti di storia italiana	1566840	v.8 1884	Documenti di storia italiana	1867
mdp.39015035929267	Documenti di storia italiana	1566840	v.9 1889	Documenti di storia italiana	1867
osu.32435064225295	Documenti di storia italiana	1566840	v.9 1946	Documenti di storia italiana	1867
osu.32435064225246	Documenti di storia italiana	1566840	v.10 1947	Documenti di storia italiana	1867
umn.31951d005452916	Documenti di storia italiana	1566840	v.11	Documenti di storia italiana	1867
osu.32435064225782	Documenti di storia italiana	1566840	v.11 1948	Documenti di storia italiana	1867
umn.319510022135971	Documenti di storia italiana	1566840	v.12	Documenti di storia italiana	1867
mdp.39015035929432	Documenti di storia italiana	1566840	v.12 1950	Documenti di storia italiana	1867
umn.31951002213598z	Documenti di storia italiana	1566840	v.13	Documenti di storia italiana	1867
osu.32435064225683	Documenti di storia italiana	1566840	v.13 1950	Documenti di storia italiana	1867
umn.31951d00656762b	Documenti di storia italiana	1566840	v.14	Documenti di storia italiana	1867
mdp.39015035929416	Documenti di storia italiana	1566840	v.14 1937	Documenti di storia italiana	1867
osu.32435064225634	Documenti di storia italiana	1566840	v.14 1951	Documenti di storia italiana	1867
hvd.hn4988	Calendar of State Papers Foreign Elizabeth	12896414	v.1 (1558-59)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn4989	Calendar of State Papers Foreign Elizabeth	12896414	v.2 (1559-60)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498a	Calendar of State Papers Foreign Elizabeth	12896414	v.3 (1560-61)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498b	Calendar of State Papers Foreign Elizabeth	12896414	v.4 (1561-62)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498e	Calendar of State Papers Foreign Elizabeth	12896414	v.7 (1564-65)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498h	Calendar of State Papers Foreign Elizabeth	12896414	v.10 (1572-74)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498n	Calendar of State Papers Foreign Elizabeth	12896414	v.16 (1582)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498q	Calendar of State Papers Foreign Elizabeth	12896414	v.19 (1584-85)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498s	Calendar of State Papers Foreign Elizabeth	12896414	v.21:pt.2 (1586-88)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498u	Calendar of State Papers Foreign Elizabeth	12896414	v.21:pt.3 (1587)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
hvd.hn498w	Calendar of State Papers Foreign Elizabeth	12896414	v.22 (1588)	Calendar of state papers, foreign series, of the reign of Elizabeth ... perserve	1863
uiuo.ark:/13960/t16n13q2g	Calendar of State Papers Foreign Elizabeth	2906743	v.1	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364106	Calendar of State Papers Foreign Elizabeth	2906743	v.1 1558-1559	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364262	Calendar of State Papers Foreign Elizabeth	2906743	v.2 1559-1560	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
uiug.30112125289865	Calendar of State Papers Foreign Elizabeth	2906743	v.3	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364114	Calendar of State Papers Foreign Elizabeth	2906743	v.3 1560-1561	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364270	Calendar of State Papers Foreign Elizabeth	2906743	v.5 1562	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364122	Calendar of State Papers Foreign Elizabeth	2906743	v.6 1563	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
uiuo.ark:/13960/t7pp6zg2x	Calendar of State Papers Foreign Elizabeth	2906743	v.7	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364288	Calendar of State Papers Foreign Elizabeth	2906743	v.7 1564-1565	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364130	Calendar of State Papers Foreign Elizabeth	2906743	v.8 1566-1568	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
uiuo.ark:/13960/s2vk2dgg838	Calendar of State Papers Foreign Elizabeth	2906743	v.9	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364148	Calendar of State Papers Foreign Elizabeth	2906743	v.9 1569-1571	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015015371860	Calendar of State Papers Foreign Elizabeth	2906743	v.10 1572-1574	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364155	Calendar of State Papers Foreign Elizabeth	2906743	v.11 1575-1577	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364296	Calendar of State Papers Foreign Elizabeth	2906743	v.12 1577-1578	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364312	Calendar of State Papers Foreign Elizabeth	2906743	v.14 1579-1580	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364353	Calendar of State Papers Foreign Elizabeth	2906743	v.15 1581-1582	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364361	Calendar of State Papers Foreign Elizabeth	2906743	v.16 1582	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364510	Calendar of State Papers Foreign Elizabeth	2906743	v.18 1583-1584	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364528	Calendar of State Papers Foreign Elizabeth	2906743	v.19 1584-1585	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364536	Calendar of State Papers Foreign Elizabeth	2906743	v.21 pt.1 1586-1588 Jun-Jun	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364379	Calendar of State Papers Foreign Elizabeth	2906743	v.21 pt.2 1586 Jun-1587 Mar	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364544	Calendar of State Papers Foreign Elizabeth	2906743	v.21 pt.3 1587 Apr-Dec	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
mdp.39015022364387	Calendar of State Papers Foreign Elizabeth	2906743	v.22 1588 Jul-Dec	Calendar of state papers, foreign series, of the reign of Elizabeth ; preserved 	1863
inu.30000007257516	Calendar of State Papers Venetian	2056131	v.1	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.hw2xel	Calendar of State Papers Venetian	2056131	v.1 (1202-1509)	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.319510020102221	Calendar of State Papers Venetian	2056131	v.1  MnU xerox reprint, 1981	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.hw2xem	Calendar of State Papers Venetian	2056131	v.2 (1509-1519)	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000007257680	Calendar of State Papers Venetian	2056131	v.3	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010226t	Calendar of State Papers Venetian	2056131	v.5 MnU xerox reprint, 1987	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951p00091838z	Calendar of State Papers Venetian	2056131	v.6:pt.1	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951p00680334w	Calendar of State Papers Venetian	2056131	v.6:pt.2	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951p00098660f	Calendar of State Papers Venetian	2056131	v.7	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.hw2xeu	Calendar of State Papers Venetian	2056131	v.8 (1581-1591)	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.hw2xev	Calendar of State Papers Venetian	2056131	v.9 (1592-1603)	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.hw2xew	Calendar of State Papers Venetian	2056131	v.10 (1603-1607)	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010232y	Calendar of State Papers Venetian	2056131	v.11	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
coo.31924092484231	Calendar of State Papers Venetian	2056131	v.12	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010234u	Calendar of State Papers Venetian	2056131	v.13	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.hw2xf0	Calendar of State Papers Venetian	2056131	v.14 (1615-1617)	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041606421	Calendar of State Papers Venetian	2056131	v.17	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.hw2xf3	Calendar of State Papers Venetian	2056131	v.17 (1621-1623)	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
oxu1.603661780	Calendar of State Papers Venetian	2056131	v.18	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041605910	Calendar of State Papers Venetian	2056131	v.19	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041606330	Calendar of State Papers Venetian	2056131	v.20	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041605928	Calendar of State Papers Venetian	2056131	v.21	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041606454	Calendar of State Papers Venetian	2056131	v.22	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041605902	Calendar of State Papers Venetian	2056131	v.23	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041606306	Calendar of State Papers Venetian	2056131	v.24	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
inu.30000041606298	Calendar of State Papers Venetian	2056131	v.25	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010249h	Calendar of State Papers Venetian	2056131	v.28	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
coo.31924092484405	Calendar of State Papers Venetian	2056131	v.29	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010252s	Calendar of State Papers Venetian	2056131	v.31	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010253q	Calendar of State Papers Venetian	2056131	v.32	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010254o	Calendar of State Papers Venetian	2056131	v.33	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010256k	Calendar of State Papers Venetian	2056131	v.35	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010257i	Calendar of State Papers Venetian	2056131	v.36	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
umn.31951002010258g	Calendar of State Papers Venetian	2056131	v.37	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
oxu1.605107085	Calendar of State Papers Venetian	2056131	v.38	Calendar of state papers and manuscripts relating to English affairs, existing i	1864
hvd.32044099747214	Acta Tomiciana	83136274	1-2 (1507-13)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747206	Acta Tomiciana	83136274	3-4 (1514-18)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747198	Acta Tomiciana	83136274	5-6 (1519-23)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747321	Acta Tomiciana	83136274	9 (1527)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747313	Acta Tomiciana	83136274	10-11 (1528-29)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747305	Acta Tomiciana	83136274	12 (1530)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747297	Acta Tomiciana	83136274	13 (1531)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747289	Acta Tomiciana	83136274	14 (1532)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747271	Acta Tomiciana	83136274	15 (1533)	Epistole legationes responsa actiones res geste Sigismundi I	1852
hvd.32044099747263	Acta Tomiciana	83136274	16:1 (1534)	Epistole legationes responsa actiones res geste Sigismundi I	1852
