line	pos	group	conf
BLA191_p5_L05	4	594	H
BLA191_p5_L05	5	58	H
BLA191_p5_L05	6	84	H
BLA191_p5_L05	7	661	H
BLA191_p5_L05	8	278	H
BLA191_p5_L05	9	823	H
BLA191_p5_L05	10	1099	M
BLA191_p5_L05	11	289	H
BLA191_p5_L06	1	214	M
BLA191_p5_L06	2	162	H
BLA191_p5_L06	3	737	H
BLA191_p5_L06	4	647	H
BLA191_p5_L06	5	756	H
BLA191_p5_L06	6	690	H
BLA191_p5_L06	7	65	H
BLA191_p5_L06	8	692	H
BLA191_p5_L06	9	588	H
BLA191_p5_L06	10	754	H
BLA191_p5_L06	11	18	H
BLA191_p5_L07	1	100	H
BLA191_p5_L07	2	816	H
BLA191_p5_L07	3	282	H
BLA191_p5_L07	4	1019	H
BLA191_p5_L07	5	711	H
BLA191_p5_L07	6	1013	H
BLA191_p5_L07	7	835	H
BLA191_p5_L07	8	702	H
BLA191_p5_L07	9	937	M
BLA191_p5_L07	10	275	H
BLA191_p5_L07	11	659	H
BLA191_p5_L08	1	53	H
BLA191_p5_L08	2	824	H
BLA191_p5_L08	3	1017	H
BLA191_p5_L08	4	369	H
BLA191_p5_L08	5	580	H
BLA191_p5_L08	6	666	H
BLA191_p5_L08	7	576	H
BLA191_p5_L08	8	26	H
BLA191_p5_L08	9	461	H
BLA191_p5_L08	10	1118	H
BLA191_p5_L08	11	122	H
BLA191_p5_L09	1	1052	H
BLA191_p5_L09	2	163	H
BLA191_p5_L09	3	1016	H
BLA191_p5_L09	4	929	H
BLA191_p5_L09	5	690	H
BLA191_p5_L09	6	26	H
BLA191_p5_L09	7	1099	H
BLA191_p5_L09	8	599	H
BLA191_p5_L09	9	345	H
BLA191_p5_L09	10	163	H
BLA191_p5_L09	11	926	H
BLA191_p5_L10	1	580	H
BLA191_p5_L10	2	831	H
BLA191_p5_L10	3	1143	H
BLA191_p5_L10	4	1150	H
BLA191_p5_L10	5	594	H
BLA191_p5_L10	6	493	H
BLA191_p5_L10	7	835	H
BLA191_p5_L10	8	661	H
BLA191_p5_L10	9	732	H
BLA191_p5_L10	10	18	H
BLA191_p5_L10	11	659	H
BLA191_p5_L11	1	46	H
BLA191_p5_L11	2	836	H
BLA191_p5_L11	3	385	H
BLA191_p5_L11	4	575	H
BLA191_p5_L11	5	585	H
BLA191_p5_L11	6	758	H
BLA191_p5_L11	7	943	H
BLA191_p5_L11	8	1152	H
BLA191_p5_L11	9	623	H
BLA191_p5_L11	10	1013	H
BLA191_p5_L11	11	387	H
BLA191_p5_L12	1	580	H
BLA191_p5_L12	2	1018	M
BLA191_p5_L12	3	26	M
BLA191_p5_L12	4	591	M
BLA191_p5_L12	5	1185	M
BLA191_p5_L12	6	275	M
BLA191_p5_L12	7	659	M
BLA191_p5_L12	8	585	M
BLA191_p5_L12	9	758	M
BLA191_p5_L12	10	942	M
BLA191_p5_L12	11	754	M
BLA191_p5_L12	12	163	M
BLA191_p5_L13	1	694	H
BLA191_p5_L13	2	282	H
BLA191_p5_L13	3	702	H
BLA191_p5_L13	4	357	H
BLA191_p5_L13	5	932	H
BLA191_p5_L13	6	816	H
BLA191_p5_L13	7	835	H
BLA191_p5_L13	8	691	H
BLA191_p5_L13	9	222	H
