line	pos	group	conf	alt	rule	gloss
BLA185_p5_L02	5	1129	H		agree	temps
BLA185_p5_L02	6	271	H		agree	d'
BLA185_p5_L02	7	67	H		agree	avoir
BLA185_p5_L02	8	136	H		agree	besoin
BLA185_p5_L02	9	282	H		agree	des
BLA185_p5_L02	10	111	H		agree	autre
BLA185_p5_L03	1	1013	H		agree	s
BLA185_p5_L03	2	756	H		agree	ne
BLA185_p5_L03	3	1022	H		agree	so
BLA185_p5_L03	4	595	H		agree	it
BLA185_p5_L03	5	824	H		agree	pas
BLA185_p5_L03	6	857	H		agree	passe
BLA185_p5_L03	7	835	H		agree	pour
BLA185_p5_L03	8	666	H		agree	lu
BLA185_p5_L03	9	576	H		agree	i
BLA185_p5_L04	1	106	H		agree	auprez
BLA185_p5_L04	2	278	H		agree	de
BLA185_p5_L04	3	737	H		agree	monsieur
BLA185_p5_L04	4	822	H		agree	pa
BLA185_p5_L04	5	1109	H		agree	ti
BLA185_p5_L04	6	506	H		agree	g
BLA185_p5_L04	7	758	H		agree	no
BLA185_p5_L05	1	743	H		agree	moyennant
BLA185_p5_L05	2	1024	H		agree	son
BLA185_p5_L05	3	54	H		agree	affection
BLA185_p5_L05	4	835	H		agree	pour
BLA185_p5_L05	5	702	H		agree	moi
BLA185_p5_L06	1	1016	H		agree	sans
BLA185_p5_L06	2	662	H		agree	les
BLA185_p5_L06	3	521	H		agree	garnison
BLA185_p5_L06	4	1013	H		agree	s
BLA185_p5_L06	5	698	H		agree	mis
BLA185_p5_L06	6	381	H		agree	en
BLA185_p5_L06	7	189	M		agree-flagged	caution
BLA185_p5_L06	8	823	H		agree	par
BLA185_p5_L06	9	97	H		agree	avance
BLA185_p5_L06	10	191	H		agree	c'est
BLA185_p5_L07	1	591	H		agree	in
BLA185_p5_L07	2	1185	H	1186	key-consistent	utile
BLA185_p5_L07	3	271	H		agree	d'
BLA185_p5_L07	4	433	H		agree	espere
BLA185_p5_L07	5	941	H		agree	r
BLA185_p5_L07	6	278	H		agree	de
BLA185_p5_L07	7	998	H		agree	rien
BLA185_p5_L07	8	473	H		agree	faire
BLA185_p5_L07	9	278	H		agree	de
BLA185_p5_L07	10	219	H		agree	conclu
BLA185_p5_L08	1	30	H		agree	an
BLA185_p5_L08	2	1099	H		agree	t
BLA185_p5_L08	3	387	H		agree	et
BLA185_p5_L08	4	932	H		agree	quelque
BLA185_p5_L08	5	1129	H		agree	temps
BLA185_p5_L08	6	84	H		agree	apres
BLA185_p5_L08	7	926	H		agree	que
BLA185_p5_L08	8	188	H		agree	cell
BLA185_p5_L08	9	18	H		agree	a
BLA185_p5_L08	10	1017	H		agree	se
BLA185_p5_L09	1	942	H		agree	ra
BLA185_p5_L09	2	461	H		agree	fait
BLA185_p5_L09	3	796	H		agree	on
BLA185_p5_L09	4	958	H		agree	recommence
BLA185_p5_L09	5	942	H		agree	ra
BLA185_p5_L09	6	1033	H		agree	sur
BLA185_p5_L09	7	163	H		agree	ce
BLA185_p5_L09	8	930	H		agree	qu'ils
BLA185_p5_L09	9	40	H		agree	abandonne
BLA185_p5_L10	1	754	H		agree	n
BLA185_p5_L10	2	1099	H		agree	t
BLA185_p5_L10	3	823	H		agree	par
BLA185_p5_L10	4	765	H		agree	necessite
BLA185_p5_L10	5	1243	M		agree-flagged,no-gloss	
BLA185_p5_L10	6	588	H		agree	il
BLA185_p5_L10	7	1201	H		agree	y
BLA185_p5_L10	8	18	H		agree	a
BLA185_p5_L10	9	1148	H		agree	un
BLA185_p5_L11	1	943	H		agree	re
BLA185_p5_L11	2	695	H		agree	me
BLA185_p5_L11	3	278	H		agree	de
BLA185_p5_L11	4	18	H		agree	a
BLA185_p5_L11	5	163	H		agree	ce
BLA185_p5_L11	6	713	H		agree	malheur
BLA185_p5_L11	7	924	H		agree	quand
BLA185_p5_L11	8	796	H		agree	on
BLA185_p5_L11	9	1153	H		agree	vou
BLA185_p5_L12	1	270	H		agree	d
BLA185_p5_L12	2	942	H		agree	ra
BLA185_p5_L12	3	659	H		agree	l'
BLA185_p5_L12	4	32	H		agree	app
BLA185_p5_L12	5	663	H		agree	li
BLA185_p5_L12	6	926	H		agree	que
BLA185_p5_L12	7	941	H		agree	r
BLA186_p1_L01	1	659	H		agree	
BLA186_p1_L01	2	78	H		agree	
BLA186_p1_L01	3	73	H		agree	
BLA186_p1_L01	4	18	H		agree	
BLA186_p1_L01	5	438	H		agree	
BLA186_p1_L01	6	468	H		agree	
BLA186_p1_L01	7	470	H		image:4>0 clear	
BLA186_p1_L01	8	778	M	B:738	image:reads 7>8 both leading glyphs the hand's 7;passes 758/738	
BLA186_p1_L01	9	190	H		agree	
BLA186_p1_L01	10	1102	H		agree	
BLA186_p1_L01	11	53	H		agree	
BLA186_p3_L01	1	737	H		image:73> final glyph is the hand's 7;passes both 733	
BLA186_p3_L01	2	278	H		agree	
BLA186_p3_L01	3	822	H		agree	
BLA186_p3_L01	4	1109	H		agree	
BLA186_p3_L01	5	506	H		agree	
BLA186_p3_L01	6	758	H		agree	
BLA186_p3_L01	7	690	H		agree	
BLA186_p3_L01	8	381	H		agree	
BLA186_p3_L01	9	18	H		agree	
BLA186_p3_L01	10	849	H		agree	
BLA186_p3_L01	11	163	H		agree	
BLA186_p3_L01	12	1022	H		agree	
BLA186_p3_L01	13	593	H		image:clear	
BLA187_p3_L01	1	1154	H		agree	vous
BLA187_p3_L01	2	731	H		agree	mettr
BLA187_p3_L01	3	581	H		agree	ie
BLA187_p3_L01	4	1013	H		agree-flagged,key-consistent	s
BLA187_p3_L01	5	1240	H		agree	s
BLA187_p3_L01	6	733	H		agree	monsieur
BLA187_p3_L01	7	822	H		agree	ra
BLA187_p3_L01	8	1109	H		agree	li
BLA187_p3_L02	1	506	H		agree	gn
BLA187_p3_L02	2	758	H		agree	no
BLA187_p3_L02	3	561	M		agree-flagged	hors
BLA187_p3_L02	4	291	H		agree	d'
BLA187_p3_L02	5	935	M		agree-flagged	etat
BLA187_p3_L02	6	258	H	238	key-consistent	de
BLA187_p3_L02	7	219	M	B:213	undecided	contest
BLA187_p3_L02	8	384	H		agree	er
BLA187_p3_L03	1	106	H		agree	aupres
BLA187_p3_L03	2	278	M	B:258	undecided	de
BLA187_p3_L03	3	1014	H		agree	la
BLA187_p3_L03	4	909	M	B:509	undecided	majeste
BLA187_p3_L03	5	184	H		agree	catholique
BLA187_p3_L03	6	1148	H		agree	un
BLA187_p3_L03	7	122	H		agree	bon
BLA187_p3_L03	8	46	H		agree	accommodeme
BLA187_p3_L04	1	1250	H		agree	hier
BLA187_p3_L04	2	558	H		agree	au
BLA187_p3_L04	3	38	H		agree	so
BLA187_p3_L04	4	1022	M		agree-flagged	ir
BLA187_p3_L04	5	593	H		agree	ir
BLA187_p3_L04	6	588	H		agree	il
BLA187_p3_L04	7	695	H		agree	me
BLA187_p3_L04	8	345	H		agree	dit
BLA187_p3_L05	1	929	H		agree	qu'il
BLA187_p3_L05	2	1182	H		agree	traite
BLA187_p3_L05	3	387	H		agree	et
BLA187_p3_L05	4	1135	H		agree	travaille
BLA187_p3_L05	5	1131	H		agree	tout
BLA187_p3_L05	6	258	H		agree	afait
BLA187_p3_L05	7	140	H		agree	de
BLA187_p3_L05	8	1288	M	B:1233	undecided	bonnefoy
BLA187_p3_L06	1	101	H		agree	avec
BLA187_p3_L06	2	662	H		agree	les
BLA187_p3_L06	3	80	M		agree-flagged	anglois
BLA187_p3_L06	4	692	H		agree	mais
BLA187_p3_L06	5	925	M		agree-flagged	quel
BLA187_p3_L06	6	756	H		agree	ne
BLA187_p3_L06	7	1153	H		agree	vous
BLA187_p3_L06	8	250	H		agree	d
BLA187_p3_L06	9	948	H		agree	ro
BLA187_p3_L07	1	495	H		agree	it
BLA187_p3_L07	2	824	H	829	key-consistent	pas
BLA187_p3_L07	3	381	H		agree	en
BLA187_p3_L07	4	439	H		agree	oftre
BLA187_p3_L07	5	660	H		agree	la
BLA187_p3_L07	6	289	H		agree	du
BLA187_p3_L07	7	825	H		agree	ne
BLA187_p3_L07	8	385	M	B:387	undecided	et
BLA187_p3_L08	1	658	H		agree	l
BLA187_p3_L08	2	18	H		agree	a
BLA187_p3_L08	3	1149	H		agree	vi
BLA187_p3_L08	4	154	M		agree-flagged	c
BLA187_p3_L08	5	1109	H		agree	ti
BLA187_p3_L08	6	695	H		agree	me
BLA187_p3_L08	7	1243	M		agree-flagged,no-gloss	
BLA187_p3_L08	8	926	H		agree	que
BLA187_p3_L09	1	1020	H		agree	si
BLA187_p3_L09	2	796	H		agree-flagged,key-consistent	on
BLA187_p3_L09	3	1123	H		agree	garde
BLA187_p3_L09	4	18	H		agree	a
BLA187_p3_L09	5	338	H		agree	determine
BLA187_p3_L09	6	941	H		agree	r
BLA187_p3_L09	7	659	H		agree	l'
BLA187_p3_L09	8	451	H		agree	empereur
BLA187_p3_L10	1	835	H		agree	pourr
BLA187_p3_L10	2	792	H		agree	oit
BLA187_p3_L10	3	137	H	135	key-consistent	bien
BLA187_p3_L10	4	1119	H		agree	tout
BLA187_p3_L10	5	339	H		agree	detourne
BLA187_p3_L10	6	941	H		agree	r
BLA187_p3_L10	7	385	H		agree	et
BLA187_p3_L10	8	551	H	951	key-consistent	mettre
BLA187_p3_L11	1	289	H		agree	du
BLA187_p3_L11	2	197	H		agree	change
BLA187_p3_L11	3	696	H		agree	ment
BLA188_p3_L01	1	1212	H		agree	huit
BLA188_p3_L01	2	278	H	298	key-consistent	de
BLA188_p3_L01	3	596	M		agree-flagged	m
BLA188_p3_L01	4	591	M		agree-flagged	du
BLA188_p3_L01	5	289	H		agree	porte
BLA188_p3_L01	6	834	M	B:831	undecided	de
BLA188_p3_L01	7	298	M	B:278	undecided	fa
BLA188_p3_L01	8	1014	M		agree-flagged	te
BLA188_p3_L02	1	591	H		agree	in
BLA188_p3_L02	2	1102	H		agree	te
BLA188_p3_L02	3	691	H		agree-flagged,key-consistent	ma
BLA188_p3_L02	4	945	H		agree	ri
BLA188_p3_L02	5	369	H	869	key-consistent	e
BLA188_p3_L02	6	1268	M		agree-flagged	e
BLA188_p3_L02	7	697	H		agree	mi
BLA188_p3_L02	8	665	H		agree	
BLA188_p3_L03	1	941	H		agree	r
BLA188_p3_L03	2	250	H		agree	d
BLA188_p3_L03	3	1255	H		agree	j'ai
BLA188_p3_L03	4	575	H		agree	parle
BLA188_p3_L03	5	26	H		agree	avec
BLA188_p3_L03	6	849	H		agree	monsieur
BLA188_p3_L03	7	101	H		agree	pa
BLA188_p3_L03	8	733	H		agree-flagged,key-consistent	monsieur
BLA188_p3_L03	9	822	M		agree-flagged	ma
BLA188_p3_L04	1	1109	H		agree	ti
BLA188_p3_L04	2	506	H		agree-flagged,key-consistent	g
BLA188_p3_L04	3	758	H		agree	no
BLA188_p3_L04	4	1033	H		agree	sur
BLA188_p3_L04	5	661	H		agree	le
BLA188_p3_L04	6	241	H		agree	conteu
BLA188_p3_L04	7	255	H		agree	dans
BLA188_p3_L04	8	1196	M		agree-flagged	votre
BLA188_p3_L04	9	672	H	692	key-consistent	lettre
BLA188_p3_L05	1	289	H		agree	du
BLA188_p3_L05	2	1209	H		agree	cinq
BLA188_p3_L05	3	691	H		agree	ma
BLA188_p3_L05	4	1201	H		agree	y
BLA188_p3_L05	5	802	H		agree-flagged,key-consistent	ou
BLA188_p3_L05	6	1154	H		agree-flagged,key-consistent	vous
BLA188_p3_L05	7	695	H		agree	me
BLA188_p3_L05	8	934	M		agree-flagged	responde
BLA188_p3_L05	9	282	H		agree	des
BLA188_p3_L06	1	1033	H		agree	sur
BLA188_p3_L06	2	661	H		agree	le
BLA188_p3_L06	3	691	H		agree	ma
BLA188_p3_L06	4	945	H		agree	ri
BLA188_p3_L06	5	18	H		agree	a
BLA188_p3_L06	6	508	H		agree	ge
BLA188_p3_L06	7	1261	M		agree-flagged	
BLA188_p3_L06	8	163	H		agree-flagged,key-consistent	ce
BLA188_p3_L06	9	697	H		agree-flagged,key-consistent	mi
BLA188_p3_L07	1	755	H		agree	ni
BLA188_p3_L07	2	1025	M	B:1029	undecided	th
BLA188_p3_L07	3	948	H		agree	re
BLA188_p3_L07	4	928	H		agree	qui
BLA188_p3_L07	5	18	H		agree	a
BLA188_p3_L07	6	1114	M	B:1119	undecided	tout
BLA188_p3_L07	7	661	H		agree	le
BLA188_p3_L07	8	263	H		agree	credit
BLA188_p3_L07	9	152	H		agree	cr
BLA188_p3_L07	10	792	H		agree	oit
BLA188_p3_L08	1	926	H		agree	que
BLA188_p3_L08	2	1154	H		agree-flagged,key-consistent	vous
BLA188_p3_L08	3	835	H		agree	pourr
BLA188_p3_L08	4	576	M		agree-flagged	1
BLA188_p3_L08	5	385	H		agree-flagged,key-consistent	es
BLA188_p3_L08	6	1033	H		agree	sur
BLA188_p3_L08	7	704	H		agree	mon
BLA188_p3_L08	8	1109	H		agree	tar
BLA188_p3_L08	9	660	H		agree	la
BLA188_p3_L08	10	342	H		agree	difficulte
BLA188_p3_L09	1	252	M	B:282	undecided	dgo
BLA188_p3_L09	2	665	H		agree	co
BLA188_p3_L09	3	576	M		agree-flagged	1
BLA188_p3_L09	4	389	M	B:388	undecided	
BLA188_p3_L09	5	1033	H		agree	
BLA188_p3_L09	6	704	H		agree	
BLA188_p3_L09	7	407	M		agree-flagged	
BLA188_p3_L09	8	660	H		agree	
BLA188_p3_L09	9	342	H		agree	
BLA188_p3_L10	1	282	M	A:?	undecided	
BLA188_p3_L10	2	665	H		agree	
BLA188_p3_L10	3	576	H		agree	
BLA188_p3_L10	4	1200	H		agree	ze
BLA188_p3_L10	5	1020	H		agree	si
BLA188_p3_L10	6	660	H		agree	la
BLA188_p3_L10	7	899	H		agree	princesse
BLA188_p3_L10	8	831	M	B:837	undecided	non
BLA188_p3_L10	9	1143	H		agree	v
BLA188_p3_L11	1	1150	H		agree-flagged,key-consistent	vo
BLA188_p3_L11	2	495	H	795	key-consistent	it
BLA188_p3_L11	3	520	H		agree	garde
BLA188_p3_L11	4	941	H		agree	v
BLA188_p3_L11	5	1014	H		agree	la
BLA188_p3_L11	6	968	H		agree	religion
BLA188_p3_L11	7	381	H		agree	en
BLA188_p3_L11	8	429	H		agree	espous
BLA188_p3_L11	9	30	H		agree	au
BLA188_p3_L12	1	1099	H		agree	a
BLA188_p3_L12	2	289	H		agree	non
BLA188_p3_L12	3	164	H		agree	ch
BLA188_p3_L12	4	34	H		agree	ar
BLA188_p3_L12	5	662	H		agree	les
BLA188_p3_L12	6	1250	M		agree-flagged,no-gloss	
BLA188_p3_L12	7	1033	H		agree	sur
BLA188_p3_L12	8	659	H		agree	l'
BLA188_p3_L12	9	432	H		agree	esperance
BLA188_p3_L13	1	278	H	298	key-consistent	de
BLA188_p3_L13	2	660	H		agree	la
BLA188_p3_L13	3	140	H		agree	bonne
BLA188_p3_L13	4	623	H		agree	intention
BLA188_p3_L13	5	258	H	238	key-consistent	de
BLA188_p3_L13	6	1014	H		agree	sa
BLA188_p3_L13	7	709	H		agree	majeste
BLA188_p3_L13	8	123	M		agree-flagged	3r
BLA188_p3_L13	9	595	H		agree	il
BLA188_p3_L13	10	?	M	A:-	undecided	
BLA188_p3_L14	1	1100	H		agree	ta
BLA188_p3_L14	2	757	M		agree-flagged	mi
BLA188_p3_L14	3	926	H		agree	que
BLA188_p3_L14	4	18	H		agree	a
BLA188_p3_L14	5	838	H		agree	pre
BLA188_p3_L14	6	1013	H		agree	f
BLA188_p3_L14	7	668	H		agree	l
BLA188_p3_L14	8	12	H		agree	a
BLA188_p3_L14	9	843	H		agree	pain
BLA188_p3_L14	10	588	H		agree	il
BLA188_p3_L15	1	695	H		agree	me
BLA188_p3_L15	2	345	H		agree	doit
BLA188_p3_L15	3	926	H		agree	qui
BLA188_p3_L15	4	191	H		agree	c'est
BLA188_p3_L15	5	792	H		agree	oit
BLA188_p3_L15	6	823	H		agree	par
BLA188_p3_L15	7	1045	H		agree	semblable
BLA188_p3_L15	8	432	H		agree	esperance
BLA188_p3_L15	9	926	H		agree	que
BLA188_p3_L16	1	659	M		agree-flagged	d'
BLA188_p3_L16	2	459	M	B:454	undecided	espagne
BLA188_p3_L16	3	68	H		agree	avoit
BLA188_p3_L16	4	438	H		agree	ete
BLA188_p3_L16	5	96	H		agree	attire
BLA188_p3_L16	6	369	H		agree	e
BLA188_p3_L16	7	18	H		agree	a
BLA188_p3_L16	8	218	H		agree	conclurre
BLA188_p3_L16	9	830	H		agree	plus
BLA188_p3_L16	10	581	H		agree	te
BLA188_p3_L17	1	1195	M	B:1193	undecided	v
BLA188_p3_L17	2	941	H		agree	r
BLA188_p3_L17	3	1013	H		agree	s
BLA188_p3_L17	4	843	H		agree	paix
BLA188_p3_L17	5	101	H		agree	avec
BLA188_p3_L17	6	850	H		agree	perte
BLA188_p3_L17	7	192	H		agree	certain
BLA188_p3_L17	8	369	H		agree	e
BLA188_p3_L17	9	388	M	B:588	undecided	et
BLA188_p3_L18	1	922	H		agree	qu
BLA188_p3_L18	2	381	H		agree	en
BLA188_p3_L18	3	1081	H		agree	suite
BLA188_p3_L18	4	796	H		agree	on
BLA188_p3_L18	5	1013	H		agree	s'
BLA188_p3_L18	6	386	H		agree	est
BLA188_p3_L18	7	538	H		agree	moque
BLA188_p3_L18	8	291	M	B:251	undecided	d'
BLA188_p3_L18	9	379	H		agree-flagged,key-consistent	el
BLA190_p7_L01	1	575	H		agree	j'
BLA190_p7_L01	2	26	H		agree	ai
BLA190_p7_L01	3	356	H		agree	donne
BLA190_p7_L01	4	18	H		agree	a
BLA190_p7_L01	5	737	H		agree	monsieur
BLA190_p7_L01	6	1028	H		agree	ha
BLA190_p7_L01	7	756	H		agree	no
BLA190_p7_L01	8	828	H		agree	pe
BLA190_p7_L01	9	1149	H		agree	une
BLA190_p7_L01	10	672	H		agree	lettre
BLA190_p7_L01	11	835	H		agree	pour
BLA190_p7_L02	1	1154	H		agree	vous
BLA190_p7_L02	2	1033	H		agree	sur
BLA190_p7_L02	3	662	H		agree	les
BLA190_p7_L02	4	53	H		agree	affaire
BLA190_p7_L02	5	1013	H		agree	s
BLA190_p7_L02	6	928	H		agree	qui
BLA190_p7_L02	7	853	H		agree	parti
BLA190_p7_L02	8	942	H		agree	ra
BLA190_p7_L02	9	823	H		agree	par
BLA190_p7_L02	10	661	H		agree	le
BLA190_p7_L02	11	892	H		agree	premier
BLA190_p7_L03	1	259	H		agree	cour
BLA190_p7_L03	2	561	H		agree	ie
BLA190_p7_L03	3	491	H		agree	r
BLA190_p7_L03	4	101	H		agree	avec
BLA190_p7_L03	5	1149	H		agree	une
BLA190_p7_L03	6	111	H		agree	autre
BLA190_p7_L03	7	1033	H		agree	sur
BLA190_p7_L03	8	704	H		agree	mon
BLA190_p7_L03	9	854	H		agree	particulier
BLA190_p7_L03	10	620	H		agree	interest
BLA190_p7_L04	1	162	H		agree	car
BLA190_p7_L04	2	113	H		agree	ayant
BLA190_p7_L04	3	427	H		agree	envoye
BLA190_p7_L04	4	588	H	583	key-consistent	il
BLA190_p7_L04	5	1201	H		agree	y
BLA190_p7_L04	6	18	H		agree	a
BLA190_p7_L04	7	1207	H		agree	trois
BLA190_p7_L04	8	703	H		agree	mois
BLA190_p7_L04	9	1148	H		agree	un
BLA190_p7_L04	10	119	H		agree	bi
BLA190_p7_L04	11	669	M		agree-flagged	el
BLA190_p7_L04	12	387	H		agree	et
BLA190_p7_L05	1	278	M	B:258	undecided	de
BLA190_p7_L05	2	197	H		agree	change
BLA190_p7_L05	3	796	H		agree	on
BLA190_p7_L05	4	695	H		agree	me
BLA190_p7_L05	5	659	H		agree	l'
BLA190_p7_L05	6	18	H		agree	a
BLA190_p7_L05	7	972	H		agree	rendu
BLA190_p7_L05	8	1016	H		agree	sans
BLA190_p7_L05	9	929	H		agree	qu'il
BLA190_p7_L05	10	1201	H		agree	y
BLA190_p7_L05	11	26	H		agree	ai
BLA190_p7_L05	12	1090	M		agree-flagged	t
BLA190_p7_L06	1	388	H		agree	en
BLA190_p7_L06	2	834	H		agree	personne
BLA190_p7_L06	3	835	H		agree	pour
BLA190_p7_L06	4	659	H		agree	l'
BLA190_p7_L06	5	42	H		agree	accepte
BLA190_p7_L06	6	941	H		agree	r
BLA190_p7_L06	7	1250	M		agree-flagged,no-gloss	
BLA190_p7_L06	8	163	H		agree	ce
BLA190_p7_L06	9	928	H		agree	qui
BLA190_p7_L06	10	690	H		agree	m'
BLA190_p7_L06	11	18	H		agree	a
BLA190_p7_L06	12	468	H		agree	fort
BLA190_p7_L07	1	321	H		agree	depourvu
BLA190_p7_L07	2	278	H		agree	de
BLA190_p7_L07	3	742	H		agree	moyen
BLA190_p7_L07	4	278	H		agree	de
BLA190_p7_L07	5	695	H		agree	me
BLA190_p7_L07	6	1069	H		agree	soutenir
BLA190_p7_L07	7	580	H		agree	je
BLA190_p7_L07	8	1154	H		agree	vous
BLA190_p7_L07	9	839	H		agree	pri
BLA190_p7_L07	10	360	H		agree	e
BLA190_p7_L08	1	357	H		agree	donc
BLA190_p7_L08	2	607	H		agree	mi
BLA190_p7_L08	3	665	H		agree	lo
BLA190_p7_L08	4	941	H		agree	r
BLA190_p7_L08	5	270	H		agree	d
BLA190_p7_L08	6	278	H		agree	de
BLA190_p7_L08	7	695	H		agree	me
BLA190_p7_L08	8	473	H		agree	faire
BLA190_p7_L08	9	67	H		agree	avoir
BLA190_p7_L08	10	1206	H		agree	deux
BLA190_p7_L08	11	16	H		agree	cent
BLA190_p7_L09	1	663	H		agree-flagged,key-consistent	li
BLA190_p7_L09	2	1142	H		agree	u
BLA190_p7_L09	3	945	M		agree-flagged	ees
BLA190_p7_L09	4	1029	H		agree	ste
BLA190_p7_L09	5	941	H		agree-flagged,key-consistent	r
BLA190_p7_L09	6	663	H		agree-flagged,key-consistent	li
BLA190_p7_L09	7	754	H		agree	n
BLA190_p7_L09	8	506	H		agree-flagged,key-consistent	g
BLA190_p7_L09	9	1013	H		agree	s
BLA190_p7_L09	10	387	H		agree	et
BLA190_p7_L09	11	605	H		agree	me
BLA190_p7_L10	1	344	H		agree	dixe
BLA190_p7_L10	2	1033	H		agree	sur
BLA190_p7_L10	3	927	M	B:027	undecided	quel
BLA190_p7_L10	4	833	H		agree	point
BLA190_p7_L10	5	580	H		agree	je
BLA190_p7_L10	6	1032	H		agree	su
BLA190_p7_L10	7	594	H		agree-flagged,key-consistent	is
BLA190_p7_L10	8	835	H		agree	pour
BLA190_p7_L10	9	691	H		agree	ma
BLA190_p7_L10	10	963	H		agree	regle
BLA190_p7_L10	11	661	H		agree	le
BLA190_p7_L11	1	1114	H		agree	tout
BLA190_p7_L11	2	381	H		agree	en
BLA190_p7_L11	3	238	H		agree	consideration
BLA190_p7_L11	4	278	M	B:258	undecided	de
BLA190_p7_L11	5	659	H		agree	l'
BLA190_p7_L11	6	54	H		agree	affection
BLA190_p7_L11	7	926	H		agree	que
BLA190_p7_L11	8	1154	H		agree	vous
BLA190_p7_L11	9	38	H		agree	av
BLA190_p7_L11	10	385	H		agree	es
BLA190_p7_L12	1	835	H		agree	pour
BLA190_p7_L12	2	702	H		agree	moi
BLA190_p7_L12	3	358	H		agree	dont
BLA190_p7_L12	4	580	H		agree	je
BLA190_p7_L12	5	1018	H		agree	sec
BLA190_p7_L12	6	26	H		agree	ai
BLA190_p7_L12	7	1112	H		agree	tou
BLA190_p7_L12	8	592	H		agree	jor
BLA190_p7_L12	9	1143	H		agree	v
BLA190_p7_L12	10	941	H		agree-flagged,key-consistent	r
BLA190_p7_L12	11	959	H		agree	reconnoi
BLA190_p7_L13	1	1013	H		agree	s
BLA190_p7_L13	2	1018	M	B:1015	undecided	sans
BLA190_p7_L13	3	1099	H		agree-flagged,key-consistent	t
BLA190_p7_L13	4	1240	M		agree-flagged,no-gloss	
BLA190_p7_L13	5	1207	H		agree	trois
BLA190_p7_L13	6	758	H		agree	no
BLA190_p7_L13	7	1145	H		agree	ve
BLA190_p7_L13	8	690	H		agree	m
BLA190_p7_L13	9	123	H		agree	be
BLA190_p7_L13	10	369	H		agree	e
BLA190_p7_L14	1	17	H		agree	mille
BLA190_p7_L14	2	1211	H		agree	sept
BLA190_p7_L14	3	16	H		agree	cent
BLA190_p7_L14	4	8	H		agree	vingt
BLA190_p7_L14	5	1213	H		agree	neuf
BLA188_p4_L01	1	661	H		agree	le
BLA188_p4_L01	2	208	H		agree	comme
BLA188_p4_L01	3	588	H		agree	il
BLA188_p4_L01	4	386	H		agree	est
BLA188_p4_L01	5	918	M		agree-flagged	manifeste
BLA188_p4_L01	6	823	H		agree	par
BLA188_p4_L01	7	163	H		agree	ce
BLA188_p4_L01	8	926	H		agree	que
BLA188_p4_L01	9	661	H		agree	le
BLA188_p4_L02	1	1006	H		agree	roy
BLA188_p4_L02	2	508	H		agree	ge
BLA188_p4_L02	3	599	M	B:999	undecided	or
BLA188_p4_L02	4	508	H		agree	ge
BLA188_p4_L02	5	892	H		agree	menier
BLA188_p4_L02	6	65	M	B:69	undecided	avit
BLA188_p4_L02	7	904	H		agree	promis
BLA188_p4_L02	8	1033	H		agree	sur
BLA188_p4_L02	9	500	H		agree	gi
