value	plaintext	grade	source_line
286	Queen	H	raw/key972_bourdeau.js:1
288	rather	H	raw/key972_bourdeau.js:1
289	ration	H	raw/key972_bourdeau.js:1
290	reason	C	raw/key972_bourdeau.js:1
291	recei	M	raw/key972_bourdeau.js:1
293	ti	M	raw/key972_bourdeau.js:1
295	report	M	raw/key972_bourdeau.js:1
297	resolve	I	raw/key972_bourdeau.js:1
301	tri	H	raw/key972_bourdeau.js:1
305	Russia	H	raw/key972_bourdeau.js:1
307	second	H	raw/key972_bourdeau.js:1
308	secret	H	raw/key972_bourdeau.js:1
309	Sept	M	raw/key972_bourdeau.js:1
312	set	H	raw/key972_bourdeau.js:1
316	should	H	raw/key972_bourdeau.js:1
322	some	H	raw/key972_bourdeau.js:1
323	sp	M	raw/key972_bourdeau.js:1
326	Spain	H	raw/key972_bourdeau.js:1
330	station	C	raw/key972_bourdeau.js:1
337	ta	M	raw/key972_bourdeau.js:1
339	tend	M	raw/key972_bourdeau.js:1
340	ten	M	raw/key972_bourdeau.js:1
341	temp	C	raw/key972_bourdeau.js:1
344	there	H	raw/key972_bourdeau.js:1
346	thirty	H	raw/key972_bourdeau.js:1
348	three	H	raw/key972_bourdeau.js:1
350	time	H	raw/key972_bourdeau.js:1
351	tin	H	raw/key972_bourdeau.js:1
352	tion	H	raw/key972_bourdeau.js:1
353	tion	M	raw/key972_bourdeau.js:1
356	trea	H	raw/key972_bourdeau.js:1
358	trust	C	raw/key972_bourdeau.js:1
369	very	H	raw/key972_bourdeau.js:1
370	vest	C	raw/key972_bourdeau.js:1
372	view	H	raw/key972_bourdeau.js:1
377	under	H	raw/key972_bourdeau.js:1
379	upon	H	raw/key972_bourdeau.js:1
380	ur	H	raw/key972_bourdeau.js:1
383	w	H	raw/key972_bourdeau.js:1
384	ward	I	raw/key972_bourdeau.js:1
385	was	H	raw/key972_bourdeau.js:1
386	way	H	raw/key972_bourdeau.js:1
390	were	H	raw/key972_bourdeau.js:1
393	when	H	raw/key972_bourdeau.js:1
395	which	H	raw/key972_bourdeau.js:1
396	while	I	raw/key972_bourdeau.js:1
397	whom	H	raw/key972_bourdeau.js:1
402	word	H	raw/key972_bourdeau.js:1
405	would	H	raw/key972_bourdeau.js:1
410	your	C	raw/key972_bourdeau.js:1
411	z	H	raw/key972_bourdeau.js:1
415	you	H	raw/key972_bourdeau.js:1
417	y	H	raw/key972_bourdeau.js:1
418	ose	H	raw/key972_bourdeau.js:1
419	k	H	raw/key972_bourdeau.js:1
420	al	H	raw/key972_bourdeau.js:1
424	affair	H	raw/key972_bourdeau.js:1
425	after	H	raw/key972_bourdeau.js:1
430	appear	H	raw/key972_bourdeau.js:1
432	tion	H	raw/key972_bourdeau.js:1
444	Ber	M	raw/key972_bourdeau.js:1
447	better	H	raw/key972_bourdeau.js:1
459	cure	M	raw/key972_bourdeau.js:1
460	cy	H	raw/key972_bourdeau.js:1
465	count	C	raw/key972_bourdeau.js:1
468	con	M	raw/key972_bourdeau.js:1
470	con	H	raw/key972_bourdeau.js:1
471	con	C	raw/key972_bourdeau.js:1
475	circum	M	raw/key972_bourdeau.js:1
477	change	H	raw/key972_bourdeau.js:1
479	cause	H	raw/key972_bourdeau.js:1
486	diffe	H	raw/key972_bourdeau.js:1
500	dy	H	raw/key972_bourdeau.js:1
501	m	H	raw/key972_bourdeau.js:1
502	made	H	raw/key972_bourdeau.js:1
505	march	H	raw/key972_bourdeau.js:1
507	mark	H	raw/key972_bourdeau.js:1
509	me	H	raw/key972_bourdeau.js:1
510	mea	H	raw/key972_bourdeau.js:1
511	mean	H	raw/key972_bourdeau.js:1
514	ment	H	raw/key972_bourdeau.js:1
516	might	M	raw/key972_bourdeau.js:1
518	mis	M	raw/key972_bourdeau.js:1
520	mod	M	raw/key972_bourdeau.js:1
523	most	C	raw/key972_bourdeau.js:1
526	much	H	raw/key972_bourdeau.js:1
529	my	H	raw/key972_bourdeau.js:1
532	vot	M	raw/key972_bourdeau.js:1
533	mote	H	raw/key972_bourdeau.js:1
537	out	H	raw/key972_bourdeau.js:1
541	offer	H	raw/key972_bourdeau.js:1
550	one	H	raw/key972_bourdeau.js:1
555	re	H	raw/key972_bourdeau.js:1
558	relat	M	raw/key972_bourdeau.js:1
560	rent	H	raw/key972_bourdeau.js:1
561	re	H	raw/key972_bourdeau.js:1
562	re	M	raw/key972_bourdeau.js:1
570	roa	M	raw/key972_bourdeau.js:1
576	ery	M	raw/key972_bourdeau.js:1
577	tack	M	raw/key972_bourdeau.js:1
578	t	H	raw/key972_bourdeau.js:1
579	take	M	raw/key972_bourdeau.js:1
582	ted	H	raw/key972_bourdeau.js:1
584	than	H	raw/key972_bourdeau.js:1
585	their	H	raw/key972_bourdeau.js:1
586	then	H	raw/key972_bourdeau.js:1
587	they	H	raw/key972_bourdeau.js:1
589	third	H	raw/key972_bourdeau.js:1
590	this	H	raw/key972_bourdeau.js:1
591	these	M	raw/key972_bourdeau.js:1
593	thro	H	raw/key972_bourdeau.js:1
603	tune	H	raw/key972_bourdeau.js:1
605	twe	M	raw/key972_bourdeau.js:1
606	Two	M	raw/key972_bourdeau.js:1
607	ty	H	raw/key972_bourdeau.js:1
608	va	C	raw/key972_bourdeau.js:1
609	vail	H	raw/key972_bourdeau.js:1
611	ved	H	raw/key972_bourdeau.js:1
615	vin	C	raw/key972_bourdeau.js:1
618	ul	H	raw/key972_bourdeau.js:1
619	un	H	raw/key972_bourdeau.js:1
621	ar	M	raw/key972_bourdeau.js:1
623	we	M	raw/key972_bourdeau.js:1
626	who	H	raw/key972_bourdeau.js:1
627	whole	M	raw/key972_bourdeau.js:1
629	v	C	raw/key972_bourdeau.js:1
630	will	H	raw/key972_bourdeau.js:1
631	wise	C	raw/key972_bourdeau.js:1
632	with	H	raw/key972_bourdeau.js:1
633	Ta?	M	raw/key972_bourdeau.js:1
636	mp	H	raw/key972_bourdeau.js:1
639	pa*	C	raw/key972_bourdeau.js:1
644	pen	M	raw/key972_bourdeau.js:1
646	per	H	raw/key972_bourdeau.js:1
647	ph	H	raw/key972_bourdeau.js:1
651	plain	H	raw/key972_bourdeau.js:1
653	pleas	H	raw/key972_bourdeau.js:1
655	plish	M	raw/key972_bourdeau.js:1
658	point	H	raw/key972_bourdeau.js:1
659	port	H	raw/key972_bourdeau.js:1
662	pres	M	raw/key972_bourdeau.js:1
664	pro	H	raw/key972_bourdeau.js:1
665	pro	H	raw/key972_bourdeau.js:1
667	pros	M	raw/key972_bourdeau.js:1
669	put	C	raw/key972_bourdeau.js:1
671	lation	M	raw/key972_bourdeau.js:1
674	ledge	H	raw/key972_bourdeau.js:1
676	letter	H	raw/key972_bourdeau.js:1
687	any	H	raw/key972_bourdeau.js:1
690	army	H	raw/key972_bourdeau.js:1
692	ary	C	raw/key972_bourdeau.js:1
698	aid	H	raw/key972_bourdeau.js:1
702	ance	H	raw/key972_bourdeau.js:1
704	ap	H	raw/key972_bourdeau.js:1
706	ard	M	raw/key972_bourdeau.js:1
716	been	H	raw/key972_bourdeau.js:1
718	bat	H	raw/key972_bourdeau.js:1
719	Ba	M	raw/key972_bourdeau.js:1
720	bir	I	raw/key972_bourdeau.js:1
723	bo	H	raw/key972_bourdeau.js:1
734	Ca	H	raw/key972_bourdeau.js:1
735	cam	H	raw/key972_bourdeau.js:1
736	can	H	raw/key972_bourdeau.js:1
741	ce	H	raw/key972_bourdeau.js:1
742	cei	M	raw/key972_bourdeau.js:1
745	chan	H	raw/key972_bourdeau.js:1
747	ck	H	raw/key972_bourdeau.js:1
750	da	H	raw/key972_bourdeau.js:1
752	dan	H	raw/key972_bourdeau.js:1
753	day	H	raw/key972_bourdeau.js:1
758	dep	I	raw/key972_bourdeau.js:1
759	des	H	raw/key972_bourdeau.js:1
760	de	M	raw/key972_bourdeau.js:1
761	did	H	raw/key972_bourdeau.js:1
765	does	H	raw/key972_bourdeau.js:1
769	dress	M	raw/key972_bourdeau.js:1
772	e	H	raw/key972_bourdeau.js:1
773	ea	M	raw/key972_bourdeau.js:1
779	ea	M	raw/key972_bourdeau.js:1
781	ct	H	raw/key972_bourdeau.js:1
784	ne	M	raw/key972_bourdeau.js:1
786	ei	H	raw/key972_bourdeau.js:1
790	rence	H	raw/key972_bourdeau.js:1
792	p	M	raw/key972_bourdeau.js:1
793	er	M	raw/key972_bourdeau.js:1
794	er	H	raw/key972_bourdeau.js:1
795	ri	M	raw/key972_bourdeau.js:1
798	est	H	raw/key972_bourdeau.js:1
802	ab	M	raw/key972_bourdeau.js:1
803	ac	H	raw/key972_bourdeau.js:1
804	act	H	raw/key972_bourdeau.js:1
805	add	H	raw/key972_bourdeau.js:1
808	able	H	raw/key972_bourdeau.js:1
810	ag	M	raw/key972_bourdeau.js:1
811	age	H	raw/key972_bourdeau.js:1
817	al	H	raw/key972_bourdeau.js:1
819	also	H	raw/key972_bourdeau.js:1
821	n	H	raw/key972_bourdeau.js:1
822	nal	H	raw/key972_bourdeau.js:1
825	nce	I	raw/key972_bourdeau.js:1
827	ne	M	raw/key972_bourdeau.js:1
829	ned	H	raw/key972_bourdeau.js:1
832	ness	H	raw/key972_bourdeau.js:1
840	none	H	raw/key972_bourdeau.js:1
844	nty	C	raw/key972_bourdeau.js:1
848	side	M	raw/key972_bourdeau.js:1
849	sions	M	raw/key972_bourdeau.js:1
850	sive	H	raw/key972_bourdeau.js:1
853	state	M	raw/key972_bourdeau.js:1
854	such	H	raw/key972_bourdeau.js:1
855	pal	M	raw/key972_bourdeau.js:1
856	suf	C	raw/key972_bourdeau.js:1
857	sum	H	raw/key972_bourdeau.js:1
858	sures	H	raw/key972_bourdeau.js:1
859	sy	H	raw/key972_bourdeau.js:1
860	ly	H	raw/key972_bourdeau.js:1
864	pro	C	raw/key972_bourdeau.js:1
865	quest	H	raw/key972_bourdeau.js:1
867	ran	H	raw/key972_bourdeau.js:1
868	rd	C	raw/key972_bourdeau.js:1
869	re*	C	raw/key972_bourdeau.js:1
871	re	M	raw/key972_bourdeau.js:1
872	rec	H	raw/key972_bourdeau.js:1
876	ria	M	raw/key972_bourdeau.js:1
882	ro	H	raw/key972_bourdeau.js:1
885	urs	M	raw/key972_bourdeau.js:1
888	x	H	raw/key972_bourdeau.js:1
890	yet	H	raw/key972_bourdeau.js:1
891	yoke	H	raw/key972_bourdeau.js:1
899	us	H	raw/key972_bourdeau.js:1
901	ga	H	raw/key972_bourdeau.js:1
903	ged	M	raw/key972_bourdeau.js:1
907	give	H	raw/key972_bourdeau.js:1
910	particular	C	raw/key972_bourdeau.js:1
914	gu	H	raw/key972_bourdeau.js:1
916	had	H	raw/key972_bourdeau.js:1
917	half	I	raw/key972_bourdeau.js:1
921	have	H	raw/key972_bourdeau.js:1
922	hea	H	raw/key972_bourdeau.js:1
925	here	H	raw/key972_bourdeau.js:1
926	high	C	raw/key972_bourdeau.js:1
927	him	C	raw/key972_bourdeau.js:1
932	how	H	raw/key972_bourdeau.js:1
934	o	H	raw/key972_bourdeau.js:1
939	sue	H	raw/key972_bourdeau.js:1
943	upon	I	raw/key972_bourdeau.js:1
944	vol	M	raw/key972_bourdeau.js:1
945	on	H	raw/key972_bourdeau.js:1
946	on	C	raw/key972_bourdeau.js:1
947	only	H	raw/key972_bourdeau.js:1
951	ose	H	raw/key972_bourdeau.js:1
953	ou	C	raw/key972_bourdeau.js:1
963	ta	H	raw/key972_bourdeau.js:1
964	tain	M	raw/key972_bourdeau.js:1
965	tal	H	raw/key972_bourdeau.js:1
967	te	H	raw/key972_bourdeau.js:1
968	ter	H	raw/key972_bourdeau.js:1
970	th	H	raw/key972_bourdeau.js:1
971	that	H	raw/key972_bourdeau.js:1
972	the	H	raw/key972_bourdeau.js:1
973	them	H	raw/key972_bourdeau.js:1
974	tho	C	raw/key972_bourdeau.js:1
975	Sa	H	raw/key972_bourdeau.js:1
976	sal	H	raw/key972_bourdeau.js:1
977	scrip	M	raw/key972_bourdeau.js:1
979	sel	M	raw/key972_bourdeau.js:1
980	sem	M	raw/key972_bourdeau.js:1
981	s	M	raw/key972_bourdeau.js:1
983	so	H	raw/key972_bourdeau.js:1
985	sta	C	raw/key972_bourdeau.js:1
986	sti	H	raw/key972_bourdeau.js:1
987	stre	M	raw/key972_bourdeau.js:1
988	sub	H	raw/key972_bourdeau.js:1
989	sue	M	raw/key972_bourdeau.js:1
991	answ	M	raw/key972_bourdeau.js:1
992	qua	I	raw/key972_bourdeau.js:1
993	qui	M	raw/key972_bourdeau.js:1
1001	d	H	raw/key972_bourdeau.js:1
1005	de	H	raw/key972_bourdeau.js:1
1006	dec	H	raw/key972_bourdeau.js:1
1009	del	M	raw/key972_bourdeau.js:1
1010	dent	C	raw/key972_bourdeau.js:1
1013	di	C	raw/key972_bourdeau.js:1
1014	die	M	raw/key972_bourdeau.js:1
1017	din	M	raw/key972_bourdeau.js:1
1018	dis	H	raw/key972_bourdeau.js:1
1020	do	H	raw/key972_bourdeau.js:1
1024	dom	H	raw/key972_bourdeau.js:1
1027	dra	M	raw/key972_bourdeau.js:1
1028	il	M	raw/key972_bourdeau.js:1
1031	Du	H	raw/key972_bourdeau.js:1
1032	f	M	raw/key972_bourdeau.js:1
1034	fact	H	raw/key972_bourdeau.js:1
1039	fav	M	raw/key972_bourdeau.js:1
1041	feat	M	raw/key972_bourdeau.js:1
1045	few	H	raw/key972_bourdeau.js:1
1046	fi	H	raw/key972_bourdeau.js:1
1048	fi(ed)	I	raw/key972_bourdeau.js:1
1050	fi	M	raw/key972_bourdeau.js:1
1052	fit	M	raw/key972_bourdeau.js:1
1062	fol	M	raw/key972_bourdeau.js:1
1064	for	H	raw/key972_bourdeau.js:1
1065	former	H	raw/key972_bourdeau.js:1
1069	France	H	raw/key972_bourdeau.js:1
1070	fre	H	raw/key972_bourdeau.js:1
1071	fri	C	raw/key972_bourdeau.js:1
1075	refu	M	raw/key972_bourdeau.js:1
1078	I	H	raw/key972_bourdeau.js:1
1079	i*	C	raw/key972_bourdeau.js:1
1080	fin	C	raw/key972_bourdeau.js:1
1082	rt	I	raw/key972_bourdeau.js:1
1083	ie	H	raw/key972_bourdeau.js:1
1087	ig	H	raw/key972_bourdeau.js:1
1088	mil	H	raw/key972_bourdeau.js:1
1089	im	H	raw/key972_bourdeau.js:1
1090	in	H	raw/key972_bourdeau.js:1
1093	ise	M	raw/key972_bourdeau.js:1
1095	ju	H	raw/key972_bourdeau.js:1
1098	King	H	raw/key972_bourdeau.js:1
1099	lan	H	raw/key972_bourdeau.js:1
1116	s	H	raw/key972_bourdeau.js:1
1118	same	H	raw/key972_bourdeau.js:1
1120	sco	H	raw/key972_bourdeau.js:1
1121	se	H	raw/key972_bourdeau.js:1
1123	self	H	raw/key972_bourdeau.js:1
1124	sen	M	raw/key972_bourdeau.js:1
1125	sent	H	raw/key972_bourdeau.js:1
1126	sh	M	raw/key972_bourdeau.js:1
1127	she	H	raw/key972_bourdeau.js:1
1129	si	H	raw/key972_bourdeau.js:1
1132	sist	I	raw/key972_bourdeau.js:1
1134	six	H	raw/key972_bourdeau.js:1
1138	soon	C	raw/key972_bourdeau.js:1
1139	Spa	M	raw/key972_bourdeau.js:1
1142	st	H	raw/key972_bourdeau.js:1
1143	ste	M	raw/key972_bourdeau.js:1
1146	suc	H	raw/key972_bourdeau.js:1
1154	vy	H	raw/key972_bourdeau.js:1
1156	vi	H	raw/key972_bourdeau.js:1
1157	ve	H	raw/key972_bourdeau.js:1
1158	val*	C	raw/key972_bourdeau.js:1
1159	varia	M	raw/key972_bourdeau.js:1
1161	ti	H	raw/key972_bourdeau.js:1
1165	to	H	raw/key972_bourdeau.js:1
1168	Pr	M	raw/key972_bourdeau.js:1
1169	tran	M	raw/key972_bourdeau.js:1
1175	tua	H	raw/key972_bourdeau.js:1
1177	purp	H	raw/key972_bourdeau.js:1
1179	po	H	raw/key972_bourdeau.js:1
1180	pos	H	raw/key972_bourdeau.js:1
1182	sist	M	raw/key972_bourdeau.js:1
1186	tra	C	raw/key972_bourdeau.js:1
1187	pet	H	raw/key972_bourdeau.js:1
1188	pecu	M	raw/key972_bourdeau.js:1
1189	pe	M	raw/key972_bourdeau.js:1
1193	prob	M	raw/key972_bourdeau.js:1
1196	degra	M	raw/key972_bourdeau.js:1
1201	a	H	raw/key972_bourdeau.js:1
1202	above	M	raw/key972_bourdeau.js:1
1203	a	M	raw/key972_bourdeau.js:1
1208	again	H	raw/key972_bourdeau.js:1
1209	Agent	C	raw/key972_bourdeau.js:1
1210	an	M	raw/key972_bourdeau.js:1
1216	an	H	raw/key972_bourdeau.js:1
1217	and	H	raw/key972_bourdeau.js:1
1222	ce	M	raw/key972_bourdeau.js:1
1223	are	H	raw/key972_bourdeau.js:1
1224	arm	I	raw/key972_bourdeau.js:1
1225	as	H	raw/key972_bourdeau.js:1
1228	at	H	raw/key972_bourdeau.js:1
1230	c	C	raw/key972_bourdeau.js:1
1231	tical	H	raw/key972_bourdeau.js:1
1235	carry	H	raw/key972_bourdeau.js:1
1236	cee	M	raw/key972_bourdeau.js:1
1238	ces	H	raw/key972_bourdeau.js:1
1241	ci	H	raw/key972_bourdeau.js:1
1245	cou	H	raw/key972_bourdeau.js:1
1247	com	H	raw/key972_bourdeau.js:1
1249	cor	M	raw/key972_bourdeau.js:1
1251	cre	C	raw/key972_bourdeau.js:1
1252	cred	C	raw/key972_bourdeau.js:1
1254	ct	H	raw/key972_bourdeau.js:1
1255	cus	M	raw/key972_bourdeau.js:1
1257	duct	I	raw/key972_bourdeau.js:1
1260	dou	H	raw/key972_bourdeau.js:1
1268	ed	H	raw/key972_bourdeau.js:1
1270	en	M	raw/key972_bourdeau.js:1
1272	eight	H	raw/key972_bourdeau.js:1
1273	el	I	raw/key972_bourdeau.js:1
1279	Emp	H	raw/key972_bourdeau.js:1
1280	en	H	raw/key972_bourdeau.js:1
1282	end	H	raw/key972_bourdeau.js:1
1284	ent	H	raw/key972_bourdeau.js:1
1286	p*	C	raw/key972_bourdeau.js:1
1287	equal	M	raw/key972_bourdeau.js:1
1291	es	M	raw/key972_bourdeau.js:1
1292	Et	M	raw/key972_bourdeau.js:1
1298	ex	H	raw/key972_bourdeau.js:1
1302	ide	C	raw/key972_bourdeau.js:1
1304	ject	H	raw/key972_bourdeau.js:1
1306	jest	H	raw/key972_bourdeau.js:1
1312	know	H	raw/key972_bourdeau.js:1
1313	late	H	raw/key972_bourdeau.js:1
1318	let	C	raw/key972_bourdeau.js:1
1319	li	C	raw/key972_bourdeau.js:1
1320	like	I	raw/key972_bourdeau.js:1
1321	ll	M	raw/key972_bourdeau.js:1
1324	plo	H	raw/key972_bourdeau.js:1
1325	long	H	raw/key972_bourdeau.js:1
1328	Low	H	raw/key972_bourdeau.js:1
1334	mis	H	raw/key972_bourdeau.js:1
1336	over	C	raw/key972_bourdeau.js:1
1337	na	H	raw/key972_bourdeau.js:1
1340	native	H	raw/key972_bourdeau.js:1
1342	ne	H	raw/key972_bourdeau.js:1
1344	niard	M	raw/key972_bourdeau.js:1
1346	nish	M	raw/key972_bourdeau.js:1
1348	broa	M	raw/key972_bourdeau.js:1
1354	of	H	raw/key972_bourdeau.js:1
1359	ony	H	raw/key972_bourdeau.js:1
1361	or	H	raw/key972_bourdeau.js:1
1367	our	C	raw/key972_bourdeau.js:1
1373	po	H	raw/key972_bourdeau.js:1
1375	pose	H	raw/key972_bourdeau.js:1
1377	pre	M	raw/key972_bourdeau.js:1
1378	pri	M	raw/key972_bourdeau.js:1
1379	re	H	raw/key972_bourdeau.js:1
1380	ready	H	raw/key972_bourdeau.js:1
1381	reg	H	raw/key972_bourdeau.js:1
1383	rep	H	raw/key972_bourdeau.js:1
1393	purp*	C	raw/key972_bourdeau.js:1
1394	ru	H	raw/key972_bourdeau.js:1
1395	Italy	H	raw/key972_bourdeau.js:1
1401	b	M	raw/key972_bourdeau.js:1
1405	be	H	raw/key972_bourdeau.js:1
1409	bel	M	raw/key972_bourdeau.js:1
1410	be	M	raw/key972_bourdeau.js:1
1411	be	H	raw/key972_bourdeau.js:1
1415	be	C	raw/key972_bourdeau.js:1
1419	both	H	raw/key972_bourdeau.js:1
1423	brother	H	raw/key972_bourdeau.js:1
1424	rebu	M	raw/key972_bourdeau.js:1
1428	but	H	raw/key972_bourdeau.js:1
1429	by	H	raw/key972_bourdeau.js:1
1431	g	H	raw/key972_bourdeau.js:1
1433	ge	M	raw/key972_bourdeau.js:1
1435	ger	H	raw/key972_bourdeau.js:1
1437	ging	M	raw/key972_bourdeau.js:1
1443	good	H	raw/key972_bourdeau.js:1
1450	hang	M	raw/key972_bourdeau.js:1
1454	happy	M	raw/key972_bourdeau.js:1
1456	has	H	raw/key972_bourdeau.js:1
1459	he	H	raw/key972_bourdeau.js:1
1463	her	H	raw/key972_bourdeau.js:1
1464	hi	M	raw/key972_bourdeau.js:1
1467	his	H	raw/key972_bourdeau.js:1
1470	home	H	raw/key972_bourdeau.js:1
1471	honour	M	raw/key972_bourdeau.js:1
1472	hope	C	raw/key972_bourdeau.js:1
1475	Hun	M	raw/key972_bourdeau.js:1
1478	ing	H	raw/key972_bourdeau.js:1
1479	into	C	raw/key972_bourdeau.js:1
1480	ion	H	raw/key972_bourdeau.js:1
1481	ir	H	raw/key972_bourdeau.js:1
1482	is	H	raw/key972_bourdeau.js:1
1483	ish	I	raw/key972_bourdeau.js:1
1484	it	H	raw/key972_bourdeau.js:1
1485	ite	H	raw/key972_bourdeau.js:1
1488	ke	M	raw/key972_bourdeau.js:1
1490	la	H	raw/key972_bourdeau.js:1
1491	lar	M	raw/key972_bourdeau.js:1
1492	last	C	raw/key972_bourdeau.js:1
1493	law	H	raw/key972_bourdeau.js:1
1494	le	H	raw/key972_bourdeau.js:1
1497	led	M	raw/key972_bourdeau.js:1
1498	left	H	raw/key972_bourdeau.js:1
1500	lesia	M	raw/key972_bourdeau.js:1
1501	Eu	M	raw/key972_bourdeau.js:1
1502	even	C	raw/key972_bourdeau.js:1
1509	expe	H	raw/key972_bourdeau.js:1
1516	fa	H	raw/key972_bourdeau.js:1
1519	favor	M	raw/key972_bourdeau.js:1
1523	ficient	C	raw/key972_bourdeau.js:1
1530	first	H	raw/key972_bourdeau.js:1
1533	flag*	C	raw/key972_bourdeau.js:1
1538	fo	H	raw/key972_bourdeau.js:1
1543	forty	H	raw/key972_bourdeau.js:1
1547	from	H	raw/key972_bourdeau.js:1
1549	ful	M	raw/key972_bourdeau.js:1
1551	Ma	H	raw/key972_bourdeau.js:1
1552	ma	C	raw/key972_bourdeau.js:1
1553	maj	C	raw/key972_bourdeau.js:1
1554	make	C	raw/key972_bourdeau.js:1
1555	man	H	raw/key972_bourdeau.js:1
1557	Marshal	H	raw/key972_bourdeau.js:1
1558	mask	H	raw/key972_bourdeau.js:1
1561	men	H	raw/key972_bourdeau.js:1
1562	mer	H	raw/key972_bourdeau.js:1
1565	mil	C	raw/key972_bourdeau.js:1
1566	mi	M	raw/key972_bourdeau.js:1
1569	mit	H	raw/key972_bourdeau.js:1
1571	Mol	M	raw/key972_bourdeau.js:1
1572	mor	H	raw/key972_bourdeau.js:1
1577	mu	H	raw/key972_bourdeau.js:1
1585	now	H	raw/key972_bourdeau.js:1
1587	not	H	raw/key972_bourdeau.js:1
1588	nor	M	raw/key972_bourdeau.js:1
1590	no	H	raw/key972_bourdeau.js:1
1591	think	M	raw/key972_bourdeau.js:1
1594	ing	H	raw/key972_bourdeau.js:1
1600	less	C	raw/key972_bourdeau.js:1
1687	not	C	raw/key972_bourdeau.js:1
