value	plaintext	grade	source_line
502	made	C	raw/code972_partial_tomokiyo.json:1
510	m...?	M	raw/code972_partial_tomokiyo.json:1
511	mean	C	raw/code972_partial_tomokiyo.json:1
523	most	C	raw/code972_partial_tomokiyo.json:1
529	my	C	raw/code972_partial_tomokiyo.json:1
541	offer	C	raw/code972_partial_tomokiyo.json:1
560	rent*	C	raw/code972_partial_tomokiyo.json:1
561	res*	C	raw/code972_partial_tomokiyo.json:1
578	nt*	C	raw/code972_partial_tomokiyo.json:1
582	(e)d	C	raw/code972_partial_tomokiyo.json:1
607	ty	C	raw/code972_partial_tomokiyo.json:1
608	va	C	raw/code972_partial_tomokiyo.json:1
615	vin	C	raw/code972_partial_tomokiyo.json:1
619	un	C	raw/code972_partial_tomokiyo.json:1
629	v	C	raw/code972_partial_tomokiyo.json:1
631	wise	C	raw/code972_partial_tomokiyo.json:1
639	pa*	C	raw/code972_partial_tomokiyo.json:1
659	port	C	raw/code972_partial_tomokiyo.json:1
664	pro	C	raw/code972_partial_tomokiyo.json:1
669	put	C	raw/code972_partial_tomokiyo.json:1
674	ledge	C	raw/code972_partial_tomokiyo.json:1
676	letter	C	raw/code972_partial_tomokiyo.json:1
692	ary	C	raw/code972_partial_tomokiyo.json:1
702	ance	C	raw/code972_partial_tomokiyo.json:1
704	ap	C	raw/code972_partial_tomokiyo.json:1
716	been	C	raw/code972_partial_tomokiyo.json:1
720	b...?	M	raw/code972_partial_tomokiyo.json:1
723	bo	C	raw/code972_partial_tomokiyo.json:1
734	ca	C	raw/code972_partial_tomokiyo.json:1
736	c...?	M	raw/code972_partial_tomokiyo.json:1
741	ce	C	raw/code972_partial_tomokiyo.json:1
772	e	C	raw/code972_partial_tomokiyo.json:1
786	ei	C	raw/code972_partial_tomokiyo.json:1
794	Er	C	raw/code972_partial_tomokiyo.json:1
798	est	C	raw/code972_partial_tomokiyo.json:1
803	ac	C	raw/code972_partial_tomokiyo.json:1
817	al	C	raw/code972_partial_tomokiyo.json:1
821	n	C	raw/code972_partial_tomokiyo.json:1
844	nty	C	raw/code972_partial_tomokiyo.json:1
856	suf	C	raw/code972_partial_tomokiyo.json:1
857	sum	C	raw/code972_partial_tomokiyo.json:1
860	ly	C	raw/code972_partial_tomokiyo.json:1
864	pro	C	raw/code972_partial_tomokiyo.json:1
868	rd	C	raw/code972_partial_tomokiyo.json:1
869	re*	C	raw/code972_partial_tomokiyo.json:1
872	rec	C	raw/code972_partial_tomokiyo.json:1
899	us	C	raw/code972_partial_tomokiyo.json:1
910	particular	C	raw/code972_partial_tomokiyo.json:1
916	had	C	raw/code972_partial_tomokiyo.json:1
921	have	C	raw/code972_partial_tomokiyo.json:1
926	high	C	raw/code972_partial_tomokiyo.json:1
927	him	C	raw/code972_partial_tomokiyo.json:1
934	o	C	raw/code972_partial_tomokiyo.json:1
945	on	C	raw/code972_partial_tomokiyo.json:1
946	on	C	raw/code972_partial_tomokiyo.json:1
951	ose*	C	raw/code972_partial_tomokiyo.json:1
953	ou	C	raw/code972_partial_tomokiyo.json:1
968	ter	C	raw/code972_partial_tomokiyo.json:1
970	t...?	M	raw/code972_partial_tomokiyo.json:1
971	that	C	raw/code972_partial_tomokiyo.json:1
972	The	C	raw/code972_partial_tomokiyo.json:1
973	them	C	raw/code972_partial_tomokiyo.json:1
974	tho	C	raw/code972_partial_tomokiyo.json:1
975	sa	C	raw/code972_partial_tomokiyo.json:1
976	sal	C	raw/code972_partial_tomokiyo.json:1
983	so	C	raw/code972_partial_tomokiyo.json:1
985	sta	C	raw/code972_partial_tomokiyo.json:1
988	sub	C	raw/code972_partial_tomokiyo.json:1
1001	d	C	raw/code972_partial_tomokiyo.json:1
1005	de	C	raw/code972_partial_tomokiyo.json:1
1006	dec	C	raw/code972_partial_tomokiyo.json:1
1010	dent	C	raw/code972_partial_tomokiyo.json:1
1013	di	C	raw/code972_partial_tomokiyo.json:1
1018	dis	C	raw/code972_partial_tomokiyo.json:1
1020	do	C	raw/code972_partial_tomokiyo.json:1
1046	fi	C	raw/code972_partial_tomokiyo.json:1
1048	f...?	M	raw/code972_partial_tomokiyo.json:1
1052	f...?	M	raw/code972_partial_tomokiyo.json:1
1064	for	C	raw/code972_partial_tomokiyo.json:1
1069	France	C	raw/code972_partial_tomokiyo.json:1
1071	fri	C	raw/code972_partial_tomokiyo.json:1
1078	I	C	raw/code972_partial_tomokiyo.json:1
1079	i*	C	raw/code972_partial_tomokiyo.json:1
1080	fin	C	raw/code972_partial_tomokiyo.json:1
1083	je	C	raw/code972_partial_tomokiyo.json:1
1089	im	C	raw/code972_partial_tomokiyo.json:1
1090	in	C	raw/code972_partial_tomokiyo.json:1
1095	ju	C	raw/code972_partial_tomokiyo.json:1
1116	s	C	raw/code972_partial_tomokiyo.json:1
1121	se	C	raw/code972_partial_tomokiyo.json:1
1123	self	C	raw/code972_partial_tomokiyo.json:1
1125	sent	C	raw/code972_partial_tomokiyo.json:1
1127	she	C	raw/code972_partial_tomokiyo.json:1
1129	si	C	raw/code972_partial_tomokiyo.json:1
1138	soon	C	raw/code972_partial_tomokiyo.json:1
1156	vi	C	raw/code972_partial_tomokiyo.json:1
1158	val*	C	raw/code972_partial_tomokiyo.json:1
1161	ti	C	raw/code972_partial_tomokiyo.json:1
1165	to	C	raw/code972_partial_tomokiyo.json:1
1177	press*	C	raw/code972_partial_tomokiyo.json:1
1180	pos	C	raw/code972_partial_tomokiyo.json:1
1186	tra	C	raw/code972_partial_tomokiyo.json:1
1201	a	C	raw/code972_partial_tomokiyo.json:1
1202	a...?	M	raw/code972_partial_tomokiyo.json:1
1209	Agent	C	raw/code972_partial_tomokiyo.json:1
1216	an	C	raw/code972_partial_tomokiyo.json:1
1217	and	C	raw/code972_partial_tomokiyo.json:1
1218	a...?	M	raw/code972_partial_tomokiyo.json:1
1225	as	C	raw/code972_partial_tomokiyo.json:1
1230	c	C	raw/code972_partial_tomokiyo.json:1
1238	ces	C	raw/code972_partial_tomokiyo.json:1
1251	cre	C	raw/code972_partial_tomokiyo.json:1
1252	cred	C	raw/code972_partial_tomokiyo.json:1
1254	ct	C	raw/code972_partial_tomokiyo.json:1
1268	ed	C	raw/code972_partial_tomokiyo.json:1
1273	e...?	M	raw/code972_partial_tomokiyo.json:1
1280	en	C	raw/code972_partial_tomokiyo.json:1
1282	end	C	raw/code972_partial_tomokiyo.json:1
1284	ent	C	raw/code972_partial_tomokiyo.json:1
1286	p*	C	raw/code972_partial_tomokiyo.json:1
1302	ide	C	raw/code972_partial_tomokiyo.json:1
1312	konw	C	raw/code972_partial_tomokiyo.json:1
1313	late	C	raw/code972_partial_tomokiyo.json:1
1318	let	C	raw/code972_partial_tomokiyo.json:1
1319	li	C	raw/code972_partial_tomokiyo.json:1
1320	l...??	M	raw/code972_partial_tomokiyo.json:1
1334	mis	C	raw/code972_partial_tomokiyo.json:1
1336	over	C	raw/code972_partial_tomokiyo.json:1
1337	na*	C	raw/code972_partial_tomokiyo.json:1
1354	of	C	raw/code972_partial_tomokiyo.json:1
1361	or	C	raw/code972_partial_tomokiyo.json:1
1367	our	C	raw/code972_partial_tomokiyo.json:1
1373	po	C	raw/code972_partial_tomokiyo.json:1
1383	rep*	C	raw/code972_partial_tomokiyo.json:1
1393	purp*	C	raw/code972_partial_tomokiyo.json:1
1411	be	C	raw/code972_partial_tomokiyo.json:1
1415	be	C	raw/code972_partial_tomokiyo.json:1
1429	by	C	raw/code972_partial_tomokiyo.json:1
1431	g	C	raw/code972_partial_tomokiyo.json:1
1456	had	C	raw/code972_partial_tomokiyo.json:1
1459	he	C	raw/code972_partial_tomokiyo.json:1
1463	her	C	raw/code972_partial_tomokiyo.json:1
1467	his	C	raw/code972_partial_tomokiyo.json:1
1472	hope	C	raw/code972_partial_tomokiyo.json:1
1478	ing	C	raw/code972_partial_tomokiyo.json:1
1479	into	C	raw/code972_partial_tomokiyo.json:1
1480	ion	C	raw/code972_partial_tomokiyo.json:1
1481	ir	C	raw/code972_partial_tomokiyo.json:1
1482	[is]	C	raw/code972_partial_tomokiyo.json:1
1483	i...?	M	raw/code972_partial_tomokiyo.json:1
1484	it	C	raw/code972_partial_tomokiyo.json:1
1490	la	C	raw/code972_partial_tomokiyo.json:1
1492	last	C	raw/code972_partial_tomokiyo.json:1
1494	le	C	raw/code972_partial_tomokiyo.json:1
1502	even	C	raw/code972_partial_tomokiyo.json:1
1523	ficient	C	raw/code972_partial_tomokiyo.json:1
1533	flag*	C	raw/code972_partial_tomokiyo.json:1
1538	fo	C	raw/code972_partial_tomokiyo.json:1
1547	from	C	raw/code972_partial_tomokiyo.json:1
1552	ma	C	raw/code972_partial_tomokiyo.json:1
1553	maj	C	raw/code972_partial_tomokiyo.json:1
1554	make	C	raw/code972_partial_tomokiyo.json:1
1555	man	C	raw/code972_partial_tomokiyo.json:1
1561	m...?	M	raw/code972_partial_tomokiyo.json:1
1562	mer	C	raw/code972_partial_tomokiyo.json:1
1565	mil	C	raw/code972_partial_tomokiyo.json:1
1590	no	C	raw/code972_partial_tomokiyo.json:1
1594	ing	C	raw/code972_partial_tomokiyo.json:1
1600	less	C	raw/code972_partial_tomokiyo.json:1
1687	not	C	raw/code972_partial_tomokiyo.json:1
