design	stat	mean	sd	p05	p50	p95	target	target_percentile
hdec	gap_small_frac	0.265	0.032	0.215	0.264	0.321	0.024	0
hdec	gap_small_frac_shuffled	0.263	0.032	0.217	0.264	0.321	0.038	0
hhom_lazy	N	369.000	0.000	369	369	369	369	50
hhom_lazy	D	117.617	9.200	102	118	133	216	100
hhom_lazy	D/N	0.319	0.025	0.276	0.320	0.360	0.585	100
hhom_lazy	low_share	0.847	0.023	0.808	0.851	0.881	0.358	0
hhom_lazy	low_distinct	65.450	4.880	57	66	73	48	0
hhom_lazy	hi_distinct	52.167	7.524	42	52	64	168	100
hhom_lazy	units_top1	0.344	0.063	0.250	0.340	0.478	0.388	78
hhom_lazy	units_top2	0.529	0.064	0.442	0.516	0.642	0.586	78
hhom_lazy	units_H	2.733	0.170	2.387	2.777	2.985	2.572	18
hhom_lazy	units_digit0_share	0.342	0.066	0.239	0.340	0.478	0.388	78
hhom_lazy	decades_occupied	40.283	5.364	32	40	50	99	100
hhom_lazy	decade_multi_frac	0.228	0.080	0.104	0.229	0.371	0.455	100
hhom_lazy	variants_per_decade	1.299	0.126	1.104	1.279	1.525	1.697	100
hhom_lazy	decade_units_modal	0.492	0.105	0.333	0.500	0.667	0.570	82
hhom_lazy	decade_units_null	0.483	0.036	0.436	0.479	0.551	0.501	69
hhom_lazy	decade_units_z	0.018	0.923	-1.270	-0.115	1.524	2.759	98
hhom_lazy	block_trough	0.000	0.000	0.000	0.000	0.000	0.071	100
hhom_lazy	block_pair_min	0.983	0.785	0	1	2	4	100
hhom_lazy	freqpos_jsd	0.076	0.009	0.063	0.076	0.092	0.020	0
hhom_lazy	onepart_dist	0.426	0.001	0.423	0.427	0.428	0.417	0
hhom_lazy	digit_order_rho	0.753	0.156	0.500	0.800	0.967	0.400	2
hhom_lazy	digits23_share	0.291	0.067	0.182	0.289	0.410	0.083	0
hhom_lazy	top10_share	0.467	0.037	0.404	0.474	0.539	0.203	0
hhom_lazy	top10_pos_sd	0.005	0.003	0.002	0.004	0.014	0.283	100
hhom_lazy	gap_median	33.533	7.715	23	33	49	544	100
hhom_lazy	gap_median_shuffled	32.950	6.453	25	31	45	536	100
hhom_lazy	gap_small_frac	0.292	0.036	0.234	0.288	0.359	0.024	0
hhom_lazy	gap_small_frac_shuffled	0.283	0.035	0.226	0.280	0.342	0.038	0
hhom_flat	N	369.000	0.000	369	369	369	369	50
hhom_flat	D	119.433	9.394	105	121	130	216	100
hhom_flat	D/N	0.324	0.025	0.285	0.328	0.352	0.585	100
hhom_flat	low_share	0.847	0.023	0.808	0.851	0.881	0.358	0
hhom_flat	low_distinct	65.450	4.880	57	66	73	48	0
hhom_flat	hi_distinct	53.983	7.818	44	55	70	168	100
hhom_flat	units_top1	0.169	0.024	0.135	0.164	0.220	0.388	100
hhom_flat	units_top2	0.314	0.037	0.265	0.310	0.380	0.586	100
hhom_flat	units_H	3.193	0.069	3.036	3.212	3.286	2.572	0
hhom_flat	units_digit0_share	0.103	0.040	0.045	0.098	0.174	0.388	100
hhom_flat	decades_occupied	40.283	5.364	32	40	50	99	100
hhom_flat	decade_multi_frac	0.244	0.078	0.111	0.243	0.375	0.455	100
hhom_flat	variants_per_decade	1.345	0.136	1.128	1.333	1.594	1.697	100
hhom_flat	decade_units_modal	0.399	0.097	0.283	0.375	0.667	0.570	93
hhom_flat	decade_units_null	0.407	0.027	0.367	0.405	0.442	0.501	100
hhom_flat	decade_units_z	-0.097	0.934	-1.350	-0.326	1.999	2.759	100
hhom_flat	block_trough	0.000	0.000	0.000	0.000	0.000	0.071	100
hhom_flat	block_pair_min	0.983	0.785	0	1	2	4	100
hhom_flat	freqpos_jsd	0.079	0.009	0.067	0.077	0.099	0.020	0
hhom_flat	onepart_dist	0.426	0.001	0.423	0.427	0.428	0.417	0
hhom_flat	digit_order_rho	0.163	0.323	-0.450	0.233	0.717	0.400	72
hhom_flat	digits23_share	0.225	0.059	0.127	0.222	0.340	0.083	2
hhom_flat	top10_share	0.467	0.037	0.404	0.474	0.539	0.203	0
hhom_flat	top10_pos_sd	0.005	0.003	0.002	0.004	0.014	0.283	100
hhom_flat	gap_median	33.550	7.706	23	33	49	544	100
hhom_flat	gap_median_shuffled	32.967	6.445	25	31	45	536	100
hhom_flat	gap_small_frac	0.292	0.036	0.234	0.288	0.359	0.024	0
hhom_flat	gap_small_frac_shuffled	0.283	0.035	0.226	0.283	0.342	0.038	0
hinsert	N	369.000	0.000	369	369	369	369	50
hinsert	D	150.867	10.377	132	150	169	216	100
hinsert	D/N	0.409	0.028	0.358	0.407	0.458	0.585	100
hinsert	low_share	0.686	0.027	0.637	0.691	0.726	0.358	0
hinsert	low_distinct	59.667	5.470	52	60	69	48	2
hinsert	hi_distinct	91.200	7.771	78	92	104	168	100
hinsert	units_top1	0.403	0.050	0.323	0.399	0.477	0.388	43
hinsert	units_top2	0.627	0.048	0.546	0.632	0.689	0.586	18
hinsert	units_H	2.351	0.145	2.130	2.332	2.640	2.572	90
hinsert	units_digit0_share	0.403	0.050	0.323	0.399	0.477	0.388	43
hinsert	decades_occupied	73.667	6.680	62	74	85	99	100
hinsert	decade_multi_frac	0.211	0.053	0.139	0.203	0.352	0.455	100
hinsert	variants_per_decade	1.240	0.063	1.154	1.227	1.414	1.697	100
hinsert	decade_units_modal	0.723	0.081	0.583	0.733	0.833	0.570	2
hinsert	decade_units_null	0.537	0.027	0.496	0.542	0.594	0.501	10
hinsert	decade_units_z	3.236	1.686	0.988	3.134	6.804	2.759	45
hinsert	block_trough	0.284	0.145	0.111	0.286	0.500	0.071	5
hinsert	block_pair_min	6.067	1.825	3	6	9	4	14
hinsert	freqpos_jsd	0.071	0.012	0.052	0.071	0.097	0.020	0
hinsert	onepart_dist	0.424	0.007	0.420	0.425	0.427	0.417	3
hinsert	digit_order_rho	0.952	0.042	0.867	0.967	1.000	0.400	0
hinsert	digits23_share	0.395	0.068	0.295	0.394	0.513	0.083	0
hinsert	top10_share	0.385	0.038	0.331	0.388	0.453	0.203	0
hinsert	top10_pos_sd	0.031	0.071	0.003	0.006	0.229	0.283	97
hinsert	gap_median	189.233	78.954	81	178	338	544	100
hinsert	gap_median_shuffled	127.450	56.183	64	114	247	536	100
hinsert	gap_small_frac	0.173	0.028	0.133	0.171	0.215	0.024	0
hinsert	gap_small_frac_shuffled	0.190	0.031	0.147	0.193	0.245	0.038	0
seq_pblock	N	369.000	0.000	369	369	369	369	50
seq_pblock	D	168.583	13.139	142	172	191	216	100
seq_pblock	D/N	0.457	0.036	0.385	0.466	0.518	0.585	100
seq_pblock	low_share	0.629	0.027	0.577	0.631	0.667	0.358	0
seq_pblock	low_distinct	57.517	6.201	46	58	66	48	11
seq_pblock	hi_distinct	111.067	10.440	94	112	128	168	100
seq_pblock	units_top1	0.152	0.019	0.129	0.151	0.188	0.388	100
seq_pblock	units_top2	0.284	0.022	0.250	0.283	0.325	0.586	100
seq_pblock	units_H	3.254	0.031	3.211	3.263	3.294	2.572	0
seq_pblock	units_digit0_share	0.097	0.028	0.053	0.097	0.153	0.388	100
seq_pblock	decades_occupied	85.550	6.404	75	86	96	99	100
seq_pblock	decade_multi_frac	0.254	0.045	0.191	0.256	0.337	0.455	100
seq_pblock	variants_per_decade	1.297	0.058	1.205	1.305	1.400	1.697	100
seq_pblock	decade_units_modal	0.666	0.090	0.512	0.671	0.821	0.570	15
seq_pblock	decade_units_null	0.408	0.012	0.390	0.410	0.429	0.501	100
seq_pblock	decade_units_z	5.882	2.590	2.288	5.860	10.188	2.759	13
seq_pblock	block_trough	0.343	0.154	0.111	0.375	0.625	0.071	5
seq_pblock	block_pair_min	7.850	1.797	5	8	11	4	2
seq_pblock	freqpos_jsd	0.068	0.010	0.051	0.068	0.087	0.020	0
seq_pblock	onepart_dist	0.426	0.019	0.420	0.425	0.481	0.417	5
seq_pblock	digit_order_rho	0.020	0.385	-0.567	0.033	0.683	0.400	81
seq_pblock	digits23_share	0.220	0.038	0.167	0.219	0.292	0.083	0
seq_pblock	top10_share	0.353	0.041	0.295	0.350	0.431	0.203	0
seq_pblock	top10_pos_sd	0.036	0.069	0.003	0.008	0.201	0.283	98
seq_pblock	gap_median	408.400	83.444	253	417	548	544	95
seq_pblock	gap_median_shuffled	315.917	88.057	179	318	469	536	98
seq_pblock	gap_small_frac	0.142	0.027	0.098	0.141	0.190	0.024	0
seq_pblock	gap_small_frac_shuffled	0.161	0.027	0.114	0.166	0.201	0.038	0
