query	variant	status	total_items	volume_id	title	author	year	snippet	phrase_in_snippet	logged_url
"vid Mitov"	base	200	2	WQHKWzqiA2wC	Hemlig skrift	Henning Stålhane	1934	... vid Mitov , nembligen , att I ej gå uhr det ena retrancherede 2162 ( lägret ) för än I veta , hvar I kunne antreffa en ort , der I åter i en hast , när I der anlende , eder retran- chera kunne ; helst medan den landzorten , där I gg&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22vid+Mitov%22&maxResults=20&key=REDACTED&country=US
"vid Mitov"	full	200	1	W38LAAAAIAAJ	Historisk tidskrift		1887	... vid Mitov , nembligen , att I ej gå uhr det ena retrancherede 2162 [ lägret ? ] för än Iveta , hvar I kunne antreffa en ort , der I åter i en hast , när I der anlende , eder retranchera kunne ; helst medan den landzorten , där I gg [ nu&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22vid+Mitov%22&maxResults=20&key=REDACTED&country=US&filter=full
"Några ord om chifferskrift"	base	200	300	8X4LAAAAIAAJ	Historisk tidskrift		1889	... Några ord om chifferskrift . Af R. Torpadie . Utg . sid . 376- 383 af Historisk Tidskrift 1888 . Inneh . bl . a . upplösning af ett chifferbref från k . Gustaf II Adolf till A. Oxenstierna af d . 23 Juli 1632 . 1120. Svenska&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	3S8rhOEmDIIC	The Codebreakers	David Kahn	1996-12-05	... Några ord om chifferskrift , &quot; Historisk Tidskrift , VII ( 1888 ) , 376-383 . 479 Chifferbyråernas ... : Revue Militaire Française ( 1931 ) , 211-231 . 479 Warburg : Gyldén . Warburg wrote &quot; Chiffer , &quot; Nordisk Familjebok , 3rd ed&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	xoqSF8GzYrMC	Historisk tidskrift		1889	... Några ord om chifferskrift . Af R. Torpadie . Utg . sid . 376- 383 af Historisk Tidskrift 1888 . Inneh . bl . a . upplösning af ett chifferbref från k . Gustaf II Adolf till A. Oxenstierna af d . 23 Juli 1632 . 1120. Svenska&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	AIYBAAAAYAAJ	Öfverste Mikael Anckarsvärds minnen från åren 1788-1790	Mikael Anckarsvärd	1892	... 1. Medeltiden . 25 pl . Fol . + V + 64 s . text . 8 : 0 . 2. Nyare tiden med texten af E. Hildebrand . 29 pl . Fol . + 9 s . text . 8 : 0 . Sthlm 1894 , 1900 . 102. Torpadie , R. , Några ord om chifferskrift . 8 [ 89-101 ] C. PALEOGRAFI .	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	3fAtAAAAIAAJ	Svensk historisk bibliografi		1907	... V + 64 s . text . 8 : 0 . 2. Nyare tiden med texten af E. Hildebrand . 29 pl . Fol . + 9 s . text . 8 : 0 . Sthlm 1894 , 1900 . 102. Torpadie , R. , Några ord om chifferskrift . 8 [ 89-101 ] C. PALEOGRAFI . Paleografi (n 96--102)	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	A4AQAAAAYAAJ	Historisk bibliografi för Sverige		1889		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	RgA4AQAAMAAJ	Historisk bibliografi för Sverge		1881		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	NyLEJCJxUkQC	Chifferbyråernas insatser o världskriget till lands	Yves Gyldén	1931	... Några ord om chifferskrift » , i Hist . Tidsskrift VIII , 1888 , 2 &gt;&gt; sid . 376 0. ff . Forelius , » Dissertatio de modis occulte scribendi et præcibue de Scytala Laconica » , Holmiæ 1697 . &gt;&gt; d . s . , &gt;&gt; Dissertatio de Hieroglyphicis&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	H2w5AQAAMAAJ	Svensk historisk bibliografi: Setterwall, K. 1771-1874, rev. av. S. Ågren		1907		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	fBVVAAAAYAAJ	Svensk historisk bibliografi, 1771-[1920]	Kristian Setterwall	1907		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	wwcMAAAAIAAJ	An Historical and Analytical Bibliography of the Literature of Cryptology	Northwestern University (Evanston, Ill.)	1945		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	GOdAAAAAYAAJ	Svensk historisk bibliografi		1907		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	yLO0eNT2bU4C	An historical and analytical bibliography of the literature of	Joseph Stanislaus Galland	1945		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	kty7AAAAIAAJ	An Annotated Bibliography of Cryptography	David Shulman	1976		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	WQHKWzqiA2wC	Hemlig skrift	Henning Stålhane	1934	... Några ord om chifferskrift » , har någon svensk kryptografisk litteratur avsedd att belysa olika chiffersystem , deras användning och forcering av därmed skriven text icke sett dagen . Under tiden har den rikhaltiga utländska&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	dDkiAQAAIAAJ	Nordisk familjebok		1906	... Några ord om chifferskrift &quot; ( i Hist . tidskr . VIII , s . 376 ) . Chiffon [ siffa &#39; ] , ett fint , mycket tunt och luftigt sidentyg , som användes till garnering af klänningar och damhattar . Chiffonjé ( fr . chiffonier , af chiffon&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	d5lmAAAAMAAJ	Historiallinen aikakauskirja		1965	... Några ord om chifferskrift , HT 1888 , s . 379 ; STÅLHANE , s . 263 ; FREIDEL , H. E. , Chifferboken , ( Skara 1947 ) ; s . 29 , RICHARD , L&#39;Histoire . , s . 629-631 . 51 Ks . esim . Hornien kirjeitä RA , Livonica II , vol . 11 , 173 ja&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	cqwYP8j_aggC	Jahresberichte der Geschichtswissenschaft		1891	... Några ord om chifferskrift : SvHistTidskr . S. 376-83 . 19 ) K. K. Tigerstedt , Ur Per Brahes brefvexling . II . Abo . 225 S. Stadtobrigkeiten , Vögte und andere Beamte . Bergh hat seine §52 . Schweden . Helander . III , 205.	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	0xIjAQAAIAAJ	Nordisk familjebok	Yngve Samuel Lorents, Erik Thyselius, Verner Söderberg	1937		False	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	base	200	300	OFI3HQhPPs0C	Jahresberichte der Geschichtswissenschaft	Historische Gesellschaft	1891	... Några ord om chifferskrift : SvHistTidskr . S. 376-83 . 19 ) K. K. Tigerstedt , Ur Per Brahes brefvexling . II . Abo . 225 S. - Stadtobrigkeiten , Vögte und andere Beamte . Bergh hat seine §52 . Schweden . Helander . III , 205.	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US
"Några ord om chifferskrift"	full	200	2	8X4LAAAAIAAJ	Historisk tidskrift		1889	... Några ord om chifferskrift ( R. TORPADIE ) . 8,376 . Om italienska arkiv och bibliotek ( EL . TEGNER ) . 10,281 . Rålambska handskriftsamlingen på k . biblioteket ( H. WIESELGREN ) . 7,81 . Stralsunds rådsbibliotek . 5,252 . Svenska&nbsp;...	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US&filter=full
"Några ord om chifferskrift"	full	200	2	3fAtAAAAIAAJ	Svensk historisk bibliografi		1907	... V + 64 s . text . 8 : 0 . 2. Nyare tiden med texten af E. Hildebrand . 29 pl . Fol . + 9 s . text . 8 : 0 . Sthlm 1894 , 1900 . 102. Torpadie , R. , Några ord om chifferskrift . 8 [ 89-101 ] C. PALEOGRAFI . Paleografi (n 96--102)	True	https://www.googleapis.com/books/v1/volumes?q=%22N%C3%A5gra+ord+om+chifferskrift%22&maxResults=20&key=REDACTED&country=US&filter=full
