position	line	class	raw	normalized	doubt
153	39883	CLEAR	W.	W.	[?]SYM
154	39883	CIPHER	3594	3594	
155	39883	CIPHER	2929.	2929	
156	39883	CLEAR	Och	Och	
157	39884	CLEAR	der	der	
158	39884	CLEAR	I	I	
159	39884	CLEAR	kunde	kunde	
160	39884	CIPHER	20	20	
161	39884	CIPHER	51	51	
162	39884	CIPHER	17	17	
163	39884	CIPHER	82	82	
164	39884	CIPHER	73	73	
165	39884	CIPHER	71	71	
166	39884	CIPHER	65	65	
167	39884	CIPHER	26	26	
168	39884	CIPHER	81	81	
169	39884	CIPHER	51	51	
170	39884	CIPHER	62	62	
171	39884	CIPHER	20	20	
172	39884	CLEAR	eller	eller	
173	39885	CLEAR	någen	någen	
174	39885	CIPHER	72	72	
175	39885	CIPHER	80	80	
176	39885	CIPHER	80	80	
177	39885	CIPHER	26	26	
178	39885	CIPHER	78	78	
179	39885	CIPHER	75	75	
180	39885	CIPHER	65	65	
181	39885	CIPHER	47	47	
182	39885	CIPHER	65	65	
183	39885	CIPHER	22	22	
184	39885	CIPHER	23	23	
185	39885	CIPHER	51	51	
186	39885	CIPHER	48	48	
187	39885	CIPHER	26	26	
188	39885	CIPHER	32	32	
189	39885	CIPHER	25	25	
190	39885	CIPHER	31	31	
191	39885	CIPHER	24	24	
192	39886	CIPHER	17	17	
193	39886	CIPHER	65	65	
194	39886	CIPHER	20	20	
195	39886	CIPHER	47	47	
196	39886	CIPHER	31	31	
197	39886	CIPHER	65	65	
198	39886	CIPHER	75	75	
199	39886	CIPHER	26	26	
200	39886	CIPHER	47	47	
201	39886	CIPHER	5152	5152	
202	39886	CIPHER	81	81	
203	39886	CIPHER	78	78	
204	39886	CIPHER	24	24	
205	39886	CIPHER	47	47	
206	39886	CIPHER	26	26	
207	39886	CIPHER	31	31	
208	39886	CLEAR	sage	sage	
209	39886	CLEAR	vij	vij	
210	39887	CLEAR	dett	dett	
211	39887	CLEAR	ganska	ganska	
212	39887	CLEAR	gema,	gema,	
213	39887	CLEAR	hvilken	hvilken	
214	39887	CLEAR	kunde	kunde	
215	39887	CLEAR	der	der	
216	39887	CLEAR	sammestädes	sammestädes	
217	39887	CLEAR	drifva	drifva	
218	39887	CLEAR	opå	opå	
219	39888	CIPHER	3782	3782	
220	39888	CLEAR	och	och	
221	39888	CLEAR	Sambia	Sambia	
222	39888	CIPHER	78	78	
223	39888	CIPHER	64	64	
224	39888	CIPHER	75	75	
225	39888	CIPHER	32	32	
226	39888	CIPHER	24	24	
227	39888	CIPHER	3412	3412	
228	39888	CLEAR	både	både	
229	39888	CLEAR	tül	tül	
230	39888	CLEAR	att	att	
231	39888	CIPHER	23	23	
232	39888	CIPHER	65"	65	[?]
233	39888	CIPHER	27	27	
234	39898	CIPHER	51	51	
235	39898	CIPHER	73	73	
236	39898	CIPHER	1814	1814	
237	39898	CIPHER	54	54	
238	39898	CIPHER	72*	72	[?]
239	39898	CIPHER	23	23	
240	39898	CIPHER	65	65	
241	39898	CIPHER	81	81	
242	39898	CIPHER	26,	26	
243	39898	CIPHER	80	80	
244	39898	CLEAR	så	så	
245	39898	CLEAR	vel	vel	
246	39898	CLEAR	8om	8om	[?]OCR
247	39898	CLEAR	tUl	tUl	
248	39898	CLEAR	att	att	
249	39898	CIPHER	32	32	
250	39898	CIPHER	26	26	
251	39898	CIPHER	17	17	
252	39899	CIPHER	51	51	
253	39899	CIPHER	16	16	
254	39899	CIPHER	82	82	
255	39899	CIPHER	24	24	
256	39899	CIPHER	31	31	
257	39899	CIPHER	73,	73	
258	39899	CLEAR	hvadh	hvadh	
259	39899	CLEAR	som	som	
260	39899	CLEAR	uhr	uhr	
261	39899	CIPHER	3105	3105	
262	39899	CIPHER	54	54	
263	39899	CIPHER	72°	72	[?]
264	39899	CIPHER	44	44	
265	39899	CIPHER	65	65	
266	39899	CIPHER	20	20	
267	39899	CIPHER	19	19	
268	39900	CIPHER	73	73	
269	39900	CIPHER	44	44	
270	39900	CIPHER	72	72	
271	39900	CIPHER	80	80	
272	39900	CLEAR	der	der	
273	39900	CLEAR	om	om	
274	39900	CLEAR	I	I	
275	39900	CLEAR	flijt	flijt	
276	39900	CLEAR	göra	göra	
277	39900	CLEAR	vele.	vele.	
278	39900	CLEAR	Elliest	Elliest	
279	39900	CLEAR	begäre	begäre	
280	39900	CLEAR	Tij	Tij	
281	39900	CLEAR	ock	ock	
282	39901	CLEAR	nådigest,	nådigest,	
283	39901	CLEAR	att	att	
284	39901	CLEAR	emedan	emedan	
285	39901	CLEAR	vij	vij	
286	39901	CLEAR	förmode	förmode	
287	39901	CIPHER	26	26	
288	39901	CIPHER	47	47	
289	39901	CIPHER	24	24	
290	39901	CIPHER	31	31	
291	39901	CIPHER	80	80	
292	39901	CIPHER	62	62	
293	39901	CIPHER	20	20	
294	39901	CIPHER	26	26	
295	39902	CIPHER	32	32	
296	39902	CIPHER	73	73	
297	39902	CIPHER	1753	1753	
298	39902	CIPHER	198	198	
299	39902	CIPHER	3412	3412	
300	39902	CIPHER	81	81	
301	39902	CIPHER	51	51	
302	39902	CIPHER	27	27	
303	39902	CIPHER	17	17	
304	39902	CIPHER	72	72	
305	39902	CIPHER	20	20	
306	39902	CIPHER	73	73	
307	39902	CIPHER	78	78	
308	39902	CLEAR	och	och	
309	39902	CLEAR	att	att	
310	39902	CLEAR	mm.	mm.	[?]SYM
311	39903	CIPHER	26	26	
312	39903	CIPHER	80	80	
313	39903	CIPHER	307	307	
314	39903	CLEAR	göra	göra	
315	39903	CLEAR	skole,	skole,	
316	39903	CLEAR	som,	som,	
317	39903	CLEAR	medh	medh	
318	39903	CLEAR	Gudz	Gudz	
319	39903	CLEAR	hielp,	hielp,	
320	39903	CLEAR	skall	skall	
321	39903	CLEAR	kunna	kunna	
322	39903	CLEAR	pas-	pas-	
323	39904	CLEAR	sera,	sera,	
324	39904	CLEAR	dett	dett	
325	39904	CLEAR	I	I	
326	39904	CIPHER	57	57	
327	39904	CIPHER	26	26	
328	39904	CIPHER	27	27	
329	39904	CIPHER	24	24	
330	39904	CIPHER	72	72	
331	39904	CIPHER	58	58	
332	39904	CIPHER	73	73	
333	39904	CIPHER	80	80	
334	39904	CIPHER	48	48	
335	39904	CIPHER	26	26	
336	39904	CIPHER	32	32	
337	39904	CIPHER	73	73	
338	39904	CIPHER	99	99	
339	39904	CIPHER	100	100	
340	39904	CIPHER	47	47	
341	39905	CIPHER	26	26	
342	39905	CIPHER	81	81	
343	39905	CIPHER	80	80	
344	39905	CIPHER	26	26	
345	39905	CIPHER	32	32	
346	39905	CIPHER	20	20	
347	39905	CIPHER	24	24	
348	39905	CIPHER	17	17	
349	39905	CIPHER	81	81	
350	39905	CIPHER	24	24	
351	39905	CLEAR	r	r	[?]SYM
352	39905	CIPHER	44	44	
353	39905	CIPHER	62	62	
354	39905	CIPHER	80	80	
355	39905	CIPHER	78	78	
356	39905	CIPHER	24	24	
357	39905	CLEAR	rr	rr	[?]SYM
358	39905	CIPHER	1538	1538	
359	39905	CIPHER	1328	1328	
360	39906	CLEAR	nn	nn	[?]SYM
361	39906	CLEAR	när	när	
362	39906	CLEAR	O	O	
363	39906	CIPHER	57	57	
364	39906	CIPHER	51	51	
365	39906	CIPHER	52	52	
366	39906	CIPHER	44	44	
367	39906	CIPHER	62	62	
368	39906	CIPHER	80	80	
369	39906	CIPHER	78	78	
370	39906	CIPHER	26	26	
371	39906	CLEAR	H	H	
372	39906	CIPHER	1103	1103	
373	39906	CIPHER	47	47	
374	39906	CIPHER	72	72	
375	39906	CIPHER	75	75	
376	39906	CIPHER	66	66	
377	39906	CIPHER	3942.	3942	
378	39907	CLEAR	Doch	Doch	
379	39907	CLEAR	begäre	begäre	
380	39907	CLEAR	vij	vij	
381	39907	CLEAR	nådigest,	nådigest,	
382	39907	CLEAR	att	att	
383	39907	CLEAR	r	r	[?]SYM
384	39907	CLEAR	W.	W.	[?]SYM
385	39907	CLEAR	W.	W.	[?]SYM
386	39907	CIPHER	72	72	
387	39907	CIPHER	28	28	
388	39907	CIPHER	27	27	
389	39907	CIPHER	81	81	
390	39907	CIPHER	51	51	
391	39907	CIPHER	80	80	
392	39907	CIPHER	75	75	
393	39908	CIPHER	1538	1538	
394	39908	CIPHER	27	27	
395	39908	CIPHER	65	65	
396	39908	CIPHER	80	80	
397	39908	CIPHER	75	75	
398	39908	CIPHER	17	17	
399	39908	CIPHER	72	72	
400	39908	CIPHER	20	20	
401	39908	CIPHER	54	54	
402	39908	CIPHER	81	81	
403	39908	CLEAR	rr	rr	[?]SYM
404	39908	CIPHER	3186	3186	
405	39908	CLEAR	och	och	
406	39908	CLEAR	bruka	bruka	
407	39908	CLEAR	dett	dett	
408	39908	CIPHER	20	20	
409	39909	CIPHER	26	26	
410	39909	CIPHER	47	47	
411	39909	CIPHER	26	26	
412	39909	CIPHER	28	28	
413	39909	CIPHER	17	17	
414	39909	CIPHER	65	65	
415	39909	CIPHER	20	20	
416	39909	CIPHER	57	57	
417	39909	CIPHER	51	51	
418	39909	CIPHER	52	52	
419	39909	CLEAR	giorde	giorde	
420	39909	CIPHER	57	57	
421	39909	CIPHER	51	51	
422	39909	CIPHER	47	47	
423	39909	CIPHER	20	20	
424	39909	CIPHER	51	51	
425	39909	CIPHER	81	81	
426	39909	CIPHER	65	65	
427	39910	CIPHER	57	57	
428	39910	CLEAR	Ncmbligen,	Ncmbligen,	
429	39910	CLEAR	att	att	
430	39910	CLEAR	r	r	[?]SYM
431	39910	CLEAR	ee	ee	[?]SYM
432	39910	CIPHER	1538	1538	
433	39910	CIPHER	62	62	
434	39910	CIPHER	66	66	
435	39910	CIPHER	32	32	
436	39910	CIPHER	47	47	
437	39910	CIPHER	26	26	
438	39910	CIPHER	81	81	
439	39910	CIPHER	26	26	
440	39910	CIPHER	80	80	
441	39910	CIPHER	72	72	
442	39910	CIPHER	32	32	
443	39911	CIPHER	26	26	
444	39911	CIPHER	81	81	
445	39911	CIPHER	31	31	
446	39911	CIPHER	73	73	
447	39911	CIPHER	80	80	
448	39911	CIPHER	48	48	
449	39911	CIPHER	66	66	
450	39911	CIPHER	26	26	
451	39911	CIPHER	32	32	
452	39911	CIPHER	24	24	
453	39911	CIPHER	47	47	
454	39911	CIPHER	25	25	
455	39911	CIPHER	2162	2162	
456	39911	CLEAR	för	för	
457	39911	CLEAR	än	än	
458	39911	CLEAR	r	r	[?]SYM
459	39911	CIPHER	57	57	
460	39911	CIPHER	26	26	
461	39911	CIPHER	82	82	
462	39912	CIPHER	72	72	
463	39912	CIPHER	66	66	
464	39912	CIPHER	57	57	
465	39912	CIPHER	73	73	
466	39912	CIPHER	32	32	
467	39912	CLEAR	r	r	[?]SYM
468	39912	CIPHER	44	44	
469	39912	CIPHER	62	62	
470	39912	CIPHER	80	80	
471	39912	CIPHER	80	80	
472	39912	CIPHER	26	26	
473	39912	CIPHER	72	72	
474	39912	CIPHER	80	80	
475	39912	CIPHER	81	81	
476	39912	CIPHER	32	32	
477	39912	CIPHER	26	26	
478	39912	CIPHER	23	23	
479	39912	CIPHER	22	22	
480	39912	CIPHER	73	73	
481	39912	CIPHER	26	26	
482	39913	CIPHER	78	78	
483	39913	CIPHER	65	65	
484	39913	CIPHER	32	32	
485	39913	CIPHER	83	83	
486	39913	CLEAR	der	der	
487	39913	CLEAR	r	r	[?]SYM
488	39913	CIPHER	72°	72	[?]
489	39913	CIPHER	81	81	
490	39913	CIPHER	26	26	
491	39913	CIPHER	32	32	
492	39913	CLEAR	t	t	[?]SYM
493	39913	CIPHER	26	26	
494	39913	CIPHER	80	80	
495	39913	CIPHER	66	66	
496	39913	CIPHER	72	72	
497	39913	CIPHER	17	17	
498	39913	CIPHER	82	82	
499	39913	CLEAR	när	när	
500	39913	CLEAR	r	r	[?]SYM
501	39913	CIPHER	47	47	
502	39914	CIPHER	26	26	
503	39914	CIPHER	32	32	
504	39914	CIPHER	72	72	
505	39914	CIPHER	80	80	
506	39914	CIPHER	27	27	
507	39914	CIPHER	26	26	
508	39914	CIPHER	80	80	
509	39914	CIPHER	47	47	
510	39914	CIPHER	26	26	
511	39914	CIPHER	26	26	
512	39914	CIPHER	47	47	
513	39914	CIPHER	26	26	
514	39914	CIPHER	32	32	
515	39914	CIPHER	31	31	
516	39914	CIPHER	24	24	
517	39914	CIPHER	81	81	
518	39914	CIPHER	32	32	
519	39914	CIPHER	73	73	
520	39914	CIPHER	80	80	
521	39916	CIPHER	50	50	
522	39916	CIPHER	66	66	
523	39916	CIPHER	26	26	
524	39916	CIPHER	31	31	
525	39916	CIPHER	73	73	
526	39916	CIPHER	44	44	
527	39916	CIPHER	62	62	
528	39916	CIPHER	80	80	
529	39916	CIPHER	78	78	
530	39916	CIPHER	25	25	
531	39916	CLEAR	helst	helst	
532	39916	CLEAR	medan	medan	
533	39916	CLEAR	den	den	
534	39916	CLEAR	landzorten	landzorten	
535	39916	CLEAR	n	n	
536	39917	CLEAR	r	r	[?]SYM
537	39917	CLEAR	gg	gg	
538	39917	CIPHER	11	11	
539	39917	CIPHER	72	72	
540	39917	CIPHER	28	28	
541	39917	CIPHER	27	27	
542	39917	CIPHER	26	26	
543	39917	CIPHER	17	17	
544	39917	CIPHER	18	18	
545	39917	CIPHER	26	26	
546	39917	CIPHER	47	47	
547	39917	CIPHER	26	26	
548	39917	CIPHER	17	17	
549	39917	CLEAR	är	är	
550	39917	CLEAR	medh	medh	
551	39917	CIPHER	66	66	
552	39917	CIPHER	33	33	
553	39917	CIPHER	75	75	
554	39917	CIPHER	28	28	
555	39918	CIPHER	72	72	
556	39918	CIPHER	31	31	
557	39918	CIPHER	71	71	
558	39918	CIPHER	26	26	
559	39918	CIPHER	57	57	
560	39918	CIPHER	62	62	
561	39918	CIPHER	38	38	
562	39918	CIPHER	26	26	
563	39918	CIPHER	80	80	
564	39918	CLEAR	så	så	
565	39918	CLEAR	att	att	
566	39918	CLEAR	r	r	[?]SYM
567	39918	CLEAR	ee	ee	[?]SYM
568	39918	CLEAR	behöfve	behöfve	
569	39918	CLEAR	till	till	
570	39918	CLEAR	att	att	
571	39918	CIPHER	32	32	
572	39918	CIPHER	26	26	
573	39919	CIPHER	18	18	
574	39919	CIPHER	31	31	
575	39919	CIPHER	72	72	
576	39919	CIPHER	80	80	
577	39919	CIPHER	49	49	
578	39919	CIPHER	66	66	
579	39919	CIPHER	26	26	
580	39919	CIPHER	32	32	
581	39919	CIPHER	72	72	
582	39919	CIPHER	26	26	
583	39919	CIPHER	4	4	
584	39919	CIPHER	25	25	
585	39919	CIPHER	32	32	
586	39919	CLEAR	allestädes	allestädes	
587	39919	CIPHER	32	32	
588	39919	CIPHER	62	62	
589	39919	CIPHER	80	80	
590	39919	CIPHER	47	47	
591	39920	CIPHER	18	18	
592	39920	CIPHER	65	65	
593	39920	CIPHER	20	20	
594	39920	CIPHER	44	44	
595	39920	CIPHER	32	32	
596	39920	CIPHER	51	51	
597	39920	CIPHER	80	80	
598	39920	CIPHER	75	75	
599	39920	CLEAR	uthan	uthan	
600	39920	CLEAR	bruka	bruka	
601	39920	CIPHER	17	17	
602	39920	CIPHER	72	72	
603	39920	CIPHER	20	20	
604	39920	CIPHER	19	19	
605	39920	CIPHER	73	73	
606	39920	CIPHER	66	66	
607	39920	CIPHER	35	35	
608	39921	CIPHER	75	75	
609	39921	CIPHER	28	28	
610	39921	CIPHER	73	73	
611	39921	CIPHER	31	31	
612	39921	CIPHER	26	26	
613	39921	CIPHER	47	47	
614	39921	CIPHER	26	26	
615	39921	CIPHER	31	31	
616	39921	CIPHER	81	81	
617	39921	CIPHER	51	51	
618	39921	CIPHER	28	28	
619	39921	CIPHER	27	27	
620	39921	CIPHER	22	22	
621	39921	CIPHER	65	65	
622	39921	CIPHER	32	32	
623	39921	CIPHER	47	47	
624	39921	CIPHER	26	26	
625	39921	CIPHER	24	24	
626	39921	CIPHER	28	28	
627	39921	CLEAR	rr	rr	[?]SYM
628	39922	CIPHER	32	32	
629	39922	CIPHER	81	81	
630	39922	CIPHER	32	32	
631	39922	CIPHER	72	72	
632	39922	CIPHER	80	80	
633	39922	CIPHER	50	50	
634	39922	CIPHER	66	66	
635	39922	CIPHER	24	24	
636	39922	CIPHER	19	19	
637	39922	CIPHER	25	25	
638	39922	CIPHER	78	78	
639	39922	CIPHER	83.	83	
640	39922	CLEAR	Corresponderer	Corresponderer	
641	39922	CIPHER	65	65	
642	39922	CIPHER	50	50	
643	39923	CIPHER	66	66	
644	39923	CIPHER	23	23	
645	39923	CIPHER	28	28	
646	39923	CIPHER	51	51	
647	39923	CIPHER	81	81	
648	39923	CIPHER	52	52	
649	39923	CIPHER	75	75	
650	39923	CIPHER	83	83	
651	39923	CIPHER	20	20	
652	39923	CIPHER	26	26	
653	39923	CIPHER	47	47	
654	39923	CIPHER	66	66	
655	39923	CIPHER	26	26	
656	39923	CIPHER	32	32	
657	39923	CIPHER	53	53	
658	39923	CIPHER	72	72	
659	39923	CIPHER	68	68	
660	39923	CIPHER	73	73	
661	39923	CIPHER	78	78	
662	39924	CIPHER	70	70	
663	39924	CIPHER	72	72	
664	39924	CIPHER	78	78	
665	39924	CIPHER	26	26	
666	39924	CIPHER	32	32	
667	39924	CLEAR	och	och	
668	39924	CLEAR	befliter	befliter	
669	39924	CLEAR	eder	eder	
670	39924	CLEAR	till	till	
671	39924	CLEAR	att	att	
672	39924	CIPHER	44	44	
673	39924	CIPHER	62	62	
674	39924	CIPHER	80	80	
675	39924	CIPHER	47	47	
676	39924	CIPHER	75	75	
677	39924	CIPHER	65	65	
678	39924	CIPHER	32	32	
679	39925	CIPHER	72	72	
680	39925	CIPHER	65	65	
681	39925	CIPHER	17	17	
682	39925	CIPHER	16	16	
683	39925	CLEAR	hvadh	hvadh	
684	39925	CIPHER	26	26	
685	39925	CIPHER	47	47	
686	39925	CIPHER	26	26	
687	39925	CIPHER	32	32	
688	39925	CIPHER	28	28	
689	39925	CIPHER	51	51	
690	39925	CIPHER	47	47	
691	39925	CIPHER	25	25	
692	39925	CIPHER	32	32	
693	39925	CIPHER	72	72	
694	39925	CIPHER	82	82	
695	39925	CIPHER	81	81	
696	39925	CIPHER	57	57	
697	39927	CIPHER	51	51	
698	39927	CIPHER	57	57	
699	39927	CLEAR	kunne	kunne	
700	39927	CIPHER	995	995	
701	39927	CIPHER	17	17	
702	39927	CIPHER	72	72	
703	39927	CIPHER	44	44	
704	39927	CIPHER	26	26	
705	39927	CIPHER	31	31	
706	39927	CIPHER	80	80	
707	39927	CIPHER	78	78	
708	39927	CIPHER	24	24	
709	39927	CIPHER	47	47	
710	39927	CIPHER	26	26	
711	39927	CIPHER	32	32	
712	39927	CIPHER	26	26	
713	39927	CIPHER	22	22	
714	39927	CIPHER	81	81	
715	39928	CIPHER	24	24	
716	39928	CIPHER	31.	31	
717	39928	CLEAR	Vij	Vij	
718	39928	CLEAR	late	late	
719	39928	CLEAR	eder	eder	
720	39928	CLEAR	ock	ock	
721	39928	CLEAR	nådigest	nådigest	
722	39928	CLEAR	förnimma,	förnimma,	
723	39928	CLEAR	dett	dett	
724	39928	CIPHER	17	17	
725	39928	CIPHER	54	54	
726	39928	CIPHER	72	72	
727	39928	CIPHER	32	32	
728	39929	CIPHER	30	30	
729	39929	CLEAR	u	u	
730	39929	CLEAR	gg	gg	
731	39929	CIPHER	17	17	
732	39929	CIPHER	81	81	
733	39929	CIPHER	65"	65	[?]
734	39929	CIPHER	81	81	
735	39929	CIPHER	82	82	
736	39929	CLEAR	d	d	
737	39929	CIPHER	9	9	
738	39929	CIPHER	1328	1328	
739	39929	CLEAR	aa	aa	
740	39929	CIPHER	3965	3965	
741	39929	CIPHER	3328	3328	
742	39929	CIPHER	3927	3927	
743	39929	CLEAR	rr	rr	[?]SYM
744	39929	CIPHER	1103	1103	
745	39930	CLEAR	rr	rr	[?]SYM
746	39930	CIPHER	1041	1041	
747	39930	CIPHER	863	863	
748	39930	CIPHER	29	29	
749	39930	CIPHER	93.	93	
750	39930	CLEAR	Men	Men	
751	39930	CLEAR	så	så	
752	39930	CLEAR	är	är	
753	39930	CLEAR	dett	dett	
754	39930	CLEAR	altt	altt	
755	39930	CLEAR	mast	mast	
756	39930	CLEAR	sådant	sådant	
757	39930	CIPHER	3673	3673	
758	39930	CLEAR	nn	nn	[?]SYM
759	39931	CIPHER	66	66	
760	39931	CIPHER	65"	65	[?]
761	39931	CIPHER	32	32	
762	39931	CIPHER	26	26	
763	39931	CIPHER	81	81	
764	39931	CIPHER	51	51	
765	39931	CIPHER	28	28	
766	39931	CIPHER	47	47	
767	39931	CIPHER	26	26	
768	39931	CIPHER	2929	2929	
769	39931	CLEAR	nn	nn	[?]SYM
770	39931	CIPHER	11	11	
771	39931	CIPHER	47	47	
772	39931	CIPHER	26	26	
773	39931	CIPHER	32	32	
774	39931	CIPHER	81	81	
775	39931	CIPHER	51	51	
776	39931	CIPHER	28	28	
777	39931	CIPHER	22	22	
778	39932	CIPHER	65"	65	[?]
779	39932	CIPHER	32	32	
780	39932	CIPHER	80	80	
781	39932	CIPHER	26.	26	
782	39932	CLEAR	Undantagandes	Undantagandes	
783	39932	CIPHER	81	81	
784	39932	CIPHER	51	51	
785	39932	CIPHER	32	32	
786	39932	CIPHER	17	17	
787	39932	CIPHER	44	44	
788	39932	CIPHER	73	73	
789	39932	CIPHER	17	17	
790	39932	CLEAR	hvilken	hvilken	
791	39932	CLEAR	ock	ock	
792	39933	CLEAR	hafver	hafver	
793	39933	CIPHER	72	72	
794	39933	CIPHER	28	28	
795	39933	CIPHER	27	27	
796	39933	CIPHER	26	26	
797	39933	CIPHER	80	80	
798	39933	CIPHER	25	25	
799	39933	CIPHER	17	17	
800	39933	CIPHER	82	82	
801	39933	CIPHER	1102	1102	
802	39933	CLEAR	J	J	
803	39933	CIPHER	786	786	
804	39933	CLEAR	d	d	
805	39933	CIPHER	9	9	
806	39933	CIPHER	3165	3165	
807	39933	CIPHER	17	17	
808	39933	CIPHER	18	18	
809	39933	CIPHER	72	72	
810	39934	CIPHER	32	32	
811	39934	CIPHER	44	44	
812	39934	CLEAR	och	och	
813	39934	CLEAR	doch	doch	
814	39934	CIPHER	17	17	
815	39934	CIPHER	28	28	
816	39934	CIPHER	26	26	
817	39934	CIPHER	81	81	
818	39934	CIPHER	82	82	
819	39934	CIPHER	26	26	
820	39934	CIPHER	71	71	
821	39934	CIPHER	62	62	
822	39934	CIPHER	17	17	
