pos	page_line	class	raw	value	mark	grade	change_from_ocr
86	821.07	CLEAR	utdelt,	utdelt		H	
87	821.07	CLEAR	måge	måge		H	replace: OCR 'mage'
88	821.07	CLEAR	komma	komma		H	
89	821.07	NUM	61	61		H	
90	821.07	NUM	54	54		H	
91	821.07	NUM	55	55		H	
92	821.07	NUM	20	20		H	
93	821.07	NUM	26	26		H	
94	821.07	NUM	47	47		H	
95	821.07	NUM	81	81		H	
96	821.07	NUM	66	66		H	
97	821.08	NUM	26	26		H	
98	821.08	NUM	82	82		H	
99	821.08	NUM	72	72		H	
100	821.08	NUM	27	27		H	
101	821.08	NUM	47	47		H	
102	821.08	NUM	31	31		H	
103	821.08	NUM	26	26		H	
104	821.08	NUM	23	23		H	
105	821.08	NUM	"65"""	65	""""	H	
106	821.08	NUM	32	32		H	
107	821.08	NUM	17	17		H	
108	821.08	NUM	82	82		H	
109	821.08	NUM	25.	25		H	
110	821.08	CLEAR	Såsom	Såsom		H	
111	821.08	CLEAR	ock,	ock		H	
112	821.08	CLEAR	att	att		H	
113	821.09	NUM	1838	1838		H	
114	821.09	CLEAR	hafve	hafve		H	
115	821.09	NUM	68	68		H	
116	821.09	NUM	57	57		H	
117	821.09	NUM	72	72		H	
118	821.09	NUM	32	32		H	
119	821.09	NUM	47	47		H	
120	821.09	NUM	26	26		H	
121	821.09	NUM	32	32		H	
122	821.09	NUM	72	72		H	
123	821.09	NUM	26	26		H	
124	821.09	NUM	81	81		H	
125	821.09	NUM	2923	2923		H	
126	821.09	CLEAR	complett.	complett		H	
127	821.09	CLEAR	I	I		H	
128	821.10	CLEAR	vele	vele		H	
129	821.10	CLEAR	och	och		H	
130	821.10	CLEAR	desslikest	desslikest		H	
131	821.10	NUM	72	72		H	
132	821.10	NUM	80	80		H	
133	821.10	NUM	66	66		H	
134	821.10	NUM	65	65		H	
135	821.10	NUM	27	27		H	
136	821.10	NUM	29	29		H	
137	821.10	NUM	72	72		H	
138	821.10	NUM	68	68		H	
139	821.10	NUM	63	63		H	
140	821.10	NUM	64	64		H	
141	821.10	NUM	17	17		H	
142	821.10	NUM	753	753		H	
143	821.11	NUM	65	65		H	
144	821.11	NUM	20	20		H	
145	821.11	NUM	27	27		H	
146	821.11	NUM	"65"""	65	""""	H	
147	821.11	NUM	54	54		H	
148	821.11	NUM	55	55		H	
149	821.11	NUM	28	28		H	
150	821.11	NUM	72	72		H	
151	821.11	NUM	81	81		H	
152	821.11	NUM	13	13		H	
153	821.11	SYM	W	W		M	
154	821.11	SYM	W.	W		M	
155	821.11	NUM	3594	3594		H	
156	821.11	NUM	2929.	2929		H	
157	821.11	CLEAR	Och	Och		H	
158	821.12	CLEAR	der	der		H	
159	821.12	CLEAR	I	I		H	
160	821.12	CLEAR	kunde	kunde		H	
161	821.12	NUM	20	20		H	
162	821.12	NUM	51	51		H	
163	821.12	NUM	17	17		H	
164	821.12	NUM	82	82		H	
165	821.12	NUM	73	73		H	
166	821.12	NUM	71	71		H	
167	821.12	NUM	65	65		H	
168	821.12	NUM	26	26		H	
169	821.12	NUM	81	81		H	
170	821.12	NUM	51	51		H	
171	821.12	NUM	62	62		H	
172	821.12	NUM	20	20		H	
173	821.12	CLEAR	eller	eller		H	
174	821.13	CLEAR	någen	någen		H	
175	821.13	NUM	72	72		H	
176	821.13	NUM	80	80		H	
177	821.13	NUM	80	80		H	
178	821.13	NUM	26	26		H	
179	821.13	NUM	78	78		H	
180	821.13	NUM	75	75		H	
181	821.13	NUM	65	65		H	
182	821.13	NUM	47	47		H	
183	821.13	NUM	65	65		H	
184	821.13	NUM	22	22		H	
185	821.13	NUM	23	23		H	
186	821.13	NUM	51	51		H	
187	821.13	NUM	48	48		H	
188	821.13	NUM	26	26		H	
189	821.13	NUM	32	32		H	
190	821.13	NUM	25	25		H	
191	821.13	NUM	31	31		H	
192	821.13	NUM	24	24		H	
193	821.14	NUM	17	17		H	
194	821.14	NUM	65	65		H	
195	821.14	NUM	20	20		H	
196	821.14	NUM	47	47		H	
197	821.14	NUM	31	31		H	
198	821.14	NUM	65	65		H	
199	821.14	NUM	75	75		H	
200	821.14	NUM	26	26		H	
201	821.14	NUM	47	47		H	
202	821.14	NUM	5152	5152		H	
203	821.14	NUM	81	81		H	
204	821.14	NUM	78	78		H	
205	821.14	NUM	24	24		H	
206	821.14	NUM	47	47		H	
207	821.14	NUM	26	26		H	
208	821.14	NUM	31	31		H	
209	821.14	CLEAR	såge	såge		H	replace: OCR 'sage'
210	821.14	CLEAR	vij	vij		H	
211	821.15	CLEAR	dett	dett		H	
212	821.15	CLEAR	ganska	ganska		H	
213	821.15	CLEAR	gerna,	gerna		H	replace: OCR 'gema,'
214	821.15	CLEAR	hvilken	hvilken		H	
215	821.15	CLEAR	kunde	kunde		H	
216	821.15	CLEAR	der	der		H	
217	821.15	CLEAR	sammestädes	sammestädes		H	
218	821.15	CLEAR	drifva	drifva		H	
219	821.15	CLEAR	opå	opå		H	
220	821.16	NUM	3782	3782		H	
221	821.16	CLEAR	och	och		H	
222	821.16	CLEAR	sambla	sambla		H	replace: OCR 'Sambia'
223	821.16	NUM	78	78		H	
224	821.16	NUM	64	64		H	
225	821.16	NUM	75	75		H	
226	821.16	NUM	32	32		H	
227	821.16	NUM	24	24		H	
228	821.16	NUM	3412	3412		H	
229	821.16	CLEAR	både	både		H	
230	821.16	CLEAR	till	till		H	replace: OCR 'tül'
231	821.16	CLEAR	att	att		H	
232	821.16	NUM	23	23		H	
233	821.16	NUM	"65"""	65	""""	H	
234	821.16	NUM	27	27		H	
235	822.01	NUM	51	51		H	
236	822.01	NUM	73	73		H	
237	822.01	NUM	1814	1814		H	
238	822.01	NUM	54	54		H	
239	822.01	NUM	72°	72	°	H	
240	822.01	NUM	23	23		H	
241	822.01	NUM	65	65		H	
242	822.01	NUM	81	81		H	
243	822.01	NUM	26,	26		H	
244	822.01	NUM	80	80		H	
245	822.01	CLEAR	så	så		H	
246	822.01	CLEAR	vel	vel		H	
247	822.01	CLEAR	som	som		H	replace: OCR '8om tUl'
248	822.01	CLEAR	till	till		H	replace: OCR '8om tUl'
249	822.01	CLEAR	att	att		H	
250	822.01	NUM	32	32		H	
251	822.01	NUM	26	26		H	
252	822.01	NUM	17	17		H	
253	822.02	NUM	51	51		H	
254	822.02	NUM	16	16		H	
255	822.02	NUM	82	82		H	
256	822.02	NUM	24	24		H	
257	822.02	NUM	31	31		H	
258	822.02	NUM	73,	73		H	
259	822.02	CLEAR	hvadh	hvadh		H	
260	822.02	CLEAR	som	som		H	
261	822.02	CLEAR	uhr	uhr		H	
262	822.02	NUM	3105	3105		H	
263	822.02	NUM	54	54		H	
264	822.02	NUM	72°	72	°	H	
265	822.02	NUM	44	44		H	
266	822.02	NUM	65	65		H	
267	822.02	NUM	20	20		H	
268	822.02	NUM	19	19		H	
269	822.03	NUM	73	73		H	
270	822.03	NUM	44	44		H	
271	822.03	NUM	72	72		H	
272	822.03	NUM	80	80		H	
273	822.03	CLEAR	der	der		H	
274	822.03	CLEAR	om	om		H	
275	822.03	CLEAR	I	I		H	
276	822.03	CLEAR	flijt	flijt		H	
277	822.03	CLEAR	göra	göra		H	
278	822.03	CLEAR	vele.	vele		H	
279	822.03	CLEAR	Elliest	Elliest		H	
280	822.03	CLEAR	begäre	begäre		H	
281	822.03	CLEAR	vij	vij		H	replace: OCR 'Tij'
282	822.03	CLEAR	ock	ock		H	
283	822.04	CLEAR	nådigest,	nådigest		H	
284	822.04	CLEAR	att	att		H	
285	822.04	CLEAR	emedan	emedan		H	
286	822.04	CLEAR	vij	vij		H	
287	822.04	CLEAR	förmode	förmode		H	
288	822.04	NUM	26	26		H	
289	822.04	NUM	47	47		H	
290	822.04	NUM	24	24		H	
291	822.04	NUM	31	31		H	
292	822.04	NUM	80	80		H	
293	822.04	NUM	62	62		H	
294	822.04	NUM	20	20		H	
295	822.04	NUM	26	26		H	
296	822.05	NUM	32	32		H	
297	822.05	NUM	73	73		H	
298	822.05	NUM	1753	1753		H	
299	822.05	NUM	198	198		H	
300	822.05	NUM	3412	3412		H	
301	822.05	NUM	81	81		H	
302	822.05	NUM	51	51		H	
303	822.05	NUM	27	27		H	
304	822.05	NUM	17	17		H	
305	822.05	NUM	72	72		H	
306	822.05	NUM	20	20		H	
307	822.05	NUM	73	73		H	
308	822.05	NUM	78	78		H	
309	822.05	CLEAR	och	och		H	
310	822.05	CLEAR	att	att		H	
311	822.05	SYM	mm.	mm		M	
312	822.06	NUM	26	26		H	
313	822.06	NUM	80	80		H	
314	822.06	NUM	307	307		H	
315	822.06	CLEAR	göra	göra		H	
316	822.06	CLEAR	skole,	skole		H	
317	822.06	CLEAR	som,	som		H	
318	822.06	CLEAR	medh	medh		H	
319	822.06	CLEAR	Gudz	Gudz		H	
320	822.06	CLEAR	hielp,	hielp		H	
321	822.06	CLEAR	skall	skall		H	
322	822.06	CLEAR	kunna	kunna		H	
323	822.06	CLEAR	pas-	pas-		H	
324	822.07	CLEAR	sera,	sera		H	
325	822.07	CLEAR	dett	dett		H	
326	822.07	CLEAR	I	I		H	
327	822.07	NUM	57	57		H	
328	822.07	NUM	26	26		H	
329	822.07	NUM	27	27		H	
330	822.07	NUM	24	24		H	
331	822.07	NUM	72	72		H	
332	822.07	NUM	58	58		H	
333	822.07	NUM	73	73		H	
334	822.07	NUM	80	80		H	
335	822.07	NUM	48	48		H	
336	822.07	NUM	26	26		H	
337	822.07	NUM	32	32		H	
338	822.07	NUM	73	73		H	
339	822.07	NUM	99	99		H	
340	822.07	NUM	100	100		H	
341	822.07	NUM	47	47		H	
342	822.08	NUM	26	26		H	
343	822.08	NUM	81	81		H	
344	822.08	NUM	80	80		H	
345	822.08	NUM	26	26		H	
346	822.08	NUM	32	32		H	
347	822.08	NUM	20	20		H	
348	822.08	NUM	24	24		H	
349	822.08	NUM	17	17		H	
350	822.08	NUM	81	81		H	
351	822.08	NUM	24	24		H	
352	822.08	SYM	r	r		M	
353	822.08	NUM	44	44		H	
354	822.08	NUM	62	62		H	
355	822.08	NUM	80	80		H	
356	822.08	NUM	78	78		H	
357	822.08	NUM	24	24		H	
358	822.08	SYM	rr	rr		M	
359	822.08	NUM	1538	1538		H	
360	822.08	NUM	1328	1328		H	
361	822.09	SYM	nn	nn		M	
362	822.09	CLEAR	när	när		H	
363	822.09	SYM	0	0		M	replace: OCR 'O'
364	822.09	NUM	57	57		H	
365	822.09	NUM	51	51		H	
366	822.09	NUM	52	52		H	
367	822.09	NUM	44	44		H	
368	822.09	NUM	62	62		H	
369	822.09	NUM	80	80		H	
370	822.09	NUM	78	78		H	
371	822.09	NUM	26	26		H	
372	822.09	SYM	H	H		M	
373	822.09	NUM	1103	1103		H	
374	822.09	NUM	47	47		H	
375	822.09	NUM	72	72		H	
376	822.09	NUM	75	75		H	
377	822.09	NUM	66	66		H	
378	822.09	NUM	3942.	3942		H	
379	822.10	CLEAR	Doch	Doch		H	
380	822.10	CLEAR	begäre	begäre		H	
381	822.10	CLEAR	vij	vij		H	
382	822.10	CLEAR	nådigest,	nådigest		H	
383	822.10	CLEAR	att	att		H	
384	822.10	SYM	r	r		M	
385	822.10	SYM	W.	W		M	
386	822.10	SYM	W.	W		M	
387	822.10	NUM	72	72		H	
388	822.10	NUM	28	28		H	
389	822.10	NUM	27	27		H	
390	822.10	NUM	81	81		H	
391	822.10	NUM	51	51		H	
392	822.10	NUM	80	80		H	
393	822.10	NUM	75	75		H	
394	822.11	NUM	1538	1538		H	
395	822.11	NUM	27	27		H	
396	822.11	NUM	65	65		H	
397	822.11	NUM	80	80		H	
398	822.11	NUM	75	75		H	
399	822.11	NUM	17	17		H	
400	822.11	NUM	72	72		H	
401	822.11	NUM	20	20		H	
402	822.11	NUM	54	54		H	
403	822.11	NUM	81	81		H	
404	822.11	SYM	rr	rr		M	
405	822.11	NUM	3186	3186		H	
406	822.11	CLEAR	och	och		H	
407	822.11	CLEAR	bruka	bruka		H	
408	822.11	CLEAR	dett	dett		H	
409	822.11	NUM	20	20		H	
410	822.12	NUM	26	26		H	
411	822.12	NUM	47	47		H	
412	822.12	NUM	26	26		H	
413	822.12	NUM	28	28		H	
414	822.12	NUM	17	17		H	
415	822.12	NUM	65	65		H	
416	822.12	NUM	20	20		H	
417	822.12	NUM	57	57		H	
418	822.12	NUM	51	51		H	
419	822.12	NUM	52	52		H	
420	822.12	CLEAR	giorde	giorde		H	
421	822.12	NUM	57	57		H	
422	822.12	NUM	51	51		H	
423	822.12	NUM	47	47		H	
424	822.12	NUM	20	20		H	
425	822.12	NUM	51	51		H	
426	822.12	NUM	81	81		H	
427	822.12	NUM	65	65		H	
428	822.13	NUM	57	57		H	
429	822.13	CLEAR	Nembligen,	Nembligen		H	replace: OCR 'Ncmbligen,'
430	822.13	CLEAR	att	att		H	
431	822.13	SYM	r	r		M	
432	822.13	SYM	ee	ee		M	
433	822.13	NUM	1538	1538		H	
434	822.13	NUM	62	62		H	
435	822.13	NUM	66	66		H	
436	822.13	NUM	32	32		H	
437	822.13	NUM	47	47		H	
438	822.13	NUM	26	26		H	
439	822.13	NUM	81	81		H	
440	822.13	NUM	26	26		H	
441	822.13	NUM	80	80		H	
442	822.13	NUM	72	72		H	
443	822.13	NUM	32	32		H	
444	822.14	NUM	26	26		H	
445	822.14	NUM	81	81		H	
446	822.14	NUM	31	31		H	
447	822.14	NUM	73	73		H	
448	822.14	NUM	80	80		H	
449	822.14	NUM	48	48		H	
450	822.14	NUM	66	66		H	
451	822.14	NUM	26	26		H	
452	822.14	NUM	32	32		H	
453	822.14	NUM	24	24		H	
454	822.14	NUM	47	47		H	
455	822.14	NUM	25	25		H	
456	822.14	NUM	2162	2162		H	
457	822.14	CLEAR	för	för		H	
458	822.14	CLEAR	än	än		H	
459	822.14	SYM	r	r		M	
460	822.14	NUM	57	57		H	
461	822.14	NUM	26	26		H	
462	822.14	NUM	82	82		H	
463	822.15	NUM	72	72		H	
464	822.15	NUM	66	66		H	
465	822.15	NUM	57	57		H	
466	822.15	NUM	73	73		H	
467	822.15	NUM	32	32		H	
468	822.15	SYM	r	r		M	
469	822.15	NUM	44	44		H	
470	822.15	NUM	62	62		H	
471	822.15	NUM	80	80		H	
472	822.15	NUM	80	80		H	
473	822.15	NUM	26	26		H	
474	822.15	NUM	72	72		H	
475	822.15	NUM	80	80		H	
476	822.15	NUM	81	81		H	
477	822.15	NUM	32	32		H	
478	822.15	NUM	26	26		H	
479	822.15	NUM	23	23		H	
480	822.15	NUM	22	22		H	
481	822.15	NUM	73	73		H	
482	822.15	NUM	26	26		H	
483	822.16	NUM	78	78		H	
484	822.16	NUM	65	65		H	
485	822.16	NUM	32	32		H	
486	822.16	NUM	83	83		H	
487	822.16	CLEAR	der	der		H	
488	822.16	SYM	r	r		M	
489	822.16	NUM	72°	72	°	H	
490	822.16	NUM	81	81		H	
491	822.16	NUM	26	26		H	
492	822.16	NUM	32	32		H	
493	822.16	SYM	t	t		M	
494	822.16	NUM	26	26		H	
495	822.16	NUM	80	80		H	
496	822.16	NUM	66	66		H	
497	822.16	NUM	72	72		H	
498	822.16	NUM	17	17		H	
499	822.16	NUM	82	82		H	
500	822.16	CLEAR	när	när		H	
501	822.16	SYM	r	r		M	
502	822.16	NUM	47	47		H	
503	822.17	NUM	26	26		H	
504	822.17	NUM	32	32		H	
505	822.17	NUM	72	72		H	
506	822.17	NUM	80	80		H	
507	822.17	NUM	27	27		H	
508	822.17	NUM	26	26		H	
509	822.17	NUM	80	80		H	
510	822.17	NUM	47	47		H	
511	822.17	NUM	26	26		H	
512	822.17	NUM	26	26		H	
513	822.17	NUM	47	47		H	
514	822.17	NUM	26	26		H	
515	822.17	NUM	32	32		H	
516	822.17	NUM	31	31		H	
517	822.17	NUM	24	24		H	
518	822.17	NUM	81	81		H	
519	822.17	NUM	32	32		H	
520	822.17	NUM	73	73		H	
521	822.17	NUM	80	80		H	
522	822.18	NUM	50	50		H	
523	822.18	NUM	66	66		H	
524	822.18	NUM	26	26		H	
525	822.18	NUM	31	31		H	
526	822.18	NUM	73	73		H	
527	822.18	NUM	44	44		H	
528	822.18	NUM	62	62		H	
529	822.18	NUM	80	80		H	
530	822.18	NUM	78	78		H	
531	822.18	NUM	25	25		H	
532	822.18	CLEAR	helst	helst		H	
533	822.18	CLEAR	medan	medan		H	
534	822.18	CLEAR	den	den		H	
535	822.18	CLEAR	landzorten	landzorten		H	
536	822.18	SYM	n	n		M	
537	822.19	SYM	r	r		M	
538	822.19	SYM	gg	gg		M	
539	822.19	SYM	ll	ll		M	replace: OCR '11'
540	822.19	NUM	72	72		H	
541	822.19	NUM	28	28		H	
542	822.19	NUM	27	27		H	
543	822.19	NUM	26	26		H	
544	822.19	NUM	17	17		H	
545	822.19	NUM	18	18		H	
546	822.19	NUM	26	26		H	
547	822.19	NUM	47	47		H	
548	822.19	NUM	26	26		H	
549	822.19	NUM	17	17		H	
550	822.19	CLEAR	är	är		H	
551	822.19	CLEAR	medh	medh		H	
552	822.19	NUM	66	66		H	
553	822.19	NUM	33	33		H	
554	822.19	NUM	75	75		H	
555	822.19	NUM	28	28		H	
556	822.20	NUM	72	72		H	
557	822.20	NUM	31	31		H	
558	822.20	NUM	71	71		H	
559	822.20	NUM	26	26		H	
560	822.20	NUM	57	57		H	
561	822.20	NUM	62	62		H	
562	822.20	NUM	38	38		H	
563	822.20	NUM	26	26		H	
564	822.20	NUM	80	80		H	
565	822.20	CLEAR	så	så		H	
566	822.20	CLEAR	att	att		H	
567	822.20	SYM	r	r		M	
568	822.20	SYM	ee	ee		M	
569	822.20	CLEAR	behöfve	behöfve		H	
570	822.20	CLEAR	till	till		H	
571	822.20	CLEAR	att	att		H	
572	822.20	NUM	32	32		H	
573	822.20	NUM	26	26		H	
574	822.21	NUM	18	18		H	
575	822.21	NUM	31	31		H	
576	822.21	NUM	72	72		H	
577	822.21	NUM	80	80		H	
578	822.21	NUM	49	49		H	
579	822.21	NUM	66	66		H	
580	822.21	NUM	26	26		H	
581	822.21	NUM	32	32		H	
582	822.21	NUM	72	72		H	
583	822.21	NUM	26	26		H	
584	822.21	NUM	4	4		H	
585	822.21	NUM	25	25		H	
586	822.21	NUM	32	32		H	
587	822.21	CLEAR	allestädes	allestädes		H	
588	822.21	NUM	32	32		H	
589	822.21	NUM	62	62		H	
590	822.21	NUM	80	80		H	
591	822.21	NUM	47	47		H	
592	822.22	NUM	18	18		H	
593	822.22	NUM	65	65		H	
594	822.22	NUM	20	20		H	
595	822.22	NUM	44	44		H	
596	822.22	NUM	32	32		H	
597	822.22	NUM	51	51		H	
598	822.22	NUM	80	80		H	
599	822.22	NUM	75	75		H	
600	822.22	CLEAR	uthan	uthan		H	
601	822.22	CLEAR	bruka	bruka		H	
602	822.22	NUM	17	17		H	
603	822.22	NUM	72	72		H	
604	822.22	NUM	20	20		H	
605	822.22	NUM	19	19		H	
606	822.22	NUM	73	73		H	
607	822.22	NUM	66	66		H	
608	822.22	NUM	35	35		H	
609	822.23	NUM	75	75		H	
610	822.23	NUM	28	28		H	
611	822.23	NUM	73	73		H	
612	822.23	NUM	31	31		H	
613	822.23	NUM	26	26		H	
614	822.23	NUM	47	47		H	
615	822.23	NUM	26	26		H	
616	822.23	NUM	31	31		H	
617	822.23	NUM	81	81		H	
618	822.23	NUM	51	51		H	
619	822.23	NUM	28	28		H	
620	822.23	NUM	27	27		H	
621	822.23	NUM	22	22		H	
622	822.23	NUM	65	65		H	
623	822.23	NUM	32	32		H	
624	822.23	NUM	47	47		H	
625	822.23	NUM	26	26		H	
626	822.23	NUM	24	24		H	
627	822.23	NUM	28	28		H	
628	822.23	SYM	rr	rr		M	
629	822.24	NUM	32	32		H	
630	822.24	NUM	81	81		H	
631	822.24	NUM	32	32		H	
632	822.24	NUM	72	72		H	
633	822.24	NUM	80	80		H	
634	822.24	NUM	50	50		H	
635	822.24	NUM	66	66		H	
636	822.24	NUM	24	24		H	
637	822.24	NUM	19	19		H	
638	822.24	NUM	25	25		H	
639	822.24	NUM	78	78		H	
640	822.24	NUM	83.	83		H	
641	822.24	CLEAR	Corresponderer	Corresponderer		H	
642	822.24	NUM	65	65		H	
643	822.24	NUM	50	50		H	
644	822.25	NUM	66	66		H	
645	822.25	NUM	23	23		H	
646	822.25	NUM	28	28		H	
647	822.25	NUM	51	51		H	
648	822.25	NUM	81	81		H	
649	822.25	NUM	52	52		H	
650	822.25	NUM	75	75		H	
651	822.25	NUM	83	83		H	
652	822.25	NUM	20	20		H	
653	822.25	NUM	26	26		H	
654	822.25	NUM	47	47		H	
655	822.25	NUM	66	66		H	
656	822.25	NUM	26	26		H	
657	822.25	NUM	32	32		H	
658	822.25	NUM	53	53		H	
659	822.25	NUM	72	72		H	
660	822.25	NUM	68	68		H	
661	822.25	NUM	73	73		H	
662	822.25	NUM	78	78		H	
663	822.26	NUM	70	70		H	
664	822.26	NUM	72	72		H	
665	822.26	NUM	78	78		H	
666	822.26	NUM	26	26		H	
667	822.26	NUM	32	32		H	
668	822.26	CLEAR	och	och		H	
669	822.26	CLEAR	befliter	befliter		H	
670	822.26	CLEAR	eder	eder		H	
671	822.26	CLEAR	till	till		H	
672	822.26	CLEAR	att	att		H	
673	822.26	NUM	44	44		H	
674	822.26	NUM	62	62		H	
675	822.26	NUM	80	80		H	
676	822.26	NUM	47	47		H	
677	822.26	NUM	75	75		H	
678	822.26	NUM	65	65		H	
679	822.26	NUM	32	32		H	
680	822.27	NUM	72	72		H	
681	822.27	NUM	65	65		H	
682	822.27	NUM	17	17		H	
683	822.27	NUM	16	16		H	
684	822.27	CLEAR	hvadh	hvadh		H	
685	822.27	NUM	26	26		H	
686	822.27	NUM	47	47		H	
687	822.27	NUM	26	26		H	
688	822.27	NUM	32	32		H	
689	822.27	NUM	28	28		H	
690	822.27	NUM	51	51		H	
691	822.27	NUM	47	47		H	
692	822.27	NUM	25	25		H	
693	822.27	NUM	32	32		H	
694	822.27	NUM	72	72		H	
695	822.27	NUM	82	82		H	
696	822.27	NUM	81	81		H	
697	822.27	NUM	57	57		H	
698	822.28	NUM	51	51		H	
699	822.28	NUM	57	57		H	
700	822.28	CLEAR	kunne	kunne		H	
701	822.28	NUM	995	995		H	
702	822.28	NUM	17	17		H	
703	822.28	NUM	72	72		H	
704	822.28	NUM	44	44		H	
705	822.28	NUM	26	26		H	
706	822.28	NUM	31	31		H	
707	822.28	NUM	80	80		H	
708	822.28	NUM	78	78		H	
709	822.28	NUM	24	24		H	
710	822.28	NUM	47	47		H	
711	822.28	NUM	26	26		H	
712	822.28	NUM	32	32		H	
713	822.28	NUM	26	26		H	
714	822.28	NUM	22	22		H	
715	822.28	NUM	81	81		H	
716	822.29	NUM	24	24		H	
717	822.29	NUM	31.	31		H	
718	822.29	CLEAR	Vij	Vij		H	
719	822.29	CLEAR	låte	låte		H	replace: OCR 'late'
720	822.29	CLEAR	eder	eder		H	
721	822.29	CLEAR	ock	ock		H	
722	822.29	CLEAR	nådigest	nådigest		H	
723	822.29	CLEAR	förnimma,	förnimma		H	
724	822.29	CLEAR	dett	dett		H	
725	822.29	NUM	17	17		H	
726	822.29	NUM	54	54		H	
727	822.29	NUM	72	72		H	
728	822.29	NUM	32	32		H	
729	822.30	NUM	30	30		H	
730	822.30	SYM	u	u		M	
731	822.30	SYM	gg	gg		M	
732	822.30	NUM	17	17		H	
733	822.30	NUM	81	81		H	
734	822.30	NUM	"65"""	65	""""	H	
735	822.30	NUM	81	81		H	
736	822.30	NUM	82	82		H	
737	822.30	SYM	d	d		M	
738	822.30	NUM	9	9		H	
739	822.30	NUM	1328	1328		H	
740	822.30	SYM	aa	aa		M	
741	822.30	NUM	3965	3965		H	
742	822.30	NUM	3328	3328		H	
743	822.30	NUM	3927	3927		H	
744	822.30	SYM	rr	rr		M	
745	822.30	NUM	1103	1103		H	
746	822.31	SYM	rr	rr		M	
747	822.31	NUM	1041	1041		H	
748	822.31	NUM	863	863		H	
749	822.31	NUM	29	29		H	
750	822.31	NUM	93.	93		H	
751	822.31	CLEAR	Men	Men		H	
752	822.31	CLEAR	så	så		H	
753	822.31	CLEAR	är	är		H	
754	822.31	CLEAR	dett	dett		H	
755	822.31	CLEAR	altt	altt		H	
