code	value	grade	occurrences	agree	empty	others
112	l	M	33	19	9	o:2,c:1,t:1,z:1
113	l	M	52	20	15	s:5,c:2,d:2,o:2,u:2,a:1,h:1,j:1,p:1
114	l	M	44	18	17	c:2,b:1,d:1,e:1,n:1,p:1,t:1,z:1
115	NULL	H	13	10	10	l:3
116	m	M	1	1	0	
117	m	M	16	5	8	a:1,e:1,l:1
118	m	M	32	10	15	n:2,y:2,g:1,l:1,s:1
119	m	M	19	5	9	a:1,b:1,d:1,r:1,t:1
120	n	M	23	3	13	b:2,a:1,e:1,j:1,m:1,s:1
121	c	M	26	2	14	p:2,u:2,a:1,accompaig:1,harlem:1,l:1,n:1,z:1
122	s	M	5	2	2	e:1
123	r	M	12	2	5	mercieray:1,n:1,o:1,t:1,vantaigeainssi:1
124	dungcomunaccor	M	11	1	6	j:1,l:1,o:1,regard:1
125	p	M	2	1	1	
126	y	M	1	1	0	
127	s	M	20	6	6	experience:1,l:1,lamaigr:1,m:1,ne:1,o:1,rrionsfacillem:1,z:1
128	d	M	15	2	4	u:2,e:1,l:1,lavillededelf:1,pourrezprendre:1,finde:1,t:1,vaulx:1
129	a	M	31	3	14	c:2,e:2,afairemesmede:1,aujeuprem:1,ctz:1,eniensetattend:1,lleoudeux:1,o:1,rboomeljevoisp:1,s:1,trercelame:1,unemienneprece:1
130	u	M	24	3	12	l:2,s:2,a:1,i:1,q:1,r:1,renforcez:1
131	t	M	40	5	18	p:2,b:1,d:1,de:1,demastric:1,e:1,g:1,guerre:1,ieuetmoyennant:1,jou:1,lquecho:1,m:1,nouspourrions:1,nousretournon:1,o:1,pardecainco:1
132	i	M	14	2	3	p:2,arderontsilong:1,compaignon:1,lacam:1,n:1,q:1,quilyaencorese:1,s:1
133	u	M	8	2	3	d:1,m:1,mi:1
134	alesdict	M	8	1	4	jusquesatant:1,nnemis:1,r:1
135	l	M	1	1	0	
137	NULL	H	5	3	3	enbrief:2
138	depuisb	M	1	1	0	
139	a	M	12	3	2	t:2,d:1,eeulxjoinct:1,g:1,ic:1,mesmessilzvoul:1
140	NULL	H	9	6	6	b:3
141	protestanss	M	2	1	1	
142	l	M	4	1	1	luy:1,y:1
143	u	M	7	2	2	d:1,s:1,x:1
144	l	M	3	1	1	usseveoyrmaisc:1
147	i	M	6	2	3	j:1
148	emp	M	1	1	0	
149	i	M	5	2	1	b:1,comedes:1
150	NULL	H	4	3	3	l:1
151	NULL	M	1	1	1	
154	do	M	1	1	0	
158	NULL	M	1	1	1	
170	d	M	1	1	0	
172	c	M	1	1	0	
181	l	M	1	1	0	
182	y	M	1	1	0	
183	faictpenserqu	M	2	1	1	
184	q	M	2	1	0	y:1
188	t	M	1	1	0	
191	m	M	2	1	0	p:1
192	a	M	4	1	1	l:1,u:1
195	t	M	1	1	0	
199	y	M	1	1	0	
202	nt	M	1	1	0	
203	da	M	1	1	0	
209	ay	M	1	1	0	
210	m	M	2	1	0	r:1
211	c	M	2	1	0	u:1
215	s	M	2	1	0	uillez:1
217	t	M	1	1	0	
219	iberezdembras	M	1	1	0	
220	o	M	2	1	0	strebientost:1
221	hollande	M	2	1	0	i:1
223	faictesdevenir	M	1	1	0	
227	r	M	1	1	0	
228	avezentendupar	M	2	1	0	etpouravoirnoz:1
232	t	M	1	1	0	
234	r	M	1	1	0	
241	m	M	1	1	0	
281	NULL	M	1	1	1	
283	r	H	3	3	0	
293	NULL	M	1	1	1	
299	NULL	M	1	1	1	
300	NULL	M	1	1	1	
312	deloffreque	M	4	1	1	oingquelleaura:1,s:1
331	h	M	1	1	0	
332	u	M	1	1	0	
339	NULL	M	1	1	1	
341	celanecessaire	M	2	1	0	trentasse:1
342	delacampaigne	M	1	1	0	
347	dupassenousdem	M	2	1	1	
391	NULL	M	1	1	1	
599	a	M	1	1	0	
808	a	M	1	1	0	
811	n	M	1	1	0	
823	stoitavecbonn	M	1	1	0	
827	a	M	1	1	0	
837	NULL	M	1	1	1	
838	teparlaquellej	M	1	1	0	
843	omelesprinces	M	1	1	0	
901	NULL	M	1	1	1	
920	p	M	1	1	0	
929	re	M	1	1	0	
