line	idx	token	conf	briefnr
4613_L08	21	22		4613
4613_L08	22	1		4613
4613_L08	23	102		4613
4613_L08	24	8	M	4613
4613_L09	1	21		4613
4613_L09	2	85		4613
4613_L09	3	30		4613
4613_L09	4	17		4613
4613_L09	5	36		4613
4613_L09	6	61		4613
4613_L09	7	37		4613
4613_L09	8	8		4613
4613_L09	9	2		4613
4613_L09	10	29		4613
4613_L09	11	21		4613
4613_L09	12	82		4613
4613_L09	13	71		4613
4613_L09	14	83		4613
4613_L09	15	39		4613
4613_L09	16	ii		4613
4613_L09	17	63		4613
4613_L09	18	29		4613
4613_L09	19	40		4613
4613_L09	20	5		4613
4613_L09	21	12		4613
4613_L09	22	83		4613
4613_L09	23	71		4613
4613_L09	24	10	M	4613
4613_L10	1	96		4613
4613_L10	2	9		4613
4613_L10	3	118		4613
4613_L10	4	85		4613
4613_L10	5	113		4613
4613_L10	6	84		4613
4613_L10	7	18		4613
4613_L10	8	37		4613
4613_L10	9	82		4613
4613_L10	10	112		4613
4613_L10	11	62		4613
4613_L10	12	85		4613
4613_L10	13	40		4613
4613_L10	14	iii		4613
4613_L10	15	64		4613
4613_L10	16	28		4613
4613_L10	17	72		4613
4613_L10	18	96		4613
4613_L10	19	65		4613
4613_L10	20	21		4613
4613_L10	21	91		4613
4613_L10	22	8	M	4613
4613_L11	1	76		4613
4613_L11	2	82		4613
4613_L11	3	112		4613
4613_L11	4	65		4613
4613_L11	5	312		4613
4613_L11	6	218		4613
4613_L11	7	w:pour		4613
4613_L11	8	w:autant		4613
4613_L11	9	w:nous		4613
4613_L11	10	w:vous		4613
4613_L11	11	w:supplions		4613
4613_L11	12	w:bien		4613
4613_L11	13	w:humblement		4613
4613_L11	14	76		4613
4613_L11	15	82		4613
4613_L12	1	2		4613
4613_L12	2	6		4613
4613_L12	3	37		4613
4613_L12	4	26		4613
4613_L12	5	118		4613
4613_L12	6	62		4613
4613_L12	7	2		4613
4613_L12	8	76		4613
4613_L12	9	81		4613
4613_L12	10	22		4613
4613_L12	11	39		4613
4613_L12	12	8		4613
4613_L12	13	27		4613
4613_L12	14	31		4613
4613_L12	15	23		4613
4613_L12	16	82		4613
4613_L12	17	55		4613
4613_L12	18	80		4613
4613_L12	19	36		4613
4613_L12	20	103		4613
4613_L12	21	39		4613
4613_L12	22	83		4613
4613_L12	23	33		4613
4613_L13	1	21		4613
4613_L13	2	81		4613
4613_L13	3	30		4613
4613_L13	4	10		4613
4613_L13	5	111		4613
4613_L13	6	36		4613
4613_L13	7	32		4613
4613_L13	8	105		4613
4613_L13	9	9		4613
4613_L13	10	5		4613
4613_L13	11	29		4613
4613_L13	12	38		4613
4613_L13	13	24		4613
4613_L13	14	34		4613
4613_L13	15	10		4613
4613_L13	16	40		4613
4613_L13	17	35		4613
4613_L13	18	61		4613
4613_L13	19	39		4613
4613_L13	20	12		4613
4613_L13	21	112		4613
4613_L13	22	36		4613
4613_L13	23	26		4613
4613_L14	1	31		4613
4613_L14	2	6		4613
4613_L14	3	26		4613
4613_L14	4	32		4613
4613_L14	5	16		4613
4613_L14	6	40		4613
4613_L14	7	102		4613
4613_L14	8	86		4613
4613_L14	9	62		4613
4613_L14	10	103		4613
4613_L14	11	28		4613
4613_L14	12	82		4613
4613_L14	13	71		4613
4613_L14	14	83		4613
4613_L14	15	15		4613
4613_L14	16	9		4613
4613_L14	17	38		4613
4613_L14	18	112		4613
4613_L14	19	22		4613
4613_L14	20	62		4613
4613_L14	21	w:affin		4613
4613_L14	22	w:que		4613
4613_L15	1	w:nous		4613
4613_L15	2	2		4613
4613_L15	3	83		4613
4613_L15	4	14		4613
4613_L15	5	65		4613
4613_L15	6	24		4613
4613_L15	7	76		4613
4613_L15	8	8		4613
4613_L15	9	4		4613
4613_L15	10	27		4613
4613_L15	11	13		4613
4613_L15	12	62		4613
4613_L15	13	28		4613
4613_L15	14	113		4613
4613_L15	15	85		4613
4613_L15	16	31		4613
4613_L15	17	84		4613
4613_L15	18	119		4613
4613_L15	19	12		4613
4613_L15	20	28		4613
4613_L16	1	iii		4613
4613_L16	2	83		4613
4613_L16	3	20		4613
4613_L16	4	40		4613
4613_L16	5	82		4613
4613_L16	6	112		4613
4613_L16	7	81		4613
4613_L16	8	26		4613
4613_L16	9	31		4613
4613_L16	10	66		4613
4613_L16	11	101		4613
4613_L16	12	85		4613
4613_L16	13	5		4613
4613_L16	14	72		4613
4613_L16	15	6		4613
4613_L16	16	40		4613
4613_L16	17	25		4613
4613_L16	18	34		4613
4613_L16	19	w:quant		4613
4613_L16	20	w:a		4613
4613_L16	21	w:nous		4613
4613_L17	1	90		4613
4613_L17	2	21		4613
4613_L17	3	61		4613
4613_L17	4	1		4613
4613_L17	5	71		4613
4613_L17	6	6		4613
4613_L17	7	101		4613
4613_L17	8	26		4613
4613_L17	9	2		4613
4613_L17	10	7		4613
4613_L17	11	37		4613
4613_L17	12	26		4613
4613_L17	13	62		4613
4613_L17	14	38		4613
4613_L17	15	8		4613
4613_L17	16	3		4613
4613_L17	17	29		4613
4613_L17	18	21		4613
4613_L17	19	82		4613
4613_L17	20	73		4613
4613_L17	21	84		4613
4613_L17	22	40		4613
4613_L18	1	76		4613
4613_L18	2	81		4613
4613_L18	3	4		4613
4613_L18	4	9		4613
4613_L18	5	39		4613
4613_L18	6	83		4613
4613_L18	7	111		4613
4613_L18	8	114		4613
4613_L18	9	84		4613
4613_L18	10	27		4613
4613_L18	11	16		4613
4613_L18	12	36		4613
4613_L18	13	102		4613
4613_L18	14	123		4613
4613_L18	15	57		4613
4613_L18	16	28		4613
4613_L18	17	82		4613
4613_L18	18	21		4613
4613_L18	19	22		4613
4613_L18	20	6		4613
4613_L18	21	1		4613
4613_L18	22	31		4613
4613_L19	1	66		4613
4613_L19	2	102		4613
4613_L19	3	81		4613
4613_L19	4	2		4613
4613_L19	5	31		4613
4613_L19	6	7		4613
4613_L19	7	26		4613
4613_L19	8	32		4613
4613_L19	9	30		4613
4613_L19	10	40		4613
4613_L19	11	25		4613
4613_L19	12	111		4613
4613_L19	13	61		4613
4613_L19	14	120		4613
4613_L19	15	85		4613
4613_L19	16	30		4613
4613_L19	17	27		4613
4613_L19	18	82		4613
4613_L19	19	111		4613
4613_L19	20	112		4613
4613_L19	21	84		4613
4613_L20	1	81		4613
4613_L20	2	33		4613
4613_L20	3	104		4613
4613_L20	4	112		4613
4613_L20	5	81		4613
4613_L20	6	62		4613
4613_L20	7	16		4613
4613_L20	8	36		4613
4613_L20	9	101		4613
4613_L20	10	2		4613
4613_L20	11	56		4613
4613_L20	12	82		4613
4613_L20	13	73		4613
4613_L20	14	83		4613
4613_L20	15	5		4613
4613_L20	16	32		4613
4613_L20	17	339		4613
4613_L20	18	81		4613
4613_L20	19	32		4613
4613_L20	20	33		4613
4613_L20	21	21		4613
4613_L20	22	6		4613
4613_L21	1	105		4613
4613_L21	2	26		4613
4613_L21	3	72		4613
4613_L21	4	82		4613
4613_L21	5	5		4613
4613_L21	6	34		4613
4613_L21	7	338		4613
4613_L21	8	2		4613
4613_L21	9	6		4613
4613_L21	10	36		4613
4613_L21	11	26		4613
4613_L21	12	81		4613
4613_L21	13	27		4613
4613_L21	14	12		4613
4613_L21	15	83		4613
4613_L21	16	21		4613
4613_L21	17	6		4613
4613_L21	18	1		4613
4613_L21	19	28		4613
4613_L21	20	16		4613
4613_L21	21	37		4613
4613_L21	22	101		4613
4613_L21	23	iii		4613
4613_L22	1	26		4613
4613_L22	2	82		4613
4613_L22	3	22		4613
4613_L22	4	10		4613
4613_L22	5	5		4613
4613_L22	6	35		4613
4613_L22	7	61		4613
4613_L22	8	101		4613
4613_L22	9	82		4613
4613_L22	10	2		4613
4613_L22	11	31		4613
4613_L22	12	6		4613
4613_L22	13	26		4613
4613_L22	14	32		4613
4613_L22	15	61		4613
4613_L22	16	38		4613
4613_L22	17	13		4613
4613_L22	18	21		4613
4613_L22	19	82		4613
4613_L22	20	26		4613
4613_L22	21	82		4613
4613_L22	22	w:nous		4613
4613_L23	1	w:au		4613
4613_L23	2	w:demourant		4613
4613_L23	3	w:il		4613
4613_L23	4	w:nous		4613
4613_L23	5	61		4613
4613_L23	6	86		4613
4613_L23	7	62		4613
4613_L23	8	101		4613
4613_L23	9	112		4613
4613_L23	10	103		4613
4613_L23	11	92		4613
4613_L23	12	[blot]		4613
4613_L23	13	21		4613
4613_L23	14	82		4613
4613_L23	15	31		4613
4613_L23	16	102		4613
4613_L23	17	22		4613
4613_L23	18	83		4613
4613_L23	19	23		4613
4613_L24	1	1	M	4613
4613_L24	2	6		4613
4613_L24	3	40		4613
4613_L24	4	30		4613
4613_L24	5	92		4613
4613_L24	6	82		4613
4613_L24	7	3		4613
4613_L24	8	26		4613
4613_L24	9	76		4613
4613_L24	10	63		4613
4613_L24	11	38		4613
4613_L24	12	15		4613
4613_L24	13	21		4613
4613_L24	14	81		4613
4613_L24	15	22		4613
4613_L24	16	85		4613
4613_L24	17	112		4613
4613_L24	18	61		4613
4613_L24	19	312		4613
4613_L24	20	273		4613
4613_L24	21	62		4613
4613_L25	1	71		4613
4613_L25	2	62		4613
4613_L25	3	39		4613
4613_L25	4	26		4613
4613_L25	5	82		4613
4613_L25	6	16		4613
4613_L25	7	36		4613
4613_L25	8	81		4613
4613_L25	9	112		4613
4613_L25	10	81		4613
4613_L25	11	26		4613
4613_L25	12	96		4613
4613_L25	13	6		4613
4613_L25	14	39		4613
4613_L25	15	21		4613
4613_L25	16	62		4613
4613_L25	17	92		4613
4613_L25	18	83		4613
4613_L25	19	27		4613
4613_L25	20	w:et		4613
4613_L25	21	347		4613
4613_L25	22	w:nous		4613
4613_L26	1	6		4613
4613_L26	2	2		4613
4613_L26	3	32		4613
4613_L26	4	71		4613
4613_L26	5	7		4613
4613_L26	6	118		4613
4613_L26	7	119		4613
4613_L26	8	81		4613
4613_L26	9	3		4613
4613_L26	10	72		4613
4613_L26	11	83		4613
4613_L26	12	90		4613
4613_L26	13	6		4613
4613_L26	14	21		4613
4613_L26	15	31		4613
4613_L26	16	61		4613
4613_L26	17	88		4613
4613_L26	18	62		4613
4613_L26	19	101		4613
4613_L26	20	111		4613
4613_L26	21	101		4613
4613_L26	22	81		4613
4613_L27	1	21		4613
4613_L27	2	w:et		4613
4613_L27	3	62		4613
4613_L27	4	36		4613
4613_L27	5	6		4613
4613_L27	6	2		4613
4613_L27	7	26		4613
4613_L27	8	112		4613
4613_L27	9	7		4613
4613_L27	10	91		4613
4613_L27	11	82		4613
4613_L27	12	2		4613
4613_L27	13	6		4613
4613_L27	14	40		4613
4613_L27	15	30		4613
4613_L27	16	94		4613
4613_L27	17	81		4613
4613_L27	18	3		4613
4613_L27	19	27		4613
4613_L27	20	101		4613
4613_L27	21	71		4613
4613_L27	22	51		4613
4613_L27	23	62		4613
4613_L28	1	113		4613
4613_L28	2	83		4613
4613_L28	3	4		4613
4613_L28	4	32		4613
4613_L28	5	8		4613
4613_L28	6	39		4613
4613_L28	7	24		4613
4613_L28	8	76		4613
4613_L28	9	81		4613
4613_L28	10	41		4613
4613_L28	11	82		4613
4613_L28	12	31		4613
4613_L28	13	96		4613
4613_L28	14	83		4613
4613_L28	15	128		4613
4613_L28	16	82		4613
4613_L28	17	33		4613
4613_L28	18	73		4613
4613_L28	19	61		4613
4613_L28	20	21		4613
4613_L28	21	31		4613
4613_L29	1	104		4613
4613_L29	2	123		4613
4613_L29	3	56		4613
4613_L29	4	84		4613
4613_L29	5	33		4613
4613_L29	6	115		4613
4613_L29	7	61		4613
4613_L29	8	65		4613
4613_L29	9	36		4613
4613_L29	10	12		4613
4613_L29	11	21		4613
4613_L29	12	81		4613
4613_L29	13	27		4613
4613_L29	14	w:Nous		4613
4613_L29	15	w:vous		4613
4613_L29	16	w:supplions		4613
4613_L29	17	w:afin		4613
4613_L30	1	w:que		4613
4613_L30	2	w:nous		4613
4613_L30	3	w:puissions		4613
4613_L30	4	w:avoir		4613
4613_L30	5	w:de		4613
4613_L30	6	w:vous		4613
4613_L30	7	w:nouvelles		4613
4613_L30	8	w:ou		4613
4613_L30	9	w:si		4613
4613_L30	10	w:tost		4613
4613_L30	11	w:que		4613
4613_L30	12	w:faire		4613
4613_L30	13	w:se		4613
4613_L30	14	w:pourra		4613
4613_L30	15	w:ferons		4613
4613_L30	16	w:la		4613
4613_L30	17	w:fin		4613
4613_L30	18	w:priant		4613
4613_L30	19	w:le		4613
4613_L30	20	w:Createur		4613
4613_L30	21	w:vous		4613
4613_L30	22	w:donner		4613
4613_L31	1	w:Monsieur		4613
4613_L31	2	w:sa		4613
4613_L31	3	w:saincte		4613
4613_L31	4	w:grace		4613
4613_L31	5	w:ce		4613
4613_L31	6	w:faict		4613
4613_L31	7	w:au		4613
4613_L31	8	w:Camp		4613
4613_L31	9	w:de		4613
4613_L31	10	w:Cartelz?	M	4613
4613_L31	11	w:ce		4613
4613_L31	12	w:25		4613
4613_L31	13	w:de		4613
4613_L31	14	w:Mars		4613
4613_L31	15	w:l'an		4613
4613_L31	16	w:1574		4613
4615_L01	1	w:Monsieur		4615
4615_L01	2	w:depuis		4615
4615_L01	3	w:nostre		4615
4615_L01	4	w:derniere		4615
4615_L01	5	w:nous		4615
4615_L01	6	w:avons		4615
4615_L01	7	121		4615
4615_L01	8	132		4615
4615_L01	9	31		4615
4615_L01	10	22		4615
4615_L01	11	61		4615
4615_L01	12	71		4615
4615_L01	13	32		4615
4615_L01	14	81		4615
4615_L01	15	121		4615
4615_L02	1	61		4615
4615_L02	2	36		4615
4615_L02	3	92		4615
4615_L02	4	72		4615
4615_L02	5	1		4615
4615_L02	6	6		4615
4615_L02	7	37		4615
4615_L02	8	26		4615
4615_L02	9	337		4615
4615_L02	10	121		4615
4615_L02	11	141		4615
4615_L02	12	116		4615
4615_L02	13	62		4615
4615_L02	14	101		4615
4615_L02	15	27		4615
4615_L02	16	103		4615
4615_L02	17	93		4615
4615_L02	18	38		4615
4615_L02	19	7		4615
4615_L02	20	51		4615
4615_L02	21	53		4615
4615_L03	1	16		4615
4615_L03	2	40		4615
4615_L03	3	85		4615
4615_L03	4	111		4615
4615_L03	5	63		4615
4615_L03	6	12		4615
4615_L03	7	112		4615
4615_L03	8	39		4615
4615_L03	9	23		4615
4615_L03	10	91		4615
4615_L03	11	21		4615
4615_L03	12	64		4615
4615_L03	13	3		4615
4615_L03	14	76		4615
4615_L03	15	81		4615
4615_L03	16	13		4615
4615_L03	17	64		4615
4615_L03	18	22		4615
4615_L03	19	33		4615
4615_L03	20	107		4615
4615_L03	21	88		4615
4615_L03	22	71		4615
4615_L03	23	82		4615
4615_L04	1	82		4615
4615_L04	2	4		4615
4615_L04	3	21		4615
4615_L04	4	85		4615
4615_L04	5	31		4615
4615_L04	6	8		4615
4615_L04	7	37		4615
4615_L04	8	24		4615
4615_L04	9	5		4615
4615_L04	10	81		4615
4615_L04	11	77		4615
4615_L04	12	83		4615
4615_L04	13	87		4615
4615_L04	14	61		4615
4615_L04	15	72		4615
4615_L04	16	9		4615
4615_L04	17	4		4615
4615_L04	18	17		4615
4615_L04	19	38		4615
4615_L04	20	81		4615
4615_L04	21	2		4615
4615_L04	22	6		4615
4615_L04	23	40		4615
4615_L04	24	27		4615
4615_L05	1	84		4615
4615_L05	2	28		4615
4615_L05	3	33		4615
4615_L05	4	13		4615
4615_L05	5	8		4615
4615_L05	6	27		4615
4615_L05	7	30		4615
4615_L05	8	102		4615
4615_L05	9	66		4615
4615_L05	10	113		4615
4615_L05	11	82		4615
4615_L05	12	79		4615
4615_L05	13	81		4615
4615_L05	14	76		4615
4615_L05	15	83		4615
4615_L05	16	117		4615
4615_L05	17	8		4615
4615_L05	18	25		4615
4615_L05	19	82		4615
4615_L05	20	21		4615
4615_L05	21	121		4615
4615_L05	22	132		4615
4615_L05	23	12		4615
4615_L06	1	15		4615
4615_L06	2	114		4615
4615_L06	3	36		4615
4615_L06	4	28		4615
4615_L06	5	115		4615
4615_L06	6	10		4615
4615_L06	7	5		4615
4615_L06	8	94		4615
4615_L06	9	31		4615
4615_L06	10	81		4615
4615_L06	11	120		4615
4615_L06	12	19		4615
4615_L06	13	26		4615
4615_L06	14	82		4615
4615_L06	15	3		4615
4615_L06	16	74		4615
4615_L06	17	83		4615
4615_L06	18	28		4615
4615_L06	19	34		4615
4615_L06	20	71		4615
4615_L06	21	62		4615
4615_L06	22	23		4615
4615_L07	1	33		4615
4615_L07	2	102		4615
4615_L07	3	82		4615
4615_L07	4	26		4615
4615_L07	5	4		4615
4615_L07	6	8		4615
4615_L07	7	40		4615
4615_L07	8	30		4615
4615_L07	9	61		4615
4615_L07	10	31		4615
4615_L07	11	35		4615
4615_L07	12	62		4615
4615_L07	13	2		4615
4615_L07	14	77		4615
4615_L07	15	83		4615
4615_L07	16	24		4615
4615_L07	17	10		4615
4615_L07	18	1		4615
4615_L07	19	29		4615
4615_L07	20	84		4615
4615_L07	21	2		4615
4615_L07	22	11		4615
4615_L07	23	6		4615
4615_L07	24	2		4615
4615_L08	1	83		4615
4615_L08	2	27		4615
4615_L08	3	61		4615
4615_L08	4	40		4615
4615_L08	5	12		4615
4615_L08	6	113		4615
4615_L08	7	36		4615
4615_L08	8	21		4615
4615_L08	9	114		4615
4615_L08	10	6		4615
4615_L08	11	2		4615
4615_L08	12	93		4615
4615_L08	13	76		4615
4615_L08	14	81		4615
4615_L08	15	78		4615
4615_L08	16	40		4615
4615_L08	17	85		4615
4615_L08	18	27		4615
4615_L08	19	101		4615
4615_L08	20	1		4615
4615_L08	21	39		4615
4615_L08	22	21		4615
4615_L08	23	27		4615
4615_L09	1	62		4615
4615_L09	2	13		4615
4615_L09	3	21		4615
4615_L09	4	82		4615
4615_L09	5	26		4615
4615_L09	6	2		4615
4615_L09	7	9		4615
4615_L09	8	40		4615
4615_L09	9	27		4615
4615_L09	10	87		4615
4615_L09	11	21		4615
4615_L09	12	61		4615
4615_L09	13	3		4615
4615_L09	14	71		4615
4615_L09	15	6		4615
4615_L09	16	w:Si		4615
4615_L09	17	w:en		4615
4615_L09	18	w:cas		4615
4615_L09	19	w:que		4615
4615_L09	20	2		4615
4615_L09	21	81		4615
4615_L10	1	40		4615
4615_L10	2	101		4615
4615_L10	3	82		4615
4615_L10	4	2		4615
4615_L10	5	81		4615
4615_L10	6	3		4615
4615_L10	7	33		4615
4615_L10	8	12		4615
4615_L10	9	62		4615
4615_L10	10	26		4615
4615_L10	11	85		4615
4615_L10	12	3		4615
4615_L10	13	72		4615
4615_L10	14	94		4615
4615_L10	15	31		4615
4615_L10	16	83		4615
4615_L10	17	117		4615
4615_L10	18	12		4615
4615_L10	19	26		4615
4615_L10	20	5		4615
4615_L10	21	6		4615
4615_L10	22	39		4615
4615_L10	23	28		4615
4615_L11	1	14		4615
4615_L11	2	25		4615
4615_L11	3	63		4615
4615_L11	4	4		4615
4615_L11	5	76		4615
4615_L11	6	81		4615
4615_L11	7	22		4615
4615_L11	8	7		4615
4615_L11	9	3		4615
4615_L11	10	27		4615
4615_L11	11	1		4615
4615_L11	12	6		4615
4615_L11	13	26		4615
4615_L11	14	31		4615
4615_L11	15	[blot]		4615
4615_L11	16	81		4615
4615_L11	17	26		4615
4615_L11	18	71		4615
4615_L11	19	96		4615
4615_L11	20	81		4615
4615_L11	21	118		4615
4615_L11	22	101		4615
4615_L11	23	2		4615
4615_L11	24	121		4615
4615_L12	1	83		4615
4615_L12	2	4		4615
4615_L12	3	31		4615
4615_L12	4	21		4615
4615_L12	5	82		4615
4615_L12	6	92		4615
4615_L12	7	23		4615
4615_L12	8	61		4615
4615_L12	9	40		4615
4615_L12	10	84		4615
4615_L12	11	81		4615
4615_L12	12	38		4615
4615_L12	13	272		4615
4615_L12	14	35		4615
4615_L12	15	6		4615
4615_L12	16	39		4615
4615_L12	17	31		4615
4615_L12	18	78		4615
4615_L12	19	21		4615
4615_L12	20	7		4615
4615_L12	21	102		4615
4615_L12	22	73		4615
4615_L12	23	34		4615
4615_L12	24	122		4615
4615_L13	1	39		4615
4615_L13	2	81		4615
4615_L13	3	22		4615
4615_L13	4	26		4615
4615_L13	5	270		4615
4615_L13	6	121		4615
4615_L13	7	132		4615
4615_L13	8	w:pour		4615
4615_L13	9	w:autant		4615
4615_L13	10	w:je		4615
4615_L13	11	w:vous		4615
4615_L13	12	w:supplie		4615
4615_L13	13	w:de		4615
4615_L13	14	w:y		4615
4615_L13	15	w:adviser		4615
4615_L13	16	123		4615
4615_L13	17	132		4615
4615_L14	1	12		4615
4615_L14	2	6		4615
4615_L14	3	37		4615
4615_L14	4	21		4615
4615_L14	5	2		4615
4615_L14	6	7		4615
4615_L14	7	36		4615
4615_L14	8	27		4615
4615_L14	9	33		4615
4615_L14	10	61		4615
4615_L14	11	2		4615
4615_L14	12	76		4615
4615_L14	13	21		4615
4615_L14	14	82		4615
4615_L14	15	112		4615
4615_L14	16	61		4615
4615_L14	17	117		4615
4615_L14	18	62		4615
4615_L14	19	102		4615
4615_L14	20	4		4615
4615_L14	21	132		4615
4615_L15	1	65		4615
4615_L15	2	86		4615
4615_L15	3	90		4615
4615_L15	4	101		4615
4615_L15	5	2		4615
4615_L15	6	16		4615
4615_L15	7	40		4615
4615_L15	8	82		4615
4615_L15	9	4		4615
4615_L15	10	8		4615
4615_L15	11	[spot]		4615
4615_L15	12	28		4615
4615_L15	13	40		4615
4615_L15	14	7		4615
4615_L15	15	36		4615
4615_L15	16	27		4615
4615_L15	17	14		4615
4615_L15	18	37		4615
4615_L15	19	26		4615
4615_L15	20	30		4615
4615_L15	21	101		4615
4615_L15	22	9		4615
4615_L15	23	2		4615
4615_L15	24	26		4615
4615_L16	1	105		4615
4615_L16	2	7		4615
4615_L16	3	102		4615
4615_L16	4	2		4615
4615_L16	5	76		4615
4615_L16	6	21		4615
4615_L16	7	82		4615
4615_L16	8	30		4615
4615_L16	9	61		4615
4615_L16	10	1		4615
4615_L16	11	29		4615
4615_L16	12	29		4615
4615_L16	13	12		4615
4615_L16	14	81		4615
4615_L16	15	22		4615
4615_L16	16	33		4615
4615_L16	17	84		4615
4615_L16	18	77		4615
4615_L16	19	81		4615
4615_L16	20	92		4615
4615_L16	21	83		4615
4615_L16	22	9		4615
4615_L16	23	29		4615
4615_L17	1	7		4615
4615_L17	2	2		4615
4615_L17	3	4		4615
4615_L17	4	6		4615
4615_L17	5	36		4615
4615_L17	6	27		4615
4615_L17	7	76		4615
4615_L17	8	7		4615
4615_L17	9	3		4615
4615_L17	10	81		4615
4615_L17	11	4		4615
4615_L17	12	31		4615
4615_L17	13	91		4615
4615_L17	14	22		4615
4615_L17	15	61		4615
4615_L17	16	2		4615
4615_L17	17	76		4615
4615_L17	18	84		4615
4615_L17	19	121		4615
4615_L17	20	82		4615
4615_L17	21	26		4615
4615_L17	22	12		4615
4615_L17	23	83		4615
4615_L17	24	21		4615
4615_L17	25	61		4615
4615_L17	26	3		4615
4615_L18	1	71		4615
4615_L18	2	82		4615
4615_L18	3	18		4615
4615_L18	4	37		4615
4615_L18	5	81		4615
4615_L18	6	27		4615
4615_L18	7	101		4615
4615_L18	8	5		4615
4615_L18	9	6		4615
