briefnr	line	idx	token	plain	block	status
4613	4613_L15	2	2	n	n	match
4613	4613_L15	3	83	e	e	match
4613	4613_L15	4	14	p	p	match
4613	4613_L15	5	65	e	a	conflict
4613	4613_L15	6	24	r	r	match
4613	4613_L15	7	76	d	d	match
4613				i		plain-only
4613	4613_L15	8	8	o	o	match
4613	4613_L15	9	4	n	n	match
4613	4613_L15	10	27	s	s	match
4613	4613_L15	11	13	p	p	match
4613	4613_L15	12	62	a	a	match
4613	4613_L15	13	28	s	s	match
4613	4613_L15	14	113	l	l	match
4613	4613_L15	15	85	e	e	match
4613	4613_L15	16	31	t	t	match
4613	4613_L15	17	84	e	e	match
4613	4613_L15	18	119	m	m	match
4613	4613_L15	19	12	p	p	match
4613	4613_L15	20	28	s	s	match
4613	4613_L16	1	iii	l		word
4613	4613_L16	2	83	e	e	match
4613	4613_L16	3	20	q	q	match
4613	4613_L16	4	40	u	u	match
4613	4613_L16	5	82	e	e	match
4613	4613_L16	6	112	l	l	match
4613	4613_L16	7	81	e	e	match
4613	4613_L16	8	26	s	s	match
4613	4613_L16	9	31	t	t	match
4613	4613_L16	10	66	b	b	match
4613	4613_L16	11	101	i	i	match
4613	4613_L16	12	85	e	e	match
4613	4613_L16	13	5	n	n	match
4613	4613_L16	14	72	c	c	match
4613	4613_L16	15	6	o	o	match
4613	4613_L16	16	40	u	u	match
4613	4613_L16	17	25	r	r	match
4613	4613_L16	18	34	t	t	match
4613	4613_L16	19	w:quant	quant		clear
4613	4613_L16	20	w:a	a		clear
4613				n		plain-only
4613				o		plain-only
4613				z		plain-only
4613	4613_L16	21	w:nous			clear-unmatched
4613	4613_L17	1	90	f	f	match
4613	4613_L17	2	21	r	r	match
4613	4613_L17	3	61	a	a	match
4613	4613_L17	4	1	n	n	match
4613	4613_L17	5	71	c	c	match
4613				h		plain-only
4613	4613_L17	6	6	o	o	match
4613	4613_L17	7	101	i	i	match
4613	4613_L17	8	26	s	s	match
4613	4613_L17	9	2	n	n	match
4613	4613_L17	10	7	o	o	match
4613	4613_L17	11	37	u	u	match
4613	4613_L17	12	26	s	s	match
4613	4613_L17	13	62	a	a	match
4613	4613_L17	14	38	u	u	match
4613	4613_L17	15	8	o	o	match
4613	4613_L17	16	3	n	n	match
4613	4613_L17	17	29	s	s	match
4613	4613_L17	18	21	r	r	match
4613	4613_L17	19	82	e	e	match
4613	4613_L17	20	73	c	c	match
4613	4613_L17	21	84	e	e	match
4613	4613_L17	22	40	u	u	match
4613	4613_L18	1	76		d	null
4613	4613_L18	2	81		e	null
4613	4613_L18	3	4	n	n	match
4613	4613_L18	4	9	o	o	match
4613				u		plain-only
4613	4613_L18	5	39	u	u	match
4613	4613_L18	6	83	e	e	match
4613	4613_L18	7	111	l	l	match
4613	4613_L18	8	114	l	l	match
4613	4613_L18	9	84	e	e	match
4613	4613_L18	10	27	s	s	match
4613	4613_L18	11	16	q	q	match
4613	4613_L18	12	36	u	u	match
4613	4613_L18	13	102	i	i	match
4613	4613_L18	14	123	l		word
4613	4613_L18	15	57	z	z	match
4613	4613_L18	16	28	s	s	match
4613	4613_L18	17	82	e	e	match
4613	4613_L18	18	21		r	null
4613	4613_L18	19	22	r	r	match
4613	4613_L18	20	6	o	o	match
4613	4613_L18	21	1	n	n	match
4613	4613_L18	22	31	t	t	match
4613	4613_L19	1	66	b	b	match
4613	4613_L19	2	102	i	i	match
4613	4613_L19	3	81	e	e	match
4613	4613_L19	4	2	n	n	match
4613	4613_L19	5	31	t	t	match
4613	4613_L19	6	7	o	o	match
4613	4613_L19	7	26	s	s	match
4613	4613_L19	8	32	t	t	match
4613	4613_L19	9	30	s	s	match
4613	4613_L19	10	40	u	u	match
4613	4613_L19	11	25	r	r	match
4613	4613_L19	12	111	l	l	match
4613	4613_L19	13	61	a	a	match
4613	4613_L19	14	120	m	m	match
4613	4613_L19	15	85	e	e	match
4613	4613_L19	16	30	u	s	conflict
4613	4613_L19	17	27	s	s	match
4613	4613_L19	18	82		e	null
4613	4613_L19	19	111		l	null
4613	4613_L19	20	112		l	null
4613	4613_L19	21	84	e	e	match
4613	4613_L20	1	81	e	e	match
4613	4613_L20	2	33	t	t	match
4613	4613_L20	3	104	i	i	match
4613	4613_L20	4	112	l	l	match
4613	4613_L20	5	81	y	e	conflict
4613	4613_L20	6	62	a	a	match
4613	4613_L20	7	16		q	null
4613	4613_L20	8	36		u	null
4613	4613_L20	9	101		i	null
4613	4613_L20	10	2		n	null
4613	4613_L20	11	56		z	null
4613	4613_L20	12	82		e	null
4613	4613_L20	13	73		c	null
4613	4613_L20	14	83		e	null
4613	4613_L20	15	5		n	null
4613	4613_L20	16	32		t	null
4613	4613_L20	17	339	1500harquebouzi		word
4613	4613_L20	18	81	e	e	match
4613	4613_L20	19	32		t	null
4613	4613_L20	20	33		t	null
4613	4613_L20	21	21	r	r	match
4613	4613_L20	22	6		o	null
4613	4613_L21	1	105		i	null
4613	4613_L21	2	26	s	s	match
4613	4613_L21	3	72		c	null
4613	4613_L21	4	82	e	e	match
4613	4613_L21	5	5		n	null
4613	4613_L21	6	34	t	t	match
4613	4613_L21	7	338	300cheuaulxlegiers		word
4613	4613_L21	8	2	n	n	match
4613	4613_L21	9	6	o	o	match
4613	4613_L21	10	36	u	u	match
4613	4613_L21	11	26	s	s	match
4613	4613_L21	12	81	e	e	match
4613	4613_L21	13	27	s	s	match
4613	4613_L21	14	12	p	p	match
4613	4613_L21	15	83	e	e	match
4613	4613_L21	16	21	r	r	match
4613	4613_L21	17	6	o	o	match
4613	4613_L21	18	1	n	n	match
4613	4613_L21	19	28	s	s	match
4613	4613_L21	20	16	q	q	match
4613	4613_L21	21	37	u	u	match
4613	4613_L21	22	101	i	i	match
4613	4613_L21	23	iii	l		word
4613				z		plain-only
4613	4613_L22	1	26	s	s	match
4613	4613_L22	2	82	e	e	match
4613	4613_L22	3	22	r	r	match
4613	4613_L22	4	10	o	o	match
4613	4613_L22	5	5	n	n	match
4613	4613_L22	6	35	t	t	match
4613	4613_L22	7	61	b	a	conflict
4613	4613_L22	8	101	i	i	match
4613	4613_L22	9	82	e	e	match
4613	4613_L22	10	2	n	n	match
4613	4613_L22	11	31	t	t	match
4613	4613_L22	12	6	o	o	match
4613	4613_L22	13	26	s	s	match
4613	4613_L22	14	32	t	t	match
4613	4613_L22	15	61	a	a	match
4613	4613_L22	16	38	u	u	match
4613	4613_L22	17	13	p	p	match
4613	4613_L22	18	21	r	r	match
4613	4613_L22	19	82	e	e	match
4613	4613_L22	20	26	s	s	match
4613				d		plain-only
4613	4613_L22	21	82	e	e	match
4613	4613_L22	22	w:nous	nous		clear
4613	4613_L23	1	w:au	au		clear
4613	4613_L23	2	w:demourant	demourant		clear
4613	4613_L23	3	w:il	il		clear
4613	4613_L23	4	w:nous	nous		clear
4613	4613_L23	5	61	a	a	match
4613	4613_L23	6	86	f	f	match
4613	4613_L23	7	62	a	a	match
4613	4613_L23	8	101		i	null
4613	4613_L23	9	112	l	l	match
4613	4613_L23	10	103		i	null
4613	4613_L23	11	92		g	null
4613	4613_L23	12	[blot]	lu		word
4613	4613_L23	13	21		r	null
4613	4613_L23	14	82		e	null
4613	4613_L23	15	31	t	t	match
4613	4613_L23	16	102	i	i	match
4613	4613_L23	17	22	r	r	match
4613	4613_L23	18	83	e	e	match
4613	4613_L23	19	23	r	r	match
4613	4613_L24	1	1	n	n	match
4613	4613_L24	2	6	o	o	match
4613	4613_L24	3	40		u	null
4613	4613_L24	4	30	z	s	conflict
4613	4613_L24	5	92	g	g	match
4613	4613_L24	6	82	e	e	match
4613	4613_L24	7	3	n	n	match
4613	4613_L24	8	26	s	s	match
4613	4613_L24	9	76	d	d	match
4613	4613_L24	10	63	a	a	match
4613	4613_L24	11	38	u	u	match
4613	4613_L24	12	15	p	p	match
4613	4613_L24	13	21	r	r	match
4613	4613_L24	14	81	e	e	match
4613				s		plain-only
4613	4613_L24	15	22	d	r	conflict
4613	4613_L24	16	85	e	e	match
4613	4613_L24	17	112	l	l	match
4613	4613_L24	18	61	a	a	match
4613	4613_L24	19	312	uillede		word
4613	4613_L24	20	273	maestricht		word
4613	4613_L24	21	62	a	a	match
4613	4613_L25	1	71	c	c	match
4613	4613_L25	2	62	a	a	match
4613	4613_L25	3	39	u	u	match
4613	4613_L25	4	26	s	s	match
4613	4613_L25	5	82	e	e	match
4613	4613_L25	6	16	q	q	match
4613	4613_L25	7	36	u	u	match
4613	4613_L25	8	81	e	e	match
4613	4613_L25	9	112	l	l	match
4613	4613_L25	10	81	e	e	match
4613	4613_L25	11	26	s	s	match
4613	4613_L25	12	96	f	h	conflict
4613	4613_L25	13	6	o	o	match
4613	4613_L25	14	39	u	u	match
4613				r		plain-only
4613	4613_L25	15	21	r	r	match
4613	4613_L25	16	62	a	a	match
4613				i		plain-only
4613	4613_L25	17	92	g	g	match
4613	4613_L25	18	83	e	e	match
4613	4613_L25	19	27	s	s	match
4613	4613_L25	20	w:et	et		clear
4613	4613_L25	21	347	uiures		word
4613	4613_L25	22	w:nous	nous		clear
4613	4613_L26	1	6	o	o	match
4613	4613_L26	2	2	n	n	match
4613	4613_L26	3	32	t	t	match
4613	4613_L26	4	71	c	c	match
4613	4613_L26	5	7	o	o	match
4613	4613_L26	6	118	m	m	match
4613	4613_L26	7	119	m	m	match
4613	4613_L26	8	81	e	e	match
4613	4613_L26	9	3	n	n	match
4613	4613_L26	10	72	c	c	match
4613	4613_L26	11	83	e	e	match
4613	4613_L26	12	90	f	f	match
4613	4613_L26	13	6	o	o	match
4613	4613_L26	14	21	r	r	match
4613	4613_L26	15	31	t	t	match
4613	4613_L26	16	61	a	a	match
4613	4613_L26	17	88	f	f	match
4613	4613_L26	18	62	a	a	match
4613	4613_L26	19	101	i	i	match
4613				l		plain-only
4613	4613_L26	20	111	l	l	match
4613	4613_L26	21	101	i	i	match
4613	4613_L26	22	81		e	null
4613	4613_L27	1	21	r	r	match
4613	4613_L27	2	w:et	et		clear
4613	4613_L27	3	62	a	a	match
4613	4613_L27	4	36	u	u	match
4613	4613_L27	5	6	o	o	match
4613	4613_L27	6	2	n	n	match
4613	4613_L27	7	26	s	s	match
4613	4613_L27	8	112	l	l	match
4613	4613_L27	9	7	o	o	match
4613	4613_L27	10	91	g	g	match
4613	4613_L27	11	82	e	e	match
4613	4613_L27	12	2	n	n	match
4613	4613_L27	13	6	o	o	match
4613	4613_L27	14	40		u	null
4613	4613_L27	15	30	z	s	conflict
4613	4613_L27	16	94	g	g	match
4613	4613_L27	17	81	e	e	match
4613	4613_L27	18	3	n	n	match
4613	4613_L27	19	27	s	s	match
4613	4613_L27	20	101		i	null
4613	4613_L27	21	71		c	null
4613	4613_L27	22	51		y	null
4613	4613_L27	23	62	a	a	match
4613	4613_L28	1	113	l	l	match
4613	4613_L28	2	83	e	e	match
4613	4613_L28	3	4	n	n	match
4613	4613_L28	4	32	t	t	match
4613	4613_L28	5	8	o	o	match
4613	4613_L28	6	39	u	u	match
4613	4613_L28	7	24	r	r	match
4613	4613_L28	8	76	d	d	match
4613	4613_L28	9	81		e	null
4613	4613_L28	10	41		v	null
4613	4613_L28	11	82	e	e	match
4613	4613_L28	12	31	t	t	match
4613	4613_L28	13	96		h	null
4613	4613_L28	14	83		e	null
4613	4613_L28	15	128	rittheim		word
4613	4613_L28	16	82	e	e	match
4613	4613_L28	17	33	t	t	match
4613	4613_L28	18	73	c	c	match
4613	4613_L28	19	61	a	a	match
4613	4613_L28	20	21	r	r	match
4613	4613_L28	21	31	t	t	match
4613	4613_L29	1	104	i	i	match
4613	4613_L29	2	123	llaafrancquemont		word
4613	4613_L29	3	56		z	null
4613	4613_L29	4	84	e	e	match
4613	4613_L29	5	33	t	t	match
4613	4613_L29	6	115	l	l	match
4613	4613_L29	7	61	a	a	match
4613	4613_L29	8	65	a	a	match
4613	4613_L29	9	36	u	u	match
4613	4613_L29	10	12	p	p	match
4613	4613_L29	11	21	r	r	match
4613	4613_L29	12	81	e	e	match
4613	4613_L29	13	27	s	s	match
4613	4613_L29	14	w:Nous			clear-unmatched
4613	4613_L29	15	w:vous			clear-unmatched
4613	4613_L29	16	w:supplions			clear-unmatched
4613	4613_L29	17	w:afin			clear-unmatched
4613	4613_L30	1	w:que			clear-unmatched
4613	4613_L30	2	w:nous			clear-unmatched
4613	4613_L30	3	w:puissions			clear-unmatched
4613	4613_L30	4	w:avoir			clear-unmatched
4613	4613_L30	5	w:de			clear-unmatched
4613	4613_L30	6	w:vous			clear-unmatched
4613	4613_L30	7	w:nouvelles			clear-unmatched
4613	4613_L30	8	w:ou			clear-unmatched
4613	4613_L30	9	w:si			clear-unmatched
4613	4613_L30	10	w:tost			clear-unmatched
4613	4613_L30	11	w:que			clear-unmatched
4613	4613_L30	12	w:faire			clear-unmatched
4613	4613_L30	13	w:se			clear-unmatched
4613	4613_L30	14	w:pourra			clear-unmatched
4613	4613_L30	15	w:ferons			clear-unmatched
4613	4613_L30	16	w:la			clear-unmatched
4613	4613_L30	17	w:fin			clear-unmatched
4613	4613_L30	18	w:priant			clear-unmatched
4613	4613_L30	19	w:le			clear-unmatched
4613	4613_L30	20	w:Createur			clear-unmatched
4613	4613_L30	21	w:vous			clear-unmatched
4613	4613_L30	22	w:donner			clear-unmatched
4613	4613_L31	1	w:Monsieur			clear-unmatched
4613	4613_L31	2	w:sa			clear-unmatched
4613	4613_L31	3	w:saincte			clear-unmatched
4613	4613_L31	4	w:grace			clear-unmatched
4613	4613_L31	5	w:ce			clear-unmatched
4613	4613_L31	6	w:faict			clear-unmatched
4613	4613_L31	7	w:au			clear-unmatched
4613	4613_L31	8	w:Camp			clear-unmatched
4613	4613_L31	9	w:de			clear-unmatched
4613	4613_L31	10	w:Cartelz?			clear-unmatched
4613	4613_L31	11	w:ce			clear-unmatched
4613	4613_L31	12	w:25			clear-unmatched
4613	4613_L31	13	w:de			clear-unmatched
4613	4613_L31	14	w:Mars			clear-unmatched
4613	4613_L31	15	w:l'an			clear-unmatched
4613	4613_L31	16	w:1574			clear-unmatched
4615	4615_L01	1	w:Monsieur			clear-unmatched
4615	4615_L01	2	w:depuis			clear-unmatched
4615	4615_L01	3	w:nostre			clear-unmatched
4615	4615_L01	4	w:derniere			clear-unmatched
4615	4615_L01	5	w:nous			clear-unmatched
4615	4615_L01	6	w:avons			clear-unmatched
4615	4615_L01	7	121			null
4615	4615_L01	8	132			null
4615	4615_L01	9	31	t	t	match
4615	4615_L01	10	22	r	r	match
4615	4615_L01	11	61	a	a	match
4615				i		plain-only
4615	4615_L01	12	71	c	c	match
4615	4615_L01	13	32	t	t	match
4615	4615_L01	14	81	e	e	match
4615	4615_L01	15	121			null
4615	4615_L02	1	61	a	a	match
4615	4615_L02	2	36	u	u	match
4615	4615_L02	3	92	e	g	conflict
4615	4615_L02	4	72	c	c	match
4615				q		plain-only
4615	4615_L02	5	1	n	n	match
4615	4615_L02	6	6	o	o	match
4615	4615_L02	7	37		u	null
4615	4615_L02	8	26	z	s	conflict
4615	4615_L02	9	337	reystres		word
4615	4615_L02	10	121			null
4615	4615_L02	11	141			null
4615	4615_L02	12	116	m	m	match
4615	4615_L02	13	62	a	a	match
4615	4615_L02	14	101	i	i	match
4615	4615_L02	15	27	s	s	match
4615	4615_L02	16	103	i	i	match
4615	4615_L02	17	93	e	g	conflict
4615	4615_L02	18	38	u	u	match
4615	4615_L02	19	7	o	o	match
4615				u		plain-only
4615				s		plain-only
4615				d		plain-only
4615	4615_L02	20	51	i	y	conflict
4615	4615_L02	21	53	z	y	conflict
