# Generated by tools/decode_key.py --config decode_wv2.json from ciphertext_5810.tsv + key.tsv (W1, 24 Sept 2026); do not edit.
# WV2 letter 5810 (6 Jan 1574), two blind Sonnet passes reconciled by wv2/build.py; key R18's (4613/4615). tokens 3096: H 0, C 0, S 0, M 2771, I 103, U 222
05810_p1_L09 | {autre}{part}{comme}··letemps
05810_p6_L25 | {que}{vous}{faictes}{sans}{cesse}{mais}{pourtant}{que}{plusieurs}·
05810_p6_L26 | faidtouuerture·{et}{lesquelz}{jan}{trouve}
05810_p6_L27 | longueuretquelatardiuide
05810_p6_L28 | delexecution·oousapporte
05810_p6_L29 | ·{des}{domaiges}{et}{inconveniens}{irreparables}{dont}{pourrez}{facillement}
05810_p6_L30 | {considerer}{combien}·ladiligenceen
05810_p6_L31 | queungbonsecoursnous··
05810_p6_L32 | tireroii{maintenant}{auecq}{peu}{de}{peyne}·hors
05810_p6_L33 | ·ennemiestantdescouragees
05810_p6_L34 | desuniesetespbrsesde·
05810_p7_L01 | ·t·uscostez·{qui}{me}{faut}{encores}{fois}
05810_p7_L02 | {vous}{prier}{que}[uingt]·incontinentceste
05810_p7_L03 | ueue{te}{puisse}{avoir}··absolute·
05810_p7_L04 | responsedeuofsetplus
05810_p7_L05 | tqstpardeuxoutrois·
05810_p7_L06 | diuerssesuoies··
05810_p7_L12 | {les}···
05810_p7_L13 | puisqueienyaytrouue·
05810_p7_L14 | aucuneresnlutiondeunz·
05810_p7_L15 | affaires·bienquesuis
05810_p7_L16 | esteaisedeueoirquela
05810_p7_L17 | ·confederationpardela·
05810_p7_L18 | quescauezl{est}{en}{bons}{termes}{et}{que}···
05810_p7_L19 | {sembler}{proceder}{auecq}{toute}{sincerite}{et}{toutesfois}{se}{sera}{bon}{de}{prendre}{toujours}
05810_p7_L20 | {esgard}{a}{ses}{actions}·etquebientostil
05810_p7_L21 | faceapparoistre·quelque
05810_p7_L22 | boneffect·et·{tel}{qui}{nous}{seut}{dassurance}
05810_p7_L23 | {jay}{aussi}{bon}{desir}{dentendre}{au}{bran}leqassaige
05810_p7_L24 | ddroydepoloingne·{et}{jusques}{a}{ou}{mon}
05810_p7_L25 | {frere}{le}{conte}{louis}·lauraconduict
05810_p7_L26 | {dont}{il}{y}{a}{grand}{bruit}{pardeça}
