line	col	A	B	score_A	score_B	decision	note
p1_L10	1	-	13			M	gap: passes disagree on segmentation, needs image
p1_L10	2	-	2			M	gap: passes disagree on segmentation, needs image
p1_L10	3	-	84			M	gap: passes disagree on segmentation, needs image
p1_L10	4	-	82			M	gap: passes disagree on segmentation, needs image
p1_L10	5	-	22			M	gap: passes disagree on segmentation, needs image
p1_L10	6	192	61	-3.491	-3.428	M	margin 0.35
p1_L10	7	28	39	-3.403	-3.342	M	margin 0.35
p1_L10	8	9	67	-3.384	-3.375	M	margin 0.35
p1_L10	11	41	-			M	gap: passes disagree on segmentation, needs image
p1_L10	12	13	-			M	gap: passes disagree on segmentation, needs image
p1_L10	13	77	60	-3.353	-3.330	M	margin 0.35
p1_L10	15	4	-			M	gap: passes disagree on segmentation, needs image
p1_L10	16	34	-			M	gap: passes disagree on segmentation, needs image
p1_L10	17	67	39	-3.381	-3.384	M	margin 0.35
p1_L10	18	13	26	-3.355	-3.370	M	margin 0.35
p1_L10	19	68	130	-3.352	-3.352	M	margin 0.35
p1_L10	20	72	128	-3.403	-3.314	M	margin 0.35
p1_L10	21	83	136	-3.452	-3.218	M	margin 0.35
p1_L10	22	31	46	-3.467	-3.406	M	margin 0.35
p1_L10	23	26	52	-3.419	-3.397	M	margin 0.35
p1_L10	24	72	28	-3.270	-3.190	M	margin 0.35
p1_L10	25	4	84	-3.273	-3.456	M	margin 0.35
p1_L10	26	34	112	-3.014	-3.002	M	margin 0.35
p1_L10	27	81	42	-3.051	-3.432	A	settled
p1_L10	28	88	27	-2.893	-3.252	A	settled
p1_L11	1	-	4			M	gap: passes disagree on segmentation, needs image
p1_L11	2	13	40	-3.390	-3.371	M	margin 0.35
p1_L11	3	2	27	-3.377	-3.385	M	margin 0.35
p1_L11	4	68	9	-3.336	-3.437	M	margin 0.35
p1_L11	5	82	4	-3.482	-3.400	M	margin 0.35
p1_L11	6	22	85	-3.458	-3.050	B	settled
p1_L11	7	61	16	-3.247	-3.416	M	margin 0.35
p1_L11	8	39	101	-3.252	-3.267	M	margin 0.35
p1_L11	9	67	114	-3.354	-3.314	M	margin 0.35
p1_L11	10	4	43	-3.377	-3.378	M	margin 0.35
p1_L11	12	60	-			M	gap: passes disagree on segmentation, needs image
p1_L11	13	84	-			M	gap: passes disagree on segmentation, needs image
p1_L11	14	39	79	-3.408	-3.492	M	margin 0.35
p1_L11	15	26	40	-3.339	-3.339	M	margin 0.35
p1_L11	16	150	29	-3.233	-3.283	M	margin 0.35
p1_L11	17	128	9	-3.156	-3.203	M	margin 0.35
p1_L11	18	136	28	-3.156	-3.339	M	margin 0.35
p1_L11	19	46	77	-3.195	-3.155	M	margin 0.35
p1_L11	20	52	59	-3.226	-3.224	M	margin 0.35
p1_L11	21	28	11	-3.342	-3.285	M	margin 0.35
p1_L11	22	84	202	-3.215	-3.266	M	margin 0.35
p1_L11	23	112	12	-3.345	-3.429	M	margin 0.35
p1_L11	24	42	201	-3.370	-3.278	M	margin 0.35
p1_L11	25	27	12	-3.602	-3.602	M	margin 0.35
p1_L12	1	54	-			M	gap: passes disagree on segmentation, needs image
p1_L12	2	46	279	-3.352	-3.367	M	margin 0.35
p1_L12	3	27	=mesme	-3.366	-3.202	M	margin 0.35
p1_L12	4	9	=chose	-3.307	-3.131	M	margin 0.35
p1_L12	5	4	=quelle	-3.292	-2.935	B	settled
p1_L12	6	83	=est	-2.801	-2.597	M	margin 0.35
p1_L12	7	16	=pu	-2.932	-3.078	M	margin 0.35
p1_L12	8	101	=bien	-3.025	-2.825	M	margin 0.35
p1_L12	9	114	=bonjour	-3.362	-3.206	M	margin 0.35
p1_L12	10	43	=convertir	-3.332	-3.302	M	margin 0.35
p1_L12	11	12	=bon	-3.436	-3.416	M	margin 0.35
p1_L12	12	79	=frans	-3.290	-3.129	M	margin 0.35
p1_L12	13	40	59	-3.363	-3.370	M	margin 0.35
p1_L12	14	29	37	-3.366	-3.336	M	margin 0.35
p1_L12	15	9	25	-3.388	-3.401	M	margin 0.35
p1_L12	16	28	76	-3.421	-3.374	M	margin 0.35
p1_L12	17	77	2	-3.403	-3.273	M	margin 0.35
p1_L12	18	59	31	-3.394	-3.399	M	margin 0.35
p1_L12	19	11	142	-3.248	-3.339	M	margin 0.35
p1_L12	20	202	51	-3.214	-3.357	M	margin 0.35
p1_L12	21	12	52	-3.221	-3.353	M	margin 0.35
p1_L12	22	201	61	-3.344	-3.427	M	margin 0.35
p1_L12	23	12	2	-3.344	-3.344	M	margin 0.35
p1_L13	1	-	33			M	gap: passes disagree on segmentation, needs image
p1_L13	2	-	62			M	gap: passes disagree on segmentation, needs image
p1_L13	3	-	42			M	gap: passes disagree on segmentation, needs image
p1_L13	4	-	88			M	gap: passes disagree on segmentation, needs image
p1_L13	5	279	62	-3.132	-3.143	M	margin 0.35
p1_L13	6	=mesme	13	-2.841	-2.872	M	margin 0.35
p1_L13	7	=chose	82	-2.825	-2.982	M	margin 0.35
p1_L13	8	=qu'il	40	-2.918	-3.149	M	margin 0.35
p1_L13	9	=fut	62	-3.058	-3.081	M	margin 0.35
p1_L13	10	=buy	7	-3.029	-3.000	M	margin 0.35
p1_L13	11	=boiseur	41	-3.115	-3.181	M	margin 0.35
p1_L13	12	=comme	54	-3.080	-3.289	M	margin 0.35
p1_L13	13	59	39	-3.051	-3.051	M	margin 0.35
p1_L13	14	37	29	-3.217	-3.190	M	margin 0.35
p1_L13	15	25	62	-3.515	-3.197	M	margin 0.35
p1_L13	16	76	38	-3.411	-3.400	M	margin 0.35
p1_L13	17	2	26	-3.233	-3.292	M	margin 0.35
p1_L13	18	31	73	-3.236	-3.294	M	margin 0.35
p1_L13	19	142	27	-3.380	-3.392	M	margin 0.35
p1_L13	20	51	33	-3.200	-3.195	M	margin 0.35
p1_L13	21	52	142	-3.060	-3.157	M	margin 0.35
p1_L13	22	61	121	-3.060	-3.353	M	margin 0.35
p1_L13	23	2	135	-3.157	-3.344	M	margin 0.35
p1_L14	1	33	62	-3.426	-3.400	M	margin 0.35
p1_L14	2	42	54	-3.551	-3.589	M	margin 0.35
p1_L14	3	88	4	-3.548	-3.532	M	margin 0.35
p1_L14	4	62	27	-3.511	-3.436	M	margin 0.35
p1_L14	5	13	48	-3.448	-3.436	M	margin 0.35
p1_L14	6	82	26	-3.403	-3.363	M	margin 0.35
p1_L14	7	40	57	-3.436	-3.444	M	margin 0.35
p1_L14	8	62	101	-3.381	-3.351	M	margin 0.35
p1_L14	9	7	52	-3.485	-3.492	M	margin 0.35
p1_L14	10	41	12	-3.447	-3.351	M	margin 0.35
p1_L14	12	-	40			M	gap: passes disagree on segmentation, needs image
p1_L14	13	-	27			M	gap: passes disagree on segmentation, needs image
p1_L14	14	-	67			M	gap: passes disagree on segmentation, needs image
p1_L14	15	39	2	-3.359	-3.388	M	margin 0.35
p1_L14	16	29	78	-3.321	-3.396	M	margin 0.35
p1_L14	17	62	67	-3.321	-3.359	M	margin 0.35
p1_L14	18	38	4	-3.321	-3.288	M	margin 0.35
p1_L14	19	26	6	-3.359	-3.340	M	margin 0.35
p1_L14	20	73	105	-3.293	-3.242	M	margin 0.35
p1_L14	22	-	31			M	gap: passes disagree on segmentation, needs image
p1_L14	23	33	67	-3.373	-3.373	M	margin 0.35
p1_L14	24	142	29	-3.344	-3.346	M	margin 0.35
p1_L14	25	121	12	-3.367	-3.344	M	margin 0.35
p1_L14	26	135	7	-inf	-3.367	B	settled
p1_L15	1	62	-			M	gap: passes disagree on segmentation, needs image
p1_L15	2	54	-			M	gap: passes disagree on segmentation, needs image
p1_L15	3	4	-			M	gap: passes disagree on segmentation, needs image
p1_L15	4	27	-			M	gap: passes disagree on segmentation, needs image
p1_L15	5	48	41	-3.370	-3.448	M	margin 0.35
p1_L15	6	26	47	-3.347	-3.336	M	margin 0.35
p1_L15	7	57	39	-3.359	-3.359	M	margin 0.35
p1_L15	8	101	72	-3.355	-3.348	M	margin 0.35
p1_L15	9	52	81	-3.363	-2.994	B	settled
p1_L15	10	12	31	-3.144	-3.309	M	margin 0.35
p1_L15	12	40	-			M	gap: passes disagree on segmentation, needs image
p1_L15	13	27	-			M	gap: passes disagree on segmentation, needs image
p1_L15	14	67	-			M	gap: passes disagree on segmentation, needs image
p1_L15	15	2	-			M	gap: passes disagree on segmentation, needs image
p1_L15	16	78	39	-3.338	-3.322	M	margin 0.35
p1_L15	17	61	29	-3.353	-3.285	M	margin 0.35
p1_L15	18	4	74	-3.337	-3.323	M	margin 0.35
p1_L15	19	6	116	-3.395	-3.381	M	margin 0.35
p1_L15	20	105	47	-3.304	-3.270	M	margin 0.35
p1_L15	21	27	26	-3.323	-3.323	M	margin 0.35
p1_L15	22	31	148	-3.308	-3.376	M	margin 0.35
p1_L15	23	67	81	-3.300	-3.262	M	margin 0.35
p1_L15	24	29	120	-3.329	-3.355	M	margin 0.35
p1_L15	25	12	56	-3.314	-3.352	M	margin 0.35
p1_L15	26	7	61	-3.424	-3.424	M	margin 0.35
p1_L16	1	30	-			M	gap: passes disagree on segmentation, needs image
p1_L16	2	102	-			M	gap: passes disagree on segmentation, needs image
p1_L16	3	29	-			M	gap: passes disagree on segmentation, needs image
p1_L16	4	12	60	-3.260	-3.363	M	margin 0.35
p1_L16	6	6	-			M	gap: passes disagree on segmentation, needs image
p1_L16	7	41	-			M	gap: passes disagree on segmentation, needs image
p1_L16	8	47	-			M	gap: passes disagree on segmentation, needs image
p1_L16	9	39	26	-3.348	-3.359	M	margin 0.35
p1_L16	10	72	74	-3.407	-3.407	M	margin 0.35
p1_L16	11	81	26	-3.456	-3.301	M	margin 0.35
p1_L16	12	31	27	-3.452	-3.436	M	margin 0.35
p1_L16	13	54	77	-3.393	-3.414	M	margin 0.35
p1_L16	14	39	62	-3.355	-3.150	M	margin 0.35
p1_L16	15	29	37	-3.359	-3.348	M	margin 0.35
p1_L16	16	74	46	-3.359	-3.347	M	margin 0.35
p1_L16	17	116	12	-3.348	-3.355	M	margin 0.35
p1_L16	18	47	16	-3.337	-3.365	M	margin 0.35
p1_L16	19	26	111	-3.258	-3.096	M	margin 0.35
p1_L16	20	148	37	-3.487	-3.403	M	margin 0.35
p1_L16	21	81	49	-3.520	-3.337	M	margin 0.35
p1_L16	22	120	4	-3.385	-3.326	M	margin 0.35
p1_L16	23	56	33	-3.426	-3.216	M	margin 0.35
p1_L16	24	61	=cet	-3.316	-3.326	M	margin 0.35
p1_L16	25	60	=d'aultre	-3.396	-2.873	B	settled
p1_L16	26	12	=plaindre	-2.896	-2.727	M	margin 0.35
p1_L16	27	26	=ou	-2.978	-2.936	M	margin 0.35
p1_L16	28	74	=nous	-3.374	-2.503	B	settled
p1_L16	29	26	=faisons	-2.521	-2.636	M	margin 0.35
p1_L16	30	27	=amasser	-2.923	-3.032	M	margin 0.35
p1_L16	31	77	=le	-3.465	-2.948	B	settled
p1_L16	32	62	=plu	-2.913	-3.081	M	margin 0.35
p1_L16	33	37	=de	-3.151	-2.940	M	margin 0.35
p1_L16	34	46	=non	-3.339	-3.087	M	margin 0.35
p1_L17	1	-	=pouvons			M	gap: passes disagree on segmentation, needs image
p1_L17	2	16	=et	-3.151	-2.857	M	margin 0.35
p1_L17	3	111	=la	-3.175	-2.987	M	margin 0.35
p1_L17	4	37	=distribuer	-3.526	-3.205	M	margin 0.35
p1_L17	5	49	=aux	-3.232	-3.280	M	margin 0.35
p1_L17	6	4	=gens	-3.212	-2.979	M	margin 0.35
p1_L17	7	33	=de	-2.714	-2.558	M	margin 0.35
p1_L17	8	=et	=guerre	-2.743	-2.905	M	margin 0.35
p1_L17	9	=d'aultres	81	-2.588	-2.728	M	margin 0.35
p1_L17	10	=plusieurs	2	-2.409	-2.215	M	margin 0.35
p1_L17	11	=que	56	-2.497	-2.715	M	margin 0.35
p1_L17	12	=nous	51	-2.638	-2.877	M	margin 0.35
p1_L17	13	=faisons	62	-2.770	-2.655	M	margin 0.35
p1_L17	14	=amasser	3	-2.946	-2.724	M	margin 0.35
p1_L17	15	=le	37	-3.015	-2.934	M	margin 0.35
p1_L17	16	=plus	62	-3.003	-3.156	M	margin 0.35
p1_L17	17	=de	54	-2.795	-3.077	M	margin 0.35
p1_L18	1	=pouvons	-			M	gap: passes disagree on segmentation, needs image
p1_L18	2	=et	49	-2.780	-3.032	M	margin 0.35
p1_L18	3	=la	2	-2.890	-2.997	M	margin 0.35
p1_L18	4	=distribuer	91	-3.053	-3.003	M	margin 0.35
p1_L18	5	=aux	4	-3.043	-2.968	M	margin 0.35
p1_L18	6	=gens	4	-3.051	-3.232	M	margin 0.35
p1_L18	7	=de	49	-2.870	-3.102	M	margin 0.35
p1_L18	8	=guerre	101	-2.956	-2.556	B	settled
p1_L18	9	81	82	-3.041	-3.041	M	margin 0.35
p1_L18	11	-	12			M	gap: passes disagree on segmentation, needs image
p1_L18	12	-	26			M	gap: passes disagree on segmentation, needs image
p1_L18	13	-	105			M	gap: passes disagree on segmentation, needs image
p1_L18	14	-	67			M	gap: passes disagree on segmentation, needs image
p1_L18	15	-	150			M	gap: passes disagree on segmentation, needs image
p1_L18	16	-	=Et			M	gap: passes disagree on segmentation, needs image
p1_L18	17	56	=esperons	-3.249	-2.732	B	settled
p1_L18	18	51	=que	-2.749	-2.509	M	margin 0.35
p1_L18	19	62	=plaisir	-2.775	-2.738	M	margin 0.35
p1_L18	20	3	=nous	-3.250	-2.405	B	settled
p1_L18	21	37	=ferons	-2.287	-2.483	M	margin 0.35
p1_L19	1	49	=de	-3.372	-3.200	M	margin 0.35
p1_L19	2	2	=mai	-3.361	-3.219	M	margin 0.35
p1_L19	3	91	61	-3.373	-3.363	M	margin 0.35
p1_L19	4	4	36	-3.384	-3.362	M	margin 0.35
p1_L19	5	4	47	-3.384	-3.354	M	margin 0.35
p1_L19	6	49	59	-3.223	-3.223	M	margin 0.35
p1_L19	7	101	22	-3.109	-3.492	A	settled
p1_L19	8	82	77	-3.101	-3.373	M	margin 0.35
p1_L19	9	2	26	-3.266	-3.255	M	margin 0.35
p1_L19	11	26	-			M	gap: passes disagree on segmentation, needs image
p1_L19	12	105	276	-3.296	-3.367	M	margin 0.35
p1_L19	13	67	59	-3.288	-3.283	M	margin 0.35
p1_L19	14	150	37	-2.769	-2.833	M	margin 0.35
p1_L19	15	=Et	25	-2.475	-2.621	M	margin 0.35
p1_L19	16	=esperons	12	-2.373	-2.758	A	settled
p1_L19	17	=que	45	-2.464	-2.739	M	margin 0.35
p1_L19	18	=la	27	-2.374	-2.584	M	margin 0.35
p1_L19	19	=place	62	-2.643	-2.422	M	margin 0.35
p1_L20	1	-	9			M	gap: passes disagree on segmentation, needs image
p1_L20	2	=d	148	-3.030	-2.780	M	margin 0.35
p1_L20	3	=mais	47	-3.060	-3.393	M	margin 0.35
p1_L20	4	61	3	-3.051	-2.931	M	margin 0.35
p1_L20	5	36	12	-3.136	-3.145	M	margin 0.35
p1_L20	6	47	29	-3.336	-3.347	M	margin 0.35
p1_L20	7	59	=tout	-3.500	-3.129	B	settled
p1_L20	8	22	=a	-3.146	-2.742	B	settled
p1_L20	9	77	=passé	-2.803	-2.935	M	margin 0.35
p1_L20	10	26	=du	-3.125	-3.052	M	margin 0.35
p1_L20	11	12	=cras	-3.323	-3.328	M	margin 0.35
p1_L20	12	276	=la	-3.398	-3.232	M	margin 0.35
p1_L20	13	59	=mesme	-3.337	-3.170	M	margin 0.35
p1_L20	14	37	9	-3.538	-3.538	M	margin 0.35
p1_L20	15	25	39	-3.507	-3.359	M	margin 0.35
p1_L20	16	12	54	-3.611	-3.603	M	margin 0.35
p1_L20	17	45	40	-3.404	-3.363	M	margin 0.35
p1_L20	19	-	61			M	gap: passes disagree on segmentation, needs image
p1_L20	20	-	84			M	gap: passes disagree on segmentation, needs image
p1_L20	21	-	4			M	gap: passes disagree on segmentation, needs image
p1_L21	1	-	81			M	gap: passes disagree on segmentation, needs image
p1_L21	2	-	2			M	gap: passes disagree on segmentation, needs image
p1_L21	3	9	72	-3.339	-3.276	M	margin 0.35
p1_L21	4	118	117	-3.347	-3.347	M	margin 0.35
p1_L21	5	47	66	-3.366	-3.366	M	margin 0.35
p1_L21	6	3	42	-3.227	-3.228	M	margin 0.35
p1_L21	7	12	130	-3.120	-3.023	M	margin 0.35
p1_L21	8	25	138	-2.942	-2.892	M	margin 0.35
p1_L21	9	=tout	8	-2.919	-3.314	A	settled
p1_L21	10	=a	4	-2.710	-2.780	M	margin 0.35
p1_L21	11	=passe	26	-2.598	-2.554	M	margin 0.35
p1_L21	12	=de	48	-2.815	-3.157	M	margin 0.35
p1_L21	13	=deux	112	-2.854	-3.036	M	margin 0.35
p1_L21	14	=Colmars	339	-3.042	-2.795	M	margin 0.35
p1_L21	15	9	81	-3.196	-3.201	M	margin 0.35
p1_L21	16	39	33	-3.293	-3.295	M	margin 0.35
p1_L21	17	54	12	-3.344	-3.359	M	margin 0.35
p1_L21	18	40	36	-3.355	-3.355	M	margin 0.35
p1_L21	19	27	46	-3.321	-3.381	M	margin 0.35
p1_L21	20	61	48	-3.317	-3.352	M	margin 0.35
p1_L21	21	34	124	-3.291	-3.344	M	margin 0.35
p1_L22	1	81	=s'il	-3.324	-3.083	M	margin 0.35
p1_L22	2	2	=a	-3.260	-3.150	M	margin 0.35
p1_L22	3	72	=mon	-3.276	-3.284	M	margin 0.35
p1_L22	4	117	=avis	-3.285	-3.283	M	margin 0.35
p1_L22	5	66	82	-3.337	-3.256	M	margin 0.35
p1_L22	6	42	26	-3.208	-3.208	M	margin 0.35
p1_L22	7	130	76	-3.525	-3.490	M	margin 0.35
p1_L22	8	138	2	-3.346	-3.361	M	margin 0.35
p1_L22	9	8	37	-3.372	-3.386	M	margin 0.35
p1_L22	10	4	35	-3.412	-3.385	M	margin 0.35
p1_L22	11	16	69	-3.394	-3.354	M	margin 0.35
p1_L22	12	48	12	-3.035	-3.037	M	margin 0.35
p1_L22	13	112	57	-2.937	-2.888	M	margin 0.35
p1_L22	14	339	36	-2.980	-3.585	A	settled
p1_L22	15	81	129	-2.953	-2.888	M	margin 0.35
p1_L22	16	33	137	-2.993	-2.872	M	margin 0.35
p1_L22	17	12	59	-3.414	-3.385	M	margin 0.35
p1_L22	19	-	25			M	gap: passes disagree on segmentation, needs image
p1_L22	20	-	81			M	gap: passes disagree on segmentation, needs image
p1_L22	21	-	2			M	gap: passes disagree on segmentation, needs image
p1_L22	22	46	83	-3.326	-3.066	M	margin 0.35
p1_L22	23	43	67	-3.339	-3.339	M	margin 0.35
p1_L22	24	134	25	-3.344	-3.525	M	margin 0.35
p1_L23	1	=a	-			M	gap: passes disagree on segmentation, needs image
p1_L23	2	=un	-			M	gap: passes disagree on segmentation, needs image
p1_L23	3	=mary	-			M	gap: passes disagree on segmentation, needs image
p1_L23	4	=advis	-			M	gap: passes disagree on segmentation, needs image
p1_L23	5	82	-			M	gap: passes disagree on segmentation, needs image
p1_L23	6	26	-			M	gap: passes disagree on segmentation, needs image
p1_L23	7	76	-			M	gap: passes disagree on segmentation, needs image
p1_L23	8	2	-			M	gap: passes disagree on segmentation, needs image
p1_L23	9	33	-			M	gap: passes disagree on segmentation, needs image
p1_L23	10	35	-			M	gap: passes disagree on segmentation, needs image
p1_L23	11	69	-			M	gap: passes disagree on segmentation, needs image
p1_L23	12	12	-			M	gap: passes disagree on segmentation, needs image
p1_L23	13	57	-			M	gap: passes disagree on segmentation, needs image
p1_L23	14	36	-			M	gap: passes disagree on segmentation, needs image
p1_L23	15	129	-			M	gap: passes disagree on segmentation, needs image
p1_L23	16	137	-			M	gap: passes disagree on segmentation, needs image
p1_L23	17	59	-			M	gap: passes disagree on segmentation, needs image
p1_L23	18	38	-			M	gap: passes disagree on segmentation, needs image
p1_L23	19	25	-			M	gap: passes disagree on segmentation, needs image
p1_L23	20	81	-			M	gap: passes disagree on segmentation, needs image
p1_L23	21	2	-			M	gap: passes disagree on segmentation, needs image
p1_L23	22	83	-			M	gap: passes disagree on segmentation, needs image
p1_L23	23	67	-			M	gap: passes disagree on segmentation, needs image
p1_L23	24	29	-			M	gap: passes disagree on segmentation, needs image
p1_L23	48	31	29	-3.339	-3.339	M	margin 0.35
p1_L24	14	40	80	-3.365	-3.373	M	margin 0.35
p1_L24	40	26	10	-3.312	-3.370	M	margin 0.35
p1_L25	6	115	111	-2.912	-2.912	M	margin 0.35
p1_L25	14	=bon	=bonne	-3.143	-3.106	M	margin 0.35
p1_L25	15	=remboursse	=remboursée	-3.037	-3.048	M	margin 0.35
p1_L25	17	-	=la			M	gap: passes disagree on segmentation, needs image
p1_L25	18	-	=quenon			M	gap: passes disagree on segmentation, needs image
p1_L25	19	-	=d'ceur			M	gap: passes disagree on segmentation, needs image
p1_L26	3	=tel	-			M	gap: passes disagree on segmentation, needs image
p1_L26	4	=cas	=sçavoir	-3.091	-3.034	M	margin 0.35
p1_L26	6	=un	=au	-2.799	-2.729	M	margin 0.35
p1_L26	7	=gens	=gouverneur	-2.961	-3.052	M	margin 0.35
p1_L26	10	-	=Guo			M	gap: passes disagree on segmentation, needs image
p1_L26	11	-	=la			M	gap: passes disagree on segmentation, needs image
p1_L26	12	-	=voye			M	gap: passes disagree on segmentation, needs image
p1_L26	13	-	=ung			M	gap: passes disagree on segmentation, needs image
p1_L27	19	-	52			M	gap: passes disagree on segmentation, needs image
p1_L27	20	-	68			M	gap: passes disagree on segmentation, needs image
p1_L27	21	-	77			M	gap: passes disagree on segmentation, needs image
p1_L28	6	211	311	-3.272	-3.272	M	margin 0.35
