code	desc	count	pages	exemplars	marks_seen
MISC-30	mixed (staff/flag/A/tally), n=13 -- not one shape	13	c1,c2a,c2b	c1_05_006,c2a_03_010,c1_04_019,c2b_04_027,c2a_03_014,c2a_15_012	M-LOOP-SM:1 M-DOT:1 M-RING:1
MISC-31	mixed swirl/hook variants ("ox" pairs, spiral), n=22 -- not one shape	22	c1,c2a,c2b,c3	c2a_05_008,c2a_08_025,c2b_04_006,c2a_13_023,c2a_07_010,c2a_10_019	M-DASH-H:4 M-RING:1
MISC-32	mixed solid blocks (square/triangle/arrow), n=11 -- not one shape	11	c2a,c2b,c3	c2a_09_026,c3_01_034,c2b_04_002,c2a_09_035,c2b_09_004,c2b_02_025	M-DOT:1
MISC-33	mixed hook/circle-tailed shapes, n=18 -- not one shape	18	c1,c2a,c2b,c3	c2a_16_001,c2a_10_032,c2a_02_007,c2a_03_012,c3_01_007,c2a_01_017	M-SLASH-SM:1 M-TILDE:1
MISC-35	mixed thin marks (line/small figure/X), n=6 -- not one shape	6	c1,c2a,c3	c1_03_017,c2a_13_039,c2a_07_017,c2a_03_026,c3_01_018,c3_03_031	M-TICK-V:2 M-RING:1 M-DOT:1
MISC-36	mixed complex squiggles, n=14 -- not one shape	14	c1,c2a,c2b,c3	c2a_13_034,c2a_12_016,c2a_02_026,c3_02_014,c2a_17_011,c2b_05_015	
MISC-37	mixed complex squiggles (bird-like/hook), n=12 -- not one shape	12	c2a,c2b,c3	c2a_16_021,c3_01_002,c2a_13_014,c2a_03_008,c2b_03_015,c2a_11_029	M-DOT-FLAG:1 M-DOT:1 M-TILDE:1
MISC-40	mixed small glyphs (bird-track/staff/circle-crossbar), n=9 -- not one shape	9	c2a,c2b,c3	c2b_03_004,c3_02_015,c2b_02_006,c3_01_005,c2a_09_024,c2a_17_015	M-TILDE:1 M-RING:1
MISC-41	mixed ornate scissor-like shapes, n=14 -- not one shape	14	c2a,c2b,c3	c2a_07_028,c2a_11_006,c2a_12_006,c3_03_030,c2b_02_004,c2a_10_026	M-DOT-FLAG:1 M-RING:1
MISC-43	mixed ornate (V-loop/box/staff/hook), n=12 -- not one shape	12	c1,c2a,c2b,c3	c2a_03_002,c1_06_010,c2a_15_002,c2a_13_038,c2a_09_009,c2a_17_012	M-DASH-H:1
MISC-46	mixed pct-ish plus rare letters (A, T), n=14 -- not one shape	14	c1,c2a,c2b,c3	c3_01_008,c3_03_010,c2a_12_034,c2a_15_035,c3_02_007,c1_03_024	M-DOT:1 M-TICK-V:1 MISC-M12:1
MISC-50	small mixed marks (short vertical + dot), n=5 -- possibly attribute marks misclassified as signs	5	c2a,c2b	c2a_08_005,c2a_12_025,c2a_12_024,c2b_06_014,c2b_02_026	
MISC-54	mixed ornate loop-with-descender (bird-head-like), n=10 -- not one shape	10	c2a,c3	c3_02_003,c2a_15_013,c3_03_016,c2a_16_014,c2a_11_026,c3_01_006	M-DOT-FLAG:1 M-DOT:1
MISC-55	mixed solid filled rounded/blocky shapes, n=18 -- several distinct solid pictograms, not one shape	18	c1,c2a,c2b,c3	c2a_04_021,c2a_16_019,c2a_09_015,c2a_16_028,c2a_13_006,c2a_02_024	M-DASH-H:1
MISC-60	rare pictograms (animal/bird silhouettes), n=6 -- likely several distinct pictograms, not one sign	6	c1,c2a,c2b	c1_01_017,c2b_08_012,c2a_12_018,c2a_03_001,c2a_17_029,c2b_07_015	M-TICK-V:2 MISC-M12:2 M-DOT-FLAG:1 M-RING:1
MISC-64	mixed boxy pictograms (bucket/boxed-M/hook/U/star), n=7 -- not one shape	7	c2a,c2b,c3	c2a_02_027,c3_02_033,c2a_12_035,c2a_09_003,c2b_09_012,c2a_10_016	M-DOT:1 M-TICK-V:1 M-RING:1
MISC-67	mixed ornate loop pictograms (M-shape/asterisk/spiral), n=17 -- not one shape	17	c1,c2a,c3	c3_02_013,c2a_07_002,c2a_08_022,c1_06_004,c2a_01_008,c2a_14_004	
MISC-71	mixed pictograms (crown-like/winged-T/moon+circle), n=7 -- not one shape	7	c1,c2a,c2b,c3	c2a_08_020,c1_03_016,c2b_09_007,c1_01_005,c3_03_012,c2a_13_007	M-DOT:1 MISC-M12:1
MISC-74	mixed small hook/check shapes, n=5 -- not one shape	5	c2a,c3	c2a_05_028,c2a_09_030,c2a_07_016,c2a_05_025,c3_02_022	M-DASH-H:1 MISC-M12:1 M-TILDE:1 M-RING:1
MISC-75	bold X/dagger-like variants, ambiguous between X and CROSS-T families	9	c2a,c2b,c3	c2a_06_009,c2a_06_016,c2a_09_031,c2a_01_029,c2b_02_001,c3_02_010	M-DASH-H:5 M-DOT:2 M-LOOP-SM:1
MISC-76	mixed ornate (H-ladder/bottle/pct/spiral), n=11 -- not one shape	11	c1,c2a,c2b,c3	c1_06_011,c2b_05_002,c2a_09_007,c2a_02_009,c2b_05_001,c2a_08_012	M-DASH-H:1
MISC-78	mixed bird-head/hook shapes, n=3, small sample	3	c1,c2b	c2b_03_011,c2b_08_006,c1_01_012	
MISC-79	mixed small squiggle/hook, n=5, small sample	5	c1,c2a,c2b,c3	c2a_06_027,c1_03_023,c1_05_012,c2b_07_026,c3_01_020	M-DASH-H:1
MISC-80	bold X/star with cross-hatching, uncertain X-family variant	6	c1,c2a,c2b,c3	c3_02_006,c2b_03_029,c2a_17_008,c1_03_008,c2a_08_009,c2a_14_021	M-SLASH-SM:1 M-RING:1
MISC-81	mixed small (arrow-circle/star/X), n=3, small sample	3	c2a,c2b,c3	c2b_06_008,c3_02_030,c2a_07_001	
MISC-82	mixed circle/loop varieties (tally/tadpole/teardrop), n=11 -- not one shape	11	c1,c2a,c2b	c2a_07_003,c2a_07_020,c2a_12_029,c2a_03_013,c1_01_009,c2a_13_027	M-RING:2 M-TICK-V:1 M-DOT:1 M-SLASH-SM:1 M-TILDE:1
MISC-83	mixed pictogram (bird/scepter/checkmark), n=5, small sample	5	c1,c2a,c2b	c1_04_009,c2a_02_010,c2a_13_017,c2b_09_014,c2b_07_014	M-RING:1
MISC-87	mixed ornate (staff/loop/pct/Venus-like), n=10 -- not one shape	10	c1,c2a,c2b	c2b_06_003,c2b_01_015,c1_02_006,c2a_02_002,c2a_06_024,c1_04_016	M-DOT:1 MISC-M19:1 MISC-M12:1
NOTE	loop with descending tail (musical-note/letter-b-like)	8	c1,c2a,c3	c2a_10_012,c1_03_025,c2a_15_003,c2a_17_004,c2a_12_023,c2a_15_028	
PCT	double-loop percent-like sign	50	c1,c2a,c2b,c3	c2b_06_020,c3_03_008,c2a_14_001,c2a_16_009,c2a_09_040,c1_02_018	M-TICK-V:2 M-TILDE:1
PHI	phi-like: loop crossed by a vertical stroke	20	c1,c2a,c2b,c3	c2b_06_022,c3_02_020,c2b_01_021,c3_02_009,c2b_01_006,c2a_09_021	
RHO	loop with descending tail (rho/P-like)	7	c1,c2a	c2a_13_020,c2a_01_030,c1_04_007,c2a_12_017,c2a_05_009,c2a_14_003	
SUN	sunburst pictogram (majority of cluster); a few rare pictograms (anchor/runner/wheel) also fell in here, not split out -- see exemplars	14	c1,c2a,c2b,c3	c3_02_002,c2a_10_009,c1_02_001,c2a_02_011,c2a_13_022,c2b_03_012	M-DOT:1 M-TICK-V:1
TRIDENT	trident/psi-like fork (V with extra prong)	11	c1,c2a,c2b,c3	c3_03_004,c1_01_003,c2b_08_004,c2a_02_008,c1_03_014,c2b_01_029	M-RING:3 M-TILDE:2 M-TICK-V:1 M-DASH-H:1
TRIPOD	triangular/tripod-like shape with legs	12	c1,c2a,c2b,c3	c1_05_005,c3_04_005,c1_02_007,c1_04_022,c2b_01_014,c2a_08_014	M-RING:5 M-DOT-FLAG:2 MISC-M12:1 M-LOOP-SM:1 M-TICK-V:1
V-DOT	V/vee with a dot above	3	c2a	c2a_04_014,c2a_13_013,c2a_01_019	
VEE	V or checkmark stroke	8	c1,c2a,c2b	c2b_04_010,c2b_04_022,c2a_06_026,c2b_03_020,c2b_01_022,c2b_08_007	M-RING:3 M-TICK-V:3 M-SLASH-SM:1
VENUS	loop over a small cross/tail (Venus-symbol-like)	12	c1,c2a,c2b	c2a_03_003,c2a_03_009,c2a_12_002,c2a_13_003,c2a_10_002,c2a_14_006	M-DOT:2 MISC-M12:1 M-RING:1
WAVE	horizontal wave/S-curve stroke	26	c1,c2a,c2b,c3	c2b_05_005,c3_02_031,c1_04_014,c2a_16_031,c2a_14_014,c2b_03_024	M-TILDE:3
X	plain X cross (St Andrew's cross)	152	c1,c2a,c2b,c3	c1_06_009,c2b_04_025,c2b_07_017,c2a_05_033,c3_01_029,c2a_05_026	M-DOT:29 M-TICK-V:19 MISC-M12:11 M-DASH-H:6 M-LOOP-SM:5 M-RING:4 M-TILDE:4 M-DOT-FLAG:1 M-SLASH-SM:1 MISC-M18:1
Y-CURL	Y/chi-like forked stroke with curl	35	c1,c2a,c2b,c3	c2a_01_006,c2a_14_024,c2a_16_029,c2b_07_011,c2a_10_027,c2b_04_001	M-RING:3 M-DOT:2 M-TICK-V:1 M-DASH-H:1
