sid	page	line	pos	sign	family	confidence	source
c1_02_019	c1	2	19	VENUS	VENUS	M	eye-split:MISC-05
c1_02_020	c1	2	20	PICT-FACE	PICT-FACE	M	eye-resplit:CRESCENT
c1_02_021	c1	2	21	O-DASH2	O-DASH2	M	eye-split:MISC-17
c1_03_001	c1	3	1	BAR-THIN	BAR-THIN	M	cluster-map:51
c1_03_002	c1	3	2	X	X	M	cluster-map:26
c1_03_003	c1	3	3	BLOB	BLOB	M	eye-split:MISC-55
c1_03_004	c1	3	4	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c1_03_005	c1	3	5	O-TILDE	O-TILDE	M	eye-resplit:WAVE
c1_03_006	c1	3	6	O-SLASH	O-SLASH	M	eye-split:MISC-00
c1_03_007	c1	3	7	X	X	M	cluster-map:28
c1_03_008	c1	3	8	_	_	L	eye-split:MISC-80
c1_03_009	c1	3	9	C-DOT	C-DOT	M	eye-resplit:GEAR-DOT
c1_03_010	c1	3	10	X	X	M	cluster-map:52
c1_03_011	c1	3	11	CC-DASH	CC-DASH	M	eye-resplit:LOOP-TAIL
c1_03_012	c1	3	12	PCT	PCT	M	cluster-map:57
c1_03_013	c1	3	13	BAR-SOLID	BLOB	M	cluster-map:10
c1_03_014	c1	3	14	TRIDENT	TRIDENT	H	cluster-map:39
c1_03_015	c1	3	15	PCT	PCT	H	cluster-map:66
c1_03_016	c1	3	16	LAMBDA-DASH	LAMBDA-DASH	H	eye-split:MISC-71
c1_03_017	c1	3	17	DOLLAR	DOLLAR	M	eye-split:MISC-35
c1_03_018	c1	3	18	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c1_03_019	c1	3	19	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c1_03_020	c1	3	20	PCT	PCT	H	eye-resplit:TRIPOD
c1_03_021	c1	3	21	DASH-H	DASH-H	H	cluster-map:61
c1_03_022	c1	3	22	ARCH-DASH	ARCH-DASH	M	eye-split:MISC-21
c1_03_023	c1	3	23	PICT-RUNNER	PICT-RUNNER	H	eye-split:MISC-79
c1_03_024	c1	3	24	HASH	HASH	H	eye-split:MISC-46
c1_03_025	c1	3	25	NOTE	NOTE	H	cluster-map:63
c1_03_026	c1	3	26	MULTI	MULTI	L	eye-resplit:PHI
c1_03_027	c1	3	27	BAR-SOLID	BLOB	M	cluster-map:10
c1_03_028	c1	3	28	PCT	PCT	H	cluster-map:9
c1_03_029	c1	3	29	XX-TILDE	XX-TILDE	H	eye-split:MISC-31
c1_04_001	c1	4	1	CC-DOT	CC-DOT	L	eye-split:MISC-67
c1_04_002	c1	4	2	DBL-SLASH	DBL-SLASH	M	eye-split:MISC-06
c1_04_003	c1	4	3	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c1_04_004	c1	4	4	HOOK-L	HOOK-L	M	eye-resplit:CIRC-TAIL
c1_04_005	c1	4	5	O-DASHBELOW	O-DASHBELOW	M	eye-resplit:LOOP-TAIL
c1_04_006	c1	4	6	BAR-THIN	BAR-THIN	M	cluster-map:12
c1_04_007	c1	4	7	LOOP-STEM	LOOP-STEM	H	eye-resplit:RHO
c1_04_008	c1	4	8	VEE	VEE	H	cluster-map:59
c1_04_009	c1	4	9	PICT-TREE	PICT-TREE	H	eye-split:MISC-83
c1_04_010	c1	4	10	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c1_04_011	c1	4	11	DASH-H	DASH-H	H	cluster-map:61
c1_04_012	c1	4	12	O-DASHBELOW	O-DASHBELOW	M	eye-split:MISC-03
c1_04_013	c1	4	13	PCT	PCT	H	cluster-map:66
c1_04_014	c1	4	14	O-TILDE	O-TILDE	M	eye-resplit:WAVE
c1_04_015	c1	4	15	ARC-LOOPS	ARC-LOOPS	H	eye-split:MISC-67
c1_04_016	c1	4	16	X-BAR	X-BAR	M	eye-split:MISC-87
c1_04_017	c1	4	17	X-CURL	X-CURL	M	eye-split:MISC-36
c1_04_018	c1	4	18	X	X	M	cluster-map:53
c1_04_019	c1	4	19	AMP	AMP	L	eye-split:MISC-30
c1_04_020	c1	4	20	VENUS	VENUS	H	cluster-map:49
c1_04_021	c1	4	21	F-LETTER	F-LETTER	M	eye-split:MISC-43
c1_04_022	c1	4	22	A-LOOP	A-LOOP	H	eye-resplit:TRIPOD
c1_04_023	c1	4	23	DOTS-TILDE	DOTS-TILDE	H	eye-split:MISC-31
c1_05_001	c1	5	1	PCT	PCT	H	cluster-map:66
c1_05_002	c1	5	2	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c1_05_003	c1	5	3	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c1_05_004	c1	5	4	Y-CURL	Y-CURL	M	cluster-map:88
c1_05_005	c1	5	5	A-LOOP	A-LOOP	H	eye-resplit:TRIPOD
c1_05_006	c1	5	6	MULTI	MULTI	L	eye-split:MISC-30
c1_05_007	c1	5	7	X	X	H	cluster-map:25
c1_05_008	c1	5	8	CROSS-T	CROSS-T	H	cluster-map:48
c1_05_009	c1	5	9	Y-CURL	Y-CURL	H	cluster-map:19
c1_05_010	c1	5	10	O-BRACKET	O-BRACKET	L	eye-split:MISC-67
c1_05_011	c1	5	11	DIAMOND	DIAMOND	M	eye-resplit:DELTA-TAIL
c1_05_012	c1	5	12	O-SLASH	O-SLASH	M	eye-split:MISC-79
c1_05_013	c1	5	13	X	X	M	cluster-map:28
c1_05_014	c1	5	14	Y-CURL	Y-CURL	H	cluster-map:19
c1_05_015	c1	5	15	X	X	H	cluster-map:56
c1_05_016	c1	5	16	PCT	PCT	M	cluster-map:57
c1_05_017	c1	5	17	DOLLAR	DOLLAR	M	eye-split:MISC-06
c1_05_018	c1	5	18	BLOB	BLOB	M	eye-resplit:BAR-SERIF
c1_05_019	c1	5	19	BAR-SOLID	BLOB	M	cluster-map:45
c1_05_020	c1	5	20	II-SLASH	II-SLASH	M	eye-split:MISC-07
c1_05_021	c1	5	21	Y-CURL	Y-CURL	H	cluster-map:19
c1_05_022	c1	5	22	X	X	M	cluster-map:22
c1_05_023	c1	5	23	DAGGER-O	DAGGER-O	H	eye-split:MISC-13
c1_06_001	c1	6	1	PCT	PCT	H	cluster-map:66
c1_06_002	c1	6	2	O-SLASH	O-SLASH	M	eye-resplit:LOOP-TAIL
c1_06_003	c1	6	3	X	X	H	cluster-map:84
c1_06_004	c1	6	4	O-TILDE	O-TILDE	M	eye-split:MISC-67
c1_06_005	c1	6	5	X	X	M	cluster-map:52
c1_06_006	c1	6	6	A-LOOP	A-LOOP	M	eye-split:MISC-05
c1_06_007	c1	6	7	O-DASH2	O-DASH2	M	eye-resplit:CRESCENT
c1_06_008	c1	6	8	PCT	PCT	M	cluster-map:57
c1_06_009	c1	6	9	X	X	M	cluster-map:28
c1_06_010	c1	6	10	Y-LOOPS	Y-LOOPS	M	eye-split:MISC-43
c1_06_011	c1	6	11	X-BAR	X-BAR	M	eye-split:MISC-76
c1_06_012	c1	6	12	CIRC-O	CIRC-O	M	eye-resplit:CIRC-TAIL
c1_06_013	c1	6	13	Y-CURL	Y-CURL	M	cluster-map:88
c1_06_014	c1	6	14	CIRC-O	CIRC-O	M	eye-resplit:CIRC-TAIL
c1_06_015	c1	6	15	S-CURL	S-CURL	M	eye-split:MISC-13
c1_06_016	c1	6	16	SLASH-BAR	SLASH-BAR	M	eye-split:MISC-17
c1_06_017	c1	6	17	PHI	PHI	H	eye-resplit:PHI
c1_06_018	c1	6	18	T-LETTER	T-LETTER	M	eye-split:MISC-17
c2a_01_001	c2a	1	1	BAR-THIN	BAR-THIN	M	cluster-map:51
c2a_01_002	c2a	1	2	BRACKET	BRACKET	M	eye-split:MISC-21
c2a_01_003	c2a	1	3	X	X	H	cluster-map:56
c2a_01_004	c2a	1	4	CC-DASH	CC-DASH	H	eye-split:MISC-82
c2a_01_005	c2a	1	5	EIGHT	EIGHT	L	eye-split:MISC-76
c2a_01_006	c2a	1	6	Y-CURL	Y-CURL	M	cluster-map:88
c2a_01_007	c2a	1	7	N-LETTER	N-LETTER	L	eye-split:MISC-21
c2a_01_008	c2a	1	8	QQ-O	QQ-O	L	eye-split:MISC-67
c2a_01_009	c2a	1	9	C-DOT	C-DOT	L	eye-resplit:CIRC-TAIL
c2a_01_010	c2a	1	10	X	X	M	cluster-map:28
c2a_01_011	c2a	1	11	PCT-SLASH	PCT	H	eye-split:MISC-13
c2a_01_012	c2a	1	12	AMP	AMP	H	cluster-map:69
c2a_01_013	c2a	1	13	X	X	M	eye-split:MISC-75
c2a_01_014	c2a	1	14	CIRC-O	CIRC-O	H	cluster-map:42
c2a_01_015	c2a	1	15	X	X	H	cluster-map:56
c2a_01_016	c2a	1	16	O-SLASH	O-SLASH	M	eye-split:MISC-54
c2a_01_017	c2a	1	17	O-DASH2	O-DASH2	H	eye-split:MISC-33
c2a_01_018	c2a	1	18	X	X	H	eye-split:MISC-05
c2a_01_019	c2a	1	19	V-DOT	V-DOT	M	cluster-map:85
c2a_01_020	c2a	1	20	_	_	L	eye-split:MISC-17
c2a_01_021	c2a	1	21	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_01_022	c2a	1	22	CIRC-O	CIRC-O	H	cluster-map:42
c2a_01_023	c2a	1	23	DASH-H	DASH-H	H	cluster-map:61
c2a_01_024	c2a	1	24	IOI-TILDE	IOI-TILDE	M	eye-split:MISC-31
c2a_01_025	c2a	1	25	PCT	PCT	H	cluster-map:66
c2a_01_026	c2a	1	26	CIRC-O	CIRC-O	M	eye-resplit:EYE-DOT
c2a_01_027	c2a	1	27	DASH-H	DASH-H	H	cluster-map:61
c2a_01_028	c2a	1	28	X	X	M	cluster-map:26
c2a_01_029	c2a	1	29	X	X	H	eye-split:MISC-75
c2a_01_030	c2a	1	30	LOOP-STEM	LOOP-STEM	H	eye-resplit:RHO
c2a_01_031	c2a	1	31	DOT-LINE-O	DOT-LINE-O	M	eye-split:MISC-03
c2a_01_032	c2a	1	32	X	X	M	cluster-map:28
c2a_01_033	c2a	1	33	BLOB	BLOB	M	eye-split:MISC-55
c2a_01_034	c2a	1	34	DASH-V	DASH-V	M	cluster-map:15
c2a_02_001	c2a	2	1	PICT-LEAF	PICT-LEAF	H	eye-split:SUN
c2a_02_002	c2a	2	2	BOX-GRID	BOX-GRID	M	eye-split:MISC-87
c2a_02_003	c2a	2	3	O-TILDE	O-TILDE	M	eye-split:MISC-33
c2a_02_004	c2a	2	4	LOOP-TAIL	LOOP-TAIL	M	eye-split:MISC-20
c2a_02_005	c2a	2	5	TRIDENT	TRIDENT	H	cluster-map:39
c2a_02_006	c2a	2	6	PCT-SLASH	PCT	H	eye-split:MISC-05
c2a_02_007	c2a	2	7	II-DASH	II-DASH	M	eye-split:MISC-33
c2a_02_008	c2a	2	8	TRIDENT	TRIDENT	H	cluster-map:39
c2a_02_009	c2a	2	9	PICT-BOTTLE	PICT-BOTTLE	H	eye-split:MISC-76
c2a_02_010	c2a	2	10	PICT-TREE	PICT-TREE	H	eye-split:MISC-83
c2a_02_011	c2a	2	11	SUN	SUN	H	eye-split:SUN
c2a_02_012	c2a	2	12	X	X	M	cluster-map:26
c2a_02_013	c2a	2	13	NINE	NINE	L	eye-resplit:DELTA-TAIL
c2a_02_014	c2a	2	14	FIVE	FIVE	M	eye-resplit:DELTA-TAIL
c2a_02_015	c2a	2	15	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_02_016	c2a	2	16	TRIDENT	TRIDENT	H	cluster-map:39
c2a_02_017	c2a	2	17	BAR-THIN	BAR-THIN	L	eye-resplit:BAR-SERIF
c2a_02_018	c2a	2	18	PICT-FACE	PICT-FACE	M	eye-split:MISC-11
c2a_02_019	c2a	2	19	PCT	PCT	H	cluster-map:9
c2a_02_020	c2a	2	20	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c2a_02_021	c2a	2	21	X	X	M	cluster-map:26
c2a_02_022	c2a	2	22	X	X	M	cluster-map:62
c2a_02_023	c2a	2	23	II-DASH	II-DASH	H	eye-split:MISC-46
c2a_02_024	c2a	2	24	BLOB	BLOB	M	eye-split:MISC-55
c2a_02_025	c2a	2	25	PHI	PHI	H	eye-resplit:PHI
c2a_02_026	c2a	2	26	OX-TILDE	OX-TILDE	M	eye-split:MISC-36
c2a_02_027	c2a	2	27	BUCKET	BUCKET	M	eye-split:MISC-64
c2a_02_028	c2a	2	28	DASH-V	DASH-V	M	cluster-map:15
c2a_03_001	c2a	3	1	PICT-EAGLE	PICT-EAGLE	H	eye-split:MISC-60
c2a_03_002	c2a	3	2	V-LOOP	V-LOOP	M	eye-split:MISC-43
c2a_03_003	c2a	3	3	VENUS	VENUS	H	cluster-map:49
c2a_03_004	c2a	3	4	CC-DASH	CC-DASH	M	eye-split:MISC-00
c2a_03_005	c2a	3	5	X	X	M	cluster-map:14
c2a_03_006	c2a	3	6	X	X	M	cluster-map:28
c2a_03_007	c2a	3	7	PHI	PHI	H	eye-resplit:PHI
c2a_03_008	c2a	3	8	X-CURL	X-CURL	M	eye-split:MISC-37
c2a_03_009	c2a	3	9	VENUS	VENUS	H	cluster-map:49
c2a_03_010	c2a	3	10	EIGHT	EIGHT	L	eye-split:MISC-30
c2a_03_011	c2a	3	11	X	X	H	cluster-map:4
c2a_03_012	c2a	3	12	O-DASH2	O-DASH2	H	eye-split:MISC-33
c2a_03_013	c2a	3	13	CC-DASH	CC-DASH	H	eye-split:MISC-82
c2a_03_014	c2a	3	14	LAMBDA	LAMBDA	H	eye-split:MISC-30
c2a_03_015	c2a	3	15	PCT	PCT	M	cluster-map:57
c2a_03_016	c2a	3	16	X	X	H	cluster-map:25
c2a_03_017	c2a	3	17	O-SLASH	O-SLASH	L	eye-resplit:WAVE
c2a_03_018	c2a	3	18	BOX-GRID	BOX-GRID	H	eye-split:MISC-05
c2a_03_019	c2a	3	19	BAR-SOLID	BLOB	M	cluster-map:10
c2a_03_020	c2a	3	20	X	X	M	cluster-map:26
c2a_03_021	c2a	3	21	TRIDENT	TRIDENT	H	cluster-map:39
c2a_03_022	c2a	3	22	BAR-SOLID	BLOB	M	cluster-map:8
c2a_03_023	c2a	3	23	Y-CURL	Y-CURL	H	cluster-map:19
c2a_03_024	c2a	3	24	O-DASH2	O-DASH2	H	eye-split:MISC-33
c2a_03_025	c2a	3	25	X	X	M	cluster-map:53
c2a_03_026	c2a	3	26	BAR-THIN	BAR-THIN	M	eye-split:MISC-35
c2a_04_001	c2a	4	1	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_04_002	c2a	4	2	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_04_003	c2a	4	3	BAR-THIN	BAR-THIN	M	cluster-map:51
c2a_04_004	c2a	4	4	BAR-SOLID	BLOB	M	cluster-map:10
c2a_04_005	c2a	4	5	VENUS	VENUS	M	eye-split:MISC-75
c2a_04_006	c2a	4	6	X	X	M	cluster-map:14
c2a_04_007	c2a	4	7	X	X	M	cluster-map:26
c2a_04_008	c2a	4	8	ARCH-DOTS	ARCH-DOTS	L	eye-split:MISC-24
c2a_04_009	c2a	4	9	SMILE	SMILE	L	eye-split:MISC-30
c2a_04_010	c2a	4	10	AMP	AMP	H	cluster-map:69
c2a_04_011	c2a	4	11	II-DASH	II-DASH	M	eye-split:MISC-21
c2a_04_012	c2a	4	12	NINE	NINE	L	eye-split:MISC-30
c2a_04_013	c2a	4	13	SCROLL-X	SCROLL-X	M	eye-split:MISC-41
c2a_04_014	c2a	4	14	V-DOT	V-DOT	M	cluster-map:85
c2a_04_015	c2a	4	15	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c2a_04_016	c2a	4	16	BLOB	BLOB	M	eye-split:MISC-32
c2a_04_017	c2a	4	17	WAVE	WAVE	M	eye-split:MISC-20
c2a_04_018	c2a	4	18	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c2a_04_019	c2a	4	19	X	X	M	cluster-map:52
c2a_04_020	c2a	4	20	X	X	H	cluster-map:25
c2a_04_021	c2a	4	21	BLOB	BLOB	M	eye-split:MISC-55
c2a_04_022	c2a	4	22	C-BAR-X	C-BAR-X	M	eye-split:MISC-37
c2a_04_023	c2a	4	23	PCT	PCT	H	cluster-map:66
c2a_04_024	c2a	4	24	OX-TILDE	OX-TILDE	M	eye-resplit:WAVE
c2a_04_025	c2a	4	25	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_04_026	c2a	4	26	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_04_027	c2a	4	27	DASH-V	DASH-V	M	cluster-map:15
c2a_05_001	c2a	5	1	_	_	L	eye-resplit:CIRC-TAIL
c2a_05_002	c2a	5	2	_	_	M	eye-split:MISC-76
c2a_05_003	c2a	5	3	DASH-V	DASH-V	M	cluster-map:15
c2a_05_004	c2a	5	4	BAR-SOLID	BLOB	M	cluster-map:10
c2a_05_005	c2a	5	5	PICT-HOUSE	PICT-HOUSE	H	eye-split:SUN
c2a_05_006	c2a	5	6	EIGHT	EIGHT	L	eye-split:MISC-05
c2a_05_007	c2a	5	7	X	X	M	cluster-map:28
c2a_05_008	c2a	5	8	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c2a_05_009	c2a	5	9	LOOP-STEM	LOOP-STEM	H	eye-resplit:RHO
c2a_05_010	c2a	5	10	C-DOT	C-DOT	H	eye-resplit:CRESCENT
c2a_05_011	c2a	5	11	C-DOT	C-DOT	H	eye-resplit:CRESCENT
c2a_05_012	c2a	5	12	BAR-SOLID	BLOB	M	cluster-map:10
c2a_05_013	c2a	5	13	BAR-THIN	BAR-THIN	M	eye-resplit:BAR-SERIF
c2a_05_014	c2a	5	14	X	X	M	cluster-map:14
c2a_05_015	c2a	5	15	CIRC-O	CIRC-O	H	cluster-map:42
c2a_05_016	c2a	5	16	BLOB	BLOB	M	eye-split:MISC-55
c2a_05_017	c2a	5	17	X	X	M	cluster-map:62
c2a_05_018	c2a	5	18	X	X	M	cluster-map:53
c2a_05_019	c2a	5	19	X	X	H	eye-split:MISC-87
c2a_05_020	c2a	5	20	X	X	M	cluster-map:28
c2a_05_021	c2a	5	21	MULTI	MULTI	L	eye-resplit:WAVE
c2a_05_022	c2a	5	22	T-LETTER	T-LETTER	H	eye-split:MISC-46
c2a_05_023	c2a	5	23	S-CURL	S-CURL	L	eye-split:MISC-67
c2a_05_024	c2a	5	24	PCT	PCT	H	eye-split:MISC-05
c2a_05_025	c2a	5	25	O-TILDE	O-TILDE	M	eye-split:MISC-74
c2a_05_026	c2a	5	26	X	X	M	cluster-map:28
c2a_05_027	c2a	5	27	PHI	PHI	H	eye-resplit:PHI
c2a_05_028	c2a	5	28	O-TILDE	O-TILDE	M	eye-split:MISC-74
c2a_05_029	c2a	5	29	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c2a_05_030	c2a	5	30	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c2a_05_031	c2a	5	31	_	_	L	eye-resplit:BAR-SERIF
c2a_05_032	c2a	5	32	DAGGER-O	DAGGER-O	M	eye-resplit:DELTA-TAIL
c2a_05_033	c2a	5	33	X	X	M	cluster-map:28
c2a_05_034	c2a	5	34	BAR-THIN	BAR-THIN	M	cluster-map:51
c2a_06_001	c2a	6	1	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_06_002	c2a	6	2	X	X	M	cluster-map:26
c2a_06_003	c2a	6	3	_	_	M	eye-split:MISC-06
c2a_06_004	c2a	6	4	BAR-THIN	BAR-THIN	M	cluster-map:51
c2a_06_005	c2a	6	5	DOLLAR	DOLLAR	M	eye-split:MISC-06
c2a_06_006	c2a	6	6	X	X	H	cluster-map:47
c2a_06_007	c2a	6	7	PCT-SLASH	PCT	M	eye-split:MISC-13
c2a_06_008	c2a	6	8	X	X	M	cluster-map:26
c2a_06_009	c2a	6	9	X	X	M	eye-split:MISC-75
c2a_06_010	c2a	6	10	THREE	THREE	L	eye-split:MISC-06
c2a_06_011	c2a	6	11	WAVE	WAVE	M	eye-split:MISC-67
c2a_06_012	c2a	6	12	PCT-SLASH	PCT	H	eye-split:MISC-13
c2a_06_013	c2a	6	13	STAR	STAR	H	eye-split:MISC-67
c2a_06_014	c2a	6	14	CROSS-T	CROSS-T	H	cluster-map:48
c2a_06_015	c2a	6	15	CC-DASH	CC-DASH	H	eye-split:MISC-05
c2a_06_016	c2a	6	16	II-DASH	II-DASH	H	eye-split:MISC-75
c2a_06_017	c2a	6	17	PHI	PHI	H	eye-resplit:PHI
c2a_06_018	c2a	6	18	PCT	PCT	H	cluster-map:9
c2a_06_019	c2a	6	19	X	X	M	cluster-map:53
c2a_06_020	c2a	6	20	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c2a_06_021	c2a	6	21	DBL-SLASH	DBL-SLASH	M	eye-resplit:HOOK-L
c2a_06_022	c2a	6	22	CIRC-O	CIRC-O	H	cluster-map:42
c2a_06_023	c2a	6	23	O-DASH2	O-DASH2	M	eye-split:MISC-17
c2a_06_024	c2a	6	24	C-BAR-X	C-BAR-X	M	eye-split:MISC-87
c2a_06_025	c2a	6	25	CIRC-O	CIRC-O	H	cluster-map:42
c2a_06_026	c2a	6	26	VEE	VEE	H	cluster-map:59
c2a_06_027	c2a	6	27	WAVE-V	WAVE-V	M	eye-split:MISC-79
c2a_06_028	c2a	6	28	PCT	PCT	H	cluster-map:66
c2a_06_029	c2a	6	29	X	X	M	cluster-map:26
c2a_06_030	c2a	6	30	VENUS	VENUS	H	cluster-map:49
c2a_06_031	c2a	6	31	PCT	PCT	H	cluster-map:9
c2a_07_001	c2a	7	1	X-DOT	X-DOT	M	eye-split:MISC-81
c2a_07_002	c2a	7	2	ARCH-DASH	ARCH-DASH	M	eye-split:MISC-67
c2a_07_003	c2a	7	3	II-DASH	II-DASH	H	eye-split:MISC-82
c2a_07_004	c2a	7	4	NINE-BAR	NINE-BAR	L	eye-split:MISC-37
c2a_07_005	c2a	7	5	BAR-SOLID	BLOB	M	cluster-map:8
c2a_07_006	c2a	7	6	DAGGER-O	DAGGER-O	H	eye-resplit:DELTA-TAIL
c2a_07_007	c2a	7	7	C-DOT	C-DOT	M	eye-split:MISC-17
c2a_07_008	c2a	7	8	QQ-O	QQ-O	L	eye-split:MISC-36
c2a_07_009	c2a	7	9	X	X	M	cluster-map:28
c2a_07_010	c2a	7	10	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c2a_07_011	c2a	7	11	STAR	STAR	H	eye-split:MISC-24
c2a_07_012	c2a	7	12	VENUS	VENUS	H	cluster-map:49
c2a_07_013	c2a	7	13	OO-TILDE	OO-TILDE	H	eye-split:MISC-31
c2a_07_014	c2a	7	14	X	X	M	cluster-map:28
c2a_07_015	c2a	7	15	PICT-FIGURE	PICT-FIGURE	L	eye-split:MISC-24
c2a_07_016	c2a	7	16	PICT-ARROW	PICT-ARROW	H	eye-split:MISC-74
c2a_07_017	c2a	7	17	PICT-TREE	PICT-TREE	M	eye-split:MISC-35
c2a_07_018	c2a	7	18	X	X	M	cluster-map:53
c2a_07_019	c2a	7	19	O-DASH2	O-DASH2	H	eye-split:MISC-33
c2a_07_020	c2a	7	20	CC-DASH	CC-DASH	M	eye-split:MISC-82
c2a_07_021	c2a	7	21	X	X	H	cluster-map:47
c2a_07_022	c2a	7	22	X	X	M	cluster-map:62
c2a_07_023	c2a	7	23	CROSS-T	CROSS-T	H	eye-split:MISC-05
c2a_07_024	c2a	7	24	C-DOT	C-DOT	M	eye-split:MISC-13
c2a_07_025	c2a	7	25	STAR	STAR	H	eye-split:MISC-05
c2a_07_026	c2a	7	26	AMP	AMP	H	cluster-map:69
c2a_07_027	c2a	7	27	PHI	PHI	H	eye-resplit:PHI
c2a_07_028	c2a	7	28	SCROLL-X	SCROLL-X	M	eye-split:MISC-41
c2a_07_029	c2a	7	29	SLASH	SLASH	H	eye-split:MISC-17
c2a_07_030	c2a	7	30	X	X	M	cluster-map:53
c2a_07_031	c2a	7	31	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c2a_07_032	c2a	7	32	_	_	L	eye-resplit:BAR-SERIF
c2a_08_001	c2a	8	1	DASH-H	DASH-H	H	cluster-map:61
c2a_08_002	c2a	8	2	BAR-THIN	BAR-THIN	M	cluster-map:12
c2a_08_003	c2a	8	3	X	X	H	cluster-map:4
c2a_08_004	c2a	8	4	X	X	H	cluster-map:25
c2a_08_005	c2a	8	5	_	_	L	eye-split:MISC-50
c2a_08_006	c2a	8	6	PCT	PCT	M	cluster-map:57
c2a_08_007	c2a	8	7	X	X	H	cluster-map:56
c2a_08_008	c2a	8	8	Y-CURL	Y-CURL	H	cluster-map:19
c2a_08_009	c2a	8	9	X	X	L	eye-split:MISC-80
c2a_08_010	c2a	8	10	CIRC-O	CIRC-O	H	cluster-map:42
