sign	family	count	pages	H	M	L	exemplars	note
NOTE	NOTE	14	c1,c2a,c3,c4a,c4b	11	3	0	c1_03_025,c2a_10_012,c2a_12_023,c2a_15_003,c3_02_012,c4a_01_006,c4a_09_006,c4b_03_009	
VEE	VEE	14	c1,c2a,c2b,c3,c4a	11	2	1	c1_04_008,c2a_06_026,c2a_17_007,c2b_01_022,c2b_03_020,c2b_04_010,c3_02_022,c4a_05_001	
DASH-H	DASH-H	13	c1,c2a,c2b,c3,c4a	10	2	1	c1_01_006,c1_03_021,c1_04_011,c2a_01_023,c2a_01_027,c2a_08_001,c2b_01_011,c2b_07_007	
X-CURL	X-CURL	13	c1,c2a,c2b,c3,c4a	1	12	0	c4a_12_011,c1_04_017,c2a_03_008,c2a_13_014,c2a_14_008,c2b_03_015,c3_01_014,c3_03_002	
AMP	AMP	12	c1,c2a,c2b	9	1	2	c2a_01_012,c2a_04_010,c2a_07_026,c2b_03_023,c2b_05_010,c1_04_019	
A-LOOP	A-LOOP	11	c1,c2a,c2b,c3	5	6	0	c1_02_007,c1_04_022,c1_05_005,c2a_14_011,c3_04_005,c2a_08_020,c2a_16_014,c2b_01_014	
LOOP-STEM	LOOP-STEM	11	c1,c2a,c3,c4a,c4b	6	3	2	c1_04_007,c2a_01_030,c2a_05_009,c2a_11_021,c4a_11_009,c4b_05_003,c3_04_001	
TRIDENT	TRIDENT	11	c1,c2a,c2b,c3	11	0	0	c1_01_003,c1_03_014,c2a_02_005,c2a_02_008,c2a_02_016,c2b_01_029,c2b_03_019,c2b_08_004	
CHEVRON2	CHEVRON2	10	c2a,c2b,c3,c4a,c4b	0	9	1	c2b_07_005,c2b_07_006,c3_01_019,c3_04_008,c4a_04_012,c4a_06_003,c4b_01_001,c4b_03_004	
ARCH-DASH	ARCH-DASH	9	c1,c2a,c2b,c3,c4a,c4b	4	5	0	c2b_03_017,c3_02_011,c4a_11_001,c4b_03_010,c1_03_022,c2a_07_002,c2a_08_022,c2a_13_002	
II-O	II-O	9	c2a,c2b,c3,c4a,c4b	5	4	0	c2b_03_016,c2b_03_022,c4a_05_005,c4a_11_002,c4b_04_012,c2a_08_018,c3_02_029,c3_03_009	
QUESTION	QUESTION	9	c2a,c2b,c3,c4a	0	8	1	c2a_12_024,c2a_12_025,c3_04_015,c4a_01_008,c4a_06_015,c4a_08_017,c2b_07_020	
STAR	STAR	9	c2a,c2b,c4a,c4b	9	0	0	c2a_06_013,c2a_07_011,c2a_07_025,c2b_08_013,c4a_02_010,c4b_01_004	
SUN	SUN	9	c1,c2a,c2b,c3,c4a,c4b	7	2	0	c1_02_001,c2a_02_011,c2a_10_009,c2b_07_001,c3_02_002,c3_03_022,c4a_03_001,c2b_03_012	
DASH-V	DASH-V	8	c2a	0	8	0	c2a_01_034,c2a_02_028,c2a_04_027	
X-SLASH	X-SLASH	8	c2a,c2b,c3,c4a	0	7	1	c2a_12_034,c2a_15_035,c2b_04_019,c2b_06_008,c3_03_010,c4a_08_014,c4a_10_001,c2a_15_024	
XX-TILDE	XX-TILDE	8	c1,c2a,c4a	4	2	2	c1_01_015,c1_03_029,c2a_11_009,c2a_11_019,c2a_08_017,c4a_09_001	
CC-O	CC-O	7	c1,c2a,c4a,c4b	2	3	2	c1_01_007,c1_02_014,c2a_11_029,c4a_03_007,c4b_02_004,c2a_11_006,c2a_11_023	
QQ-O	QQ-O	7	c2a,c2b	0	3	4	c2a_10_007,c2a_16_016,c2b_06_014,c2a_01_008	
C-BAR-X	C-BAR-X	6	c1,c2a,c3	1	5	0	c1_01_013,c2a_04_022,c2a_06_024,c2a_12_016,c3_04_014	
LOOP-TAIL	LOOP-TAIL	6	c2a,c4a,c4b	0	3	3	c2a_02_004,c2a_10_010,c4a_03_010,c2a_17_015,c4a_12_003,c4b_02_012	
O-DASHBELOW	O-DASHBELOW	6	c1,c2b,c3,c4a	0	5	1	c1_04_005,c1_04_012,c2b_04_003,c3_02_015,c4a_07_002,c4a_12_013	
X-DASH	X-DASH	6	c2a,c2b,c4a	0	5	1	c2a_12_013,c2b_01_015,c4a_06_002,c4a_13_014,c4a_14_006,c2a_16_022	
DIAMOND	DIAMOND	5	c1,c3,c4a,c4b	1	4	0	c3_03_012,c1_05_011,c4a_06_005,c4a_14_005,c4b_04_001	
DOTS-TILDE	DOTS-TILDE	5	c1,c2a,c2b	1	4	0	c1_04_023,c2a_10_019,c2a_10_028,c2a_13_023,c2b_08_001	
GEAR-DOT	GEAR-DOT	5	c2a,c2b,c4b	0	5	0	c2a_08_015,c2a_09_001,c2a_11_001,c2b_06_002,c4b_03_005	
LAMBDA	LAMBDA	5	c1,c2a,c3,c4a	4	1	0	c1_01_005,c2a_03_014,c2a_09_004,c4a_02_006,c3_01_013	
NINE	NINE	5	c2a,c2b	0	2	3	c2b_05_014,c2b_06_018,c2a_02_013,c2a_04_012,c2a_17_027	
PICT-FACE	PICT-FACE	5	c1,c2a,c2b,c4b	2	3	0	c2b_06_016,c2b_08_012,c1_02_020,c2a_02_018,c4b_03_008	
PICT-TREE	PICT-TREE	5	c1,c2a,c3	3	2	0	c1_04_009,c2a_02_010,c2a_13_017,c2a_07_017,c3_01_018	
SCROLL-X	SCROLL-X	5	c2a,c3,c4b	0	4	1	c2a_04_013,c2a_07_028,c2a_10_026,c3_03_030,c4b_05_010	
ARCH-O	ARCH-O	4	c2b,c3,c4a,c4b	1	3	0	c2b_06_004,c3_01_025,c4a_05_006,c4b_04_003	
DOLLAR	DOLLAR	4	c1,c2a,c4b	0	4	0	c1_03_017,c1_05_017,c2a_06_005,c4b_02_011	
DOUBLE-LOOP	DOUBLE-LOOP	4	c2a,c2b	2	1	1	c2a_15_032,c2b_01_035,c2b_09_012,c2a_09_003	
F-LETTER	F-LETTER	4	c1,c2a,c4a	0	2	2	c1_04_021,c2a_09_014,c2a_10_006,c4a_13_004	
II-SLASH	II-SLASH	4	c1,c3,c4b	0	3	1	c1_05_020,c3_02_014,c3_02_021,c4b_02_010	
OX	OX	4	c2a,c2b,c4a	2	2	0	c2a_09_039,c2a_17_020,c2b_05_008,c4a_12_019	
PICT-ARROW	PICT-ARROW	4	c2a,c2b,c4a,c4b	1	3	0	c2a_07_016,c2b_09_014,c4a_09_008,c4b_01_011	
PICT-LEAF	PICT-LEAF	4	c2a,c2b,c4a	2	2	0	c2a_02_001,c2a_12_018,c2b_01_007,c4a_12_001	
SLASH	SLASH	4	c2a,c4b	2	2	0	c2a_07_029,c4b_04_011,c2a_14_017,c4b_05_007	
X-BAR-CC	X-BAR-CC	4	c2b,c4b	0	4	0	c2b_02_011,c2b_02_016,c2b_05_015,c4b_03_002	
Y-LOOPS	Y-LOOPS	4	c1,c4a	0	3	1	c1_06_010,c4a_05_013,c4a_08_012,c4a_13_007	
ARC-LOOPS	ARC-LOOPS	3	c1,c2a	2	1	0	c1_04_015,c2a_13_007,c2a_09_033	
BOX-GRID	BOX-GRID	3	c2a,c4a	2	1	0	c2a_03_018,c4a_13_006,c2a_02_002	
BUCKET	BUCKET	3	c2a,c2b	0	3	0	c2a_02_027,c2a_13_038,c2b_04_028	
CHEVRON	CHEVRON	3	c2b,c4b	0	3	0	c2b_05_017,c4b_04_008,c4b_04_009	
DELTA	DELTA	3	c4a,c4b	3	0	0	c4a_10_016,c4a_11_010,c4b_02_001	
HOOK-L	HOOK-L	3	c1,c4a	0	3	0	c1_04_004,c4a_04_018,c4a_07_014	
M-LETTER	M-LETTER	3	c2a,c4b	0	1	2	c2a_09_012,c2a_17_023,c4b_05_005	
OO-TILDE	OO-TILDE	3	c1,c2a,c4a	3	0	0	c1_02_010,c2a_07_013,c4a_03_005	
PICT-ANCHOR	PICT-ANCHOR	3	c2a,c4a	2	1	0	c2a_15_001,c4a_13_001,c2a_17_006	
PICT-HOUSE	PICT-HOUSE	3	c2a,c4a	2	0	1	c2a_05_005,c2a_13_022,c4a_10_011	
PICT-RUNNER	PICT-RUNNER	3	c1,c3,c4a	3	0	0	c1_03_023,c3_01_001,c4a_10_004	
SIGMA	SIGMA	3	c4a,c4b	3	0	0	c4a_12_015,c4a_14_010,c4b_04_002	
TAURUS	TAURUS	3	c4a,c4b	0	3	0	c4a_01_011,c4a_09_005,c4b_05_008	
THETA-BAR	THETA-BAR	3	c4a,c4b	0	3	0	c4a_04_005,c4a_06_013,c4b_04_015	
THREE	THREE	3	c2a,c4b	0	0	3	c2a_06_010,c2a_15_002,c4b_05_006	
V-DOT	V-DOT	3	c2a	0	3	0	c2a_01_019,c2a_04_014,c2a_13_013	
V-LOOP	V-LOOP	3	c2a,c4a,c4b	0	3	0	c2a_03_002,c4a_07_009,c4b_05_004	
WAVE-V	WAVE-V	3	c2a,c2b	0	2	1	c2a_06_027,c2b_07_026,c2a_11_025	
X-BAR	X-BAR	3	c1,c4a	0	3	0	c1_04_016,c1_06_011,c4a_08_013	
X-DOT	X-DOT	3	c2a,c3	0	2	1	c2a_07_001,c3_03_031,c3_01_024	
X-O	X-O	3	c2a,c3	0	2	1	c2a_10_014,c3_03_001,c3_02_030	
Z-CURL	Z-CURL	3	c2b,c3	1	0	2	c2b_01_031,c2b_07_025,c3_02_025	
ARROW-O	ARROW-O	2	c2b,c4b	0	1	1	c4b_02_003,c2b_06_023	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
ARROW-UP	ARROW-UP	2	c4a,c4b	0	2	0	c4a_06_006,c4b_01_006	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
D-LETTER	D-LETTER	2	c2a	0	2	0	c2a_09_009,c2a_09_010	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
E-BAR	E-BAR	2	c2b	1	1	0	c2b_07_013,c2b_03_021	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
FIVE	FIVE	2	c2a	0	1	1	c2a_02_014,c2a_10_001	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
HASH	HASH	2	c1,c4b	2	0	0	c1_03_024,c4b_01_005	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
HOOK-P	HOOK-P	2	c2a,c3	0	0	2	c2a_16_013,c3_01_009	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
IOI-TILDE	IOI-TILDE	2	c2a,c4a	0	2	0	c2a_01_024,c4a_14_007	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
NINE-BAR	NINE-BAR	2	c2a,c3	0	1	1	c3_04_010,c2a_07_004	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-BAR-CC	O-BAR-CC	2	c2a	0	2	0	c2a_13_034,c2a_14_023	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-BAR-O	O-BAR-O	2	c2a,c3	1	1	0	c2a_11_031,c3_01_020	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-BRACKET	O-BRACKET	2	c1,c2a	0	1	1	c2a_15_029,c1_05_010	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-DOT-STEM	O-DOT-STEM	2	c4a,c4b	0	1	1	c4b_05_001,c4a_10_002	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-PLUS	O-PLUS	2	c1,c4a	0	2	0	c1_02_011,c4a_06_001	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
OMEGA	OMEGA	2	c4a	0	2	0	c4a_04_001,c4a_09_009	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-CROSSED	PICT-CROSSED	2	c2a,c4b	0	0	2	c2a_08_011,c4b_05_002	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-HORSE	PICT-HORSE	2	c1,c3	2	0	0	c1_01_017,c3_01_026	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
RAM	RAM	2	c4a,c4b	0	2	0	c4a_04_008,c4b_01_002	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
SIX-CURL	SIX-CURL	2	c1,c2a	0	1	1	c1_02_006,c2a_10_022	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
SMILE	SMILE	2	c2a,c4b	0	1	1	c4b_01_008,c2a_04_009	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
T-LETTER	T-LETTER	2	c1,c2a	1	1	0	c2a_05_022,c1_06_018	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
TWO	TWO	2	c4a	0	2	0	c4a_08_001,c4a_14_001	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
U-DASH	U-DASH	2	c3,c4a	0	2	0	c3_03_006,c4a_14_008	2 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
A-DASH	A-DASH	1	c3	0	1	0	c3_02_019	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
A-LETTER	A-LETTER	1	c4a	0	1	0	c4a_04_003	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
ARCH	ARCH	1	c2b	1	0	0	c2b_04_007	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
ARCH-DOTS	ARCH-DOTS	1	c2a	0	0	1	c2a_04_008	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
B-SCRIPT	B-SCRIPT	1	c2a	0	0	1	c2a_09_022	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
BLOB-LOOP	BLOB-LOOP	1	c2a	0	0	1	c2a_16_015	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
BOX-8	BOX-8	1	c2b	1	0	0	c2b_01_033	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
BOX-M	BOX-M	1	c3	0	1	0	c3_02_033	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
BOX-X	BOX-X	1	c2a	1	0	0	c2a_17_013	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
BRACKET	BRACKET	1	c2a	0	1	0	c2a_01_002	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
CC-DOT	CC-DOT	1	c1	0	0	1	c1_04_001	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
CHAIN	CHAIN	1	c2b	0	1	0	c2b_02_005	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
CRESCENT	CRESCENT	1	c2b	0	1	0	c2b_04_014	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
DOT-LINE-O	DOT-LINE-O	1	c2a	0	1	0	c2a_01_031	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
DOTS-DASH	DOTS-DASH	1	c4b	0	0	1	c4b_02_002	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
H-LETTER	H-LETTER	1	c2a	0	1	0	c2a_09_007	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
HOOK-O	HOOK-O	1	c3	0	0	1	c3_01_032	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
II-TILDE	II-TILDE	1	c3	0	1	0	c3_03_013	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
J-DOTS	J-DOTS	1	c2b	0	0	1	c2b_06_029	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
L-LETTER	L-LETTER	1	c2a	0	1	0	c2a_09_011	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
LAMBDA-DASH	LAMBDA-DASH	1	c1	1	0	0	c1_03_016	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
MARS	MARS	1	c4a	0	1	0	c4a_06_010	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
N-LETTER	N-LETTER	1	c2a	0	0	1	c2a_01_007	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
NINE-DASH	NINE-DASH	1	c3	0	0	1	c3_01_005	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-DASH-DOTS	O-DASH-DOTS	1	c3	0	0	1	c3_02_013	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-DOTS	O-DOTS	1	c2a	0	0	1	c2a_08_019	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
O-II	O-II	1	c3	0	0	1	c3_01_030	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
OMEGA-O	OMEGA-O	1	c4b	0	0	1	c4b_05_009	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
OO-DASH	OO-DASH	1	c2b	0	1	0	c2b_01_036	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-BARREL	PICT-BARREL	1	c2a	0	1	0	c2a_10_020	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-BIRD	PICT-BIRD	1	c2a	1	0	0	c2a_17_029	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-BOTTLE	PICT-BOTTLE	1	c2a	1	0	0	c2a_02_009	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-CROWN	PICT-CROWN	1	c2a	0	1	0	c2a_16_004	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-D	PICT-D	1	c2b	0	0	1	c2b_05_013	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-EAGLE	PICT-EAGLE	1	c2a	1	0	0	c2a_03_001	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-FIGURE	PICT-FIGURE	1	c2a	0	0	1	c2a_07_015	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-FISH	PICT-FISH	1	c2a	0	0	1	c2a_10_016	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-GLASS	PICT-GLASS	1	c4b	0	0	1	c4b_05_011	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-HEART	PICT-HEART	1	c4a	0	1	0	c4a_01_001	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
PICT-JUG	PICT-JUG	1	c2a	0	1	0	c2a_12_035	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
QQ-DASH	QQ-DASH	1	c2b	0	0	1	c2b_03_004	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
SEVEN	SEVEN	1	c2b	0	1	0	c2b_04_026	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
SLASH-BAR	SLASH-BAR	1	c1	0	1	0	c1_06_016	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
SLASH3	SLASH3	1	c2b	1	0	0	c2b_03_007	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
SQUIG-DOT	SQUIG-DOT	1	c2a	0	0	1	c2a_11_012	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
TILDE-DASH	TILDE-DASH	1	c2a	0	0	1	c2a_17_016	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
U-CROSS	U-CROSS	1	c3	0	1	0	c3_02_007	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
U-CUP	U-CUP	1	c4a	0	1	0	c4a_13_009	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
V-PCT-BLOB	V-PCT-BLOB	1	c2b	0	0	1	c2b_07_015	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
X-LOOP	X-LOOP	1	c2b	0	1	0	c2b_03_003	1 exemplar(s) only: rare sign or pictogram, seen once/twice on the pages
MULTI	MULTI	35	c1,c2a,c2b,c3,c4a,c4b	0	0	35	c1_03_026,c1_05_006,c2a_05_021,c2a_08_012,c2a_08_023,c2b_02_003,c2b_02_012,c2b_04_009	
_	_	29	c1,c2a,c2b,c3,c4a	0	5	24	c2a_05_002,c2a_06_003,c2b_09_002,c2b_09_007,c4a_11_006,c1_02_016,c1_03_008,c2a_01_020	
