code	count	letters	contexts (first 4; NULLs dropped, <code> = this sign)
280	1	4611	4611 p2_L25: l l e u r s <280>
310	1	5811	5811 05811_p1_L21: e t y e s <310> ?
32/12	1	4616	4616 p1_L08: o m e m e n <32/12> o u r
33/5	1	4616	4616 p1_L09: p e n d a n <33/5> o u ? a u i
33/77	1	4616	4616 p1_L10: l u s t o s <33/77> e o g e r p
331	1	4611	4611 p2_L08: r o n t ? <331> g u
335	1	4611	4611 p2_L06: n i e s ? <335> a ? l e u r
359	1	4503	4503 04503_p1_L16: e d e ? e t <359>
62/28	1	4616	4616 p1_L11: d e c <62/28> u r l e ? d
64/112	1	4616	4616 p1_L07: q a r d e l <64/112> e s ? s o n
707	1	5810	5810 05810_p2_L19: r d e u o h <707> n n e
72/16	1	4616	4616 p1_L07: d i c <72/16> u e q a r d
735/71	1	4616	4616 p1_L09: l a <735/71> e p e n d a
81/16	1	4616	4616 p1_L16: e m a i n l <81/16> u e l
81/28/2	1	4616	4616 p1_L12: f <81/28/2> o m m e u
8e	1	5811	5811 05811_p5_L03: <8e>
92/2	1	4616	4616 p1_L14: g p u i ? u <92/2> o t ? o u l
viij	1	5811	5811 05811_p2_L24: <viij> ?
xe	1	5811	5811 05811_p1_L01: <xe>
