code	printed	line	letter	context
2	2	248	VI	s sent ; the Scottish bands in Holland ; discontents in Scotland &c. Dat. Ber- wick, 2 Aug. 1577. From the Cott. MS. Calig. C. v. fol. 79. (Orig.) .2 3. From the same
79	79	249	VI	 in Scotland &c. Dat. Ber- wick, 2 Aug. 1577. From the Cott. MS. Calig. C. v. fol. 79. (Orig.) .2 3. From the same to the Earl of Leicester; concerning the probabili
2	2	249	VI	c. Dat. Ber- wick, 2 Aug. 1577. From the Cott. MS. Calig. C. v. fol. 79. (Orig.) .2 3. From the same to the Earl of Leicester; concerning the probability of fresh t
3	3	251	VI	Dat. Ber- wick, 2 Aug. 1577. From the Cott. MS. Calig. C. v. fol. 79. (Orig.) .2 3. From the same to the Earl of Leicester; concerning the probability of fresh troub
9	9	254	VI	 concerning the probability of fresh troubles breaking out in Scotland. Dat. Berwick, 9 Oct. 1577. From the Cott. MS. Calig. C. v. fol. 86. (Orig.) 4 4. From Queen Eli
86	86	255	VI	g out in Scotland. Dat. Berwick, 9 Oct. 1577. From the Cott. MS. Calig. C. v. fol. 86. (Orig.) 4 4. From Queen Elizabeth to the Earl of Athol ; express- ing her desir
4	4	255	VI	land. Dat. Berwick, 9 Oct. 1577. From the Cott. MS. Calig. C. v. fol. 86. (Orig.) 4 4. From Queen Elizabeth to the Earl of Athol ; express- ing her desire that the d
4	4	257	VI	. Dat. Berwick, 9 Oct. 1577. From the Cott. MS. Calig. C. v. fol. 86. (Orig.) 4 4. From Queen Elizabeth to the Earl of Athol ; express- ing her desire that the diffe
88	88	263	VI	 Robert Bowes. Dat. Windsor, in December, 1577. From the Cott. MS. Calig. C. v. fol. 88 5 5. From Robert Bowes to Lord Burghley ; reporting the attempt of some
5	5	263	VI	bert Bowes. Dat. Windsor, in December, 1577. From the Cott. MS. Calig. C. v. fol. 88 5 5. From Robert Bowes to Lord Burghley ; reporting the attempt of some 
5	5	265	VI	 Bowes. Dat. Windsor, in December, 1577. From the Cott. MS. Calig. C. v. fol. 88 5 5. From Robert Bowes to Lord Burghley ; reporting the attempt of some nobl
28	28	268	VI	tempt of some noblemen and abbots at Sterling, and the sequel of it. Dat. Edinburgh, 28 April, 1578. From the Cott. MS. Calig. C v. fol. 89 . . . .6 6. 
89	89	269	VI	 sequel of it. Dat. Edinburgh, 28 April, 1578. From the Cott. MS. Calig. C v. fol. 89 . . . .6 6. From the same to the Earl of Leicester ; that 
6	6	269	VI	gh, 28 April, 1578. From the Cott. MS. Calig. C v. fol. 89 . . . .6 6. From the same to the Earl of Leicester ; that King James has created the
6	6	271	VI	 28 April, 1578. From the Cott. MS. Calig. C v. fol. 89 . . . .6 6. From the same to the Earl of Leicester ; that King James has created the Bi
23	23	275	VI	 to the prejudice of Lord Charles, his uncle ; and other intelligence. Dat. Stirling, 23 July, 1578. From the Cott. MS. Calig. C. in. fol. 512 . . 8 7. F
512	512	276	VI	 intelligence. Dat. Stirling, 23 July, 1578. From the Cott. MS. Calig. C. in. fol. 512 . . 8 7. From Lord Hunsdon to the Earl of Leicester ; report- ing a
8	8	276	VI	ling, 23 July, 1578. From the Cott. MS. Calig. C. in. fol. 512 . . 8 7. From Lord Hunsdon to the Earl of Leicester ; report- ing an apprehension of fre
7	7	278	VI	, 23 July, 1578. From the Cott. MS. Calig. C. in. fol. 512 . . 8 7. From Lord Hunsdon to the Earl of Leicester ; report- ing an apprehension of fresh 
19	19	282	VI	 copy of certain articles of agreement for the pacification of Scotland. Dat. Berwick 19 August. 1578. From the Cotl MS. Calig. C. in. fol. 516 . 11 \ii STENTS. 
516	516	283	VI	of Scotland. Dat. Berwick 19 August. 1578. From the Cotl MS. Calig. C. in. fol. 516 . 11 \ii STENTS. PAGE 8. I m Robert Bowes to Lord Burghley; about the precar
11	11	283	VI	d. Dat. Berwick 19 August. 1578. From the Cotl MS. Calig. C. in. fol. 516 . 11 \ii STENTS. PAGE 8. I m Robert Bowes to Lord Burghley; about the precarious stat
8	8	290	VI	t. 1578. From the Cotl MS. Calig. C. in. fol. 516 . 11 \ii STENTS. PAGE 8. I m Robert Bowes to Lord Burghley; about the precarious state of affairs in Scotlan
3	3	292	VI	s state of affairs in Scotland; and aboul some lead which had been Bent. Dat Edinb. 3 Nov. 1578. From the I ott MS. Calig. C. v. fol. L09 1-' ;'. From the Bame to Sec
1	1	293	VI	h had been Bent. Dat Edinb. 3 Nov. 1578. From the I ott MS. Calig. C. v. fol. L09 1-' ;'. From the Bame to Secretary Walsingham; concerning lii— negociations with the Sc
24	24	299	VI	 return to Berwick, and begs thai he may be allowed to conic to court. Dat. Edinb. 24 Nov. From the Cott. MS. Calig. C. v. foL 110. (Orig.) ... 13 10. From 1 1
110	110	300	VI	allowed to conic to court. Dat. Edinb. 24 Nov. From the Cott. MS. Calig. C. v. foL 110. (Orig.) ... 13 10. From 1 1 1 « > same to Lord Bi rghlet : various intelli
13	13	300	VI	. Dat. Edinb. 24 Nov. From the Cott. MS. Calig. C. v. foL 110. (Orig.) ... 13 10. From 1 1 1 « > same to Lord Bi rghlet : various intelligence from S otland; D'
10	10	302	VI	t. Edinb. 24 Nov. From the Cott. MS. Calig. C. v. foL 110. (Orig.) ... 13 10. From 1 1 1 « > same to Lord Bi rghlet : various intelligence from S otland; D'Aubig
1	1	302	VI	 24 Nov. From the Cott. MS. Calig. C. v. foL 110. (Orig.) ... 13 10. From 1 1 1 « > same to Lord Bi rghlet : various intelligence from S otland; D'Aubigny create
1	1	302	VI	4 Nov. From the Cott. MS. Calig. C. v. foL 110. (Orig.) ... 13 10. From 1 1 1 « > same to Lord Bi rghlet : various intelligence from S otland; D'Aubigny created 
1	1	302	VI	 Nov. From the Cott. MS. Calig. C. v. foL 110. (Orig.) ... 13 10. From 1 1 1 « > same to Lord Bi rghlet : various intelligence from S otland; D'Aubigny created K
29	29	307	VI	 of Athol to bo inquired into; Sir Thomas Carr recalled in spite of Morton &c. Dat. 29 .March. 1579. From the Cott. MS. Calig. C. v. fol. 116 15 11. From the same 
116	116	307	VI	 spite of Morton &c. Dat. 29 .March. 1579. From the Cott. MS. Calig. C. v. fol. 116 15 11. From the same to the same; various intelligence from Scot- land about D
15	15	307	VI	 of Morton &c. Dat. 29 .March. 1579. From the Cott. MS. Calig. C. v. fol. 116 15 11. From the same to the same; various intelligence from Scot- land about D'Aubign
11	11	309	VI	Morton &c. Dat. 29 .March. 1579. From the Cott. MS. Calig. C. v. fol. 116 15 11. From the same to the same; various intelligence from Scot- land about D'Aubigny, &
22	22	311	VI	 to the same; various intelligence from Scot- land about D'Aubigny, &c Dat. Berwick, 22 Oct. 1579. From the Cott. MS. Calig. C. v. fol. 185 . . . .16 1
185	185	312	VI	bout D'Aubigny, &c Dat. Berwick, 22 Oct. 1579. From the Cott. MS. Calig. C. v. fol. 185 . . . .16 12. From the Bame to the Earl ok Leicester; intellig
16	16	312	VI	k, 22 Oct. 1579. From the Cott. MS. Calig. C. v. fol. 185 . . . .16 12. From the Bame to the Earl ok Leicester; intelligence; Borne mention of an i
12	12	314	VI	2 Oct. 1579. From the Cott. MS. Calig. C. v. fol. 185 . . . .16 12. From the Bame to the Earl ok Leicester; intelligence; Borne mention of an intend
80	80	317	VI	ce; Borne mention of an intended match with Denmark. Dat. Berwick, •"Hi .Ian. 1579-80. From the Cott. MS. Calig. C. in. foL 532. (Orig.) 18 1.'3. From the same 
532	532	319	VI	ark. Dat. Berwick, •"Hi .Ian. 1579-80. From the Cott. MS. Calig. C. in. foL 532. (Orig.) 18 1.'3. From the same to the same; various news. Dat. Berwick, 20 Feb. 
18	18	319	VI	ck, •"Hi .Ian. 1579-80. From the Cott. MS. Calig. C. in. foL 532. (Orig.) 18 1.'3. From the same to the same; various news. Dat. Berwick, 20 Feb. 1579-80. From 
1	1	321	VI	•"Hi .Ian. 1579-80. From the Cott. MS. Calig. C. in. foL 532. (Orig.) 18 1.'3. From the same to the same; various news. Dat. Berwick, 20 Feb. 1579-80. From the
3	3	321	VI	i .Ian. 1579-80. From the Cott. MS. Calig. C. in. foL 532. (Orig.) 18 1.'3. From the same to the same; various news. Dat. Berwick, 20 Feb. 1579-80. From the C
20	20	322	VI	 foL 532. (Orig.) 18 1.'3. From the same to the same; various news. Dat. Berwick, 20 Feb. 1579-80. From the Cott. MS. Calig. C. ill. fol. 584. (Orig.) 19 14. From t
80	80	322	VI	(Orig.) 18 1.'3. From the same to the same; various news. Dat. Berwick, 20 Feb. 1579-80. From the Cott. MS. Calig. C. ill. fol. 584. (Orig.) 19 14. From the same to L
584	584	323	VI	 various news. Dat. Berwick, 20 Feb. 1579-80. From the Cott. MS. Calig. C. ill. fol. 584. (Orig.) 19 14. From the same to Loud Burghley; reports of a plot of Lenox and
19	19	323	VI	at. Berwick, 20 Feb. 1579-80. From the Cott. MS. Calig. C. ill. fol. 584. (Orig.) 19 14. From the same to Loud Burghley; reports of a plot of Lenox and his friends t
14	14	325	VI	Berwick, 20 Feb. 1579-80. From the Cott. MS. Calig. C. ill. fol. 584. (Orig.) 19 14. From the same to Loud Burghley; reports of a plot of Lenox and his friends to ru
2	2	329	VI	y arrived from France, raise the hopes of Queen Mary's and the Roman party, &C Dat. 2 April, 1580. From the Cott, MS. Calig. C. vi. foL 1 22 15. From the same to Secr
1	1	330	VI	 and the Roman party, &C Dat. 2 April, 1580. From the Cott, MS. Calig. C. vi. foL 1 22 15. From the same to Secretary Walsingham; chiefly about the Earl of Morton ; 
22	22	330	VI	nd the Roman party, &C Dat. 2 April, 1580. From the Cott, MS. Calig. C. vi. foL 1 22 15. From the same to Secretary Walsingham; chiefly about the Earl of Morton ; he 
15	15	332	VI	he Roman party, &C Dat. 2 April, 1580. From the Cott, MS. Calig. C. vi. foL 1 22 15. From the same to Secretary Walsingham; chiefly about the Earl of Morton ; he jirop
5	5	335	VI	f Morton ; he jiroposes to have a guard; is going on a progress, \c. Dat. Berwick, 5 April, 1580. From the Cott. MS. Calig. C. vi. fol. 4. (Orig.) . . 
4	4	336	VI	 a progress, \c. Dat. Berwick, 5 April, 1580. From the Cott. MS. Calig. C. vi. fol. 4. (Orig.) . . .23 16. From Q\ i i \ Elizabeth to Robert
23	23	336	VI	pril, 1580. From the Cott. MS. Calig. C. vi. fol. 4. (Orig.) . . .23 16. From Q\ i i \ Elizabeth to Robert Bowes, under the hand of Secr
16	16	338	VI	 1580. From the Cott. MS. Calig. C. vi. fol. 4. (Orig.) . . .23 16. From Q\ i i \ Elizabeth to Robert Bowes, under the hand of Secretary
16	16	342	VI	 with a letter from her, and give him information concerning the late troubles. Dat. 16 April, 1580. From the Cot) MS. Calig. C. vi. fol. 16 . 26 17. From the sa
16	16	343	VI	g the late troubles. Dat. 16 April, 1580. From the Cot) MS. Calig. C. vi. fol. 16 . 26 17. From the same to King James VI. Bent by Robert Bowes; recommending 
26	26	343	VI	te troubles. Dat. 16 April, 1580. From the Cot) MS. Calig. C. vi. fol. 16 . 26 17. From the same to King James VI. Bent by Robert Bowes; recommending Bowes a- 
17	17	345	VI	roubles. Dat. 16 April, 1580. From the Cot) MS. Calig. C. vi. fol. 16 . 26 17. From the same to King James VI. Bent by Robert Bowes; recommending Bowes a- medi
1	1	349	VI	Bent by Robert Bowes; recommending Bowes a- mediator in the late troubles. Dat. 1'- kprOa 1580. From the Cott. MS. Calig. C. vi. fol. 16 27 js. From R.OBER
16	16	349	VI	e late troubles. Dat. 1'- kprOa 1580. From the Cott. MS. Calig. C. vi. fol. 16 27 js. From R.OBER1 Bowse to Sir Francis Walsingham; about the Struggles
27	27	349	VI	 troubles. Dat. 1'- kprOa 1580. From the Cott. MS. Calig. C. vi. fol. 16 27 js. From R.OBER1 Bowse to Sir Francis Walsingham; about the Struggles of t
16	16	359	VI	ries expected there; Angus on the Borders. &c. CONTENTS. xiii Dat. Berwick, 16 April, 1.580. From the Cott. MS. Calig. C. vi. fol. 10. (Orig.) .28 19. Letter f
1	1	359	VI	ted there; Angus on the Borders. &c. CONTENTS. xiii Dat. Berwick, 16 April, 1.580. From the Cott. MS. Calig. C. vi. fol. 10. (Orig.) .28 19. Letter from Lord 
580	580	359	VI	d there; Angus on the Borders. &c. CONTENTS. xiii Dat. Berwick, 16 April, 1.580. From the Cott. MS. Calig. C. vi. fol. 10. (Orig.) .28 19. Letter from Lord Burg
10	10	360	VI	CONTENTS. xiii Dat. Berwick, 16 April, 1.580. From the Cott. MS. Calig. C. vi. fol. 10. (Orig.) .28 19. Letter from Lord Burghley and Secretary Walsingiiam to Robert Bow
28	28	360	VI	 Dat. Berwick, 16 April, 1.580. From the Cott. MS. Calig. C. vi. fol. 10. (Orig.) .28 19. Letter from Lord Burghley and Secretary Walsingiiam to Robert Bowes ; instructio
19	19	362	VI	 Berwick, 16 April, 1.580. From the Cott. MS. Calig. C. vi. fol. 10. (Orig.) .28 19. Letter from Lord Burghley and Secretary Walsingiiam to Robert Bowes ; instructions f
17	17	368	VI	ds, and cautions about the attempts of the French to carry off the young King. Dat, 17 April, 1580. From the Cott. MS. Calig. C. vi. fol. 17, b 31 20. From Secretary Wal
17	17	369	VI	rry off the young King. Dat, 17 April, 1580. From the Cott. MS. Calig. C. vi. fol. 17, b 31 20. From Secretary Walsingam to the same ; instructing him how to conduct hi
31	31	369	VI	f the young King. Dat, 17 April, 1580. From the Cott. MS. Calig. C. vi. fol. 17, b 31 20. From Secretary Walsingam to the same ; instructing him how to conduct himself 
20	20	371	VI	e young King. Dat, 17 April, 1580. From the Cott. MS. Calig. C. vi. fol. 17, b 31 20. From Secretary Walsingam to the same ; instructing him how to conduct himself towar
17	17	373	VI	lsingam to the same ; instructing him how to conduct himself towards D'Aubigny. Dat, 17 April, 1580. From the Cott. MS. Calig. C. vi. fol. lG,b. . 31 21. Instruction
31	31	374	VI	 D'Aubigny. Dat, 17 April, 1580. From the Cott. MS. Calig. C. vi. fol. lG,b. . 31 21. Instructions for Mr. Bowes, drawn by Secretary Walsing- iiam ; charging him to 
21	21	376	VI	bigny. Dat, 17 April, 1580. From the Cott. MS. Calig. C. vi. fol. lG,b. . 31 21. Instructions for Mr. Bowes, drawn by Secretary Walsing- iiam ; charging him to do a
19	19	380	VI	pplant D'Au- bigny, and to induce the King still to depend upon Queen Elizabeth. Dat. 19 April, 1580. From the Cott. MS. Cahg. C. vi. fol. 12 . 31 22. Di*aft of letter of
12	12	381	VI	end upon Queen Elizabeth. Dat. 19 April, 1580. From the Cott. MS. Cahg. C. vi. fol. 12 . 31 22. Di*aft of letter of credit of Queen Elizabeth in favour of Robert Bowes
31	31	381	VI	pon Queen Elizabeth. Dat. 19 April, 1580. From the Cott. MS. Cahg. C. vi. fol. 12 . 31 22. Di*aft of letter of credit of Queen Elizabeth in favour of Robert Bowes, sen
22	22	383	VI	Queen Elizabeth. Dat. 19 April, 1580. From the Cott. MS. Cahg. C. vi. fol. 12 . 31 22. Di*aft of letter of credit of Queen Elizabeth in favour of Robert Bowes, sent do
571	571	386	VI	nt down to the Scottish court. Dat. 1580. From the Cott. MS. Calig. C. in. fol. 571 . 37 23. Letter from Robert Bowes to Secretary Walsingham and Lord Burghley; ne
37	37	386	VI	 the Scottish court. Dat. 1580. From the Cott. MS. Calig. C. in. fol. 571 . 37 23. Letter from Robert Bowes to Secretary Walsingham and Lord Burghley; news about 
23	23	388	VI	 Scottish court. Dat. 1580. From the Cott. MS. Calig. C. in. fol. 571 . 37 23. Letter from Robert Bowes to Secretary Walsingham and Lord Burghley; news about the 
27	27	391	VI	 and Lord Burghley; news about the motions of Morton, Lennox, and others. Dat, Edinb. 27 April, 1580. From the Cott. MS. Calig. C. vi. fol. 18, b 38 24. From the same to 
18	18	392	VI	nnox, and others. Dat, Edinb. 27 April, 1580. From the Cott. MS. Calig. C. vi. fol. 18, b 38 24. From the same to the same ; stating at large his conferences with the 
38	38	392	VI	and others. Dat, Edinb. 27 April, 1580. From the Cott. MS. Calig. C. vi. fol. 18, b 38 24. From the same to the same ; stating at large his conferences with the Earl 
24	24	394	VI	others. Dat, Edinb. 27 April, 1580. From the Cott. MS. Calig. C. vi. fol. 18, b 38 24. From the same to the same ; stating at large his conferences with the Earl of L
3	3	399	VI	ning several of the Scottish nobility : the King's intended progress. Dat. Stir- ling, 3 May, 1580. From the Cott. MS. Calig. C. vi. fol. 24. (Orig.) 39 25. From Sir 
24	24	400	VI	tended progress. Dat. Stir- ling, 3 May, 1580. From the Cott. MS. Calig. C. vi. fol. 24. (Orig.) 39 25. From Sir Francis Walsingham to Robert Bowes, communicating
39	39	400	VI	. Dat. Stir- ling, 3 May, 1580. From the Cott. MS. Calig. C. vi. fol. 24. (Orig.) 39 25. From Sir Francis Walsingham to Robert Bowes, communicating several alarm
25	25	402	VI	t. Stir- ling, 3 May, 1580. From the Cott. MS. Calig. C. vi. fol. 24. (Orig.) 39 25. From Sir Francis Walsingham to Robert Bowes, communicating several alarming 
3	3	406	VI	erning the dis- content of the people in Scotland ; the intrigues of Spain, &c. Dat. 3 Mav, 1580. From the Cott. MS. Calig. C. vi. fol. 20 48 26. From Robert Bowes 
20	20	407	VI	he intrigues of Spain, &c. Dat. 3 Mav, 1580. From the Cott. MS. Calig. C. vi. fol. 20 48 26. From Robert Bowes to Lord Burghley and Sir Francis Walsingham ;
48	48	407	VI	 intrigues of Spain, &c. Dat. 3 Mav, 1580. From the Cott. MS. Calig. C. vi. fol. 20 48 26. From Robert Bowes to Lord Burghley and Sir Francis Walsingham ; r
26	26	409	VI	igues of Spain, &c. Dat. 3 Mav, 1580. From the Cott. MS. Calig. C. vi. fol. 20 48 26. From Robert Bowes to Lord Burghley and Sir Francis Walsingham ; report
10	10	414	VI	ormation concerning Morton and Argyll ; Lennox turned Protestant, &c. Dat. at Stirling, 10 May, 1580. From the Cott. MS. Calig. C. vi. fol. 28. (Orig.) . . . 
28	28	415	VI	otestant, &c. Dat. at Stirling, 10 May, 1580. From the Cott. MS. Calig. C. vi. fol. 28. (Orig.) . . . . . .50 27. From the same to the
50	50	415	VI	t. MS. Calig. C. vi. fol. 28. (Orig.) . . . . . .50 27. From the same to the Earl of Leicester ; reports that the late suspicions amo
27	27	417	VI	S. Calig. C. vi. fol. 28. (Orig.) . . . . . .50 27. From the same to the Earl of Leicester ; reports that the late suspicions among t
16	16	421	VI	d by the King, but not effected ; intelligence about Lennox, Morton, &c. Dat. Edinb. 16 Mav, 1580. From the Cott. MS. Calij*. C. in. fol. 567 . * . . V_» 
567	567	422	VI	nnox, Morton, &c. Dat. Edinb. 16 Mav, 1580. From the Cott. MS. Calij*. C. in. fol. 567 . * . . V_» \iv CONTBN1 PAGE 28. Letter from the same to Secri 
28	28	429	VI	 Cott. MS. Calij*. C. in. fol. 567 . * . . V_» \iv CONTBN1 PAGE 28. Letter from the same to Secri i im Walsingham; intel- ligence about the Bishop of 
16	16	432	VI	alsingham; intel- ligence about the Bishop of Roes, Fernihurst, Lennox, &c D . Bdinb. 16 May, 1580. From the Cott. MS. Calig. ( . .fol. 38,b. 6:2 29. From the same to 
38	38	433	VI	hurst, Lennox, &c D . Bdinb. 16 May, 1580. From the Cott. MS. Calig. ( . .fol. 38,b. 6:2 29. From the same to Lord Bi rghi i\ and Sib Fh incis Wal- ^i\<.ii \m ; 
6	6	433	VI	 Lennox, &c D . Bdinb. 16 May, 1580. From the Cott. MS. Calig. ( . .fol. 38,b. 6:2 29. From the same to Lord Bi rghi i\ and Sib Fh incis Wal- ^i\<.ii \m ; aboul
2	2	433	VI	Lennox, &c D . Bdinb. 16 May, 1580. From the Cott. MS. Calig. ( . .fol. 38,b. 6:2 29. From the same to Lord Bi rghi i\ and Sib Fh incis Wal- ^i\<.ii \m ; aboul 
29	29	435	VI	ox, &c D . Bdinb. 16 May, 1580. From the Cott. MS. Calig. ( . .fol. 38,b. 6:2 29. From the same to Lord Bi rghi i\ and Sib Fh incis Wal- ^i\<.ii \m ; aboul Lenno
16	16	438	VI	 aboul Lennox's proceedings and the disposition of the Scottish nobles. Dat. Edinb. 16 May, 1580. From the .. MS. Calig. C. vi. fol. 36 63 the same to the Bame ; ac
36	36	440	VI	 Scottish nobles. Dat. Edinb. 16 May, 1580. From the .. MS. Calig. C. vi. fol. 36 63 the same to the Bame ; acquaints them of some intended alterations in the Btate 
63	63	440	VI	ottish nobles. Dat. Edinb. 16 May, 1580. From the .. MS. Calig. C. vi. fol. 36 63 the same to the Bame ; acquaints them of some intended alterations in the Btate of
17	17	443	VI	 ; acquaints them of some intended alterations in the Btate of Scotland. Dat. Edinb. 17 May, 1580. From the Cott. MS. Calig. ('. \ i. fol. 38. (Orig.) 67 31. From the sa
38	38	444	VI	ate of Scotland. Dat. Edinb. 17 May, 1580. From the Cott. MS. Calig. ('. \ i. fol. 38. (Orig.) 67 31. From the same to Sir Francis Walsingham; Morton ready to employ hims
67	67	444	VI	and. Dat. Edinb. 17 May, 1580. From the Cott. MS. Calig. ('. \ i. fol. 38. (Orig.) 67 31. From the same to Sir Francis Walsingham; Morton ready to employ himself in a ce
31	31	445	VI	 Dat. Edinb. 17 May, 1580. From the Cott. MS. Calig. ('. \ i. fol. 38. (Orig.) 67 31. From the same to Sir Francis Walsingham; Morton ready to employ himself in a certai
23	23	447	VI	Walsingham; Morton ready to employ himself in a certain enterprise; Lennox icious. Dat 23 May, L580. From the Cott. MS. Calig. C. vi. fol. 89. (An extract.) . . 
89	89	448	VI	 enterprise; Lennox icious. Dat 23 May, L580. From the Cott. MS. Calig. C. vi. fol. 89. (An extract.) . . . .68 the same i<> Lord Burghle? and Sir 
68	68	448	VI	rom the Cott. MS. Calig. C. vi. fol. 89. (An extract.) . . . .68 the same i<> Lord Burghle? and Sir Francis Wal- bingham ; concerning the intended a
23	23	452	VI	erning the intended alteration in Scotland; the manoeuvres of Lennox, &c Dat. Berwick, 23 May, 1580. From the Cott. Ms. Calig. C. vi. fol. 40. (Orig.) 69 From Robert Bowes 
40	40	453	VI	es of Lennox, &c Dat. Berwick, 23 May, 1580. From the Cott. Ms. Calig. C. vi. fol. 40. (Orig.) 69 From Robert Bowes to Secretary Walsingham; about the impending alteration 
69	69	453	VI	, &c Dat. Berwick, 23 May, 1580. From the Cott. Ms. Calig. C. vi. fol. 40. (Orig.) 69 From Robert Bowes to Secretary Walsingham; about the impending alteration in the gover
3	3	456	VI	ngham; about the impending alteration in the government of Scot- land. Dat. Berwick, 3 .Inn.. 1580. From the Cott. MS. Calig. C. vi. foL45 74 :54. From the same to 
74	74	458	VI	cot- land. Dat. Berwick, 3 .Inn.. 1580. From the Cott. MS. Calig. C. vi. foL45 74 :54. From the same to Lord Bi rghley and Sir Francis Wal- singham; about affairs 
54	54	460	VI	land. Dat. Berwick, 3 .Inn.. 1580. From the Cott. MS. Calig. C. vi. foL45 74 :54. From the same to Lord Bi rghley and Sir Francis Wal- singham; about affairs in 
3	3	463	VI	Stirling, or in the keeping of them that remain about him.'" Dat. Berwick, 3 June, 1580. m the Cott. MS. Calig. C. vi. fol. 42. (Orig.) . . 7
42	42	464	VI	t him.'" Dat. Berwick, 3 June, 1580. m the Cott. MS. Calig. C. vi. fol. 42. (Orig.) . . 76 35. From the Bame to Sib F. Walsingh \m; Morton and
76	76	464	VI	3 June, 1580. m the Cott. MS. Calig. C. vi. fol. 42. (Orig.) . . 76 35. From the Bame to Sib F. Walsingh \m; Morton and Queen Elizabeth's friends perp
35	35	466	VI	June, 1580. m the Cott. MS. Calig. C. vi. fol. 42. (Orig.) . . 76 35. From the Bame to Sib F. Walsingh \m; Morton and Queen Elizabeth's friends perplexed
46	46	470	VI	r want of timely assistance. Dat. L5June, 1580. From theCott. Ms. Calig. C. vi. fol. 46, b 80 36. From the Bame to the Earl of Leicester; reporting the danger of some 
