# HTRC Extracted Features (data.htrc.illinois.edu/ef-api/volumes/nnc2.ark+=13960=t1gh9nc18/pages?pos=false), fetched 24 Sept 2026
# CSP Scotland vol. 6 (Boyd 1910), HathiTrust htid nnc2.ark:/13960/t1gh9nc18 (Columbia copy). Bag of words per scan page, header+body+footer merged;
# printed page = header number. Running text NOT read (babel.hathitrust.org blocked). Used by AUDIT.md section 4.
seq	printed_page	token	count
413	369	so	1
413	369	soon	1
413	369	sought	1
413	369	sovereigns	1
413	369	spoiled	1
413	369	such	3
413	369	sufficiency	1
413	369	sundry	2
413	369	supplication	1
413	369	suspected	1
413	369	testimony	1
413	369	thanks	1
413	369	that	8
413	369	the	31
413	369	thereby	2
413	369	therefore	2
413	369	thereof	2
413	369	these	1
413	369	things	2
413	369	this	2
413	369	those	1
413	369	time	1
413	369	to	35
413	369	understood	1
413	369	view	1
413	369	vouchsafe	1
413	369	warrant	1
413	369	well	2
413	369	whereas	1
413	369	which	1
413	369	who	2
413	369	will	1
413	369	wisdom	1
413	369	with	3
413	369	within	1
413	369	worth	1
413	369	yet	3
413	369	yielded	1
413	369	you	1
413	369	your	5
413	369	yourself	1
413	369	z	1
414	370	!	1
414	370	'	3
414	370	'd	1
414	370	's	4
414	370	,	23
414	370	-LSB-	2
414	370	-RSB-	3
414	370	.	38
414	370	.31	1
414	370	1583	1
414	370	189b	1
414	370	196	1
414	370	2	1
414	370	3	1
414	370	370	1
414	370	388	1
414	370	389	1
414	370	6	1
414	370	7	1
414	370	:	1
414	370	;	1
414	370	?	1
414	370	Addressed	1
414	370	April	2
414	370	Beale	1
414	370	Begs	2
414	370	Bowes	2
414	370	But	1
414	370	By	1
414	370	CALENDAR	1
414	370	Ca	1
414	370	Caiig	1
414	370	Charges	1
414	370	Cott	1
414	370	DE	1
414	370	Edinburgh	1
414	370	Elizabeth	1
414	370	England	5
414	370	France	4
414	370	French	1
414	370	God	1
414	370	I	2
414	370	IOai-1	1
414	370	Iclli-r	1
414	370	Indorsed	1
414	370	King	1
414	370	Likewise	1
414	370	London	1
414	370	MaUVISSIERE	1
414	370	March	1
414	370	Monsieur	1
414	370	Mr.	1
414	370	Nau	1
414	370	OF	1
414	370	Oopii	1
414	370	PAPERS	1
414	370	Prince	1
414	370	Princesses	1
414	370	Queen	13
414	370	Received	2
414	370	Requests	2
414	370	Robert	2
414	370	SCOTTISH	1
414	370	Scotla/id	1
414	370	Scotland	6
414	370	Scots	4
414	370	She	1
414	370	Shrewsbury	1
414	370	Signed	1
414	370	TO	1
414	370	The	1
414	370	VII.	1
414	370	Vil	1
414	370	WaLSINGHAM	1
414	370	Walsinoiiam	1
414	370	Wherein	1
414	370	\	2
414	370	^	4
414	370	`	2
414	370	a	5
414	370	account	1
414	370	actions	1
414	370	advertise	1
414	370	affairs	4
414	370	affection	1
414	370	after	1
414	370	ago	1
414	370	all	4
414	370	allow	1
414	370	also	2
414	370	always	1
414	370	amity	1
414	370	and	18
414	370	are	1
414	370	as	7
414	370	ascertain	1
414	370	asks	1
414	370	assures	1
414	370	at	1
414	370	badness	1
414	370	baths	1
414	370	be	6
414	370	bear	1
414	370	because	1
414	370	begs	2
414	370	behalf	1
414	370	behaviour	1
414	370	believes	1
414	370	beseech	1
414	370	best	2
414	370	better	1
414	370	between	4
414	370	bitter	1
414	370	body	1
414	370	boy	1
414	370	by	2
414	370	calls	1
414	370	can	1
414	370	caused	1
414	370	certain	1
414	370	charge	1
414	370	choose	1
414	370	church	2
414	370	commandment	1
414	370	constantly	1
414	370	content	1
414	370	could	1
414	370	cure	1
414	370	days	1
414	370	desire	1
414	370	desired	1
414	370	df	1
414	370	diet	1
414	370	difficulties	1
414	370	do	2
414	370	earl	1
414	370	end	1
414	370	entire	1
414	370	evening	1
414	370	everyone	1
414	370	exercise	1
414	370	faithful	1
414	370	fear	1
414	370	fears	1
414	370	finds	1
414	370	fol	2
414	370	for	8
414	370	from	3
414	370	gall	1
414	370	generated	1
414	370	give	1
414	370	gives	1
414	370	good	5
414	370	goods	1
414	370	grant	1
414	370	great	2
414	370	happily	1
414	370	has	3
414	370	have	1
414	370	having	1
414	370	he	13
414	370	her	16
414	370	here	1
414	370	him	18
414	370	his	6
414	370	honey	1
414	370	honour	1
414	370	honourable	1
414	370	humbly	1
414	370	if	1
414	370	iii,-i	1
414	370	importuning	1
414	370	in	11
414	370	is	2
414	370	it	7
414	370	ith	1
414	370	jiacket	1
414	370	jip	1
414	370	l0N.SIEUR	1
414	370	leisure	1
414	370	letter	3
414	370	liberty	1
414	370	lie	1
414	370	maintained	1
414	370	majestj	1
414	370	majesty	3
414	370	make	1
414	370	maladies	1
414	370	man	2
414	370	me	1
414	370	mistress	1
414	370	more	1
414	370	much	1
414	370	name	2
414	370	near	1
414	370	no	1
414	370	not	4
414	370	of	33
414	370	offices	1
414	370	on	1
414	370	one	1
414	370	only	2
414	370	or	1
414	370	order	1
414	370	other	1
414	370	ott	1
414	370	ought	1
414	370	oung	1
414	370	out	1
414	370	p.	1
414	370	packet	1
414	370	part	1
414	370	peace	1
414	370	people	1
414	370	place	1
414	370	please	3
414	370	pleased	1
414	370	pleasure	1
414	370	poor	1
414	370	possible	1
414	370	prejudice	1
414	370	present	1
414	370	proceeded	1
414	370	prosper	1
414	370	provided	1
414	370	put	1
414	370	quiet	1
414	370	quite	1
414	370	receivi	1
414	370	recourse	1
414	370	regard	2
414	370	regards	1
414	370	reign	1
414	370	relations	1
414	370	religion	1
414	370	render	2
414	370	requesting	1
414	370	said	1
414	370	secretarj	1
414	370	secretly	1
414	370	see	2
414	370	seeing	1
414	370	seems	1
414	370	send	3
414	370	sent	1
414	370	servant	2
414	370	servants	1
414	370	serve	1
414	370	serving	1
414	370	set	1
414	370	shall	5
414	370	she	2
414	370	since	1
414	370	slave	1
414	370	small	1
414	370	so	3
414	370	some	1
414	370	something	1
414	370	soon	1
414	370	st	1
414	370	such	1
414	370	suffice	1
414	370	supping	1
414	370	sure	1
414	370	surety	1
414	370	suspicious	1
414	370	take	1
414	370	thank	1
414	370	that	10
414	370	the	37
414	370	these	1
414	370	this	1
414	370	thorns	1
414	370	time	1
414	370	tlu	1
414	370	to	39
414	370	towards	1
414	370	treat	1
414	370	trouble	1
414	370	two	3
414	370	understanding	2
414	370	union	1
414	370	united	1
414	370	very	1
414	370	walks	1
414	370	way	1
414	370	well	2
414	370	were	1
414	370	what	1
414	370	when	1
414	370	which	6
414	370	who	1
414	370	whom	2
414	370	whose	1
414	370	will	6
414	370	with	5
414	370	without	1
414	370	witness	1
414	370	women	1
414	370	would	1
414	370	write	1
414	370	writes	1
414	370	you	2
414	370	your	1
415	371	''	32
415	371	,	35
415	371	-	2
415	371	--	2
415	371	-LSB-	3
415	371	-RSB-	3
415	371	.	31
415	371	000	1
415	371	1583	1
415	371	28th	1
415	371	32	1
415	371	371	1
415	371	390	1
415	371	4	1
415	371	54	1
415	371	870	7
415	371	9	1
415	371	91	3
415	371	:	1
415	371	Albeit	1
415	371	April	1
415	371	Besides	1
415	371	Bowes	2
415	371	By	2
415	371	CALENDAR	1
415	371	Cary	1
415	371	Cobhani	1
415	371	Colonel	2
415	371	Davison	1
415	371	Desires	1
415	371	During	1
415	371	Edinburgh	1
415	371	Elizabeth	1
415	371	England	2
415	371	Finds	1
415	371	Flanders	1
415	371	For	1
415	371	French	1
415	371	Geoi-ge	1
415	371	Glencairn	2
415	371	He	2
415	371	Henry	1
415	371	His	2
415	371	Holograph	1
415	371	Huntly	1
415	371	Is	1
415	371	It	1
415	371	James	1
415	371	Lord	1
415	371	Lowsone	1
415	371	Maijieville	1
415	371	Maineville	1
415	371	March	1
415	371	Mauvissi	1
415	371	Montrose	1
415	371	Mr.	2
415	371	No	1
415	371	OP	1
415	371	PAPERS	1
415	371	Queen	2
415	371	Religion	1
415	371	Robert	1
415	371	SCOTTISH	1
415	371	Scotland	1
415	371	Signed	1
415	371	Sir	2
415	371	Smallet	2
415	371	Spirit	1
415	371	Stewart	2
415	371	Subscribes	1
415	371	The	2
415	371	Thinks	1
415	371	Walsingham	1
415	371	Whereas	1
415	371	William	1
415	371	^	1
415	371	a	1
415	371	abode	1
415	371	acquaint	2
415	371	action	1
415	371	address	1
415	371	addressed	1
415	371	advantage	2
415	371	adventure	1
415	371	advertise	1
415	371	advice	2
415	371	advise	1
415	371	against	1
415	371	all	2
415	371	also	1
415	371	and	18
415	371	any	2
415	371	arising	1
415	371	as	2
415	371	be	15
415	371	before	1
415	371	behoves	1
415	371	best	3
415	371	better	2
415	371	bring	2
415	371	but	1
415	371	by	4
415	371	can	2
415	371	case	1
415	371	cause	1
415	371	chief	1
415	371	cipher	1
415	371	cold	1
415	371	come	3
415	371	commendations	2
415	371	commended	1
415	371	complaints	1
415	371	confederates	1
415	371	conservator	1
415	371	convenient	2
415	371	conveyed	1
415	371	countenance	1
415	371	course	4
415	371	credible	1
415	371	credit	3
415	371	daily	1
415	371	danger	2
415	371	dangers	1
415	371	dealing	1
415	371	dealings	1
415	371	delivered	1
415	371	described	1
415	371	desire	1
415	371	determine	1
415	371	discovered	1
415	371	discovery	1
415	371	discreetly	1
415	371	doings	1
415	371	doubles	1
415	371	ears	1
415	371	effects	1
415	371	either	1
415	371	else	1
415	371	end	1
415	371	enterprisers	1
415	371	entertain	2
415	371	errors	1
415	371	especial	1
415	371	etc.	1
415	371	ever	1
415	371	expectation	1
415	371	faction	1
415	371	fair	1
415	371	favour	1
415	371	find	1
415	371	finds	1
415	371	fit	2
415	371	for	4
415	371	forget	1
415	371	from	4
415	371	full	2
415	371	gear	1
415	371	go	1
415	371	good	3
415	371	great	1
415	371	greedy	1
415	371	guided	1
415	371	had	1
415	371	hand	1
415	371	handle	1
415	371	have	1
415	371	he	11
415	371	hence	1
415	371	here	2
415	371	him	13
415	371	himself	1
415	371	his	9
415	371	holden	2
415	371	honourable	1
415	371	hope	1
415	371	how	1
415	371	humour	1
415	371	immediately	1
415	371	in	8
415	371	inclosed	1
415	371	indorsement	1
415	371	inform	1
415	371	inoportun	1
415	371	into	1
415	371	inwardness	1
415	371	is	5
415	371	it	6
415	371	journey	1
415	371	keep	1
415	371	know	1
415	371	known	1
415	371	last	3
415	371	late	1
415	371	left	1
415	371	letter	2
415	371	letters	1
415	371	little	1
415	371	looked	1
415	371	made	1
415	371	make	1
415	371	man	2
415	371	matter	5
415	371	may	3
415	371	me	1
415	371	mean	1
415	371	men	1
415	371	mentioned	1
415	371	minister	1
415	371	must	1
415	371	needs	2
415	371	neither	1
415	371	noblemen	1
415	371	nor	1
415	371	not	4
415	371	notes	1
415	371	notwithstanding	1
415	371	occurrents	1
415	371	of	26
415	371	offer	1
415	371	offered	1
415	371	on	1
415	371	opinion	2
415	371	or	5
415	371	others	1
415	371	our	2
415	371	packet	1
415	371	part	1
415	371	parties	1
415	371	perceives	1
415	371	piracies	1
415	371	pirates	1
415	371	pitiful	1
415	371	plain	1
415	371	play	1
415	371	pp	1
415	371	practise	1
415	371	prays	1
415	371	presented	1
415	371	preserved	1
415	371	pretence	1
415	371	prevail	1
415	371	proceeding	1
415	371	progress	1
415	371	prone	1
415	371	qualities	1
415	371	rather	1
415	371	re	1
415	371	ready	1
415	371	receive	1
415	371	repair	1
415	371	resolved	1
415	371	return	1
415	371	revocation	1
415	371	reward	1
415	371	right	2
415	371	same	1
415	371	secret	2
415	371	sees	1
415	371	send	1
415	371	sent	1
415	371	service	1
415	371	shall	4
415	371	should	2
415	371	so	1
415	371	some	4
415	371	sorry	1
415	371	sound	1
415	371	speedily	2
415	371	speedy	1
415	371	subtile	1
415	371	success	1
415	371	such	1
415	371	sure	1
415	371	take	1
415	371	tends	1
415	371	than	2
415	371	that	7
415	371	the	35
415	371	their	3
415	371	thereby	1
415	371	therein	1
415	371	thereof	1
415	371	thereon	1
415	371	they	1
415	371	things	1
415	371	thinks	2
415	371	this	5
415	371	to	40
415	371	traffic	1
415	371	trust	1
415	371	trusty	1
415	371	two	1
415	371	understand	1
415	371	used	1
415	371	warily	1
415	371	well	1
415	371	were	1
415	371	what	1
415	371	which	2
415	371	who	1
415	371	will	3
415	371	wished	1
415	371	with	15
415	371	withe	1
415	371	words	1
415	371	writing	1
415	371	yet	1
415	371	your	1
415	371	zow	1
416	572	'	4
416	572	''	19
416	572	,	43
416	572	-	1
416	572	--	1
416	572	-LSB-	2
416	572	-RSB-	2
416	572	.	32
416	572	/	1
416	572	1080	1
416	572	12	2
416	572	1577	1
416	572	1583	1
416	572	2	1
416	572	3-ears	1
416	572	391	1
416	572	392	1
416	572	572	1
416	572	:	1
416	572	;	2
416	572	Achesoun	1
416	572	Addres.scd	1
416	572	Addressed	1
416	572	Amongst	1
416	572	Andrews	1
416	572	April	2
416	572	Bowes	1
416	572	Broadsheet	1
416	572	By	1
416	572	CALENDAR	1
416	572	Chai-les	1
416	572	Christopher	1
416	572	Court	1
416	572	Duke	1
416	572	Edinbui-gh	1
416	572	Edinburgh	2
416	572	Elizabeth	2
416	572	France	2
416	572	Francis	1
416	572	Frenchman	1
416	572	God	1
416	572	Goddis	1
416	572	Guard	1
416	572	Having	1
416	572	He	1
416	572	Henry	1
416	572	Holograph	1
416	572	Holstok	1
416	572	Holyrood	1
416	572	House	1
416	572	I	6
416	572	Indorsed	2
416	572	It	2
416	572	J.	1
416	572	James	2
416	572	John	2
416	572	June	1
416	572	Keyer	1
416	572	Lennox	1
416	572	Livingston	1
416	572	London	1
416	572	Lowestoft	1
416	572	Lowsone	1
416	572	March	1
416	572	Martin	1
416	572	Master	1
416	572	Mr.	2
416	572	OF	1
416	572	Of	1
416	572	PAPERS	1
416	572	Pans	1
416	572	Preston	1
416	572	Provand	1
416	572	R.	1
416	572	Robert	2
416	572	Rochester	1
416	572	SCOTTISH	1
416	572	Scotland	3
416	572	Scottish	1
416	572	Signed	2
416	572	Sir	3
416	572	The	1
416	572	They	1
416	572	Thomas	1
416	572	VI	1
416	572	Voltroller	1
416	572	Walsingham	2
416	572	William	1
416	572	Winter	1
416	572	Woltroller	1
416	572	Word	1
416	572	^	2
416	572	`	1
416	572	``	1
416	572	a	1
416	572	aboard	1
416	572	accorded	1
416	572	according	1
416	572	affectionate	1
416	572	against	1
416	572	agree	1
416	572	agreeable	1
416	572	all	4
416	572	allegit	1
416	572	almaist	1
416	572	amounting	1
416	572	and	25
416	572	any	3
416	572	appealing	1
416	572	appears	2
416	572	at	6
416	572	authors	1
416	572	avale	1
416	572	away	1
416	572	barbarously	1
416	572	be	5
416	572	best	1
416	572	books	1
416	572	bote	1
416	572	bringing	1
416	572	by	10
416	572	calamity	1
416	572	can	1
416	572	careing	1
416	572	carried	1
416	572	cause	2
416	572	certify	1
416	572	city	1
416	572	come	1
416	572	coming	1
416	572	commanders	1
416	572	concord	1
416	572	consideration	1
416	572	convenient	1
416	572	country	1
416	572	deducit	1
416	572	default	1
416	572	division	1
416	572	done	1
416	572	double	1
416	572	due	1
416	572	earnest	1
416	572	edress	1
416	572	eflfect	1
416	572	either	1
416	572	enemies	1
416	572	entertained	1
416	572	equippage	1
416	572	equity	1
416	572	especially	2
416	572	estate	1
416	572	fail	1
416	572	fall	1
416	572	favotir	1
416	572	flie	1
416	572	for	7
416	572	from	2
416	572	gear	1
416	572	give	1
416	572	good	1
416	572	goods	3
416	572	got	1
416	572	gotten	1
416	572	great	2
416	572	had	1
416	572	hands	1
416	572	happening	1
416	572	have	4
416	572	he	2
416	572	heavilj	1
416	572	her	1
416	572	here	1
416	572	heriet	1
416	572	his	2
416	572	hold	1
416	572	homeward	1
416	572	honest	2
416	572	how	1
416	572	hurt	1
416	572	i	1
416	572	in	10
416	572	inconvenience	1
416	572	incurred	1
416	572	inform	1
416	572	information	1
416	572	informers	1
416	572	instance	1
416	572	interest	1
416	572	into	1
416	572	intromitters	1
416	572	is	4
416	572	it	3
416	572	justice	1
416	572	ladening	1
416	572	lament	1
416	572	lamented	1
416	572	last	1
416	572	late	1
416	572	led	1
416	572	letters	1
416	572	like	2
416	572	look	2
416	572	loss	1
416	572	lovittis	1
416	572	manner	1
416	572	matters	1
416	572	may	2
416	572	mean	1
416	572	means	1
416	572	men	3
416	572	merchants	1
416	572	miderstand	1
416	572	minister	1
416	572	month	1
416	572	most	1
416	572	must	2
416	572	na	1
416	572	nearly	1
416	572	not	2
416	572	occasion	1
416	572	of	22
416	572	offers	1
416	572	on	1
416	572	one	2
416	572	or	1
416	572	other	3
416	572	others	1
416	572	our	4
416	572	owners	1
416	572	p.	1
416	572	paper	1
416	572	particular	2
416	572	parts	1
416	572	persuaded	1
416	572	pertenis	1
416	572	pray	1
416	572	privilege	1
416	572	probation	1
416	572	procedit	1
416	572	purposed	1
416	572	read	1
416	572	realm	1
416	572	reasonable	1
416	572	receivers	2
416	572	record	1
416	572	refunded	1
416	572	relief	1
416	572	request	2
416	572	rest	1
416	572	return	2
416	572	right	1
416	572	rint	1
416	572	robbed	1
416	572	said	1
416	572	satisfaction	1
416	572	scaith	1
416	572	secretary	1
416	572	seen	1
416	572	sensyne	1
416	572	servant	2
416	572	set	1
416	572	shall	3
416	572	ships	1
416	572	smal	1
416	572	some	5
416	572	sooner	1
416	572	spent	1
416	572	spoiled	2
416	572	sterling	1
416	572	subjects	1
416	572	suiting	1
416	572	summer	1
416	572	sundry	1
416	572	sustained	1
416	572	taken	1
416	572	thair	1
416	572	than	1
416	572	that	9
416	572	the	17
416	572	their	5
416	572	them	6
416	572	there	1
416	572	therebj	1
416	572	therefor	1
416	572	therein	2
416	572	thereof	2
416	572	these	1
416	572	they	3
416	572	this	2
416	572	time	2
416	572	to	21
416	572	town	1
416	572	trade	1
416	572	tryit	1
416	572	two	2
416	572	tyme	1
416	572	union	1
416	572	unto	1
416	572	us	2
416	572	vice-admiral	1
416	572	violence	1
416	572	was	3
416	572	way	1
416	572	we	2
416	572	wei-e	1
416	572	were	2
416	572	what	1
416	572	when	1
416	572	whereof	2
416	572	which	2
416	572	who	3
416	572	whole	1
416	572	wicked	1
416	572	will	2
416	572	with	3
416	572	within	1
416	572	without	1
416	572	would	1
416	572	write	1
416	572	ws	1
416	572	you	6
416	572	your	5
416	572	§	1
608	564	'	6
608	564	''	3
608	564	's	1
608	564	*	1
608	564	,	39
608	564	-	2
608	564	--	6
608	564	-LSB-	3
608	564	-RCB-	2
608	564	-RRB-	1
608	564	-RSB-	3
608	564	.	31
608	564	1583	1
608	564	1588	1
608	564	2	1
608	564	22nd	1
608	564	27th	1
608	564	297	1
608	564	300	1
608	564	31	1
608	564	564	1
608	564	583	1
608	564	;	1
608	564	Albeit	1
608	564	Andrews	2
608	564	Angus	1
608	564	Began	1
608	564	BoWES	1
608	564	Bowes	1
608	564	Broadsheet	1
608	564	CALENDAR	1
608	564	Calig	1
608	564	Ciilig	1
608	564	CoM	1
608	564	Colonel	1
608	564	Copv	1
608	564	Cott	1
608	564	Council	1
608	564	Dunfermline	1
608	564	Elizabeth	1
608	564	Falkland	1
608	564	Given	1
608	564	IlOBERT	1
608	564	Indorsed	1
608	564	J	1
608	564	July	2
608	564	King	5
608	564	Next	1
608	564	Noted	1
608	564	OF	1
608	564	PAPERS	1
608	564	Perth	1
608	564	SCOTTISH	1
608	564	Secondly	1
608	564	St.	2
608	564	Stewart	1
608	564	TO	1
608	564	Thirdly	1
608	564	To	1
608	564	Told	1
608	564	VII	1
608	564	WaLSINGHAM	1
608	564	Whereupon	1
608	564	Yet	1
608	564	^	4
608	564	`	2
608	564	a	4
608	564	acknowledged	1
608	564	action	1
608	564	addressed	1
608	564	advertise	1
608	564	advertised	1
608	564	afternoon	1
608	564	albeit	1
608	564	all	2
608	564	allegations	1
608	564	allege	1
608	564	alleging	1
608	564	also	1
608	564	alteration	1
608	564	altered	1
608	564	an	1
608	564	and	25
608	564	anects	1
608	564	answer	1
608	564	answered	1
608	564	answers	1
608	564	any	1
608	564	as	2
608	564	assistance	1
608	564	at	4
608	564	attempt	1
608	564	audience	1
608	564	authors	1
608	564	b	1
608	564	back	1
608	564	be	1
608	564	became	1
608	564	because	1
608	564	been	2
608	564	before	6
608	564	behalf	1
608	564	being	2
608	564	brought	1
608	564	bruit	1
608	564	bruits	1
608	564	by	6
608	564	c	1
608	564	cahimnies	1
608	564	called	1
608	564	calling	1
608	564	cause	4
608	564	change	1
608	564	colourable	1
608	564	coming	1
608	564	conceit	2
608	564	concluding	1
608	564	contrary	1
608	564	convention	1
608	564	days	1
608	564	dealing	1
608	564	dealt	1
608	564	deferred	1
608	564	delay	1
608	564	deliberate	1
608	564	desire	1
608	564	devulgat	1
608	564	do	2
608	564	doing	1
608	564	doings	1
608	564	done	1
608	564	driven	2
608	564	ds	1
608	564	earls	1
608	564	either	1
608	564	enter	1
608	564	entry	1
608	564	errors	1
608	564	especially	1
608	564	estate	2
608	564	ever	1
608	564	excused	1
608	564	execution	2
608	564	expedition	1
608	564	fallen	1
608	564	false	1
608	564	favourably	1
608	564	fell	1
608	564	fol	2
608	564	following	1
608	564	for	3
608	564	forces	1
608	564	found	1
608	564	four	1
608	564	freshly	1
608	564	from	2
608	564	full	1
608	564	further	1
608	564	gathei'ed	1
608	564	given	2
608	564	going	1
608	564	good	2
608	564	greater	1
608	564	greatly	1
608	564	grounds	1
608	564	had	5
608	564	hard	2
608	564	has	2
608	564	have	6
608	564	he	15
608	564	head	1
608	564	her	12
608	564	hi.s	1
608	564	him	7
608	564	himself	2
608	564	his	15
608	564	honest	1
608	564	honour	1
608	564	honourable	1
608	564	impudentlj	1
608	564	in	4
608	564	instant	1
608	564	intelligence	1
608	564	intention	1
608	564	into	3
608	564	is	1
608	564	it	4
608	564	j	1
608	564	j-esterday	1
608	564	jjg	1
608	564	just	1
608	564	laid	1
608	564	late	2
608	564	let	1
608	564	letter	1
608	564	letters	1
608	564	levied	1
608	564	llling	1
608	564	long	1
608	564	looking	1
608	564	lords	1
608	564	majesty	8
608	564	maliciouslj	1
608	564	manifest	1
608	564	many	1
608	564	may	1
608	564	might	1
608	564	ministers	1
608	564	mislike	1
608	564	misliked	1
608	564	necessit	1
608	564	no	2
608	564	noblemen	3
608	564	nor	1
608	564	not	1
608	564	nothing	1
608	564	number	1
608	564	occasion	1
608	564	of	21
608	564	often	1
608	564	on	2
608	564	one	1
608	564	only	1
608	564	opening	1
608	564	opportunity	1
608	564	or	2
608	564	other	2
608	564	others	1
608	564	otherwise	1
608	564	our	1
608	564	out	1
608	564	own	1
608	564	particular	1
608	564	plainly	1
608	564	pressed	1
608	564	proceed	1
608	564	proceeded	1
608	564	promise	1
608	564	purpose	1
608	564	purposed	1
608	564	received	1
608	564	recited	1
608	564	reformation	1
608	564	removal	1
608	564	remove	1
608	564	return	1
