page	line	idx	our_token	witness_source	witness_token	type
				f9v	c125	missing-in-ours
				f9v	m8	missing-in-ours
				f9v	y18	missing-in-ours
				f9v	a137	missing-in-ours
				f9v	v211	missing-in-ours
				f9v	m170	missing-in-ours
				f9v	v13	missing-in-ours
				f9v	t296	missing-in-ours
				f9v	d78	missing-in-ours
				f9v	L10	missing-in-ours
				f9v	v7	missing-in-ours
				f9v	t30	missing-in-ours
				f9v	y15	missing-in-ours
				f9v	q21	missing-in-ours
				f9v	L107	missing-in-ours
				f9v	f10	missing-in-ours
				f9v	t296	missing-in-ours
				f9v	t30	missing-in-ours
				f9v	n38	missing-in-ours
				f9v	z9	missing-in-ours
				f9v	c208	missing-in-ours
				f9v	f8	missing-in-ours
				f9v	g44	missing-in-ours
				f9v	t10	missing-in-ours
				f9v	n7	missing-in-ours
				f9v	n60	missing-in-ours
				f9v	p313	missing-in-ours
				f9v	i286	missing-in-ours
				f9v	p5	missing-in-ours
				f9v	q2	missing-in-ours
				f9v	d36	missing-in-ours
				f9v	L47	missing-in-ours
				f9v	L99	missing-in-ours
				f9v	q12	missing-in-ours
				f9v	c242	missing-in-ours
				f9v	t10	missing-in-ours
				f9v	n85	missing-in-ours
				f9v	f75	missing-in-ours
				f9v	L77	missing-in-ours
				f9v	d201	missing-in-ours
				f9v	n8	missing-in-ours
				f9v	s233	missing-in-ours
				f9v	m107	missing-in-ours
				f9v	g233	missing-in-ours
				f9v	c227	missing-in-ours
				f9v	g267	missing-in-ours
				f9v	g106	missing-in-ours
				f9v	m9	missing-in-ours
				f9v	f10	missing-in-ours
				f9v	t41	missing-in-ours
				f9v	z6	missing-in-ours
				f9v	m46	missing-in-ours
				f9v	t74	missing-in-ours
				f9v	s233	missing-in-ours
				f9v	m107	missing-in-ours
				f9v	f75	missing-in-ours
				f9v	L77	missing-in-ours
				f9v	y8	missing-in-ours
				f9v	m170	missing-in-ours
				f9v	v13	missing-in-ours
				f9v	t296	missing-in-ours
				f9v	s346	missing-in-ours
				f9v	h9	missing-in-ours
				f9v	L10	missing-in-ours
				f9v	v116	missing-in-ours
				f9v	d34	missing-in-ours
				f9v	L97	missing-in-ours
				f9v	d78	missing-in-ours
				f9v	m168	missing-in-ours
				f9v	d35	missing-in-ours
				f9v	p255	missing-in-ours
				f9v	L108	missing-in-ours
				f9v	s316	missing-in-ours
				f9v	z6	missing-in-ours
				f9v	t89	missing-in-ours
				f9v	c3	missing-in-ours
				f9v	Q6	missing-in-ours
				f9v	p10	missing-in-ours
				f9v	q7	missing-in-ours
				f9v	n86	missing-in-ours
				f9v	g3	missing-in-ours
				f9v	n5	missing-in-ours
				f9v	p4	missing-in-ours
				f9v	a84	missing-in-ours
				f9v	n6	missing-in-ours
				f9v	t10	missing-in-ours
				f9v	n9	missing-in-ours
				f9v	e82	missing-in-ours
				f9v	z9	missing-in-ours
				f9v	t49	missing-in-ours
				f9v	t41	missing-in-ours
				f9v	s177	missing-in-ours
				f9v	L77	missing-in-ours
				f9v	z15	missing-in-ours
				f9v	y20	missing-in-ours
				f9v	L47	missing-in-ours
				f9v	L99	missing-in-ours
				f9v	m173	missing-in-ours
				f9v	i100	missing-in-ours
				f9v	z15	missing-in-ours
				f9v	s116	missing-in-ours
				f9v	s9	missing-in-ours
				f9v	y18	missing-in-ours
				f9v	L47	missing-in-ours
				f9v	c208	missing-in-ours
				f9v	p228	missing-in-ours
				f9v	g8	missing-in-ours
				f9v	d36	missing-in-ours
				f9v	q44	missing-in-ours
				f9v	c170	missing-in-ours
				f9v	t163	missing-in-ours
				f9v	e82	missing-in-ours
				f9v	i100	missing-in-ours
				f9v	z15	missing-in-ours
				f9v	g113	missing-in-ours
				f9v	t19	missing-in-ours
				f9v	c125	missing-in-ours
				f9v	z6	missing-in-ours
				f9v	m136	missing-in-ours
				f9v	z8	missing-in-ours
				f9v	e7	missing-in-ours
				f9v	c208	missing-in-ours
				f9v	g139	missing-in-ours
				f9v	c170	missing-in-ours
				f9v	q21	missing-in-ours
				f9v	L47	missing-in-ours
				f9v	t92	missing-in-ours
				f9v	s117	missing-in-ours
				f9v	s8	missing-in-ours
				f9v	f213	missing-in-ours
				f9v	n85	missing-in-ours
				f9v	c153	missing-in-ours
				f9v	t30	missing-in-ours
				f9v	n90	missing-in-ours
				f9v	g235	missing-in-ours
				f9v	m29	missing-in-ours
				f9v	e72	missing-in-ours
				f9v	t152	missing-in-ours
				f9v	t30	missing-in-ours
				f9v	y8	missing-in-ours
				f9v	Q13	missing-in-ours
				f9v	L77	missing-in-ours
				f9v	d158	missing-in-ours
				f9v	m213	missing-in-ours
				f9v	t163	missing-in-ours
				f9v	p282	missing-in-ours
				f9v	n9	missing-in-ours
				f9v	Q21	missing-in-ours
				f9v	b114	missing-in-ours
				f9v	a314	missing-in-ours
				f9v	i10	missing-in-ours
				f9v	y15	missing-in-ours
				f9v	f57	missing-in-ours
				f9v	n57	missing-in-ours
				f9v	t41	missing-in-ours
				f9v	i29	missing-in-ours
				f9v	t164	missing-in-ours
				f9v	f4	missing-in-ours
				f9v	p3	missing-in-ours
				f9v	h57	missing-in-ours
				f9v	i249	missing-in-ours
				f9v	m7	missing-in-ours
				f9v	q18	missing-in-ours
				f9v	h32	missing-in-ours
				f9v	s116	missing-in-ours
				f9v	m6	missing-in-ours
				f9v	h29	missing-in-ours
				f9v	p76	missing-in-ours
				f9v	t89	missing-in-ours
				f9v	t30	missing-in-ours
				f9v	c208	missing-in-ours
				f9v	n84	missing-in-ours
				f9v	s292	missing-in-ours
				f9v	e25	missing-in-ours
				f9v	f15	missing-in-ours
				f9v	d35	missing-in-ours
				f9v	L10	missing-in-ours
				f9v	v192	missing-in-ours
				f9v	y15	missing-in-ours
				f9v	p150	missing-in-ours
				f9v	p149	missing-in-ours
				f9v	m107	missing-in-ours
				f9v	n90	missing-in-ours
				f9v	f10	missing-in-ours
				f9v	a127	missing-in-ours
				f9v	p308	missing-in-ours
				f9v	g9	missing-in-ours
				f9v	e75	missing-in-ours
				f9v	i100	missing-in-ours
				f9v	t157	missing-in-ours
				f9v	m170	missing-in-ours
				f9v	s267	missing-in-ours
				f9v	i100	missing-in-ours
				f9v	q49	missing-in-ours
				f9v	n38	missing-in-ours
				f9v	a152	missing-in-ours
				f9v	d10	missing-in-ours
				f9v	L10	missing-in-ours
				f9v	c235	missing-in-ours
				f9v	d270	missing-in-ours
				f9v	h8	missing-in-ours
				f9v	d246	missing-in-ours
				f9v	o72	missing-in-ours
				f9v	f6	missing-in-ours
				f9v	m170	missing-in-ours
				f9v	i100	missing-in-ours
				f9v	g217	missing-in-ours
				f9v	d78	missing-in-ours
				f9v	i58	missing-in-ours
				f9v	v15	missing-in-ours
				f9v	g80	missing-in-ours
				f9v	c136	missing-in-ours
				f9v	h7	missing-in-ours
				f9v	d245	missing-in-ours
				f9v	m170	missing-in-ours
				f9v	p246	missing-in-ours
				f9v	e143	missing-in-ours
				f9v	m107	missing-in-ours
				f9v	i100	missing-in-ours
				f9v	o106	missing-in-ours
				f9v	p149	missing-in-ours
				f9v	p102	missing-in-ours
				f9v	t163	missing-in-ours
