page	line	idx	our_token	witness_source	witness_token	type
f137r	9	3	z9	f9v	z9	equal
f137r	9	4	t49	f9v	t49	equal
f137r	9	5	r41	f9v	t41	replace
f137r	9	6	s177	f9v	s177	equal
f137r	9	7	L27	f9v	L77	replace
f137r	9	8	z15	f9v	z15	equal
f137r	9	9	y20	f9v	y20	equal
f137r	9	10	L47	f9v	L47	equal
f137r	9	11	L99	f9v	L99	equal
f137r	9	12	m173	f9v	m173	equal
f137r	9	13	X			extra-in-ours
f137r	9	14	i100	f9v	i100	equal
f137r	9	15	z15	f9v	z15	equal
f137r	10	1	s116	f9v	s116	equal
f137r	10	2	s9	f9v	s9	equal
f137r	10	3	y18	f9v	y18	equal
f137r	10	4	L47	f9v	L47	equal
f137r	10	5	c208	f9v	c208	equal
f137r	10	6	b228	f9v	p228	replace
f137r	10	7	s8	f9v	g8	replace
f137r	10	8	d36	f9v	d36	equal
f137r	10	9	q44	f9v	q44	equal
f137r	10	10	c170	f9v	c170	equal
f137r	10	11	t163	f9v	t163	equal
f137r	10	12	e82	f9v	e82	equal
f137r	10	13	i100	f9v	i100	equal
f137r	10	14	z15	f9v	z15	equal
f137r	10	15	s113	f9v	g113	replace
f137r	11	1	t19	f9v	t19	equal
f137r	11	2	c125	f9v	c125	equal
f137r	11	3	z6	f9v	z6	equal
f137r	11	4	m136	f9v	m136	equal
f137r	11	5	z8	f9v	z8	equal
f137r	11	6	e7	f9v	e7	equal
f137r	11	7	c208	f9v	c208	equal
f137r	11	8	s139	f9v	g139	replace
f137r	11	9	c170	f9v	c170	equal
f137r	11	10	q21	f9v	q21	equal
f137r	11	11	L47	f9v	L47	equal
f137r	11	12	t92	f9v	t92	equal
f137r	11	13	s117	f9v	s117	equal
f137r	11	14	s8	f9v	s8	equal
f137r	11	15	f213	f9v	f213	equal
f137r	12	1	n85	f9v	n85	equal
f137r	12	2	c153	f9v	c153	equal
f137r	12	3	t30	f9v	t30	equal
f137r	12	4	n90	f9v	n90	equal
f137r	12	5	s235	f9v	g235	replace
f137r	12	6	m29	f9v	m29	equal
f137r	12	7	e72	f9v	e72	equal
f137r	12	8	t152	f9v	t152	equal
f137r	12	9	t30	f9v	t30	equal
f137r	12	10	n8	f9v	y8	replace
f137r	12	11	q13	f9v	Q13	replace
f137r	12	12	L27	f9v	L77	replace
f137r	12	13	d158	f9v	d158	equal
f137r	12	14	m213	f9v	m213	equal
f137r	13	1	t163	f9v	t163	equal
f137r	13	2	p282	f9v	p282	equal
f137r	13	3	n9	f9v	n9	equal
f137r	13	4	q21	f9v	Q21	replace
f137r	13	5	b114	f9v	b114	equal
f137r	13	6	a314	f9v	a314	equal
f137r	13	7	i10	f9v	i10	equal
f137r	13	8	y15	f9v	y15	equal
f137r	13	9	f57	f9v	f57	equal
f137r	13	10	n57	f9v	n57	equal
f137r	13	11	r41	f9v	t41	replace
f137r	13	12	i29	f9v	i29	equal
f137r	13	13	t164	f9v	t164	equal
f137r	13	14	f4	f9v	f4	equal
f137r	14	1	p3	f9v	p3	equal
f137r	14	2	b57	f9v	h57	replace
f137r	14	3	i249	f9v	i249	equal
f137r	14	4	m7	f9v	m7	equal
f137r	14	5	q18	f9v	q18	equal
f137r	14	6	b32	f9v	h32	replace
f137r	14	7	s116	f9v	s116	equal
f137r	14	8	m6	f9v	m6	equal
f137r	14	9	b29	f9v	h29	replace
f137r	14	10	b76	f9v	p76	replace
f137r	14	11	t89	f9v	t89	equal
f137r	14	12	t30	f9v	t30	equal
f137r	14	13	c208	f9v	c208	equal
f137r	14	14	n84	f9v	n84	equal
f137r	14	15	s292	f9v	s292	equal
f137r	15	1	e25	f9v	e25	equal
f137r	15	2	f15	f9v	f15	equal
f137r	15	3	d35	f9v	d35	equal
f137r	15	4	L10	f9v	L10	equal
f137r	15	5	v192	f9v	v192	equal
f137r	15	6	y15	f9v	y15	equal
f137r	15	7	p150	f9v	p150	equal
f137r	15	8	p149	f9v	p149	equal
f137r	15	9	m107	f9v	m107	equal
f137r	15	10	n90	f9v	n90	equal
f137r	15	11	f10	f9v	f10	equal
f137r	15	12	a127	f9v	a127	equal
f137r	15	13	p308	f9v	p308	equal
f137r	15	14	s9	f9v	g9	replace
f137r	15	15	e75	f9v	e75	equal
f137r	16	1	i100	f9v	i100	equal
f137r	16	2	t157	f9v	t157	equal
f137r	16	3	m170	f9v	m170	equal
f137r	16	4	s267	f9v	s267	equal
f137r	16	5	i100	f9v	i100	equal
f137r	16	6	q49	f9v	q49	equal
f137r	16	7	n38	f9v	n38	equal
f137r	16	8	a152	f9v	a152	equal
f137r	16	9	d10	f9v	d10	equal
f137r	16	10	L10	f9v	L10	equal
f137r	16	11	c235	f9v	c235	equal
f137r	16	12	d270	f9v	d270	equal
f137r	16	13	b8	f9v	h8	replace
f137r	16	14	d246	f9v	d246	equal
f137r	17	1	o72	f9v	o72	equal
f137r	17	2	f6	f9v	f6	equal
f137r	17	3	m170	f9v	m170	equal
f137r	17	4	i100	f9v	i100	equal
f137r	17	5	s217	f9v	g217	replace
f137r	17	6	d78	f9v	d78	equal
f137r	17	7	i58	f9v	i58	equal
f137r	17	8	y15	f9v	v15	replace
f137r	17	9	s80	f9v	g80	replace
f137r	17	10	c136	f9v	c136	equal
f137r	17	11	b7	f9v	h7	replace
f137r	17	12	d245	f9v	d245	equal
f137r	17	13	m170	f9v	m170	equal
f137r	17	14	p246	f9v	p246	equal
f137r	18	1	e143	f9v	e143	equal
f137r	18	2	m107	f9v	m107	equal
f137r	18	3	i100	f9v	i100	equal
f137r	18	4	o106	f9v	o106	equal
f137r	18	5	p149	f9v	p149	equal
f137r	18	6	p102	f9v	p102	equal
f137r	18	7	t163	f9v	t163	equal
f137r	18	8	n9	f10r	n9	equal
f137r	18	9	y16	f10r	y16	equal
f137r	18	10	v247	f10r	v247	equal
f137r	18	11	o18	f10r	Q18	replace
f137r	18	12	L27	f10r	L77	replace
f137r	18	13	q13	f10r	q13	equal
f137r	18	14	p282	f10r	p282	equal
f137r	19	1	i10	f10r	i10	equal
f137r	19	2	s330	f10r	s330	equal
f137r	19	3	r41	f10r	t41	replace
f137r	19	4	L10	f10r	L10	equal
f137r	19	5	v166	f10r	v166	equal
f137r	19	6	m172	f10r	m172	equal
f137r	19	7	b73	f10r	h73	replace
f137r	19	8	z8	f10r	z8	equal
f137r	19	9	y15	f10r	y15	equal
f137r	19	10	e118	f10r	e118	equal
f137r	19	11	z9	f10r	z9	equal
f137r	19	12	r41	f10r	r41	equal
f137r	19	13	c109	f10r	c109	equal
f137r	19	14	n106	f10r	n106	equal
f137r	19	15	c170	f10r	c170	equal
f137r	20	1	i100	f10r	i100	equal
f137r	20	2	c320	f10r	c320	equal
f137r	20	3	s6	f10r	s6	equal
f137r	20	4	m211	f10r	m211	equal
f137r	20	5	m140	f10r	m140	equal
f137r	20	6	n38	f10r	n38	equal
f137r	20	7	s9	f10r	s9	equal
f137r	20	8	y17	f10r	y17	equal
f137r	20	9	p149	f10r	p149	equal
f137r	20	10	c234	f10r	c234	equal
f137r	20	11	s7	f10r	s7	equal
f137r	20	12	i100	f10r	i100	equal
f137r	20	13	e159	f10r	g159	replace
f137r	20	14	d78	f10r	d78	equal
f137r	21	1	c170	f10r	c170	equal
f137r	21	2	o119	f10r	o119	equal
f137r	21	3	e25	f10r	e25	equal
f137r	21	4	d9	f10r	D9	replace
f137r	21	5	o8	f10r	o8	equal
f137r	21	6	g10	f10r	g10	equal
f137r	21	7	f9	f10r	f9	equal
f137r	21	8	p292	f10r	p292	equal
f137r	21	9	d29	f10r	v79	replace
f137r	21	10	b80	f10r	b80	equal
f137r	21	11	m9	f10r	m9	equal
f137r	21	12	s2	f10r	s2	equal
f137r	21	13	n38	f10r	n38	equal
f137r	21	14	s291	f10r	s291	equal
f137r	21	15	e72	f10r	g72	replace
f137r	22	1	c227	f10r	c227	equal
f137r	22	2	s10	f10r	s10	equal
f137r	22	3	n6	f10r	n6	equal
f137r	22	4	b57	f10r	b57	equal
f137r	22	5	e7	f10r	e7	equal
f137r	22	6	c10	f10r	c10	equal
f137r	22	7	f6	f10r	f6	equal
f137r	22	8	m140	f10r	m140	equal
f137r	22	9	t89	f10r	t89	equal
f137r	22	10	f2	f10r	f2	equal
f137r	22	11	b4	f10r	h4	replace
f137r	22	12	b152	f10r	p152	replace
f137r	22	13	s138	f10r	s138	equal
f137r	22	14	i246	f10r	i246	equal
f137r	22	15	s233	f10r	s233	equal
f137r	23	1	c170	f10r	c170	equal
f137r	23	2	m107	f10r	m107	equal
f137r	23	3	n38	f10r	n38	equal
f137r	23	4	b224	f10r	v224	replace
f137r	23	5	s139	f10r	s139	equal
f137r	23	6	n86	f10r	n86	equal
f137r	23	7	d10	f10r	d10	equal
f137r	23	8	r41	f10r	t41	replace
f137r	23	9	d137	f10r	a137	replace
f137r	23	10	c325	f10r	c325	equal
f137r	23	11	d205	f10r	d205	equal
f137r	23	12	z7	f10r	z7	equal
f137r	23	13	n9	f10r	n9	equal
f137r	23	14	c170	f10r	c170	equal
f137r	23	15	s10	f10r	s10	equal
f137r	24	1	n6	f10r	n6	equal
f137r	24	2	d37	f10r	d37	equal
f137r	24	3	c148	f10r	c148	equal
f137r	24	4	c170	f10r	c170	equal
f137r	24	5	n89	f10r	n89	equal
f137r	24	6	m170	f10r	m170	equal
f137r	24	7	t152	f10r	t152	equal
f137r	24	8	c10	f10r	t10	replace
f137r	24	9	n86	f10r	n86	equal
f137r	24	10	b246	f10r	p246	replace
f137r	24	11	q10	f10r	q10	equal
f137r	24	12	y14	f10r	y14	equal
f137r	24	13	c170	f10r	c170	equal
f137r	25	1	d47	f10r	d47	equal
f137r	25	2	m7	f10r	m7	equal
f137r	25	3	s191	f10r	s191	equal
f137r	25	4	d282	f10r	d282	equal
f137r	25	5	e75	f10r	e75	equal
f137r	25	6	p53	f10r	p53	equal
f137r	25	7	p149	f10r	p149	equal
f137r	25	8	r41	f10r	r41	equal
f137r	25	9	p92	f10r	a48	replace
f137r	25	10	r41	f10r	Q23	replace
f137r	25	11	a78	f10r	h65	replace
f137r	25	12	q23			replace
f137r	25	13	b65			replace
f137r	25	14	n38	f10r	n38	equal
f137r	26	1	p255	f10r	p255	equal
f137r	26	2	s234	f10r	s234	equal
f137r	26	3	e75	f10r	e75	equal
f137r	26	4	e124	f10r	e124	equal
f137r	26	5	m8	f10r	m8	equal
f137r	26	6	y18	f10r	y18	equal
f137r	26	7	a62	f10r	a62	equal
f137r	26	8	z9	f10r	z9	equal
f137r	26	9	r10	f10r	t10	replace
f137r	26	10	n8	f10r	n8	equal
f137r	26	11	m107	f10r	m107	equal
f137r	26	12	d78	f10r	d78	equal
f137r	26	13	s205	f10r	s205	equal
f137r	27	1	o4	f10r	o4	equal
f137r	27	2	d78	f10r	d78	equal
f137r	27	3	o105	f10r	o105	equal
f137r	27	4	d36	f10r	d36	equal
f137r	27	5	e61	f10r	g61	replace
f137r	27	6	d78	f10r	d78	equal
f137r	27	7	s325	f10r	s325	equal
f137r	27	8	t89	f10r	t89	equal
f137r	27	9	d35	f10r	d35	equal
f137r	27	10	m210	f10r	m210	equal
f137r	27	11	n89	f10r	n89	equal
f137r	27	12	s7	f10r	s7	equal
f137r	27	13	d10	f10r	d10	equal
f137r	27	14	f13	f10r	f13	equal
f137r	27	15	s139	f10r	s139	equal
f137v	1	1	p246	f10r	p246	equal
f137v	1	2	c296	f10r	c296	equal
f137v	1	3	m8	f10r	m8	equal
f137v	1	4	p150	f10r	p150	equal
f137v	1	5	n90	f10r	n90	equal
f137v	1	6	s8	f10r	s8	equal
f137v	1	7	z28	f10r	d282	replace
f137v	1	8	c170	f10r	c170	equal
f137v	1	9	p260	f10r	p260	equal
f137v	1	10	L10	f10r	L10	equal
f137v	1	11	m241	f10r	m241	equal
f137v	1	12	d35	f10r	d35	equal
f137v	1	13	b103	f10r	b103	equal
f137v	2	1	p8	f10r	f8	replace
f137v	2	2	i115	f10r	b115	replace
f137v	2	3	L10	f10r	h10	replace
f137v	2	4	z11	f10r	c211	replace
f137v	2	5	n7	f10r	n7	equal
f137v	2	6	c8	f10r	c8	equal
f137v	2	7	t89	f10r	t89	equal
f137v	2	8	s271	f10r	s271	equal
f137v	2	9	c288	f10r	c288	equal
f137v	2	10	c41	f10r	r41	replace
f137v	2	11	c170	f10r	c170	equal
f137v	2	12	i100	f10r	i100	equal
f137v	2	13	o113	f10r	o113	equal
f137v	2	14	e96	f10r	e96	equal
f137v	2	15	r201	f10r	r201	equal
f137v	3	1	z8	f10r	z8	equal
f137v	3	2	i100	f10r	i100	equal
f137v	3	3	q45	f10r	q45	equal
f137v	3	4	s323	f10r	s323	equal
f137v	3	5	m8	f10r	m8	equal
f137v	3	6	e25	f10r	e25	equal
f137v	3	7	d289	f10r	d289	equal
f137v	3	8	y17	f10r	y17	equal
f137v	3	9	z8	f10r	z8	equal
f137v	3	10	n77	f10r	n77	equal
f137v	3	11	m212	f10r	m212	equal
f137v	3	12	p281	f10r	p281	equal
f137v	3	13	s9	f10r	s9	equal
f137v	3	14	f8	f10r	f8	equal
f137v	3	15	L108	f10r	L108	equal
f137v	3	16	r23	f10r	r232	replace
f137v	4	1	z6	f10r	s6	replace
f137v	4	2	h149	f10r	p149	replace
f137v	4	3	s138	f10r	s138	equal
f137v	4	4	b224	f10r	v224	replace
f137v	4	5	b7	f10r	h7	replace
f137v	4	6	d246	f10r	d246	equal
f137v	4	7	q65	f10r	q65	equal
f137v	4	8	r41	f10r	t41	replace
f137v	4	9	i295	f10r	i295	equal
f137v	4	10	c227	f10r	c227	equal
f137v	4	11	d127	f10r	d127	equal
f137v	4	12	z8	f10r	z8	equal
f137v	4	13	y28	f10r	y28	equal
f137v	4	14	s233	f10r	s233	equal
f137v	5	1	e8	f10r	e8	equal
f137v	5	2	f138	f10r	f138	equal
f137v	5	3	z8	f10r	z9	replace
f137v	5	4	f10	f10r	f10	equal
f137v	5	5	r41	f10r	t41	replace
f137v	5	6	d35	f10r	d35	equal
f137v	5	7	m212	f10r	m212	equal
f137v	5	8	c170	f10r	c170	equal
f137v	5	9	s8	f10r	s8	equal
f137v	5	10	r198	f10r	r198	equal
f137v	5	11	t89	f10r	t89	equal
f137v	5	12	i100	f10r	i100	equal
f137v	5	13	q49	f10r	q49	equal
f137v	5	14	n38	f10r	n38	equal
f137v	5	15	a	f10r	a152	replace
f137v	6	1	h255	f10r	p255	replace
f137v	6	2	p13	f10r	f13	replace
f137v	6	3	c9	f10r	s9	replace
f137v	6	4	h149	f10r	p149	replace
f137v	6	5	i29	f10r	i29	equal
f137v	6	6	c170	f10r	c170	equal
f137v	6	7	y16	f10r	y16	equal
f137v	6	8	p150	f10r	p150	equal
f137v	6	9	d299	f10r	d299	equal
f137v	6	10	b8	f10r	h8	replace
f137v	6	11	t30	f10r	t30	equal
f137v	6	12	L47	f10r	L47	equal
f137v	6	13	e198	f10r	g198	replace
f137v	6	14	n89	f10r	n89	equal
f137v	6	15	s233	f10r	s233	equal
f137v	7	1	p255	f10r	p255	equal
f137v	7	2	e143	f10r	e143	equal
f137v	7	3	s8	f10r	s8	equal
f137v	7	4	e73	f10r	e73	equal
f137v	7	5	o105	f10r	o105	equal
f137v	7	6	q12	f10r	q12	equal
f137v	7	7	n89	f10r	n89	equal
f137v	7	8	s233	f10r	s233	equal
f137v	7	9	p255	f10r	p255	equal
f137v	7	10	c27	f10r	c27	equal
f137v	7	11	z9	f10r	z9	equal
f137v	7	12	r41	f10r	r41	equal
f137v	7	13	s329	f10r	s325	replace
f137v	7	14	b80	f10r	b80	equal
f137v	7	15	L47	f10r	L47	equal
f137v	7	16	i28	f10r	i286	replace
f137v	8	1	s290	f10r	s290	equal
f137v	8	2	c268	f10r	c268	equal
f137v	8	3	z6	f10r	z6	equal
f137v	8	4	t89	f10r	t89	equal
f137v	8	5	y31	f10r	y31	equal
f137v	8	6	p161	f10r	p161	equal
f137v	8	7	m9	f10r	m9	equal
f137v	8	8	d13	f10r	d13	equal
f137v	8	9	c146	f10r	c146	equal
f137v	8	10	b19	f10r	y19	replace
f137v	8	11	d10	f10r	d10	equal
f137v	8	12	a155	f10r	a155	equal
f137v	8	13	i259	f10r	i259	equal
f137v	8	14	n8	f10r	n8	equal
f137v	8	15	a176	f10r	a176	equal
f137v	9	1	c170	f10r	c170	equal
f137v	9	2	n88	f10r	n88	equal
f137v	9	3	f10	f10r	f10	equal
f137v	9	4	c183	f10r	c183	equal
f137v	9	5	p149	f10r	p149	equal
f137v	9	6	m107	f10r	m107	equal
f137v	9	7	p155	f10r	p155	equal
f137v	9	8	f9	f10r	f9	equal
f137v	9	9	m170	f10r	m170	equal
f137v	9	10	d280	f10r	d280	equal
f137v	9	11	z9	f10r	z9	equal
f137v	9	12	s3	f10r	s322	replace
f137v				f10r	s8	replace
f137v				f10r	v26	replace
f137v	10	1	s6	f10r	s6	equal
f137v	10	2	y17	f10r	y17	equal
f137v	10	3	c170	f10r	c170	equal
f137v	10	4	p246	f10r	p246	equal
f137v	10	5	p304	f10r	p304	equal
f137v	10	6	p374	f10r	p344	replace
f137v	10	7	a135	f10r	a135	equal
f137v	10	8	a152	f10r	a152	equal
f137v	10	9	o105	f10r	o105	equal
f137v	10	10	b3	f10r	h73	replace
f137v	10	11	m7	f10r	m7	equal
f137v	10	12	y23	f10r	y23	equal
f137v	10	13	b246	f10r	v246	replace
f137v	10	14	p149	f10r	p149	equal
f137v	11	1	t165	f10r	t155	replace
f137v	11	2	b166	f10r	v166	replace
f137v	11	3	m172	f10r	m172	equal
f137v	11	4	p150	f10r	p150	equal
f137v	11	5	b30	f10r	h30	replace
f137v	11	6	b8	f10r	h8	replace
f137v	11	7	d246	f10r	d246	equal
f137v	11	8	g72	f10r	g72	equal
f137v	11	9	c320	f10r	c320	equal
f137v	11	10	z9	f10r	z9	equal
f137v	11	11	s323	f10r	s325	replace
f137v	11	12	b80	f10r	b80	equal
f137v	11	13	L47	f10r	L47	equal
f137v	11	14	p	f10r	p149	replace
f137v	12	1	i29	f10r	i29	equal
f137v	12	2	m61	f10r	m61	equal
f137v	12	3	m7	f10r	m7	equal
f137v	12	4	m171	f10r	m171	equal
f137v	12	5	y28	f10r	y28	equal
f137v	12	6	d36	f10r	d36	equal
f137v	12	7	c109	f10r	c109	equal
f137v	12	8	m172	f10r	m172	equal
f137v	12	9	m170	f10r	m170	equal
f137v	12	10	p342	f10r	p342	equal
f137v	12	11	r10	f10r	t10	replace
f137v	12	12	s272	f10r	s272	equal
f137v	12	13	s177	f10r	s177	equal
f137v	13	1	z8	f10r	z8	equal
f137v	13	2	L10	f10r	L10	equal
f137v	13	3	g84	f10r	g84	equal
f137v	13	4	a155	f10r	a155	equal
f137v	13	5	e142	f10r	e142	equal
f137v	13	6	y16	f10r	y16	equal
f137v	13	7	b6	f10r	v6	replace
f137v	13	8	c8	f10r	c8	equal
f137v	13	9	r41	f10r	t41	replace
f137v	13	10	e106	f10r	e106	equal
f137v	13	11	t118	f10r	t118	equal
f137v	13	12	o157	f10r	o57	replace
f137v	13	13	r271	f10r	r271	equal
f137v	13	14	t10	f10r	t16	replace
f137v	13	15	s8	f10r	s8	equal
f137v	13	16	c	f10r	c170	replace
f137v	14	1	o18	f10r	Q18	replace
f137v	14	2	e72	f10r	e72	equal
f137v	14	3	b255	f10r	p255	replace
f137v	14	4	s234	f10r	s234	equal
f137v	14	5	e118	f10r	e118	equal
f137v	14	6	a273	f10r	a273	equal
f137v	14	7	p152	f10r	p152	equal
f137v	14	8	e76	f10r	e76	equal
f137v	14	9	m170	f10r	m170	equal
f137v	14	10	r197	f10r	r197	equal
f137v	14	11	m8	f10r	m8	equal
f137v	14	12	i100	f10r	i100	equal
f137v	14	13	q49	f10r	q49	equal
f137v	15	1	p342	f10r	p342	equal
f137v	15	2	s272	f10r	s272	equal
f137v	15	3	d36	f10r	d36	equal
f137v	15	4	f13	f10r	f13	equal
f137v	15	5	m170	f10r	m170	equal
f137v	15	6	p325	f10r	p325	equal
f137v	15	7	s8	f10r	s8	equal
f137v	15	8	r41	f10r	t41	replace
f137v	15	9	d36	f10r	d36	equal
f137v	15	10	b190	f10r	v190	replace
f137v	15	11	p296	f10r	p296	equal
f137v	15	12	i10	f10r	i10	equal
f137v	15	13	r100	f10r	i100	replace
f137v	15	14	L10	f10r	L10	equal
f137v	16	1	c10	f10r	c10	equal
f137v	16	2	m107	f10r	m107	equal
f137v	16	3	r10	f10r	r10	equal
f137v	16	4	d35	f10r	d35	equal
f137v	16	5	L10	f10r	L10	equal
f137v	16	6	s346	f10r	s346	equal
f137v	16	7	m82	f10r	m87	replace
f137v	16	8	d37	f10r	d37	equal
f137v	16	9	n11	f10r	n11	equal
f137v	16	10	c170	f10r	c170	equal
f137v	16	11	b10	f10r	h10	replace
f137v	16	12	v10	f10r	v10	equal
f137v	16	13	c10	f10r	c10	equal
f137v	16	14	t89	f10r	t89	equal
f137v	16	15	y16	f10r	y16	equal
f137v	16	16	d78	f10r	d78	equal
f137v	17	1	o105	f10r	o105	equal
f137v	17	2	c170	f10r	c170	equal
f137v	17	3	b30	f10r	h30	replace
f137v	17	4	b10	f10r	v10	replace
f137v	17	5	i29	f10r	i29	equal
f137v	17	6	q81	f10r	q81	equal
f137v	17	7	s144	f10r	s144	equal
f137v	17	8	X7	f10r	x7	replace
f137v	17	9	r268	f10r	r268	equal
f137v	17	10	s139	f10r	s139	equal
f137v	17	11	q7	f10r	q7	equal
f137v	17	12	n85	f10r	n85	equal
f137v	17	13	i100	f10r	i100	equal
f137v	17	14	z90	f10r	d156	replace
f137v	18	1	i109	f10r	L109	replace
f137v	18	2	o26	f10r	e76	replace
f137v	18	3	a2	f10r	a2	equal
f137v	18	4	a28	f10r	z8	replace
f137v	18	5	L8	f10r	L8	equal
f137v	18	6	b80	f10r	b80	equal
f137v	18	7	z106	f10r	o106	replace
f137v	18	8	m223	f10r	m223	equal
f137v	18	9	p313	f10r	p313	equal
f137v	18	10	z9	f10r	z7	replace
f137v	18	11	n77	f10r	L77	replace
f137v	18	12	b73	f10r	h73	replace
f137v	18	13	n7	f10r	n7	equal
f137v	18	14	y22	f10r	y22	equal
f137v	18	15	b247	f10r	v247	replace
f137v	19	1	a51	f10r	a51	equal
f137v	19	2	b166	f10r	v166	replace
f137v	19	3	L9	f10r	L9	equal
f137v	19	4	y19	f10r	y19	equal
f137v	19	5	s138	f10r	s138	equal
f137v	19	6	n89	f10r	n89	equal
f137v	19	7	L106	f10r	L106	equal
f137v	19	8	p194	f10r	p194	equal
f137v	19	9	z6	f10r	z6	equal
f137v	19	10	b190	f10r	v190	replace
