page	line	idx	token	doubt
f137v	16	7	m87	0
f137v	16	8	z37	0
f137v	16	9	n11	0
f137v	16	10	c170	0
f137v	16	11	b10	1
f137v	16	12	y10	1
f137v	16	13	c10	0
f137v	16	14	t89	0
f137v	16	15	y16	0
f137v	16	16	z78	0
f137v	17	1	o105	0
f137v	17	2	c170	0
f137v	17	3	b30	0
f137v	17	4	y10	0
f137v	17	5	i29	0
f137v	17	6	q81	0
f137v	17	7	s144	0
f137v	17	8	X7	1
f137v	17	9	r268	0
f137v	17	10	s139	0
f137v	17	11	q7	0
f137v	17	12	n85	0
f137v	17	13	i100	0
f137v	17	14	b90	1
f137v	18	1	L109	1
f137v	18	2	o26	1
f137v	18	3	a2	1
f137v	18	4	z8	1
f137v	18	5	L8	0
f137v	18	6	b80	0
f137v	18	7	z106	0
f137v	18	8	m223	0
f137v	18	9	p313	0
f137v	18	10	z9	0
f137v	18	11	n77	0
f137v	18	12	b73	0
f137v	18	13	n7	0
f137v	18	14	y22	0
f137v	18	15	b247	0
f137v	19	1	a51	0
f137v	19	2	y166	0
f137v	19	3	L9	0
f137v	19	4	y19	0
f137v	19	5	s138	0
f137v	19	6	n89	0
f137v	19	7	L106	0
f137v	19	8	p194	0
f137v	19	9	z6	0
f137v	19	10	y190	0
f137v	19	11	z183	0
f137v	19	12	z179	0
f137v	19	13	e75	0
f137v	19	14	s323	0
f137v	20	1	m9	0
f137v	20	2	z266	0
f137v	20	3	s8	0
f137v	20	4	q45	0
f137v	20	5	p149	0
f137v	20	6	c171	0
f137v	20	7	s8	0
f137v	20	8	y10	1
f137v	20	9	c10	0
f137v	20	10	t10	0
f137v	20	11	z157	0
f137v	20	12	p296	0
f137v	20	13	n8	0
f137v	20	14	z6	0
f137v	21	1	s320	0
f137v	21	2	b30	0
f137v	21	3	f9	0
f137v	21	4	L10	0
f137v	21	5	p150	0
f137v	21	6	i29	0
f137v	21	7	f44	0
f137v	21	8	c170	0
f137v	21	9	m170	0
f137v	21	10	f10	0
f137v	21	11	i29	0
f137v	21	12	z156	0
f137v	21	13	g146	1
f137v	21	14	o8	1
f137v	22	1	p75	1
f137v	22	2	z46	0
f137v	22	3	c170	0
f137v	22	4	s387	0
f137v	22	5	r10	0
f137v	22	6	L77	1
f137v	22	7	m226	0
f137v	22	8	c258	0
f137v	22	9	n7	0
f137v	22	10	t89	0
f137v	22	11	r268	0
f137v	22	12	c170	0
f137v	22	13	a127	1
f137v	23	1	t156	1
f137v	23	2	o105	0
f137v	23	3	z36	0
f137v	23	4	p296	0
f137v	23	5	i10	0
f137v	23	6	s291	0
f137v	23	7	a13	0
f137v	23	8	L77	0
f137v	23	9	s234	0
f137v	23	10	c171	0
f137v	23	11	p149	0
f137v	23	12	e73	0
f137v	23	13	s287	0
f137v	23	14	o99	0
f137v	24	1	a34	0
f137v	24	2	m177	0
f137v	24	3	z285	0
f137v	24	4	a305	0
f137v	24	5	z9	0
f137v	24	6	L10	0
f137v	24	7	b114	0
f137v	24	8	p210	0
f137v	24	9	c170	0
f137v	24	10	s271	0
f137v	24	11	m170	0
f137v	24	12	z178	0
f137v	24	13	m247	1
f137v	25	1	y20	0
f137v	25	2	L10	0
f137v	25	3	z84	0
f137v	25	4	z36	0
f137v	25	5	b224	0
f137v	25	6	f8	0
f137v	25	7	s233	0
f137v	25	8	s212	0
f137v	25	9	s9	0
f137v	25	10	z179	0
f137v	25	11	m107	0
f137v	25	12	i100	0
f137v	25	13	c320	0
f137v	25	14	s6	0
f137v	26	1	i73	0
f137v	26	2	z78	0
f137v	26	3	c170	0
f137v	26	4	s233	0
f137v	26	5	b41	0
f137v	26	6	r10	0
f137v	26	7	p304	0
f137v	26	8	L10	0
f137v	26	9	r196	0
f137v	26	10	y27	0
f137v	26	11	n38	0
f137v	26	12	s73	0
f137v	26	13	a63	0
f137v	26	14	m8	1
f137v	27	1	p3	0
f137v	27	2	t89	0
f137v	27	3	m10	0
f137v	27	4	s267	0
f137v	27	5	z36	0
f137v	27	6	f131	0
f137v	27	7	g12	0
f137v	27	8	s7	0
f137v	27	9	p53	0
f137v	27	10	p149	0
f137v	27	11	i295	0
f137v	27	12	i221	0
f137v	27	13	i318	0
f137v	28	1	z8	0
f137v	28	2	b270	0
f137v	28	3	r41	0
f137v	28	4	s346	0
f137v	28	5	m10	0
f137v	28	6	z36	0
f137v	28	7	z96	1
f137v	28	8	p149	0
f137v	28	9	p32	1
f137v	28	10	m7	0
f137v	28	11	z35	0
f137v	28	12	c32	1
f137v	28	13	n7	0
f137v	28	14	c170	0
f137v	28	15	L131	0
