page	line	idx	token	doubt
f137r	11	12	t92	0
f137r	11	13	s117	0
f137r	11	14	s8	0
f137r	11	15	f213	0
f137r	12	1	n85	0
f137r	12	2	c153	0
f137r	12	3	t30	0
f137r	12	4	n90	0
f137r	12	5	s235	0
f137r	12	6	m29	0
f137r	12	7	e72	0
f137r	12	8	t152	0
f137r	12	9	t30	0
f137r	12	10	n8	0
f137r	12	11	q13	0
f137r	12	12	L27	0
f137r	12	13	d158	1
f137r	12	14	m213	0
f137r	13	1	t163	0
f137r	13	2	p282	0
f137r	13	3	n9	0
f137r	13	4	q21	0
f137r	13	5	b114	0
f137r	13	6	a314	0
f137r	13	7	i10	0
f137r	13	8	y15	0
f137r	13	9	f57	0
f137r	13	10	n57	0
f137r	13	11	r41	0
f137r	13	12	i29	0
f137r	13	13	t164	0
f137r	13	14	f71	0
f137r	14	1	p3	0
f137r	14	2	b57	0
f137r	14	3	i249	0
f137r	14	4	m7	0
f137r	14	5	q18	0
f137r	14	6	b32	0
f137r	14	7	s116	0
f137r	14	8	m6	0
f137r	14	9	b29	0
f137r	14	10	b76	0
f137r	14	11	t89	0
f137r	14	12	t30	0
f137r	14	13	c208	0
f137r	14	14	n84	0
f137r	14	15	s292	0
f137r	15	1	e25	0
f137r	15	2	f15	0
f137r	15	3	d35	0
f137r	15	4	L10	0
f137r	15	5	b192	0
f137r	15	6	y15	0
f137r	15	7	p150	0
f137r	15	8	p149	0
f137r	15	9	m107	0
f137r	15	10	n90	0
f137r	15	11	f10	0
f137r	15	12	a127	0
f137r	15	13	p308	0
f137r	15	14	s9	0
f137r	15	15	e75	0
f137r	16	1	i100	0
f137r	16	2	t157	0
f137r	16	3	m170	0
f137r	16	4	s267	1
f137r	16	5	i100	0
f137r	16	6	q49	0
f137r	16	7	n38	0
f137r	16	8	a152	0
f137r	16	9	d10	0
f137r	16	10	L10	0
f137r	16	11	c235	0
f137r	16	12	d270	0
f137r	16	13	b8	0
f137r	16	14	d246	0
f137r	17	1	o72	0
f137r	17	2	f6	0
f137r	17	3	m170	0
f137r	17	4	i100	0
f137r	17	5	s217	0
f137r	17	6	d78	0
f137r	17	7	i58	0
f137r	17	8	y15	0
f137r	17	9	s80	0
f137r	17	10	c136	0
f137r	17	11	b7	0
f137r	17	12	d245	0
f137r	17	13	m170	0
f137r	17	14	p246	0
f137r	18	1	e143	0
f137r	18	2	m107	0
f137r	18	3	i100	0
f137r	18	4	o106	0
f137r	18	5	p149	0
f137r	18	6	p102	0
f137r	18	7	t163	0
f137r	18	8	n9	0
f137r	18	9	y16	0
f137r	18	10	v247	0
f137r	18	11	o18	0
f137r	18	12	L27	0
f137r	18	13	q13	0
f137r	18	14	p282	0
f137r	19	1	i10	0
f137r	19	2	s330	0
f137r	19	3	r41	0
f137r	19	4	L10	0
f137r	19	5	v166	0
f137r	19	6	m172	0
f137r	19	7	b73	0
f137r	19	8	z8	0
f137r	19	9	y15	0
f137r	19	10	e118	0
f137r	19	11	z9	0
f137r	19	12	r41	0
f137r	19	13	c109	0
f137r	19	14	n106	0
f137r	19	15	c170	0
f137r	20	1	i100	0
f137r	20	2	c320	0
f137r	20	3	s6	0
f137r	20	4	m211	0
f137r	20	5	m140	0
f137r	20	6	n38	0
f137r	20	7	s9	0
f137r	20	8	y17	0
f137r	20	9	p149	0
f137r	20	10	c234	0
f137r	20	11	s7	0
f137r	20	12	i100	0
f137r	20	13	e159	0
f137r	20	14	d78	0
f137r	21	1	c170	0
f137r	21	2	o119	0
f137r	21	3	e25	0
f137r	21	4	d9	0
f137r	21	5	o8	0
f137r	21	6	g10	0
f137r	21	7	f9	0
f137r	21	8	p292	0
f137r	21	9	d29	1
f137r	21	10	b80	0
f137r	21	11	m9	0
f137r	21	12	s2	1
f137r	21	13	n38	0
f137r	21	14	s291	0
f137r	21	15	e72	0
f137r	22	1	c227	0
f137r	22	2	s10	0
f137r	22	3	n6	0
f137r	22	4	b57	0
f137r	22	5	e7	0
f137r	22	6	c10	0
f137r	22	7	f6	0
f137r	22	8	m140	0
f137r	22	9	t89	0
f137r	22	10	f2	1
f137r	22	11	b4	1
f137r	22	12	b152	1
f137r	22	13	s138	0
f137r	22	14	i246	0
f137r	22	15	s233	0
f137r	23	1	c170	0
f137r	23	2	m107	0
f137r	23	3	n38	0
f137r	23	4	b224	0
f137r	23	5	s139	0
f137r	23	6	n86	0
f137r	23	7	d10	0
f137r	23	8	r41	0
f137r	23	9	d137	0
f137r	23	10	c325	0
f137r	23	11	d205	0
f137r	23	12	z7	0
f137r	23	13	n9	0
f137r	23	14	c170	0
f137r	23	15	s10	0
f137r	24	1	n6	0
f137r	24	2	d37	0
f137r	24	3	c148	0
f137r	24	4	c170	0
f137r	24	5	n89	0
f137r	24	6	m170	0
f137r	24	7	t152	0
f137r	24	8	c10	0
f137r	24	9	n86	0
f137r	24	10	b246	0
f137r	24	11	q10	0
f137r	24	12	y14	0
f137r	24	13	c170	0
f137r	25	1	d47	0
f137r	25	2	m7	0
f137r	25	3	s191	0
f137r	25	4	d282	0
f137r	25	5	e75	0
f137r	25	6	p53	0
f137r	25	7	p149	0
f137r	25	8	r41	0
f137r	25	9	p92	0
f137r	25	10	r41	0
f137r	25	11	a78	0
f137r	25	12	q23	0
f137r	25	13	b65	0
f137r	25	14	n38	0
f137r	26	1	p255	0
f137r	26	2	s234	0
f137r	26	3	e75	0
f137r	26	4	e124	0
f137r	26	5	m8	0
f137r	26	6	y18	0
f137r	26	7	a62	0
f137r	26	8	z9	0
f137r	26	9	r10	0
f137r	26	10	n8	0
f137r	26	11	m107	0
f137r	26	12	d78	0
f137r	26	13	s205	0
f137r	27	1	o4	0
f137r	27	2	d78	0
f137r	27	3	o105	0
f137r	27	4	d36	0
f137r	27	5	e61	0
f137r	27	6	d78	0
f137r	27	7	s325	0
f137r	27	8	L89	0
f137r	27	9	d35	0
f137r	27	10	m210	0
f137r	27	11	n89	0
f137r	27	12	s7	0
f137r	27	13	d10	0
f137r	27	14	f13	0
f137r	27	15	s139	0
