frame	class	date	note	signature_screen
0385	other	none legible	printed pamphlet body pages (pp.12, 43), legal memoir text	
0391	other	none legible	printed pamphlet body pages (pp.24-25), legal memoir text	
0397	other	none legible	"printed pamphlet pages (pp.30-31) ending ""CONCLUSION"""	
0403	clear_text	none legible	ordinary prose letter, mentions Capt. Trippe, signed (Bowen?)	
0409	clear_text	Altenburg 18 September 1809	prose diplomatic letter, John Armstrong, re ransom of ships/Duke of Saxony	
0415	clear_text	none legible	dense ordinary cursive prose letter, signed Armstrong	
0421	clear_text	"referenced ""30 Nov. 1809"""	prose letter marked (Private), diplomatic correspondence	
0427	other	3 Mars 1809 / 13 Mars 1809	official passport/police certificate document with wax seals, not a letter	
0433	other	18th October 1809 (dated in words)	"certificate/crew list (""Brigs Crew"" roster) signed John Armstrong"	
0439	clear_text	Paris 18 Nov. 1809	prose letter re cotton trade	
0445	clear_text	Paris 27 November 1809	prose letter, ordinary diplomatic correspondence	
0451	clear_text	9 Decemr. 1809	ordinary prose paragraphs re East/West Indies, Emperor, King of Naples; no cipher	
0457	clear_text	Paris 17 Decembre 1809	formal letter transmitting extract of Danish decree, signed Wm Armstrong to Hon R Smith	
0463	clear_text	none legible	French prose page ending a document/treaty and list of signatures, signature illegible	
0469	clear_text	none legible	"French prose letter ""Monsieur le General"" re American captures/embargo, ordinary paragraphs"	
0475	clear_text	none legible	prose re military order, King of Naples, American vessels/cargoes seized	
0481	clear_text	"none legible (text references ""1st of Decemr 1809"" re Berlin Decree)"	prose discussing Berlin Decree revocation, Duke of Cadore, blockade	
0487	clear_text	none legible	"handwritten treaty-article text (""D."", commerce between the parties), ordinary prose/legal clauses"	
0493	clear_text	none legible	continuation of prose with a list of signatures at end (names of gentlemen who signed), no cipher	
0499	clear_text	none legible	prose re American commerce, growth/manufacture of the two countries, debate over duties	
0505	other	"extracts dated ""Alexandria Jany 26 1810"" and ""Copenhagen 10th February 1810"""	tabular list of ship names, masters, home ports with dated letter extracts below; certificate/table format, not prose	
0511	clear_text	Paris 15 feb 1810 (Duplicate)	letter to Mr Forbes re Convention of 1800/neutral rights, ordinary prose paragraphs	
0517	clear_text	none legible	prose re neutral rights, orders in council, blockade of 1807	
0523	clear_text	Paris 20 March 1810	ordinary prose letter, signed Alex Hammett(?)	
0529	clear_text	Paris March 17 1810	prose re a prize-cause case (Warden/Goodwin), signed statements and depositions	
0535	clear_text	Naples ce 9 Mars 1810	French prose letter, Ministre des affaires etrangeres to Consul, signed Le Marquis de Gallo	
0541	clear_text	Paris du 23 Nov. 1809 (last digit uncertain)	"French prose letter ""Monsieur le General"" re gunboats/frigates and diplomatic protest"	
0547	clear_text	none legible	prose letter signed Jno Armstrong to Hon Mr Smith, Washington, re Naples/Prussia/Denmark commerce, with P.S.	
0553	clear_text	London April 6 1810 and Paris May 3 1810	two prose letters, signed William Pinkney, re orders in council/blockade correspondence	
0559	clear_text	Cherbourg 25 March 1810	"ordinary prose, closing ""avec grand respect"" then new letter begins, no cipher"	
0565	clear_text	none legible	prose continuation re American vessels/machinery, no date visible on page	
0571	clear_text	Paris 3d May 1810	Duplicate letter, salutation Sir, ordinary prose paragraphs	
0577	clear_text	none legible	prose continuation re seamen/vessels at Cherbourg/L'Orient, no date visible	
0583	clear_text	"mentions ""5th Feby 1809"" in body text"	ordinary prose letter continuation, dates cited are in-text references not page header	
0589	other	Décret du 18 Juillet 1810 (cited in text)	"handwritten copy of an imperial decree/law articles (Art.10, Art.11...), signed ""Napoleon""/Duc de Bassano, not an ordinary letter"	
0595	clear_text	Paris 16 Août 1810	French letter, salutation Monsieur, ordinary prose	
0601	clear_text	"Paris August 30 1810 (also ""P.S. 26 August 1810"")"	ordinary prose letter, no cipher	
0607	clear_text	Paris 8 Septr 1808	English letter, salutation Sir, ordinary prose paragraphs	
0613	other	none legible	page heavily foxed/mottled, text very faint, cannot confirm content clearly; treated as illegible/degraded page	
0619	clear_text	"cites ""23 mars 1810"" in text"	French legal/diplomatic memo-style prose (no salutation), discusses decree questions, ordinary handwriting, no cipher	
0625	clear_text	Gothenburg 24 May 1810	copy of a letter, salutation Sir, ordinary prose paragraphs	
0631	clear_text	Paris May 1st 1808	"letter with docket/address leaf to ""General Armstrong, Minister Plenipotentiary...Paris"", ordinary prose on facing page"	
0637	clear_text	none legible	French prose continuation, no header date visible on this page	
0643	numeral_code	"none legible (only weekday ""Friday"" noted)"	"dense numeral cipher groups filling most of page, brief plain-text interjection ""Friday I sent yesterday..."", no shorthand/non-numeral marks seen; candidate sibling to the 20 Feb 1808 target code"	one-line screen (14 groups, 276 962 972 676 1354 395 1701 1248 1482 988 1092 1268 1090 1013): THE=972_bourdeau.tsv coverage 9/14 (64%), digit-0/1 share 14%, digit-2/3/5/9 share 43%, top digit 2 (972 itself, THE=972's own namesake value, appears in this line) -- looks like THE=972 office usage, NOT a pool candidate; date not legible on this or the neighbouring frames, letter's own header not located in the 0638-0648 range fetched
0649	other	none legible	printed customs/manifest table (Marques, Caisses, Balles, Qualités, Poids, Noms columns), not a letter	
0655	other	"partial ""27 August"" visible top right, otherwise none legible"	printed customs/manifest table, same format as 0649, handwritten quantities in columns	
0661	other	none legible	"printed customs/manifest table, same format as 0649/0655, marginal notes ""Place d'Arcens No 7/No 9"""	
frame	class	date	note	
