id	shelfmark	folio	date	sender	recipient	language	status	neighbour_id	neighbour_folio	neighbour_date	neighbour_status	why_matched	reason
9771	brah_signatura-9/28	42	1523	Luis Fernández		Spanish	Non-decrypted	9772	43	1523-8	Partially decrypted	adjacent folio (f.42 vs f.43, diff 1); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9770	brah_signatura-9/28	41	1523-8	Alonso Sánchez		Spanish	Non-decrypted	9772	43	1523-8	Partially decrypted	adjacent folio (f.41 vs f.43, diff 2); date within 0 days	already present in: Bourdeau cs-recheck/*/profile.json
9769	brah_signatura-9/28	40	1523-8	Alonso Sánchez		Spanish	Non-decrypted	9772	43	1523-8	Partially decrypted	adjacent folio (f.40 vs f.43, diff 3); date within 0 days	already present in: Bourdeau cs-recheck/*/profile.json
9767	brah_signatura-9/28	38	1523-8	Alonso Sánchez		Spanish	Non-decrypted	9768	39	1523	Decrypted	adjacent folio (f.38 vs f.39, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9765	brah_signatura-9/28	36	1523-7	Luis Fernández		Spanish	Non-decrypted	9768	39	1523	Decrypted	adjacent folio (f.36 vs f.39, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9764	brah_signatura-9/28	35	1523-7	Luis Fernández		Spanish	Non-decrypted	9766	37	1523	Decrypted	adjacent folio (f.35 vs f.37, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9695	brah_signatura-9/28	33	1523-6	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9693	32	1523	Decrypted	adjacent folio (f.33 vs f.32, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9694	brah_signatura-9/28	34	1523-6	Luis Fernández		Spanish	Non-decrypted	9766	37	1523	Decrypted	adjacent folio (f.34 vs f.37, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9692	brah_signatura-9/28	31	1523-6	Luis Fernández		Spanish	Non-decrypted	9693	32	1523	Decrypted	adjacent folio (f.31 vs f.32, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9690	brah_signatura-9/28	29	1523-6	Alonso Sánchez		Spanish	Non-decrypted	9693	32	1523	Decrypted	adjacent folio (f.29 vs f.32, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9689	brah_signatura-9/28	28	1523-6	Alonso Sánchez		Spanish	Non-decrypted	9691	30	1523	Decrypted	adjacent folio (f.28 vs f.30, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9688	brah_signatura-9/28	27	1523-6	Luis Fernández?		Spanish	Non-decrypted	9691	30	1523	Decrypted	adjacent folio (f.27 vs f.30, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9687	brah_signatura-9/28	26	1523-6	Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9686	brah_signatura-9/28	25	1523-6	Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9685	brah_signatura-9/28	24	1523-6	Luis Fernández?		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.24 vs f.21, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9684	brah_signatura-9/28	23	1523-6-30	Luis Fernández?		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.23 vs f.21, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9683	brah_signatura-9/28	22	1523-6	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.22 vs f.21, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9677	brah_signatura-9/28	22	1523	Alonso Sánchez		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.22 vs f.21, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9675	brah_signatura-9/28	20	1523-5-23	Luis Fernández?		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.20 vs f.21, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9674	brah_signatura-9/28	19		Alonso Sánchez		Spanish	Non-decrypted	9676	21	1523	Decrypted	adjacent folio (f.19 vs f.21, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9672	brah_signatura-9/28	17	5	Alonso Sánchez		Spanish	Non-decrypted	9673	18		Decrypted	adjacent folio (f.17 vs f.18, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9671	brah_signatura-9/28	16	5	Alonso Sánchez		Spanish	Non-decrypted	9673	18		Decrypted	adjacent folio (f.16 vs f.18, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9670	brah_signatura-9/28	15	1523-5	Alonso Sánchez		Spanish	Non-decrypted	9673	18		Decrypted	adjacent folio (f.15 vs f.18, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9669	brah_signatura-9/28	14		Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9668	brah_signatura-9/28	13		Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9493	brah_signatura-9/28	6	1523-7-20	Lope de Soria	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	date within 12 days	already present in: Bourdeau cs-recheck/*/profile.json
9656	brah_signatura-9/26	25	1522-11	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	date within 0 days; same sender (author) named	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9655	brah_signatura-9/26	24	1522-11	Alonso Sánchez		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.24 vs f.21, diff 3); date within 0 days	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9654	brah_signatura-9/26	23	1522-11-20	Alonso Sánchez		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.23 vs f.21, diff 2); date within 19 days	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9653	brah_signatura-9/26	22	1522-11-20	Alonso Sánchez		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.22 vs f.21, diff 1); date within 19 days	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9651	brah_signatura-9/26	20		Alonso Sánchez?		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.20 vs f.21, diff 1)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9649	brah_signatura-9/26	18	1522-11-9	Lope Hurtado de Mendoza?		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	adjacent folio (f.18 vs f.21, diff 3); date within 8 days; same sender (author) named	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9648	brah_signatura-9/26	17	1522-11-9	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9650	19	1522	Decrypted	adjacent folio (f.17 vs f.19, diff 2)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9647	brah_signatura-9/26	16	1522	Alonso Sánchez?		Spanish	Non-decrypted	9650	19	1522	Decrypted	adjacent folio (f.16 vs f.19, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9646	brah_signatura-9/26	15		Lope Hurtado de Mendoza?		Spanish	Non-decrypted	9644	13		Decrypted	adjacent folio (f.15 vs f.13, diff 2)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9645	brah_signatura-9/26	14	11	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9644	13		Decrypted	adjacent folio (f.14 vs f.13, diff 1)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9643	brah_signatura-9/26	12	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9644	13		Decrypted	adjacent folio (f.12 vs f.13, diff 1)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9641	brah_signatura-9/26	9	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.9 vs f.6, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9640	brah_signatura-9/26	8	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.8 vs f.6, diff 2)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9639	brah_signatura-9/26	7	1522-10	Alonso Sánchez		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.7 vs f.6, diff 1)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9637	brah_signatura-9/26	5	1522-10	Alonso Sánchez?		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.5 vs f.6, diff 1)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9636	brah_signatura-9/26	4		Alonso Sánchez		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.4 vs f.6, diff 2)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9635	brah_signatura-9/26	3	1522	Alonso Sánchez		Spanish	Non-decrypted	9638	6	1522	Decrypted	adjacent folio (f.3 vs f.6, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9634	brah_signatura-9/26	2	1522-9	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9652	21	1522-11	Partially decrypted	same sender (author) named	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9632	brah_signatura-9/25	14	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9631	brah_signatura-9/25	13	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9630	brah_signatura-9/25	12	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9629	brah_signatura-9/25	11	1522-8	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9628	brah_signatura-9/25	10		Alonso Sánchez		Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.10 vs f.7, diff 3); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9626	brah_signatura-9/25	8		Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.8 vs f.7, diff 1); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9623	brah_signatura-9/25	5	1522-7-19	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.5 vs f.7, diff 2); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9622	brah_signatura-9/25	4	1522-7-19	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	adjacent folio (f.4 vs f.7, diff 3); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9621	brah_signatura-9/25	3	1522-7-19	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9620	brah_signatura-9/25	2	1522-7	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9619	brah_signatura-9/25	1	1522-7-10	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9625	7	1522	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9616	brah_signatura-9/24	25		Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.25 vs f.22, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9615	brah_signatura-9/24	24	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.24 vs f.22, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9614	brah_signatura-9/24	23	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.23 vs f.22, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9612	brah_signatura-9/24	21	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.21 vs f.22, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9611	brah_signatura-9/24	20	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.20 vs f.22, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9610	brah_signatura-9/24	19	1522-6	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9613	22	1522	Decrypted	adjacent folio (f.19 vs f.22, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9607	brah_signatura-9/24	16	1522-5	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9605	14	1522	Decrypted	adjacent folio (f.16 vs f.14, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9604	brah_signatura-9/24	13	1522-5	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9605	14	1522	Decrypted	adjacent folio (f.13 vs f.14, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9603	brah_signatura-9/24	12	1522-5	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9605	14	1522	Decrypted	adjacent folio (f.12 vs f.14, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9595	brah_signatura-9/23	24	1522-3	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9592	21	1522	Decrypted	adjacent folio (f.24 vs f.21, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9594	brah_signatura-9/23	23	1522	Alonso Sánchez	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9592	21	1522	Decrypted	adjacent folio (f.23 vs f.21, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9587	asn_ministerio.degli.affari.esteri.2337	38	1816-10-23	Marchese di Ciscello? Principe di Castelcicala?		Italian	Non-decrypted	9590	41	1830	Decrypted	adjacent folio (f.38 vs f.41, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9584	asn_ministerio.degli.affari.esteri.2337	35	1819-7-13	Principe di Castelcicala		Italian	Non-decrypted	9581	32	1860	Decrypted	adjacent folio (f.35 vs f.32, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9583	asn_ministerio.degli.affari.esteri.2337	34	1819-4-3	Principe di Castelcicala		Italian	Non-decrypted	9581	32	1860	Decrypted	adjacent folio (f.34 vs f.32, diff 2)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9582	asn_ministerio.degli.affari.esteri.2337	33	1817-11-14	Principe di Castelcicala		Italian	Non-decrypted	9581	32	1860	Decrypted	adjacent folio (f.33 vs f.32, diff 1)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9579	asn_ministerio.degli.affari.esteri.2337	30	1816-9-26	Marchese di Ciscello? Principe di Castelcicala?		Italian	Non-decrypted	9581	32	1860	Decrypted	adjacent folio (f.30 vs f.32, diff 2)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9570	asn_ministerio.degli.affari.esteri.2337	21	1823	Marchese di Ciscello? Principe di Castelcicala?		Italian	Non-decrypted	9573	24	1860	Decrypted	adjacent folio (f.21 vs f.24, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9567	asn_ministerio.degli.affari.esteri.2337	18		Marchese di Ciscello? Principe di Castelcicala?		Italian	Non-decrypted	9569	20	1823	Decrypted	adjacent folio (f.18 vs f.20, diff 2)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9566	asn_ministerio.degli.affari.esteri.2337	17		Marchese di Ciscello? Principe di Castelcicala?		Italian	Non-decrypted	9569	20	1823	Decrypted	adjacent folio (f.17 vs f.20, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9565	asn_ministerio.degli.affari.esteri.2337	16		Marchese di Ciscello? Principe di Castelcicala?		Italian	Non-decrypted	9568	19	1860	Decrypted	adjacent folio (f.16 vs f.19, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9555	asn_ministerio.degli.affari.esteri.2337	6	1816-6-3	Principe di Castelcicala		Italian	Non-decrypted	9552	3	1853	Decrypted	adjacent folio (f.6 vs f.3, diff 3)	already present in: QUEUE.md; Bourdeau cs-recheck/*/profile.json
9460	3623	9	1591			French	Non-decrypted	9458	7	1590	Decrypted	adjacent folio (f.9 vs f.7, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9459	3623	8	1590-6-7		Duke of Nevers	French	Non-decrypted	9458	7	1590	Decrypted	adjacent folio (f.8 vs f.7, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9451	3621	8	1592-7-3	Joachim de Jaucourt Baron de Dinteville	Duke of Nivernois	French	Non-decrypted	9450	7	1592	Decrypted	adjacent folio (f.8 vs f.7, diff 1)	already present in: Bourdeau catalogue.json; Bourdeau cs-recheck/*/profile.json
9449	3621	6	1592-6-18	Charles II, Duke of Lorraine	de Vaudemont	French	Non-decrypted	9450	7	1592	Decrypted	adjacent folio (f.6 vs f.7, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9436	bnf_français-3616	4	1500-5-11	Unknown	Duke of Nevers	French	Non-decrypted	9437	5	1500	Decrypted	adjacent folio (f.4 vs f.5, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9220	bl_add_ms_4136	110	1559-3-8	Nicholas Thorkmorton		English	Non-decrypted	3030	108-110	1560	Decrypted	adjacent folio (f.110 vs f.108-110, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
8774	bl_add_ms_61575	095	1702	Frederic, Re di Prussia		French	Non-decrypted	8773	093	1702	Decrypted	adjacent folio (f.095 vs f.093, diff 2); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8756	bl_add_ms_61575	044	1710-6-3	W. Blencowe	Duc de Villars	French	Non-decrypted	8754	029	1709	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8755	bl_add_ms_61575	038	1710-4-16	W. Blencowe		French	Non-decrypted	8754	029	1709	Decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8624	bl_add_ms_72438	010	1646-5-13			English	Non-decrypted	8625	012	1647	Decrypted	adjacent folio (f.010 vs f.012, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
8623	bl_add_ms_72438	009	1646-5-21			English	Non-decrypted	8625	012	1647	Decrypted	adjacent folio (f.009 vs f.012, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
8613	bl_cotton_ms_vespanian_c_iv	363	1529-7-22	Hispania		English	Non-decrypted	8615	365	1529	Decrypted	adjacent folio (f.363 vs f.365, diff 2)	already present in: Aymeloglu TARGETS.md; Bourdeau cs-recheck/*/profile.json
8602	bl_cotton_ms_vespanian_c_iv	341	1529-4-20	Cysar-Augusta, Edw. Lee		English	Non-decrypted	8575	262	1528-7-28	Partially decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8589	bl_cotton_ms_vespanian_c_iv	313	1529-2-12	Eps. Wigorn, H. M...		English	Non-decrypted	8591	316	1529	Decrypted	adjacent folio (f.313 vs f.316, diff 3)	already present in: Aymeloglu TARGETS.md; Bourdeau cs-recheck/*/profile.json
8587	bl_cotton_ms_vespanian_c_iv	311	1529-2-9	Ed. Lee, Hir. Eps. Wigorn.		English	Non-decrypted	8588	312	1529	Decrypted	adjacent folio (f.311 vs f.312, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
8586	bl_cotton_ms_vespanian_c_iv	310e	1529-2-9	Ed. Lee		English	Non-decrypted	8588	312	1529	Decrypted	adjacent folio (f.310e vs f.312, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
8585	bl_cotton_ms_vespanian_c_iv	310d	1529-2-9	Ed. Lee		English	Non-decrypted	8588	312	1529	Decrypted	adjacent folio (f.310d vs f.312, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
8578	bl_cotton_ms_vespanian_c_iv	284	1528-10-16	Epus Wigorn, Ed. Lee		English	Non-decrypted	8580	287	1528	Decrypted	adjacent folio (f.284 vs f.287, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
8574	bl_cotton_ms_vespanian_c_iv	259	1528	B. Worc., Ed. Lee		English	Non-decrypted	8575	262	1528-7-28	Partially decrypted	adjacent folio (f.259 vs f.262, diff 3); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8573	bl_cotton_ms_vespanian_c_iv	238	1527-12-26	Eps. Wigorn, Ed. Lee		English	Non-decrypted	8616	368	1528	Decrypted	date within 6 days	already present in: Bourdeau cs-recheck/*/profile.json
8561	bl_cotton_ms_vespanian_c_iv	166	1527-6-16	Ed. Lee		English	Non-decrypted	8559	164	1527	Partially decrypted	adjacent folio (f.166 vs f.164, diff 2); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8557	bl_cotton_ms_vespanian_c_iv	162	1527	B. Worecster, Ed. Lee Eleem.		English	Non-decrypted	8560	165	1529	Decrypted	adjacent folio (f.162 vs f.165, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
8556	bl_cotton_ms_vespanian_c_iv	161	1527	Bpp. Worecestr, Ed. Lee Eleem.		English	Non-decrypted	8559	164	1527	Partially decrypted	adjacent folio (f.161 vs f.164, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
8555	bl_cotton_ms_vespanian_c_iv	160	1527	Eps. Wigorn, Ed. Lee Eleem.		English	Non-decrypted	8558	163	1527	Decrypted	adjacent folio (f.160 vs f.163, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
8552	bl_cotton_ms_vespanian_c_iv	157	1527-7	Eps. Wigorn, Ed. Lee Eleemosinar		English	Non-decrypted	8568	186	1527-7-27	Partially decrypted	date within 26 days	already present in: Bourdeau cs-recheck/*/profile.json
8550	bl_cotton_ms_vespanian_c_iv	155	1527-6-5	Ed. Lee		English	Non-decrypted	8575	262	1528-7-28	Partially decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8549	bl_cotton_ms_vespanian_c_iv	154	1527-6-5	Ed. Lee		English	Non-decrypted	8575	262	1528-7-28	Partially decrypted	same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
8548	bl_cotton_ms_vespanian_c_iv	153	1527-6-29	Ed. Lee Almosinar		English	Non-decrypted	8546	150	1527	Decrypted	adjacent folio (f.153 vs f.150, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
8547	bl_cotton_ms_vespanian_c_iv	152	1527-6-29	Ed. Lee Almosinar		English	Non-decrypted	8546	150	1527	Decrypted	adjacent folio (f.152 vs f.150, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
8544	bl_cotton_ms_vespanian_c_iv	148	1527-6-5	Ed. Lee		English	Non-decrypted	8546	150	1527	Decrypted	adjacent folio (f.148 vs f.150, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
8543	bl_cotton_ms_vespanian_c_iv	147	1527-6-5	Ed. Lee		English	Non-decrypted	8546	150	1527	Decrypted	adjacent folio (f.147 vs f.150, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
8542	bl_cotton_ms_vespanian_c_iv	146	1527-6-5	Ed. Lee		English	Non-decrypted	8545	149	1527	Decrypted	adjacent folio (f.146 vs f.149, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
