source	shelfmark_or_id	title_or_description	date	kind	status	digitised	reason_or_note
searcharchives.bl.uk excluded	Add MS 4136	Forbes Papers vol.V: Elizabethan cipher letters + Sturmin/Throckmorton/Smith/Croft keys	1560-1587	recovery	excluded, already known	no (url_tsi empty)	Same shelfmark already in QUEUE.md rows 7 and 20 (Throckmorton/Smith/Percy/Sadler cluster) and worked extensively by Bourdeau (lomer1563, foix1563, middelmore1563, coligny1563, smith1562, norreys1567, percy1559, wod1568). Not a new find.
searcharchives.bl.uk excluded	Add MS 32270	Cipher keys, German-court deciphers 1717-1838	1717-1840	contribution	excluded, already known	no (url_tsi empty)	Entirely Bourdeau's territory: visconti1727 and palm1727 folders both cite this shelfmark (Deciphering Branch's own reconstructed-key volume; DECODE R7927-R7933). Not a new find.
searcharchives.bl.uk kept-copy-order	Add MS 72307	Trumbull Papers vol.LXVI: Andre Paul to Wm Trumbull, partly cipher, Fr.	1612-1616	cryptanalysis	new, copy-order	no (url_tsi empty, id 040-001966860)	Not on DECODE, not in QUEUE/CATALOG/LANDSCAPE/ciphers/, not in either solver repo (grepped). EDITION RISK UNCHECKED: Trumbull Papers correspondence is a major, well-studied 17th-c. diplomatic archive; a printed calendar/edition search was not run this pass (scout only, no check-solved).
searcharchives.bl.uk kept-copy-order	Add MS 72308	Trumbull Papers vol.LXVII: Andre Paul to Wm Trumbull, partly cipher, Fr.	1617-1626	cryptanalysis	new, copy-order	no (url_tsi empty, id 040-001966861)	Same caveats as Add MS 72307 (continuous run of the same correspondence).
searcharchives.bl.uk kept-copy-order	Add MS 72246	Trumbull Papers vol.V: Richard Backhoffen von Echt to Wm Trumbull, partly cipher, Fr.	1623-1624	cryptanalysis	new, copy-order	no (url_tsi empty, id 040-001966788)	Not on DECODE/QUEUE/solver repos. Trumbull edition-risk caveat as above.
searcharchives.bl.uk kept-copy-order	Add MS 72387-72399	Trumbull Papers vols.CXLVI-CLVIII: supplementary diplomatic papers and tracts, England/Europe, partly cipher/drafts	1552-1632	cryptanalysis	new, copy-order	no (url_tsi empty, id 037-001966955)	Thirteen-volume cluster, not itemised further this pass. Not on DECODE/QUEUE/solver repos. High edition-risk caveat (Trumbull Papers are HMC-calendared in part as the Downshire manuscripts; not checked this pass).
searcharchives.bl.uk kept-copy-order	Add MS 45518-45523	Willes Papers: correspondence/papers of the Willes family, official Decipherers 1716-1844	1706-1844	contribution	new, copy-order	no (url_tsi empty, id 032-002018309)	Not on DECODE/QUEUE/solver repos. This is the Deciphering Branch's own decipherers' family archive (cf. K. Ellis 1958) -- a key-lead resource across many other targets' correspondents, not itself an unread letter; needs opening to see what it actually contains before scoring as a target.
searcharchives.bl.uk kept-copy-order	Add MS 61228-61230	Blenheim Papers vols.CXXVIII-CXXX: correspondence with Frederick I of Prussia and Count Wartenberg, partly cipher	1701-1710	cryptanalysis	new, copy-order	no (url_tsi empty, id 038-001950119)	Not on DECODE/QUEUE/solver repos, but Blenheim Papers are among the most heavily studied British diplomatic archives (Coxe 1818-19, Churchill's Marlborough); very high edition-risk, not checked this pass.
searcharchives.bl.uk excluded (out of scope)	Egerton MS 1696	Vol.i with 3 inserted cipher keys incl. Tuscan Secretary of State ciphers 1682-1713	1700-1702	recovery	new, copy-order, logged only	no (url_tsi empty, id 040-001982577)	Genuinely new, not on DECODE/QUEUE/solver repos -- logged here for a future access worker; not tabled (copy-order, per brief).
searcharchives.bl.uk noise	IOR/Z/E/4/*, IOR/L/MIL/7/*, IOR/L/PJ/*, IOR/L/PS/*	WWI/WWII-era cipher-machine, cipher-code and cipher-telegram administrative files (~35 hits across p1 of both queries)	1850s-1947	edition	excluded, out of period	n/a	Modern telegraphic/cipher-machine administration, not 1450-1850 cipher letters/registers; out of this brief's date range and kind (procedure files, not ciphertext).
searcharchives.bl.uk noise	Cotton MS Appendix XLVII / Harley MS 7576 / Harley MS 481-482 / Add MS 63625 / Add MS 11252 / Add MS 70645-70672 / Add MS 72434-72438	assorted diaries, inventions catalogue, D'Ewes diary, Cooper/Wilson 20th-c. papers, Trumbull-Weckherlin (already ciphers/intercepted-royalist-1646)	various	edition/n-a	excluded, noise or already-known	n/a	"Cipher" hits are incidental (abbreviations, an inventions list, 20th-c. filing, or already a repo target).
api.wellcomecollection.org (control)	MS.309 (Johann Gerlach, 1572)	German homophonic cipher, key by Julius Kohn bound in the volume	1572	n/a	already_known	yes (thumbnail/online, but read in effect per key)	Control pass: query=cipher surfaces this item verbatim; matches /tmp/cyphersolver oldest/scan_2026-09-23/france_england_mss.md, "read in effect" since its own key is bound in.
api.wellcomecollection.org	all 209 unique hits (query=cipher + query=cypher, pageSize=100 x1-2 pages each)	--	--	--	swept, none kept	--	70 hits are workType Archives and manuscripts; every one is a personal/professional alchemical, medical or astrological notebook (Gerlach MS.309, Serra, Thesaurus thesaurorum, Hasius, Maier, etc.) or a 19th-c. private diary cipher (GALTON/1/1/7/2/1-5, S.T. Galton's own diary cipher and its key, UCL Special Collections original, 1829) -- none is a diplomatic/political cipher letter or register. Matches and extends the 23 Sept 2026 finding in QUEUE.md ("this lane is exhausted"). GALTON/1/1/7/2/1 (the key) explicitly out of this brief's scope (a diary, not a letter/register) -- logged, not tabled.
api.wellcomecollection.org	GALTON/1/1/7/2/1	"Key to S T Galton's Cipher" -- key to the cipher used in his own diaries GALTON/1/1/7/2/2-5	1829	n/a	excluded, out of brief scope	availabilities empty on the key record itself; parent GALTON/1/1/7/2 shows 'online'	Personal diary cipher, not a letter/register; noted for a future worker if diaries are ever in scope.
access.bl.uk / bl.digirati.io (finding)	n/a	BL's public manuscript-image infrastructure	n/a	n/a	structural finding	no, host-wide	access.bl.uk does not resolve (DNS failure, confirmed 24 Sept 2026) and bl.digirati.io IIIF returns 403 (S3 AccessDenied) even for a shelfmark (Add MS 33596) whose own catalogue record carries a "Digitised Content" link. Consistent with LESSONS.md's 19 Sept note ("BL viewer offline since the 2023 cyber attack") and the Bowes-walsingham-1583 finding (23 Sept). Practical effect: no BL manuscript is currently copy-free, even when catalogued as digitised.
