catalogue	reference	title_or_desc	date	held_by_or_source	rank	kind	score	edition_risk	group_target
BL Archives and Manuscripts	Add MS 8280	 MISCELLANEOUS COLLECTION of relazioni, discourses, tracts, letters, treaties, papal instructions and investitures relating to the Papacy, Venice, Turkey, Siena, Tuscany, the Council of Trent, Aragon,	17th century	Western Manuscripts		dropped			"false lead: matched text is a ""Treatise on ciphers"" (a method manual), not ciphertext"
BL Archives and Manuscripts	Add MS 48049	Papers relating to Scotland and Mary, Queen of Scots, 1565-c. 1600	1560-1605	Western Manuscripts		dropped			"already-deciphered: contains Robert Beale's own ""extracts from deciphered letters"" (Babington-era)"
BL Archives and Manuscripts	Add MS 8716	 FARNESE CORRESPONDENCE RELATING TO FRANCE AND PORTUGAL; 1539-1540, 1560-1564. Italian. Copies, partly in cipher. Correspondence of Cardinal Alessandro Farnese (1520-1589), nephew of Pope Paul III Far	1539-1564	Western Manuscripts	N46	cryptanalysis	30	untested; Farnese correspondence is a well-studied Renaissance-diplomacy corpus, real risk of a prior edition	Cardinal Alessandro Farnese's correspondence relating to France and Portugal, pa
BL Archives and Manuscripts	Add MS 62401	 PAPAL DIPLOMACY: letters to Abbate Atto Melani, when Auditor in Paris; 1699-1702. Partly in cipher with deciphering. Italian. For related material, see the papers of Cardinal Filippo Antonio Gualteri	1699-1702	Western Manuscripts	N49	contribution	28	likely already covered in whole or part by its own accompanying decipherment	Cardinals Ottoboni and Paolucci to Abbate Atto Melani in Paris, partly in cipher
BL Archives and Manuscripts	Add MS 20426-20431	 LETTERS of the Abbate Pietro Francesco Albicini to Card. Gualterio; 1707-1718. Ital. Holograph; a few in cipher, with decipherings. Six volumes. Paper. Quarto and Folio. 	1707-1718	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20318-20319	 LETTERS of [Jean Baptiste Colbert, Marquis de] Torcy [French Secretary of State for Foreign Affairs] to Card. Gualterio; 19 July, 1700-17 Dec. 1726. Fr. Signed, or holograph. Many in cipher, with dec	1700-1727	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20338-20339	 LETTERS of [Henri Charles Arnaud], Abbé de Pomponne [French Ambassador at Venice], to Card. Gualterio; dat. Venice, to the end of 1709, and subsequently at Paris, Versailles, etc., 10 Dec. 1706-5 Jan	10 Dec 1706-5 Jan 1730	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20365-20366	 LETTERS of [Michel] Amelot [afterwards Marquis de Gournay] to Card. Gualterio; dated from Madrid, 22 Sept. 1705- 7 March, 1709, while he was French Ambassador in Spain; from Rome, 2 March-31 July, 17	22 Sep 1705-8 May 1724	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20369-20370	 LETTERS of [Joseph] de la Tour Guion, Bishop of Cavaillon [afterwards Archbishop of Avignon], to Card. Gualterio; Rome, 5 Jan. 1707-4 Dec. 1725. Fr. Holograph. Partly in cipher, with decipherings. Tw	5 Jan 1707-4 Dec 1725	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20371-20380	 LETTERS of Alessandro Abbate Tamisier, to Card. Gualterio, on political and personal matters; Ravenna, Paris, etc., 23 June, 1706-30 Aug. 1728. Fr. and Ital. Holograph, or in a secretary's hand. Some	23 Jun 1706-30 Aug 1728	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20416-20420	 LETTERS of Cardinal Francesco Acquaviva [Papal Nuncio in Spain in 1706, and afterwards Cardinal Protector of Spain and Minister of the King of Spain at Rome] to Card. Gualterio; 4 July, 1706-12 Dec. 	14 Feb 1706-12 Dec 1724	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20466-20467	 LETTERS of Card. Pietro Otthoboni [Bishop of Ostia, Protector of France at the Court of Rome, etc.] to Card. Gualterio; Rome, etc., 15 June, 1706-5 Oct. 1726. Ital. Holograph, or signed; many in ciph	15 Jun 1706-5 Oct 1726	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20473-20474	 LETTERS of the Abbate Rainiero Simonetti [Auditor of the Nunciature of Naples, Governor of Masserano, subsequently Cardinal] to Card. Gualterio; Brussels, Naples, Osimo, Masserano, Rome, etc., 24 Apr	24 Apr 1706-11 Jun 1724	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20510-20511	 LETTERS of [Luigi] Marquis of Bentivoglio, to Card. Gualterio; Ferrara, 13 August, 1707-15 Dec. 1717. Ital. Holograph, or in a secretary's hand. Many in cipher. Two volumes. Included are letters from	13 Aug 1707-15 Dec 1717	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20554-20556	 LETTERS of Count F de Vernon [Sardinian Minister in France, 1719-1723] to Card. Gualterio; Turin, Paris, etc., 31 Jan. 1713-15 Jan. 1727. Ital. Holograph, or signed; many in cipher. Included are a fe	31 Jan 1713-12 Feb 1727	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20567-20568	 LETTERS of D. Carlos Felipe Antonio Spinola Colonna [Marques de los Balbases, Viceroy of Sicily, etc.] to Card. Gualterio; Genoa, Palermo, Messina, Madrid, etc., 8 Jan. 1706-19 Feb. 1721. Span. Signe	8 Jan 1706-25 Jan 1727	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 20570-20571	 LETTERS of the Marques de Villamayor [Spanish Ambassador at Turin, etc.] to Card. Gualterio; Turin and Genoa, 15 Sept. 1703, 5 Aug., 2, 9 Sept. 1704, 25 Nov. 1713-10 Sept. 1721. Spanish. Holograph or	15 Sep 1703-10 Sep 1721	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 63742	 HENRY STANLEY, 4TH EARL OF DERBY: collection of letters and papers on affairs of state, etc.; circa 1583-1589. Copies in the hand of a secretary in Derby's household. A description of the manuscript,	1578-1589	Western Manuscripts		dropped			"false lead: no ""cipher""/""cypher"" anywhere in the full scope-and-content note"
