source_catalogue	ark	shelfmark	title	date	content_check	verdict	reason
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059406b	Bibliothèque nationale de France. Département des Manuscrits. Français 3983	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060087w	Bibliothèque nationale de France. Département des manuscrits. Français 2996	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	genuine-cipher-not-scored	survives	
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90598719	Bibliothèque nationale de France. Département des Manuscrits. Français 3029	Recueil de lettres originales et de copies indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060633d	Bibliothèque nationale de France. Département des Manuscrits. Français 3984	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90602650	Bibliothèque nationale de France. Département des Manuscrits. Français 3147	Recueil de lettres et de pièces originales.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059991d	Bibliothèque nationale de France. Département des Manuscrits. Français 2980	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	genuine-cipher-not-scored	survives	
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060253s	Bibliothèque nationale de France. Département des Manuscrits. Français 3091	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b100325613	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 336	Espagnol 336	1501-1700	noise-on-inspection	excluded	bourdeau:bnf espagnol 336
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060546p	Bibliothèque nationale de France. Département des Manuscrits. Français 3977	Collection Mémoires de la Ligue. Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90598430	Bibliothèque nationale de France. Département des manuscrits. Français 2984	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-profile:bnf francais 2984
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059870w	Bibliothèque nationale de France. Département des manuscrits. Français 3040	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060038d	Bibliothèque nationale de France. Département des Manuscrits. Français 3081	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060548h	Bibliothèque nationale de France. Département des Manuscrits. Français 3976	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90598645	Bibliothèque nationale de France. Département des Manuscrits. Français 3157	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059471x	Bibliothèque nationale de France. Département des manuscrits. Français 5190	Recueil de copies de pièces contenant les dépêches et mémoires adressés et reçus par le duc de Rohan, « lieutenant general du roy, en son armée, aux Grisons », du 19 juillet 1635 au 30 décembre 1636.	1601-1700	noise-on-inspection	excluded	bourdeau-named:Ligue
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90599952	Bibliothèque nationale de France. Département des Manuscrits. Français 3005	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059994n	Bibliothèque nationale de France. Département des Manuscrits. Français 3019	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-foliation/numeral/date	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9007662n	Bibliothèque nationale de France. Département des manuscrits. Français 4102	Recueil de copies de pièces relatives aux guerres de religion sous Louis XIII.	1601-1700	genuine-cipher-not-scored	survives	
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b10721661r	Bibliothèque nationale de France. Département des Manuscrits. Baluze 332	Correspondance entre MAZARIN et COLBERT.		noise-on-inspection	excluded	decode:bnf baluze 332
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52523734p	Bibliothèque nationale de France. Département des Manuscrits. Français 2751	Recueil de pièces du XVIe siècle, 1549 à 1599.	1601-1700	noise-on-inspection	excluded	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059888k	Bibliothèque nationale de France. Département des Manuscrits. Français 3255	Recueil de lettres et de pièces originales.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060249w	Bibliothèque nationale de France. Département des Manuscrits. Français 3254	Recueil de lettres originales et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060192j	Bibliothèque nationale de France. Département des manuscrits. Français 4137	Recueil de copies de pièces relatives aux ambassades du Sr de Sabran en Allemagne, à Gênes, en Italie et en Angleterre, entre les années 1629 et 1645. Recueil de copies de pièces ayant pour titre : « 	1601-1700	genuine-cipher-not-scored	survives	
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9058289m	Bibliothèque nationale de France. Département des manuscrits. Français 4712	Recueil de pièces originales et de copies concernant l'histoire de France, de la fin du XVIe siècle à l'année 1625.	1501-1700	noise-on-inspection	excluded	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://bibliotheque-numerique.bibliotheque-agglo-stomer.fr/idurl/1/18192	Bibliothèque de l’Agglomération du Pays de Saint-Omer	Sur la Vérité		noise-foliation/numeral/date	survives	
gallica.bnf.fr SRU (BnF Manuscrits)	https://bibliotheque-numerique.bibliotheque-agglo-stomer.fr/idurl/1/18329	Bibliothèque de l’Agglomération du Pays de Saint-Omer	Articella | Liber Ysagogarum Johannitii		noise-foliation/numeral/date	survives	
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060205q	Bibliothèque nationale de France. Département des manuscrits. Français 3669	Recueil de lettres originales.	1601-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52508089f	Bibliothèque nationale de France. Département des manuscrits. Français 3641	Recueil de lettres originales.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059630p	Bibliothèque nationale de France. Département des Manuscrits. Français 3516	Recueil de lettres et de pièces originales.	1601-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059540q	Bibliothèque nationale de France. Département des manuscrits. Français 4696	Recueil de pièces originales concernant l'histoire des années 1585 à 1589.	1501-1600	noise-on-inspection	excluded	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52523722c	Bibliothèque nationale de France. Département des Manuscrits. Français 3484	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9058291p	Bibliothèque nationale de France. Département des manuscrits. Français 4698	Recueil de pièces originales et de copies concernant l'histoire des années 1585 à 1591.	1501-1600	noise-on-inspection	excluded	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060724s	Bibliothèque nationale de France. Département des Manuscrits. Français 4735	Recueil de pièces originales et de copies concernant l'histoire de France, durant les années 1569-1588. Tome II.	1501-1600	noise-foliation/numeral/date	excluded	bourdeau-profile:ark:/12148/btv1b9060724s,ark:/12148/cc57784f,bnf francais 4735
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060320r	Bibliothèque nationale de France. Département des Manuscrits. Français 3142	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90601662	Bibliothèque nationale de France. Département des Manuscrits. Français 3138	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060543f	Bibliothèque nationale de France. Département des Manuscrits. Français 3982	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059466m	Bibliothèque nationale de France. Département des Manuscrits. Français 3675	Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1601-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059628m	Bibliothèque nationale de France. Département des manuscrits. Français 3789	Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1601-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90606498	Bibliothèque nationale de France. Département des Manuscrits. Français 3985	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b10033899d	Bibliothèque nationale de France. Département des Manuscrits. Dupuy 44	Recueil de lettres et de documents concernant les règnes de FRANÇOIS Ier, HENRI II et HENRI III (1524-1592).	1501-1600	noise-on-inspection	excluded	bourdeau:bnf dupuy 44
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b53069062j	Bibliothèque nationale de France. Département des Manuscrits. Dupuy 63	« Lettres de plusieurs grands et autres emploiez dans les affaires d'Estat, escrites au Roi [HENRI IV], ès années 1596, 1597, 1598, 1599, 1600, 1601, 1602, 1603, 1604, 1605 et 1606. — Vol. III ».	1501-1700	noise-on-inspection	excluded	queue:bnf dupuy 63
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52511322v	Bibliothèque nationale de France. Département des manuscrits. Français 3625	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060631k	Bibliothèque nationale de France. Département des Manuscrits. Français 3986	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-foliation/numeral/date	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52515673w	Bibliothèque nationale de France. Département des Manuscrits. Dupuy 265	« Originaux de lettres de plusieurs AMBASSADEURS du règne de roy FRANÇOIS Ier. »	1501-1600	noise-on-inspection	excluded	bourdeau:bnf dupuy 265
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060207j	Bibliothèque nationale de France. Département des Manuscrits. Français 3318	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52524472n	Bibliothèque nationale de France. Département des Manuscrits. Français 3621	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90582908	Bibliothèque nationale de France. Département des Manuscrits. Français 4700	Recueil de pièces originales et de copies concernant l'histoire des années 1540 à 1598.	1501-1600	noise-on-inspection	excluded	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b525245007	Bibliothèque nationale de France. Département des Manuscrits. Français 3623	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060634t	Bibliothèque nationale de France. Département des Manuscrits. Français 3988	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52520094g	Bibliothèque nationale de France. Département des Manuscrits. Français 3854	Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1601-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059448p	Bibliothèque nationale de France. Département des Manuscrits. Français 3944	Recueil de lettres originales et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1601-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059229n	Bibliothèque nationale de France. Département des Manuscrits. Français 3993	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90606320	Bibliothèque nationale de France. Département des Manuscrits. Français 3987	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52510705j	Bibliothèque nationale de France. Département des Manuscrits. Français 3413	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060015d	Bibliothèque nationale de France. Département des Manuscrits. Français 3096	Recueil de lettres et de pièces originales.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90600800	Bibliothèque nationale de France. Département des Manuscrits. Français 3315	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b10866703s	Bibliothèque nationale de France. Département des Manuscrits. Français 4736	Recueil de pièces originales et de copies concernant l'histoire de France, durant les années 1569-1588. Tome III.	1501-1600	noise-on-inspection	excluded	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060248g	Bibliothèque nationale de France. Département des Manuscrits. Français 3251	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9058240c	Bibliothèque nationale de France. Département des Manuscrits. Français 3416	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90594085	Bibliothèque nationale de France. Département des Manuscrits. Français 3981	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9057424n	Bibliothèque nationale de France. Département des manuscrits. Français 3822	Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1601-1700	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059407r	Bibliothèque nationale de France. Département des Manuscrits. Français 3974	Collection Mémoires de la Ligue. Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060232m	Bibliothèque nationale de France. Département des Manuscrits. Français 3252	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060514q	Bibliothèque nationale de France. Département des Manuscrits. Français 3989	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9006859j	Bibliothèque nationale de France. Département des Manuscrits. Français 3991	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060212v	Bibliothèque nationale de France. Département des Manuscrits. Français 3321	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90008143	Bibliothèque nationale de France. Département des Manuscrits. Lorraine 377	Recueil de lettres originales adressées par diverses personnes aux ducs Charles III, Henri II (1597-1623) et Léopold (1698), à Jean Voillot (1614-1628), au colonel Gronders, gouverneur de Hombourg (16	1501-1800	noise-on-inspection	excluded	decode-catalogue:bnf lorraine 377
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90601328	Bibliothèque nationale de France. Département des manuscrits. Français 3083	Recueil de lettres originales et de copies indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060311s	Bibliothèque nationale de France. Département des manuscrits. Français 3078	Recueil de lettres originales.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90599292	Bibliothèque nationale de France. Département des manuscrits. Français 3077	Recueil de lettres originales.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060156p	Bibliothèque nationale de France. Département des Manuscrits. Français 3045	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-foliation/numeral/date	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90601558	Bibliothèque nationale de France. Département des Manuscrits. Français 3022	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060054h	Bibliothèque nationale de France. Département des Manuscrits. Français 3012	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90014586	Bibliothèque nationale de France. Département des Manuscrits. Baluze 188	Mélanges se rapportant principalement à l'histoire d'ITALIE.		noise-on-inspection	excluded	decode-catalogue:bnf baluze 188
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90601432	Bibliothèque nationale de France. Département des Manuscrits. Français 3053	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme tellés dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b10034035f	Bibliothèque nationale de France. Département des Manuscrits. Dupuy 155	« Mémoires servant à l'histoire de PROVENCE et de la ville de MARSEILLE pour les années 1593, 1595 et 1596. »	1501-1700	noise-on-inspection	excluded	queue:bnf dupuy 155
