host	query	id_or_ref	title	date	note	status
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_genova.pdf, _inghilterra.pdf, _levante_rev.pdf grep cifra/cifrat/chiave	n/a	no hits	n/a	Control check: same query form/grep method found real hits in the Francia, Roma, Napoli, Spagna and Venezia PDFs from this same site, so a zero on these three is a genuine zero, not a broken query	zero_confirmed
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_venezia.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Venezia, introduction text	La riservatezza di queste informazioni impone frequentemente l'uso di caratteri cifrati	general remark, not an item	Introductory prose about the fondo's general use of cipher, not a specific catalogued item -- not scored	excluded_general
archivi.ibc.regione.emilia-romagna.it	cms.find EAD XML for IBCAS00547 (Modena Carteggio ambasciatori Venezia)	IBCAS00547	n/a	n/a	502 Proxy Error on both http and https, one retry after 2s pause per good-citizen rule, still 502 -- host unreachable this pass, not a zero result	blocked_502
patrimonio.archiviodistatonapoli.it	reachability test	n/a	n/a	n/a	DNS resolution failed (curl exit 6) on http, CONNECT tunnel failed 502 on https, one retry -- egress-blocked from this container	blocked_000
archiviodistatogenova.cultura.gov.it	31_Trattati_202008.pdf (Materie politiche, Archivio segreto) grep cifra/cifrat/chiave	item 229, inv.31	Cifra data al segretario Ricci	s.d.	KEPT (lower confidence) as IR6, grouped with item 237 below	kept
archiviodistatogenova.cultura.gov.it	31_Trattati_202008.pdf grep cifra/cifrat/chiave	item 237, inv.31	Cifrario	s.d.	KEPT (lower confidence) as IR6, grouped with item 229	kept
archiviodistatogenova.cultura.gov.it	31_Trattati_202008.pdf grep cifra/cifrat/chiave	item 174, inv.31	nota dei titoli dati a Madama e una cifra	3 Feb 1661	Cipher noted as an attachment to a diplomatic letter about the Villafranca boat seizure dispute with Savoy; single item, low specificity -- lead only	lead_not_scored
archiviodistatogenova.cultura.gov.it	31_Trattati_202008.pdf grep cifra/cifrat/chiave	item 249, inv.31	Cifrario e nomi dati a Gio. Batta Viganego, inviato a Torino, per servirsene nella corrispondenza da inviare a Genova	Apr 1717	KEPT as IR2. Code-names-and-cipher given to Genoese envoy at Turin; SAME fondo's items 246 (7 Apr 1717) and 254 (14 Apr 1717), "Notizie trasmesse da Torino dall'abate Gio. Battista Viganego", are dispatches from the same correspondent in the same weeks -- plausible sibling ciphertext in the same box.	kept
archiviodistatogenova.cultura.gov.it	31_Trattati_202008.pdf grep cifra/cifrat/chiave	item 294, inv.31	Cifra per il segretario Salvago data nel tempo che si portò in Alessandria dal conte Caraffa	1691	KEPT as IR4. Cipher issued to Genoese secretary Salvago for his 1691 mission to Imperial Count Caraffa (subsidy/army-maintenance affair); items 288-298 in the same run cover the same Caraffa episode.	kept
archiviodistatogenova.cultura.gov.it	31_Trattati_202008.pdf grep cifra/cifrat/chiave	item 299, inv.31	Cifra con cui il signor di Coysis consiglia i principi italiani ad allearsi contro le pretese esagerate del conte Caraffa	1691	Catalogue entry paraphrases the cipher's content in detail, suggesting it may already be read/summarized by the archivist (possible edition risk) -- excluded, not scored	excluded_edition_risk
archiviodistatogenova.cultura.gov.it	32_BustePaesi_202101.pdf, 58_Politicorum_202109.pdf grep cifra/cifrat/chiave (58: chiave hits are all literal door/harbour keys, "chiave della porta")	n/a	no cipher hits	n/a	Control: chiave hits in 58_Politicorum are literal keys (harbour gate, treasury door), confirming the grep and OCR text are both working -- genuine zero for cipher content in these two inventories	zero_confirmed
