query_term	referenceCode	date	objectType	type	hierarchy	caption	note	onlyDigitisedMaterials	decision	kind
chiffer	SE/KrA/0200/007:H/F VI/20	1918 - 	Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Engelska telegram i chiffer.	False	dropped	
chiffer	SE/KrA/0200/007:H/F VI/207		Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Chiffer- och code nycklar.	False	dropped	
chiffer	SE/KrA/0200/007:H/F VI/17	1918 - 	Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Engelska telegram i chiffer.	False	dropped	
chiffer	SE/KrA/0035:0265	1903 - 1975	RecordSet	Fonds		Frisell, Gösta, arkiv		False	dropped	
chiffer	SE/VALA/02854/F I/4	1922 - 1933	Record	Volume	Svenska Tändsticks AB:s arkiv / Ämnesordnade handlingar (huvudserie)		Handlingar rörande användning av chiffer.	False	dropped	
chiffer	SE/KrA/0200/007:H/F VI/22	1918 - 	Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Engelska telegram mest i chiffer.	False	dropped	
chiffer	SE/KrA/0200/007:H/F VI/14	1918 - 	Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Engelska telegram mest i chiffer.	False	dropped	
chiffer	SE/KrA/0200/007:H/F VI/19	1918 - 	Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Engelska telegram mest i chiffer.	False	dropped	
chiffer	SE/RA/420004/01/F/F 5/F 5 D/F 5 DA/20	1940 - 1945	Record	Volume	Allmänna säkerhetstjänsten / Allmänna säkerhetstjänsten, huvudarkivet / Handlingar ordnade efter ämne / Postkontrollavdelningens ämnesordnade handlingar / Beslagtagna brev / Beslagtagna brev, allmän serie		Fotokopior av brev med täckspråk, chiffer o.dyl.	False	dropped	
chiffer	SE/KrA/0200/007:H/E I af/5	1920 - 	Record	Volume	"Generalstaben / Utrikesavdelningen / Finland. Inkomna skrivelser, rapporter och meddelanden
från militärattachén i Helsingfors
"		Bt. Meddelanden och handbrev.  Utgående och inkomna chiffer och dechiffrerade telegram.	False	dropped	
chiffer	SE/KrA/0200/007:H/F VI/33	1917 - 1920	Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Ryska telegram i code samt diverse chiffer.	False	dropped	
chiffer	SE/KrA/0035:0309/J 1/1	1919 - 1928	Record	Volume	Hagelin, Boris, privatarkiv / Ritningar		Bunt. Ingenjör A. G. Damms ritningar till diverse (chiffer) apparater.	False	dropped	
chiffer	SE/RA/721502/3/1		Record	Volume	Oxenstiernaprojektets arkiv / Anteckningar om och kopior av källmaterial		- Anteckningar från arkiv och bibliotek i Sverige - Chiffer och chiffernycklar avseende Axel Oxenstiernas korrespondens .	False	kept:R10	caution-not-scored
chiffer	SE/KrA/0391/0/6	1757 - 	Record	Volume	Krigshandlingar, Pommerska kriget 1757-1762 / Arkiv med löpande volymnumrering		1757/10 b: Torpadie, Reimers.  Clavis resolutiva. Nyckel till chiffer. Uppr. år 1888.	False	dropped	
chiffer	SE/RA/720266/03/08/~/2,5		Record	Volume	Ericsbergsarkivet / Smärre enskilda arkiv och arkivfragment / Crusenstolpe-papper / 	Magnus Jakob Crusenstolpe (1795-1865)	Ink brev och skrivelser, diverse utkast och anteckningar m m. Spionrapporter, chiffer handlingar rörande revolutionen 1809.	False	kept:R6	cryptanalysis
chiffer	SE/KrA/0202/009/01:H/F 2/2	1939 - 1942	Record	Volume	Försvarsstaben / Kryptoavdelningen (Kry) / Kryptoavdelningen, hemligt arkiv / Ämnesordnade handlingar		UD kryptotjänst, instruktioner för avdelningarnas chiffer, förbandskoder KA, diverse.	False	dropped	
chiffer	SE/KrA/0202/009/01:H/F 2/3	1930 - 1939	Record	Volume	Försvarsstaben / Kryptoavdelningen (Kry) / Kryptoavdelningen, hemligt arkiv / Ämnesordnade handlingar		UD kryptotjänst, instruktioner för avdelningarnas chiffer, förbandskoder KA, diverse.	False	dropped	
chiffer	SE/KrA/0202/009/01:H/F 2/1	1941 - 1942	Record	Volume	Försvarsstaben / Kryptoavdelningen (Kry) / Kryptoavdelningen, hemligt arkiv / Ämnesordnade handlingar		UD kryptotjänst, instruktioner för avdelningarnas chiffer, förbandskoder KA, diverse.	False	dropped	
chiffer	SE/KrA/0035:0715/1	1942 - 1945	Record	Volume	Roth, Stig, arkiv		Mellan åren 1942-1945 förde Stig Roth en dagbok i chiffer, som han renskrev i samband med vapenstilleståndet. Dagboken förseddes med bl a kartor och fotografier.	False	dropped	
chiffer	SE/RA/230/230019.1/Del 1/D/170	1824 - 1848	Record	Volume	Beskickningsarkiv / Beskickningsarkiv London / Beskickningsarkiv London. Äldsta delen 1 / Strödda beskickningshandlingar		1824 och 1848 års chiffer. Bunten rymmer 4 stora blad från 1824 och lika många från 1848.	False	dropped	
chiffer	SE/KrA/0035:0715		RecordSet	Fonds		Roth, Stig, arkiv		False	dropped	
chiffer	SE/KrA/0202/009/01:H/F 1/5	1940 - 	Record	Volume	Försvarsstaben / Kryptoavdelningen (Kry) / Kryptoavdelningen, hemligt arkiv / Koncept och inkomna handlingar		300-587. Innehåller även koder och chiffer för Svenska frivilligkåren 1940, okänd proveniens.	False	dropped	
chiffer	SE/KrA/0202/022/31:H/B 3 b/2	1916 - 1924	Record	Volume	"Försvarsstaben / Attachéernas och försvarsavdelningarnas arkiv / Militär- (Armé-) attachén i London / Utgående skrivelser
Brevkorrespondens
Handbrev ordnade efter ämne"		Arkivbox.  Enl. bif. förteckning. Behandlande bl.a. chiffer, Baltik, Åland, Finland, Ryssland. Pressofficerare. Handelskommission m m.	False	dropped	
chiffer	SE/RA/720985/~/15		Record	Volume	Ignas Jurkunas-Scheynius arkiv / 		Obs! Volymen förvaras i litauiska statsarkivet i Vilnius - Statstelegram från legationstiden i Stockholm, delvis chiffer, 1923-1926 samt 49 st ostämplade litauiska frimärken à 10 auksim	False	dropped	
chiffer	SE/KrA/981	1900 - 1972	Agent	Person		Roth, Stig		False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/352	1942 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/400	1945 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/96	1920 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/96	1920 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/383	1944 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/440	1947 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/86	1919 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/252	1935 - 1936	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/277	1937 - 1938	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/203	1931 - 1932	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/337	1941 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer, supplement	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/105	1921 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/336	1941 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/140	1924 - 1925	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/161	1926 - 1928	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/227	1933 - 1934	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/320	1940 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/418	1946 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/491	1949 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/294	1939 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/115	1922 - 1923	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/134	1924 - 1925	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/182	1929 - 1930	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/233	1933 - 1934	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/254	1935 - 1936	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/85	1919 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/368	1943 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/353	1942 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer, supplement	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/321	1940 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer, supplement	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/153	1926 - 1928	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/304	1939 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/212	1931 - 1932	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/231/231176	1939 - 1975	RecordSet	Fonds	Konsulatarkiv	Konsulatarkiv Aten		False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/465	1948 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/118	1922 - 1923	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/191	1929 - 1930	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/193	1930 - 1931	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Beskickningar.<br>Telegram i chiffer, se vol. 181.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/273	1937 - 1938	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Telegram i chiffer	False	dropped	
chiffer	SE/RA/230/230041	1964 - 1975	RecordSet	Fonds	Beskickningsarkiv	Beskickningsarkiv Nicosia		False	dropped	
chiffer	SE/RA/1411/E/E VI/1	1714 - 	Record	Volume	Kanslikollegium / Inkomna handlingar / Skrivelser i utrikesärenden samt ansökningar till diplomat- och konsulstjänster		Från M. Vellingk, förutvarande generalguvernör i Bremen-Verden, som efter dessa provinsers erövring av danskarna vistades i Hamburg utan egentligt uppdrag men sände rapporter, delvis i chiffer. Hans ö	False	kept:R7	cryptanalysis
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/223	1932 - 1933	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Beskickningar.<br>Telegram i chiffer 1932, se vol. 212.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/240	1934 - 1935	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Beskickningar.<br>Telegram i chiffer, se vol. 226.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/265	1936 - 1937	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Beskickningar.<br>Telegram i chiffer, se vol. 251.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/181	1928 - 1929	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Beskickningar. telegram en clair.<br> Telegram i chiffer 1928, se vol. 161.	False	dropped	
chiffer	SE/KrA/1062/F 2/154	1845 - 2000	Record	Volume	Försvarets historiska telesamlingar (FHT) / Beskrivningar, armén		Åsebo, Gunnar (1995): Chiffer och koder inom svenska flottan under ett sekel 1845-1945.  TSA och TSS 40 år (2000) Beckman, , Bengt (1999): Våra första  kryptomaskiner  Beckman, Bengt (1999): Svenska k	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/202	1930 - 1931	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Beskickningar, telegram en clair.<br> Telegram i chiffer 1930, se vol. 191.	False	dropped	
chiffer	SE/KrA/0380/I/6		Record	Volume	Troféavbildningar / Troféavbildningar utförda av O.Hoffman och J.Jonsson		Danska troféer.                                                         Danska standar och dragonfanor med vapen och namnchiffer.       323-339 Folierad i löpande följd med vol. 5b.  Danska standar oc	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/214	1932 - 1933	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Beskickningar.<br>Telegram i chiffer, se vol. 202.	False	dropped	
chiffer	SE/RA/221/2213.24/F/F 12/1	1984 - 	Record	Volume	Utrikesdepartementet med föregångare / Krigsmaterielinspektionen / HANDLINGAR ORDNADE EFTER ÄMNE / Handlingar rörande utförsel av datorutrustning 1984		Utrikesdepartementet. Förordningar, regeringsbeslut, besvär, chiffer, pressmeddelande och övrigt; Krigsmaterielinspektionen; Tull	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/284	1938 - 1939	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Beskickningar. telegram en clair.<br>Telegram i  chiffer 1938, se vol. 273.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/171	1927 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Beskickningar.<br>Beskickningar, telegram en clair, se vol. 160.<br> Telegram i chiffer, se vol. 161.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/244	1934 - 1935	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Beskickningar, telegram en clair.<br>Telegram i chiffer 1934, se vol. 233.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/264	1936 - 1937	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Beskickningar, telegram en clair.<br>Telegram i chiffer 1936, se vol. 254.	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/172	1928 - 1929	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Beskickningar, telegram en clair.<br>Telegram i chiffer, se vol. 152.	False	dropped	
chiffer	SE/RA/230/230015/B 1/1	1791 - 1796	Record	Volume	Beskickningsarkiv / Beskickningsarkiv Konstantinopel / Registratur och kopieböcker		Häfte i kartong. Kongl. Beskickningens Annotations-Bok ifrån Herr Ministern och Riddarn v. Asps ankomst d. 28 October 1791. Registratur över P.O. von Asps avgående depescher, apostiller samt brev. 1 n	False	dropped	
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 B/150	1925 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Ingående diarier, huvudserie		Juli-december. Beskickningar.<br>Beskickningar, telegram en clair, se vol. 139.<br> Telegram i chiffer, se vol. 140.	False	dropped	
chiffer	SE/RA/720626/E/E 6015		Record	Volume	Mauritz Vellingks samling / Avskrifter	Avskrifter	Avskrifter. Chiffer. Handlingar angående neutralitetstraktaten 1713. Avksifter av Sam. Florins brev m.m. angående Kongl. Maj:ts växlar 1713. Avskrifter: Bilagor (?) till Magnus Stenbocks brev till Vel	False	kept:R7	cryptanalysis
chiffer	SE/RA/221/2210.01.1/C/C 3/C 3 A/143	1925 - 	Record	Volume	Utrikesdepartementet med föregångare / Utrikesdepartementet/ Kabinettet för utrikes brevväxlingen Huvudarkivet / DIARIER / Diarier 1901-1952 / Utgående diarier		Juli-december. Beskickningar.<br> Beskickningar, telegram en clair, se vol. 132. <br>Telegram i chiffer, se vol. 133.	False	dropped	
